EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,PenaltyFtPoints,PtsPutbacks,Corner3Assists,LongMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,Technical Free Throw Trips,BlockedLongMidRange,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveMakes,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,on,Corner3PctBlocked
101119,1610612750,Rashad McCants,Rashad McCants,101119,MIN,13159.0,219,-43,424,442,112,122,50,866,8,16,1.0,3.0,5.0,2,4,1,12,3.0,9.0,1.0,1.0,2.0,3.0,3.0,22.0,3.0,1.0,5.0,11,32,6.0,31.0,10.0,50,463,4,1.0,4.0,3.0,3.0,8,3.0,8.0,15.0,12,10.0,9.0,9.0,1.0,21.0,3.0,3.0,7,3.0,10,3.0,6.0,1.0,23,3.0,2,5.0,12,1.0,18,5,23,1.0,9.0,5.0,4.0,10.0,2.0,7.0,7.0,3.0,2.0,17.0,1.0,12.0,30,1.0,3.0,11,1.0,12.0,6.0,4.0,4.0,4.0,1.0,15.0,112,6.0,0.5454545454545454,0.5454545454545454,0.5,0.1935483870967742,0.25,0.375,0.2,0.34375,0.375,0.31746031746031744,0.1875,0.46875,0.36231884057971014,0.1875,0.46875,0.49206349206349204,0.09375,0.1875,17.879417879417883,0.5882352941176471,0.045454545454545456,0.0916030534351145,0.014084507042253521,0.07575757575757576,0.05555555555555555,0.08629441624365482,0.025510204081632654,0.027777777777777776,0.015151515151515152,0.023809523809523808,0.16666666666666666,0.08823529411764706,0.05405405405405406,0.11666666666666667,0.06521739130434782,0.1,0.023809523809523808,0.25,0.25396825396825395,0.5,0.6153846153846154,0.625,0.06349206349206349,0.5,0.5,0.19047619047619047,0.08333333333333333,0.08333333333333333,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3492063492063492,0.13636363636363635,0.13636363636363635,0.3333333333333333,0.125,0.125,1.0,0.375,0.3125,0.6,0.1875,0.6666666666666666,0.3125,0.2,0.746031746031746,0.14285714285714285,0.5221879032258065,0.47088,0.50422,0.08695652173913043,0.15789473684210525,0.06,0.3,7.781249999999999,25.583870967741937,0.2641509433962264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1548,1610612750,Mark Blount,Mark Blount,1548,MIN,129988.0,2166,-203,4119,4123,813,833,432,8242,143,214,57.0,14.0,26.0,50,120,178,363,4.0,9.0,,,1.0,3.0,5.0,17.0,1.0,4.0,9.0,371,697,9.0,26.0,132.0,901,4465,88,,1.0,120.0,54.0,106,5.0,12.0,159.0,616,126.0,27.0,,,17.0,5.0,40.0,43,15.0,58,9.0,19.0,4.0,131,21.0,88,64.0,215,33.0,312,113,425,8.0,33.0,19.0,14.0,46.0,4.0,20.0,93.0,26.0,25.0,139.0,13.0,118.0,200,11.0,21.0,163,14.0,172.0,87.0,54.0,42.0,54.0,31.0,159.0,813,9.0,0.8301886792452831,0.8901734104046243,1.0,0.34615384615384615,,0.4166666666666667,0.34615384615384615,0.5322812051649928,0.5094339622641509,0.5318118948824343,0.550561797752809,0.5211864406779662,0.563125,0.5769230769230769,0.5678571428571428,0.035961272475795295,0.05738880918220947,0.1261682242990654,20.377604166666668,0.33093525179856115,0.2682926829268293,0.14126149802890933,0.05843293492695883,0.13473684210526315,0.061764705882352944,0.1397095643465198,0.0590465872156013,0.053763440860215055,0.048748353096179184,0.06666666666666667,0.05,0.1346938775510204,0.16034985422740525,0.13642960812772134,0.13764044943820225,0.12605042016806722,0.026578073089700997,0.5740740740740741,0.2959889349930844,0.6682242990654206,0.7647058823529411,0.7132867132867133,0.16597510373443983,0.4166666666666667,0.45871559633027525,0.5020746887966805,0.4903581267217631,0.4930747922437673,0.9325842696629213,0.012448132780082987,0.4444444444444444,0.4444444444444444,1.0,0.02351313969571231,0.29411764705882354,0.29411764705882354,1.0,0.6404494382022472,,,0.011235955056179775,0.22033898305084745,0.5384615384615384,0.025423728813559324,0.3333333333333333,0.07627118644067797,0.4444444444444444,0.33195020746887965,0.29411764705882354,0.4523950207468879,0.4961753164556961,0.426489406779661,0.10984848484848485,0.11357702349869452,0.13318534961154274,0.17647058823529413,11.29713055954089,24.303846153846152,0.19737800436999273,31.0,49.0,22.0,36.0,50.0,6.0,20.0,4.0,5.0,3.0,18.0,15.0,18.0,8.0,12.0,2.0,2.0,28.0,14.0,7.0,0.5568181818181818,0.09166666666666666,0.005509641873278237,0.05555555555555555,0.08266666666666667,0.8,0.543859649122807,0.1935483870967742,,,,,,,,,,,,,,,,True,
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,15790.0,263,-34,510,506,108,120,53,1016,3,9,,,1.0,7,11,12,37,,2.0,,,,,8.0,27.0,1.0,1.0,6.0,22,57,8.0,29.0,17.0,85,543,1,1.0,1.0,5.0,3.0,14,1.0,6.0,22.0,18,26.0,24.0,,,27.0,8.0,4.0,32,5.0,37,3.0,11.0,4.0,79,1.0,1,5.0,12,,17,2,19,1.0,6.0,3.0,3.0,17.0,2.0,12.0,8.0,5.0,2.0,25.0,3.0,5.0,13,,1.0,21,3.0,20.0,3.0,1.0,,1.0,1.0,22.0,108,2.0,0.4090909090909091,0.4090909090909091,1.0,0.27586206896551724,1.0,0.16666666666666666,0.27586206896551724,0.38596491228070173,0.21428571428571427,0.3953488372093023,1.25,0.225,0.4421052631578947,1.25,0.3888888888888889,0.3372093023255814,0.07017543859649122,,21.126760563380284,0.68,,0.07017543859649122,0.005780346820809248,0.10204081632653061,0.02040816326530612,0.07727272727272727,0.009009009009009009,,,0.025,,0.06557377049180328,0.025,0.1,0.1,0.1111111111111111,0.019230769230769232,1.0,0.10465116279069768,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.12790697674418605,0.6363636363636364,0.7,0.43023255813953487,0.32432432432432434,0.35294117647058826,0.4166666666666667,0.023255813953488372,,,,0.313953488372093,0.2962962962962963,0.2962962962962963,1.0,,,,0.5,0.05,,,,0.3,0.16666666666666666,0.4418604651162791,0.2962962962962963,0.4614912790697675,0.432375,0.4294949999999999,0.033707865168539325,0.05,0.058823529411764705,0.25882352941176473,14.133333333333336,25.16896551724138,0.21176470588235294,,1.0,,13.0,,2.0,17.0,,,,3.0,1.0,,6.0,,,,,,6.0,1.0,0.09090909090909091,0.08108108108108109,,0.023255813953488372,0.42857142857142855,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,True,
1729,1610612750,Ricky Davis,Ricky Davis,1729,MIN,181288.0,3021,-224,5760,5779,1363,1442,635,11539,126,198,18.0,30.0,50.0,50,118,207,463,37.0,91.0,5.0,12.0,9.0,22.0,86.0,219.0,28.0,23.0,62.0,383,779,123.0,310.0,239.0,1374,6212,78,23.0,40.0,159.0,83.0,172,32.0,84.0,356.0,414,352.0,333.0,36.0,10.0,208.0,85.0,36.0,318,67.0,385,51.0,108.0,64.0,837,10.0,43,60.0,167,34.0,261,54,315,12.0,80.0,57.0,23.0,131.0,27.0,96.0,79.0,35.0,19.0,210.0,10.0,100.0,189,3.0,14.0,271,20.0,285.0,110.0,23.0,19.0,23.0,12.0,356.0,1363,31.0,0.5404699738903395,0.553475935828877,0.9024390243902439,0.3967741935483871,0.575,0.38095238095238093,0.4066666666666667,0.49165596919127086,0.48255813953488375,0.5211202938475665,0.597457627118644,0.51171875,0.5625514403292181,0.62109375,0.5673076923076923,0.2846648301193756,0.04621309370988447,0.13131313131313133,21.973440395305744,0.6238095238095238,0.17708333333333334,0.08162267839687194,0.02055449330783939,0.08633093525179857,0.020876826722338204,0.08281649033199562,0.020614546868922598,0.016885553470919325,0.01452081316553727,0.020289855072463767,0.022388059701492536,0.047400611620795105,0.08085106382978724,0.10629067245119306,0.08610567514677103,0.08695652173913043,0.022727272727272728,0.5217391304347826,0.18181818181818182,0.6363636363636364,0.7325581395348837,0.5634920634920635,0.10835629017447199,0.423728813559322,0.44642857142857145,0.4251606978879706,0.4470842332613391,0.45098039215686275,0.5507246376811594,0.08356290174471992,0.4065934065934066,0.4065934065934066,1.0,0.20110192837465565,0.3926940639269406,0.3944954128440367,0.8604651162790697,0.15254237288135594,0.1016949152542373,0.4166666666666667,0.23728813559322035,0.1953125,0.6,0.0859375,0.4090909090909091,0.2421875,0.3709677419354839,0.46648301193755737,0.40865384615384615,0.4825508828996281,0.46867688172043026,0.4746995934959349,0.09568162574089754,0.12672811059907835,0.11572052401746726,0.2590975254730713,12.522336328626446,25.87322580645161,0.23663194444444444,11.0,36.0,18.0,94.0,18.0,16.0,146.0,1.0,5.0,4.0,44.0,11.0,21.0,34.0,3.0,,,,2.0,28.0,0.46153846153846156,0.05084745762711865,0.008639308855291577,0.008064516129032258,0.03612167300380228,0.44,0.6111111111111112,0.18181818181818182,18.0,10.0,1.0,0.6428571428571429,0.8333333333333334,1.0,1.0,1.0,3.0,0.0032258064516129032,0.0045662100456621,1.0,0.009584664536741214,,,True,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,142737.0,2379,-10,4515,4524,1100,1179,477,9039,150,244,56.0,33.0,49.0,151,341,180,418,,,,,,,11.0,48.0,4.0,6.0,27.0,481,1003,11.0,48.0,299.0,1294,4792,112,1.0,4.0,144.0,101.0,206,6.0,27.0,331.0,570,392.0,30.0,3.0,4.0,44.0,11.0,43.0,200,55.0,255,40.0,109.0,22.0,565,34.0,110,130.0,466,59.0,655,148,803,22.0,68.0,49.0,19.0,72.0,18.0,43.0,87.0,29.0,31.0,159.0,17.0,59.0,144,9.0,24.0,315,14.0,359.0,145.0,100.0,79.0,102.0,63.0,331.0,1100,23.0,0.5925155925155925,0.6333333333333333,0.9090909090909091,0.22916666666666666,0.25,0.2222222222222222,0.25,0.4795613160518445,0.49029126213592233,0.47335870599429114,0.5301724137931034,0.4721030042918455,0.5290697674418605,0.576,0.559322033898305,0.04567078972407231,0.04287138584247258,0.12704918032786885,26.907868722815344,0.4528301886792453,0.4125874125874126,0.2843197071384991,0.06794317479925881,0.24574669187145556,0.0921409214092141,0.27490774907749077,0.07243460764587525,0.04938271604938271,0.06071871127633209,0.09259259259259259,0.09090909090909091,0.24708171206225682,0.3168831168831169,0.29324324324324325,0.22278481012658227,0.31343283582089554,0.04356435643564356,0.6176470588235294,0.23215984776403426,0.6147540983606558,0.704225352112676,0.58,0.32445290199809707,0.44281524926686217,0.45896656534954405,0.3977164605137964,0.430622009569378,0.430622009569378,0.7111111111111111,,,,,0.04567078972407231,0.22916666666666666,0.22916666666666666,0.9090909090909091,0.4827586206896552,,,0.034482758620689655,0.21030042918454936,0.673469387755102,,,0.11587982832618025,0.2222222222222222,0.27783063748810655,0.25,0.4341683381088825,0.46522193877551016,0.41153296943231454,0.12446351931330472,0.12981199641897942,0.11128284389489954,0.25579598145285937,10.728614157527414,28.714583333333326,0.24363233665559247,38.0,60.0,21.0,111.0,62.0,15.0,69.0,4.0,3.0,,37.0,16.0,31.0,39.0,17.0,16.0,,7.0,15.0,37.0,0.5357142857142857,0.03519061583577713,,0.044444444444444446,0.10073710073710074,0.46357615894039733,0.6785714285714286,0.13157894736842105,1.0,23.0,4.0,0.25,1.0,,,,,,,,,2.0,2.0,True,
200751,1610612750,Randy Foye,Randy Foye,200751,MIN,69167.0,1153,-102,2200,2228,685,694,260,4428,75,134,11.0,26.0,46.0,31,74,30,104,10.0,27.0,,2.0,3.0,6.0,23.0,76.0,4.0,6.0,26.0,136,312,33.0,103.0,99.0,470,2364,21,1.0,6.0,32.0,45.0,105,9.0,32.0,166.0,76,196.0,84.0,15.0,3.0,73.0,23.0,36.0,116,30.0,146,21.0,32.0,16.0,322,6.0,24,31.0,67,5.0,103,33,136,8.0,31.0,22.0,9.0,49.0,14.0,32.0,52.0,17.0,7.0,101.0,9.0,49.0,122,4.0,16.0,94,9.0,113.0,42.0,8.0,4.0,10.0,8.0,166.0,685,17.0,0.27941176470588236,0.2900763358778626,0.8484848484848485,0.32038834951456313,0.16666666666666666,0.28125,0.33,0.4358974358974359,0.42857142857142855,0.4469879518072289,0.46296296296296297,0.42700729927007297,0.5032119914346895,0.5161290322580645,0.5060975609756098,0.24819277108433735,0.11538461538461539,0.16417910447761194,22.76194299478121,0.48514851485148514,0.056179775280898875,0.09305555555555556,0.029484029484029485,0.10097719869706841,0.029850746268656716,0.09542356377799416,0.029556650246305417,0.05263157894736842,0.0234375,0.014705882352941176,0.06153846153846154,0.08695652173913043,0.057803468208092484,0.1167192429022082,0.0967741935483871,0.1111111111111111,0.039603960396039604,0.8,0.3228915662650602,0.5597014925373134,0.6696428571428571,0.3466666666666667,0.1783132530120482,0.4189189189189189,0.49206349206349204,0.25060240963855424,0.28846153846153844,0.297029702970297,0.23333333333333334,0.06506024096385542,0.37037037037037035,0.37037037037037035,1.0,0.18313253012048192,0.3026315789473684,0.3026315789473684,0.782608695652174,0.4074074074074074,0.07407407407407407,,0.14814814814814814,0.3357664233576642,0.5652173913043478,0.043795620437956206,0.5,0.1897810218978102,0.23076923076923078,0.5710843373493976,0.3150684931506849,0.48868381995133814,0.5145826086956522,0.48136455223880603,0.09555555555555556,0.12138728323699421,0.06808510638297872,0.35319148936170214,8.229166666666666,25.500000000000004,0.31136363636363634,7.0,11.0,7.0,49.0,10.0,9.0,68.0,3.0,6.0,4.0,40.0,4.0,8.0,17.0,2.0,1.0,,,,15.0,0.5238095238095238,0.14864864864864866,0.028846153846153848,0.06,0.01809954751131222,0.16129032258064516,0.6363636363636364,0.14285714285714285,1.0,,2.0,0.25,1.0,,,,1.0,,,,0.009615384615384616,2.0,2.0,True,
200783,1610612750,Craig Smith,Craig Smith,200783,MIN,57857.0,964,-149,1836,1852,474,497,230,3688,104,167,56.0,25.0,39.0,35,97,14,25,,,,,,,,5.0,1.0,,5.0,153,289,,5.0,75.0,381,2008,72,,1.0,112.0,38.0,69,,5.0,93.0,202,104.0,,,3.0,2.0,,23.0,19,5.0,24,3.0,7.0,5.0,53,8.0,89,52.0,103,18.0,173,101,274,10.0,32.0,21.0,11.0,17.0,6.0,7.0,31.0,10.0,6.0,48.0,6.0,66.0,139,9.0,16.0,105,14.0,124.0,65.0,11.0,7.0,11.0,7.0,93.0,474,18.0,0.6601307189542484,0.8347107438016529,,,,,,0.5294117647058824,0.5507246376811594,0.5204081632653061,0.5753424657534246,0.5135135135135135,0.5489913544668588,0.5833333333333334,0.5224719101123596,0.017006802721088437,0.07958477508650519,0.12574850299401197,18.92668902731193,0.3541666666666667,0.2535211267605634,0.17109634551495018,0.13049853372434017,0.22033898305084745,0.05228758169934641,0.18496420047732698,0.11616766467065869,0.11764705882352941,0.12779552715654952,0.04504504504504504,0.07142857142857142,0.13513513513513514,0.19205298013245034,0.18421052631578946,0.2375,0.18421052631578946,0.08928571428571429,0.6363636363636364,0.5680272108843537,0.6227544910179641,0.7123287671232876,0.5961538461538461,0.3299319727891156,0.36082474226804123,0.3684210526315789,0.08503401360544217,0.56,0.56,0.9285714285714286,,,,,0.017006802721088437,,,,0.7671232876712328,,,0.0136986301369863,0.527027027027027,0.6410256410256411,,,0.06756756756756757,,0.5850340136054422,,0.4884825862068965,0.5123066176470588,0.4715192857142857,0.1906158357771261,0.19345238095238096,0.29396325459317585,0.2440944881889764,4.011764705882353,43.1,0.2581699346405229,34.0,42.0,28.0,17.0,64.0,2.0,7.0,4.0,,,9.0,6.0,18.0,6.0,4.0,,,3.0,3.0,6.0,0.5833333333333334,0.020618556701030927,,0.06779661016949153,0.14835164835164835,0.7428571428571429,0.6071428571428571,0.08823529411764706,,,,,,,,,,,,,,,,True,
2058,1610612750,Mark Madsen,Mark Madsen,2058,MIN,17878.0,298,17,555,564,136,174,67,1119,11,14,8.0,2.0,3.0,1,3,1,1,,,,,,,,,,,,13,18,,,11.0,37,592,8,,,14.0,3.0,4,,,14.0,12,14.0,,,,,,,5,2.0,7,2.0,1.0,1.0,16,4.0,14,8.0,23,,31,19,50,,6.0,6.0,,3.0,,3.0,11.0,,1.0,14.0,2.0,26.0,69,11.0,2.0,30,6.0,21.0,6.0,6.0,4.0,6.0,3.0,14.0,136,10.0,0.46153846153846156,0.8571428571428571,,,,,,0.7222222222222222,0.75,0.7222222222222222,0.875,0.75,0.6379310344827587,0.7777777777777778,0.7,,,,6.614173228346457,0.21428571428571427,,0.12041884816753927,0.07216494845360824,0.09876543209876543,0.09523809523809523,0.11397058823529412,0.07627118644067797,0.06349206349206349,0.06382978723404255,0.03333333333333333,0.25,0.0967741935483871,0.15789473684210525,0.12087912087912088,0.08064516129032258,0.15789473684210525,,0.5,0.7777777777777778,0.7857142857142857,0.7857142857142857,0.45454545454545453,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.05555555555555555,1.0,1.0,1.0,,,,,,,,,1.0,,,,0.75,0.6666666666666666,,,,,0.7777777777777778,,0.4961666666666667,0.5201625,0.40522500000000006,0.25,0.25,0.3783783783783784,0.3783783783783784,2.05,,0.24504504504504504,7.0,7.0,,8.0,12.0,,3.0,1.0,1.0,,1.0,9.0,,5.0,2.0,,,5.0,,4.0,0.875,,,0.07692307692307693,0.10810810810810811,,0.875,0.14285714285714285,,,,,,,,,,,,,,,,True,
2239,1610612750,Trenton Hassell,Trenton Hassell,2239,MIN,104553.0,1743,-72,3314,3313,763,770,353,6627,61,101,29.0,12.0,22.0,30,67,73,156,4.0,11.0,,2.0,1.0,3.0,1.0,9.0,,,2.0,164,324,5.0,20.0,54.0,397,3571,52,,2.0,73.0,29.0,58,1.0,5.0,87.0,186,142.0,15.0,,,9.0,1.0,18.0,125,30.0,155,19.0,48.0,18.0,340,12.0,49,35.0,95,3.0,133,61,194,5.0,16.0,8.0,8.0,32.0,5.0,29.0,31.0,3.0,10.0,63.0,8.0,62.0,120,4.0,6.0,59,5.0,71.0,28.0,19.0,10.0,20.0,12.0,87.0,763,15.0,0.5670731707317073,0.62,1.0,0.25,,0.2,0.25,0.5061728395061729,0.5,0.498546511627907,0.6111111111111112,0.48412698412698413,0.5265251989389921,0.6403508771929824,0.5576923076923077,0.05813953488372093,0.05555555555555555,0.13861386138613863,11.824778285407149,0.5079365079365079,0.03,0.0750394944707741,0.041107382550335574,0.0945945945945946,0.048582995951417005,0.07946210268948656,0.0423905489923558,0.05993690851735016,0.03747870528109029,0.03932584269662921,0.07246376811594203,0.07021791767554479,0.08710801393728224,0.07243816254416961,0.11428571428571428,0.03333333333333333,0.03184713375796178,0.6,0.2936046511627907,0.6039603960396039,0.7011494252873564,0.4262295081967213,0.19476744186046513,0.44776119402985076,0.46875,0.45348837209302323,0.46794871794871795,0.47096774193548385,0.7808219178082192,0.03197674418604651,0.36363636363636365,0.36363636363636365,1.0,0.02616279069767442,0.1111111111111111,0.1111111111111111,1.0,0.5370370370370371,0.037037037037037035,,,0.3492063492063492,0.5454545454545454,0.047619047619047616,0.3333333333333333,0.031746031746031744,,0.35174418604651164,0.1111111111111111,0.4557651162790694,0.48285111111111106,0.44958571428571426,0.07629427792915532,0.08069164265129683,0.18387909319899245,0.21914357682619648,10.705246913580245,24.205,0.23023536511768256,18.0,33.0,7.0,26.0,28.0,11.0,59.0,,6.0,,8.0,4.0,5.0,10.0,5.0,,,4.0,,10.0,0.6346153846153846,0.04477611940298507,0.00641025641025641,,0.027777777777777776,0.3333333333333333,0.6206896551724138,0.2222222222222222,,,4.0,,,,,,,,,,,1.0,1.0,True,
2770,1610612750,Justin Reed,Justin Reed,2770,MIN,9012.0,150,-73,302,298,85,87,42,600,9,23,3.0,2.0,3.0,3,8,8,20,,,,,,,,,,,,20,51,,,9.0,49,367,6,,,7.0,6.0,10,,,15.0,30,10.0,,,,,,11.0,2,2.0,4,1.0,,1.0,10,1.0,4,5.0,8,1.0,14,5,19,,2.0,,2.0,3.0,,,5.0,3.0,2.0,8.0,,12.0,21,3.0,2.0,12,4.0,12.0,4.0,,,,,15.0,85,2.0,0.75,0.7894736842105263,,,,,,0.39215686274509803,0.6,0.39215686274509803,0.5,0.6,0.4298245614035088,0.5,0.625,,0.21568627450980393,0.391304347826087,18.731988472622476,0.375,0.07692307692307693,0.1,0.031496062992125984,0.12195121951219512,0.03571428571428571,0.10743801652892562,0.03225806451612903,0.037037037037037035,0.034482758620689655,,0.14285714285714285,0.05,,0.1590909090909091,0.10344827586206896,0.16666666666666666,,,0.45098039215686275,0.391304347826087,0.6428571428571429,0.7777777777777778,0.1568627450980392,0.375,0.5,0.39215686274509803,0.4,0.4,1.0,,,,,,,,,0.5,,,,0.3,0.6666666666666666,,,,,0.45098039215686275,,0.4575333333333334,0.45167999999999997,0.42352,0.07272727272727272,0.07272727272727272,0.14285714285714285,0.30612244897959184,8.52156862745098,,0.2814569536423841,2.0,3.0,1.0,3.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,2.0,,,,,,2.0,0.5,0.25,,,0.023809523809523808,,0.6666666666666666,0.5,,,,,,,,,,,,,,,,True,
