EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyFG2M,PtsUnassisted2s,ThreePtAssists,Arc3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyEfgPct,OffLongMidRangeReboundPct,SelfORebPct,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,Corner3FGA,SecondChanceCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,Corner3Assists,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,ShortMidRangeAssists,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFtPoints,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,on,SecondChanceArc3FGM,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,BlockedShortMidRange,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips,OffensiveGoaltends
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,1856.0,31,18,60,62,13.0,33.0,11.0,122,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,15.0,40,1.0,1.0,2.0,2.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,6.0,2.0,8,2.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.7142857142857143,0.8333333333333334,0.5,0.2857142857142857,12.67605633802817,0.25,0.25,0.03571428571428571,0.18181818181818182,0.2222222222222222,0.03125,0.1,0.2,0.4,0.16666666666666666,0.25,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.5285857142857143,0.5502,0.5502,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.13333333333333333,8.419999999999998,24.7,0.21666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
101179,1610612758,Ronnie Price,Ronnie Price,101179,SAC,1213.0,20,16,38,41,11.0,20.0,7.0,79,5.0,8.0,,4.0,,2.0,,2.0,5.0,10.0,,2.0,,10.0,26,,4.0,,6.0,6.0,,2.0,,,1.0,,3.0,1.0,,,1.0,1.0,1.0,2,2.0,3.0,,1.0,1.0,1.0,,,,,,6.0,11.0,,0.6,0.6,,,,0.5,0.4166666666666667,0.4166666666666667,0.75,0.16666666666666666,31.818181818181817,,0.09090909090909091,0.07142857142857142,,0.058823529411764705,0.05555555555555555,,,,0.14285714285714285,,,0.6666666666666666,0.625,0.625,0.6,0.16666666666666666,,,,0.16666666666666666,,,,,1.0,0.8333333333333334,,0.5784090909090909,,0.674725,0.08333333333333333,0.1,,0.6,3.3,33.45,0.2894736842105263,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.75,0.75,0.25,0.16666666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1508,1610612758,Maurice Taylor,Maurice Taylor,1508,SAC,6195.0,103,29,194,198,54.0,61.0,28.0,392,5.0,15.0,7.0,5.0,,6.0,,,8.0,28.0,,,8.0,24.0,167,7.0,6.0,6.0,8.0,4.0,,,,4.0,5.0,,11.0,7.0,,8.0,7.0,18.0,10.0,28,6.0,16.0,4.0,9.0,13.0,4.0,,1.0,,1.0,1.0,8.0,54.0,2.0,0.25,0.4,,,,0.2857142857142857,0.2857142857142857,0.35294117647058826,0.4,,17.621145374449338,,0.109375,0.10144927536231885,0.25,0.15625,0.1111111111111111,0.05263157894736842,0.13333333333333333,0.21428571428571427,0.05714285714285714,0.2,1.0,0.5357142857142857,0.3333333333333333,0.45454545454545453,0.2,0.21428571428571427,,,,,,,,1.0,0.8333333333333334,0.5357142857142857,,0.46683214285714275,0.5453,0.5094833333333333,0.12903225806451613,0.12903225806451613,,0.3333333333333333,6.1642857142857155,,0.27835051546391754,,1.0,12.0,1.0,1.0,1.0,,5.0,6.0,1.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.06666666666666667,,3.0,3.0,7.0,3.0,6.0,6.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.17857142857142858,0.26666666666666666,0.14285714285714285,0.16666666666666666,0.375,0.14285714285714285,0.15384615384615385,0.16666666666666666,0.3333333333333333,0.25,0.42857142857142855,0.5,0.3333333333333333,0.42857142857142855,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1897,1610612758,Metta World Peace,Metta World Peace,1897,SAC,4063.0,68,19,128,130,31.0,23.0,16.0,258,3.0,8.0,2.0,2.0,5.0,9.0,1.0,4.0,8.0,19.0,1.0,5.0,2.0,21.0,113,3.0,5.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,9.0,5.0,,,5.0,6.0,6.0,12,1.0,6.0,,6.0,5.0,3.0,,,,,,3.0,31.0,1.0,0.25,0.25,1.0,0.2,0.2,0.42105263157894735,0.3958333333333333,0.40384615384615385,0.21428571428571427,0.20833333333333334,20.80536912751678,,0.1282051282051282,0.12195121951219512,,0.08771929824561403,0.10344827586206896,0.25,0.14285714285714285,,0.16,,,0.3333333333333333,0.375,0.42857142857142855,,0.375,0.5555555555555556,0.5555555555555556,0.4,0.16666666666666666,0.25,0.25,1.0,0.4,0.3333333333333333,0.5416666666666666,0.25,0.5060312499999999,0.5294,0.44099166666666667,0.11538461538461539,0.14285714285714285,,0.14285714285714285,9.626315789473685,25.0,0.2421875,,1.0,12.0,1.0,,,1.0,4.0,5.0,1.0,0.2,0.16666666666666666,0.07142857142857142,,,,,2.0,1.0,2.0,,3.0,2.0,1.0,1.0,8.0,4.0,4.0,1.0,1.0,,1.0,2.0,1.0,,,,,0.3333333333333333,0.2,0.2,0.15789473684210525,0.125,1.0,0.2,0.3333333333333333,0.058823529411764705,0.06666666666666667,0.07142857142857142,,0.08333333333333333,,,,,0.09523809523809523,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.041666666666666664,0.2,0.2,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
722,1610612758,Corliss Williamson,Corliss Williamson,722,SAC,1891.0,32,17,56,56,8.0,20.0,12.0,112,5.0,6.0,3.0,1.0,1.0,2.0,,,6.0,11.0,,,,12.0,35,5.0,1.0,,2.0,8.0,,,,1.0,1.0,1.0,2.0,4.0,,2.0,1.0,5.0,4.0,9,4.0,6.0,,2.0,,,,,,,,2.0,8.0,1.0,0.6666666666666666,1.0,,,,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,,18.84057971014493,,0.058823529411764705,0.14285714285714285,0.14285714285714285,0.0967741935483871,0.12121212121212122,0.09090909090909091,,,0.1111111111111111,0.1111111111111111,,0.5454545454545454,0.8333333333333334,0.8333333333333334,0.6,0.18181818181818182,0.5,0.5,1.0,,,,,0.6,1.0,0.5454545454545454,,0.4957181818181819,0.5117499999999999,0.7556,,,,0.16666666666666666,5.072727272727272,,0.14285714285714285,1.0,1.0,4.0,,,1.0,,1.0,2.0,,1.0,1.0,0.125,0.2,1.0,3.0,,3.0,3.0,6.0,4.0,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,0.6,0.6,0.6,,,,0.5,0.5,,0.2222222222222222,,0.2,0.2727272727272727,,,,1.0,0.5,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
200763,1610612758,Quincy Douby,Quincy Douby,200763,SAC,898.0,15,3,29,29,8.0,16.0,4.0,58,1.0,1.0,,1.0,,,,3.0,2.0,4.0,1.0,4.0,,7.0,28,1.0,1.0,,2.0,,3.0,3.0,,1.0,1.0,,2.0,1.0,,,,,1.0,1,,,,1.0,,,,,,,,2.0,8.0,,,,1.0,0.25,0.25,0.5,0.4375,0.4375,0.5,0.5,24.242424242424242,,,0.08333333333333333,,,0.0625,0.16666666666666666,,,,,,0.125,1.0,1.0,,,,,,0.375,,,,,0.5,0.625,,0.505075,0.4494,0.56725,,,,0.2857142857142857,5.775,24.675,0.27586206896551724,1.0,1.0,4.0,,,,,,,,1.0,0.5,,,1.0,,1.0,3.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,0.375,0.3333333333333333,0.3333333333333333,,,0.2857142857142857,1.0,,,1.0,,1.0,,0.125,,,0.5,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2078,1610612758,Jason Hart,Jason Hart,2078,SAC,184.0,3,2,6,6,,5.0,,12,,,,,,,1.0,1.0,,,1.0,1.0,,3.0,3,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1,,,,,,,,,,,,,,,,,,1.0,1.0,,1.5,1.5,,1.0,16.666666666666668,,0.5,,,0.5,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,0.42075,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2422,1610612758,John Salmons,John Salmons,2422,SAC,3825.0,64,21,118,121,52.0,38.0,19.0,239,5.0,7.0,,1.0,1.0,5.0,,2.0,6.0,13.0,,2.0,6.0,18.0,96,,4.0,3.0,5.0,6.0,,2.0,,5.0,6.0,1.0,13.0,1.0,1.0,1.0,6.0,8.0,2.0,10,1.0,5.0,,6.0,8.0,5.0,,,,,,5.0,52.0,,0.5,0.5,,,,0.46153846153846156,0.4,0.5,0.35714285714285715,0.13333333333333333,15.602836879432624,0.125,0.14285714285714285,0.023255813953488372,0.043478260869565216,0.1076923076923077,0.01818181818181818,,0.5,0.1,0.041666666666666664,,,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.6,0.3333333333333333,0.2,0.2,,0.13333333333333333,,,,,0.16666666666666666,0.6,,0.50948,0.34275,0.4727333333333333,0.2777777777777778,0.3125,,0.2777777777777778,7.3076923076923075,24.65,0.4406779661016949,1.0,1.0,6.0,1.0,,,,3.0,4.0,2.0,0.25,0.16666666666666666,,,1.0,,,1.0,,,,,4.0,,1.0,2.0,1.0,1.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,0.25,0.2,,0.05263157894736842,,0.1111111111111111,0.06666666666666667,,,,,,,,1.0,2.0,1.0,2.0,1.0,,,1.0,0.3333333333333333,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,3826.0,64,7,123,125,36.0,39.0,16.0,248,,2.0,,1.0,2.0,4.0,2.0,9.0,3.0,9.0,2.0,10.0,5.0,17.0,112,1.0,3.0,4.0,11.0,2.0,3.0,9.0,2.0,5.0,7.0,2.0,16.0,,,1.0,2.0,3.0,2.0,5,1.0,3.0,,6.0,8.0,4.0,,,,,,11.0,36.0,,0.3333333333333333,0.3333333333333333,0.5,0.2,0.2,0.3333333333333333,0.3157894736842105,0.3695652173913043,0.6111111111111112,0.5263157894736842,22.69503546099291,,0.05,,0.041666666666666664,0.046875,0.03773584905660377,,,0.14285714285714285,0.047619047619047616,,,0.10526315789473684,,,,0.21052631578947367,0.5,0.5,0.5,0.47368421052631576,0.2222222222222222,0.2222222222222222,0.5,,0.14285714285714285,0.631578947368421,0.2222222222222222,0.5117473684210526,,0.5253928571428571,0.17391304347826086,0.3076923076923077,,0.6470588235294118,12.244444444444445,24.75,0.2926829268292683,,2.0,4.0,2.0,,1.0,1.0,3.0,9.0,,0.6666666666666666,0.5,,0.08333333333333333,,,1.0,3.0,,,,2.0,2.0,2.0,,1.0,1.0,,6.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,0.2222222222222222,0.5,0.3333333333333333,0.6666666666666666,,0.15384615384615385,,0.16666666666666666,0.125,0.15789473684210525,0.3333333333333333,0.5,,,,1.0,,,3.0,,4.0,2.0,0.05263157894736842,,,0.42857142857142855,,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.25,0.14285714285714285,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,900.0,15,18,31,31,14.0,16.0,2.0,62,,,,,1.0,2.0,,,1.0,3.0,,,2.0,4.0,20,2.0,1.0,2.0,2.0,2.0,,,,3.0,4.0,1.0,9.0,,,,3.0,3.0,,3,1.0,1.0,,1.0,2.0,,,1.0,,1.0,1.0,2.0,14.0,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,,15.15151515151515,,0.15,,,0.125,,,,0.4,0.1,,1.0,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,0.36590000000000006,0.36829999999999996,0.4084,,,,0.5,14.566666666666668,,0.45161290322580644,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,2.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,0.3333333333333333,,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
