EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,StepOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedLongMidRange,LongMidRangePctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,on,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked
101143,1610612753,Travis Diener,Travis Diener,101143,ORL,4391.0,73,-29,141,142,55,42,20,283,1.0,1.0,1.0,2.0,6.0,14.0,1.0,2.0,2.0,4.0,1,1,7.0,16.0,1.0,24,160,1.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,9.0,2.0,21.0,14.0,6.0,3,2.0,5,2.0,1,1.0,1.0,12,1.0,1,2,2,1.0,1.0,1.0,1.0,1.0,3,11,1,2.0,1.0,9.0,55,4,1.0,1.0,0.4375,0.5,0.5,0.4375,1.0,1.0,0.6764705882352942,0.75,0.8,0.6666666666666666,0.75,0.75,0.9411764705882353,11.30952380952381,1.0,0.02040816326530612,0.07692307692307693,0.03225806451612903,0.043478260869565216,0.125,0.058823529411764705,1.0,1.0,0.11764705882352941,0.5,0.5,1.0,0.8235294117647058,0.42857142857142855,0.42857142857142855,1.0,1.0,0.5,1.0,0.8,0.5,0.9411764705882353,0.42857142857142855,0.49952352941176476,0.44655,0.48602,0.125,0.375,20.9,25.293749999999996,0.3900709219858156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,64921.0,1082,-6,2001,2007,423,309,242,4008,25.0,66.0,,,,1.0,,,,,124,245,,1.0,30.0,278,2065,,,58.0,25.0,41.0,,,7.0,57.0,70.0,,1.0,,21,2.0,23,2.0,15,1.0,5.0,48,36.0,112,160,228,17.0,8.0,17.0,14.0,40.0,89,117,47,45.0,7.0,57.0,423,3,5.0,,,,,,0.5061224489795918,0.6097560975609756,0.5040650406504065,0.5094339622641509,0.6097560975609756,0.5225563909774437,0.5087719298245614,0.6063829787234043,0.0040650406504065045,13.37719298245614,0.425,0.14873837981407703,0.1791044776119403,0.15513626834381553,0.1339031339031339,0.20261437908496732,0.2682926829268293,0.3787878787878788,0.3787878787878788,,,,,0.0040650406504065045,,,,,,,,,0.3699186991869919,,0.46278313008130123,0.5172020833333334,0.47200243902439026,0.20863309352517986,0.20503597122302158,7.783673469387754,24.8,0.21139430284857572,56.0,90.0,19.0,38.0,14.0,21.0,43.0,89.0,27.0,53.0,4.0,178.0,38.0,16.0,10.0,53.0,5.0,12.0,68.0,5.0,9.0,4.0,23.0,2.0,3.0,2.0,4.0,14.0,5.0,3.0,13.0,3.0,6.0,19.0,23.0,18.0,5.0,23.0,16.0,1.0,1.0,9.0,5.0,0.717741935483871,0.8476190476190476,0.5094339622641509,0.0653061224489796,0.12222222222222222,0.056179775280898875,0.2222222222222222,0.058823529411764705,0.06982872200263504,0.08333333333333333,0.07167235494880546,0.08130081300813008,0.09292035398230089,0.041811846689895474,0.08235294117647059,0.08571428571428572,0.16055045871559634,0.16304347826086957,0.10416666666666667,0.047619047619047616,0.6956521739130435,0.36585365853658536,0.6222222222222222,0.7088607594936709,0.6964285714285714,0.3617886178861789,0.48314606741573035,0.5119047619047619,0.6744186046511628,0.84,0.7169811320754716,0.5,0.21052631578947367,0.5121951219512195,0.6666666666666666,0.07335907335907337,0.07364341085271318,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,2093.0,35,-18,59,61,7,19,7,120,1.0,3.0,,,,4.0,,1.0,,1.0,1,3,,4.0,,2,76,,1.0,2.0,,,,1.0,,,,,4.0,,1,,1,,1,,,2,,4,4,4,1.0,,,,2.0,5,8,3,,,,7,1,,,,,,,0.3333333333333333,,0.14285714285714285,0.5,,0.14285714285714285,0.5,,0.5714285714285714,13.432835820895521,,0.3076923076923077,,0.18181818181818182,0.3333333333333333,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,0.5714285714285714,,,,0.5,,,1.0,,0.5714285714285714,,0.40977857142857144,0.45467499999999994,0.2463,1.0,,20.03333333333333,26.249999999999996,0.11864406779661017,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
255,1610612753,Grant Hill,Grant Hill,255,ORL,120517.0,2009,-66,3759,3767,1162,1031,491,7526,107.0,273.0,1.0,6.0,1.0,6.0,,,1.0,2.0,340,648,2.0,12.0,248.0,934,3951,,,83.0,95.0,176.0,2.0,3.0,110.0,306.0,332.0,6.0,6.0,1.0,111,27.0,138,19.0,69,17.0,25.0,303,44.0,123,184,237,61.0,8.0,75.0,43.0,144.0,70,146,232,324.0,25.0,306.0,1162,19,24.0,1.0,0.16666666666666666,,0.6666666666666666,0.16666666666666666,0.5246913580246914,0.5397727272727273,0.5196969696969697,0.5151515151515151,0.547486033519553,0.5789141414141414,0.5547945205479452,0.6213991769547325,0.01818181818181818,21.62162162162162,0.5208333333333334,0.09179104477611941,0.11369509043927649,0.09669947886508395,0.13495934959349593,0.11498257839721254,0.41363636363636364,0.39194139194139194,0.40074906367041196,0.00909090909090909,0.16666666666666666,0.16666666666666666,1.0,0.00909090909090909,0.16666666666666666,0.16666666666666666,1.0,,,,0.0111731843575419,0.5,0.3984848484848485,0.16666666666666666,0.4790392424242426,0.45349000000000006,0.4890181564245812,0.08886509635974305,0.32762312633832974,9.469290123456789,25.025000000000002,0.3091247672253259,180.0,251.0,18.0,27.0,54.0,78.0,53.0,124.0,34.0,66.0,15.0,348.0,24.0,37.0,4.0,45.0,4.0,17.0,53.0,11.0,53.0,8.0,69.0,7.0,32.0,16.0,15.0,44.0,6.0,27.0,9.0,21.0,38.0,145.0,25.0,17.0,3.0,25.0,13.0,,1.0,,4.0,0.5117647058823529,0.5304878048780488,0.5151515151515151,0.05709876543209876,0.07171314741035857,0.10483870967741936,0.1349206349206349,0.02197802197802198,0.03301540719002201,0.016666666666666666,0.03056768558951965,0.04212860310421286,0.030927835051546393,0.026717557251908396,0.017857142857142856,0.013888888888888888,0.05555555555555555,0.0547112462006079,0.11,0.03985507246376811,0.52,0.3803030303030303,0.7171314741035857,0.7725321888412017,0.5388888888888889,0.18787878787878787,0.4274193548387097,0.4774774774774775,0.3018867924528302,0.5700934579439252,0.4090909090909091,0.6666666666666666,0.2777777777777778,0.43575418994413406,0.6923076923076923,0.18904823989569752,0.19205298013245034,1.0,1.0,8.0,4.0,22.0,5.0,0.02197802197802198,0.00558659217877095,1.0,,,,,,,,,,,,True,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,92271.0,1538,-38,2900,2902,886,790,374,5802,79.0,196.0,8.0,26.0,31.0,95.0,2.0,4.0,12.0,37.0,188,428,39.0,121.0,108.0,601,3019,3.0,6.0,45.0,53.0,128.0,13.0,44.0,56.0,201.0,284.0,78.0,93.0,31.0,190,29.0,219,20.0,118,23.0,49.0,467,29.0,89,122,153,51.0,22.0,84.0,66.0,124.0,66,153,125,133.0,20.0,201.0,886,19,18.0,0.6666666666666666,0.32231404958677684,0.5,0.29545454545454547,0.3277310924369748,0.4392523364485981,0.4140625,0.44899817850637525,0.5,0.42151162790697677,0.48588039867109634,0.5365853658536586,0.4802955665024631,0.2204007285974499,21.70008979347501,0.6774193548387096,0.08657587548638132,0.09119496855345911,0.08766716196136701,0.11016949152542373,0.09166666666666666,0.3570127504553734,0.4030612244897959,0.4072164948453608,0.04735883424408015,0.3076923076923077,0.3076923076923077,0.625,0.17304189435336975,0.3263157894736842,0.3263157894736842,0.6774193548387096,0.10810810810810811,0.5,1.0,0.21511627906976744,0.32432432432432434,0.5355191256830601,0.3333333333333333,0.4887858974358974,0.4696666666666668,0.4556050000000001,0.07487520798668885,0.33444259567387685,10.046261682242989,25.728099173553726,0.30551724137931036,90.0,173.0,5.0,13.0,23.0,47.0,19.0,59.0,14.0,31.0,8.0,92.0,2.0,44.0,9.0,19.0,3.0,4.0,31.0,5.0,29.0,8.0,40.0,1.0,18.0,12.0,8.0,40.0,5.0,13.0,2.0,13.0,7.0,37.0,3.0,1.0,1.0,3.0,1.0,,,,1.0,0.24468085106382978,0.24598930481283424,0.45161290322580644,0.102803738317757,0.20809248554913296,0.1016949152542373,0.0392156862745098,0.02142857142857143,0.017907634307257305,0.047872340425531915,0.02241793434747798,0.011204481792717087,0.009933774834437087,0.029850746268656716,0.03076923076923077,0.08620689655172414,0.07407407407407407,0.05791505791505792,0.08974358974358974,0.01893939393939394,0.3333333333333333,0.3151183970856102,0.5202312138728323,0.656934306569343,0.24444444444444444,0.10746812386156648,0.3220338983050847,0.3584905660377358,0.10526315789473684,0.27848101265822783,0.35135135135135137,0.38461538461538464,0.2,0.27325581395348836,0.48936170212765956,0.06872852233676977,0.08078602620087336,1.0,7.0,9.0,2.0,17.0,1.0,0.01020408163265306,0.040697674418604654,0.14285714285714285,1.0,2.0,39.0,2.0,3.0,0.05405405405405406,0.5,1.0,0.024193548387096774,,,True,,,,,,,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,25911.0,432,-21,827,824,382,348,118,1651,18.0,54.0,2.0,12.0,3.0,19.0,,2.0,1.0,7.0,39,95,5.0,31.0,34.0,127,907,2.0,5.0,18.0,18.0,44.0,2.0,14.0,23.0,65.0,38.0,12.0,19.0,3.0,24,6.0,30,5.0,14,1.0,9.0,66,2.0,19,23,31,13.0,5.0,8.0,5.0,17.0,7,41,35,48.0,12.0,65.0,382,14,10.0,0.8,0.16129032258064516,0.4,0.14285714285714285,0.16129032258064516,0.4105263157894737,0.4090909090909091,0.36904761904761907,0.5294117647058824,0.3620689655172414,0.42567567567567566,0.5294117647058824,0.4452054794520548,0.24603174603174602,17.133956386292834,0.47058823529411764,0.07539682539682539,0.024390243902439025,0.06287425149700598,0.07758620689655173,0.017543859649122806,0.42857142857142855,0.3333333333333333,0.34615384615384615,0.09523809523809523,0.16666666666666666,0.16666666666666666,0.5,0.15079365079365079,0.15789473684210525,0.15789473684210525,1.0,0.11764705882352941,,,0.1206896551724138,0.14285714285714285,0.4365079365079365,0.15789473684210525,0.44063611111111123,0.44198125,0.42495258620689647,0.14173228346456693,0.5118110236220472,12.35157894736842,25.051612903225802,0.4619105199516324,12.0,24.0,2.0,2.0,5.0,11.0,9.0,17.0,6.0,12.0,,40.0,,7.0,1.0,7.0,,2.0,8.0,1.0,8.0,2.0,9.0,1.0,3.0,1.0,1.0,7.0,,2.0,1.0,4.0,2.0,12.0,4.0,2.0,2.0,5.0,,,,,,0.5128205128205128,0.5128205128205128,0.5,0.07368421052631578,0.16666666666666666,0.058823529411764705,0.05405405405405406,,0.023972602739726026,0.014285714285714285,0.022099447513812154,0.022727272727272728,,0.04032258064516129,0.02,,0.12162162162162163,0.016129032258064516,0.04,0.013513513513513514,,0.19047619047619047,0.5,0.6,0.75,0.1349206349206349,0.5294117647058824,0.5625,0.2222222222222222,0.5,0.11764705882352941,1.0,1.0,0.1896551724137931,0.45454545454545453,0.08823529411764706,0.11428571428571428,1.0,7.0,1.0,1.0,2.0,,0.037037037037037035,0.1206896551724138,0.14285714285714285,2.0,3.0,3.0,,,0.17647058823529413,0.6666666666666666,0.5,,1.0,1.0,True,,,,,,,
2545,1610612753,Darko Milicic,Darko Milicic,2545,ORL,41706.0,695,-50,1297,1307,476,427,187,2604,8.0,23.0,,,,,,,,,81,192,,,50.0,212,1381,,,61.0,30.0,62.0,,,26.0,86.0,72.0,,,,21,3.0,24,3.0,7,3.0,11.0,51,23.0,69,103,168,15.0,7.0,18.0,9.0,39.0,48,84,62,81.0,17.0,86.0,476,6,15.0,,,,,,0.421875,0.4838709677419355,0.421875,0.43137254901960786,0.4838709677419355,0.4608695652173913,0.48412698412698413,0.5180722891566265,,17.72068511198946,0.46153846153846156,0.14935064935064934,0.17424242424242425,0.15488215488215487,0.18274111675126903,0.2127659574468085,0.11979166666666667,0.34782608695652173,0.34782608695652173,,,,,,,,,,,,,,0.4635416666666667,,0.4632833333333332,0.525634693877551,0.46850806451612903,0.28773584905660377,0.4056603773584906,5.422916666666668,,0.36700077101002315,46.0,89.0,19.0,42.0,18.0,30.0,27.0,80.0,22.0,51.0,17.0,90.0,30.0,15.0,4.0,54.0,7.0,11.0,65.0,8.0,8.0,5.0,21.0,2.0,9.0,2.0,4.0,14.0,3.0,7.0,7.0,6.0,5.0,26.0,57.0,33.0,16.0,57.0,36.0,,,4.0,2.0,0.5555555555555556,0.6818181818181818,0.43137254901960786,0.078125,0.11235955056179775,0.0625,0.2558139534883721,0.10144927536231885,0.11563169164882227,0.05063291139240506,0.10622710622710622,0.12048192771084337,0.11678832116788321,0.10975609756097561,0.018867924528301886,0.11538461538461539,0.06293706293706294,0.19672131147540983,0.07894736842105263,0.08333333333333333,0.631578947368421,0.4635416666666667,0.5168539325842697,0.5822784810126582,0.5,0.4166666666666667,0.3375,0.36,0.5555555555555556,0.875,0.8235294117647058,0.4523809523809524,0.10526315789473684,0.4838709677419355,0.6,0.12206572769953052,0.12206572769953052,,,,,,8.0,,,,,,,,,,,,,,,True,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,77781.0,1296,18,2434,2425,640,602,310,4859,44.0,132.0,15.0,39.0,44.0,110.0,2.0,9.0,10.0,33.0,117,300,59.0,149.0,93.0,504,2529,2.0,13.0,40.0,21.0,65.0,13.0,44.0,29.0,110.0,136.0,168.0,109.0,44.0,113,12.0,125,8.0,73,24.0,16.0,262,22.0,91,123,158,42.0,17.0,45.0,32.0,79.0,59,117,75,110.0,12.0,110.0,640,15,11.0,0.9491525423728814,0.3959731543624161,0.15384615384615385,0.29545454545454547,0.39864864864864863,0.39,0.3230769230769231,0.4576837416481069,0.30612244897959184,0.37155963302752293,0.5020120724346077,0.37037037037037035,0.43951612903225806,0.33184855233853006,20.571428571428573,0.569620253164557,0.10423825887743414,0.08979591836734693,0.10107334525939177,0.116751269035533,0.06486486486486487,0.29398663697104677,0.3333333333333333,0.3333333333333333,0.08685968819599109,0.38461538461538464,0.38461538461538464,1.0,0.24498886414253898,0.4,0.4,0.9318181818181818,0.1836734693877551,0.2222222222222222,1.0,0.30275229357798167,0.30303030303030304,0.5701559020044543,0.4036697247706422,0.49575827740492184,0.5039192307692308,0.47835981308411213,0.07936507936507936,0.21825396825396826,10.085333333333331,25.25637583892617,0.2629416598192276,54.0,107.0,8.0,23.0,7.0,23.0,19.0,61.0,12.0,36.0,10.0,98.0,10.0,8.0,8.0,23.0,4.0,10.0,35.0,9.0,25.0,14.0,34.0,2.0,13.0,10.0,3.0,22.0,5.0,6.0,3.0,3.0,9.0,45.0,9.0,5.0,3.0,9.0,3.0,,,,,0.4188034188034188,0.4375,0.3333333333333333,0.02666666666666667,0.06542056074766354,0.01639344262295082,0.11764705882352941,0.03508771929824561,0.026255707762557076,0.04938271604938271,0.029865125240847785,0.05723905723905724,0.016,0.0060790273556231,0.034482758620689655,0.08695652173913043,0.07279693486590039,0.11926605504587157,0.16666666666666666,0.034482758620689655,0.3333333333333333,0.2383073496659243,0.5046728971962616,0.54,0.4444444444444444,0.1358574610244989,0.3114754098360656,0.31666666666666665,0.15789473684210525,0.5,0.46938775510204084,0.34782608695652173,,0.21100917431192662,0.30434782608695654,0.09278350515463918,0.13392857142857142,3.0,11.0,4.0,,5.0,1.0,,0.10091743119266056,0.2727272727272727,,4.0,9.0,1.0,,0.08163265306122448,,,,,,True,,,,,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,104086.0,1735,-26,3242,3243,986,861,419,6485,,4.0,,,,,,,,,297,518,,,216.0,810,3387,,,192.0,68.0,117.0,,,100.0,236.0,268.0,,,,73,14.0,87,11.0,42,5.0,26.0,188,90.0,288,420,576,41.0,22.0,80.0,22.0,190.0,60,134,298,381.0,45.0,236.0,986,16,43.0,,,,,,0.5733590733590733,0.5811965811965812,0.5733590733590733,0.6239316239316239,0.5811965811965812,0.5852601156069365,0.6233766233766234,0.6051282051282051,,23.671497584541065,0.42105263157894735,0.2491349480968858,0.26785714285714285,0.25335120643431636,0.24907749077490776,0.28174603174603174,0.007722007722007722,,,,,,,,,,,,,,,,0.6621621621621622,,0.5044057915057916,0.5279009708737865,0.4955059829059829,0.23703703703703705,0.291358024691358,2.7700772200772197,,0.3041332510795805,236.0,343.0,65.0,98.0,55.0,76.0,61.0,171.0,73.0,117.0,46.0,326.0,108.0,63.0,19.0,133.0,4.0,42.0,156.0,8.0,19.0,12.0,110.0,6.0,58.0,31.0,14.0,40.0,13.0,29.0,16.0,4.0,33.0,162.0,85.0,55.0,25.0,85.0,47.0,17.0,3.0,16.0,8.0,0.5488215488215489,0.6707818930041153,0.6239316239316239,0.12162162162162163,0.13411078717201166,0.09941520467836257,0.3853211009174312,0.02564102564102564,0.11435941530524506,0.0945273631840796,0.11143695014662756,0.14322916666666666,0.12012012012012012,0.08520179372197309,0.08450704225352113,0.11864406779661017,0.23076923076923078,0.2717391304347826,0.2261904761904762,0.050955414012738856,0.5529411764705883,0.6621621621621622,0.6880466472303207,0.7946127946127947,0.597457627118644,0.3301158301158301,0.3567251461988304,0.3961038961038961,0.36065573770491804,,0.8376068376068376,0.6632653061224489,0.18461538461538463,0.6495726495726496,0.7236842105263158,0.250386398763524,0.250386398763524,,,3.0,7.0,,5.0,,,,,,,,,,,,,,,True,,,,,,,
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,20274.0,338,-38,613,614,173,154,87,1227,23.0,54.0,2.0,5.0,3.0,10.0,1.0,2.0,1.0,3.0,40,96,5.0,15.0,28.0,123,667,2.0,3.0,16.0,13.0,28.0,1.0,6.0,13.0,42.0,60.0,15.0,10.0,3.0,47,7.0,54,3.0,27,8.0,12.0,115,5.0,19,24,31,12.0,5.0,11.0,8.0,19.0,13,38,32,34.0,4.0,42.0,173,5,4.0,1.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.4642857142857143,0.42792792792792794,0.875,0.4264705882352941,0.4838709677419355,0.8333333333333334,0.525,0.13513513513513514,20.226308345120227,0.5789473684210527,0.08370044052863436,0.09433962264150944,0.08571428571428572,0.10309278350515463,0.08108108108108109,0.4864864864864865,0.42592592592592593,0.42592592592592593,0.04504504504504504,0.4,0.4,1.0,0.09009009009009009,0.3,0.3,1.0,0.25,0.5,1.0,0.08823529411764706,0.3333333333333333,0.3153153153153153,0.3,0.4521495495495494,0.45659375,0.4731661764705881,0.13008130081300814,0.34146341463414637,12.18229166666667,24.92666666666667,0.2822185970636215,9.0,20.0,,,4.0,9.0,8.0,22.0,4.0,5.0,2.0,20.0,,6.0,,7.0,,,7.0,2.0,7.0,3.0,8.0,1.0,3.0,3.0,,8.0,1.0,1.0,,6.0,3.0,12.0,1.0,,1.0,2.0,,,,,,0.25,0.25,0.8,0.0625,0.2,0.09090909090909091,,,0.03070175438596491,,0.026923076923076925,0.014705882352941176,0.04477611940298507,0.03225806451612903,,,0.06666666666666667,0.07272727272727272,0.125,0.03333333333333333,,0.18018018018018017,0.45,0.5625,0.3333333333333333,0.1981981981981982,0.36363636363636365,0.4,0.125,0.2608695652173913,,,,0.2647058823529412,0.4444444444444444,0.1,0.11428571428571428,,3.0,4.0,,5.0,,,0.08823529411764706,,1.0,1.0,,,,0.125,1.0,1.0,,1.0,1.0,True,,,,,,,
