EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,ShortMidRangeAssists,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,3pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,on,BlockedCorner3
101143,1610612753,Travis Diener,Travis Diener,101143,ORL,4525.0,75,-8,146,144,41,41,23,290,2.0,2.0,1.0,4.0,1.0,4.0,3.0,11.0,3.0,3,6,4.0,15.0,6.0,24,164,1,1,3.0,2.0,4,2,4.0,12.0,11.0,3.0,5,4.0,9,3.0,1.0,5.0,22,1.0,2,2,1,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5,11,2,8.0,3.0,1.0,1.0,4,41,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.26666666666666666,0.26666666666666666,0.5,1.0,0.42857142857142855,0.25,0.5,0.4,0.7142857142857143,15.294117647058824,0.6666666666666666,0.044444444444444446,0.022727272727272728,0.03389830508474576,0.015151515151515152,0.045454545454545456,0.11764705882352941,0.09523809523809523,1.0,1.0,0.5,0.19047619047619047,0.25,0.25,0.19047619047619047,0.25,0.25,1.0,0.5238095238095238,0.2727272727272727,0.2727272727272727,1.0,0.75,0.7142857142857143,0.2727272727272727,0.4820047619047619,0.4444,0.045454545454545456,0.0625,0.16666666666666666,17.95,24.699999999999996,0.2808219178082192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,19258.0,321,-15,579,586,146,130,74,1165,8.0,26.0,7.0,21.0,,,,,,36,79,,,13.0,85,602,7,18,,8.0,22,60,12.0,,,,6,1.0,7,1.0,,1.0,15,16.0,39,52,20,72,5.0,2.0,3.0,11.0,4.0,12.0,7.0,,23.0,6.0,26,44,16,17.0,,,3.0,22,146,8.0,3.0,0.8333333333333334,0.9375,,,,0.45569620253164556,0.3888888888888889,0.45569620253164556,0.3888888888888889,0.4885057471264368,0.4782608695652174,,16.417910447761194,0.4782608695652174,0.1780821917808219,0.07111111111111111,0.17142857142857143,0.06666666666666667,0.02666666666666667,0.12643678160919541,0.3291139240506329,0.3076923076923077,0.3333333333333333,0.875,0.26582278481012656,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.4050632911392405,,0.47295949367088613,0.41725555555555555,0.07142857142857142,,0.25882352941176473,7.610126582278482,,0.25215889464594127,21.0,32.0,6.0,12.0,3.0,5.0,7.0,19.0,14.0,8.0,6.0,5.0,1.0,3.0,9.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,6.0,5.0,5.0,5.0,3.0,1.0,1.0,6.0,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.0759493670886076,0.125,0.07692307692307693,0.2,0.10344827586206896,0.14754098360655737,0.03333333333333333,0.11428571428571428,0.075,0.045454545454545456,0.19230769230769232,0.24074074074074073,0.10638297872340426,0.2857142857142857,0.05555555555555555,0.6,0.4050632911392405,0.65625,0.75,0.7619047619047619,1.0,0.631578947368421,0.5,0.3333333333333333,0.2777777777777778,0.6,0.49204705882352945,0.07142857142857142,0.16470588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,9959.0,166,2,300,298,85,93,39,598,1.0,2.0,2.0,9.0,,,7.0,17.0,4.0,4,16,7.0,17.0,9.0,38,305,1,4,4.0,7.0,15,6,2.0,21.0,17.0,7.0,3,1.0,4,,1.0,,9,3.0,13,15,5,20,3.0,3.0,,2.0,2.0,4.0,,,6.0,2.0,9,19,10,11.0,,1.0,,15,85,4.0,,0.75,0.75,1.0,0.4117647058823529,0.4117647058823529,0.25,0.25,0.4393939393939394,0.5,0.5,0.625,0.5151515151515151,12.680115273775215,0.3333333333333333,0.10655737704918032,0.028037383177570093,0.0979020979020979,0.029411764705882353,,0.06382978723404255,0.06060606060606061,0.5,0.5,,0.2727272727272727,0.2222222222222222,0.2222222222222222,,,,,0.5151515151515151,0.4117647058823529,0.4117647058823529,1.0,0.5,0.6666666666666666,0.4117647058823529,0.47896818181818185,0.45991249999999995,0.13157894736842105,0.05555555555555555,0.39473684210526316,11.7125,25.476470588235294,0.2833333333333333,1.0,5.0,,,,1.0,,,8.0,,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,2.0,,,,4.0,,,,,,,,,0.5,0.6666666666666666,0.1875,0.6,,0.07692307692307693,0.0625,0.047619047619047616,0.034482758620689655,0.05405405405405406,0.041666666666666664,0.038461538461538464,0.10526315789473684,0.16216216216216217,,0.16666666666666666,,,0.15151515151515152,0.2,0.5,1.0,1.0,,,,0.125,,0.489525,0.2,0.21052631578947367,1.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,True,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,41712.0,695,40,1292,1288,338,380,171,2580,8.0,26.0,37.0,83.0,6.0,20.0,15.0,33.0,9.0,79,171,21.0,53.0,56.0,277,1313,23,42,14.0,24.0,79,64,94.0,60.0,33.0,15.0,39,11.0,50,5.0,6.0,11.0,111,10.0,18,30,14,44,27.0,16.0,11.0,18.0,14.0,21.0,4.0,3.0,39.0,5.0,15,54,51,70.0,9.0,2.0,5.0,79,338,12.0,4.0,0.4050632911392405,0.4155844155844156,0.9523809523809523,0.39622641509433965,0.39622641509433965,0.4619883040935672,0.5476190476190477,0.49330357142857145,0.49107142857142855,0.5378486055776892,0.5735294117647058,0.23660714285714285,19.37207748830995,0.46153846153846156,0.04035874439461883,0.021321961620469083,0.04770318021201413,0.02486678507992895,0.02197802197802198,0.05056179775280899,0.11607142857142858,0.3076923076923077,0.32,0.125,0.3705357142857143,0.4457831325301205,0.4457831325301205,0.08928571428571429,0.3,0.3,1.0,0.14732142857142858,0.45454545454545453,0.45454545454545453,0.9333333333333333,0.16071428571428573,0.5133928571428571,0.45454545454545453,0.4738879464285714,0.4681455357142858,0.11382113821138211,0.037037037037037035,0.2851985559566787,10.716374269005843,24.626415094339624,0.26160990712074306,34.0,62.0,2.0,3.0,13.0,19.0,5.0,10.0,17.0,4.0,12.0,23.0,4.0,,9.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,5.0,,7.0,5.0,26.0,5.0,2.0,5.0,1.0,,,,0.5,0.38235294117647056,0.4473684210526316,0.07017543859649122,0.1774193548387097,0.038461538461538464,0.06382978723404255,,0.075,0.0425531914893617,0.020134228187919462,0.021739130434782608,0.046153846153846156,0.0273972602739726,0.040983606557377046,0.08333333333333333,0.05555555555555555,0.02830188679245283,0.2,0.2767857142857143,0.5483870967741935,0.6666666666666666,0.5588235294117647,0.32432432432432434,0.17647058823529413,0.6666666666666666,,0.3392857142857143,0.6842105263157895,0.4701535714285714,0.13541666666666666,0.061371841155234655,,5.0,1.0,1.0,7.0,4.0,3.0,5.0,0.14285714285714285,0.21428571428571427,0.29411764705882354,,,0.1111111111111111,1.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,0.034482758620689655,0.11764705882352941,0.5,1.0,0.08928571428571429,0.4,,,,,,,,,,,True,
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,78219.0,1304,41,2403,2409,690,695,309,4812,39.0,91.0,110.0,243.0,7.0,14.0,7.0,37.0,14.0,189,427,14.0,51.0,132.0,552,2459,54,121,18.0,44.0,161,74,304.0,39.0,36.0,7.0,153,49.0,202,31.0,18.0,42.0,453,24.0,84,103,31,134,39.0,21.0,18.0,40.0,30.0,50.0,10.0,1.0,90.0,35.0,40,131,142,166.0,15.0,,14.0,161,690,24.0,14.0,0.19576719576719576,0.20108695652173914,0.9285714285714286,0.27450980392156865,0.28,0.4426229508196721,0.4462809917355372,0.4393305439330544,0.420863309352518,0.498158379373849,0.48493975903614456,0.10669456066945607,22.926475914523724,0.4444444444444444,0.09824561403508772,0.028811524609843937,0.09372156505914468,0.028769841269841268,0.03363914373088685,0.10888252148997135,0.1903765690376569,0.42857142857142855,0.45348837209302323,0.07692307692307693,0.5083682008368201,0.45267489711934156,0.4602510460251046,0.029288702928870293,0.5,0.5,0.8571428571428571,0.07740585774058577,0.1891891891891892,0.1891891891891892,1.0,0.10071942446043165,0.301255230125523,0.19444444444444445,0.4419985263157894,0.43757846715328463,0.13610586011342155,,0.2916666666666667,12.449180327868852,25.32156862745097,0.28714107365792757,40.0,93.0,3.0,5.0,14.0,30.0,21.0,39.0,58.0,10.0,26.0,93.0,5.0,2.0,19.0,,10.0,15.0,3.0,8.0,5.0,2.0,13.0,4.0,21.0,21.0,72.0,1.0,,2.0,,,,,0.5384615384615384,0.5666666666666667,0.5612244897959183,0.06088992974238876,0.1827956989247312,0.054945054945054944,,0.01652892561983471,0.0778688524590164,0.02857142857142857,0.018726591760299626,0.03347280334728033,0.024793388429752067,0.06227106227106227,0.12446351931330472,0.0625,0.11764705882352941,0.04184100418410042,,0.19456066945606695,0.43010752688172044,0.5263157894736842,0.3,0.2,0.1111111111111111,0.6,,0.2158273381294964,0.4666666666666667,0.42847,0.1506276150627615,0.10507246376811594,1.0,4.0,3.0,3.0,6.0,7.0,3.0,18.0,0.5,0.16666666666666666,0.08888888888888889,0.25,1.0,0.21428571428571427,2.0,2.0,,4.0,3.0,,,1.0,0.037037037037037035,0.044444444444444446,1.0,1.0,0.02877697841726619,,1.0,1.0,1.0,0.01646090534979424,,,,,,,True,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,15263.0,254,-14,460,466,149,132,51,926,,2.0,11.0,25.0,8.0,14.0,7.0,23.0,6.0,14,32,15.0,37.0,20.0,93,497,4,7,12.0,9.0,32,18,10.0,42.0,22.0,7.0,8,2.0,10,2.0,,1.0,22,2.0,10,15,3,18,3.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,7.0,1.0,6,15,15,23.0,1.0,1.0,2.0,32,149,,1.0,0.6428571428571429,0.6428571428571429,0.9333333333333333,0.40540540540540543,0.4166666666666667,0.4375,0.5714285714285714,0.5289855072463768,0.6052631578947368,0.5822784810126582,0.6666666666666666,0.5362318840579711,16.50671785028791,0.7142857142857143,0.06134969325153374,0.013157894736842105,0.06103286384976526,0.015706806282722512,0.015873015873015872,0.05714285714285714,0.028985507246376812,,,,0.36231884057971014,0.44,0.4583333333333333,0.2028985507246377,0.5714285714285714,0.5714285714285714,1.0,0.3333333333333333,0.30434782608695654,0.30434782608695654,0.8571428571428571,0.3157894736842105,0.6086956521739131,0.3181818181818182,0.4808147058823529,0.46905555555555556,0.11688311688311688,0.02631578947368421,0.34408602150537637,15.381249999999998,25.31081081081081,0.3239130434782609,3.0,5.0,,1.0,2.0,3.0,,4.0,,,2.0,4.0,1.0,,3.0,2.0,1.0,,,,,2.0,1.0,1.0,2.0,1.0,8.0,,,,,,,,,,,0.0625,,0.5,0.10526315789473684,,0.06,0.02564102564102564,0.02127659574468085,,0.038461538461538464,0.061224489795918366,0.06818181818181818,0.07894736842105263,,0.027777777777777776,,0.07246376811594203,0.6,0.6,0.3333333333333333,0.7272727272727273,0.125,,,0.15789473684210525,0.6666666666666666,0.47448333333333337,0.20512820512820512,,,2.0,1.0,,4.0,,5.0,3.0,,0.4166666666666667,0.25,,,0.16666666666666666,,2.0,4.0,6.0,3.0,,,,,0.25,,,0.3157894736842105,0.6666666666666666,1.0,,,0.04,,,,,,,True,
2545,1610612753,Darko Milicic,Darko Milicic,2545,ORL,49765.0,829,4,1523,1540,395,388,172,3063,36.0,98.0,14.0,41.0,,,,1.0,,117,253,,1.0,81.0,315,1570,33,56,,31.0,97,136,98.0,,1.0,,27,11.0,38,9.0,2.0,12.0,87,40.0,89,131,55,186,17.0,11.0,6.0,31.0,19.0,33.0,12.0,,64.0,15.0,62,92,92,130.0,,,15.0,97,395,5.0,13.0,0.5811965811965812,0.6415094339622641,,,,0.4624505928853755,0.5892857142857143,0.46062992125984253,0.5892857142857143,0.5,0.6298701298701299,0.003937007874015748,21.983758700696058,0.484375,0.16270566727605118,0.0796812749003984,0.16572237960339944,0.08360655737704918,0.05555555555555555,0.2037037037037037,0.3858267716535433,0.3673469387755102,0.3829787234042553,0.4166666666666667,0.16141732283464566,0.34146341463414637,0.34146341463414637,,,,,0.003937007874015748,,,,,0.452755905511811,,0.4556928853754939,0.4485464285714285,0.18,,0.30793650793650795,6.065612648221345,38.1,0.2593565331582403,67.0,114.0,18.0,41.0,17.0,26.0,19.0,47.0,49.0,22.0,20.0,12.0,11.0,4.0,28.0,14.0,9.0,4.0,4.0,8.0,7.0,4.0,7.0,8.0,3.0,8.0,54.0,66.0,43.0,66.0,40.0,1.0,1.0,8.0,0.40425531914893614,0.40425531914893614,0.44545454545454544,0.07905138339920949,0.14035087719298245,0.04081632653061224,0.2641509433962264,0.04819277108433735,0.1761006289308176,0.10185185185185185,0.12658227848101267,0.06164383561643835,0.06944444444444445,0.0903954802259887,0.18831168831168832,0.20512820512820512,0.09523809523809523,0.07758620689655173,0.6060606060606061,0.44881889763779526,0.5877192982456141,0.6836734693877551,0.5970149253731343,0.9285714285714286,0.8723404255319149,0.43902439024390244,0.2222222222222222,0.4642857142857143,0.6538461538461539,0.5359658536585366,0.1806020066889632,0.15555555555555556,,,,,,11.0,,3.0,,,,,,,,,,,,,,23.0,0.16666666666666666,,,,,,,,,,,,,,,,True,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,25168.0,419,85,777,783,263,319,85,1560,9.0,25.0,10.0,23.0,5.0,13.0,20.0,50.0,17.0,31,73,25.0,63.0,29.0,166,779,7,16,20.0,16.0,45,32,30.0,72.0,49.0,20.0,37,5.0,42,3.0,2.0,6.0,89,9.0,27,43,11,54,12.0,9.0,3.0,11.0,8.0,17.0,3.0,,28.0,11.0,24,44,37,40.0,6.0,1.0,1.0,45,263,3.0,1.0,0.5161290322580645,0.5333333333333333,0.96,0.3968253968253968,0.4032258064516129,0.4246575342465753,0.4375,0.5036764705882353,0.4027777777777778,0.5361842105263158,0.5116279069767442,0.4632352941176471,20.477815699658706,0.39285714285714285,0.09608540925266904,0.03879310344827586,0.09836065573770492,0.037037037037037035,0.03614457831325301,0.14814814814814814,0.18382352941176472,0.36,0.42857142857142855,0.4444444444444444,0.16911764705882354,0.43478260869565216,0.43478260869565216,0.09558823529411764,0.38461538461538464,0.38461538461538464,1.0,0.36764705882352944,0.4,0.4,0.95,0.4722222222222222,0.6470588235294118,0.40816326530612246,0.4879514925373134,0.448064705882353,0.10596026490066225,0.015625,0.2710843373493976,9.389041095890411,25.688888888888886,0.3384813384813385,12.0,25.0,1.0,7.0,,3.0,2.0,8.0,15.0,2.0,4.0,27.0,2.0,,9.0,7.0,4.0,3.0,2.0,7.0,2.0,2.0,4.0,,8.0,1.0,15.0,4.0,2.0,4.0,3.0,,,,0.25,0.5,0.5357142857142857,0.0547945205479452,,0.16,0.23333333333333334,,0.10588235294117647,0.03076923076923077,0.05555555555555555,0.025974025974025976,0.020833333333333332,0.07291666666666667,0.05194805194805195,0.140625,,0.0547945205479452,0.75,0.18382352941176472,0.48,0.48,0.5,0.6,0.5384615384615384,0.14285714285714285,,0.08333333333333333,,0.5381409090909092,0.1724137931034483,0.09036144578313253,2.0,4.0,5.0,3.0,5.0,2.0,5.0,4.0,0.6,0.25,0.3076923076923077,0.5,0.5,0.29411764705882354,1.0,1.0,,3.0,3.0,,,2.0,0.058823529411764705,0.07692307692307693,1.0,1.0,0.08333333333333333,,1.0,,,,2.0,,,,,,True,
255,1610612753,Grant Hill,Grant Hill,255,ORL,20274.0,338,-38,613,614,173,154,87,1227,10.0,21.0,20.0,51.0,,1.0,1.0,1.0,1.0,56,112,1.0,2.0,43.0,158,667,8,17,1.0,16.0,35,52,60.0,3.0,1.0,1.0,13,3.0,16,1.0,2.0,2.0,35,12.0,24,34,13,47,15.0,12.0,3.0,22.0,13.0,12.0,9.0,1.0,34.0,10.0,13,28,48,58.0,3.0,,5.0,35,173,3.0,5.0,0.4642857142857143,0.48148148148148145,1.0,0.5,0.5,0.5,0.47058823529411764,0.5043859649122807,0.5277777777777778,0.5656934306569343,0.6296296296296297,0.017543859649122806,24.186704384724187,0.6470588235294118,0.10572687224669604,0.05263157894736842,0.11428571428571428,0.05,0.053763440860215055,0.14432989690721648,0.18421052631578946,0.47619047619047616,0.5263157894736842,0.3,0.4473684210526316,0.39215686274509803,0.40816326530612246,0.008771929824561403,,,,0.008771929824561403,1.0,1.0,1.0,0.05555555555555555,0.3684210526315789,1.0,0.46041666666666664,0.4449111111111111,0.20454545454545456,,0.22151898734177214,10.08035714285714,24.25,0.2822185970636215,26.0,40.0,2.0,2.0,4.0,6.0,7.0,13.0,17.0,4.0,5.0,9.0,1.0,,8.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,6.0,4.0,5.0,9.0,27.0,1.0,1.0,1.0,,,1.0,,0.5384615384615384,0.5384615384615384,0.6071428571428571,0.044642857142857144,0.025,0.09523809523809523,0.13333333333333333,,0.1509433962264151,0.03125,0.04411764705882353,0.05970149253731343,,0.06666666666666667,0.09090909090909091,0.13513513513513514,0.1875,0.0196078431372549,,0.3508771929824561,0.65,0.6666666666666666,0.46153846153846156,0.55,0.15384615384615385,1.0,,0.3333333333333333,0.6666666666666666,0.4171538461538461,0.2076923076923077,0.10759493670886076,,,1.0,,,3.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,,0.1,,,,,,,,,0.0392156862745098,,,,,,,True,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,44369.0,739,73,1377,1361,464,439,189,2738,27.0,72.0,1.0,2.0,,,,1.0,1.0,119,199,,1.0,93.0,331,1372,29,49,1.0,42.0,100,128,110.0,,1.0,,28,9.0,37,7.0,2.0,7.0,83,60.0,131,181,73,254,22.0,14.0,8.0,31.0,8.0,41.0,23.0,2.0,72.0,24.0,30,64,138,163.0,,,25.0,100,464,6.0,24.0,0.5378151260504201,0.6808510638297872,,,,0.5979899497487438,0.5918367346938775,0.595,0.58,0.6040145985401459,0.5617977528089888,0.005,21.788413098236774,0.4305555555555556,0.2657200811359026,0.12658227848101267,0.2567783094098884,0.1256637168141593,0.07692307692307693,0.3105022831050228,0.36,0.375,0.42857142857142855,0.37037037037037035,0.01,0.5,0.5,,,,,0.005,,,,0.02,0.63,,0.49668825,0.49307500000000004,0.2570281124497992,,0.3021148036253776,2.9336683417085423,25.3,0.3369644153957879,91.0,125.0,29.0,44.0,23.0,33.0,30.0,50.0,84.0,50.0,21.0,19.0,11.0,2.0,30.0,20.0,5.0,,1.0,9.0,7.0,5.0,13.0,14.0,2.0,15.0,64.0,44.0,31.0,44.0,24.0,6.0,1.0,14.0,0.6,0.6,0.6,0.10552763819095477,0.096,0.125,0.39215686274509803,0.02857142857142857,0.22388059701492538,0.12087912087912088,0.18831168831168832,0.12318840579710146,0.13333333333333333,0.23376623376623376,0.225,0.23404255319148937,0.2,0.0847457627118644,0.5454545454545454,0.625,0.728,0.8053097345132744,0.5824175824175825,1.0,0.88,0.6590909090909091,0.06896551724137931,0.66,0.696969696969697,0.5536227272727272,0.25806451612903225,0.2537764350453172,,,,,,24.0,,2.0,,,,,,,,,,,,,3.0,10.0,0.0967741935483871,,,,,,,,,,4.0,1.0,1.0,1.0,,,True,
