EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,LongMidRangeFGM,PenaltyArc3FGM,PenaltyFG3M,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,PenaltyEfgPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,Loose Ball Fouls Drawn,DefAtRimReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyFG2M,PtsPutbacks,SelfOReb,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyFg2Pct,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceFtPoints,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls Drawn,LiveBallTurnoverPct,3SecondViolations,SecondChanceTurnovers,PenaltyTurnovers,on,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,OffensiveGoaltends,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
101125,1610612743,Julius Hodge,Julius Hodge,101125,DEN,2204.0,37,-10.0,75,76,25.0,12.0,10,151,2.0,3.0,2.0,2.0,5,2.0,6.0,86,1.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,10.0,1.0,7.0,1.0,1.0,21.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,25.0,1.0,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.3333333333333333,0.5,7.954545454545454,0.0769230769230769,0.0357142857142857,0.0555555555555555,0.0263157894736842,0.1428571428571428,0.2,0.6,0.6666666666666666,1.0,0.5,0.4,0.6,0.4603,0.401,0.3333333333333333,4.159999999999999,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,853.0,14,8.0,29,28,8.0,4.0,4,57,2.0,2.0,1.0,2.0,4,2.0,9.0,27,,2.0,2.0,4.0,,,,,,,,,,,,2.0,4.0,1.0,5.0,,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,8.0,1.0,1.0,1.0,0.5,0.4375,0.5,0.5,,,,27.27272727272727,0.2,,0.2142857142857142,0.0833333333333333,,0.3333333333333333,0.25,1.0,1.0,1.0,0.125,0.75,0.5078125,0.387,0.2222222222222222,7.65,0.2758620689655172,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.5,1.0,0.25,0.1666666666666666,0.2,0.25,0.125,0.125,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5822,0.2222222222222222,25.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,706.0,12,2.0,24,24,13.0,6.0,3,48,1.0,1.0,,3.0,3,4.0,13.0,28,,2.0,5.0,4.0,2.0,,1.0,,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,,,,,,,,,2.0,4.0,1.0,5.0,13.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.9,0.9285714285714286,0.8333333333333334,,,,25.0,0.125,,0.0769230769230769,,,,0.2,1.0,1.0,1.0,,0.6,0.5555899999999999,0.577125,0.3846153846153846,12.4,0.5416666666666666,,,2.0,,1.0,2.0,2.0,1.0,2.0,,,,2.0,3.0,2.0,1.0,,,,1.0,0.5,0.5,,,,0.4,,,,,,0.4,,0.4,0.5,0.5,1.0,,,,1.0,0.5,,,25.25,2.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,0.5,0.5,0.1666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200821,1610612743,Yakhouba Diawara,Yakhouba Diawara,200821,DEN,1468.0,24,-8.0,49,51,11.0,9.0,7,100,1.0,2.0,,1.0,3,1.0,6.0,52,1.0,,,2.0,,,2.0,,2.0,,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,2.0,2.0,2.0,2.0,,,11.0,,1.0,1.0,0.3333333333333333,0.3125,0.3333333333333333,,,,,15.517241379310343,0.05,0.0588235294117647,0.04,0.04,,0.1666666666666666,0.25,0.5,0.5,1.0,,0.875,0.51683125,0.47995,,5.833333333333333,0.2244897959183673,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,,1.0,,2.0,3.0,3.0,1.0,,,,1.0,0.2,0.2,,,,0.625,,,,,,0.125,0.25,0.375,0.3333333333333333,0.3333333333333333,1.0,0.5,,,0.3333333333333333,0.3333333333333333,0.517,,24.98,,,,1.0,,,,,,,,0.1111111111111111,0.25,1.0,1.0,1.0,0.1428571428571428,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,352.0,6,5.0,12,13,2.0,2.0,2,25,2.0,2.0,,2.0,2,2.0,6.0,10,,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.75,1.0,,,,28.57142857142857,0.3333333333333333,,0.4,,,,0.6666666666666666,1.0,1.0,0.5,,1.0,0.5957166666666667,,0.3333333333333333,,0.1666666666666666,,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,0.3333333333333333,,0.5,,,0.5,,,0.3333333333333333,,,,,,,,,,,25.1,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,1169.0,19,-15.0,41,41,17.0,4.0,6,82,3.0,6.0,3.0,6.0,12,3.0,15.0,55,5.0,,4.0,8.0,4.0,1.0,3.0,,3.0,,2.0,,1.0,6.0,4.0,1.0,4.0,5.0,9.0,,,,,,,1.0,1.0,3.0,3.0,,4.0,17.0,,0.6666666666666666,1.0,0.5,0.5,0.5769230769230769,0.4,0.0833333333333333,0.1666666666666666,,26.0,0.0833333333333333,0.1818181818181818,0.1764705882352941,0.1851851851851851,0.2,,0.5,0.5,0.6,0.3333333333333333,0.25,0.5,0.5003666666666667,0.53232,0.2666666666666666,7.041666666666667,0.4146341463414634,2.0,5.0,3.0,,,,,,,2.0,5.0,4.0,,,,,1.0,2.0,1.0,,,,0.4,0.4,0.4,,1.0,0.4,0.2,0.3333333333333333,0.25,0.25,,,,,,1.0,0.4,,,,0.5597749999999999,0.2666666666666666,,1.0,,,2.0,,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,0.1538461538461538,0.1538461538461538,,,,,,,,,1.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.4,0.25,1.0,0.2,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6,0.3333333333333333,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,1044.0,17,-9.0,36,34,10.0,1.0,4,70,2.0,4.0,1.0,2.0,7,,4.0,45,4.0,,2.0,4.0,,1.0,,,,,,,,,,3.0,3.0,,3.0,,,,,,,,1.0,,,,2.0,10.0,,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.25,0.1428571428571428,0.25,,17.073170731707318,0.3333333333333333,,0.2307692307692307,,,0.2,0.5714285714285714,0.5,0.6666666666666666,1.0,0.1428571428571428,0.5714285714285714,0.5056857142857143,0.48175,0.5,6.642857142857143,0.2777777777777778,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,1.0,1.0,3.0,,1.0,,,,,,,,,,0.25,,,,,,,,0.75,0.3333333333333333,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,1610612743,Allen Iverson,Allen Iverson,947,DEN,1591.0,27,-21.0,55,55,22.0,9.0,7,110,1.0,4.0,3.0,3.0,10,1.0,7.0,71,3.0,,2.0,,6.0,2.0,1.0,2.0,3.0,2.0,,1.0,,8.0,,,1.0,,1.0,1.0,1.0,,2.0,,4.0,,,4.0,2.0,,2.0,22.0,,,,0.3,0.2727272727272727,0.2916666666666667,0.3333333333333333,0.2,0.5,,24.615384615384613,,,0.04,,,,0.3636363636363636,0.25,0.5,,0.2727272727272727,0.4545454545454545,0.4772954545454544,0.4651666666666667,0.2857142857142857,8.239999999999998,0.4,,,3.0,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,0.5,0.0909090909090909,,0.125,,,0.2,0.2727272727272727,0.0909090909090909,,,,,,,,,,,0.1428571428571428,24.7,1.0,,,1.0,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,0.0833333333333333,0.0909090909090909,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,1.0,2.0,1.0,1.0,1.0,1.0,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,1610612743,Jamal Sampson,Jamal Sampson,2441,DEN,608.0,10,6.0,20,21,1.0,1.0,3,41,2.0,2.0,,2.0,2,,4.0,15,,,,4.0,,,,,,,,,,,2.0,1.0,3.0,2.0,5.0,,,,1.0,,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,21.73913043478261,0.1666666666666666,0.6666666666666666,0.1111111111111111,0.3333333333333333,1.0,,1.0,1.0,1.0,1.0,,1.0,0.58805,,,,0.05,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.25,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,2.0,1.0,,1.0,,0.6666666666666666,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,1610612743,Nene,Nene,2403,DEN,734.0,12,-8.0,25,26,11.0,7.0,3,51,,2.0,,,3,4.0,4.0,31,1.0,4.0,4.0,,,,,,,,,,,,2.0,,1.0,2.0,3.0,,,,2.0,,2.0,1.0,1.0,2.0,4.0,,4.0,11.0,,,,,,0.4,0.6666666666666666,,,,23.333333333333336,,0.1666666666666666,,0.1333333333333333,,,0.6666666666666666,,,,,0.6666666666666666,0.5260666666666666,0.5509,1.0,5.3,0.44,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,1.0,,,,,0.6011,,,,,,2.0,,,,,,,,0.4,0.4,,,,0.3333333333333333,,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,0.1666666666666666,,,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
