EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Travels,Offensive Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedCorner3,SecondChanceFg3Pct,LongMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,BlockedArc3,DefensiveGoaltends,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,OffensiveGoaltends
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,14318.0,239,-7,494,496,247.0,237,68,990,18.0,31.0,3.0,3.0,9.0,15.0,2.0,8.0,3.0,17.0,4.0,6.0,1.0,5.0,20.0,2.0,2.0,6.0,23.0,56,9.0,26.0,24.0,97.0,535,4.0,6.0,2.0,3.0,11.0,12.0,26.0,2.0,7.0,16.0,46.0,20.0,26.0,21.0,6.0,6.0,20.0,5.0,3.0,12.0,2.0,14.0,1.0,1.0,4.0,3.0,5.0,30.0,3.0,6.0,1.0,6.0,17,3.0,26,10.0,36,3.0,9.0,6.0,3.0,8.0,2.0,3.0,3.0,5.0,11.0,2.0,4.0,17.0,32.0,2.0,1.0,22.0,1.0,28.0,4.0,11.0,5.0,9.0,7.0,1.0,1.0,9.0,4.0,46.0,247.0,5.0,5.0,0.43478260869565216,0.5,0.7777777777777778,0.34615384615384615,0.2857142857142857,0.34615384615384615,0.4107142857142857,0.6666666666666666,0.46153846153846156,0.4451219512195122,0.5,0.45454545454545453,0.5159574468085106,0.6111111111111112,0.5609756097560976,0.3170731707317073,0.05357142857142857,0.06451612903225806,0.125,18.421052631578945,0.7272727272727273,0.15789473684210525,0.030303030303030304,0.11333333333333333,0.038461538461538464,0.08571428571428572,0.04,0.10454545454545454,0.03896103896103896,0.05263157894736842,0.019230769230769232,0.0425531914893617,0.03636363636363636,0.05,0.12280701754385964,0.1,0.11320754716981132,0.07142857142857142,0.10714285714285714,0.06382978723404255,0.4444444444444444,0.3780487804878049,0.5806451612903226,0.6206896551724138,0.5,0.0975609756097561,0.25,0.2857142857142857,0.2073170731707317,0.17647058823529413,0.17647058823529413,0.3333333333333333,0.07317073170731707,0.6666666666666666,0.6666666666666666,0.75,0.24390243902439024,0.25,0.25,0.8,0.375,1.0,0.25,0.45454545454545453,0.6,0.030303030303030304,0.18181818181818182,0.3333333333333333,0.6951219512195121,0.25,0.5404298780487804,0.4935333333333333,0.5663454545454545,0.12359550561797752,0.1746031746031746,0.1134020618556701,0.4742268041237113,6.628571428571428,24.59230769230769,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
101179,1610612758,Ronnie Price,Ronnie Price,101179,SAC,5575.0,93,12,206,212,128.0,140,30,418,6.0,14.0,,,5.0,11.0,1.0,3.0,3.0,5.0,,2.0,1.0,,7.0,,,5.0,10.0,22,,9.0,9.0,29.0,205,,,,,,9.0,17.0,,6.0,4.0,22.0,10.0,10.0,,,,7.0,,2.0,9.0,3.0,12.0,3.0,,8.0,,1.0,27.0,1.0,1.0,,5.0,11,,16,2.0,18,,7.0,2.0,5.0,4.0,1.0,1.0,3.0,3.0,7.0,,3.0,1.0,6.0,,,14.0,,14.0,,5.0,2.0,1.0,,,1.0,1.0,,22.0,128.0,1.0,2.0,0.5,0.5,,,,,0.45454545454545453,,0.5294117647058824,0.3225806451612903,,0.391304347826087,0.3815789473684211,,0.4074074074074074,0.2903225806451613,0.09090909090909091,0.14285714285714285,,18.907563025210084,0.5714285714285714,,,0.18333333333333332,0.016666666666666666,0.2,0.038461538461538464,0.18823529411764706,0.023255813953488372,,0.05263157894736842,,,0.1111111111111111,0.08333333333333333,0.2222222222222222,0.25925925925925924,0.13333333333333333,0.3,,,0.45161290322580644,0.42857142857142855,0.5,0.6666666666666666,0.0967741935483871,0.3333333333333333,0.3333333333333333,0.16129032258064516,0.6,0.6,0.3333333333333333,0.06451612903225806,,,,0.22580645161290322,,,,,,,0.4782608695652174,0.45454545454545453,0.043478260869565216,0.21739130434782608,,0.7419354838709677,,0.5245633333333333,,0.5219021739130434,0.1388888888888889,0.18518518518518517,,0.7586206896551724,5.668181818181818,27.255555555555556,0.6213592233009708,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1508,1610612758,Maurice Taylor,Maurice Taylor,1508,SAC,898.0,15,3,29,29,8.0,16,4,58,3.0,4.0,1.0,1.0,,,1.0,3.0,,,,,,,,,,,4.0,7,,,2.0,10.0,28,1.0,1.0,,,2.0,,,,,2.0,2.0,2.0,6.0,,,2.0,,,1.0,1.0,,1.0,,,1.0,,,2.0,,1.0,,,1,1.0,2,1.0,3,,1.0,1.0,,,,,,,,,,,2.0,1.0,,1.0,,2.0,,,1.0,,,,,,,2.0,8.0,1.0,1.0,0.25,0.3333333333333333,,,,,0.5714285714285714,1.0,,0.5714285714285714,1.0,,0.625,1.0,1.0,,0.14285714285714285,,0.3333333333333333,24.242424242424242,,0.3333333333333333,,0.1,0.08333333333333333,,,0.08333333333333333,0.0625,,0.16666666666666666,,,,,0.5,,,,,,0.5714285714285714,0.75,0.75,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5,,,,,,,,,,,,,1.0,1.0,,,,,,,0.5714285714285714,,0.4339285714285714,0.5514,,,,0.2,0.2,4.885714285714286,,0.27586206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
200763,1610612758,Quincy Douby,Quincy Douby,200763,SAC,21541.0,359,-38,724,727,322.0,318,91,1451,10.0,19.0,1.0,2.0,8.0,13.0,12.0,26.0,14.0,31.0,3.0,17.0,9.0,9.0,33.0,,1.0,10.0,36.0,76,12.0,50.0,11.0,119.0,781,5.0,9.0,1.0,1.0,14.0,17.0,35.0,1.0,19.0,9.0,46.0,22.0,50.0,30.0,6.0,4.0,33.0,9.0,5.0,12.0,3.0,15.0,2.0,1.0,11.0,,1.0,33.0,3.0,7.0,1.0,13.0,13,,26,11.0,37,1.0,15.0,11.0,4.0,9.0,2.0,6.0,6.0,3.0,15.0,,6.0,12.0,21.0,1.0,,18.0,3.0,15.0,2.0,6.0,2.0,2.0,,,2.0,4.0,2.0,46.0,322.0,5.0,2.0,0.3055555555555556,0.3235294117647059,0.8333333333333334,0.24,0.05263157894736842,0.24,0.47368421052631576,0.5555555555555556,0.4857142857142857,0.42857142857142855,0.65,0.3425925925925926,0.44696969696969696,0.6363636363636364,0.3813559322033898,0.3968253968253968,0.06578947368421052,0.10526315789473684,0.038461538461538464,17.689530685920577,0.6,,0.025,0.0546218487394958,0.028455284552845527,0.1262135922330097,0.031578947368421054,0.07624633431085044,0.02932551319648094,0.022988505747126436,0.023529411764705882,0.04054054054054054,0.014084507042253521,0.08333333333333333,0.036585365853658534,0.0625,0.06521739130434782,0.15873015873015872,0.075,0.013888888888888888,0.5,0.15079365079365079,0.5263157894736842,0.5882352941176471,0.5,0.20634920634920634,0.46153846153846156,0.48,0.24603174603174602,0.45161290322580644,0.4827586206896552,0.2857142857142857,0.1349206349206349,0.17647058823529413,0.17647058823529413,1.0,0.2619047619047619,0.2727272727272727,0.2727272727272727,0.7777777777777778,0.2,0.5,,0.24074074074074073,0.6153846153846154,0.16666666666666666,0.18518518518518517,0.1,0.5476190476190477,0.2727272727272727,0.48324444444444464,0.42074166666666674,0.49031944444444453,0.046153846153846156,0.075,0.11764705882352941,0.3865546218487395,10.674999999999997,24.583999999999993,0.4447513812154696,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.06451612903225806,0.16666666666666666,0.1,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,
2078,1610612758,Jason Hart,Jason Hart,2078,SAC,884.0,15,12,33,34,21.0,33,3,67,,1.0,,,,1.0,,2.0,1.0,1.0,,,,3.0,3.0,,2.0,2.0,1.0,4,3.0,3.0,4.0,15.0,25,,,,,,,1.0,2.0,2.0,4.0,10.0,,2.0,3.0,6.0,,3.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,1.0,5.0,,,,,2,,2,,2,,,,,1.0,,,,1.0,1.0,,1.0,1.0,3.0,,,2.0,,4.0,,2.0,,,,,,,,10.0,21.0,2.0,,,,0.3333333333333333,1.0,1.0,1.0,0.25,,,0.7857142857142857,,1.0,0.8333333333333334,,1.0,0.42857142857142855,0.5,1.0,0.5,27.77777777777778,1.0,,,0.15384615384615385,,,,0.11764705882352941,,,,,,,,,0.3333333333333333,,,,,0.14285714285714285,,,,0.2857142857142857,,,0.14285714285714285,1.0,1.0,,,,,,0.42857142857142855,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,0.6666666666666666,1.0,0.5714285714285714,1.0,0.4613,,0.53945,0.2222222222222222,0.3333333333333333,,0.6666666666666666,9.8,24.566666666666663,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2422,1610612758,John Salmons,John Salmons,2422,SAC,13860.0,231,-60,446,449,144.0,172,48,895,13.0,23.0,1.0,2.0,2.0,4.0,3.0,11.0,5.0,13.0,2.0,4.0,1.0,2.0,8.0,2.0,1.0,4.0,21.0,47,4.0,12.0,28.0,82.0,511,3.0,6.0,2.0,3.0,12.0,4.0,14.0,1.0,5.0,15.0,26.0,14.0,28.0,12.0,,,8.0,2.0,11.0,20.0,8.0,28.0,6.0,2.0,14.0,1.0,5.0,64.0,1.0,4.0,,6.0,13,3.0,22,5.0,27,,4.0,4.0,,9.0,2.0,4.0,5.0,5.0,14.0,,3.0,4.0,13.0,2.0,,22.0,1.0,39.0,2.0,14.0,6.0,5.0,5.0,,,5.0,2.0,26.0,144.0,2.0,6.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.2,0.3333333333333333,0.44680851063829785,0.5,0.2857142857142857,0.4576271186440678,0.5625,0.2894736842105263,0.525974025974026,0.6,0.4642857142857143,0.2033898305084746,0.23404255319148937,0.34782608695652173,0.18181818181818182,17.94871794871795,0.6428571428571429,0.21428571428571427,,0.087248322147651,0.024691358024691357,0.09523809523809523,0.02127659574468085,0.08962264150943396,0.023923444976076555,,0.037037037037037035,0.03773584905660377,0.02857142857142857,,0.0625,0.06521739130434782,0.12727272727272726,0.1,0.08695652173913043,,0.4,0.3898305084745763,0.5652173913043478,0.8666666666666667,0.46153846153846156,0.1864406779661017,0.2727272727272727,0.3333333333333333,0.22033898305084745,0.38461538461538464,0.4166666666666667,,0.06779661016949153,0.5,0.5,1.0,0.13559322033898305,0.25,0.25,1.0,0.25,0.5,0.25,0.21052631578947367,0.5,0.05263157894736842,0.21052631578947367,0.25,0.5932203389830508,0.25,0.4965203389830508,0.4721166666666667,0.4305973684210526,0.19718309859154928,0.23728813559322035,0.14634146341463414,0.3170731707317073,7.195744680851066,24.533333333333335,0.32286995515695066,1.0,,,,1.0,2.0,,1.0,,,0.5,0.07692307692307693,0.3333333333333333,,,,1.0,1.0,0.5,1.0,,,,,,,,True,,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,4602.0,77,5,174,167,119.0,93,25,341,6.0,7.0,,,2.0,3.0,,2.0,4.0,8.0,,1.0,,3.0,9.0,1.0,2.0,8.0,10.0,17,3.0,10.0,16.0,45.0,185,1.0,2.0,1.0,,2.0,4.0,7.0,2.0,8.0,12.0,26.0,2.0,18.0,9.0,,,9.0,3.0,2.0,8.0,3.0,11.0,2.0,1.0,6.0,1.0,1.0,25.0,1.0,,,1.0,6,,7,1.0,8,,,,,2.0,,2.0,1.0,,3.0,,3.0,1.0,2.0,,,10.0,,17.0,1.0,4.0,5.0,,,,,,,26.0,119.0,,5.0,0.1,0.1,1.0,0.3,0.25,0.3,0.5882352941176471,0.5,0.5714285714285714,0.5370370370370371,0.3333333333333333,0.4666666666666667,0.6428571428571429,0.3333333333333333,0.6190476190476191,0.37037037037037035,0.11764705882352941,,1.0,18.905472636815922,0.6666666666666666,,,0.11538461538461539,,0.034482758620689655,0.038461538461538464,0.08641975308641975,0.012048192771084338,,,,0.05,,0.058823529411764705,0.15384615384615385,0.13636363636363635,0.06666666666666667,,,,0.25925925925925924,0.8571428571428571,0.8571428571428571,,0.07407407407407407,,,0.2962962962962963,0.5,0.5,0.25,0.037037037037037035,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,0.2,0.6666666666666666,,0.5333333333333333,0.25,0.6296296296296297,0.3333333333333333,0.5115481481481482,0.4926,0.50478,0.13333333333333333,0.2,0.044444444444444446,0.5777777777777777,10.758823529411766,24.71,0.6839080459770115,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
200818,1610612758,Justin Williams,Justin Williams,200818,SAC,7977.0,133,-6,269,277,121.0,123,31,546,22.0,29.0,7.0,11.0,14.0,18.0,2.0,9.0,,1.0,,,,,1.0,,,1.0,24.0,39,,1.0,12.0,60.0,303,8.0,14.0,,4.0,20.0,14.0,18.0,,1.0,6.0,34.0,32.0,16.0,,,14.0,,,4.0,,,,,,,,,,4.0,14.0,2.0,7.0,12,4.0,23,20.0,43,2.0,1.0,1.0,,4.0,,2.0,2.0,2.0,6.0,1.0,5.0,10.0,15.0,2.0,,24.0,3.0,42.0,4.0,18.0,5.0,8.0,7.0,,1.0,9.0,4.0,34.0,121.0,,5.0,0.6666666666666666,0.9411764705882353,,,,,0.6153846153846154,0.5714285714285714,0.7777777777777778,0.6,0.5714285714285714,0.7368421052631579,0.5084745762711864,0.47619047619047616,0.5483870967741935,0.025,0.10256410256410256,0.10344827586206896,0.1111111111111111,21.172638436482085,0.6666666666666666,0.36363636363636365,0.08,0.14285714285714285,0.17721518987341772,0.21875,0.11428571428571428,0.16379310344827586,0.15789473684210525,0.1935483870967742,0.2,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.20588235294117646,0.11764705882352941,0.09090909090909091,0.25,0.16666666666666666,0.18181818181818182,0.4444444444444444,0.725,0.7586206896551724,0.8461538461538461,0.6818181818181818,0.225,0.2222222222222222,0.25,0.025,,,,,,,,0.025,,,,0.7857142857142857,0.6363636363636364,,0.9473684210526315,0.7777777777777778,,0.05263157894736842,,0.75,,0.5395589743589745,0.5406384615384615,0.5917055555555555,0.3333333333333333,0.33962264150943394,0.3333333333333333,0.5666666666666667,2.0076923076923077,70.9,0.44981412639405205,2.0,,,,,,,,1.0,,,,0.5,,,,,0.14285714285714285,,,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,
2755,1610612758,Kevin Martin,Kevin Martin,2755,SAC,5861.0,98,-23,205,197,94.0,84,22,402,4.0,5.0,,,2.0,3.0,3.0,5.0,3.0,9.0,2.0,4.0,2.0,3.0,6.0,1.0,2.0,3.0,10.0,19,5.0,10.0,13.0,48.0,214,,,1.0,,,4.0,8.0,2.0,5.0,8.0,22.0,8.0,12.0,12.0,3.0,,5.0,3.0,1.0,6.0,2.0,8.0,2.0,,4.0,1.0,1.0,18.0,1.0,,,6.0,5,2.0,13,1.0,14,1.0,3.0,1.0,2.0,5.0,,2.0,3.0,3.0,8.0,1.0,2.0,7.0,11.0,2.0,,9.0,,16.0,1.0,7.0,1.0,1.0,1.0,,,1.0,1.0,22.0,94.0,1.0,1.0,0.4,0.4,0.8,0.5,0.4,0.5555555555555556,0.5263157894736842,,0.5,0.603448275862069,,0.5384615384615384,0.6666666666666666,,0.6470588235294118,0.3448275862068966,0.05263157894736842,0.2,,19.047619047619047,0.625,0.2,,0.07352941176470588,,0.17142857142857143,0.030303030303030304,0.10679611650485436,0.012048192771084338,,,,0.034482758620689655,,0.07692307692307693,,0.13636363636363635,0.13636363636363635,0.23076923076923078,0.09090909090909091,1.0,0.1724137931034483,0.8,1.0,0.25,0.1724137931034483,0.6,0.6,0.3103448275862069,0.3333333333333333,0.3333333333333333,1.0,0.13793103448275862,0.5,0.5,1.0,0.20689655172413793,0.5,0.5,0.6666666666666666,,,1.0,0.23076923076923078,0.6666666666666666,0.15384615384615385,0.23076923076923078,0.6666666666666666,0.5172413793103449,0.6,0.46980000000000005,0.5748,0.45825000000000005,0.22857142857142856,0.28,,0.4583333333333333,10.56842105263158,26.55,0.4585365853658537,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,0.1,True,,,,,,,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,3396.0,57,2,107,109,38.0,56,16,216,2.0,3.0,1.0,1.0,,,1.0,3.0,3.0,4.0,,,,,1.0,,,,6.0,10,,1.0,2.0,14.0,107,2.0,2.0,,1.0,5.0,2.0,2.0,,,,4.0,6.0,6.0,,,2.0,,,1.0,3.0,1.0,4.0,1.0,,3.0,,,9.0,,3.0,,3.0,8,1.0,12,3.0,15,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,,,4.0,2.0,4.0,,2.0,,2.0,,,2.0,2.0,2.0,4.0,38.0,,,0.5,0.6,,,,,0.6,1.0,1.0,0.5454545454545454,1.0,1.0,0.5384615384615384,0.8333333333333334,1.0,0.09090909090909091,0.1,,0.3333333333333333,11.71875,0.5,0.25,,0.18181818181818182,0.06818181818181818,0.13636363636363635,,0.16666666666666666,0.05263157894736842,0.0625,,0.11764705882352941,,,0.3333333333333333,0.07692307692307693,0.15789473684210525,,0.3333333333333333,,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,,0.2727272727272727,0.3333333333333333,0.5,0.36363636363636365,0.75,0.75,1.0,,,,,0.09090909090909091,,,,0.5,1.0,,,,,,,0.36363636363636365,,0.44327000000000005,0.5076499999999999,0.4013,0.15384615384615385,0.16666666666666666,0.35714285714285715,0.2857142857142857,9.64,40.9,0.35514018691588783,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,
