EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsPutbacks,OffTwoPtRebounds,FTDefRebounds,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SelfOReb,LostBallTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Travels,FTOffRebounds,OffFTReboundPct,LongMidRangePctAssisted,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceCorner3FGM,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,on,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,HeaveMakes,Clear Path Fouls
101129,1610612745,Luther Head,Luther Head,101129,HOU,6341.0,106,-8,214,212,78,93,26,426,5.0,9,2.0,2.0,3.0,3,1.0,4.0,2.0,6.0,3.0,7.0,2.0,2.0,4.0,6.0,18.0,1.0,1.0,3.0,6.0,8.0,19,9.0,25.0,3.0,46,224,3.0,4.0,1.0,3.0,1.0,10.0,3.0,7,5.0,10.0,1.0,22.0,2.0,14.0,24.0,3.0,18.0,6.0,1.0,8.0,5.0,13.0,4.0,1.0,4.0,3.0,1.0,31.0,1.0,1.0,8,9,1.0,10,5.0,3.0,2.0,5.0,5.0,5.0,7.0,12.0,1.0,3.0,4.0,9,1.0,5,4.0,2.0,3.0,1.0,1.0,1.0,22.0,78,1.0,0.125,0.125,0.8888888888888888,0.36,0.3333333333333333,0.5,0.36,0.42105263157894735,0.75,0.42857142857142855,0.48863636363636365,0.6428571428571429,0.6176470588235294,0.5111111111111111,0.7142857142857143,0.6470588235294118,0.5681818181818182,0.05263157894736842,0.1111111111111111,23.949579831932773,0.4166666666666667,0.11594202898550725,0.045454545454545456,0.021739130434782608,0.0989010989010989,0.010416666666666666,0.02631578947368421,0.06666666666666667,0.09090909090909091,0.15625,0.07142857142857142,0.20454545454545456,0.5555555555555556,0.625,0.2,0.09090909090909091,0.25,0.25,0.13636363636363635,0.3333333333333333,0.3333333333333333,0.1590909090909091,0.42857142857142855,0.42857142857142855,1.0,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.2857142857142857,1.0,0.2857142857142857,0.14285714285714285,1.0,1.0,0.17647058823529413,1.0,0.23529411764705882,0.5,0.35294117647058826,0.5,0.7727272727272727,0.3333333333333333,0.48957045454545456,0.45515,0.4730852941176471,0.06666666666666667,0.15,0.21739130434782608,0.4782608695652174,8.0,24.8,0.3644859813084112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
101236,1610612745,Chuck Hayes,Chuck Hayes,101236,HOU,4331.0,72,-16,141,135,44,60,21,276,6.0,9,1.0,1.0,2.0,2,1.0,2.0,,,,,,,,,,,,,,7.0,11,,,5.0,19,142,1.0,1.0,,,,2.0,2.0,2,,,3.0,7.0,12.0,2.0,,,,,,,2.0,2.0,1.0,1.0,,,,6.0,8.0,2.0,13,16,9.0,25,2.0,1.0,1.0,,,,1.0,1.0,,,6.0,10,,9,12.0,2.0,4.0,,,,7.0,44,2.0,0.8571428571428571,1.0,,,,,,0.6363636363636364,1.0,1.0,0.6363636363636364,1.0,1.0,0.59375,0.5,0.7,,,,10.559006211180124,,0.29545454545454547,0.1111111111111111,0.20512820512820512,0.24193548387096775,0.12857142857142856,0.25,0.2,0.2,0.42105263157894735,0.14285714285714285,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.18181818181818182,0.5,0.5,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,0.8181818181818182,,0.5177363636363637,0.5518,0.5291,0.3076923076923077,0.3076923076923077,0.10526315789473684,0.3684210526315789,1.3454545454545455,,0.3120567375886525,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.25,0.03225806451612903,0.1111111111111111,0.09090909090909091,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
101249,1610612745,John Lucas III,John Lucas III,101249,HOU,7172.0,120,-14,240,231,91,116,24,471,5.0,7,,2.0,1.0,3,9.0,17.0,4.0,10.0,2.0,4.0,,1.0,2.0,4.0,16.0,,,1.0,5.0,18.0,34,6.0,20.0,6.0,60,239,2.0,5.0,,,,4.0,5.0,11,2.0,7.0,3.0,19.0,4.0,32.0,18.0,,16.0,4.0,3.0,6.0,7.0,13.0,4.0,3.0,3.0,2.0,1.0,33.0,,3.0,7,11,3.0,14,5.0,3.0,2.0,4.0,1.0,3.0,3.0,7.0,,2.0,5.0,10,1.0,5,7.0,,3.0,,,,19.0,91,2.0,0.1111111111111111,0.11764705882352941,1.0,0.3,,0.2857142857142857,0.3,0.5294117647058824,0.4,0.45454545454545453,0.5,0.4,0.4444444444444444,0.5175438596491229,0.4,0.47368421052631576,0.37037037037037035,0.08823529411764706,0.14285714285714285,24.334600760456276,0.5714285714285714,0.0945945945945946,0.1,,0.09615384615384616,0.028846153846153848,,0.058823529411764705,0.041666666666666664,0.15151515151515152,0.047619047619047616,0.12962962962962962,0.7142857142857143,0.8333333333333334,0.2,0.3148148148148148,0.5294117647058824,0.5625,0.18518518518518517,0.4,0.4444444444444444,0.07407407407407407,0.5,0.5,1.0,0.2962962962962963,0.25,0.25,1.0,0.4,,,,,,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.5,0.2777777777777778,0.2,0.5,0.25,0.4640694444444443,0.3865,0.45006111111111113,0.05263157894736842,0.08108108108108109,0.06666666666666667,0.31666666666666665,9.185294117647057,24.919999999999998,0.37916666666666665,2.0,3.0,1.0,1.0,,,,,0.1111111111111111,0.06521739130434782,0.06666666666666667,,0.1111111111111111,1.0,1.0,1.0,1.0,0.058823529411764705,0.1,0.13333333333333333,0.2222222222222222,0.037037037037037035,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1503,1610612745,Tracy McGrady,Tracy McGrady,1503,HOU,2938.0,49,-5,96,93,30,44,13,189,6.0,8,,1.0,1.0,3,,2.0,1.0,12.0,,,,,,5.0,11.0,,,1.0,4.0,7.0,22,5.0,11.0,5.0,34,103,,1.0,,,,,2.0,9,1.0,4.0,3.0,10.0,2.0,12.0,3.0,12.0,11.0,5.0,,3.0,6.0,9.0,3.0,3.0,1.0,1.0,1.0,24.0,,2.0,7,9,1.0,10,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,,1.0,2.0,2,,5,7.0,1.0,3.0,,,,10.0,30,,0.14285714285714285,0.14285714285714285,0.2,0.45454545454545453,,0.25,0.45454545454545453,0.3181818181818182,,0.2222222222222222,0.4393939393939394,,0.2692307692307692,0.4722222222222222,,0.3333333333333333,0.3333333333333333,,,36.03603603603603,0.5,0.2413793103448276,0.25,,0.24324324324324326,0.017857142857142856,,,0.25,0.35714285714285715,0.2857142857142857,0.24242424242424243,0.75,0.75,0.16666666666666666,0.06060606060606061,,,0.36363636363636365,0.08333333333333333,0.08333333333333333,,,,,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.2,1.0,,,,,,0.23076923076923078,0.3333333333333333,,,0.3076923076923077,0.25,0.5757575757575758,0.45454545454545453,0.4618,0.2873,0.4170230769230769,0.08571428571428572,0.125,,0.29411764705882354,11.481818181818182,25.89090909090909,0.3125,,1.0,,,1.0,1.0,,1.0,,0.03225806451612903,0.16666666666666666,,,1.0,1.0,,,,,,,0.05,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
200779,1610612745,Steve Novak,Steve Novak,200779,HOU,11432.0,191,-31,381,369,145,167,38,750,1.0,2,,,1.0,1,1.0,1.0,3.0,8.0,4.0,10.0,,2.0,4.0,9.0,29.0,1.0,1.0,3.0,12.0,5.0,11,13.0,39.0,2.0,51,388,2.0,2.0,1.0,1.0,,7.0,3.0,5,5.0,16.0,,21.0,8.0,2.0,36.0,3.0,29.0,9.0,,2.0,4.0,6.0,2.0,2.0,1.0,1.0,,16.0,1.0,7.0,12,22,4.0,26,5.0,4.0,1.0,1.0,,1.0,3.0,4.0,1.0,2.0,11.0,21,1.0,7,2.0,,1.0,,,,21.0,145,4.0,0.8,0.8,0.9230769230769231,0.3333333333333333,1.0,0.3125,0.3333333333333333,0.45454545454545453,1.0,0.6,0.49,1.1666666666666667,0.5,0.5,1.1666666666666667,0.5,0.78,,,13.095238095238095,0.25,0.10256410256410256,0.15217391304347827,0.011494252873563218,0.1165644171779141,0.00558659217877095,0.014925373134328358,0.06666666666666667,0.14285714285714285,0.09615384615384616,0.15151515151515152,0.04,0.5,0.5,1.0,0.02,1.0,1.0,0.16,0.375,0.375,0.2,0.4,0.4,1.0,0.58,0.3103448275862069,0.3103448275862069,0.8888888888888888,,,,0.3333333333333333,1.0,1.0,0.047619047619047616,1.0,0.19047619047619047,0.5,0.5714285714285714,0.25,0.82,0.3103448275862069,0.503786,0.3827,0.48503333333333326,0.0196078431372549,0.08333333333333333,0.13725490196078433,0.4117647058823529,15.063636363636364,24.7025641025641,0.3805774278215223,,,3.0,1.0,,,,,0.2,,,,1.0,,,3.0,,,,,0.15384615384615385,,2.0,3.0,0.17647058823529413,0.6666666666666666,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1719,1610612745,Bonzi Wells,Bonzi Wells,1719,HOU,1285.0,21,-20,40,41,6,17,3,81,2.0,5,,,1.0,1,,,,1.0,,1.0,,,,,,,,,,2.0,6,,1.0,2.0,6,51,,,,,,,1.0,1,,,1.0,3.0,,4.0,,,,,1.0,,,,,,,,,,,,2,3,,3,,,,,1.0,,2.0,2.0,,,,2,,4,4.0,2.0,3.0,,,,3.0,6,,,,,,,,,0.3333333333333333,,1.0,0.2857142857142857,,1.0,0.375,,1.5,0.14285714285714285,0.16666666666666666,0.2,23.80952380952381,,0.15384615384615385,,,0.11764705882352941,,,,0.16666666666666666,0.16666666666666666,,0.7142857142857143,0.4,0.5,,,,,0.14285714285714285,,,0.14285714285714285,,,,,,,,,,,,,,1.0,1.0,,,,,0.8571428571428571,,0.5029857142857143,,0.5622,0.375,0.42857142857142855,,0.5,2.9333333333333336,24.5,0.15,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1909,1610612745,Scott Padgett,Scott Padgett,1909,HOU,3366.0,56,10,114,111,59,53,12,225,3.0,5,1.0,1.0,2.0,4,,,,1.0,,,,,,1.0,6.0,,,,1.0,3.0,6,1.0,6.0,2.0,11,113,1.0,2.0,,,,2.0,2.0,5,,1.0,2.0,6.0,2.0,4.0,3.0,,6.0,1.0,,1.0,3.0,4.0,2.0,1.0,1.0,,,11.0,2.0,4.0,8,13,3.0,16,1.0,,1.0,2.0,,2.0,,2.0,1.0,1.0,3.0,8,,3,6.0,,1.0,2.0,,2.0,6.0,59,3.0,0.3333333333333333,0.5,1.0,0.16666666666666666,,,0.16666666666666666,0.5,0.5,0.4,0.375,0.5,0.3333333333333333,0.36666666666666664,0.5,0.3333333333333333,0.5,,,13.28125,1.0,0.2222222222222222,0.2222222222222222,0.09090909090909091,0.2222222222222222,0.0625,0.0625,0.3,0.3,0.125,0.3076923076923077,0.4166666666666667,0.6,0.6,0.3333333333333333,,,,0.08333333333333333,,,,,,,0.5,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,,,,,0.6666666666666666,0.5,,,0.16666666666666666,,0.9166666666666666,0.16666666666666666,0.5521041666666667,0.476,0.579875,0.07692307692307693,0.14285714285714285,0.18181818181818182,0.5454545454545454,2.8000000000000003,25.616666666666664,0.5175438596491229,2.0,1.0,1.0,,1.0,2.0,,2.0,0.2,0.038461538461538464,0.2,0.16666666666666666,,,,,,,,,,,,,,,2.0,1.0,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,
2203,1610612745,Shane Battier,Shane Battier,2203,HOU,2795.0,47,-6,96,88,29,29,10,184,2.0,3,,1.0,,1,2.0,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,,3.0,,,,,4.0,7,1.0,5.0,6.0,17,98,,2.0,1.0,1.0,,3.0,,2,1.0,1.0,3.0,6.0,6.0,2.0,3.0,,3.0,,,2.0,,2.0,,,1.0,1.0,,4.0,2.0,3.0,7,11,4.0,15,,,,,,,,,,,1.0,5,,5,7.0,1.0,2.0,1.0,,1.0,6.0,29,3.0,0.75,0.75,1.0,0.2,1.0,1.0,0.2,0.5714285714285714,,,0.4583333333333333,0.5,0.5,0.5666666666666667,0.5,0.6,0.4166666666666667,,,14.018691588785046,,0.2692307692307692,0.2727272727272727,0.07407407407407407,0.2702702702702703,0.08333333333333333,0.08695652173913043,0.25,0.5555555555555556,,0.2857142857142857,0.25,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,,,0.16666666666666666,0.5,0.5,1.0,0.25,,,,0.3333333333333333,,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,1.0,,,0.6666666666666666,,0.48233750000000003,0.3794,0.4423166666666667,0.15384615384615385,0.25,0.17647058823529413,0.35294117647058826,7.742857142857143,24.18,0.3020833333333333,,2.0,1.0,,1.0,2.0,,2.0,0.3333333333333333,0.09523809523809523,0.5,,1.0,1.0,,,,,,,0.25,0.14285714285714285,,,,,1.0,1.0,1.0,1.0,0.125,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,
2745,1610612745,Kirk Snyder,Kirk Snyder,2745,HOU,3686.0,61,-14,114,114,47,50,7,228,4.0,6,,1.0,1.0,1,,1.0,1.0,4.0,1.0,3.0,,1.0,1.0,1.0,4.0,,,,2.0,5.0,11,2.0,7.0,1.0,17,116,,1.0,,,1.0,1.0,1.0,5,1.0,3.0,,5.0,4.0,6.0,6.0,,4.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,4,6,2.0,8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,2.0,6,,4,2.0,,1.0,1.0,1.0,1.0,5.0,47,,0.4,0.4,1.0,0.2857142857142857,,0.3333333333333333,0.2857142857142857,0.45454545454545453,,0.2,0.4444444444444444,,0.3125,0.4473684210526316,0.25,0.3125,0.3888888888888889,0.09090909090909091,,17.21311475409836,0.5,0.10526315789473684,0.07142857142857142,,0.09615384615384616,0.0392156862745098,,,0.2222222222222222,0.125,0.1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.05555555555555555,,,0.2222222222222222,0.25,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,0.25,0.25,1.0,1.0,,,,,,0.125,1.0,0.125,1.0,0.25,,0.7222222222222222,0.25,0.5190138888888888,0.5685,0.419775,0.05263157894736842,0.08333333333333333,0.058823529411764705,0.29411764705882354,7.990909090909091,24.357142857142858,0.41228070175438597,,2.0,1.0,,,,,,0.2,0.06451612903225806,,,,1.0,,2.0,,1.0,,0.125,,0.1111111111111111,,,,,,1.0,1.0,,0.07142857142857142,,,,True,,,,,,,,,,,,,,,,,,,
2779,1610612745,Vassilis Spanoulis,Vassilis Spanoulis,2779,HOU,4873.0,81,-15,168,162,84,87,11,330,3.0,6,1.0,1.0,3.0,5,2.0,4.0,3.0,4.0,1.0,5.0,1.0,1.0,4.0,,1.0,,,,1.0,8.0,14,1.0,6.0,16.0,35,167,2.0,2.0,,1.0,,4.0,3.0,5,1.0,5.0,12.0,21.0,2.0,14.0,3.0,,1.0,,2.0,6.0,2.0,8.0,2.0,,4.0,1.0,1.0,18.0,,3.0,1,4,2.0,6,1.0,1.0,,8.0,2.0,6.0,3.0,11.0,,3.0,1.0,13,,17,22.0,2.0,7.0,,,,21.0,84,9.0,0.125,0.14285714285714285,1.0,0.16666666666666666,,0.2,0.16666666666666666,0.5714285714285714,1.0,0.6,0.475,0.6666666666666666,0.45,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.3,0.14285714285714285,0.16666666666666666,22.77777777777778,0.7272727272727273,0.020833333333333332,0.14285714285714285,,0.057971014492753624,0.028985507246376812,,0.08333333333333333,,,0.1875,0.3,0.5,0.6,0.3333333333333333,0.2,0.5,0.6666666666666666,0.2,0.75,0.75,0.25,0.2,0.2,1.0,0.05,,,,0.3333333333333333,1.0,0.3333333333333333,,,,0.5,0.6,0.4,0.25,0.1,,0.6,,0.48885749999999994,0.3778,0.575635,0.28,0.3684210526315789,0.11428571428571428,0.6,8.1,23.900000000000002,0.5,2.0,2.0,,1.0,,5.0,,5.0,,0.058823529411764705,0.2222222222222222,,,,2.0,1.0,,0.25,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
