EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,FG3APct,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,SecondChanceFG2M,PenaltyFG2M,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,SelfOReb,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,BadPassTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PtsAssisted2s,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,ShortMidRangeFGA,Offensive Fouls Drawn,ShortMidRangeFrequency,SecondChanceAtRimPctAssisted,LongMidRangeFGM,Corner3Assists,Offensive Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,BlockedShortMidRange,on,SecondChanceCorner3FGA,ShortMidRangeAssists,LostBallSteals,Loose Ball Fouls,Technical Free Throw Trips,BlockedLongMidRange,DefCorner3ReboundPct,SecondChanceCorner3Frequency,Travels,SecondChanceTurnovers,DefensiveGoaltends,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangeFGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,HeaveAttempts,FTOffRebounds,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,StepOutOfBoundsTurnovers,Arc3PctBlocked,BlockedCorner3,HeaveMakes
101204,1610612739,Dwayne Jones,Dwayne Jones,101204,CLE,1098.0,18,2.0,33,35,16.0,22.0,5.0,68,1.0,1.0,3.0,3.0,34,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,2.0,6.0,2.0,1.0,3.0,16.0,2.0,1.0,0.375,0.25,0.5,1.0,1.0,14.285714285714286,0.5,1.0,0.25,0.16666666666666666,0.14285714285714285,0.2222222222222222,0.06666666666666667,0.5,0.25,0.25,0.25,0.16666666666666666,1.0,1.0,0.8037,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.8,0.48484848484848486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1610612739,David Wesley,David Wesley,133,CLE,475.0,8,4.0,15,14,9.0,14.0,3.0,29,,1.0,,3.0,17,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,9.0,,,0.5,,,,,14.285714285714286,,,0.5,,,0.25,,,,,1.0,,,0.6666666666666666,0.4633333333333334,,,,,16.4,0.6,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.5,0.5,0.3526,0.4163,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,1610612739,Scot Pollard,Scot Pollard,1513,CLE,328.0,5,3.0,9,9,8.0,9.0,3.0,18,3.0,3.0,1.0,3.0,11,,2.0,1.0,3.0,,1.0,,,,,4.0,4.0,,,,,,,,1.0,,2.0,1.0,,3.0,8.0,,,0.375,0.5,0.375,,,28.57142857142857,,,,,1.0,,0.8,,,,,,1.0,1.0,0.6774333333333334,0.25,0.25,0.6666666666666666,1.0,0.4666666666666666,0.8888888888888888,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,0.6469,0.6774333333333334,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.75,1.0,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200789,1610612739,Daniel Gibson,Daniel Gibson,200789,CLE,581.0,10,1.0,16,17,10.0,11.0,3.0,33,,,,6.0,15,,3.0,,6.0,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,6.0,10.0,,,1.5,1.5,1.5,,,13.636363636363637,1.0,,0.16666666666666666,,,0.09090909090909091,,,,,0.3333333333333333,,,1.0,0.529575,0.5,,0.5,1.0,,0.625,,2.0,2.0,2.0,2.0,2.0,,,2.0,3.0,2.0,2.0,,,,,,,,,0.5,1.0,1.0,1.5,1.0,,1.0,1.0,1.0,0.5,1.0,1.0,,0.529575,24.65,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,1610612739,Sasha Pavlovic,Sasha Pavlovic,2562,CLE,328.0,5,3.0,9,9,8.0,9.0,3.0,18,1.0,2.0,,2.0,11,,,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,2.0,8.0,,,0.5,,1.0,,,14.285714285714285,,,,0.5,,0.3333333333333333,,,,,,0.5,0.5,0.5,0.57625,,,,1.0,11.1,0.8888888888888888,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,0.7623,,1.0,,,1.0,1.0,1.0,,1.0,2.0,,,,0.5,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,269.0,4,-2.0,11,11,3.0,11.0,,22,,1.0,,,11,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,16.666666666666668,,,0.3333333333333333,,,0.25,,,,1.0,,,,0.5,0.451275,,,,,18.4,0.2727272727272727,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200769,1610612739,Shannon Brown,Shannon Brown,200769,CLE,208.0,3,,9,9,1.0,9.0,,18,1.0,1.0,2.0,4.0,9,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,1.0,,,1.0,,,,,20.0,,,,,,,,,,,,,1.0,1.0,0.8925,0.5,0.5,,,1.1,0.1111111111111111,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,5.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1610612739,Donyell Marshall,Donyell Marshall,923,CLE,578.0,10,-1.0,19,20,8.0,13.0,2.0,39,2.0,2.0,,7.0,21,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,8.0,,,0.5833333333333334,,,,,27.272727272727273,,,,0.5,,0.1111111111111111,,,,,,0.5,0.3333333333333333,1.0,0.58695,0.16666666666666666,0.5,,,1.5,0.42105263157894735,,,1.0,,1.0,4.0,,,1.0,3.0,1.0,,,,,,,,,,1.0,0.25,0.25,0.5833333333333334,0.6666666666666666,,0.16666666666666666,,,,,,,0.58755,23.85,2.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,501.0,8,1.0,13,15,5.0,2.0,2.0,28,2.0,3.0,,4.0,12,,2.0,,2.0,,,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,2.0,5.0,,,0.4,1.0,0.5,,,31.25,,,,0.3333333333333333,,0.09090909090909091,,,,,,0.3333333333333333,0.4,0.8,0.61498,,,0.5,0.5,4.666666666666667,0.38461538461538464,,,2.0,1.0,,2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,0.4,0.4,,0.4,,,,0.5,,,0.6631,24.85,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,0.6666666666666666,1.0,1.0,1.0,0.5,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,0.5,0.5,,,,,,,,,,,1.0,1.0,0.2,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,501.0,8,1.0,13,15,5.0,2.0,2.0,28,,1.0,2.0,4.0,12,,,1.0,3.0,,,,2.0,,2.0,,2.0,,1.0,,,1.0,,2.0,2.0,,4.0,1.0,1.0,3.0,5.0,,1.0,0.6666666666666666,,0.75,,,25.0,,,0.25,,,0.18181818181818182,,,0.3333333333333333,0.3333333333333333,,,,,0.4036,0.5,0.5,,0.75,17.7,0.38461538461538464,1.0,,,,,,,1.0,,,,,1.0,1.0,2.0,,1.0,5.0,,,,,,1.0,,1.0,,,,,,,,0.4036,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
