EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,Blocked3s,BlockedArc3,3SecondViolations,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Clear Path Fouls,BlockedCorner3,on,Corner3PctBlocked,3pt And 1 Free Throw Trips,OffensiveGoaltends
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,42525.0,709,44,1347,1359,394.0,325,139,2706,22.0,40.0,6.0,12.0,6.0,10.0,4.0,9.0,19.0,39.0,8.0,19.0,1.0,1.0,4.0,21.0,51.0,1.0,2.0,6.0,10.0,45.0,88,29.0,70.0,41.0,218.0,1382,7.0,14.0,2.0,3.0,3.0,23.0,10.0,23.0,6.0,14.0,25.0,63.0,44.0,46.0,84.0,3.0,10.0,51.0,21.0,7.0,28.0,6.0,34.0,4.0,2.0,15.0,5.0,8.0,74.0,6.0,16.0,1.0,13.0,51,2.0,66,23.0,89,2.0,18.0,9.0,9.0,11.0,5.0,8.0,20.0,1.0,3.0,1.0,4.0,31.0,4.0,7.0,42.0,90.0,9.0,6.0,48.0,3.0,6.0,53.0,2.0,6.0,12.0,1.0,11.0,19.0,10.0,3.0,6.0,19.0,9.0,3.0,63.0,394.0,10.0,9.0,0.4888888888888889,0.55,0.9655172413793104,0.4142857142857143,0.6666666666666666,0.42857142857142855,0.4142857142857143,0.5113636363636364,0.5,0.43478260869565216,0.560126582278481,0.5882352941176471,0.5135135135135135,0.5944444444444444,0.6052631578947368,0.5865384615384616,0.4430379746835443,0.07954545454545454,0.15,0.1111111111111111,13.944223107569721,0.3548387096774194,0.037037037037037035,0.017857142857142856,0.1069182389937107,0.037122969837587005,0.07692307692307693,0.046511627906976744,0.09907120743034056,0.039285714285714285,0.034722222222222224,0.03597122302158273,0.04054054054054054,0.0449438202247191,0.05,0.08333333333333333,0.11965811965811966,0.11574074074074074,0.08403361344537816,0.06,0.02631578947368421,0.47368421052631576,0.25316455696202533,0.55,0.6470588235294118,0.45454545454545453,0.056962025316455694,0.4444444444444444,0.5,0.2468354430379747,0.48717948717948717,0.48717948717948717,0.631578947368421,0.12025316455696203,0.42105263157894735,0.42105263157894735,1.0,0.3227848101265823,0.4117647058823529,0.4117647058823529,0.9523809523809523,0.7058823529411765,0.5,0.058823529411764705,1.0,1.0,0.11764705882352941,0.5,1.0,0.2702702702702703,0.6,0.10810810810810811,0.2702702702702703,0.6,0.6962025316455697,0.4117647058823529,0.517348734177215,0.5403307692307693,0.5055972972972973,0.07692307692307693,0.12244897959183673,0.014084507042253521,0.10550458715596331,0.2889908256880734,9.475,24.621428571428567,0.2925018559762435,,,,,,,,,,,,,,,,True,,,
101179,1610612758,Ronnie Price,Ronnie Price,101179,SAC,18559.0,309,17,590,605,183.0,184,65,1195,10.0,24.0,,,4.0,10.0,,7.0,12.0,27.0,1.0,5.0,,,,9.0,26.0,,1.0,1.0,5.0,22.0,58,10.0,31.0,22.0,96.0,622,,,,1.0,1.0,1.0,12.0,21.0,1.0,5.0,8.0,35.0,22.0,22.0,24.0,6.0,,25.0,9.0,7.0,19.0,7.0,26.0,6.0,1.0,13.0,1.0,5.0,59.0,2.0,5.0,,13.0,20,,33,7.0,40,3.0,12.0,5.0,7.0,10.0,3.0,7.0,8.0,1.0,3.0,,2.0,18.0,,2.0,13.0,35.0,2.0,1.0,31.0,1.0,6.0,28.0,1.0,,11.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,,35.0,183.0,4.0,3.0,0.5,0.5,0.8,0.3225806451612903,,0.2,0.3333333333333333,0.3793103448275862,,0.5714285714285714,0.4157303370786517,,0.5192307692307693,0.47058823529411764,0.25,0.5645161290322581,0.34831460674157305,0.1206896551724138,0.16666666666666666,0.42857142857142855,18.181818181818183,0.5555555555555556,,,0.10810810810810811,0.029585798816568046,0.16883116883116883,0.03773584905660377,0.12595419847328243,0.03153153153153153,0.01818181818181818,0.018518518518518517,0.05,0.02702702702702703,0.0625,0.061224489795918366,0.1,0.13953488372093023,0.1875,0.13793103448275862,0.061224489795918366,0.5,0.2696629213483146,0.4166666666666667,0.5,0.5,0.07865168539325842,,,0.30337078651685395,0.4444444444444444,0.4444444444444444,0.5,0.056179775280898875,0.2,0.2,1.0,0.29213483146067415,0.34615384615384615,0.34615384615384615,0.7777777777777778,,,,,,1.0,,,0.38461538461538464,0.4,,0.19230769230769232,0.2,0.6179775280898876,0.36,0.5038210227272727,0.63255,0.4881039999999999,0.12,0.16176470588235295,0.03125,0.010416666666666666,0.3645833333333333,9.286206896551722,25.65806451612903,0.3101694915254237,1.0,1.0,,,,,,,,,,,,,,True,,,
1508,1610612758,Maurice Taylor,Maurice Taylor,1508,SAC,1891.0,32,17,56,56,8.0,20,12,112,2.0,3.0,1.0,1.0,,1.0,,4.0,,1.0,,,,,,,,,,,,2.0,8,,,1.0,5.0,35,1.0,1.0,,,,2.0,,1.0,,,,,2.0,2.0,,,2.0,,,2.0,2.0,,2.0,,,2.0,,,4.0,1.0,2.0,,2.0,3,1.0,6,3.0,9,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,4.0,1.0,1.0,1.0,,,2.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,8.0,1.0,,0.5,1.0,,,,,,0.25,1.0,,0.25,1.0,,0.2777777777777778,1.0,,,0.25,0.3333333333333333,0.25,14.492753623188406,,0.25,,0.17647058823529413,0.07142857142857142,0.14285714285714285,0.2,0.16129032258064516,0.09090909090909091,,0.09090909090909091,0.125,0.3333333333333333,,0.3333333333333333,0.2,0.1111111111111111,0.2222222222222222,,,1.0,0.375,0.6666666666666666,1.0,0.5,0.5,,,0.125,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,0.375,,0.4454375,0.5514,0.5734,0.1111111111111111,0.1111111111111111,,0.4,,7.1875,,0.14285714285714285,,,,,,,,,,,,,,,,True,,,
1897,1610612758,Metta World Peace,Metta World Peace,1897,SAC,43819.0,730,97,1393,1391,616.0,459,139,2784,50.0,84.0,5.0,7.0,16.0,26.0,14.0,32.0,28.0,79.0,2.0,14.0,,2.0,3.0,15.0,49.0,2.0,3.0,7.0,23.0,92.0,195,17.0,63.0,82.0,317.0,1413,9.0,13.0,2.0,5.0,9.0,33.0,30.0,72.0,7.0,26.0,47.0,128.0,52.0,132.0,30.0,21.0,6.0,48.0,15.0,19.0,48.0,20.0,68.0,15.0,5.0,23.0,9.0,16.0,156.0,5.0,11.0,,25.0,77,20.0,122,16.0,138,2.0,37.0,19.0,18.0,14.0,1.0,7.0,21.0,2.0,7.0,1.0,7.0,35.0,4.0,12.0,13.0,53.0,4.0,9.0,91.0,8.0,4.0,111.0,9.0,,44.0,,16.0,8.0,2.0,1.0,5.0,8.0,4.0,3.0,128.0,616.0,9.0,15.0,0.2826086956521739,0.29213483146067415,0.5882352941176471,0.2698412698412698,0.4,0.2692307692307692,0.27419354838709675,0.4717948717948718,0.6923076923076923,0.4166666666666667,0.45542635658914726,0.6666666666666666,0.413265306122449,0.5129449838187702,0.717391304347826,0.49230769230769234,0.2441860465116279,0.09743589743589744,0.17857142857142858,0.09375,22.129032258064516,0.4,0.38461538461538464,,0.16244725738396623,0.024336283185840708,0.13440860215053763,0.029940119760479042,0.15454545454545454,0.025848142164781908,0.02142857142857143,0.046875,0.010869565217391304,0.022727272727272728,0.05714285714285714,0.14285714285714285,0.16666666666666666,0.1712962962962963,0.12213740458015267,0.16363636363636364,0.016260162601626018,0.5,0.32558139534883723,0.5952380952380952,0.7246376811594203,0.34,0.12403100775193798,0.4375,0.4827586206896552,0.3062015503875969,0.35443037974683544,0.358974358974359,0.2857142857142857,0.05426356589147287,0.14285714285714285,0.14285714285714285,0.5,0.18992248062015504,0.30612244897959184,0.3125,0.6,0.3888888888888889,0.7142857142857143,0.1111111111111111,,,0.16666666666666666,0.6666666666666666,1.0,0.2653061224489796,0.6153846153846154,0.030612244897959183,0.23469387755102042,0.30434782608695654,0.5697674418604651,0.3125,0.4890840466926071,0.51616,0.4544247422680412,0.15017064846416384,0.19130434782608696,,0.10410094637223975,0.4037854889589905,9.579487179487181,24.928571428571423,0.44221105527638194,1.0,1.0,1.0,0.015873015873015872,0.012658227848101266,0.02040816326530612,0.07142857142857142,,,,,,,,,True,,,
722,1610612758,Corliss Williamson,Corliss Williamson,722,SAC,80240.0,1337,61,2579,2592,980.0,848,264,5171,138.0,218.0,23.0,41.0,55.0,83.0,71.0,175.0,27.0,68.0,,,,,,,2.0,,,,2.0,236.0,461,,2.0,148.0,620.0,2679,34.0,64.0,,,21.0,89.0,86.0,163.0,,2.0,65.0,237.0,298.0,174.0,,,32.0,2.0,,34.0,29.0,10.0,39.0,6.0,4.0,14.0,4.0,11.0,88.0,9.0,52.0,2.0,36.0,96,26.0,158,63.0,221,11.0,29.0,15.0,14.0,45.0,6.0,21.0,52.0,2.0,24.0,2.0,18.0,97.0,10.0,31.0,100.0,183.0,22.0,14.0,193.0,17.0,22.0,207.0,24.0,1.0,97.0,,18.0,14.0,10.0,,4.0,15.0,7.0,6.0,237.0,980.0,22.0,17.0,0.6313559322033898,0.6772727272727272,,,,,,0.5119305856832972,0.53125,0.5276073619631901,0.509719222462203,0.53125,0.5212121212121212,0.5586642599277978,0.5705128205128205,0.572463768115942,0.004319654427645789,0.0737527114967462,0.11009174311926606,0.05714285714285714,22.612018061827023,0.4639175257731959,0.25,0.019801980198019802,0.10933940774487472,0.06190476190476191,0.10876132930513595,0.03308823529411765,0.10918114143920596,0.05485611510791367,0.08823529411764706,0.07936507936507936,0.02531645569620253,0.03902439024390244,0.014925373134328358,0.09053497942386832,0.1297071129707113,0.10858585858585859,0.1059322033898305,0.11578947368421053,0.0582010582010582,0.4666666666666667,0.4708423326133909,0.6330275229357798,0.711340206185567,0.6594202898550725,0.3779697624190065,0.4057142857142857,0.4303030303030303,0.1468682505399568,0.39705882352941174,0.39705882352941174,0.8518518518518519,,,,,0.004319654427645789,,,,0.640625,0.5609756097560976,,,,,,,0.503030303030303,0.6626506024096386,,0.012121212121212121,,0.47516198704103674,,0.47566352813852825,0.5024381818181818,0.4799259146341464,0.18097014925373134,0.18164794007490637,,0.1435483870967742,0.38225806451612904,5.639913232104123,33.1,0.37999224505622337,,1.0,,,,,0.49295774647887325,1.0,1.0,3.0,0.2608695652173913,,,,,True,,,
2422,1610612758,John Salmons,John Salmons,2422,SAC,49833.0,831,31,1562,1570,500.0,450,145,3132,43.0,71.0,3.0,4.0,14.0,22.0,17.0,39.0,7.0,35.0,5.0,10.0,,,3.0,9.0,19.0,2.0,2.0,3.0,7.0,67.0,145,14.0,29.0,63.0,239.0,1632,6.0,10.0,2.0,2.0,3.0,21.0,21.0,37.0,5.0,10.0,24.0,81.0,40.0,94.0,42.0,,6.0,18.0,9.0,18.0,81.0,27.0,108.0,18.0,9.0,38.0,19.0,24.0,243.0,3.0,15.0,,25.0,56,5.0,86,18.0,104,2.0,26.0,15.0,11.0,23.0,8.0,12.0,26.0,2.0,11.0,,7.0,49.0,4.0,22.0,29.0,63.0,3.0,7.0,68.0,2.0,1.0,82.0,10.0,,37.0,,9.0,12.0,7.0,2.0,3.0,12.0,7.0,,81.0,500.0,8.0,9.0,0.29850746268656714,0.3125,1.0,0.4827586206896552,1.0,0.5,0.5,0.46206896551724136,0.6,0.5675675675675675,0.5057471264367817,0.75,0.6063829787234043,0.569047619047619,0.75,0.675,0.16666666666666666,0.12413793103448276,0.2112676056338028,0.02564102564102564,14.962449451184288,0.46938775510204084,0.08928571428571429,,0.1,0.028517110266159697,0.12077294685990338,0.021739130434782608,0.10560625814863103,0.02710843373493976,0.023952095808383235,0.04142011834319527,0.021052631578947368,0.01834862385321101,0.034482758620689655,0.0875,0.09395973154362416,0.11155378486055777,0.1032258064516129,0.17307692307692307,0.0273972602739726,0.5833333333333334,0.40804597701149425,0.6056338028169014,0.7678571428571429,0.3953488372093023,0.22413793103448276,0.4358974358974359,0.4473684210526316,0.20114942528735633,0.2,0.21212121212121213,,0.05747126436781609,0.5,0.5,1.0,0.10919540229885058,0.47368421052631576,0.47368421052631576,1.0,0.3333333333333333,0.75,,,,0.16666666666666666,1.0,1.0,0.46808510638297873,0.6363636363636364,0.06382978723404255,0.14893617021276595,0.42857142857142855,0.5747126436781609,0.5,0.4931355491329479,0.501525,0.5018956521739131,0.18407960199004975,0.21511627906976744,,0.08786610878661087,0.3389121338912134,6.727586206896552,25.39655172413793,0.3201024327784891,1.0,,,,0.05714285714285714,,0.17647058823529413,,,,,2.0,0.6666666666666666,,,True,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,39578.0,660,38,1326,1324,646.0,560,139,2650,19.0,33.0,1.0,1.0,9.0,16.0,7.0,19.0,34.0,87.0,4.0,15.0,1.0,1.0,7.0,34.0,103.0,4.0,12.0,17.0,51.0,60.0,139,38.0,118.0,95.0,329.0,1360,2.0,7.0,5.0,13.0,4.0,23.0,21.0,54.0,19.0,58.0,64.0,163.0,44.0,76.0,90.0,24.0,,103.0,34.0,7.0,75.0,17.0,92.0,15.0,2.0,45.0,5.0,25.0,201.0,3.0,3.0,,21.0,33,2.0,56,6.0,62,2.0,19.0,13.0,6.0,29.0,3.0,20.0,10.0,2.0,9.0,,2.0,39.0,4.0,21.0,20.0,39.0,,1.0,75.0,4.0,5.0,110.0,6.0,9.0,22.0,2.0,29.0,,,,,,,,163.0,646.0,6.0,29.0,0.36666666666666664,0.36666666666666664,0.7894736842105263,0.3220338983050847,0.38461538461538464,0.3275862068965517,0.3220338983050847,0.4316546762589928,0.2857142857142857,0.3888888888888889,0.45525291828793774,0.475,0.4419642857142857,0.5279605263157895,0.5238095238095238,0.5513698630136986,0.4591439688715953,0.050359712230215826,0.12121212121212122,0.10526315789473684,23.108108108108105,0.7435897435897436,0.034482758620689655,,0.07415730337078652,0.007159904534606206,0.11931818181818182,0.017857142857142856,0.08695652173913043,0.010221465076660987,0.015503875968992248,,0.005813953488372093,0.015503875968992248,0.02564102564102564,0.04424778761061947,0.06870229007633588,0.0945273631840796,0.11023622047244094,0.14285714285714285,0.013513513513513514,,0.12840466926070038,0.5757575757575758,0.6551724137931034,0.21052631578947367,0.07392996108949416,0.3684210526315789,0.4117647058823529,0.33852140077821014,0.39080459770114945,0.3953488372093023,0.47058823529411764,0.058365758754863814,0.26666666666666666,0.26666666666666666,1.0,0.40077821011673154,0.3300970873786408,0.3300970873786408,0.7647058823529411,0.05,1.0,0.05,1.0,1.0,0.6,0.3333333333333333,0.25,0.14285714285714285,0.5625,0.0625,0.45535714285714285,0.3333333333333333,0.5875486381322957,0.3300970873786408,0.49001284046692595,0.48535,0.4961955357142857,0.08727272727272728,0.14193548387096774,0.016666666666666666,0.06990881458966565,0.49544072948328266,13.451079136690648,25.18220338983051,0.48717948717948717,,,,,0.011494252873563218,,0.2857142857142857,,,,1.0,2.0,0.2857142857142857,,,True,,,
2755,1610612758,Kevin Martin,Kevin Martin,2755,SAC,43411.0,724,-40,1408,1422,554.0,530,138,2830,45.0,65.0,5.0,9.0,24.0,32.0,30.0,57.0,27.0,80.0,8.0,19.0,,1.0,9.0,18.0,51.0,1.0,2.0,5.0,18.0,102.0,202,26.0,70.0,150.0,432.0,1536,11.0,18.0,1.0,3.0,10.0,35.0,45.0,83.0,8.0,27.0,70.0,184.0,78.0,126.0,66.0,12.0,10.0,51.0,18.0,11.0,31.0,8.0,39.0,8.0,,16.0,7.0,8.0,86.0,5.0,13.0,,24.0,55,6.0,85,18.0,103,2.0,21.0,19.0,2.0,15.0,5.0,9.0,21.0,2.0,6.0,,3.0,36.0,2.0,15.0,27.0,57.0,2.0,6.0,121.0,3.0,12.0,175.0,9.0,7.0,60.0,3.0,24.0,2.0,2.0,,,2.0,1.0,,184.0,554.0,8.0,22.0,0.38235294117647056,0.4020618556701031,0.8461538461538461,0.37142857142857144,0.3333333333333333,0.2962962962962963,0.37142857142857144,0.504950495049505,0.6111111111111112,0.5421686746987951,0.5183823529411765,0.5952380952380952,0.5181818181818182,0.61,0.6730769230769231,0.6258503401360545,0.25735294117647056,0.054455445544554455,0.09230769230769231,0.07017543859649122,24.633056796426292,0.4166666666666667,0.09523809523809523,,0.11853448275862069,0.02914798206278027,0.13953488372093023,0.03355704697986577,0.12421383647798742,0.030252100840336135,0.019867549668874173,0.025210084033613446,0.03977272727272727,0.03361344537815126,0.03333333333333333,0.07086614173228346,0.10687022900763359,0.1553398058252427,0.16666666666666666,0.06521739130434782,0.015267175572519083,0.5,0.23897058823529413,0.6923076923076923,0.7627118644067796,0.4888888888888889,0.20955882352941177,0.5263157894736842,0.5660377358490566,0.29411764705882354,0.3375,0.34177215189873417,0.4444444444444444,0.06985294117647059,0.42105263157894735,0.42105263157894735,0.875,0.1875,0.35294117647058826,0.36,0.8333333333333334,0.42857142857142855,0.5555555555555556,0.047619047619047616,,,0.09523809523809523,0.5,1.0,0.2909090909090909,0.75,0.08181818181818182,0.16363636363636364,0.2777777777777778,0.4963235294117647,0.35294117647058826,0.48896911764705875,0.5113323529411765,0.5020495454545455,0.19325153374233128,0.23715415019762845,0.0410958904109589,0.08101851851851852,0.42592592592592593,9.860891089108911,24.68285714285714,0.3934659090909091,,,1.0,0.014285714285714285,0.0125,0.0196078431372549,0.16666666666666666,,,,,3.0,0.3333333333333333,,,True,,,
949,1610612758,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,SAC,35023.0,584,-20,1121,1125,351.0,337,103,2246,47.0,84.0,15.0,29.0,14.0,25.0,33.0,58.0,21.0,43.0,1.0,3.0,,,2.0,,5.0,,,,1.0,101.0,185,1.0,8.0,48.0,253.0,1215,19.0,35.0,,,7.0,45.0,29.0,48.0,,3.0,27.0,85.0,112.0,90.0,3.0,,30.0,5.0,,14.0,22.0,19.0,41.0,14.0,5.0,14.0,2.0,6.0,101.0,5.0,35.0,,19.0,60,11.0,90,40.0,130,10.0,13.0,7.0,6.0,17.0,6.0,7.0,25.0,,10.0,,4.0,42.0,4.0,7.0,28.0,70.0,7.0,10.0,54.0,,3.0,64.0,10.0,,31.0,,6.0,12.0,8.0,,4.0,12.0,8.0,3.0,85.0,351.0,8.0,6.0,0.5544554455445545,0.6511627906976745,1.0,0.125,,,0.125,0.5459459459459459,0.5428571428571428,0.6041666666666666,0.5310880829015544,0.5428571428571428,0.5686274509803921,0.575,0.5625,0.6439393939393939,0.04145077720207254,0.07567567567567568,0.07142857142857142,0.1206896551724138,21.129032258064516,0.40476190476190477,0.2558139534883721,,0.16666666666666666,0.0958904109589041,0.13380281690140844,0.043859649122807015,0.15737051792828685,0.08350730688935282,0.15254237288135594,0.08928571428571429,0.05185185185185185,0.0449438202247191,0.04,0.1743119266055046,0.17073170731707318,0.15976331360946747,0.1320754716981132,0.1388888888888889,0.12987012987012986,0.6666666666666666,0.43523316062176165,0.5595238095238095,0.6025641025641025,0.5531914893617021,0.3005181347150259,0.5689655172413793,0.6470588235294118,0.22279792746113988,0.4883720930232558,0.5,0.9523809523809523,0.015544041450777202,0.3333333333333333,0.3333333333333333,1.0,0.025906735751295335,,,,0.8285714285714286,0.5172413793103449,,,,,,,0.49019607843137253,0.56,0.0392156862745098,0.0196078431372549,,0.47668393782383417,,0.4774160621761657,0.5422852941176471,0.501971568627451,0.14485981308411214,0.15048543689320387,,0.17786561264822134,0.3359683794466403,6.837837837837838,24.1875,0.31311329170383584,,1.0,,,0.023255813953488372,,0.30303030303030304,,,2.0,0.06666666666666667,,,,,True,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,18812.0,314,34,619,613,296.0,223,63,1232,11.0,22.0,4.0,7.0,8.0,13.0,4.0,16.0,16.0,41.0,,1.0,,,1.0,2.0,5.0,,,,2.0,31.0,79,2.0,6.0,18.0,86.0,608,7.0,12.0,,,4.0,18.0,16.0,34.0,,3.0,11.0,43.0,44.0,18.0,6.0,,8.0,5.0,2.0,2.0,30.0,4.0,34.0,3.0,1.0,20.0,5.0,5.0,72.0,5.0,12.0,1.0,7.0,49,9.0,65,18.0,83,3.0,8.0,5.0,3.0,4.0,2.0,1.0,8.0,2.0,3.0,,1.0,12.0,1.0,9.0,16.0,28.0,2.0,2.0,25.0,4.0,2.0,26.0,5.0,1.0,13.0,,2.0,7.0,3.0,,4.0,7.0,4.0,1.0,43.0,296.0,5.0,2.0,0.7096774193548387,0.8148148148148148,1.0,0.3333333333333333,,,0.3333333333333333,0.3924050632911392,0.5833333333333334,0.47058823529411764,0.4,0.5833333333333334,0.43243243243243246,0.4473684210526316,0.6428571428571429,0.4883720930232558,0.07058823529411765,0.02531645569620253,0.045454545454545456,0.0625,15.46242774566474,0.3333333333333333,0.3333333333333333,0.0625,0.22272727272727272,0.0547945205479452,0.10294117647058823,0.07142857142857142,0.19444444444444445,0.058823529411764705,0.04225352112676056,0.043478260869565216,0.06862745098039216,0.07692307692307693,0.05555555555555555,0.1568627450980392,0.30434782608695654,0.2,0.08163265306122448,0.15789473684210525,0.061224489795918366,0.5714285714285714,0.25882352941176473,0.5,0.5238095238095238,0.45454545454545453,0.18823529411764706,0.25,0.26666666666666666,0.4823529411764706,0.3902439024390244,0.3902439024390244,0.9375,0.011764705882352941,,,,0.058823529411764705,0.4,0.4,1.0,0.5833333333333334,0.5714285714285714,,,,,,,0.35135135135135137,0.6153846153846154,0.02702702702702703,0.05405405405405406,,0.32941176470588235,0.4,0.44788764705882356,0.5061363636363636,0.4773635135135135,0.13978494623655913,0.14942528735632185,,0.20930232558139536,0.5,11.527848101265821,24.450000000000003,0.4781906300484653,,,,,,,0.5,,,1.0,0.25,,,1.0,,True,,,
