EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ShortMidRangeFGM,Steals,BadPassSteals,Loose Ball Fouls Drawn,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Assists,PenaltyCorner3FGM,HeaveAttempts,LongMidRangeAssists,SelfOReb,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,PenaltyCorner3Accuracy,SecondChanceArc3FGM,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,DefensiveGoaltends,AtRimPctBlocked,SecondChanceArc3Accuracy,Technical Free Throw Trips,OffShortMidRangeReboundPct,LostBallSteals,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,2pt And 1 Free Throw Trips,SecondChanceArc3PctAssisted,on,SecondChanceTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceFtPoints,FTOffRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,Blocked3s,BlockedArc3,3SecondViolations,SecondChanceAtRimPctAssisted,OffensiveGoaltends
147,1610612756,Jalen Rose,Jalen Rose,147,PHX,366.0,6,6,13,12,7.0,12,1,25,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,2.0,5.0,8,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.625,0.8333333333333334,0.625,0.8333333333333334,0.5,28.57142857142857,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.46686249999999996,0.43953333333333333,1.0,20.1,24.25,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
15,1610612756,Eric Piatkowski,Eric Piatkowski,15,PHX,4368.0,73,-3,139,136,35.0,50,10,275,,4.0,10.0,3.0,8.0,,1.0,2.0,7,7.0,18.0,27.0,151,1.0,2.0,,2.0,4.0,2.0,18.0,8.0,3.0,2.0,4.0,1.0,1.0,10.0,1.0,7.0,9.0,4.0,35.0,0.5,1.0,0.8571428571428571,0.3888888888888889,,0.3888888888888889,0.2857142857142857,0.5,0.5,0.25,0.5192307692307693,0.4,0.72,20.945945945945947,0.06666666666666667,0.09523809523809523,,0.16,,,,0.4,0.32,0.375,0.375,1.0,0.25,,0.8,0.375,0.5263,0.47963750000000005,0.14814814814814814,11.485714285714286,24.888888888888886,0.2517985611510791,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.8333333333333334,0.8333333333333334,0.14285714285714285,1.0,0.8,0.1111111111111111,0.10416666666666667,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.05263157894736842,0.047619047619047616,0.3333333333333333,0.041666666666666664,0.3333333333333333,0.08,1.0,1.0,0.5,0.04,0.4,0.4,0.75,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.25,1.0,0.25,0.50325,0.038461538461538464,0.125,0.18518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1908,1610612756,Jumaine Jones,Jumaine Jones,1908,PHX,245.0,4,-3,9,10,,10,1,19,,1.0,,,1.0,,,,1,,1.0,,10,,,,,,,,1.0,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,,,,0.5,20.0,0.3333333333333333,0.5,0.5,0.5,,,,,0.5,,,,,,0.5,,0.4543,,,19.1,26.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2469,1610612756,Pat Burke,Pat Burke,2469,PHX,1794.0,30,7,56,57,22.0,35,3,113,,2.0,,,2.0,,1.0,4.0,8,,2.0,10.0,55,2.0,4.0,,1.0,6.0,8.0,,2.0,,,,,,,1.0,9.0,9.0,6.0,22.0,1.0,1.0,,,,,0.5,0.5,0.4,0.4,0.45454545454545453,0.5,0.2,18.64406779661017,0.2,0.19230769230769232,,0.2,,,,,0.2,,,,0.2,,0.4,,0.4296399999999999,0.45938,0.6,9.8625,25.1,0.39285714285714285,2.0,2.0,,,2.0,2.0,4.0,,,,,1.0,2.0,,,,1.0,,2.0,,,,,,,,,4.0,4.0,,,,,,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,0.6666666666666666,0.19047619047619047,,,,,,0.25,0.16666666666666666,0.5,0.2,1.0,1.0,1.0,0.4,,,,,,,,,1.0,0.4,1.0,,0.5877,0.09090909090909091,0.1111111111111111,,,,,2.0,1.0,1.0,1.0,1.0,0.2,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2556,1610612756,Marcus Banks,Marcus Banks,2556,PHX,523.0,9,-8,19,19,7.0,19,2,38,,1.0,,,,,,1.0,2,,,2.0,22,,1.0,,,,2.0,,,,,2.0,,,6.0,,,,,7.0,1.0,1.0,,,,,0.5,,0.5,,0.5,,,9.523809523809524,,,,0.5,,,,,,,,,,,0.5,,0.54215,0.4368,,11.25,,0.3684210526315789,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2564,1610612756,Boris Diaw,Boris Diaw,2564,PHX,1966.0,33,-16,65,61,16.0,20,7,126,,,1.0,,1.0,,1.0,1.0,2,1.0,2.0,5.0,79,,,1.0,2.0,3.0,,3.0,,,2.0,2.0,,1.0,4.0,1.0,2.0,4.0,3.0,16.0,,,1.0,0.5,0.5,1.0,0.5,,0.625,0.75,0.625,0.75,0.5,7.042253521126761,0.2,0.08,0.2,,,,,0.25,0.25,,,,0.5,,1.0,,0.5045833333333333,0.43545,0.6,,32.55,0.24615384615384617,1.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,1.0,,,2.0,,2.0,,2.0,,,,1.0,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,0.05,0.05555555555555555,0.05,0.05263157894736842,,,0.14285714285714285,,,0.5,0.5,0.5,,,1.0,1.0,1.0,1.0,1.0,,,,,,,0.5,0.5655,,,0.4,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,516.0,9,2,17,15,7.0,2,1,32,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,3,1.0,1.0,8.0,13,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,5.0,7.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.875,0.8333333333333334,0.8,0.8333333333333334,0.25,33.333333333333336,,0.16666666666666666,,0.25,1.0,1.0,,,0.25,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.407975,0.3474,0.625,9.533333333333333,25.3,0.4117647058823529,1.0,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,1.0,0.16666666666666666,,,,,,,0.25,,0.25,1.0,1.0,1.0,0.25,,,,,,,,,,,,,0.2662,0.2,0.25,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,3796.0,63,4,120,117,28.0,34,7,237,6.0,8.0,4.0,2.0,8.0,,1.0,11.0,16,4.0,12.0,34.0,128,2.0,3.0,1.0,2.0,7.0,4.0,6.0,7.0,2.0,7.0,19.0,3.0,,50.0,,5.0,5.0,7.0,28.0,0.18181818181818182,0.18181818181818182,0.5,0.3333333333333333,0.5,0.36363636363636365,0.6875,0.6666666666666666,0.6071428571428571,0.7,0.6071428571428571,0.7,0.42857142857142855,25.396825396825395,,0.08928571428571429,,0.2857142857142857,0.75,0.75,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.25,0.25,,0.2,,0.6071428571428571,0.2857142857142857,0.4909833333333334,0.5016125,0.20588235294117646,10.812499999999998,27.833333333333332,0.23333333333333334,3.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,,18.0,6.0,,2.0,12.0,4.0,,,5.0,,,1.0,1.0,3.0,,,4.0,,1.0,6.0,1.0,,,,,,,1.0,1.0,1.25,1.25,0.125,0.3333333333333333,0.25,,0.1111111111111111,,,,,,0.1,0.17391304347826086,,0.17857142857142858,0.6,0.75,,0.10714285714285714,0.5,0.5,1.0,0.5,1.0,,,,0.5,0.4,0.5,0.2,0.548925,,,0.14705882352941177,,,,2.0,1.0,1.0,,,,,0.6666666666666666,1.0,0.5,8.0,1.0,1.0,4.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
959,1610612756,Steve Nash,Steve Nash,959,PHX,734.0,12,-5,21,21,3.0,3,1,42,,,,,1.0,,1.0,1.0,2,,1.0,3.0,27,,,,1.0,,,,1.0,,2.0,3.0,1.0,1.0,7.0,,,1.0,,3.0,,,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,22.727272727272727,,,,,,,,,0.3333333333333333,,,,1.0,,0.6666666666666666,,0.49731666666666663,0.41895,,6.65,25.8,0.14285714285714285,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,0.5,,,0.3333333333333333,,0.125,,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,
2592,1610612756,James Jones,James Jones,2592,PHX,2706.0,45,-10,89,86,19.0,24,7,175,3.0,7.0,4.0,4.0,9.0,2.0,2.0,3.0,8,5.0,13.0,24.0,100,2.0,3.0,2.0,3.0,13.0,2.0,15.0,9.0,4.0,,,,,,2.0,5.0,6.0,13.0,19.0,0.3333333333333333,0.3333333333333333,1.0,0.38461538461538464,0.6666666666666666,0.38461538461538464,0.375,0.6666666666666666,0.5,0.8333333333333334,0.5454545454545454,0.9285714285714286,0.6190476190476191,23.157894736842106,0.2222222222222222,0.125,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.19047619047619047,0.42857142857142855,0.4444444444444444,0.4444444444444444,1.0,0.3333333333333333,1.0,0.6666666666666666,0.4444444444444444,0.489752380952381,0.41985,0.5416666666666666,17.0,24.799999999999997,0.21348314606741572,,1.0,,,,,,1.0,,,1.0,,3.0,,,,,,3.0,4.0,,,,,,1.0,,3.0,,1.0,,,,,,,2.0,4.0,2.0,1.0,3.0,,2.0,1.0,2.0,1.0,,,,,,,,,0.0967741935483871,,0.043478260869565216,0.022222222222222223,,0.06666666666666667,0.1111111111111111,0.13333333333333333,0.5,0.047619047619047616,,,,,0.25,0.25,1.0,,,,,,,,,0.16666666666666666,,0.045454545454545456,,,,,,,1.0,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.07142857142857142,,,True,,,,,,,,,,,,,,,,,,,
