EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,HeaveAttempts,Corner3Assists,DefensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedCorner3,Corner3PctBlocked,OffensiveGoaltends
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,21919.0,365,-31,714,730,270.0,254,86,1444,16.0,28.0,4.0,8.0,5.0,10.0,4.0,7.0,8.0,19.0,3.0,6.0,1.0,2.0,1.0,11.0,27.0,1.0,1.0,6.0,9.0,28.0,54,14.0,33.0,30.0,128.0,766,5.0,11.0,2.0,3.0,5.0,21.0,10.0,20.0,6.0,10.0,20.0,58.0,18.0,38.0,39.0,3.0,6.0,27.0,11.0,3.0,20.0,2.0,22.0,2.0,12.0,2.0,6.0,46.0,6.0,10.0,2.0,3.0,25.0,3.0,31.0,18.0,49.0,1.0,6.0,4.0,2.0,12.0,5.0,7.0,13.0,1.0,5.0,1.0,1.0,25.0,2.0,7.0,20.0,45.0,1.0,4.0,31.0,3.0,5.0,36.0,3.0,4.0,9.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,3.0,11.0,7.0,58.0,270.0,9.0,6.0,0.32142857142857145,0.36,0.9285714285714286,0.42424242424242425,0.6666666666666666,0.6,0.42424242424242425,0.5185185185185185,0.45454545454545453,0.5,0.5632183908045977,0.5714285714285714,0.6333333333333333,0.6287128712871287,0.65625,0.725,0.3793103448275862,0.05555555555555555,0.03571428571428571,0.2857142857142857,15.594059405940595,0.48,0.09375,0.05405405405405406,0.11160714285714286,0.046511627906976744,0.03529411764705882,0.07142857142857142,0.09061488673139159,0.05351170568561873,0.0379746835443038,0.04918032786885246,0.05333333333333334,0.06153846153846154,0.10526315789473684,0.09090909090909091,0.16666666666666666,0.09615384615384616,0.03773584905660377,0.03125,0.024390243902439025,0.6363636363636364,0.3218390804597701,0.5714285714285714,0.5925925925925926,0.375,0.08045977011494253,0.5714285714285714,0.8,0.25,0.21839080459770116,0.42105263157894735,0.42105263157894735,0.25,0.06896551724137931,0.5,0.5,1.0,0.3103448275862069,0.4074074074074074,0.4074074074074074,0.9090909090909091,0.5714285714285714,0.5,0.14285714285714285,0.5,1.0,0.07142857142857142,1.0,1.0,0.3333333333333333,0.5,0.03333333333333333,0.3,0.6666666666666666,0.7011494252873564,0.4074074074074074,0.5151574712643676,0.5419909090909091,0.5058866666666667,0.10638297872340426,0.15,0.029411764705882353,0.1640625,0.453125,7.846296296296297,24.712121212121207,0.37815126050420167,,,,,,,,,,True,,,,,,,,
101179,1610612758,Ronnie Price,Ronnie Price,101179,SAC,33759.0,563,-56,1090,1124,398.0,389,129,2214,27.0,55.0,3.0,3.0,14.0,27.0,2.0,13.0,17.0,39.0,2.0,10.0,,,3.0,19.0,55.0,,3.0,7.0,20.0,46.0,107,21.0,65.0,37.0,192.0,1205,3.0,5.0,,3.0,1.0,7.0,25.0,46.0,8.0,23.0,16.0,90.0,46.0,46.0,51.0,12.0,2.0,54.0,19.0,10.0,38.0,10.0,48.0,8.0,26.0,2.0,10.0,106.0,3.0,12.0,,20.0,36.0,,56.0,15.0,71.0,4.0,28.0,13.0,15.0,21.0,6.0,12.0,12.0,1.0,9.0,,2.0,33.0,1.0,7.0,24.0,64.0,4.0,2.0,58.0,1.0,11.0,55.0,4.0,,22.0,1.0,6.0,4.0,,,2.0,1.0,1.0,4.0,2.0,90.0,398.0,9.0,7.0,0.5,0.5111111111111111,0.8095238095238095,0.3230769230769231,,0.34782608695652173,0.328125,0.42990654205607476,0.6,0.5434782608695652,0.45058139534883723,0.375,0.5362318840579711,0.4873096446700508,0.3888888888888889,0.5625,0.37790697674418605,0.09345794392523364,0.12727272727272726,0.23076923076923078,18.6084142394822,0.6363636363636364,,,0.10843373493975904,0.03582089552238806,0.15151515151515152,0.024793388429752067,0.1206896551724138,0.03289473684210526,0.03508771929824561,0.02127659574468085,0.047244094488188976,0.020833333333333332,0.04,0.052083333333333336,0.08695652173913043,0.1597222222222222,0.16279069767441862,0.13043478260869565,0.043478260869565216,0.5,0.31976744186046513,0.4909090909090909,0.5625,0.5185185185185185,0.0755813953488372,0.15384615384615385,0.2,0.5,0.22674418604651161,0.4358974358974359,0.4358974358974359,0.47058823529411764,0.05813953488372093,0.2,0.2,1.0,0.31976744186046513,0.34545454545454546,0.34545454545454546,0.7894736842105263,0.375,1.0,,,,0.375,,,0.391304347826087,0.5185185185185185,0.043478260869565216,0.2898550724637681,0.35,0.6976744186046512,0.35185185185185186,0.5120164705882355,0.5015285714285714,0.5116470588235293,0.12041884816753927,0.176,0.015151515151515152,0.036458333333333336,0.46875,7.745794392523365,25.62923076923077,0.3651376146788991,1.0,1.0,2.0,2.0,0.6666666666666666,0.3333333333333333,,,,True,,,,,,,,
1508,1610612758,Maurice Taylor,Maurice Taylor,1508,SAC,1213.0,20,16,38,41,11.0,20,7,79,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,3,,,2.0,4.0,26,,,,,,,,1.0,,,2.0,2.0,,2.0,,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,,,,1.0,2.0,3.0,,3.0,,2.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,,,1.0,,,2.0,,,,,1.0,,,,,,,,,2.0,11.0,2.0,1.0,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.5,,0.5,,0.3333333333333333,0.5,,9.090909090909092,,1.0,,0.09090909090909091,,,,0.058823529411764705,,,,,,,,,0.14285714285714285,,,,,0.6666666666666666,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.6666666666666666,,0.4281,,0.5734,,,,,0.5,4.133333333333334,,0.2894736842105263,,,,,,,,,,True,,,,,,,,
1897,1610612758,Metta World Peace,Metta World Peace,1897,SAC,14019.0,234,12,441,454,166.0,151,51,895,19.0,33.0,5.0,9.0,6.0,11.0,3.0,11.0,9.0,22.0,,3.0,,2.0,,8.0,18.0,1.0,1.0,2.0,7.0,31.0,66,8.0,21.0,31.0,117.0,500,5.0,11.0,1.0,3.0,3.0,16.0,9.0,21.0,2.0,7.0,13.0,37.0,12.0,50.0,18.0,6.0,8.0,18.0,8.0,5.0,12.0,12.0,24.0,11.0,7.0,1.0,4.0,60.0,2.0,7.0,,8.0,20.0,1.0,29.0,9.0,38.0,4.0,18.0,6.0,12.0,6.0,2.0,3.0,12.0,1.0,3.0,,3.0,18.0,1.0,6.0,8.0,27.0,1.0,6.0,34.0,1.0,2.0,40.0,5.0,,19.0,1.0,2.0,6.0,,,2.0,1.0,3.0,6.0,3.0,37.0,166.0,4.0,2.0,0.1935483870967742,0.2222222222222222,0.75,0.38095238095238093,0.3333333333333333,0.2857142857142857,0.38095238095238093,0.4696969696969697,0.45454545454545453,0.42857142857142855,0.4942528735632184,0.4642857142857143,0.42857142857142855,0.5625,0.5,0.5285714285714286,0.2413793103448276,0.07575757575757576,0.09090909090909091,0.18181818181818182,24.15841584158416,0.3333333333333333,0.06666666666666667,,0.15267175572519084,0.05185185185185185,0.13114754098360656,0.04,0.14583333333333334,0.04864864864864865,0.13636363636363635,0.027777777777777776,,0.05,,0.2,0.16216216216216217,0.1111111111111111,0.125,0.14285714285714285,0.09302325581395349,0.5,0.3793103448275862,0.5757575757575758,0.6333333333333333,0.21052631578947367,0.12643678160919541,0.2727272727272727,0.3333333333333333,,0.25287356321839083,0.4090909090909091,0.4090909090909091,0.2222222222222222,0.034482758620689655,,,,0.20689655172413793,0.4444444444444444,0.4444444444444444,0.75,0.6428571428571429,0.5555555555555556,0.14285714285714285,,,0.07142857142857142,1.0,1.0,0.39285714285714285,0.5454545454545454,,0.25,0.2857142857142857,0.6206896551724138,0.4444444444444444,0.5072022988505746,0.5233923076923077,0.49161785714285716,0.19607843137254902,0.2375,0.045454545454545456,0.13675213675213677,0.3162393162393162,8.093939393939394,24.83809523809524,0.3764172335600907,,,1.0,,,,,,,True,,,,,,,,
722,1610612758,Corliss Williamson,Corliss Williamson,722,SAC,18559.0,309,17,590,605,183.0,184,65,1195,34.0,44.0,7.0,8.0,8.0,12.0,20.0,40.0,10.0,16.0,,,,,,,,,,,,64.0,100,,,36.0,164.0,622,11.0,13.0,,,3.0,25.0,10.0,22.0,,,13.0,33.0,64.0,64.0,,,12.0,,,8.0,6.0,,6.0,,3.0,1.0,2.0,12.0,1.0,10.0,,7.0,23.0,7.0,37.0,11.0,48.0,1.0,11.0,4.0,7.0,13.0,1.0,6.0,14.0,1.0,7.0,,4.0,27.0,3.0,6.0,19.0,47.0,7.0,6.0,45.0,4.0,3.0,53.0,6.0,1.0,27.0,,2.0,2.0,,,1.0,,1.0,2.0,1.0,33.0,183.0,7.0,2.0,0.5,0.5517241379310345,,,,,,0.64,0.8461538461538461,0.45454545454545453,0.64,0.8461538461538461,0.45454545454545453,0.6626016260162602,0.8333333333333334,0.532258064516129,,0.08,0.06818181818181818,0.125,22.72727272727273,0.48148148148148145,0.2916666666666667,,0.12432432432432433,0.05917159763313609,0.09090909090909091,0.018867924528301886,0.11450381679389313,0.04954954954954955,0.14545454545454545,0.018518518518518517,0.016666666666666666,0.02702702702702703,,0.10204081632653061,0.14,0.12790697674418605,0.0625,0.13793103448275862,0.03571428571428571,0.5,0.44,0.7727272727272727,0.8292682926829268,0.5,0.4,0.5,0.5714285714285714,0.4,0.16,0.625,0.625,0.7,,,,,,,,,0.6153846153846154,0.875,,,,,,,0.5454545454545454,0.6666666666666666,,,,0.44,,0.46734000000000014,0.47174999999999995,0.49884999999999996,0.2231404958677686,0.2231404958677686,,0.1524390243902439,0.20121951219512196,6.1659999999999995,,0.3101694915254237,,,,,0.14285714285714285,,1.0,3.0,,True,,,,,,,,
200763,1610612758,Quincy Douby,Quincy Douby,200763,SAC,5575.0,93,12,206,212,128.0,140,30,418,3.0,5.0,,,3.0,4.0,1.0,6.0,7.0,16.0,,5.0,,,4.0,3.0,11.0,,,1.0,6.0,11.0,27,3.0,16.0,4.0,35.0,205,2.0,4.0,,,1.0,5.0,9.0,17.0,1.0,10.0,2.0,23.0,6.0,16.0,3.0,6.0,,11.0,3.0,1.0,5.0,,5.0,,5.0,,,10.0,2.0,2.0,,4.0,5.0,,9.0,4.0,13.0,,7.0,5.0,2.0,4.0,1.0,4.0,3.0,1.0,,,1.0,7.0,,5.0,2.0,3.0,,,4.0,,1.0,5.0,,1.0,2.0,,,,,,,,,,,23.0,128.0,1.0,,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.1875,,0.1,0.1875,0.4074074074074074,0.5,0.5294117647058824,0.36046511627906974,0.5,0.3888888888888889,0.37777777777777777,0.5,0.39285714285714285,0.37209302325581395,0.037037037037037035,,0.16666666666666666,21.84873949579832,0.5714285714285714,,,0.08333333333333333,0.03333333333333333,0.16,0.07692307692307693,0.10588235294117647,0.046511627906976744,0.05,,0.047619047619047616,,0.2222222222222222,0.08333333333333333,,0.1111111111111111,0.13333333333333333,0.2,,,0.11627906976744186,0.6,0.6,0.3333333333333333,0.13953488372093023,0.16666666666666666,0.2,,0.37209302325581395,0.4375,0.4375,0.2857142857142857,0.11627906976744186,,,,0.2558139534883721,0.2727272727272727,0.2727272727272727,0.3333333333333333,,,,,,,,,0.14814814814814814,0.75,0.14814814814814814,0.2222222222222222,0.16666666666666666,0.4883720930232558,0.2727272727272727,0.46501976744186047,0.3376,0.4728240740740741,0.044444444444444446,0.06896551724137931,,0.14285714285714285,0.6571428571428571,12.644444444444444,24.631249999999998,0.6213592233009708,,,,,,,,,,True,,,,,,,,
2078,1610612758,Jason Hart,Jason Hart,2078,SAC,3243.0,54,6,110,113,42.0,56,9,223,3.0,4.0,,,1.0,2.0,,2.0,4.0,5.0,,,,,,3.0,5.0,,,2.0,3.0,7.0,11,3.0,5.0,8.0,31.0,105,,,,,,,3.0,4.0,2.0,3.0,7.0,19.0,2.0,12.0,3.0,6.0,,5.0,3.0,2.0,4.0,1.0,5.0,1.0,2.0,,2.0,11.0,,1.0,,2.0,5.0,1.0,8.0,1.0,9.0,,1.0,1.0,,1.0,,,2.0,,1.0,,1.0,3.0,,2.0,2.0,12.0,,,6.0,1.0,,9.0,1.0,2.0,3.0,,1.0,,,,,,,,,19.0,42.0,5.0,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.6,,0.6666666666666666,0.6,0.6363636363636364,,0.75,0.71875,,0.8571428571428571,0.7894736842105263,,0.95,0.3125,0.18181818181818182,0.25,0.5,18.181818181818183,0.3333333333333333,0.25,,0.1111111111111111,0.03125,0.14285714285714285,,0.11864406779661017,0.02127659574468085,,,0.14285714285714285,,,,0.06666666666666667,0.21052631578947367,,0.2,,,0.25,0.75,1.0,,0.125,,,,0.3125,0.8,0.8,0.25,,,,,0.3125,0.6,0.6,0.3333333333333333,,,,,,,,,0.2857142857142857,0.5,,0.42857142857142855,0.6666666666666666,0.5625,0.6,0.477153125,,0.51595,0.16666666666666666,0.23076923076923078,,,0.6129032258064516,10.372727272727273,24.64,0.38181818181818183,,,,,,,,,,True,,,,,,,,
2422,1610612758,John Salmons,John Salmons,2422,SAC,18274.0,305,-62,577,607,184.0,210,64,1184,21.0,30.0,1.0,1.0,9.0,12.0,5.0,17.0,7.0,26.0,,1.0,,,1.0,4.0,13.0,,2.0,2.0,8.0,33.0,73,4.0,14.0,26.0,104.0,663,1.0,4.0,,2.0,1.0,3.0,11.0,22.0,2.0,9.0,7.0,35.0,26.0,40.0,9.0,3.0,,13.0,4.0,6.0,27.0,11.0,38.0,7.0,16.0,4.0,7.0,87.0,1.0,4.0,2.0,8.0,9.0,7.0,24.0,7.0,31.0,3.0,6.0,4.0,2.0,5.0,2.0,2.0,8.0,,3.0,,1.0,13.0,,5.0,11.0,29.0,,3.0,32.0,,,34.0,7.0,1.0,18.0,,2.0,,,,,,,,1.0,35.0,184.0,7.0,2.0,0.3939393939393939,0.3939393939393939,0.75,0.2857142857142857,,0.2222222222222222,0.2857142857142857,0.4520547945205479,0.25,0.5,0.4482758620689655,0.16666666666666666,0.45161290322580644,0.515,0.25,0.5147058823529411,0.16091954022988506,0.0821917808219178,0.13333333333333333,0.058823529411764705,17.41140215716487,0.38461538461538464,0.30434782608695654,0.07142857142857142,0.05,0.022222222222222223,0.1038961038961039,0.01694915254237288,0.06614785992217899,0.02092050209205021,,0.038461538461538464,0.02857142857142857,0.02,,0.0392156862745098,0.02127659574468085,0.07317073170731707,0.1,0.1111111111111111,0.07317073170731707,,0.3448275862068966,0.7,0.8076923076923077,0.47619047619047616,0.19540229885057472,0.29411764705882354,0.3125,0.4,0.2988505747126437,0.2692307692307692,0.28,0.14285714285714285,0.011494252873563218,,,,0.14942528735632185,0.3076923076923077,0.3076923076923077,0.75,0.16666666666666666,1.0,,,,0.3333333333333333,,,0.3870967741935484,0.75,0.03225806451612903,0.25806451612903225,0.25,0.5057471264367817,0.3076923076923077,0.4731831395348839,0.46997,0.4747399999999999,0.1836734693877551,0.21428571428571427,,0.028846153846153848,0.33653846153846156,8.113698630136986,26.221428571428568,0.3188908145580589,,,4.0,,1.0,,,,0.038461538461538464,True,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,4565.0,76,-23,153,162,71.0,61,18,315,5.0,6.0,,,3.0,3.0,2.0,4.0,4.0,15.0,,1.0,,,,4.0,14.0,,,1.0,6.0,11.0,25,4.0,15.0,9.0,43.0,190,,,,,,,7.0,12.0,1.0,6.0,8.0,25.0,6.0,16.0,12.0,,,14.0,4.0,1.0,8.0,3.0,11.0,3.0,5.0,1.0,2.0,25.0,1.0,,,,4.0,,4.0,1.0,5.0,1.0,3.0,3.0,,4.0,,3.0,,,1.0,,,4.0,,2.0,2.0,5.0,,,8.0,,1.0,10.0,1.0,1.0,3.0,,2.0,1.0,,,,,1.0,1.0,1.0,25.0,71.0,2.0,2.0,0.2727272727272727,0.2727272727272727,1.0,0.26666666666666666,,0.16666666666666666,0.26666666666666666,0.44,,0.5833333333333334,0.425,,0.4722222222222222,0.4772727272727273,,0.5681818181818182,0.375,0.04,,0.25,27.586206896551726,1.0,,,0.12121212121212122,,,0.047619047619047616,0.08333333333333333,0.014285714285714285,,,,,0.5,0.25,0.08333333333333333,0.07692307692307693,,,0.045454545454545456,1.0,0.15,0.8333333333333334,0.8333333333333334,0.2,0.1,0.5,0.6666666666666666,0.5,0.375,0.26666666666666666,0.26666666666666666,0.25,0.025,,,,0.35,0.2857142857142857,0.2857142857142857,1.0,,,,,,,,,0.16666666666666666,1.0,,0.3333333333333333,0.16666666666666666,0.525,0.2857142857142857,0.4521749999999999,,0.4118805555555556,0.07142857142857142,0.1111111111111111,,,0.5813953488372093,13.476,25.46,0.46405228758169936,,,,,,,,,,True,,,,,,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,6044.0,101,-37,188,195,68.0,55,23,383,2.0,4.0,,1.0,,1.0,1.0,4.0,4.0,10.0,,1.0,,,1.0,,3.0,,,,2.0,7.0,18,,4.0,7.0,21.0,233,1.0,4.0,,,3.0,5.0,1.0,7.0,,3.0,1.0,3.0,12.0,2.0,,,2.0,3.0,,2.0,3.0,1.0,4.0,1.0,2.0,1.0,,9.0,1.0,3.0,,1.0,10.0,1.0,12.0,4.0,16.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,,,5.0,,1.0,4.0,6.0,,,10.0,3.0,1.0,9.0,1.0,,5.0,,,3.0,,,1.0,,2.0,3.0,1.0,3.0,68.0,1.0,,0.8571428571428571,1.0,,,,,,0.3888888888888889,0.25,0.14285714285714285,0.3181818181818182,0.25,0.1,0.40384615384615385,0.5,0.13636363636363635,0.18181818181818182,0.1111111111111111,0.25,0.25,14.285714285714286,0.4,0.2,,0.15873015873015872,0.046153846153846156,0.05,0.043478260869565216,0.13253012048192772,0.045454545454545456,0.05555555555555555,0.06666666666666667,0.03125,,0.16666666666666666,0.08333333333333333,0.2727272727272727,0.10344827586206896,0.06666666666666667,,0.16666666666666666,0.3333333333333333,0.18181818181818182,0.5,0.6666666666666666,1.0,0.18181818181818182,0.25,0.3333333333333333,,0.45454545454545453,0.4,0.4,1.0,0.045454545454545456,,,,0.13636363636363635,,,,0.25,,,,,,,,0.1,,0.1,0.2,,0.36363636363636365,,0.43931136363636364,0.47636666666666666,0.42439,0.19230769230769232,0.22727272727272727,,0.23809523809523808,0.14285714285714285,12.31111111111111,24.575000000000003,0.3617021276595745,,,,,,,1.0,,,True,,,,,,,,
