EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PtsPutbacks,FTOffRebounds,FTDefRebounds,StepOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,BlockedLongMidRange,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,Clear Path Fouls,BlockedCorner3,DefensiveGoaltends,on,3pt And 1 Free Throw Trips
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,38556.0,643,73.0,1192,1194,402,437,170,2386,28.0,69.0,2.0,5.0,11.0,23.0,13.0,25.0,46.0,87.0,2.0,3.0,1.0,22.0,65.0,2.0,6.0,7.0,29.0,87.0,181.0,24.0,68.0,56.0,302.0,1273,11.0,22.0,2.0,6.0,6.0,34.0,28.0,63.0,7.0,30.0,32.0,109.0,56.0,118.0,42.0,30.0,4.0,61.0,22.0,21.0,1.0,118.0,34.0,152.0,28.0,6.0,65.0,14.0,39.0,338.0,4.0,6.0,14.0,32.0,46.0,10.0,56.0,3.0,13.0,6.0,7.0,33.0,12.0,20.0,26.0,2.0,13.0,4.0,59.0,1.0,18.0,35.0,58.0,6.0,59.0,4.0,71.0,7.0,1.0,28.0,1.0,9.0,2.0,1.0,1.0,2.0,1.0,109.0,402,6.0,8.0,0.3218390804597701,0.3218390804597701,0.5833333333333334,0.35294117647058826,0.3333333333333333,0.23333333333333334,0.375,0.48066298342541436,0.5,0.4444444444444444,0.4939759036144578,0.5,0.41397849462365593,0.5375,0.5483870967741935,0.4954128440366973,0.27309236947791166,0.014705882352941176,0.11602209944751381,0.2463768115942029,0.12,0.011494252873563218,0.015384615384615385,24.318507890961264,0.559322033898305,0.07901234567901234,0.014925373134328358,0.11382113821138211,0.03225806451612903,0.08712121212121213,0.019011406844106463,0.013513513513513514,0.02531645569620253,0.011428571428571429,0.02830188679245283,0.05555555555555555,0.07017543859649122,0.08527131782945736,0.08024691358024691,0.08433734939759036,0.175,0.027522935779816515,0.5,0.27710843373493976,0.4057971014492754,0.5384615384615384,0.25,0.10040160642570281,0.52,0.5909090909090909,0.38461538461538464,0.3493975903614458,0.5287356321839081,0.5348837209302325,0.34782608695652173,0.012048192771084338,0.6666666666666666,0.6666666666666666,1.0,0.26104417670682734,0.3384615384615385,0.34375,0.5454545454545454,0.17857142857142858,0.4,0.5,0.21428571428571427,0.3333333333333333,0.24731182795698925,0.4782608695652174,0.010752688172043012,0.3118279569892473,0.2413793103448276,0.5502008032128514,0.36065573770491804,0.4739495901639344,0.4090404761904761,0.458378409090909,0.1070110701107011,0.13861386138613863,0.014492753623188406,0.11258278145695365,0.3609271523178808,10.081767955801109,26.904411764705888,0.337248322147651,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,1739.0,29,6.0,54,58,27,41,7,112,3.0,5.0,,,3.0,3.0,1.0,1.0,1.0,2.0,,,,2.0,3.0,,,,,5.0,8.0,2.0,3.0,1.0,17.0,69,,,,,,,4.0,5.0,,,1.0,9.0,10.0,,6.0,,,3.0,2.0,,,3.0,,3.0,,,1.0,1.0,1.0,6.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,2.0,4.0,,2.0,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,9.0,27,1.0,,1.0,1.0,1.0,0.6666666666666666,,,0.6666666666666666,0.625,,0.8,0.7272727272727273,,0.8,0.7083333333333334,,0.75,0.2727272727272727,,,,,,,20.634920634920636,1.0,,0.045454545454545456,,,,0.04,,,0.14285714285714285,,,,,,,,,1.0,0.45454545454545453,0.6,0.6,1.0,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.6,1.0,,,,0.7272727272727273,0.6666666666666666,0.5024181818181819,,0.58068,0.08333333333333333,0.1111111111111111,,,0.5294117647058824,6.6625000000000005,25.933333333333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,47165.0,786,102.0,1456,1448,530,555,223,2904,70.0,111.0,11.0,22.0,21.0,32.0,21.0,51.0,41.0,112.0,4.0,9.0,5.0,,1.0,,,,,132.0,274.0,4.0,10.0,98.0,374.0,1479,14.0,34.0,1.0,2.0,26.0,57.0,37.0,70.0,1.0,5.0,46.0,123.0,216.0,48.0,9.0,3.0,,1.0,,19.0,1.0,29.0,9.0,38.0,8.0,1.0,17.0,3.0,9.0,85.0,9.0,35.0,17.0,58.0,90.0,48.0,138.0,7.0,23.0,12.0,11.0,17.0,7.0,12.0,34.0,1.0,5.0,6.0,51.0,4.0,12.0,33.0,83.0,13.0,111.0,10.0,127.0,14.0,1.0,49.0,,22.0,5.0,4.0,1.0,6.0,2.0,123.0,530,9.0,18.0,0.8181818181818182,0.8571428571428571,0.75,0.4,0.5,0.2,0.4,0.48175182481751827,0.4117647058823529,0.5285714285714286,0.4859154929577465,0.4305555555555556,0.5133333333333333,0.5469208211143695,0.5480769230769231,0.5801886792452831,0.035211267605633804,0.1,0.06934306569343066,0.11711711711711711,0.0784313725490196,0.017857142857142856,,22.576900754497967,0.3333333333333333,0.12133891213389121,0.0661625708884688,0.10897435897435898,0.07317073170731707,0.11829652996845426,0.06748466257668712,0.08641975308641975,0.06766917293233082,0.05128205128205128,0.07920792079207921,0.045454545454545456,0.125,0.08843537414965986,0.14358974358974358,0.0990990990990991,0.13333333333333333,0.05555555555555555,0.3333333333333333,0.3908450704225352,0.6306306306306306,0.7142857142857143,0.8285714285714286,0.1795774647887324,0.4117647058823529,0.44680851063829785,0.47619047619047616,0.39436619718309857,0.36607142857142855,0.37272727272727274,0.975609756097561,0.03169014084507042,0.4444444444444444,0.5,0.75,0.0035211267605633804,,,,0.6111111111111112,0.5,0.45454545454545453,,,0.4266666666666667,0.65625,0.06666666666666667,,,0.426056338028169,,0.4692686619718311,0.5015499999999999,0.4599913333333333,0.1536050156739812,0.15857605177993528,,0.15240641711229946,0.32887700534759357,8.831021897810219,23.46,0.364010989010989,1.0,2.0,1.0,12.0,4.0,15.0,1.0,9.0,5.0,1.0,1.0,1.0,2.0,4.0,0.1111111111111111,0.234375,0.05714285714285714,0.05555555555555555,0.5,0.2,,,,,,,True,
1921,1610612762,Gordan Giricek,Gordan Giricek,1921,UTA,71301.0,1188,160.0,2212,2205,818,853,323,4417,35.0,59.0,2.0,6.0,3.0,15.0,16.0,49.0,73.0,151.0,13.0,34.0,13.0,39.0,88.0,5.0,10.0,6.0,25.0,124.0,259.0,52.0,122.0,71.0,475.0,2282,13.0,29.0,8.0,13.0,11.0,61.0,29.0,79.0,13.0,38.0,45.0,142.0,154.0,94.0,153.0,3.0,3.0,85.0,39.0,14.0,1.0,53.0,10.0,63.0,9.0,1.0,28.0,4.0,21.0,136.0,5.0,18.0,27.0,76.0,105.0,24.0,129.0,6.0,28.0,18.0,10.0,28.0,6.0,19.0,36.0,2.0,9.0,14.0,64.0,5.0,17.0,48.0,122.0,6.0,80.0,18.0,87.0,3.0,6.0,22.0,,20.0,4.0,1.0,2.0,5.0,2.0,142.0,818,30.0,17.0,0.6209677419354839,0.6311475409836066,0.9807692307692307,0.4262295081967213,0.6153846153846154,0.34210526315789475,0.4369747899159664,0.47876447876447875,0.4482758620689655,0.3670886075949367,0.5301837270341208,0.5952380952380952,0.41452991452991456,0.5583333333333333,0.625,0.4862068965517241,0.32020997375328086,0.00819672131147541,0.05405405405405406,0.15254237288135594,0.061224489795918366,0.013245033112582781,,18.6055469953775,0.4375,0.10599721059972106,0.023195876288659795,0.11587982832618025,0.026595744680851064,0.10842105263157895,0.023858921161825725,0.023076923076923078,0.03468208092485549,0.01749271137026239,0.03225806451612903,,0.09137055837563451,0.08018867924528301,0.1331168831168831,0.11464968152866242,0.11842105263157894,0.03278688524590164,0.4,0.15485564304461943,0.5932203389830508,0.7,0.5714285714285714,0.12860892388451445,0.32653061224489793,0.34782608695652173,0.25,0.3963254593175853,0.48344370860927155,0.4899328859060403,0.726027397260274,0.08923884514435695,0.38235294117647056,0.3939393939393939,1.0,0.23097112860892388,0.4431818181818182,0.4431818181818182,0.9743589743589743,0.14285714285714285,0.3333333333333333,,0.23809523809523808,0.5,0.1282051282051282,0.2,0.1111111111111111,0.21367521367521367,0.24,0.47506561679790027,0.4588235294117647,0.47234113756613755,0.44060000000000005,0.44782652173913046,0.055,0.07913669064748201,,0.12842105263157894,0.29894736842105263,13.413127413127414,25.232786885245904,0.36980108499095843,3.0,3.0,7.0,4.0,1.0,2.0,1.0,,4.0,1.0,1.0,,1.0,,0.029411764705882353,0.02127659574468085,0.010416666666666666,0.07142857142857142,1.0,0.5384615384615384,1.0,1.0,0.8,,,,True,
2737,1610612762,Rafael Araujo,Rafael Araujo,2737,UTA,7128.0,119,34.0,225,224,73,104,37,449,7.0,11.0,4.0,6.0,1.0,2.0,4.0,9.0,2.0,8.0,,,,,,,,,,13.0,28.0,,,9.0,35.0,210,5.0,8.0,,,4.0,14.0,3.0,10.0,,,4.0,10.0,18.0,8.0,,,,,,2.0,,2.0,,2.0,,,,1.0,1.0,4.0,2.0,8.0,5.0,10.0,17.0,10.0,27.0,1.0,3.0,1.0,2.0,,,,4.0,,,,4.0,,,11.0,22.0,3.0,9.0,,12.0,,,5.0,,1.0,2.0,2.0,,2.0,1.0,10.0,73,2.0,1.0,0.6923076923076923,0.9,,,,,,0.4642857142857143,0.625,0.3,0.4642857142857143,0.625,0.3,0.5147058823529411,0.6363636363636364,0.4166666666666667,,,0.07142857142857142,0.18181818181818182,,,,14.17910447761194,,0.13157894736842105,0.0963855421686747,0.20833333333333334,0.1111111111111111,0.15,0.09900990099009901,0.11538461538461539,0.08695652173913043,0.08823529411764706,0.125,,0.16666666666666666,0.11538461538461539,0.13157894736842105,0.125,0.375,0.08333333333333333,0.5,0.39285714285714285,0.6363636363636364,0.7777777777777778,0.5714285714285714,0.32142857142857145,0.4444444444444444,0.4444444444444444,0.75,0.2857142857142857,0.25,0.25,1.0,,,,,,,,,0.75,0.6666666666666666,0.25,,,0.2,0.5,,,,0.39285714285714285,,0.45170000000000005,0.52395,0.4277100000000001,0.15151515151515152,0.15151515151515152,,0.4,0.2857142857142857,8.032142857142857,,0.3244444444444444,,,,6.0,,2.0,,2.0,1.0,,,,1.0,1.0,,0.2857142857142857,,,,,,,,,,,True,
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,37766.0,629,72.0,1156,1164,397,427,177,2320,56.0,100.0,23.0,41.0,20.0,32.0,13.0,27.0,7.0,24.0,,,,,,,,,,76.0,151.0,,,56.0,208.0,1178,25.0,46.0,,,18.0,68.0,31.0,52.0,,,15.0,77.0,80.0,72.0,,,,,,21.0,,30.0,3.0,33.0,2.0,1.0,12.0,3.0,15.0,69.0,13.0,61.0,20.0,76.0,110.0,75.0,185.0,7.0,28.0,13.0,15.0,23.0,4.0,13.0,30.0,1.0,10.0,5.0,53.0,11.0,19.0,50.0,101.0,11.0,62.0,4.0,79.0,5.0,,36.0,,6.0,37.0,31.0,6.0,38.0,27.0,77.0,397,13.0,5.0,0.5263157894736842,0.7272727272727273,,,,,,0.5033112582781457,0.5434782608695652,0.5961538461538461,0.5033112582781457,0.5434782608695652,0.5961538461538461,0.5531914893617021,0.6071428571428571,0.6111111111111112,,,0.1390728476821192,0.16,0.14814814814814814,0.041666666666666664,,17.668621700879765,0.4339622641509434,0.19437340153452684,0.14769975786924938,0.17391304347826086,0.14606741573033707,0.18972332015810275,0.14741035856573706,0.1510791366906475,0.2127659574468085,0.1111111111111111,0.14864864864864866,0.13333333333333333,0.20869565217391303,0.20512820512820512,0.1761006289308176,0.1917808219178082,0.14285714285714285,0.12962962962962962,0.7105263157894737,0.6622516556291391,0.56,0.6666666666666666,0.5178571428571429,0.17880794701986755,0.48148148148148145,0.5652173913043478,0.46153846153846156,0.15894039735099338,0.2916666666666667,0.30434782608695654,0.7142857142857143,,,,,,,,,0.8913043478260869,0.5609756097560976,0.08695652173913043,,,0.6153846153846154,0.625,,,,0.6622516556291391,,0.5089278145695364,0.537248717948718,0.48846730769230773,0.1978021978021978,0.1978021978021978,,0.3269230769230769,0.3701923076923077,4.201986754966888,,0.34342560553633217,,,,42.0,1.0,14.0,1.0,9.0,6.0,1.0,,,3.0,2.0,,0.2692307692307692,0.019230769230769232,,,,,,,1.0,1.0,1.0,True,
2246,1610612762,Mehmet Okur,Mehmet Okur,2246,UTA,35689.0,595,64.0,1104,1103,438,435,159,2207,19.0,40.0,3.0,11.0,11.0,18.0,18.0,35.0,42.0,74.0,,1.0,1.0,23.0,70.0,,2.0,9.0,31.0,79.0,149.0,23.0,71.0,77.0,304.0,1186,8.0,19.0,,2.0,10.0,26.0,43.0,63.0,9.0,32.0,42.0,155.0,86.0,72.0,69.0,,,70.0,23.0,7.0,,26.0,12.0,38.0,8.0,4.0,13.0,3.0,10.0,88.0,8.0,25.0,18.0,59.0,92.0,38.0,130.0,5.0,8.0,6.0,2.0,11.0,,6.0,7.0,,5.0,2.0,18.0,2.0,7.0,31.0,52.0,3.0,66.0,3.0,97.0,9.0,9.0,34.0,1.0,13.0,7.0,5.0,1.0,7.0,5.0,155.0,438,10.0,11.0,0.5443037974683544,0.581081081081081,1.0,0.323943661971831,,0.28125,0.323943661971831,0.5302013422818792,0.42105263157894735,0.6825396825396826,0.5159090909090909,0.38095238095238093,0.5947368421052631,0.5752895752895753,0.46296296296296297,0.6440677966101694,0.32272727272727275,,0.04697986577181208,0.15,0.02857142857142857,,,21.489526764934055,0.6111111111111112,0.15989159891598917,0.06775067750677506,0.15126050420168066,0.07079646017699115,0.15778688524590165,0.06846473029045644,0.05303030303030303,0.08333333333333333,0.07272727272727272,0.0625,0.11764705882352941,0.11650485436893204,0.19626168224299065,0.16352201257861634,0.1927710843373494,0.05555555555555555,0.04672897196261682,0.7142857142857143,0.18181818181818182,0.475,0.5588235294117647,0.5789473684210527,0.1590909090909091,0.5142857142857142,0.5294117647058824,0.3888888888888889,0.33636363636363636,0.5675675675675675,0.5675675675675675,0.5952380952380952,0.004545454545454545,,,,0.3181818181818182,0.32857142857142857,0.32857142857142857,1.0,0.5238095238095238,0.2727272727272727,,0.09523809523809523,,0.18947368421052632,0.6111111111111112,0.010526315789473684,0.3263157894736842,0.2903225806451613,0.5045454545454545,0.32857142857142857,0.46751757990867576,0.5004866666666667,0.4611263157894737,0.14227642276422764,0.19540229885057472,0.013888888888888888,0.08552631578947369,0.5098684210526315,10.942281879194631,25.187323943661973,0.3967391304347826,,,,10.0,5.0,15.0,,5.0,7.0,,,,1.0,,,0.3191489361702128,0.11363636363636363,,,,1.0,,,,,1.0,True,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,24105.0,402,46.0,745,736,250,251,111,1481,10.0,21.0,3.0,9.0,1.0,6.0,2.0,16.0,6.0,25.0,,,,,,,,,,18.0,62.0,,,29.0,65.0,744,4.0,15.0,,,9.0,17.0,5.0,21.0,,,21.0,31.0,30.0,6.0,,,,,,6.0,,23.0,7.0,30.0,6.0,1.0,5.0,4.0,14.0,67.0,2.0,26.0,5.0,29.0,40.0,29.0,69.0,1.0,5.0,3.0,2.0,8.0,,3.0,9.0,,5.0,2.0,17.0,1.0,5.0,26.0,61.0,5.0,53.0,13.0,44.0,2.0,,14.0,,9.0,4.0,3.0,1.0,4.0,3.0,31.0,250,9.0,9.0,0.8333333333333334,0.9375,,,,,,0.2903225806451613,0.26666666666666666,0.23809523809523808,0.2903225806451613,0.26666666666666666,0.23809523809523808,0.39156626506024095,0.40476190476190477,0.45588235294117646,,,0.0967741935483871,0.14285714285714285,0.1875,,,11.312217194570136,0.47058823529411764,0.13551401869158877,0.0896551724137931,0.07042253521126761,0.03571428571428571,0.11929824561403508,0.08092485549132948,0.13829787234042554,0.09375,0.05303030303030303,0.045454545454545456,,0.1016949152542373,0.05357142857142857,0.20202020202020202,0.044444444444444446,0.11538461538461539,0.02631578947368421,0.75,0.3387096774193548,0.47619047619047616,0.5555555555555556,0.9,0.25806451612903225,0.125,0.15384615384615385,1.0,0.4032258064516129,0.24,0.24,0.6666666666666666,,,,,,,,,0.6,0.3333333333333333,0.6666666666666666,,,0.2857142857142857,0.16666666666666666,,,,0.3387096774193548,,0.44704677419354844,0.5113733333333332,0.4453714285714286,0.1891891891891892,0.1891891891891892,,0.26153846153846155,0.47692307692307695,9.290322580645162,,0.33557046979865773,,,,4.0,1.0,6.0,,4.0,17.0,,,,1.0,5.0,,0.1935483870967742,0.03333333333333333,,,,,,,,,,True,
2430,1610612762,Carlos Boozer,Carlos Boozer,2430,UTA,32097.0,535,81.0,1008,1003,388,414,131,2011,80.0,107.0,18.0,27.0,28.0,40.0,23.0,58.0,23.0,54.0,,,,,,,,,,126.0,219.0,,,44.0,296.0,1057,24.0,38.0,,,9.0,57.0,43.0,78.0,,,23.0,109.0,170.0,82.0,,,,,,17.0,,48.0,4.0,52.0,3.0,1.0,28.0,5.0,15.0,108.0,12.0,39.0,25.0,84.0,124.0,53.0,177.0,6.0,14.0,6.0,8.0,21.0,4.0,9.0,17.0,1.0,12.0,4.0,38.0,5.0,12.0,23.0,37.0,4.0,48.0,,73.0,9.0,,35.0,,6.0,2.0,2.0,,2.0,1.0,109.0,388,,5.0,0.6746031746031746,0.7391304347826086,,,,,,0.5753424657534246,0.631578947368421,0.5512820512820513,0.5753424657534246,0.631578947368421,0.5512820512820513,0.5896414342629482,0.6063829787234043,0.5797872340425532,,,0.0776255707762557,0.09345794392523364,0.10344827586206896,0.018518518518518517,,24.743150684931507,0.5526315789473685,0.25,0.11538461538461539,0.22935779816513763,0.15,0.2449438202247191,0.12200956937799043,0.11926605504587157,0.08974358974358974,0.12582781456953643,0.15151515151515152,0.14285714285714285,0.22727272727272727,0.31,0.22297297297297297,0.20253164556962025,0.3,0.07894736842105263,0.5,0.4885844748858447,0.7476635514018691,0.8247422680412371,0.725,0.2648401826484018,0.39655172413793105,0.4423076923076923,0.5217391304347826,0.2465753424657534,0.42592592592592593,0.4339622641509434,0.6521739130434783,,,,,,,,,0.7105263157894737,0.6666666666666666,0.3333333333333333,,,0.5128205128205128,0.7,,,,0.4885844748858447,,0.47424840182648403,0.502925,0.48637435897435904,0.14285714285714285,0.14285714285714285,,0.19256756756756757,0.36824324324324326,6.678082191780824,,0.38492063492063494,,,,22.0,2.0,15.0,,4.0,3.0,,,1.0,1.0,,,0.35714285714285715,0.044444444444444446,,,,,,,1.0,,,True,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,21436.0,357,18.0,675,668,251,243,92,1343,21.0,35.0,5.0,11.0,6.0,12.0,2.0,6.0,4.0,14.0,,2.0,,2.0,12.0,1.0,2.0,2.0,8.0,27.0,55.0,2.0,14.0,41.0,101.0,711,6.0,15.0,1.0,2.0,4.0,19.0,9.0,20.0,2.0,8.0,14.0,38.0,38.0,16.0,6.0,,,12.0,2.0,6.0,,38.0,3.0,41.0,2.0,1.0,28.0,5.0,5.0,85.0,2.0,12.0,14.0,31.0,53.0,15.0,68.0,,13.0,5.0,8.0,15.0,1.0,11.0,4.0,,4.0,,19.0,2.0,11.0,19.0,28.0,2.0,45.0,4.0,56.0,2.0,,23.0,,6.0,18.0,10.0,7.0,21.0,16.0,38.0,251,3.0,6.0,0.7037037037037037,0.7916666666666666,1.0,0.14285714285714285,0.5,0.25,0.14285714285714285,0.4909090909090909,0.4,0.45,0.43478260869565216,0.4411764705882353,0.42857142857142855,0.5260416666666666,0.475,0.48717948717948717,0.2028985507246377,,0.10909090909090909,0.17142857142857143,,,,14.81958762886598,0.7894736842105263,0.13777777777777778,0.053811659192825115,0.19444444444444445,0.03125,0.15151515151515152,0.04878048780487805,0.060240963855421686,0.05555555555555555,0.04807692307692308,0.019230769230769232,0.08333333333333333,0.14285714285714285,0.15384615384615385,0.12371134020618557,0.16666666666666666,0.23333333333333334,,0.7619047619047619,0.5072463768115942,0.6,0.7241379310344828,0.7619047619047619,0.08695652173913043,0.3333333333333333,0.3333333333333333,,0.2028985507246377,0.2857142857142857,0.2857142857142857,0.75,0.028985507246376812,,,,0.17391304347826086,0.16666666666666666,0.16666666666666666,1.0,0.6470588235294118,0.45454545454545453,0.4,0.11764705882352941,0.5,0.42857142857142855,0.5,,0.2857142857142857,0.25,0.7101449275362319,0.16666666666666666,0.49987898550724635,0.517946875,0.4854357142857143,0.25555555555555554,0.3026315789473684,,0.18811881188118812,0.37623762376237624,5.947272727272727,24.77857142857142,0.3718518518518519,,,,6.0,1.0,8.0,,1.0,6.0,3.0,2.0,1.0,,,,0.27586206896551724,0.043478260869565216,,,,1.0,,1.0,,1.0,2.0,True,
