EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,OffFTReboundPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Defensive 3 Seconds Violations,Corner3PctBlocked,OffensiveGoaltends,on,Blocked3s,BlockedCorner3,BlockedArc3
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,18909.0,315,-108,594,600,148,156,59.0,1194,31.0,46.0,3.0,8.0,6.0,10.0,16.0,31.0,6.0,17.0,1.0,1.0,53.0,94.0,1.0,36.0,142.0,669,6.0,13.0,7.0,19.0,10.0,18.0,1.0,6.0,26.0,66.0,40.0,2.0,1.0,7.0,8.0,9.0,17.0,7.0,2.0,4.0,2.0,2.0,43.0,4.0,13.0,14.0,20.0,9.0,43.0,17.0,60.0,2.0,8.0,6.0,2.0,14.0,2.0,10.0,11.0,4.0,6.0,25.0,1.0,4.0,13.0,29.0,4.0,3.0,45.0,2.0,2.0,54.0,4.0,27.0,2.0,4.0,3.0,1.0,4.0,2.0,26.0,148,1.0,2.0,0.6226415094339622,0.6346153846153846,0.5638297872340425,0.4615384615384615,0.5555555555555556,0.5578947368421052,0.4615384615384615,0.5263157894736842,0.5916666666666667,0.5588235294117647,0.52,0.0105263157894736,0.0744680851063829,0.0869565217391304,0.064516129032258,0.0588235294117647,21.706586826347305,0.56,0.4285714285714285,0.1052631578947368,0.0637254901960784,0.1728395061728395,0.0512820512820512,0.1254612546125461,0.0602836879432624,0.0625,0.0714285714285714,0.0571428571428571,0.046875,0.0714285714285714,0.0704225352112676,0.0975609756097561,0.141025641025641,0.1666666666666666,0.1904761904761904,0.0606060606060606,0.4842105263157895,0.6739130434782609,0.7380952380952381,0.7741935483870968,0.3263157894736842,0.5161290322580645,0.5517241379310345,0.375,0.1789473684210526,0.3529411764705882,0.375,0.5,0.0105263157894736,0.6153846153846154,0.375,0.3333333333333333,0.5263157894736842,0.6,0.0526315789473684,0.4947368421052631,0.4922297872340425,0.4820333333333333,0.4888222222222222,0.2288135593220339,0.2307692307692307,0.1338028169014084,0.1830985915492957,5.910638297872341,40.9,0.2491582491582491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101160,1610612763,Lawrence Roberts,Lawrence Roberts,101160,MEM,5933.0,99,-19,196,190,38,32,22.0,386,3.0,16.0,,5.0,1.0,5.0,1.0,5.0,1.0,2.0,,,5.0,23.0,,10.0,20.0,206,,5.0,,,2.0,7.0,,,4.0,10.0,,,,8.0,6.0,2.0,8.0,1.0,1.0,5.0,1.0,,18.0,4.0,9.0,6.0,9.0,2.0,17.0,14.0,31.0,2.0,3.0,2.0,1.0,5.0,,2.0,6.0,3.0,1.0,11.0,1.0,3.0,3.0,16.0,2.0,5.0,14.0,2.0,,17.0,1.0,9.0,,1.0,1.0,,1.0,,4.0,38,3.0,,1.0,1.0,0.217391304347826,,0.2857142857142857,0.217391304347826,,0.2857142857142857,0.3225806451612903,,0.2857142857142857,,0.3478260869565217,0.5,,,18.75,0.4545454545454545,0.2857142857142857,0.1836734693877551,0.1343283582089552,0.2727272727272727,0.1739130434782608,0.2112676056338028,0.1444444444444444,0.1379310344827586,0.2,0.0555555555555555,0.1666666666666666,0.2,0.1875,0.1875,0.1764705882352941,0.2352941176470588,0.4,0.2,0.6956521739130435,0.1875,0.375,1.0,0.217391304347826,0.2,0.2,1.0,0.0869565217391304,0.5,0.5,1.0,,1.0,,,0.7142857142857143,0.2,,0.6956521739130435,0.5392478260869565,0.5868666666666666,0.4931571428571428,0.2903225806451613,0.2903225806451613,,0.2,3.760869565217391,,0.1938775510204081,1.0,0.0909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,15932.0,266,-70,524,524,168,156,61.0,1048,10.0,27.0,,2.0,2.0,10.0,6.0,12.0,9.0,23.0,39.0,9.0,25.0,62.0,47.0,25.0,129.0,612,3.0,5.0,,9.0,6.0,24.0,13.0,17.0,47.0,10.0,40.0,,1.0,6.0,28.0,15.0,43.0,9.0,6.0,15.0,3.0,10.0,101.0,2.0,2.0,7.0,11.0,,18.0,4.0,22.0,,8.0,2.0,6.0,9.0,1.0,8.0,4.0,1.0,,13.0,,5.0,8.0,21.0,1.0,2.0,25.0,,1.0,32.0,,7.0,7.0,,,,,,47.0,168,7.0,7.0,0.2,0.2,0.4032258064516129,0.6,0.25,0.4770642201834862,0.5625,0.4054054054054054,0.5161290322580645,0.5625,0.4895833333333333,0.4311926605504587,0.0967741935483871,0.1851851851851851,0.0833333333333333,,23.339011925042588,0.6923076923076923,,0.0679012345679012,0.0125786163522012,0.1076923076923077,0.0289855072463768,0.079295154185022,0.0175438596491228,0.0344827586206896,,,0.0178571428571428,0.0769230769230769,0.0909090909090909,0.081081081081081,0.0428571428571428,0.12,0.0666666666666666,,0.2477064220183486,0.3703703703703703,0.4545454545454545,0.1,0.110091743119266,0.5,0.5454545454545454,0.1666666666666666,0.2110091743119266,0.391304347826087,0.391304347826087,0.3333333333333333,0.3577981651376147,0.25,,,0.2702702702702703,0.2,0.2432432432432432,0.6788990825688074,0.4915689814814815,0.477775,0.4627824324324324,0.0683760683760683,0.1014492753623188,0.0697674418604651,0.3643410852713178,9.103225806451611,25.885106382978726,0.3206106870229007,,,3.0,8.0,1.0,2.0,4.0,15.0,1.0,2.0,4.0,18.0,1.0,3.0,6.0,42.0,12.0,38.0,15.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.3829787234042553,0.3333333333333333,0.4615384615384615,0.391304347826087,0.0212765957446808,0.0256410256410256,0.073394495412844,0.375,0.375,1.0,0.3846153846153846,0.3947368421052631,0.7333333333333333,0.125,0.25,0.5,1.0,0.1081081081081081,0.5,0.4444444444444444,0.3947368421052631,0.0208333333333333,,,,,,,,,,,,True,,,
200752,1610612763,Rudy Gay,Rudy Gay,200752,MEM,8877.0,148,-29,300,301,80,74,37.0,601,11.0,17.0,2.0,2.0,3.0,4.0,9.0,17.0,3.0,12.0,6.0,1.0,23.0,46.0,7.0,21.0,70.0,328,4.0,7.0,1.0,9.0,7.0,10.0,1.0,7.0,21.0,26.0,20.0,,1.0,3.0,3.0,1.0,4.0,,1.0,2.0,1.0,,9.0,2.0,1.0,4.0,9.0,,13.0,3.0,16.0,,13.0,8.0,5.0,4.0,,2.0,4.0,2.0,1.0,8.0,,3.0,7.0,14.0,,2.0,19.0,,1.0,28.0,4.0,15.0,1.0,4.0,3.0,,4.0,1.0,21.0,80,1.0,1.0,0.5652173913043478,0.5652173913043478,0.5,0.5714285714285714,0.7,0.4622641509433962,0.5714285714285714,0.6363636363636364,0.5384615384615384,0.5625,0.7,0.1320754716981132,0.0652173913043478,0.1176470588235294,0.0588235294117647,,21.47058823529412,0.5,,0.0957446808510638,0.0104166666666666,0.1481481481481481,0.0408163265306122,0.1074380165289256,0.0206896551724137,,,0.037037037037037,0.0512820512820512,,0.1351351351351351,0.1111111111111111,0.0512820512820512,0.2,,,0.320754716981132,0.6470588235294118,0.7333333333333333,0.7272727272727273,0.320754716981132,0.5294117647058824,0.5625,0.4444444444444444,0.2264150943396226,0.25,0.25,0.3333333333333333,0.1132075471698113,0.2857142857142857,1.0,1.0,0.3636363636363636,0.75,0.0909090909090909,0.4528301886792453,0.4778067307692307,0.45852,0.47285,0.234375,0.2631578947368421,0.1285714285714285,0.3,8.469565217391304,29.11428571428571,0.2666666666666666,,,1.0,1.0,,,,,,,,1.0,,,,3.0,,5.0,,,1.0,,,,1.0,0.1428571428571428,,,0.1666666666666666,,,0.0188679245283018,1.0,1.0,1.0,,,,,,,,,,,,,1.0,3.0,0.75,,,,,,,,,True,,,
224,1610612763,Eddie Jones,Eddie Jones,224,MEM,33627.0,560,-149,1085,1098,257,249,115.0,2183,15.0,31.0,1.0,2.0,,4.0,5.0,11.0,15.0,35.0,50.0,10.0,35.0,77.0,74.0,25.0,161.0,1207,2.0,6.0,,16.0,7.0,14.0,17.0,13.0,42.0,32.0,38.0,2.0,,9.0,25.0,8.0,33.0,5.0,3.0,10.0,6.0,9.0,74.0,6.0,6.0,9.0,37.0,1.0,47.0,14.0,61.0,1.0,22.0,14.0,8.0,14.0,4.0,10.0,9.0,4.0,1.0,23.0,1.0,7.0,23.0,54.0,,3.0,39.0,1.0,3.0,34.0,5.0,15.0,4.0,2.0,1.0,,2.0,,42.0,257,6.0,4.0,0.4571428571428571,0.4705882352941176,0.4545454545454545,0.3333333333333333,0.5,0.4503311258278146,0.5714285714285714,0.4677419354838709,0.4878787878787878,0.5714285714285714,0.5384615384615384,0.4900662251655629,0.1168831168831168,0.2580645161290322,0.0909090909090909,,15.40983606557377,0.6086956521739131,0.0277777777777777,0.1088235294117647,0.0163934426229508,0.0671641791044776,0.0413793103448275,0.0970464135021097,0.0234833659491193,0.0157480314960629,0.016260162601626,0.0172413793103448,0.05,,0.079646017699115,0.160919540229885,0.1,0.0625,0.0789473684210526,0.0123456790123456,0.2052980132450331,0.4838709677419355,0.6521739130434783,0.5333333333333333,0.0728476821192053,0.4545454545454545,0.5,0.2,0.2317880794701986,0.4285714285714285,0.4285714285714285,0.4666666666666667,0.3311258278145695,0.1428571428571428,0.5,,0.1290322580645161,,0.3225806451612903,0.695364238410596,0.5165170000000001,0.4961500000000001,0.4854483333333332,0.093167701863354,0.1724137931034483,0.0993788819875776,0.2608695652173913,9.92987012987013,24.9527027027027,0.2368663594470046,2.0,0.0425531914893617,11.0,24.0,3.0,4.0,7.0,11.0,1.0,5.0,1.0,22.0,4.0,8.0,5.0,63.0,3.0,50.0,11.0,,,,1.0,,0.9545454545454546,0.2972972972972973,0.5,0.2941176470588235,0.2972972972972973,,,0.1589403973509933,0.4583333333333333,0.4583333333333333,1.0,0.22,0.22,0.9090909090909092,0.2142857142857142,0.3571428571428571,0.2,1.0,0.2258064516129032,0.5714285714285714,0.1,0.22,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,True,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,26743.0,446,-79,864,873,209,203,91.0,1737,15.0,33.0,1.0,4.0,4.0,8.0,8.0,15.0,11.0,29.0,67.0,14.0,34.0,77.0,81.0,16.0,189.0,944,5.0,11.0,2.0,21.0,11.0,18.0,19.0,8.0,57.0,28.0,40.0,6.0,,5.0,22.0,9.0,31.0,4.0,5.0,15.0,4.0,3.0,71.0,3.0,7.0,13.0,40.0,3.0,56.0,13.0,69.0,4.0,13.0,9.0,4.0,11.0,7.0,9.0,22.0,2.0,4.0,33.0,3.0,5.0,10.0,25.0,,7.0,27.0,2.0,4.0,25.0,3.0,7.0,7.0,3.0,3.0,,3.0,,57.0,209,3.0,7.0,0.4117647058823529,0.4516129032258064,0.4415584415584415,0.4545454545454545,0.6111111111111112,0.5474683544303798,0.4318181818181818,0.6621621621621622,0.5591715976331361,0.4375,0.6477272727272727,0.5126582278481012,0.0649350649350649,0.0909090909090909,0.1333333333333333,,20.82474226804124,0.3333333333333333,0.1,0.1481481481481481,0.0251798561151079,0.1140350877192982,0.0252100840336134,0.1380208333333333,0.0251889168765743,0.0434782608695652,0.0106382978723404,0.0217391304347826,0.0202020202020202,0.05,0.1123595505617977,0.1621621621621621,0.1682242990654205,0.1234567901234567,0.0909090909090909,0.0493827160493827,0.2088607594936709,0.4545454545454545,0.5,0.4,0.0949367088607595,0.5333333333333333,0.6153846153846154,0.25,0.1835443037974683,0.3793103448275862,0.3793103448275862,0.5454545454545454,0.4240506329113924,0.1818181818181818,0.25,,0.2162162162162162,0.5,0.3783783783783784,0.7215189873417721,0.5161832278481012,0.5121843749999999,0.4978229729729729,0.0432098765432098,0.0864197530864197,0.1111111111111111,0.3015873015873015,9.411688311688312,25.44197530864197,0.2418981481481481,3.0,0.0769230769230769,6.0,14.0,2.0,3.0,5.0,29.0,2.0,9.0,6.0,35.0,3.0,11.0,9.0,90.0,15.0,67.0,29.0,2.0,1.0,1.0,,,0.8571428571428571,0.4320987654320987,0.2727272727272727,0.4736842105263157,0.4320987654320987,0.0246913580246913,0.0149253731343283,0.0886075949367088,0.4285714285714285,0.4615384615384615,0.8333333333333334,0.4328358208955223,0.4393939393939394,0.8620689655172413,0.0909090909090909,0.4090909090909091,0.2222222222222222,1.0,0.1351351351351351,0.6,0.4285714285714285,0.4328358208955223,,,2.0,0.6666666666666666,1.0,,0.5,1.0,1.0,1.0,0.0714285714285714,,True,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,5443.0,91,-27,168,174,45,54,10.0,342,6.0,9.0,2.0,2.0,2.0,5.0,,2.0,7.0,13.0,,,13.0,24.0,,2.0,28.0,201,2.0,2.0,,4.0,3.0,8.0,,,6.0,18.0,8.0,4.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,2.0,2.0,3.0,,5.0,3.0,8.0,,1.0,,1.0,1.0,,,1.0,1.0,,2.0,,,5.0,12.0,,1.0,6.0,,2.0,4.0,2.0,3.0,,1.0,1.0,,1.0,,6.0,45,2.0,,0.6923076923076923,0.8181818181818182,0.5416666666666666,1.0,0.375,0.5416666666666666,1.0,0.375,0.56,1.0,0.375,,0.0416666666666666,0.1111111111111111,,,14.917127071823204,0.5,,0.0576923076923076,0.0384615384615384,0.125,0.0714285714285714,0.0735294117647058,0.0454545454545454,0.1,,,0.0833333333333333,,,0.0769230769230769,0.08,0.0714285714285714,0.5,,0.375,0.6666666666666666,0.75,0.5,0.0833333333333333,,,,0.5416666666666666,0.5384615384615384,0.5384615384615384,0.8571428571428571,,1.0,1.0,,0.625,0.4,,0.375,0.4557541666666667,0.5244,0.4977625,0.12,0.12,0.1428571428571428,0.2142857142857142,10.7875,,0.2678571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,True,,,
200768,1610612763,Kyle Lowry,Kyle Lowry,200768,MEM,706.0,12,5,23,21,7,8,3.0,44,1.0,1.0,,,,,,,,2.0,,,1.0,3.0,,,2.0,16,,1.0,,,,,,,,,2.0,,,,2.0,1.0,3.0,1.0,,2.0,,,7.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,7,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,11.11111111111111,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,0.6666666666666666,,,,,,,,,,,0.3333333333333333,0.5273333333333333,,,,,,,11.0,,0.3043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
757,1610612763,Damon Stoudamire,Damon Stoudamire,757,MEM,16225.0,270,-73,518,533,93,78,51.0,1051,6.0,13.0,2.0,2.0,1.0,3.0,6.0,18.0,5.0,23.0,19.0,4.0,17.0,54.0,22.0,9.0,70.0,557,3.0,9.0,,6.0,1.0,10.0,5.0,5.0,16.0,8.0,26.0,2.0,,6.0,42.0,15.0,57.0,13.0,2.0,21.0,7.0,14.0,129.0,,8.0,4.0,16.0,,20.0,8.0,28.0,2.0,12.0,7.0,5.0,12.0,3.0,8.0,7.0,4.0,1.0,19.0,2.0,3.0,6.0,12.0,,,11.0,,4.0,11.0,,2.0,,1.0,,,1.0,,16.0,93,1.0,,0.2352941176470588,0.25,0.3148148148148148,0.3333333333333333,0.1,0.4013157894736842,0.3,0.3666666666666666,0.4102564102564102,0.3,0.4117647058823529,0.2894736842105263,0.1111111111111111,0.0769230769230769,0.1111111111111111,0.1304347826086956,16.524701873935264,0.631578947368421,,0.0975609756097561,0.0402010050251256,0.0588235294117647,,0.0862068965517241,0.0298507462686567,0.028169014084507,0.0533333333333333,0.0377358490566037,,,0.0892857142857142,0.0666666666666666,0.1269841269841269,0.0681818181818181,0.0416666666666666,0.0465116279069767,0.1710526315789473,0.4615384615384615,0.5,0.5,0.2368421052631578,0.3333333333333333,0.375,,0.3026315789473684,0.217391304347826,0.25,0.2,0.25,0.2,1.0,0.5,0.2,0.3333333333333333,0.2666666666666666,0.4605263157894737,0.466386842105263,0.4301444444444444,0.46426,0.0256410256410256,0.0357142857142857,0.0857142857142857,0.2285714285714285,11.425925925925927,25.204545454545453,0.1795366795366795,,,3.0,3.0,,1.0,1.0,6.0,,1.0,2.0,9.0,,1.0,3.0,21.0,6.0,19.0,6.0,,,,7.0,,0.7777777777777778,0.4090909090909091,,0.6,0.4090909090909091,,,0.0394736842105263,1.0,1.0,1.0,0.3157894736842105,0.3157894736842105,0.6666666666666666,,0.1,,,0.0666666666666666,1.0,0.5,0.3157894736842105,,1.0,1.0,1.0,,,,,,,,,True,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,8940.0,149,-101,287,301,83,103,32.0,588,8.0,19.0,3.0,5.0,2.0,5.0,8.0,28.0,6.0,13.0,1.0,1.0,22.0,60.0,1.0,13.0,57.0,330,4.0,9.0,4.0,12.0,5.0,13.0,1.0,3.0,13.0,24.0,20.0,4.0,,5.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,8.0,3.0,9.0,6.0,18.0,8.0,26.0,3.0,6.0,2.0,4.0,3.0,,2.0,6.0,1.0,3.0,9.0,,1.0,9.0,19.0,3.0,2.0,18.0,1.0,2.0,20.0,2.0,11.0,,8.0,6.0,,8.0,2.0,13.0,83,1.0,,0.5454545454545454,0.6,0.3666666666666666,0.4444444444444444,0.3846153846153846,0.360655737704918,0.4444444444444444,0.3571428571428571,0.4071428571428571,0.5,0.40625,0.0163934426229508,0.0833333333333333,0.1052631578947368,0.1071428571428571,,24.53416149068323,0.3333333333333333,0.5,0.1046511627906976,0.073394495412844,0.081081081081081,,0.0975609756097561,0.054054054054054,0.1470588235294117,0.081081081081081,,,,0.0344827586206896,0.1818181818181818,0.1142857142857142,0.074074074074074,0.1,0.088235294117647,0.3114754098360656,0.4210526315789473,0.4705882352941176,0.375,0.4590163934426229,0.2857142857142857,0.32,0.625,0.2131147540983606,0.4615384615384615,0.4615384615384615,0.6666666666666666,0.0163934426229508,0.5555555555555556,0.6,0.3333333333333333,0.3571428571428571,0.4,0.0714285714285714,0.3278688524590163,0.4477770491803277,0.4618666666666666,0.4605571428571429,0.1571428571428571,0.1594202898550724,0.2105263157894736,0.2280701754385964,7.551666666666665,25.3,0.289198606271777,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,0.625,,,,,,1.0,,,True,,,
