EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefensiveGoaltends,3SecondViolations,OffensiveGoaltends,HeaveAttempts,Blocked3s,BlockedArc3,BlockedCorner3,HeaveMakes,Corner3PctBlocked,on,Clear Path Fouls
120,1610612740,Steven Smith,Steven Smith,120,NOH,55321.0,922,-20,1736,1700,566,532,255.0,3436,30.0,58.0,5.0,16.0,8.0,17.0,27.0,66.0,19.0,62,21.0,45.0,3.0,7.0,8.0,15.0,22.0,62.0,1.0,6.0,5.0,22.0,76.0,186,43.0,107.0,77.0,358.0,1813,9.0,34.0,4.0,13.0,11.0,41.0,16.0,47.0,13.0,37.0,33.0,104.0,82.0,70.0,111.0,18.0,10.0,62.0,22.0,9.0,46.0,10.0,56.0,9.0,1.0,21.0,8.0,17.0,122.0,9.0,17.0,1.0,11.0,39.0,4.0,54.0,27.0,81.0,4.0,15.0,8.0,7.0,14.0,3.0,7.0,28.0,2.0,7.0,6.0,3.0,42.0,5.0,10.0,38.0,91.0,8.0,13.0,83.0,2.0,1.0,11.0,22.0,2.0,13.0,6.0,4.0,1.0,1.0,6.0,4.0,1.0,104.0,566,17.0,0.5394736842105263,0.5774647887323944,0.8604651162790697,0.40186915887850466,0.3076923076923077,0.35135135135135137,0.40186915887850466,0.40860215053763443,0.2647058823529412,0.3404255319148936,0.47952218430034127,0.3191489361702128,0.4226190476190476,0.5305810397553516,0.37962962962962965,0.504950495049505,0.3651877133105802,0.04838709677419355,0.10344827586206896,0.045454545454545456,18.1237721021611,0.3333333333333333,0.057971014492753624,0.01818181818181818,0.07014388489208633,0.029462738301559793,0.06790123456790123,0.030716723549488054,0.06963788300835655,0.029885057471264367,0.04419889502762431,0.030303030303030304,0.017316017316017316,0.03636363636363636,0.0136986301369863,0.06417112299465241,0.03773584905660377,0.1,0.06451612903225806,0.07894736842105263,0.025157232704402517,0.6666666666666666,0.19795221843003413,0.5172413793103449,0.5769230769230769,0.5666666666666667,0.22525597269624573,0.4090909090909091,0.42857142857142855,0.4074074074074074,0.21160409556313994,0.3064516129032258,0.3064516129032258,0.6842105263157895,0.15358361774744028,0.4666666666666667,0.4666666666666667,1.0,0.21160409556313994,0.3548387096774194,0.3548387096774194,0.7272727272727273,0.3404255319148936,0.3125,0.2,0.14893617021276595,0.42857142857142855,1.0,0.1276595744680851,0.16666666666666666,1.0,0.20238095238095238,0.47058823529411764,0.17857142857142858,0.5333333333333333,0.2619047619047619,0.22727272727272727,0.5631399317406144,0.3548387096774194,0.4758335616438357,0.5063689655172414,0.47287710843373487,0.07643312101910828,0.10679611650485436,0.018518518518518517,0.11452513966480447,0.2905027932960894,9.026881720430104,24.52056074766355,0.326036866359447,,,,,,,,,,,,,,True,
133,1610612740,David Wesley,David Wesley,133,NOH,13547.0,226,-11,444,436,193,174,69.0,880,6.0,12.0,,1.0,2.0,3.0,,4.0,12.0,41,5.0,15.0,,1.0,3.0,8.0,4.0,22.0,,2.0,2.0,15.0,18.0,57,9.0,37.0,21.0,84.0,452,2.0,5.0,,3.0,,4.0,3.0,21.0,5.0,23.0,14.0,35.0,30.0,6.0,27.0,,,22.0,4.0,4.0,15.0,13.0,28.0,10.0,3.0,8.0,3.0,4.0,69.0,5.0,2.0,,4.0,8.0,,12.0,7.0,19.0,1.0,8.0,5.0,3.0,7.0,1.0,4.0,8.0,2.0,3.0,,,15.0,1.0,6.0,8.0,23.0,,3.0,32.0,1.0,,1.0,10.0,,6.0,,,,,,,,35.0,193,7.0,0.8333333333333334,0.8333333333333334,1.0,0.24324324324324326,,0.21739130434782608,0.24324324324324326,0.3157894736842105,0.4,0.14285714285714285,0.3351063829787234,0.25,0.23863636363636365,0.38073394495412843,0.25,0.3181818181818182,0.39361702127659576,0.07017543859649122,0.16666666666666666,,23.846153846153847,0.4666666666666667,,,0.06201550387596899,0.014388489208633094,0.09090909090909091,0.056179775280898875,0.06936416184971098,0.03070175438596491,0.05714285714285714,,,0.06349206349206349,0.038461538461538464,0.13157894736842105,0.023809523809523808,0.04081632653061224,0.0967741935483871,0.07692307692307693,0.01639344262295082,,0.1276595744680851,0.5,0.6,0.6666666666666666,0.0425531914893617,,,,0.43617021276595747,0.2926829268292683,0.3076923076923077,0.9166666666666666,0.1595744680851064,0.3333333333333333,0.3333333333333333,1.0,0.23404255319148937,0.18181818181818182,0.19047619047619047,1.0,0.125,,,0.125,,,0.25,,,0.06818181818181818,0.6666666666666666,0.18181818181818182,0.375,0.3409090909090909,0.13333333333333333,0.5212765957446809,0.18181818181818182,0.4799335106382978,0.4067214285714286,0.4793670454545454,0.0970873786407767,0.15151515151515152,,0.047619047619047616,0.4166666666666667,14.573684210526313,24.381081081081092,0.4346846846846847,1.0,0.02702702702702703,0.04878048780487805,0.045454545454545456,,,,,,,,,,True,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,23043.0,384,74,735,708,263,266,107.0,1443,19.0,26.0,5.0,8.0,8.0,8.0,7.0,21.0,25.0,56,,,,,,,,1.0,,,,1.0,51.0,103,,1.0,31.0,133.0,719,8.0,14.0,,,6.0,22.0,19.0,33.0,,1.0,12.0,50.0,84.0,18.0,,,8.0,1.0,,5.0,14.0,2.0,16.0,1.0,1.0,9.0,2.0,3.0,34.0,11.0,18.0,1.0,10.0,39.0,11.0,60.0,30.0,90.0,2.0,5.0,4.0,1.0,12.0,,7.0,9.0,1.0,5.0,,3.0,21.0,6.0,7.0,18.0,32.0,4.0,1.0,35.0,1.0,,,11.0,,7.0,12.0,9.0,1.0,2.0,12.0,6.0,1.0,50.0,263,8.0,0.8235294117647058,0.8936170212765957,,,,,,0.49514563106796117,0.5714285714285714,0.5757575757575758,0.49038461538461536,0.5714285714285714,0.5588235294117647,0.5495867768595041,0.6470588235294118,0.6097560975609756,0.009615384615384616,0.04854368932038835,0.11538461538461539,0.047619047619047616,16.62763466042155,0.5714285714285714,0.3142857142857143,0.041666666666666664,0.16883116883116883,0.0759493670886076,0.12658227848101267,0.088,0.15806451612903225,0.08011049723756906,0.06666666666666667,0.08450704225352113,0.07692307692307693,0.07777777777777778,0.11428571428571428,0.10588235294117647,0.19117647058823528,0.21794871794871795,0.07936507936507936,0.3125,0.043478260869565216,0.5,0.25,0.7307692307692307,0.8260869565217391,0.7368421052631579,0.20192307692307693,0.3333333333333333,0.35,0.7142857142857143,0.5384615384615384,0.44642857142857145,0.45454545454545453,0.92,,,,,0.009615384615384616,,,,0.5714285714285714,0.625,0.2,,,,,,,0.23529411764705882,1.0,,,0.029411764705882353,,0.25961538461538464,,0.4318461538461539,0.4759461538461538,0.4351470588235294,0.09649122807017543,0.09734513274336283,,0.16541353383458646,0.37593984962406013,11.345631067961165,26.5,0.3578231292517007,,,0.017857142857142856,,1.0,2.0,,,,,,,,True,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,24834.0,414,-72,773,759,212,208,112.0,1532,41.0,64.0,10.0,19.0,14.0,20.0,15.0,32.0,11.0,33,,,,,,,1.0,3.0,,,1.0,2.0,67.0,129,1.0,3.0,24.0,161.0,862,12.0,24.0,,,9.0,33.0,18.0,32.0,1.0,2.0,7.0,46.0,100.0,34.0,3.0,,20.0,3.0,1.0,12.0,15.0,8.0,23.0,7.0,1.0,5.0,3.0,7.0,54.0,13.0,30.0,,11.0,39.0,6.0,56.0,43.0,99.0,3.0,25.0,11.0,14.0,10.0,1.0,4.0,13.0,1.0,6.0,,1.0,23.0,6.0,5.0,25.0,61.0,6.0,5.0,53.0,5.0,,,28.0,,1.0,17.0,13.0,1.0,3.0,17.0,10.0,1.0,46.0,212,10.0,0.746268656716418,0.8771929824561403,1.0,0.3333333333333333,,0.5,0.3333333333333333,0.5193798449612403,0.5,0.5625,0.5189393939393939,0.5,0.5735294117647058,0.5160256410256411,0.532258064516129,0.5609756097560976,0.022727272727272728,0.09302325581395349,0.15625,0.0625,19.605695509309964,0.43478260869565216,0.24,,0.15853658536585366,0.11029411764705882,0.19298245614035087,0.10743801652892562,0.16501650165016502,0.10941475826972011,0.1411764705882353,0.11267605633802817,0.08620689655172414,0.10752688172043011,0.10714285714285714,0.13157894736842105,0.17647058823529413,0.16666666666666666,0.15555555555555556,0.3333333333333333,0.058823529411764705,0.5882352941176471,0.48484848484848486,0.640625,0.7592592592592593,0.7317073170731707,0.24242424242424243,0.46875,0.5,0.8,0.25,0.3333333333333333,0.3333333333333333,0.7272727272727273,,,,,0.022727272727272728,0.3333333333333333,0.3333333333333333,1.0,0.7916666666666666,0.5263157894736842,0.1,,,,,,,0.5882352941176471,0.7,,,0.058823529411764705,0.5,0.5075757575757576,0.3333333333333333,0.4874897727272727,0.5351526315789474,0.5164573529411765,0.18064516129032257,0.18421052631578946,,0.20496894409937888,0.2857142857142857,6.765891472868216,24.799999999999997,0.2742561448900388,,,,,4.0,3.0,1.0,,,,,,,True,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,22942.0,382,64,728,703,238,220,121.0,1431,33.0,60.0,5.0,8.0,9.0,17.0,4.0,15.0,12.0,35,2.0,13.0,1.0,3.0,,4.0,34.0,98.0,1.0,4.0,13.0,36.0,49.0,110,36.0,111.0,33.0,239.0,714,8.0,14.0,2.0,7.0,1.0,23.0,16.0,32.0,13.0,40.0,18.0,89.0,24.0,74.0,48.0,60.0,4.0,95.0,34.0,9.0,53.0,18.0,71.0,10.0,8.0,27.0,7.0,19.0,160.0,6.0,7.0,1.0,7.0,27.0,1.0,35.0,14.0,49.0,5.0,20.0,10.0,10.0,14.0,5.0,11.0,15.0,,3.0,3.0,1.0,29.0,5.0,7.0,9.0,23.0,1.0,5.0,50.0,4.0,,,19.0,2.0,5.0,5.0,4.0,,1.0,7.0,3.0,,89.0,238,7.0,0.24489795918367346,0.2553191489361702,0.4444444444444444,0.32432432432432434,0.2857142857142857,0.325,0.3333333333333333,0.44545454545454544,0.5714285714285714,0.5,0.4660633484162896,0.5238095238095238,0.4930555555555556,0.49176954732510286,0.5227272727272727,0.5235294117647059,0.502262443438914,0.08181818181818182,0.11666666666666667,0.06666666666666667,31.228473019517793,0.4827586206896552,0.029411764705882353,0.043478260869565216,0.11894273127753303,0.030303030303030304,0.10144927536231885,0.0392156862745098,0.11486486486486487,0.033854166666666664,0.045454545454545456,0.017857142857142856,0.022988505747126436,0.05217391304347826,,0.0975609756097561,0.0847457627118644,0.16279069767441862,0.1346153846153846,,0.04065040650406504,0.42857142857142855,0.27149321266968324,0.55,0.6226415094339622,0.21212121212121213,0.06787330316742081,0.26666666666666666,0.2857142857142857,0.25,0.1583710407239819,0.34285714285714286,0.35294117647058826,0.3333333333333333,0.058823529411764705,0.15384615384615385,0.15384615384615385,0.5,0.4434389140271493,0.3469387755102041,0.3469387755102041,0.4411764705882353,0.38095238095238093,0.625,0.2,0.14285714285714285,0.3333333333333333,,0.19047619047619047,0.25,1.0,0.2361111111111111,0.5294117647058824,0.05555555555555555,,0.5,0.3611111111111111,0.7737556561085973,0.35789473684210527,0.5089020642201837,0.44974285714285717,0.4869421428571428,0.08823529411764706,0.152,0.017699115044247787,0.09623430962343096,0.3723849372384937,7.108181818181816,25.586486486486486,0.3269230769230769,,,0.02857142857142857,,,,,3.0,2.0,1.0,1.0,,,True,
353,1610612740,Darrell Armstrong,Darrell Armstrong,353,NOH,40680.0,678,56,1279,1260,399,381,196.0,2539,24.0,42.0,1.0,2.0,6.0,12.0,6.0,16.0,28.0,53,8.0,30.0,4.0,6.0,2.0,7.0,39.0,119.0,6.0,17.0,8.0,34.0,58.0,111,47.0,149.0,50.0,307.0,1301,3.0,5.0,10.0,23.0,,36.0,14.0,32.0,10.0,41.0,27.0,85.0,50.0,66.0,102.0,39.0,,117.0,38.0,5.0,65.0,25.0,90.0,10.0,15.0,32.0,7.0,26.0,205.0,10.0,7.0,,12.0,38.0,5.0,55.0,17.0,72.0,3.0,37.0,24.0,13.0,29.0,2.0,24.0,11.0,,5.0,,2.0,40.0,2.0,11.0,8.0,48.0,,6.0,57.0,,,1.0,14.0,2.0,11.0,6.0,3.0,1.0,2.0,6.0,3.0,,85.0,399,9.0,0.43103448275862066,0.43103448275862066,0.723404255319149,0.31543624161073824,0.43478260869565216,0.24390243902439024,0.3108108108108108,0.5225225225225225,0.6,0.4375,0.49423076923076925,0.6428571428571429,0.3972602739726027,0.5348432055749129,0.6428571428571429,0.48295454545454547,0.573076923076923,0.04504504504504504,0.09523809523809523,0.0625,21.555702043506923,0.725,0.08928571428571429,,0.09313725490196079,0.01647058823529412,0.09302325581395349,0.04310344827586207,0.0931098696461825,0.0258751902587519,0.02127659574468085,,0.024096385542168676,0.028901734104046242,0.0847457627118644,0.058823529411764705,0.12598425196850394,0.09655172413793103,0.09278350515463918,0.09375,0.021739130434782608,0.5,0.16153846153846155,0.5714285714285714,0.631578947368421,0.4583333333333333,0.06153846153846154,0.375,0.4,,0.20384615384615384,0.5283018867924528,0.5283018867924528,0.5,0.11538461538461539,0.26666666666666666,0.2857142857142857,0.875,0.4576923076923077,0.3277310924369748,0.3305084745762712,0.6923076923076923,0.07142857142857142,0.5,,0.21428571428571427,0.6666666666666666,1.0,0.6071428571428571,0.35294117647058826,0.6666666666666666,0.1643835616438356,0.5,0.0958904109589041,0.2857142857142857,0.4657534246575342,0.23529411764705882,0.7346153846153847,0.3247863247863248,0.5157163424124513,0.5309777777777778,0.4624585714285715,0.057971014492753624,0.112,0.013245033112582781,0.11726384364820847,0.2768729641693811,10.258558558558558,24.98724832214765,0.31196247068021893,3.0,0.020134228187919462,,0.008403361344537815,,,,1.0,,,,1.0,0.06666666666666667,True,
1742,1610612740,Shammond Williams,Shammond Williams,1742,NOH,4441.0,74,-34,131,126,24,30,14.0,257,1.0,3.0,,,,,2.0,6.0,1.0,5,,,,,,,,8.0,,1.0,,,4.0,14,,8.0,7.0,15.0,156,,,,1.0,,,,1.0,,,2.0,2.0,2.0,6.0,,,,8.0,,3.0,14.0,2.0,16.0,2.0,,7.0,4.0,3.0,34.0,,,,,6.0,,6.0,,6.0,,5.0,4.0,1.0,3.0,,,1.0,,3.0,,1.0,4.0,,1.0,2.0,7.0,,,8.0,,,,4.0,,,,,,,,,,2.0,24,2.0,0.25,0.25,,,,,,0.2857142857142857,,,0.18181818181818182,,,0.28846153846153844,,0.5,0.36363636363636365,0.21428571428571427,0.3333333333333333,0.16666666666666666,20.408163265306122,0.75,,,0.1276595744680851,,,,0.10714285714285714,,,,,,,0.13333333333333333,,0.2222222222222222,,,,,0.13636363636363635,0.3333333333333333,0.5,,0.2727272727272727,0.3333333333333333,0.4,,0.22727272727272727,0.2,0.25,1.0,,,,,0.36363636363636365,,,,,,,,,,1.0,,,,,,,,,0.5,,0.4614613636363636,0.5766,0.3229,0.15384615384615385,0.2222222222222222,,,0.13333333333333333,10.471428571428572,24.9375,0.183206106870229,,,0.2,,,,,,,,,,,True,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,26904.0,448,29,842,816,330,271,127.0,1658,37.0,57.0,14.0,17.0,8.0,17.0,13.0,39.0,3.0,9,,,,,,,,,,,,,53.0,105,,,93.0,199.0,865,15.0,23.0,,,24.0,54.0,17.0,37.0,,,39.0,73.0,58.0,48.0,,,26.0,,,17.0,11.0,5.0,16.0,4.0,1.0,4.0,2.0,5.0,37.0,19.0,33.0,,12.0,57.0,16.0,85.0,52.0,137.0,4.0,7.0,4.0,3.0,9.0,2.0,2.0,16.0,4.0,7.0,,4.0,25.0,4.0,10.0,18.0,38.0,8.0,4.0,116.0,6.0,,,47.0,,14.0,16.0,6.0,2.0,8.0,16.0,10.0,3.0,73.0,330,1.0,0.5471698113207547,0.725,,,,,,0.5047619047619047,0.6521739130434783,0.4594594594594595,0.5047619047619047,0.6521739130434783,0.4594594594594595,0.621875,0.7297297297297297,0.6083333333333333,,0.1619047619047619,0.19298245614035087,0.15384615384615385,18.76267748478702,0.36,0.42105263157894735,,0.21033210332103322,0.11870503597122302,0.14285714285714285,0.1347517730496454,0.19436619718309858,0.12410501193317422,0.15294117647058825,0.15555555555555556,0.05825242718446602,0.1619047619047619,0.05555555555555555,0.21428571428571427,0.23255813953488372,0.1839080459770115,0.13114754098360656,0.17391304347826086,0.11428571428571428,0.625,0.5428571428571428,0.6491228070175439,0.8043478260869565,0.6216216216216216,0.37142857142857144,0.3333333333333333,0.3939393939393939,0.3076923076923077,0.08571428571428572,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,,,0.7391304347826086,0.8235294117647058,0.07142857142857142,,,,,,,0.4594594594594595,0.47058823529411764,,,,,0.5428571428571428,,0.4856733333333334,0.5267388888888889,0.46144324324324315,0.3219178082191781,0.3219178082191781,,0.271356783919598,0.36683417085427134,4.3238095238095235,,0.3919239904988123,,,,,,2.0,,,,,,,,True,
2561,1610612740,David West,David West,2561,NOH,21008.0,350,-83,643,646,175,165,99.0,1289,35.0,63.0,11.0,20.0,12.0,16.0,5.0,16.0,3.0,5,,,,,,,,1.0,,,,1.0,43.0,84,,1.0,17.0,103.0,696,13.0,26.0,,,3.0,29.0,12.0,18.0,,1.0,6.0,30.0,52.0,34.0,,,16.0,1.0,,10.0,14.0,6.0,20.0,5.0,1.0,6.0,1.0,7.0,46.0,7.0,30.0,1.0,11.0,46.0,8.0,65.0,38.0,103.0,9.0,7.0,3.0,4.0,8.0,1.0,4.0,12.0,4.0,4.0,1.0,,20.0,2.0,6.0,24.0,44.0,3.0,5.0,23.0,3.0,,,12.0,,1.0,9.0,7.0,1.0,1.0,9.0,4.0,,30.0,175,1.0,0.6046511627906976,0.7428571428571429,,,,,,0.5119047619047619,0.5,0.6666666666666666,0.5058823529411764,0.5,0.631578947368421,0.5421052631578948,0.5178571428571429,0.6521739130434783,0.011764705882352941,0.11904761904761904,0.1111111111111111,0.1875,15.091863517060368,0.4,0.4,0.047619047619047616,0.22115384615384615,0.12875536480686695,0.19642857142857142,0.07142857142857142,0.2159090909090909,0.11178247734138973,0.1375,0.15873015873015872,0.1,0.06578947368421052,0.09090909090909091,0.19402985074626866,0.37037037037037035,0.14942528735632185,0.1951219512195122,0.2,0.2903225806451613,0.4444444444444444,0.7411764705882353,0.5555555555555556,0.625,0.6857142857142857,0.18823529411764706,0.3125,0.38461538461538464,,0.058823529411764705,0.6,0.6,0.6666666666666666,,,,,0.011764705882352941,,,,0.7692307692307693,0.55,0.2727272727272727,,,,,,,0.8421052631578947,0.75,,,0.05263157894736842,,0.7529411764705882,,0.514204117647059,0.5221666666666667,0.5612447368421053,0.1276595744680851,0.12903225806451613,,0.2815533980582524,0.2912621359223301,2.4428571428571426,24.5,0.27216174183514774,,,,,,1.0,,,,,,,,True,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,13415.0,224,-3,416,411,139,111,56.0,827,15.0,29.0,5.0,10.0,3.0,7.0,6.0,18.0,4.0,16,,,,,,,,1.0,,,,,25.0,63,,1.0,16.0,66.0,432,6.0,14.0,,,2.0,14.0,6.0,19.0,,,4.0,16.0,34.0,16.0,,,6.0,1.0,,4.0,10.0,4.0,14.0,3.0,1.0,3.0,2.0,5.0,32.0,4.0,10.0,,9.0,12.0,5.0,26.0,14.0,40.0,7.0,7.0,5.0,2.0,8.0,2.0,5.0,5.0,,3.0,,1.0,13.0,2.0,2.0,10.0,24.0,,2.0,23.0,,,1.0,10.0,,1.0,1.0,,1.0,,1.0,,,16.0,139,5.0,0.68,0.7727272727272727,,,,,,0.3968253968253968,0.42857142857142855,0.3157894736842105,0.390625,0.42857142857142855,0.3157894736842105,0.43333333333333335,0.4375,0.36363636363636365,0.015625,0.06349206349206349,0.13793103448275862,,18.181818181818183,0.6153846153846154,0.2631578947368421,,0.08633093525179857,0.072992700729927,0.21951219512195122,0.06557377049180328,0.11666666666666667,0.0707070707070707,0.0975609756097561,0.06,0.06521739130434782,0.043478260869565216,0.13333333333333333,0.06,0.02631578947368421,0.1568627450980392,0.2,0.3333333333333333,0.20588235294117646,,0.453125,0.5172413793103449,0.6,0.6,0.28125,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.25,0.25,1.0,,,,,0.015625,,,,0.7142857142857143,0.5,0.2,,,,,,,0.3684210526315789,0.42857142857142855,,,,,0.46875,,0.46807968749999995,0.507,0.4240315789473685,0.13513513513513514,0.136986301369863,,0.21212121212121213,0.24242424242424243,7.273015873015873,24.8,0.33413461538461536,,,,,,,,,,,,,,True,
