EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFGM,ShortMidRangeFGA,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,FTDefRebounds,LostBallTurnovers,DefFTReboundPct,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,DefAtRimReboundPct,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,FG3APct,Corner3Frequency,PenaltyCorner3Frequency,Avg3ptShotDistance,NonShootingFoulsDrawn,ShortMidRangePctAssisted,Blocked2s,BlockedAtRim,Blocks,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,NonShootingPenaltyNonTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,on,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,SelfOReb,Travels,Technical Free Throw Trips,Assisted3sPct,SecondChanceFg3Pct,FG2APctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,PtsPutbacks,Corner3Assists,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,BlockedCorner3,OffensiveGoaltends,HeaveAttempts
109,1610612759,Robert Horry,Robert Horry,109,SAS,655.0,11,5.0,22,22,12.0,9,3.0,44,2.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,16,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.538461538461538,0.1428571428571428,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6041000000000001,0.5684,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.65,0.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,353.0,6,-4.0,14,12,13.0,7,,26,,,,,,,1.0,1.0,16,,,,,,1.0,1.0,,,1.0,1.0,2.0,1.0,13.0,,,,,,,0.5,,7.142857142857142,,0.1666666666666666,,,,,,,,,,,,1.0,1.0,,,0.9285714285714286,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,666.0,11,3.0,19,20,6.0,4,3.0,39,,,,,1.0,2.0,,2.0,18,,1.0,,,,1.0,3.0,2.0,2.0,,,,,6.0,,,0.5,,0.5,,0.5,,13.043478260869565,,0.1428571428571428,,,,,,,,,,0.2888,0.2469,,,,4.5,0.3157894736842105,1.0,0.5,,1.0,2.0,2.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.1428571428571428,0.1428571428571428,0.25,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,1610612759,Matt Carroll,Matt Carroll,2679,SAS,1271.0,21,10.0,45,44,32.0,25,4.0,89,1.0,2.0,,,2.0,5.0,2.0,6.0,36,,1.0,,2.0,2.0,2.0,3.0,1.0,,,5.0,4.0,2.0,32.0,0.5,0.5,0.4,,0.4,,0.4285714285714285,,22.0,0.1428571428571428,0.0952380952380952,0.1666666666666666,0.4,0.5,0.5,,,,,0.4,0.4989,0.3839,0.2857142857142857,0.2857142857142857,,9.36,0.7111111111111111,,,,,1.0,2.0,1.0,1.0,,,2.0,,1.0,1.0,,,4.0,,0.1666666666666666,,,,,0.2,,,1.0,2.0,1.0,2.0,2.0,3.0,2.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,6.0,0.6666666666666666,0.6666666666666666,0.6,0.3333333333333333,0.4,0.5,0.5,1.0,0.6666666666666666,0.5,0.5712333333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,1610612759,Kevin Willis,Kevin Willis,788,SAS,440.0,7,3.0,19,18,18.0,16,1.0,37,2.0,2.0,,,2.0,4.0,,4.0,18,,,,2.0,,1.0,1.0,2.0,2.0,,,,,18.0,0.5,0.5,0.5,,0.5,,0.5,,25.0,,,,0.5,1.0,1.0,0.5,,,,0.5,0.511775,,,,,8.7,0.9473684210526316,,,,,,2.0,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,2.0,2.0,,2.0,2.0,4.0,,4.0,,,,,,,1.0,,,4.0,0.5,0.5,0.5,,0.5,,,,0.5,1.0,0.511775,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,558.0,9,4.0,15,17,3.0,1,3.0,32,1.0,1.0,,,1.0,2.0,2.0,4.0,12,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,5.0,3.0,3.0,1.0,1.0,0.5,,0.5,,0.5,,21.05263157894737,0.1666666666666666,0.125,,0.5,1.0,1.0,1.0,,,,0.5,0.51875,,0.75,0.75,,10.3,0.2,,,,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,,0.125,0.125,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,0.3695,,,,,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612759,Hedo Turkoglu,Hedo Turkoglu,2045,SAS,491.0,8,7.0,18,19,12.0,12,2.0,37,,,,,,2.0,,,10,,1.0,,,1.0,3.0,3.0,,,,1.0,,,12.0,,,,,,,,,19.047619047619047,0.1666666666666666,0.2727272727272727,0.3333333333333333,,,,,,,,0.3333333333333333,0.48335,0.4197,,,,13.55,0.6666666666666666,2.0,0.4,0.3333333333333333,,1.0,,1.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,0.5,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,0.60105,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,1610612759,Jason Hart,Jason Hart,2078,SAS,549.0,9,9.0,20,21,14.0,14,2.0,41,2.0,2.0,,,3.0,4.0,1.0,7.0,14,,,,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,,14.0,0.3333333333333333,0.3333333333333333,0.75,,0.75,,0.7,,27.272727272727277,0.1428571428571428,0.1,0.3333333333333333,0.5,1.0,1.0,,,,,0.5,0.4248499999999999,,,,,8.175,0.7,,,,1.0,1.0,4.0,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,1.0,,,,,,0.25,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,1.0,5.0,,1.0,,,,,1.0,,,5.0,1.0,1.0,0.8333333333333334,,0.25,,,,1.0,1.0,0.4968,0.7142857142857143,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,1610612759,Rasho Nesterovic,Rasho Nesterovic,1725,SAS,273.0,5,3.0,11,9,11.0,8,,20,,,,,,,,,6,,,,,,1.0,1.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,323.0,5,,12,10,12.0,7,,22,,,,,1.0,1.0,5.0,7.0,10,,,,,1.0,1.0,1.0,,,,,6.0,2.0,12.0,,,1.0,,1.0,,0.875,,41.66666666666667,0.1666666666666666,0.125,0.3333333333333333,,,,,,,,,0.3895,,0.6666666666666666,0.6666666666666666,,18.5,1.0,,,,,,2.0,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,5.0,7.0,,,,,,,1.0,,,7.0,1.0,1.0,0.875,,1.0,1.0,1.0,,,,0.3895,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
