EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,OffThreePtRebounds,ShootingFouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,DefensiveGoaltends,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFGM,PtsPutbacks,LongMidRangeAssists,FTDefRebounds,LostBallTurnovers,Offensive Fouls,3SecondViolations,DefFTReboundPct,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,ShortMidRangeAssists,SecondChanceFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,RecoveredBlocks,PenaltyFg3Pct,BlocksRecoveredPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffCorner3ReboundPct,SecondChanceCorner3FGA,PtsUnassisted3s,SelfOReb,SelfORebPct,SecondChanceCorner3Frequency,on,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Technical Free Throw Trips,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,PenaltyArc3FGM,FTOffRebounds,Blocked3s,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3PctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1521,1610612737,Jacque Vaughn,Jacque Vaughn,1521,ATL,1143.0,19,14.0,34,34,19,23,8,68,1.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,7,6.0,22,1.0,2,2.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,13.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,19,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.5,0.3333333333333333,0.42857142857142855,0.5,0.3333333333333333,0.42857142857142855,0.5,0.3333333333333333,0.14285714285714285,0.5,17.77777777777778,1.0,0.05,0.25,0.08333333333333333,0.08333333333333333,0.5,0.2857142857142857,0.5,1.0,0.7142857142857143,0.4,0.4,1.0,0.5,1.0,0.3333333333333333,0.2857142857142857,0.4449571428571428,0.45745,0.5078,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,13.6,0.5588235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,1610612737,Stephen Jackson,Stephen Jackson,1536,ATL,1375.0,23,-12.0,43,44,13,22,7,87,,2.0,,1.0,1.0,1.0,5.0,1.0,9,5.0,40,,1,,,2.0,,2.0,,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,,,2.0,1.0,,1.0,1.0,2.0,,,,,13,1.0,1.0,0.1111111111111111,,,0.20833333333333334,,,0.20833333333333334,,,0.1111111111111111,0.5,26.923076923076923,0.5,,,,,,0.16666666666666666,,,0.4166666666666667,0.2,0.2,1.0,1.0,,0.3333333333333333,0.4166666666666667,0.45009583333333336,0.6237,0.5319833333333334,,,,,14.033333333333333,0.3023255813953488,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.06666666666666667,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,1610612737,Mamadou N'diaye,Mamadou N'diaye,2055,ATL,1886.0,31,-3.0,53,57,24,36,11,110,1.0,2.0,,1.0,,,2.0,1.0,6,8.0,51,,3,1.0,,1.0,6.0,2.0,,1.0,,,,,,,,2.0,7.0,9.0,12.0,1.0,,,,,8.0,,2.0,6.0,24,1.0,1.0,0.16666666666666666,,,0.16666666666666666,,,0.4,0.125,0.6,0.16666666666666666,,14.925373134328357,,0.28,0.25,0.2727272727272727,0.23076923076923078,0.25,0.3333333333333333,0.5,0.5,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,0.47946666666666665,0.3768,0.3595,0.25,0.25,0.125,0.75,7.583333333333333,0.4528301886792453,2.0,,,,,,,,,,2.0,3.0,1.0,,,,6.0,,1.0,,,,,0.06896551724137931,0.08333333333333333,0.1,0.09090909090909091,0.3333333333333333,,,,,,,,6.0,1.0,6.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0.5,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,1610612737,Hiram Fuller,Hiram Fuller,2673,ATL,2552.0,43,3.0,79,80,32,41,16,159,2.0,5.0,2.0,3.0,2.0,,1.0,3.0,8,8.0,64,2.0,3,5.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,,,5.0,,5.0,7.0,11.0,,,2.0,,4.0,6.0,,3.0,2.0,32,0.3333333333333333,1.0,0.375,0.6666666666666666,0.25,0.375,0.6666666666666666,0.25,0.36363636363636365,0.625,0.25,0.125,0.2,15.0,0.5,0.13157894736842105,,0.10204081632653061,0.05555555555555555,,0.625,0.4,0.5,0.125,,,,1.0,0.6666666666666666,0.5,0.625,0.43605000000000005,0.5478999999999999,0.3848750000000001,0.2727272727272727,0.2727272727272727,0.625,0.25,5.1875,0.4050632911392405,2.0,,,,,,,,,,4.0,4.0,,,2.0,2.0,5.0,1.0,,,,,,0.09302325581395349,0.07547169811320754,0.11764705882352941,0.07692307692307693,0.25,,,,,,,,2.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,0.14285714285714285,0.23076923076923078,,,1.0,4.0,1.0,2.0,2.0,1.0,1.0,0.5,0.07692307692307693,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,1610612737,Bob Sura,Bob Sura,682,ATL,1471.0,25,-1.0,42,43,15,22,11,85,3.0,6.0,,1.0,3.0,1.0,1.0,4.0,10,15.0,37,,1,3.0,1.0,4.0,2.0,4.0,4.0,,3.0,,3.0,,,,6.0,,2.0,2.0,5.0,,,1.0,1.0,1.0,2.0,,1.0,2.0,15,0.5,0.5,0.4,,0.25,0.5,0.75,0.16666666666666666,0.5,0.75,0.16666666666666666,,,28.070175438596493,1.0,0.11764705882352941,,0.09090909090909091,0.16666666666666666,,0.42857142857142855,0.5,0.5,0.07142857142857142,1.0,1.0,,0.5,,0.5,0.7142857142857143,0.5347428571428571,0.5802,0.4935083333333334,0.06666666666666667,0.09090909090909091,0.2,0.13333333333333333,4.340000000000001,0.35714285714285715,3.0,,,4.0,2.0,2.0,4.0,2.0,6.0,4.0,2.0,3.0,,,,1.0,2.0,,1.0,1.0,0.5,0.5,0.2857142857142857,0.08333333333333333,0.0967741935483871,0.1111111111111111,0.125,0.21428571428571427,,,,,0.2857142857142857,0.3333333333333333,25.599999999999998,1.0,,,1.0,,,,,,,,,0.14285714285714285,0.2,,0.1,,0.6666666666666666,,,2.0,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,1610612737,Chris Crawford,Chris Crawford,1544,ATL,680.0,11,,23,22,5,6,4,45,,2.0,,1.0,,,,,3,3.0,19,,1,,,,3.0,,,2.0,,,,,,,,,1.0,1.0,2.0,,,,,1.0,,,,3.0,5,,,,,,0.375,,1.5,0.375,,1.5,0.6666666666666666,0.5,17.857142857142854,,0.1111111111111111,,0.08333333333333333,,,0.5,,,,,,,1.0,,,0.75,0.5273625,0.6712,0.54465,,,,1.0,5.666666666666667,0.21739130434782608,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,,2.0,,,1.0,1.0,1.0,0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333,,0.25,0.25,1.0,1.0,1.0,,,24.2,,,,,2.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,1610612737,Boris Diaw,Boris Diaw,2564,ATL,621.0,10,9.0,21,20,18,16,5,41,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,5,5.0,12,1.0,1,2.0,1.0,3.0,3.0,2.0,2.0,,1.0,,1.0,,,,2.0,,1.0,1.0,5.0,1.0,1.0,,,,1.0,1.0,1.0,3.0,18,0.5,1.0,0.4,1.0,0.3333333333333333,0.4,1.0,0.3333333333333333,0.5,1.0,0.5,,,17.24137931034483,,0.07692307692307693,,0.06666666666666667,0.125,,0.4,1.0,1.0,0.2,,,,1.0,1.0,0.3333333333333333,0.4,0.44738,0.5687,0.43753333333333333,0.2,0.2,0.4,0.6,9.14,0.8571428571428571,2.0,,,,,,,,,,3.0,4.0,,,,,1.0,,,,,,,0.25,0.2857142857142857,0.16666666666666666,0.3333333333333333,0.4,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,0.5,,,,,0.5,,2.0,,,,,,,0.3333333333333333,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,1671.0,28,15.0,54,53,18,21,11,107,,1.0,,,,1.0,3.0,2.0,7,15.0,38,,1,,,2.0,5.0,,4.0,1.0,1.0,1.0,2.0,,1.0,1.0,5.0,,3.0,3.0,4.0,2.0,2.0,1.0,,2.0,2.0,,1.0,5.0,18,,,0.2857142857142857,,,0.43333333333333335,,0.375,0.46875,,0.5,0.14285714285714285,,26.865671641791042,0.5,0.10714285714285714,,0.08108108108108109,0.16666666666666666,,0.06666666666666667,,,0.2,0.3333333333333333,0.3333333333333333,,,,,0.6,0.48811666666666664,0.48165,0.475325,0.0625,0.125,,0.3333333333333333,11.142857142857142,0.3333333333333333,3.0,1.0,5.0,3.0,,3.0,8.0,2.0,6.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,0.6666666666666666,0.375,0.375,0.5333333333333333,0.034482758620689655,0.027777777777777776,,0.16666666666666666,0.2,0.3333333333333333,0.2,0.2,1.0,0.2,,24.362499999999997,2.0,,2.0,,,,,,,,,0.3333333333333333,,,0.16666666666666666,,,,1.0,,,,1.0,,,,,0.3333333333333333,0.5,,,2.0,,,,1.0,2.0,,,0.6666666666666666,0.6666666666666666,0.5,,,,,0.6666666666666666,1.0,2.0,1.0,,0.5,,0.5,0.5,,1.0,3.0,1.0,0.1111111111111111,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,1610612737,Joel Przybilla,Joel Przybilla,2038,ATL,571.0,10,8.0,23,21,7,4,4,44,,,,,,,,,2,,11,,2,,,1.0,,,,,,,,,,,,1.0,3.0,5.0,5.0,,,,,,,,,,7,,,,,,,,,,,,,,6.8965517241379315,,0.23076923076923078,0.3333333333333333,0.25,0.2,,,,,,,,,,,,,0.3468,0.2747,0.2747,,,,,12.149999999999999,0.30434782608695654,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,0.3333333333333333,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1610612737,Wesley Person,Wesley Person,445,ATL,790.0,13,-18.0,23,26,9,14,3,49,,,,,,,,1.0,3,2.0,26,1.0,1,2.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,9,1.0,1.0,0.3333333333333333,1.0,,0.25,1.0,,0.25,1.0,,0.3333333333333333,,19.23076923076923,,,,,,,,,,,,,,,,,0.25,0.40590000000000004,0.3599,0.4004,,,1.0,,9.066666666666666,0.391304347826087,3.0,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,0.25,,,,,0.75,,,,,0.25,,26.0,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,,,,,,,,,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
