EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG3A,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,BadPassSteals,BadPassTurnovers,NonShootingFoulsDrawn,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceShotQualityAvg,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGA,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Offensive Fouls,ShortMidRangeAssists,LongMidRangeAssists,on,Technical Free Throw Trips,SecondChanceAtRimFGM,Corner3FGM,HeaveAttempts,FTDefRebounds,SecondChanceTurnovers,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Corner3Assists,FTOffRebounds,Loose Ball Fouls,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedCorner3
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,1183.0,20,10.0,36,33,13.0,13.0,5.0,69,1.0,3.0,1.0,3.0,1.0,1.0,2.0,4,2.0,6.0,25.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,2.0,4.0,4.0,2.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,13.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.375,0.25,0.3333333333333333,19.51219512195122,1.0,0.25,0.16666666666666666,0.21052631578947367,0.13333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.75,0.3333333333333333,0.5,1.0,0.25,1.0,1.0,1.0,1.0,0.3333333333333333,0.75,0.5326249999999999,0.5762999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,4.9750000000000005,0.3611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,1610612757,Eddie Gill,Eddie Gill,2109,POR,958.0,16,17.0,31,29,19.0,16.0,5.0,60,,,,,,1.0,1.0,2,4.0,6.0,17.0,,,1.0,1.0,4.0,6.0,,,1.0,,1.0,,1.0,2.0,,2.0,3.0,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,4.0,1.0,,,,6.0,19.0,,,0.5,1.0,0.25,0.3333333333333333,0.5,,0.6,,,20.0,1.0,0.15384615384615385,,0.16666666666666666,0.08333333333333333,,0.25,,0.14285714285714285,,,,,0.25,,,,,,0.5,0.418675,0.4114333333333333,0.2,0.3333333333333333,,1.0,13.25,0.6129032258064516,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.2,1.0,0.25,0.25,1.0,1.0,0.5,1.0,0.6666666666666666,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,1610612757,Zach Randolph,Zach Randolph,2216,POR,1017.0,17,5.0,28,31,14.0,8.0,3.0,59,2.0,2.0,1.0,1.0,,,3.0,4,,6.0,23.0,,2.0,1.0,1.0,,2.0,2.0,,,,,,,,1.0,3.0,4.0,1.0,5.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,2.0,14.0,0.3333333333333333,0.5,0.75,1.0,0.75,1.0,0.75,1.0,1.0,,,16.129032258064516,1.0,0.17647058823529413,0.25,0.2,0.1,,0.16666666666666666,0.3333333333333333,0.125,0.5,1.0,1.0,0.5,,,,,1.0,1.0,0.5,0.54295,0.6213,,,0.3333333333333333,0.3333333333333333,3.6,0.5,1.0,2.0,,,,,,,4.0,,,1.0,1.0,,,,0.3333333333333333,,,0.5,0.5,0.5,0.5,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,1610612757,Desmond Ferguson,Desmond Ferguson,2724,POR,1842.0,31,9.0,53,51,24.0,19.0,7.0,104,2.0,2.0,1.0,1.0,,2.0,2.0,4,,13.0,41.0,,,1.0,1.0,,8.0,4.0,,1.0,,1.0,,1.0,2.0,,3.0,4.0,,4.0,,,1.0,,1.0,,,,2.0,1.0,,,,8.0,24.0,1.0,1.0,0.5,1.0,0.5416666666666666,1.0,0.5,,1.0,,,23.333333333333336,1.0,0.125,,0.125,,,0.125,,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,0.25,1.0,0.8333333333333334,0.5294208333333333,0.604175,0.07692307692307693,0.2,,0.6153846153846154,9.05,0.4528301886792453,,,6.0,1.0,2.0,8.0,1.0,3.0,,6.0,,1.0,,1.0,,0.6666666666666666,0.125,,,0.14285714285714285,,,,0.5,1.0,0.5,24.375,,,,,,,,,,2.0,1.0,3.0,2.0,3.0,2.0,6.0,3.0,3.0,0.6666666666666666,0.375,0.6666666666666666,0.375,0.16666666666666666,0.5,0.5,0.6666666666666666,0.25,1.0,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,1610612757,Theo Ratliff,Theo Ratliff,689,POR,1165.0,19,3.0,32,31,11.0,9.0,5.0,63,,1.0,,,,,1.0,3,3.0,5.0,24.0,,2.0,,,2.0,2.0,2.0,,,,,,,,1.0,4.0,4.0,1.0,5.0,,,,,,,,2.0,4.0,2.0,3.0,2.0,3.0,2.0,11.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.5,0.5,1.0,,,13.513513513513514,,0.25,0.09090909090909091,0.21052631578947367,0.07142857142857142,0.25,0.125,0.3333333333333333,0.4,0.3333333333333333,,,,,,,,,,0.3333333333333333,0.4555666666666667,,0.4,0.4,0.4,0.4,6.566666666666666,0.34375,1.0,2.0,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,0.5,,,,,1.0,2.0,,,0.5,0.5,,,0.4659,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.6666666666666666,1.0,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1610612757,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,POR,1202.0,20,8.0,35,31,15.0,13.0,5.0,66,1.0,2.0,,,,2.0,1.0,5,,2.0,25.0,,,,2.0,,,2.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,4.0,1.0,1.0,4.0,,,,,,,15.0,1.0,1.0,0.2,,0.2,,0.2,,,,,22.5,,0.07692307692307693,0.09090909090909091,0.05,0.058823529411764705,,,,0.1111111111111111,0.4,0.5,0.5,1.0,0.4,,,,,,0.4,0.44092000000000003,0.37335,,,,,8.76,0.42857142857142855,,1.0,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,1.0,,1.0,,,0.5,0.25,0.4067,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,1610612757,Qyntel Woods,Qyntel Woods,2417,POR,130.0,2,3.0,5,3,3.0,3.0,1.0,8,,,,,,,1.0,1,,2.0,3.0,,,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,20.0,,0.5,,0.25,,,,,0.5,,,,,,,,,,,,0.395,0.395,,,,1.0,5.9,0.6,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,1610612757,Dale Davis,Dale Davis,905,POR,150.0,2,2.0,5,5,4.0,4.0,,10,,,,,,1.0,,1,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,4.0,,,,,,,,,,,,16.666666666666668,,,,,,,,,,,,,,1.0,,,,,,,0.3801,,,,,,19.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,1610612757,Damon Stoudamire,Damon Stoudamire,757,POR,904.0,15,-11.0,23,23,6.0,4.0,2.0,46,,,,,1.0,1.0,1.0,1,,2.0,27.0,,,,,,,,,3.0,,3.0,,1.0,6.0,,,2.0,,2.0,,,,,,,2.0,3.0,,,,,,,6.0,,,1.0,,0.5,,0.5,,,,,7.692307692307692,,,,0.14285714285714285,,,,,,,,,,0.5,1.0,1.0,,,,0.5,0.46204999999999996,0.5214,,,,,19.7,0.2608695652173913,,,1.0,,1.0,1.0,,1.0,2.0,1.0,,2.0,,,,0.5,0.6666666666666666,,,0.6666666666666666,,,,0.5,,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,1610612757,Darius Miles,Darius Miles,2032,POR,368.0,6,-7.0,9,11,6.0,1.0,,20,3.0,3.0,2.0,2.0,,,3.0,3,,6.0,13.0,,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,1.0,,,,4.0,6.0,,,1.0,1.0,1.0,1.0,0.75,,1.0,,,55.55555555555556,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.5630333333333333,0.55125,0.25,0.25,,0.6666666666666666,1.0,0.6666666666666666,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
