EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Assists,StepOutOfBoundsTurnovers,Travels,BlockedLongMidRange,OffCorner3ReboundPct,HeaveAttempts,LongMidRangePctBlocked,Blocked3s,BlockedArc3,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1442,1610612737,Zeljko Rebraca,Zeljko Rebraca,1442,ATL,258.0,4,9,9,8,9,2,2.0,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,6,1.0,1.0,2.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,9,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.625,1.0,0.625,33.333333333333336,0.3333333333333333,0.25,0.3333333333333333,0.25,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.37893333333333334,0.4949,0.37893333333333334,0.4,1.0,6.766666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1536,1610612737,Stephen Jackson,Stephen Jackson,1536,ATL,12481.0,208,21,405,409,166,157,67.0,814,18.0,27.0,2.0,3.0,8.0,9.0,16.0,13.0,33.0,37.0,76.0,33.0,155.0,421,3.0,7.0,17.0,15.0,27.0,10.0,55.0,42.0,32.0,2.0,4.0,17.0,24.0,6.0,30.0,37.0,4.0,55.0,166,0.5675675675675675,0.5833333333333334,0.4868421052631579,0.42857142857142855,0.5555555555555556,0.5169491525423728,0.46153846153846156,0.46875,0.5703703703703704,0.53125,0.5092592592592593,31.535269709543567,0.12408759124087591,0.0273972602739726,0.11827956989247312,0.024875621890547265,0.01639344262295082,0.1346153846153846,0.2288135593220339,0.6666666666666666,0.6923076923076923,0.13559322033898305,0.2796610169491525,0.3939393939393939,0.3939393939393939,0.5384615384615384,0.23076923076923078,0.6666666666666666,0.1875,0.8888888888888888,0.5847457627118644,0.49175042372881356,0.47753499999999993,0.468965625,0.10967741935483871,0.3548387096774194,9.852631578947369,0.40987654320987654,6.0,4.0,7.0,1.0,1.0,2.0,4.0,12.0,35.0,1.0,5.0,3.0,17.0,16.0,42.0,2.0,6.0,5.0,5.0,21.0,45.0,3.0,35.0,12.0,1.0,20.0,1.0,21.0,1.0,14.0,2.0,4.0,43.0,1.0,1.0,5.0,2.0,2.0,17.0,10.0,7.0,15.0,1.0,6.0,2.0,9.0,17.0,2.0,8.0,8.0,21.0,1.0,1.0,14.0,1.0,5.0,0.9375,0.38095238095238093,0.3333333333333333,0.23809523809523808,0.38095238095238093,0.3559322033898305,0.013157894736842105,0.037037037037037035,0.8823529411764706,0.10526315789473684,0.1,0.10204081632653061,0.01818181818181818,0.06382978723404255,0.023809523809523808,0.06666666666666667,0.175,0.027777777777777776,0.3076923076923077,0.03225806451612903,0.7777777777777778,0.375,0.375,0.059322033898305086,0.5714285714285714,0.5714285714285714,0.75,0.2966101694915254,0.34285714285714286,0.34285714285714286,1.0,0.5,0.07692307692307693,1.0,1.0,0.38461538461538464,0.2,1.0,0.08333333333333333,0.5,0.3541666666666667,0.17647058823529413,0.34285714285714286,0.10687022900763359,0.15730337078651685,25.035714285714285,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1544,1610612737,Chris Crawford,Chris Crawford,1544,ATL,12832.0,214,-4,415,413,175,173,64.0,828,15.0,24.0,1.0,3.0,8.0,9.0,17.0,7.0,24.0,27.0,65.0,31.0,115.0,436,1.0,6.0,9.0,10.0,21.0,9.0,41.0,38.0,16.0,2.0,9.0,15.0,24.0,14.0,38.0,38.0,3.0,41.0,175,0.7037037037037037,0.7307692307692307,0.4153846153846154,0.16666666666666666,0.47619047619047616,0.4827586206896552,0.4,0.5714285714285714,0.5528846153846154,0.4090909090909091,0.6212121212121212,23.553719008264462,0.11194029850746269,0.0625,0.11931818181818182,0.07216494845360824,0.031746031746031744,0.058823529411764705,0.27586206896551724,0.625,0.6818181818181818,0.19540229885057472,0.27586206896551724,0.2916666666666667,0.2916666666666667,0.8571428571428571,0.3,0.3333333333333333,0.32142857142857145,0.8888888888888888,0.5287356321839081,0.4922706896551725,0.4968,0.5033232142857142,0.0782608695652174,0.3565217391304348,8.873846153846156,0.42168674698795183,5.0,3.0,5.0,,,2.0,2.0,7.0,17.0,2.0,4.0,2.0,5.0,10.0,22.0,2.0,4.0,1.0,4.0,7.0,27.0,3.0,17.0,7.0,5.0,8.0,2.0,10.0,2.0,3.0,,5.0,22.0,5.0,,6.0,3.0,3.0,9.0,6.0,3.0,7.0,,5.0,3.0,2.0,10.0,2.0,5.0,11.0,18.0,4.0,,18.0,1.0,4.0,0.9,0.45454545454545453,0.5,0.5714285714285714,0.45454545454545453,0.25287356321839083,0.07692307692307693,0.08333333333333333,0.7,0.13043478260869565,,0.14285714285714285,0.1,0.0975609756097561,0.13157894736842105,0.14285714285714285,0.14583333333333334,0.125,0.2,0.06666666666666667,0.6,0.29411764705882354,0.35714285714285715,0.05747126436781609,0.6,0.6,0.6666666666666666,0.19540229885057472,0.4117647058823529,0.4117647058823529,1.0,,,,,0.4,0.5,1.0,0.07142857142857142,1.0,0.17857142857142858,0.4,0.4117647058823529,0.1782178217821782,0.22784810126582278,24.62272727272727,1.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,0.17647058823529413,0.075,0.75,0.8,,,,,,,,,,True,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,16080.0,268,-35,532,541,182,202,67.0,1073,5.0,15.0,1.0,1.0,2.0,4.0,22.0,19.0,38.0,35.0,75.0,24.0,142.0,613,5.0,8.0,22.0,10.0,20.0,13.0,54.0,22.0,48.0,2.0,3.0,17.0,23.0,4.0,27.0,29.0,4.0,54.0,182,0.3142857142857143,0.3235294117647059,0.4666666666666667,0.625,0.5,0.5,0.7916666666666666,0.5857142857142857,0.5307692307692308,0.8076923076923077,0.6341463414634146,26.115702479338843,0.09826589595375723,0.01694915254237288,0.09130434782608696,0.016736401673640166,0.014084507042253521,0.08333333333333333,0.1271186440677966,0.3333333333333333,0.5,0.1864406779661017,0.3220338983050847,0.5,0.5,0.3684210526315789,0.08333333333333333,1.0,0.11428571428571428,0.5,0.4915254237288136,0.4715080508474576,0.45524444444444445,0.4611528571428572,0.15492957746478872,0.38028169014084506,11.543999999999999,0.34210526315789475,11.0,3.0,8.0,2.0,2.0,2.0,3.0,13.0,35.0,1.0,2.0,5.0,12.0,16.0,43.0,3.0,4.0,3.0,7.0,15.0,24.0,24.0,35.0,13.0,6.0,32.0,11.0,43.0,9.0,18.0,5.0,9.0,97.0,1.0,,4.0,2.0,1.0,12.0,6.0,6.0,22.0,3.0,15.0,6.0,7.0,28.0,3.0,10.0,9.0,19.0,1.0,4.0,9.0,,7.0,0.5,0.37209302325581395,0.75,0.4666666666666667,0.37209302325581395,0.3644067796610169,0.08,0.3333333333333333,0.7857142857142857,0.07692307692307693,,0.07017543859649122,0.016129032258064516,0.01694915254237288,0.019230769230769232,0.1320754716981132,0.08333333333333333,0.0425531914893617,0.2,0.01694915254237288,,0.5,0.5238095238095238,0.06779661016949153,0.375,0.375,0.6666666666666666,0.2966101694915254,0.37142857142857144,0.37142857142857144,0.46153846153846156,,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,1.0,0.08571428571428572,0.6666666666666666,0.34285714285714286,0.4166666666666667,0.37142857142857144,0.07142857142857142,0.10843373493975904,25.03720930232558,,,,1.0,1.0,,1.0,,,0.045454545454545456,0.02127659574468085,,0.36363636363636365,2.0,1.0,1.0,,,,,,,True,,,,,,,,,,
2580,1610612737,Travis Hansen,Travis Hansen,2580,ATL,30570.0,510,-10,985,994,364,376,136.0,1979,20.0,37.0,4.0,11.0,7.0,15.0,23.0,13.0,40.0,37.0,100.0,22.0,123.0,1028,5.0,16.0,15.0,15.0,37.0,16.0,49.0,38.0,36.0,6.0,21.0,29.0,40.0,30.0,70.0,27.0,4.0,49.0,364,0.5135135135135135,0.5588235294117647,0.37,0.3125,0.40540540540540543,0.38846153846153847,0.34210526315789475,0.33,0.43006993006993005,0.375,0.4083333333333333,13.847502191060473,0.08761329305135952,0.057692307692307696,0.08775981524249422,0.06277056277056277,0.06,0.0703125,0.2846153846153846,0.5405405405405406,0.6666666666666666,0.17692307692307693,0.3076923076923077,0.325,0.325,0.6153846153846154,0.5789473684210527,0.36363636363636365,0.3,0.4666666666666667,0.5153846153846153,0.48723153846153844,0.4961900000000001,0.48374,0.12195121951219512,0.3983739837398374,9.822,0.3695431472081218,4.0,4.0,12.0,1.0,2.0,1.0,6.0,5.0,18.0,,1.0,,7.0,9.0,30.0,1.0,3.0,2.0,1.0,13.0,21.0,6.0,18.0,5.0,11.0,14.0,5.0,19.0,3.0,4.0,3.0,7.0,43.0,8.0,1.0,9.0,2.0,3.0,10.0,6.0,4.0,13.0,,6.0,2.0,7.0,15.0,2.0,6.0,30.0,67.0,1.0,,10.0,,12.0,0.7777777777777778,0.3,0.3333333333333333,0.07692307692307693,0.3,0.23076923076923078,0.11,0.1891891891891892,0.8666666666666667,0.0425531914893617,0.04,0.08823529411764706,0.08163265306122448,0.07017543859649122,0.09210526315789473,0.10869565217391304,0.09009009009009009,0.0875,0.09090909090909091,0.04285714285714286,0.55,0.17391304347826086,0.21052631578947367,0.09230769230769231,0.3333333333333333,0.3333333333333333,1.0,0.13846153846153847,0.2777777777777778,0.2777777777777778,0.6,,0.10526315789473684,0.5,1.0,0.05263157894736842,,,0.12,0.16666666666666666,0.14,,0.2777777777777778,0.07194244604316546,0.09174311926605505,24.513333333333332,,4.0,1.0,9.0,7.0,,9.0,7.0,1.0,0.17391304347826086,0.04,0.7777777777777778,,2.0,,1.0,2.0,0.045454545454545456,,,,,True,,,,,,,,,,
682,1610612737,Bob Sura,Bob Sura,682,ATL,7114.0,119,48,222,225,93,95,42.0,447,11.0,24.0,2.0,7.0,2.0,7.0,4.0,6.0,14.0,18.0,42.0,26.0,65.0,218,2.0,9.0,7.0,4.0,15.0,14.0,22.0,14.0,22.0,2.0,12.0,21.0,26.0,12.0,38.0,32.0,5.0,22.0,93,0.3888888888888889,0.4117647058823529,0.42857142857142855,0.2222222222222222,0.26666666666666666,0.4148936170212766,0.2222222222222222,0.23529411764705882,0.5327868852459017,0.35,0.4230769230769231,26.568265682656826,0.26582278481012656,0.14285714285714285,0.2524271844660194,0.11009174311926606,0.20512820512820512,0.16666666666666666,0.5106382978723404,0.4583333333333333,0.5238095238095238,0.0851063829787234,0.2978723404255319,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.7777777777777778,0.2857142857142857,0.4117647058823529,0.2857142857142857,0.6170212765957447,0.49302978723404256,0.5389333333333334,0.4568941176470588,0.1076923076923077,0.3384615384615385,6.959523809523809,0.4189189189189189,1.0,,2.0,,,,1.0,1.0,3.0,,,,1.0,1.0,5.0,,,3.0,,2.0,,3.0,3.0,1.0,3.0,13.0,7.0,20.0,5.0,9.0,,4.0,47.0,,,5.0,,3.0,4.0,2.0,2.0,7.0,2.0,5.0,4.0,2.0,11.0,3.0,5.0,1.0,9.0,3.0,,12.0,,,,0.2,,,0.2,0.10638297872340426,0.07142857142857142,0.125,0.6363636363636364,,,0.20833333333333334,,0.03571428571428571,,0.24,0.36666666666666664,0.1875,0.25,0.12,0.45454545454545453,0.25,0.25,0.0425531914893617,,,,0.06382978723404255,0.3333333333333333,0.3333333333333333,,,,,,,,,0.058823529411764705,,0.058823529411764705,,0.3333333333333333,0.21428571428571427,0.23529411764705882,25.12,,,1.0,,,,,,,,0.17647058823529413,,,2.0,,,,,,,,,True,,,,,,,,,,
2564,1610612737,Boris Diaw,Boris Diaw,2564,ATL,19805.0,330,14,641,644,210,215,89.0,1285,15.0,27.0,4.0,9.0,3.0,5.0,10.0,3.0,14.0,24.0,51.0,15.0,69.0,665,5.0,12.0,12.0,3.0,10.0,11.0,23.0,24.0,24.0,4.0,10.0,25.0,40.0,16.0,56.0,24.0,4.0,23.0,210,0.5,0.5454545454545454,0.47058823529411764,0.4166666666666667,0.3,0.47368421052631576,0.4166666666666667,0.42857142857142855,0.5,0.42857142857142855,0.5227272727272727,12.5,0.11210762331838565,0.04405286343612335,0.11827956989247312,0.05405405405405406,0.02127659574468085,0.11956521739130435,0.47368421052631576,0.5555555555555556,0.5769230769230769,0.17543859649122806,0.24561403508771928,0.21428571428571427,0.21428571428571427,1.0,0.75,0.4444444444444444,0.35714285714285715,0.6,0.5789473684210527,0.48429821428571435,0.549525,0.44334230769230776,0.17391304347826086,0.3333333333333333,6.533333333333334,0.32761310452418096,6.0,1.0,3.0,,,1.0,1.0,1.0,3.0,,,1.0,3.0,2.0,6.0,,,2.0,2.0,4.0,6.0,,2.0,1.0,1.0,31.0,11.0,42.0,7.0,21.0,1.0,9.0,95.0,6.0,,8.0,7.0,2.0,15.0,13.0,2.0,10.0,4.0,9.0,13.0,1.0,23.0,2.0,5.0,18.0,34.0,,,8.0,,6.0,1.0,0.3333333333333333,,0.5,0.4,0.10526315789473684,0.0196078431372549,0.037037037037037035,0.43478260869565216,0.25925925925925924,,0.14285714285714285,0.08695652173913043,0.07246376811594203,0.07272727272727272,0.09259259259259259,0.11688311688311688,0.14285714285714285,0.14285714285714285,0.06896551724137931,0.6,0.6,0.6,0.05263157894736842,0.3333333333333333,0.3333333333333333,1.0,0.05263157894736842,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,0.07142857142857142,1.0,0.21428571428571427,0.3333333333333333,0.5,0.12307692307692308,0.13559322033898305,27.683333333333326,2.0,,4.0,9.0,7.0,2.0,9.0,5.0,,,0.046875,0.5555555555555556,,4.0,,1.0,,0.14285714285714285,1.0,,,,True,,,,,,,,,,
1521,1610612737,Jacque Vaughn,Jacque Vaughn,1521,ATL,7796.0,130,-34,250,254,86,95,30.0,504,,3.0,,1.0,,,4.0,8.0,21.0,9.0,28.0,2.0,20.0,249,1.0,4.0,3.0,1.0,5.0,1.0,3.0,6.0,12.0,,1.0,5.0,7.0,1.0,8.0,4.0,,3.0,86,0.3333333333333333,0.3333333333333333,0.32142857142857145,0.25,0.2,0.3103448275862069,0.2,0.2,0.31666666666666665,0.2,0.2,13.10344827586207,0.0641025641025641,0.009174311926605505,0.07142857142857142,0.007874015748031496,0.023809523809523808,,0.10344827586206896,,,0.13793103448275862,0.7241379310344828,0.38095238095238093,0.38095238095238093,0.375,0.2,,,,0.13793103448275862,0.4106879310344828,0.433975,0.33690000000000003,0.15,0.15,14.360714285714286,0.344,1.0,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,3.0,13.0,4.0,17.0,3.0,3.0,2.0,8.0,38.0,,,2.0,,1.0,8.0,4.0,4.0,4.0,3.0,4.0,4.0,,8.0,,2.0,4.0,11.0,,2.0,1.0,,6.0,,,,,,0.034482758620689655,0.10714285714285714,0.6666666666666666,0.5,,,0.1,,,,0.047619047619047616,0.14814814814814814,0.06666666666666667,0.2,0.058823529411764705,,0.25,0.3333333333333333,,,,,0.034482758620689655,,,,,,,,0.2,,,,,,,,0.03333333333333333,0.034482758620689655,26.0,,,,,,,,,,0.25,,,,1.0,,1.0,,,,,,,True,,,,,,,,,,
1737,1610612737,Nazr Mohammed,Nazr Mohammed,1737,ATL,8545.0,142,-26,267,270,97,113,33.0,537,16.0,23.0,2.0,6.0,6.0,9.0,15.0,2.0,12.0,24.0,50.0,12.0,60.0,266,3.0,9.0,9.0,9.0,18.0,10.0,28.0,28.0,20.0,4.0,14.0,16.0,27.0,17.0,44.0,17.0,1.0,28.0,97,0.5833333333333334,0.6363636363636364,0.48,0.3333333333333333,0.5,0.48,0.3333333333333333,0.5,0.5172413793103449,0.375,0.5833333333333334,22.07792207792208,0.17777777777777778,0.125,0.1693548387096774,0.12307692307692308,0.13725490196078433,0.19444444444444445,0.46,0.6956521739130435,0.7619047619047619,0.3,0.24,0.16666666666666666,0.18181818181818182,1.0,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.46,0.4766959999999999,0.5229111111111111,0.4885666666666666,0.15,0.4666666666666667,6.839999999999999,0.36329588014981273,6.0,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,3.0,,3.0,,2.0,1.0,,6.0,2.0,1.0,5.0,6.0,,3.0,2.0,1.0,3.0,1.0,1.0,7.0,2.0,10.0,,4.0,5.0,13.0,1.0,,8.0,1.0,3.0,,,,,,,0.08,0.08695652173913043,0.3,0.46153846153846156,0.125,0.14705882352941177,0.1111111111111111,0.1,0.07692307692307693,0.23076923076923078,0.10714285714285714,0.1724137931034483,,,0.5625,0.4,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,0.14035087719298245,0.14035087719298245,,,2.0,3.0,2.0,2.0,,2.0,,,0.06666666666666667,0.12903225806451613,,0.5,,,2.0,,0.2,,0.08333333333333333,,,True,,,,,,,,,,
2214,1610612737,Michael Bradley,Michael Bradley,2214,ATL,2151.0,36,-11,70,70,34,30,13.0,140,4.0,5.0,1.0,1.0,1.0,2.0,1.0,,2.0,4.0,8.0,,8.0,79,1.0,1.0,2.0,1.0,4.0,,2.0,6.0,2.0,2.0,3.0,4.0,5.0,4.0,9.0,,,2.0,34,0.75,1.0,0.5,1.0,0.25,0.5,1.0,0.25,0.5,1.0,0.25,13.095238095238095,0.2222222222222222,0.1111111111111111,0.19230769230769232,0.11428571428571428,0.07692307692307693,0.375,0.625,0.8,0.8,0.125,0.25,,,,1.0,1.0,0.5,0.5,0.625,0.47835,0.6351,0.451475,0.25,0.25,6.65,0.4857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,2.0,,3.0,1.0,1.0,,3.0,,,,,,,,,,,,,,0.3333333333333333,,,0.125,0.125,,0.125,0.25,,0.14285714285714285,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,1.0,1.0,,,,,,,True,,,,,,,,,,
