EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Loose Ball Fouls,BlockedAtRim,BlockedLongMidRange,OffAtRimReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,SelfOReb,Travels,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,Defensive 3 Seconds Violations,OffCorner3ReboundPct,BlockedArc3,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
1563,1610612739,Kevin Ollie,Kevin Ollie,1563,CLE,13084.0,218,38.0,390,407,103,105.0,47.0,797,7.0,16.0,2.0,4.0,4.0,10.0,5.0,14.0,2.0,1.0,16.0,40.0,2.0,23.0,55.0,358,1.0,4.0,4.0,6.0,9.0,10.0,22.0,14.0,18.0,2.0,2.0,32.0,6.0,38.0,2.0,4.0,15.0,2.0,15.0,82.0,1.0,9.0,16.0,2.0,27.0,1.0,28.0,3.0,3.0,9.0,2.0,8.0,5.0,1.0,14.0,2.0,4.0,7.0,16.0,2.0,29.0,2.0,3.0,11.0,3.0,1.0,1.0,1.0,1.0,22.0,103,2.0,0.4375,0.4375,0.4,0.6666666666666666,0.3809523809523809,0.6666666666666666,0.4907407407407407,0.6666666666666666,0.6875,0.0476190476190476,0.05,0.125,15.04424778761062,0.6428571428571429,0.1428571428571428,0.082901554404145,0.0060975609756097,0.2307692307692307,0.1077586206896551,0.0054347826086956,0.025,0.0833333333333333,0.0384615384615384,0.1159420289855072,0.1666666666666666,0.3333333333333333,1.0,0.3809523809523809,0.4375,0.5,0.4285714285714285,0.238095238095238,0.4,0.4,0.25,0.3333333333333333,0.3571428571428571,0.3571428571428571,0.6,0.0476190476190476,1.0,0.4444444444444444,0.5,0.4285714285714285,0.4956107142857142,0.3981,0.5177666666666666,0.2156862745098039,0.2244897959183673,0.0727272727272727,0.4,8.7825,24.55,0.2641025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1565,1610612739,Michael Stewart,Michael Stewart,1565,CLE,1240.0,21,-17.0,39,39,8,11.0,5.0,78,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,3.0,1.0,4.0,1.0,1.0,,,,,,,,,3.0,4.0,,,,,,,2.0,,2.0,1.0,,8,1.0,,,,,,,,,,,,,,,,0.1764705882352941,0.0588235294117647,,0.1666666666666666,0.0555555555555555,,0.4,,0.1428571428571428,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2051282051282051,1.0,1.0,1.0,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1729,1610612739,Ricky Davis,Ricky Davis,1729,CLE,12362.0,206,-29.0,398,406,118,121.0,57.0,804,11.0,16.0,2.0,3.0,13.0,24.0,10.0,38.0,8.0,1.0,34.0,78.0,11.0,20.0,100.0,426,1.0,2.0,11.0,8.0,21.0,9.0,31.0,34.0,34.0,7.0,3.0,24.0,3.0,27.0,3.0,,9.0,6.0,9.0,57.0,4.0,6.0,18.0,1.0,25.0,4.0,29.0,10.0,5.0,8.0,2.0,5.0,10.0,3.0,18.0,3.0,6.0,6.0,13.0,3.0,27.0,1.0,,10.0,4.0,3.0,1.0,4.0,2.0,31.0,118,2.0,0.5,0.5,0.4358974358974359,0.3809523809523809,0.449438202247191,0.4230769230769231,0.4901960784313725,0.5,0.484375,0.1235955056179775,0.0384615384615384,,25.806451612903224,0.4444444444444444,0.0625,0.108433734939759,0.024390243902439,0.1935483870967742,0.1218274111675127,0.0222222222222222,,0.04,0.1698113207547169,0.1111111111111111,0.1818181818181818,0.2222222222222222,0.5,0.1797752808988764,0.6875,0.6875,0.4545454545454545,0.2696629213483146,0.5416666666666666,0.5909090909090909,0.4615384615384615,0.4269662921348314,0.2631578947368421,0.2702702702702703,0.6,0.0898876404494382,0.1,0.1153846153846153,0.6666666666666666,0.3033707865168539,0.4518630681818182,0.42913,0.4244800000000001,0.1020408163265306,0.1149425287356321,0.11,0.31,11.72948717948718,27.33636363636364,0.2964824120603015,,2.0,,,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,9.0,1.0,2.0,5.0,9.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.75,0.3636363636363636,1.0,0.4,0.4,0.3333333333333333,0.45,0.0833333333333333,0.0263157894736842,0.0533333333333333,0.0337078651685393,0.6666666666666666,0.6666666666666666,1.0,0.25,0.25,0.5,0.2,0.5,1.0,1.0,0.0769230769230769,0.5,0.1153846153846153,0.3333333333333333,0.2857142857142857,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1956,1610612739,Ira Newble,Ira Newble,1956,CLE,4693.0,78,-15.0,144,147,58,59.0,23.0,291,4.0,7.0,2.0,4.0,,1.0,3.0,6.0,1.0,,7.0,14.0,2.0,3.0,17.0,153,,2.0,4.0,4.0,6.0,3.0,11.0,12.0,2.0,1.0,,2.0,1.0,3.0,1.0,,,1.0,1.0,7.0,5.0,1.0,4.0,,5.0,5.0,10.0,,,1.0,,,,1.0,1.0,,,5.0,6.0,,4.0,,,2.0,,,,,,11.0,58,,0.8571428571428571,1.0,0.5,0.6666666666666666,0.4375,0.6666666666666666,0.4722222222222222,0.5,0.6875,0.125,,,11.046511627906977,1.0,,0.0701754385964912,0.0757575757575757,0.1,0.0746268656716417,0.0694444444444444,,,0.0526315789473684,0.1111111111111111,0.1428571428571428,,,0.4375,0.5714285714285714,0.5714285714285714,0.75,0.0625,,,,0.375,0.5,0.5,1.0,0.0625,,0.6666666666666666,0.5,0.5625,0.46078125,0.4771333333333333,0.4152666666666667,0.1111111111111111,0.125,0.2352941176470588,0.6470588235294118,8.235714285714286,24.35,0.4027777777777778,,,,0.1176470588235294,1.0,2.0,,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,0.0857142857142857,0.0625,,,,,,,0.6666666666666666,0.5,,,,,,,,2.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2036,1610612739,Chris Mihm,Chris Mihm,2036,CLE,23505.0,392,6.0,730,744,194,224.0,104.0,1474,34.0,58.0,8.0,15.0,14.0,32.0,11.0,37.0,,,59.0,127.0,,34.0,152.0,709,,11.0,49.0,13.0,29.0,6.0,32.0,72.0,46.0,,13.0,7.0,3.0,10.0,3.0,,6.0,1.0,,23.0,44.0,14.0,66.0,13.0,93.0,47.0,140.0,9.0,4.0,12.0,,8.0,13.0,4.0,25.0,3.0,4.0,27.0,58.0,7.0,48.0,2.0,,24.0,1.0,21.0,1.0,22.0,17.0,32.0,194,6.0,0.6101694915254238,0.8,0.4645669291338583,0.4482758620689655,0.4645669291338583,0.4482758620689655,0.5066666666666667,0.5568181818181818,0.4848484848484848,,0.1023622047244094,0.1551724137931034,20.348837209302328,0.48,0.4482758620689655,0.203076923076923,0.1366459627329192,0.2121212121212121,0.2046035805626598,0.1243093922651933,0.1012658227848101,0.1962616822429906,0.1770833333333333,0.2295081967213114,0.1951219512195122,0.24,0.7727272727272727,0.4566929133858268,0.5862068965517241,0.6938775510204082,0.4705882352941176,0.2519685039370078,0.4375,0.5,0.7142857142857143,0.2913385826771653,0.2972972972972973,0.2972972972972973,0.9090909090909092,,,0.5172413793103449,0.5333333333333333,0.4566929133858268,0.494979527559055,0.5910888888888889,0.5105241379310346,0.1610738255033557,0.1610738255033557,0.3223684210526316,0.2105263157894736,7.307874015748032,,0.2657534246575342,5.0,18.0,2.0,0.2346938775510204,18.0,34.0,,,,,,,,,,19.0,37.0,,,,,,,,5.0,,,1.0,1.0,,,,,,0.5135135135135135,0.5135135135135135,0.125,,0.0896551724137931,,,,,,,,0.918918918918919,0.5294117647058824,,,,,,,,28.0,1.0,2.0,4.0,2.0,1.0,3.0,0.074074074074074,0.025,0.0384615384615384,0.0727272727272727,0.1111111111111111,,,,,True,,,,,,,,,,,,
2032,1610612739,Darius Miles,Darius Miles,2032,CLE,12174.0,203,-9.0,375,380,73,96.0,50.0,755,17.0,34.0,3.0,7.0,3.0,9.0,9.0,22.0,2.0,,29.0,65.0,6.0,11.0,72.0,358,,,8.0,5.0,13.0,3.0,13.0,38.0,20.0,2.0,4.0,17.0,1.0,18.0,,1.0,9.0,3.0,5.0,37.0,7.0,2.0,14.0,1.0,17.0,8.0,25.0,8.0,5.0,7.0,4.0,6.0,6.0,1.0,13.0,1.0,1.0,12.0,19.0,,16.0,2.0,,8.0,1.0,4.0,1.0,4.0,2.0,13.0,73,3.0,0.6551724137931034,0.7037037037037037,0.4461538461538462,0.3846153846153846,0.4295774647887324,0.2941176470588235,0.4615384615384615,0.4,0.3421052631578947,0.0845070422535211,0.0615384615384615,0.088235294117647,20.728929384965834,0.5384615384615384,0.0666666666666666,0.0804597701149425,0.0411764705882352,0.0666666666666666,0.0784313725490196,0.0425531914893617,0.0277777777777777,0.0508474576271186,0.125,0.0746268656716417,0.0952380952380952,,0.5,0.4788732394366197,0.5,0.5483870967741935,0.7058823529411765,0.1267605633802817,0.3333333333333333,0.375,,0.3098591549295774,0.4090909090909091,0.4090909090909091,0.7777777777777778,0.028169014084507,,0.4117647058823529,0.4285714285714285,0.5633802816901409,0.492343661971831,0.4904333333333334,0.477720588235294,0.1038961038961039,0.1126760563380281,0.1111111111111111,0.1805555555555555,7.529230769230768,24.166666666666668,0.1946666666666666,1.0,3.0,,0.0714285714285714,3.0,6.0,1.0,4.0,,2.0,,,,2.0,1.0,4.0,10.0,,,4.0,3.0,,,,3.0,1.0,,,,1.0,0.1666666666666666,,,0.1666666666666666,0.4,0.4,0.1111111111111111,,0.0256410256410256,0.056338028169014,0.25,0.25,1.0,,,,0.6,0.5,,,0.1176470588235294,,0.1176470588235294,,,4.0,1.0,,3.0,1.0,,,,0.0555555555555555,0.0833333333333333,0.0833333333333333,0.3333333333333333,,,,,True,,,,,,,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,16603.0,277,-2.0,530,535,160,195.0,76.0,1065,24.0,43.0,10.0,11.0,7.0,18.0,11.0,37.0,13.0,1.0,42.0,98.0,17.0,41.0,140.0,513,1.0,,15.0,18.0,27.0,15.0,54.0,40.0,44.0,13.0,7.0,31.0,3.0,34.0,1.0,2.0,13.0,9.0,9.0,71.0,11.0,8.0,31.0,2.0,41.0,11.0,52.0,4.0,4.0,9.0,4.0,6.0,12.0,3.0,21.0,1.0,2.0,6.0,16.0,2.0,53.0,5.0,,24.0,5.0,7.0,1.0,7.0,4.0,54.0,160,2.0,0.4761904761904761,0.5263157894736842,0.4285714285714285,0.6666666666666666,0.4304347826086956,0.609375,0.5035971223021583,0.6818181818181818,0.6585365853658537,0.1478260869565217,0.0714285714285714,0.1162790697674418,25.68218298555377,0.4285714285714285,0.0833333333333333,0.1371681415929203,0.0476190476190476,0.16,0.1413043478260869,0.0415094339622641,0.0178571428571428,0.136986301369863,0.1111111111111111,0.1604938271604938,0.1935483870967742,0.1052631578947368,0.5714285714285714,0.3739130434782609,0.5581395348837209,0.631578947368421,0.5,0.1565217391304348,0.3888888888888889,0.4375,0.2857142857142857,0.3217391304347826,0.2972972972972973,0.2972972972972973,0.5454545454545454,0.1130434782608695,0.0909090909090909,0.34375,0.9090909090909092,0.5217391304347826,0.4984291304347826,0.5371409090909091,0.5147859375,0.1791044776119403,0.2051282051282051,0.1071428571428571,0.3857142857142857,9.222448979591835,25.03529411764706,0.3018867924528302,1.0,2.0,4.0,0.0909090909090909,5.0,8.0,,4.0,,1.0,5.0,1.0,1.0,4.0,5.0,6.0,10.0,1.0,1.0,5.0,12.0,3.0,,5.0,,,1.0,,,0.8,0.2941176470588235,1.0,0.2,0.2941176470588235,0.6,0.6818181818181818,0.1111111111111111,,0.036697247706422,0.0347826086956521,,,,0.3846153846153846,0.3846153846153846,0.8,0.7272727272727273,0.625,1.0,1.0,0.03125,,0.125,0.25,0.3846153846153846,8.0,,,2.0,3.0,,,,,,0.0338983050847457,,,,,,True,,,,,,,,,,,,
2574,1610612739,Jason Kapono,Jason Kapono,2574,CLE,5134.0,86,3.0,162,164,35,48.0,22.0,326,2.0,3.0,,,,4.0,4.0,12.0,8.0,,6.0,19.0,11.0,4.0,43.0,162,,,,,2.0,,15.0,12.0,,8.0,,4.0,,4.0,,,1.0,2.0,1.0,8.0,3.0,1.0,1.0,,2.0,4.0,6.0,3.0,1.0,2.0,,1.0,1.0,1.0,3.0,,1.0,5.0,10.0,1.0,4.0,,,2.0,,1.0,,1.0,,15.0,35,,1.0,1.0,0.3157894736842105,,0.65,0.9375,0.671875,,0.9375,0.3666666666666666,,,18.51851851851852,0.6666666666666666,,0.0135135135135135,0.0441176470588235,0.0769230769230769,0.0229885057471264,0.0526315789473684,0.0714285714285714,,0.0526315789473684,,0.1111111111111111,,,0.1,0.6666666666666666,0.6666666666666666,1.0,0.1333333333333333,,,,0.4,0.3333333333333333,0.3333333333333333,1.0,0.2666666666666666,,,,0.4666666666666667,0.4897362068965517,0.5017499999999999,0.4972285714285714,0.0625,0.0952380952380952,,0.3488372093023256,14.052631578947368,25.6,0.2160493827160493,1.0,1.0,,,,1.0,3.0,3.0,1.0,1.0,6.0,,4.0,5.0,9.0,,2.0,,5.0,6.0,24.0,3.0,,6.0,2.0,,,,,0.8888888888888888,0.8181818181818182,,0.8333333333333334,0.8181818181818182,,,,,0.04,0.1,1.0,1.0,1.0,0.75,0.75,0.8333333333333334,0.5,,,,0.125,1.0,0.625,0.8,0.75,,1.0,,2.0,,,,,0.125,0.1428571428571428,0.1333333333333333,,,,,,True,,,,,,,,,,,,
1743,1610612739,Bruno Sundov,Bruno Sundov,1743,CLE,602.0,10,,17,17,5,1.0,5.0,34,,3.0,,1.0,,1.0,1.0,2.0,,,1.0,6.0,,,2.0,10,,,,,1.0,,,2.0,,,,,,,,,,,,,2.0,2.0,1.0,1.0,4.0,2.0,6.0,,,1.0,,,1.0,1.0,2.0,,1.0,,3.0,1.0,,,,,,,,,,,5,1.0,1.0,1.0,0.1666666666666666,,0.1666666666666666,,0.1666666666666666,,,,,,32.0,0.5,1.0,0.125,0.1428571428571428,0.4,0.2307692307692307,0.1333333333333333,0.5,0.3333333333333333,,,0.5,,,0.5,,,,0.1666666666666666,,,,0.3333333333333333,0.5,0.5,1.0,,,1.0,,0.5,0.4921166666666667,0.58375,0.5892,,,,,7.183333333333334,,0.2941176470588235,,,,0.125,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2205,1610612739,DeSagana Diop,DeSagana Diop,2205,CLE,5916.0,99,19.0,173,179,51,39.0,21.0,352,2.0,4.0,1.0,2.0,1.0,3.0,4.0,11.0,,,7.0,18.0,,2.0,16.0,163,,,,5.0,9.0,,10.0,12.0,2.0,,2.0,4.0,1.0,5.0,1.0,,3.0,1.0,,11.0,5.0,,18.0,1.0,19.0,5.0,24.0,6.0,4.0,2.0,,1.0,,1.0,2.0,,,9.0,13.0,,2.0,,,1.0,,5.0,2.0,6.0,5.0,10.0,51,,0.8571428571428571,0.8571428571428571,0.3888888888888889,0.5555555555555556,0.3888888888888889,0.5555555555555556,0.4210526315789473,,0.5555555555555556,,0.1111111111111111,,10.552763819095478,1.0,0.2,0.2571428571428571,0.0675675675675675,,0.2117647058823529,0.0588235294117647,0.0769230769230769,0.6,0.2727272727272727,0.0909090909090909,,,0.8333333333333334,0.2222222222222222,0.5,0.5,1.0,0.1666666666666666,0.3333333333333333,0.5,1.0,0.6111111111111112,0.3636363636363636,0.4,0.75,,,0.2222222222222222,0.5,0.2222222222222222,0.4251055555555555,0.4921333333333333,0.4262888888888889,0.0526315789473684,0.0526315789473684,,0.625,11.633333333333333,,0.2947976878612717,,1.0,2.0,0.0555555555555555,,2.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,1.0,1.0,,,,,,,,0.3333333333333333,0.0909090909090909,0.0697674418604651,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,
