EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,HeaveAttempts,NonHeaveArc3FGM,Corner3Assists,ShortMidRangeAssists,Travels,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,FTOffRebounds,Loose Ball Fouls,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,OffFTReboundPct,HeaveMakes,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,Fg3aBlocked,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,3SecondViolations,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked
1751,1610612756,Jahidi White,Jahidi White,1751,PHX,1652.0,28,7.0,50,49,5.0,4.0,9.0,99,2.0,5.0,1.0,3.0,1.0,2.0,6,4.0,8.0,42,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,7.0,2.0,6.0,8.0,4.0,5.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.5,0.3333333333333333,0.2,1.0,16.129032258064516,0.2352941176470588,0.12,0.1666666666666666,0.1,0.1,0.2222222222222222,0.2857142857142857,0.2857142857142857,0.8333333333333334,0.4,0.5,0.5,0.1666666666666666,1.0,0.3333333333333333,0.8333333333333334,0.4916166666666667,0.5254333333333333,0.4,0.4,0.5,1.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,11891.0,198,1.0,366,375,45.0,65.0,45.0,741,16.0,29.0,4.0,7.0,25.0,42.0,78,10.0,106.0,400,6.0,12.0,2.0,17.0,50.0,34.0,10.0,2.0,12.0,18.0,28.0,13.0,41.0,5.0,8.0,10.0,5.0,45.0,0.5952380952380952,0.6756756756756757,0.5384615384615384,0.5,0.5052631578947369,0.5357142857142857,0.5303030303030303,0.5666666666666667,0.0256410256410256,0.0344827586206896,,25.471698113207545,0.1353383458646616,0.0774193548387096,0.1508379888268156,0.0710382513661202,0.1555555555555555,0.04,0.1388888888888889,0.15,0.3052631578947368,0.5517241379310345,0.5714285714285714,0.6875,0.2631578947368421,0.5,0.5714285714285714,0.4842105263157895,0.4897157894736842,0.4965857142857142,0.0505050505050505,0.0609756097560975,0.160377358490566,8.641025641025639,0.1229508196721311,1.0,3.0,15.0,11.0,24.0,4.0,14.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,17.0,1.0,2.0,4.0,7.0,1.0,3.0,2.0,13.0,12.0,3.0,7.0,1.0,8.0,1.0,2.0,5.0,17.0,1.0,9.0,1.0,4.0,9.0,5.0,4.0,5.0,1.0,3.0,4.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,9.0,3.0,3.0,3.0,9.0,5.0,1.0,13.0,1.0,1.0,0.2352941176470588,0.5,0.3333333333333333,0.2352941176470588,0.5714285714285714,0.55,0.5909090909090909,0.1789473684210526,0.0416666666666666,0.5555555555555556,0.2,0.1956521739130435,0.0357142857142857,0.0571428571428571,0.0666666666666666,0.1081081081081081,0.1666666666666666,0.3,0.0869565217391304,0.5555555555555556,0.6,0.6,0.4666666666666667,0.2526315789473684,0.4583333333333333,0.4782608695652174,0.6363636363636364,0.1473684210526315,0.2857142857142857,0.2857142857142857,1.0,0.031578947368421,0.1428571428571428,0.5,1.0,0.3,0.3333333333333333,0.2,0.5,0.1,0.513385,0.1226415094339622,23.88235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2207,1610612756,Joe Johnson,Joe Johnson,2207,PHX,12556.0,209,-4.0,393,395,52.0,76.0,43.0,788,6.0,11.0,1.0,1.0,15.0,22.0,51,8.0,67.0,414,1.0,3.0,,2.0,18.0,26.0,2.0,5.0,,7.0,10.0,1.0,11.0,3.0,10.0,9.0,5.0,52.0,0.4090909090909091,0.4285714285714285,0.4313725490196078,0.3333333333333333,0.4609375,0.25,0.5,0.25,0.0980392156862745,0.2727272727272727,0.0666666666666666,17.449664429530202,0.0492957746478873,,0.0486486486486486,0.0052910052910052,,,0.05,0.0153846153846153,0.171875,0.5454545454545454,0.75,0.1666666666666666,0.234375,0.25,1.0,0.375,0.457452380952381,0.4082833333333333,0.0746268656716417,0.0925925925925925,0.0298507462686567,11.74313725490196,0.1323155216284987,,1.0,7.0,9.0,25.0,2.0,6.0,,,,,7.0,2.0,5.0,13.0,,1.0,1.0,5.0,1.0,2.0,2.0,7.0,15.0,6.0,14.0,4.0,18.0,2.0,2.0,8.0,40.0,1.0,2.0,1.0,,6.0,4.0,2.0,6.0,1.0,4.0,5.0,1.0,2.0,11.0,,2.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,,7.0,2.0,1.0,0.3846153846153846,,0.5,0.4166666666666667,0.2,0.3571428571428571,0.4375,0.203125,0.04,0.5454545454545454,0.2,0.0465116279069767,0.037037037037037,,,0.1081081081081081,0.032258064516129,0.0833333333333333,,1.0,0.4666666666666667,0.5,,0.390625,0.36,0.375,0.8888888888888888,0.09375,0.3333333333333333,0.3333333333333333,1.0,0.109375,,,,0.1428571428571428,,,,0.2857142857142857,0.3954928571428571,0.1044776119402985,26.753846153846155,3.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,0.0909090909090909,0.4285714285714285,0.4285714285714285,1.0,0.25,0.5,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,
281,1610612756,Scott Williams,Scott Williams,281,PHX,16215.0,270,7.0,508,512,69.0,101.0,55.0,1020,11.0,26.0,3.0,11.0,18.0,51.0,99,9.0,117.0,528,5.0,18.0,,10.0,82.0,20.0,6.0,8.0,18.0,39.0,49.0,23.0,72.0,24.0,45.0,13.0,6.0,69.0,0.803921568627451,0.8541666666666666,0.5151515151515151,0.2777777777777778,0.5346534653465347,0.2777777777777778,0.5467289719626168,0.2777777777777778,0.0808080808080808,0.1923076923076923,0.1666666666666666,19.55017301038062,0.2074468085106383,0.0861244019138756,0.1910569105691057,0.0809716599190283,0.087719298245614,0.0970873786407767,0.196078431372549,0.2247191011235955,0.2574257425742574,0.4230769230769231,0.5238095238095238,0.6363636363636364,0.1782178217821782,0.6111111111111112,0.2727272727272727,0.2772277227722772,0.45140099009901,0.5024062499999999,0.0566037735849056,0.0576923076923076,0.0854700854700854,11.335353535353535,0.1358267716535433,1.0,3.0,7.0,33.0,55.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,3.0,10.0,2.0,2.0,2.0,14.0,3.0,1.0,6.0,,6.0,,3.0,2.0,12.0,2.0,8.0,2.0,2.0,15.0,11.0,4.0,4.0,,1.0,2.0,,3.0,6.0,1.0,,2.0,1.0,,7.0,4.0,,3.0,7.0,5.0,,14.0,3.0,0.5,1.0,,1.0,1.0,0.3,0.5,0.5384615384615384,0.0198019801980198,,0.6666666666666666,0.25,0.1379310344827586,0.0526315789473684,0.0612244897959183,0.0454545454545454,0.1875,0.1136363636363636,0.2142857142857142,0.0512820512820512,0.7142857142857143,0.3888888888888889,0.4666666666666667,0.8571428571428571,0.5445544554455446,0.6,0.6,0.8484848484848485,0.0099009900990099,1.0,1.0,1.0,0.0099009900990099,,,,0.25,0.3333333333333333,0.0833333333333333,1.0,0.0833333333333333,0.4457583333333333,0.1196581196581196,24.1,1.0,,1.0,,1.0,,1.0,,0.0625,1.0,1.0,,,1.0,1.0,3.0,3.0,4.0,1.0,1.0,0.2307692307692307,,,,,,,True,,,,,,,,,,,,,
950,1610612756,Stephon Marbury,Stephon Marbury,950,PHX,14926.0,249,13.0,468,470,60.0,94.0,51.0,938,15.0,25.0,,1.0,6.0,30.0,65,30.0,99.0,493,4.0,6.0,4.0,12.0,12.0,48.0,,1.0,2.0,11.0,17.0,2.0,19.0,2.0,4.0,39.0,14.0,60.0,0.2,0.2,0.4615384615384615,0.6666666666666666,0.4539473684210526,0.5,0.5212765957446809,0.6,0.0153846153846153,0.04,,21.16104868913858,0.0621468926553672,0.0105820105820105,0.0732758620689655,0.0089285714285714,0.0192307692307692,,0.0416666666666666,0.0853658536585365,0.3289473684210526,0.6,0.625,0.2,0.0789473684210526,0.125,,0.4736842105263157,0.4982786666666666,0.4468625,0.1648351648351648,0.1772151898734177,0.1212121212121212,10.793846153846154,0.1282051282051282,4.0,4.0,2.0,13.0,34.0,,,,,,,11.0,3.0,3.0,11.0,,2.0,5.0,7.0,1.0,3.0,10.0,23.0,3.0,9.0,58.0,9.0,67.0,2.0,15.0,37.0,143.0,,6.0,,,14.0,8.0,6.0,16.0,3.0,13.0,3.0,,3.0,19.0,,1.0,,,2.0,2.0,,1.0,1.0,2.0,,,23.0,1.0,0.3333333333333333,0.2727272727272727,,0.3333333333333333,0.2,0.7142857142857143,0.65,0.71875,0.1447368421052631,,0.8421052631578947,,0.109090909090909,,0.0227272727272727,,0.0425531914893617,0.0952380952380952,0.1538461538461538,,,0.3333333333333333,0.3333333333333333,0.5,0.4473684210526316,0.3823529411764705,0.3823529411764705,0.1538461538461538,,,,,0.1447368421052631,,,,0.4,1.0,,,0.3,0.5566277777777778,0.2323232323232323,27.3,3.0,2.0,1.0,1.0,2.0,7.0,6.0,,,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.25,0.3333333333333333,0.2222222222222222,6.0,,,3.0,1.0,,1.0,1.0,0.0833333333333333,,,,True,,,,,,,,,,,,,
2418,1610612756,Casey Jacobsen,Casey Jacobsen,2418,PHX,4102.0,68,8.0,129,130,34.0,37.0,11.0,259,2.0,3.0,1.0,1.0,,2.0,7,9.0,25.0,126,1.0,1.0,,5.0,,4.0,2.0,,1.0,8.0,10.0,2.0,12.0,2.0,4.0,10.0,4.0,34.0,,,0.2857142857142857,1.0,0.5333333333333333,1.25,0.625,1.25,,,,15.172413793103448,0.1568627450980392,0.0185185185185185,0.15625,0.0303030303030303,,,0.25,0.12,0.2,0.6666666666666666,0.6666666666666666,,,0.5,1.0,0.7333333333333333,0.47622,0.5767,0.2105263157894736,0.3636363636363636,0.2,10.44285714285714,0.2635658914728682,2.0,2.0,,,4.0,2.0,2.0,,,,,6.0,3.0,4.0,8.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,12.0,12.0,6.0,3.0,,3.0,,1.0,1.0,6.0,1.0,2.0,,,3.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,12.0,,1.0,0.5,1.0,0.3333333333333333,0.5,0.5,0.5,0.6,0.5333333333333333,,0.5,,0.1538461538461538,0.0833333333333333,0.0625,0.1,0.1,0.2,,,,,,,0.2666666666666666,,,,0.1333333333333333,1.0,1.0,1.0,0.4,,,,0.2857142857142857,1.0,,,0.4285714285714285,0.4430642857142857,0.48,24.6125,2.0,1.0,1.0,,2.0,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,
358,1610612756,Anfernee Hardaway,Anfernee Hardaway,358,PHX,6834.0,114,-18.0,221,221,32.0,57.0,23.0,442,5.0,6.0,1.0,1.0,3.0,13.0,30,3.0,29.0,233,1.0,3.0,,2.0,12.0,14.0,2.0,2.0,3.0,3.0,7.0,3.0,10.0,1.0,6.0,3.0,2.0,32.0,0.4615384615384615,0.5,0.4333333333333333,0.3333333333333333,0.3823529411764705,0.25,0.4117647058823529,0.25,0.0666666666666666,0.1666666666666666,0.3333333333333333,18.072289156626503,0.0384615384615384,0.031578947368421,0.0714285714285714,0.0267857142857142,,0.0416666666666666,0.0526315789473684,0.0256410256410256,0.1764705882352941,0.8333333333333334,1.0,0.2,0.088235294117647,0.25,1.0,0.2941176470588235,0.4518720588235294,0.4821625,0.0588235294117647,0.0666666666666666,0.0689655172413793,13.946666666666664,0.1447963800904977,1.0,1.0,,8.0,21.0,,2.0,,,,,2.0,,,4.0,,1.0,4.0,6.0,,,1.0,9.0,,2.0,15.0,3.0,18.0,2.0,6.0,5.0,39.0,,4.0,,2.0,3.0,2.0,1.0,3.0,6.0,3.0,8.0,1.0,,11.0,1.0,3.0,,2.0,1.0,,,,,,,,9.0,2.0,,,,,,0.6666666666666666,0.6666666666666666,0.75,0.1176470588235294,,0.2727272727272727,,0.2,,0.0454545454545454,,0.05,0.2,0.2,0.1052631578947368,,,,,0.6176470588235294,0.3809523809523809,0.3809523809523809,0.625,0.0588235294117647,,,,0.0588235294117647,,,,0.1666666666666666,1.0,,,,0.4109,0.3103448275862069,24.525,,1.0,,,,1.0,4.0,1.0,,,,,0.25,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,1249.0,21,12.0,46,45,6.0,3.0,3.0,91,2.0,2.0,,,1.0,2.0,4,,10.0,35,,,,,2.0,2.0,,,,1.0,1.0,,1.0,,,,,6.0,0.5,0.5,0.5,,0.7142857142857143,,0.7142857142857143,,,,,22.916666666666668,0.0666666666666666,,0.0526315789473684,,,,,0.0909090909090909,0.2857142857142857,1.0,1.0,0.5,0.1428571428571428,,,0.7142857142857143,0.5765142857142858,,,,,7.4,0.1304347826086956,,,,,1.0,1.0,1.0,,,,,2.0,,2.0,3.0,,,,,,,,,6.0,2.0,,,,,,,,,,,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,,,4.0,,,,,,,,,,,,,,,1.0,0.6666666666666666,,,0.6666666666666666,,,,0.4285714285714285,,0.5,,,,,,,,,,,,,,0.1428571428571428,,,,0.1428571428571428,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,,24.133333333333336,1.0,,,,1.0,,,,,0.5,0.5,1.0,,,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,
2063,1610612756,Jake Voskuhl,Jake Voskuhl,2063,PHX,1984.0,33,,61,62,14.0,,6.0,123,1.0,5.0,,2.0,,1.0,5,,2.0,68,,2.0,,,2.0,,,2.0,3.0,2.0,3.0,3.0,6.0,3.0,5.0,,,14.0,1.0,1.0,0.2,,0.2,,0.2,,0.4,0.4,,7.246376811594203,0.1,0.1111111111111111,0.1111111111111111,0.1034482758620689,0.1666666666666666,0.0666666666666666,0.1428571428571428,,1.0,0.2,0.3333333333333333,1.0,,1.0,,1.0,0.61388,0.5963,,,,,0.2295081967213114,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,0.1428571428571428,,0.1666666666666666,,0.25,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,
2405,1610612756,Amar'e Stoudemire,Amar'e Stoudemire,2405,PHX,6186.0,103,-9.0,189,189,15.0,26.0,15.0,378,12.0,16.0,2.0,3.0,12.0,18.0,37,8.0,44.0,198,3.0,4.0,2.0,8.0,22.0,14.0,4.0,3.0,4.0,9.0,14.0,5.0,19.0,5.0,7.0,13.0,6.0,15.0,0.6111111111111112,0.6875,0.4864864864864865,0.75,0.4864864864864865,0.75,0.5116279069767442,0.8,0.081081081081081,0.0625,0.0833333333333333,22.058823529411764,0.125,0.0606060606060606,0.1354166666666666,0.0512820512820512,0.1333333333333333,0.054054054054054,0.0952380952380952,0.1612903225806451,0.4324324324324324,0.75,0.8,0.5833333333333334,0.3243243243243243,0.75,0.6666666666666666,0.4324324324324324,0.4837432432432433,0.5164,0.1428571428571428,0.1428571428571428,0.1818181818181818,7.191891891891893,0.0793650793650793,1.0,1.0,3.0,3.0,9.0,,,,,,,,,,,,,1.0,1.0,,,1.0,3.0,,,7.0,,7.0,,4.0,3.0,14.0,,4.0,1.0,,2.0,2.0,,,,,2.0,,,2.0,,,1.0,1.0,,4.0,3.0,,1.0,4.0,3.0,,3.0,,,,,,,1.0,1.0,0.75,,0.1111111111111111,,0.5,0.1666666666666666,,,,0.1,0.1428571428571428,0.3333333333333333,,0.75,0.25,0.2727272727272727,0.3333333333333333,0.2432432432432432,0.3333333333333333,0.375,1.0,,,,,,,,,1.0,1.0,,,,0.5683,0.0681818181818181,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,0.3333333333333333,,,,,,,True,,,,,,,,,,,,,
