EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,PtsAssisted2s,AtRimAssists,FTA,Technical Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,Arc3FGA,FG3A,NonHeaveArc3FGA,FG3APct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,BadPassSteals,ShootingFouls,AtRimFGM,AtRimFGA,PtsUnassisted2s,FTDefRebounds,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyArc3FGA,PenaltyFG3A,ShortMidRangeAssists,PenaltyArc3Frequency,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3Assists,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Clear Path Fouls,HeaveMakes,3pt And 1 Free Throw Trips
178,1610612746,Olden Polynice,Olden Polynice,178,LAC,660.0,11,1.0,21,22,3.0,12.0,1.0,43,16,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,18.181818181818183,0.5,0.125,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.25,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,503.0,8,3.0,16,16,3.0,12.0,1.0,32,10,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,3.0,,23.52941176470588,,0.14285714285714285,,0.125,,,,0.1875,1.0,2.0,1.0,2.0,2.0,4.0,2.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.625,0.25,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.38585,13.725000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,314.0,5,4.0,10,11,,7.0,,21,4,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,0.44411666666666666,12.7,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,471.0,8,2.0,15,17,,7.0,,32,10,,,,,,3.0,3.0,,3.0,2.0,1.0,2.0,,,,2.0,2.0,,1.0,,,20.0,1.0,0.42857142857142855,,0.375,,,,,,,1.0,1.0,1.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,0.6,,,,,1.0,1.0,1.0,1.0,0.3975,20.3,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,1610612746,Chris Kaman,Chris Kaman,2549,LAC,509.0,8,,17,19,,9.0,1.0,36,12,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,,11.11111111111111,1.0,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.555,,,,,,,1.0,,,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,189.0,3,-1.0,6,5,3.0,5.0,1.0,11,6,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,3.0,1.0,14.285714285714285,,1.0,,1.0,,,,0.5,,,,,1.0,1.0,1.0,3.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,0.5189,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.5189,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,1610612746,Melvin Ely,Melvin Ely,2408,LAC,151.0,3,1.0,4,3,3.0,3.0,,7,4,,,,,,,,,,,,,,,,,,,,3.0,,25.0,,,,,,,,0.75,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.3657,9.1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3657,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1610612746,Doug Overton,Doug Overton,77,LAC,189.0,3,-1.0,6,5,3.0,5.0,1.0,11,6,1.0,1.0,,2.0,,,,,,,,,,,,,,,,3.0,,28.57142857142857,,,,,,,,0.5,,1.0,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,0.354875,12.6,1.0,1.0,1.0,0.5,0.5,0.5,25.3,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.354875,,,,1.0,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,157.0,3,-2.0,5,6,,,,11,6,,,,,,,,,,1.0,1.0,,,,,,,,,,,60.0,,,,,,,,,,,,1.0,2.0,3.0,,4.0,2.0,,,,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,0.3333333333333333,,,,0.4965,6.833333333333333,,,,,,0.6666666666666666,,,,2.0,2.0,2.0,,,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,1610612746,Eddie House,Eddie House,2067,LAC,157.0,3,-2.0,5,6,,,,11,6,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
