EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,DeadBallTurnovers,LostBallTurnovers,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShortMidRangePctBlocked,AtRimPctAssisted,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,BlocksRecoveredPct,Corner3FGA,PenaltyCorner3FGA,LongMidRangeAssists,Corner3Frequency,PenaltyCorner3Frequency,Blocked2s,BlockedAtRim,on,PtsAssisted3s,OffThreePtRebounds,SelfOReb,BadPassSteals,Technical Free Throw Trips,Assisted3sPct,AtRimPctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,Arc3PctAssisted,Corner3FGM,SecondChanceFtPoints,HeaveAttempts,ThreePtAssists,Arc3Assists,FTDefRebounds,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,Corner3Assists,FTOffRebounds,Loose Ball Fouls,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedCorner3
1507,1610612757,Derek Anderson,Derek Anderson,1507,POR,380.0,6,-8.0,12,11,4.0,3.0,1.0,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.5,0.5,0.5,15.384615384615383,0.5,1.0,1.0,0.5,1.0,1.0,0.5317000000000001,0.4494,25.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,1610612757,Qyntel Woods,Qyntel Woods,2417,POR,480.0,8,-13.0,21,20,15.0,17.0,2.0,41,1.0,1.0,,,1.0,1.0,,2.0,24.0,,2.0,,,,,,15.0,1.0,1.0,1.0,,9.090909090909092,1.0,1.0,1.0,,,1.0,0.7358,0.7358,,0.7142857142857143,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.4,0.5,0.42857142857142855,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,1610612757,Travis Outlaw,Travis Outlaw,2566,POR,1123.0,19,-22.0,39,41,20.0,26.0,3.0,80,2.0,2.0,,,3.0,7.0,,8.0,47.0,,4.0,,1.0,1.0,,2.0,20.0,0.42857142857142855,0.42857142857142855,0.4444444444444444,,23.80952380952381,0.2857142857142857,1.0,1.0,,,0.2857142857142857,0.4539714285714286,0.5112666666666666,,0.5128205128205128,1.0,1.0,1.0,3.0,4.0,,2.0,2.0,4.0,1.0,1.0,1.0,,1.0,4.0,0.3333333333333333,0.3333333333333333,0.4,1.0,0.15384615384615385,,0.125,0.5,0.1111111111111111,,0.3333333333333333,1.0,0.5,10.87142857142857,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.14285714285714285,0.25,0.13333333333333333,0.1111111111111111,0.3333333333333333,0.25,0.14285714285714285,0.5714285714285714,0.25,0.3333333333333333,1.0,1.0,1.0,0.6241,0.125,0.125,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,1610612757,Rasheed Wallace,Rasheed Wallace,739,POR,80.0,1,-4.0,4,3,4.0,3.0,,7,,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,1610612757,Dale Davis,Dale Davis,905,POR,533.0,9,-10.0,16,16,5.0,4.0,1.0,32,,,,,,2.0,,,21.0,,,,,,,,5.0,,,,,11.11111111111111,,,,,,,0.3889,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,1610612757,Dan Dickau,Dan Dickau,2424,POR,388.0,6,-6.0,11,12,1.0,1.0,1.0,23,,,3.0,,,,3.0,3.0,17.0,,,3.0,,,,,1.0,,0.5,0.5,1.0,41.66666666666667,,,,1.0,,1.0,0.591,,24.366666666666664,0.09090909090909091,,,,,,,,,,1.0,,2.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1610612757,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,POR,453.0,8,-6.0,12,13,1.0,1.0,1.0,25,,1.0,,,1.0,2.0,,2.0,17.0,,,,,,,,1.0,0.5,0.5,0.5,,21.428571428571427,0.5,,,,,0.5,0.35665,,,0.08333333333333333,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,4.15,,,1.0,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,1610612757,Vladimir Stepania,Vladimir Stepania,1735,POR,389.0,6,-9.0,16,17,10.0,17.0,1.0,33,1.0,1.0,,,1.0,2.0,,2.0,17.0,,,,,,,,10.0,0.5,0.5,0.5,,12.5,0.5,1.0,1.0,,,0.5,0.5036,0.4294,,0.625,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,1610612757,Darius Miles,Darius Miles,2032,POR,190.0,3,-4.0,9,9,5.0,9.0,1.0,18,,1.0,,,,2.0,,,9.0,,,,,,,,5.0,,,,,33.333333333333336,0.5,,,,,0.5,0.5005,0.6171,,0.5555555555555556,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,10.55,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,1610612757,Zach Randolph,Zach Randolph,2216,POR,297.0,5,-4.0,11,13,5.0,13.0,1.0,24,,,,,2.0,3.0,,4.0,11.0,,2.0,,,,,,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,27.272727272727273,,,,,,,0.3628,0.3635,,0.45454545454545453,,,1.0,1.0,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,0.5,13.299999999999999,,,1.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,,0.5,0.5,,,,,,,,,,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,1610612757,Matt Carroll,Matt Carroll,2679,POR,400.0,7,-8.0,14,16,10.0,13.0,1.0,30,,,,,,1.0,1.0,2.0,17.0,1.0,,,1.0,1.0,,2.0,10.0,,,0.3333333333333333,0.5,26.666666666666668,,,,,,0.5,0.463375,0.463375,23.2,0.7142857142857143,,,,1.0,2.0,,,,,1.0,1.0,1.0,,,2.0,,,0.3333333333333333,1.0,,,,,,,,,1.0,14.2,,,,,1.0,2.0,,,,2.0,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,1610612757,Jeff McInnis,Jeff McInnis,976,POR,214.0,4,-5.0,7,9,5.0,9.0,,16,,,,,,1.0,,,8.0,,,,,,,,5.0,,,,,14.285714285714285,,,,,,,0.4,,,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,1610612757,Ruben Boumtje-Boumtje,Ruben Boumtje-Boumtje,2257,POR,365.0,6,-8.0,14,14,10.0,11.0,1.0,28,,1.0,,,,2.0,,,17.0,,,,,,,,10.0,,,,,13.333333333333334,0.5,,,,,0.5,0.4176,0.4176,,0.7142857142857143,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,0.16666666666666666,,0.16666666666666666,,0.25,,0.5,,,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
