EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Avg3ptShotDistance,2pt And 1 Free Throw Trips,PenaltyArc3FGA,Technical Free Throw Trips,PenaltyArc3Frequency,NonShootingPenaltyNonTakeFouls,Arc3FGM,NonHeaveArc3FGM,SecondChanceTurnovers,BlockedShortMidRange,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,Loose Ball Fouls,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3FGM,LostBallOutOfBoundsTurnovers,Travels,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,PenaltyArc3Accuracy,SecondChanceArc3FGM,PtsUnassisted3s,HeaveAttempts,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Corner3PctBlocked
1514,1610612762,Paul Grant,Paul Grant,1514,UTA,5778.0,96,-21.0,181,182,68.0,89,21.0,363,4.0,8.0,1.0,4.0,1.0,1.0,3.0,6.0,4.0,9.0,11.0,23.0,3.0,25.0,178,2.0,6.0,2.0,6.0,2.0,3.0,2.0,6.0,18.0,4.0,2.0,3.0,3.0,1.0,2.0,6.0,7.0,3.0,6.0,1.0,10.0,7.0,17.0,1.0,1.0,4.0,3.0,3.0,1.0,7.0,2.0,14.0,17.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,68.0,0.8181818181818182,0.8181818181818182,0.4782608695652174,0.3333333333333333,0.6666666666666666,0.4782608695652174,0.3333333333333333,0.6666666666666666,0.46296296296296297,0.375,0.6,0.08695652173913043,0.25,16.666666666666668,0.5714285714285714,0.1111111111111111,0.1016949152542373,0.10144927536231885,0.17647058823529413,0.11842105263157894,0.08235294117647059,0.05263157894736842,0.13333333333333333,0.11428571428571428,0.09523809523809523,0.15384615384615385,0.2,0.14285714285714285,1.0,0.34782608695652173,0.5,0.6666666666666666,0.75,0.2608695652173913,0.5,0.5,0.6666666666666666,0.391304347826087,0.4444444444444444,0.4444444444444444,1.0,0.6666666666666666,0.25,0.3333333333333333,1.0,0.34782608695652173,0.45375217391304346,0.51275,0.438,0.11538461538461539,0.11538461538461539,0.24,0.24,8.821739130434782,0.3756906077348066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,983.0,16,-23.0,30,28,17.0,15,9.0,58,,,,,,,,2.0,,,,2.0,,,46,,,,,,,,,,,,2.0,2.0,1.0,1.0,4.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,5.128205128205128,,,0.25,,,0.2,,,,,,0.5,,,,,,,,1.0,,,,,,,,,,,,,0.37275,,,,,,,7.35,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612762,Raja Bell,Raja Bell,1952,UTA,3475.0,58,-14.0,107,110,31.0,44,14.0,217,1.0,4.0,,,,2.0,,5.0,8.0,16.0,9.0,25.0,1.0,22.0,108,,2.0,,3.0,3.0,8.0,,9.0,14.0,4.0,2.0,3.0,5.0,,2.0,12.0,3.0,2.0,5.0,,7.0,3.0,10.0,1.0,,,,4.0,,4.0,1.0,1.0,7.0,3.0,2.0,,1.0,,,,,9.0,31.0,0.7777777777777778,0.7777777777777778,0.36,,0.375,0.35,0.375,0.5,0.3548387096774194,0.375,0.5,0.08,,28.09917355371901,,,0.14285714285714285,0.06818181818181818,0.2,0.15555555555555556,0.05660377358490566,,0.25,,0.08333333333333333,0.125,,0.6666666666666666,,0.13333333333333333,0.25,0.25,1.0,0.16666666666666666,,,,0.5333333333333333,0.5,0.5,0.75,,,0.2222222222222222,,0.3,0.45335166666666665,0.4819625,0.44758888888888887,,,0.13636363636363635,0.4090909090909091,14.436000000000002,0.2897196261682243,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,1.0,0.2,0.16666666666666666,0.4,0.2857142857142857,0.05555555555555555,0.06666666666666667,0.5,0.5,1.0,0.1,0.25,1.0,1.0,0.25,0.1111111111111111,1.0,24.7,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612762,DeShawn Stevenson,DeShawn Stevenson,2052,UTA,1830.0,30,,57,58,22.0,20,4.0,115,2.0,3.0,,,1.0,2.0,1.0,1.0,,4.0,3.0,8.0,2.0,8.0,52,,,,,2.0,5.0,1.0,5.0,6.0,,,3.0,3.0,1.0,2.0,6.0,,,3.0,1.0,4.0,,4.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,5.0,22.0,1.0,1.0,0.375,,0.4,0.375,,0.4,0.4444444444444444,,0.4166666666666667,,,19.672131147540984,0.3333333333333333,0.5,0.1875,,,0.12,,,,,0.2222222222222222,,,,1.0,0.375,0.6666666666666666,0.6666666666666666,1.0,0.125,1.0,1.0,1.0,0.5,,,,,,0.4,0.5,0.375,0.44342499999999996,,0.43393999999999994,0.2222222222222222,0.2222222222222222,,0.625,10.35,0.38596491228070173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612762,Carlos Arroyo,Carlos Arroyo,2306,UTA,1252.0,21,3.0,39,39,30.0,23,4.0,78,1.0,2.0,,,1.0,2.0,,,3.0,6.0,4.0,8.0,4.0,12.0,41,1.0,1.0,,2.0,4.0,7.0,4.0,12.0,2.0,6.0,,4.0,4.0,2.0,1.0,8.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,6.0,1.0,2.0,,,,,12.0,30.0,0.25,0.25,0.5,1.0,0.5714285714285714,0.4,1.0,0.5,0.4583333333333333,1.0,0.55,,,30.232558139534884,1.0,,,0.08333333333333333,0.16666666666666666,0.06666666666666667,0.07142857142857142,0.3333333333333333,,,,,,0.25,,0.2,0.5,0.5,,,,,,0.6,0.5,0.5,0.3333333333333333,,,0.25,0.5,0.4,0.36631,0.2135,0.34285,0.1,0.125,0.16666666666666666,1.0,13.7875,0.7692307692307693,,,,,,,2.0,,,2.0,,,,1.0,,2.0,,,,1.0,1.0,,,,,,,,0.2,,,0.25,,,,,0.2,,,,,,,27.200000000000003,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,1610612762,Raul Lopez,Raul Lopez,2221,UTA,4663.0,78,-24.0,146,148,42.0,71,17.0,294,,4.0,,,,,,,7.0,12.0,7.0,16.0,8.0,22.0,143,,1.0,2.0,2.0,1.0,3.0,4.0,6.0,8.0,6.0,1.0,15.0,15.0,6.0,7.0,30.0,1.0,2.0,4.0,,6.0,1.0,7.0,2.0,1.0,8.0,5.0,2.0,3.0,10.0,2.0,2.0,8.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,42.0,0.5714285714285714,0.5714285714285714,0.4375,,0.3333333333333333,0.3333333333333333,,0.2,0.4166666666666667,0.25,0.42857142857142855,0.0625,0.25,20.606060606060606,0.8,,0.07547169811320754,0.017543859649122806,0.18181818181818182,0.09375,0.013888888888888888,,,0.034482758620689655,0.11764705882352941,0.08333333333333333,0.25,,1.0,0.19047619047619047,,,,,,,,0.5714285714285714,0.5833333333333334,0.5833333333333334,0.5714285714285714,,,,,0.42857142857142855,0.43918571428571423,0.45395,0.4065,0.08695652173913043,0.1111111111111111,0.09090909090909091,0.2727272727272727,13.881250000000001,0.2876712328767123,,,,,,,5.0,2.0,,5.0,,2.0,,2.0,,5.0,,,,2.0,,1.0,1.0,,,,,,0.23809523809523808,,,,,,,,0.23809523809523808,,,,0.6666666666666666,,,25.26,,2.0,2.0,0.4,2.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,4261.0,71,-14.0,134,133,43.0,66,12.0,267,1.0,2.0,,1.0,,,1.0,2.0,1.0,2.0,3.0,6.0,7.0,13.0,123,,1.0,,,1.0,2.0,2.0,4.0,4.0,2.0,1.0,6.0,7.0,2.0,4.0,15.0,2.0,1.0,7.0,3.0,11.0,2.0,13.0,1.0,,,,1.0,,1.0,,1.0,8.0,1.0,11.0,4.0,2.0,1.0,1.0,1.0,,4.0,43.0,0.6666666666666666,0.6666666666666666,0.5,,0.5,0.5,,0.5,0.5909090909090909,,0.5,0.16666666666666666,0.5,8.053691275167786,,0.42857142857142855,0.17073170731707318,0.0392156862745098,0.0625,0.14035087719298245,0.03225806451612903,0.14285714285714285,,,0.16666666666666666,0.15,0.1111111111111111,,,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.5,0.5,1.0,1.0,,,,0.3333333333333333,0.4533,0.5758,0.3888,0.4444444444444444,0.4444444444444444,,0.3076923076923077,9.25,0.3208955223880597,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,0.2222222222222222,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,218.0,4,-3.0,9,8,6.0,4,4.0,17,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,2.0,,2.0,9,,,,,1.0,1.0,,2.0,2.0,,1.0,,,,,,1.0,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,0.5,,1.0,0.5,,1.0,0.5,,1.0,0.5,,16.666666666666668,,,0.6666666666666666,0.16666666666666666,,0.6666666666666666,0.16666666666666666,,0.3333333333333333,,0.5,1.0,,,1.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,1.0,1.0,0.5,0.53925,,0.7462,,,,1.0,6.65,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,1610612762,Sasha Pavlovic,Sasha Pavlovic,2562,UTA,3646.0,61,19.0,118,119,49.0,63,12.0,237,7.0,11.0,1.0,2.0,2.0,4.0,,1.0,2.0,6.0,9.0,18.0,6.0,30.0,98,1.0,2.0,,2.0,3.0,8.0,5.0,11.0,14.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,9.0,1.0,10.0,4.0,4.0,4.0,3.0,,1.0,4.0,1.0,1.0,5.0,,7.0,2.0,2.0,2.0,1.0,2.0,,11.0,49.0,0.7777777777777778,0.7777777777777778,0.5,0.5,0.375,0.5454545454545454,0.5,0.375,0.6,0.5,0.5,0.2222222222222222,0.2727272727272727,21.96969696969697,1.0,0.125,0.17073170731707318,0.025,0.1111111111111111,0.16,0.020833333333333332,,,0.05555555555555555,0.13333333333333333,0.17647058823529413,,0.2,,0.5,0.6363636363636364,0.875,0.8571428571428571,0.045454545454545456,,,,0.2727272727272727,0.3333333333333333,0.4,0.5,1.0,0.5,0.5,0.5,0.6818181818181818,0.5716431818181819,0.53235,0.5382625000000001,0.08695652173913043,0.10526315789473684,0.06666666666666667,0.36666666666666664,7.427777777777777,0.4152542372881356,,,,,,,4.0,,2.0,4.0,,,,,6.0,4.0,,,,,,,,1.0,0.5,,,0.5,0.18181818181818182,,0.2222222222222222,,,,,,0.18181818181818182,,,,,,,24.875,1.0,,,,1.0,2.0,2.0,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,1.0,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1610612762,Michael Ruffin,Michael Ruffin,1913,UTA,47.0,1,-2.0,2,3,2.0,3,,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
