EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,ShortMidRangeFGA,PtsUnassisted2s,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,Fg2aBlocked,Steals,BadPassSteals,LostBallSteals,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,PtsPutbacks,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimFGM,ShortMidRangeFGM,PenaltyFG2M,PenaltyPoints,DefThreePtRebounds,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyPointsPct,PenaltyFtPoints,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeAssists,on,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,SelfOReb,Travels,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,PtsUnassisted3s,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,BlockedCorner3,OffensiveGoaltends,HeaveAttempts
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,216.0,4.0,5,7.0,7,7.0,1.0,14,3,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,216.0,4.0,5,7.0,7,7.0,1.0,14,3,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,25.0,0.5,1.0,1.0,1.0,0.5,0.5,0.46175,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612759,Hedo Turkoglu,Hedo Turkoglu,2045,SAS,420.0,7.0,7,14.0,14,12.0,3.0,28,7,1.0,1.0,1.0,0.2,0.16666666666666666,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,0.5,0.5,0.5,17.64705882352941,0.5,1.0,1.0,,,0.5,0.4774,4.35,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,1610612759,Alex Garcia,Alex Garcia,2682,SAS,761.0,13.0,3,25.0,25,23.0,6.0,50,19,,,,,,,,4.0,2.0,1.0,7.0,3.0,2.0,,,,,1.0,1.0,0.14285714285714285,0.14285714285714285,0.1875,28.125,0.5714285714285714,,,,0.2857142857142857,0.5714285714285714,0.49074285714285715,6.528571428571429,7.0,1.0,,1.0,1.0,1.0,,,7.0,1.0,,0.14285714285714285,0.28,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.14285714285714285,0.25,0.5,0.5,1.0,0.5,0.6666666666666666,0.4851,0.5142333333333333,0.125,0.125,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,1610612759,Malik Rose,Malik Rose,990,SAS,761.0,13.0,3,25.0,25,23.0,6.0,50,19,1.0,2.0,4.0,0.14285714285714285,0.1,0.2,2.0,2.0,,2.0,2.0,5.0,2.0,2.0,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.625,12.5,1.0,1.0,1.0,0.5,,1.0,0.57715,,7.0,,2.0,,,,,,7.0,,,,0.28,1.0,,,1.0,1.0,1.0,2.0,,,,,,4.0,2.0,1.0,1.0,1.0,,,,,,1.0,,0.5799,,0.5,0.5,0.4,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,1610612759,Ron Mercer,Ron Mercer,1500,SAS,12.0,,-2,,1,1.0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,1610612759,Devin Brown,Devin Brown,2484,SAS,545.0,9.0,-2,18.0,18,16.0,5.0,36,16,1.0,2.0,6.0,0.25,0.2857142857142857,0.3333333333333333,2.0,3.0,,3.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.75,0.75,0.75,20.833333333333336,0.75,0.6666666666666666,0.6666666666666666,,,0.75,0.4757,3.875,7.0,1.0,4.0,1.0,1.0,1.0,,,7.0,1.0,,0.25,0.3888888888888889,3.0,1.0,,,2.0,3.0,4.0,1.0,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,1.0,1.0,0.5067666666666667,0.5854,,,0.6666666666666666,2.0,4.0,,4.0,,4.0,,0.4444444444444444,0.4444444444444444,0.4,1.0,0.6666666666666666,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,1610612759,Kevin Willis,Kevin Willis,788,SAS,527.0,9.0,-1,18.0,17,16.0,5.0,35,15,1.0,2.0,2.0,0.25,0.2857142857142857,,1.0,1.0,3.0,1.0,4.0,4.0,2.0,,,,,1.0,1.0,0.25,0.25,0.4,29.166666666666668,0.25,1.0,1.0,1.0,0.75,0.25,0.462525,13.1,7.0,,,1.0,,2.0,,,7.0,0.5,,,0.3888888888888889,,1.0,,2.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,0.5,,0.5973,0.2,0.2,,,,,,,,,,,,,,1.0,,1.0,4.0,1.0,2.0,3.0,4.0,0.5,0.5,0.6666666666666666,0.3333333333333333,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,1610612759,Rasho Nesterovic,Rasho Nesterovic,1725,SAS,18.0,,-1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,1610612759,Jason Hart,Jason Hart,2078,SAS,329.0,5.0,-2,11.0,10,10.0,3.0,21,10,,1.0,2.0,,0.25,,,1.0,,,1.0,,,1.0,1.0,,2.0,,,,,,6.666666666666667,1.0,,,,,1.0,0.2947,3.3,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,0.2,0.2,,,,,,,,1.0,,,,,,,0.5,1.0,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
