EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,AtRimAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,ShortMidRangePctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,HeaveAttempts,Blocked3s,BlockedArc3,Clear Path Fouls,Corner3PctBlocked,on,HeaveMakes,3pt And 1 Free Throw Trips
1542,1610612746,Predrag Drobnjak,Predrag Drobnjak,1542,LAC,12295.0,205,-94,388,387,92.0,94,65.0,775,10.0,21.0,4.0,8.0,5.0,8.0,3.0,14.0,13.0,35.0,1.0,3.0,5.0,1.0,1.0,1.0,26.0,70.0,3.0,6.0,9.0,70.0,459,5.0,14.0,1.0,2.0,12.0,6.0,13.0,1.0,1.0,5.0,20.0,26.0,26.0,9.0,10.0,5.0,3.0,3.0,5.0,1.0,6.0,1.0,1.0,4.0,13.0,5.0,10.0,6.0,16.0,2.0,24.0,15.0,39,3.0,5.0,3.0,2.0,6.0,4.0,1.0,1.0,2.0,7.0,1.0,11.0,20.0,3.0,11.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,20.0,92.0,2.0,0.5,0.6190476190476191,1.0,0.5,1.0,0.5,0.37142857142857144,0.35714285714285715,0.46153846153846156,0.40131578947368424,0.3333333333333333,0.5357142857142857,0.43209876543209874,0.375,0.5882352941176471,0.07894736842105263,0.04285714285714286,0.14285714285714285,18.924731182795696,0.8571428571428571,0.13333333333333333,0.12903225806451613,0.055865921787709494,0.16216216216216217,0.11904761904761904,0.13664596273291926,0.06787330316742081,0.07692307692307693,0.06666666666666667,0.028985507246376812,0.12121212121212122,0.1111111111111111,0.13513513513513514,0.23333333333333334,0.07017543859649122,0.1724137931034483,0.125,0.06818181818181818,1.0,0.27631578947368424,0.47619047619047616,0.5555555555555556,0.1,0.18421052631578946,0.21428571428571427,0.21428571428571427,0.4605263157894737,0.37142857142857144,0.37142857142857144,0.9230769230769231,0.013157894736842105,0.06578947368421052,0.6,0.6,1.0,0.5333333333333333,0.5,0.06666666666666667,0.5714285714285714,0.625,0.07142857142857142,1.0,0.35526315789473684,0.6,0.45110789473684215,0.5087833333333334,0.4948571428571428,0.0625,0.06756756756756757,0.17142857142857143,0.2857142857142857,10.738571428571431,25.283333333333335,0.23711340206185566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,81551.0,1359,-22,2609,2589,875.0,663,406.0,5198,127.0,202.0,37.0,66.0,37.0,54.0,84.0,195.0,43.0,111.0,,,1.0,,,1.0,254.0,508.0,,1.0,195.0,703.0,2805,48.0,93.0,,52.0,148.0,67.0,128.0,,1.0,90.0,224.0,302.0,206.0,,74.0,1.0,,34.0,91.0,33.0,124.0,28.0,7.0,35.0,281.0,16.0,134.0,34.0,168.0,21.0,223.0,151.0,374,23.0,39.0,27.0,12.0,58.0,27.0,41.0,5.0,31.0,99.0,11.0,60.0,117.0,12.0,253.0,27.0,117.0,24.0,65.0,41.0,65.0,36.0,224.0,875.0,14.0,0.594488188976378,0.695852534562212,,,,,0.5,0.5161290322580645,0.5234375,0.49901768172888017,0.5161290322580645,0.5193798449612403,0.5642054574638844,0.5967741935483871,0.6120218579234973,0.0019646365422396855,0.06692913385826772,0.12376237623762376,23.258064516129032,0.5858585858585859,0.29577464788732394,0.17796610169491525,0.13673469387755102,0.13934426229508196,0.06201550387596899,0.17003367003367004,0.12116316639741519,0.15864022662889518,0.1624548736462094,0.09428571428571429,0.06278026905829596,0.05714285714285714,0.15562913907284767,0.2109090909090909,0.17166212534059946,0.11666666666666667,0.203125,0.10454545454545454,0.5538461538461539,0.3968565815324165,0.6287128712871287,0.7175141242937854,0.5275590551181102,0.3831041257367387,0.4307692307692308,0.44919786096256686,0.2180746561886051,0.38738738738738737,0.39090909090909093,0.9534883720930233,,0.0019646365422396855,,,,0.7096774193548387,0.5606060606060606,,0.4186046511627907,0.6851851851851852,0.007751937984496124,,0.3988212180746562,,0.46942740667976424,0.5217738636363637,0.46535620155038765,0.19532554257095158,0.1956521739130435,0.21052631578947367,0.3186344238975818,6.9248031496063,27.5,0.3353775392870832,5.0,49.0,1.0,7.0,1.0,5.0,33.0,13.0,3.0,21.0,1.0,1.0,4.0,7.0,0.041025641025641026,0.009009009009009009,0.012658227848101266,0.5119047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,78097.0,1302,-38,2503,2489,788.0,619,352.0,4992,127.0,193.0,13.0,22.0,41.0,62.0,16.0,49.0,41.0,137.0,11.0,32.0,97.0,17.0,11.0,36.0,184.0,379.0,36.0,108.0,267.0,743.0,2701,19.0,47.0,20.0,18.0,74.0,58.0,115.0,13.0,42.0,112.0,267.0,206.0,162.0,102.0,24.0,97.0,32.0,44.0,92.0,23.0,115.0,17.0,24.0,26.0,253.0,10.0,34.0,34.0,114.0,8.0,156.0,45.0,201,11.0,33.0,26.0,7.0,48.0,28.0,55.0,6.0,20.0,103.0,4.0,36.0,102.0,2.0,309.0,27.0,126.0,31.0,9.0,5.0,9.0,7.0,267.0,788.0,14.0,0.5597826086956522,0.5988372093023255,0.9444444444444444,0.3333333333333333,0.30952380952380953,0.3333333333333333,0.48548812664907653,0.40425531914893614,0.5043478260869565,0.4887063655030801,0.417910447761194,0.49363057324840764,0.589516129032258,0.4805194805194805,0.6129032258064516,0.22176591375770022,0.11609498680738786,0.12435233160621761,24.575118966689324,0.46601941747572817,0.11267605633802817,0.12258064516129032,0.036637931034482756,0.14655172413793102,0.04032258064516129,0.12736660929432014,0.03741496598639456,0.0436046511627907,0.048507462686567165,0.0189873417721519,0.046296296296296294,,0.07333333333333333,0.13011152416356878,0.15789473684210525,0.16666666666666666,0.08620689655172414,0.05,0.7777777777777778,0.39630390143737165,0.6580310880829016,0.7514792899408284,0.49606299212598426,0.10061601642710473,0.32653061224489793,0.41025641025641024,0.2813141683778234,0.29927007299270075,0.3228346456692913,0.8292682926829268,0.022587268993839837,0.19917864476386038,0.32989690721649484,0.3333333333333333,0.9375,0.3283582089552239,0.5909090909090909,0.2537313432835821,0.39490445859872614,0.6612903225806451,0.22929936305732485,0.3055555555555556,0.6180698151950719,0.32989690721649484,0.5266209445585215,0.5010844262295081,0.5198267515923567,0.21901528013582344,0.26359832635983266,0.09959623149394348,0.35935397039030953,8.150923482849604,25.032407407407415,0.3148222133439872,6.0,42.0,1.0,21.0,3.0,5.0,29.0,16.0,3.0,1.0,,,1.0,1.0,0.20408163265306123,0.072992700729927,0.012048192771084338,0.375,4.0,2.0,3.0,2.0,6.0,4.0,6.0,6.0,1.0,12.0,3.0,0.3,0.009259259259259259,0.010309278350515464,0.36363636363636365,0.36363636363636365,1.0,0.04477611940298507,0.6666666666666666,1.0,0.23529411764705882,1.0,0.03821656050955414,0.3333333333333333,0.02702702702702703,,,,,,,True,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,7600.0,127,-17,237,234,100.0,88,35.0,471,8.0,13.0,1.0,2.0,2.0,5.0,3.0,5.0,3.0,14.0,1.0,1.0,7.0,1.0,,4.0,14.0,32.0,2.0,8.0,8.0,42.0,265,2.0,5.0,1.0,2.0,6.0,4.0,13.0,,4.0,6.0,14.0,16.0,12.0,6.0,,7.0,1.0,1.0,9.0,4.0,13.0,3.0,1.0,1.0,30.0,1.0,6.0,,4.0,,4.0,7.0,11,,6.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,6.0,,7.0,11.0,,12.0,3.0,4.0,4.0,1.0,1.0,1.0,,14.0,100.0,2.0,0.5714285714285714,0.5714285714285714,1.0,0.25,,0.25,0.4375,0.4,0.3076923076923077,0.425,0.3333333333333333,0.23529411764705882,0.4666666666666667,0.42857142857142855,0.3333333333333333,0.2,0.03125,0.07692307692307693,17.605633802816904,0.5,,0.042105263157894736,0.06521739130434782,,0.041666666666666664,0.036036036036036036,0.0603448275862069,0.07142857142857142,0.1,0.045454545454545456,0.05,,0.09375,0.04,,,,,,0.325,0.6153846153846154,0.6666666666666666,0.625,0.125,0.6,0.6,0.35,0.21428571428571427,0.21428571428571427,1.0,0.025,0.175,0.14285714285714285,0.14285714285714285,1.0,0.3333333333333333,0.5,0.16666666666666666,0.29411764705882354,0.4,0.23529411764705882,,0.525,0.14285714285714285,0.46959625000000005,0.47714999999999996,0.41526764705882363,0.0975609756097561,0.12121212121212122,0.14285714285714285,0.3333333333333333,9.60625,25.725,0.4219409282700422,1.0,7.0,,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,True,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,105615.0,1760,-92,3374,3361,1088.0,894,515.0,6735,70.0,146.0,5.0,25.0,21.0,43.0,18.0,40.0,46.0,141.0,13.0,47.0,137.0,14.0,14.0,38.0,134.0,327.0,51.0,150.0,74.0,495.0,3618,10.0,42.0,15.0,6.0,47.0,46.0,109.0,16.0,42.0,44.0,184.0,108.0,160.0,132.0,8.0,134.0,47.0,18.0,230.0,51.0,281.0,44.0,48.0,77.0,613.0,10.0,34.0,22.0,106.0,3.0,131.0,44.0,175,9.0,93.0,68.0,25.0,79.0,61.0,36.0,2.0,18.0,115.0,5.0,43.0,132.0,3.0,101.0,9.0,40.0,15.0,19.0,14.0,20.0,14.0,184.0,1088.0,19.0,0.40298507462686567,0.4153846153846154,0.8627450980392157,0.34,0.38095238095238093,0.3469387755102041,0.40978593272171254,0.23809523809523808,0.42201834862385323,0.4412997903563941,0.35964912280701755,0.46357615894039733,0.4732313575525813,0.39166666666666666,0.5168539325842697,0.31446540880503143,0.05504587155963303,0.0958904109589041,15.957978989494748,0.6869565217391305,0.03,0.08624898291293735,0.026254826254826256,0.06811145510835913,0.030211480362537766,0.08247422680412371,0.02706027060270603,0.034782608695652174,0.01092896174863388,0.029850746268656716,0.035211267605633804,,0.056265984654731455,0.08450704225352113,0.11180124223602485,0.06198347107438017,0.08641975308641975,0.03383458646616541,0.7,0.3060796645702306,0.4794520547945205,0.5303030303030303,0.38571428571428573,0.08385744234800839,0.45,0.47368421052631576,0.29559748427672955,0.3262411347517731,0.33093525179856115,0.5217391304347826,0.027253668763102725,0.28721174004192873,0.34306569343065696,0.35074626865671643,0.851063829787234,0.43859649122807015,0.2,0.24561403508771928,0.2847682119205298,0.4883720930232558,0.25165562913907286,0.3684210526315789,0.6205450733752621,0.35074626865671643,0.5001255296610168,0.5022308510638298,0.475370205479452,0.07874015748031496,0.11173184357541899,0.09494949494949495,0.3717171717171717,9.497553516819574,26.212666666666667,0.3224659158269117,7.0,105.0,,16.0,,3.0,36.0,7.0,1.0,4.0,,,2.0,1.0,0.05,0.014184397163120567,,0.16666666666666666,4.0,,1.0,2.0,4.0,7.0,7.0,21.0,3.0,,,0.4666666666666667,0.02,0.021897810218978103,0.3076923076923077,0.3076923076923077,1.0,0.017543859649122806,,,0.5,0.8571428571428571,0.026490066225165563,0.5,,0.4,3.0,1.0,1.0,,,True,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,73000.0,1217,-113,2376,2369,743.0,662,364.0,4745,89.0,178.0,29.0,58.0,27.0,54.0,27.0,70.0,36.0,105.0,31.0,52.0,153.0,10.0,15.0,49.0,152.0,353.0,63.0,184.0,72.0,565.0,2594,31.0,73.0,11.0,12.0,86.0,43.0,100.0,20.0,64.0,41.0,187.0,142.0,162.0,165.0,40.0,152.0,52.0,29.0,42.0,18.0,60.0,16.0,7.0,11.0,138.0,8.0,67.0,37.0,92.0,4.0,133.0,75.0,208,20.0,31.0,22.0,9.0,33.0,25.0,38.0,5.0,8.0,71.0,8.0,32.0,72.0,2.0,98.0,10.0,36.0,13.0,11.0,4.0,12.0,8.0,187.0,743.0,9.0,0.46710526315789475,0.5378787878787878,0.873015873015873,0.3423913043478261,0.3125,0.3442622950819672,0.43059490084985835,0.4246575342465753,0.43,0.4590316573556797,0.44047619047619047,0.4451219512195122,0.48704663212435234,0.4725274725274725,0.4973404255319149,0.3426443202979516,0.0821529745042493,0.1404494382022472,23.10700319943121,0.4647887323943662,0.057971014492753624,0.10874704491725769,0.07452725250278086,0.1615720524017467,0.03278688524590164,0.12,0.06561679790026247,0.09821428571428571,0.05078125,0.06840390879478828,0.038461538461538464,,0.04727272727272727,0.11715481171548117,0.1536144578313253,0.13855421686746988,0.2222222222222222,0.07220216606498195,0.6666666666666666,0.33147113594040967,0.5,0.5816993464052288,0.5280898876404494,0.1303538175046555,0.38571428571428573,0.39705882352941174,0.19553072625698323,0.34285714285714286,0.34951456310679613,0.4166666666666667,0.05772811918063315,0.2849162011173184,0.33986928104575165,0.3466666666666667,0.8653846153846154,0.6904761904761905,0.5,0.11904761904761904,0.32926829268292684,0.5,0.29878048780487804,0.30612244897959184,0.6741154562383612,0.34210526315789475,0.5063955992509365,0.5382999999999999,0.49702730061349676,0.06890459363957598,0.09498680738786279,0.15221238938053097,0.3309734513274336,7.11841359773371,25.441847826086967,0.3127104377104377,2.0,24.0,,9.0,2.0,5.0,19.0,11.0,1.0,6.0,,,2.0,,0.02857142857142857,0.01904761904761905,,0.3333333333333333,11.0,1.0,1.0,5.0,15.0,3.0,4.0,24.0,3.0,1.0,3.0,0.36363636363636365,0.016304347826086956,0.0196078431372549,0.3548387096774194,0.3548387096774194,0.9090909090909091,0.011904761904761904,1.0,,0.3,0.6666666666666666,0.09146341463414634,0.3333333333333333,0.016042780748663103,0.2413793103448276,1.0,1.0,1.0,1.0,,True,,
2067,1610612746,Eddie House,Eddie House,2067,LAC,22189.0,370,3,710,706,259.0,194,121.0,1416,4.0,18.0,1.0,4.0,3.0,9.0,2.0,14.0,28.0,76.0,9.0,15.0,40.0,3.0,5.0,16.0,34.0,108.0,19.0,49.0,15.0,140.0,742,3.0,13.0,4.0,,9.0,17.0,46.0,7.0,19.0,9.0,64.0,40.0,28.0,48.0,2.0,39.0,15.0,4.0,39.0,4.0,43.0,3.0,7.0,7.0,90.0,2.0,8.0,13.0,25.0,,38.0,10.0,48,4.0,20.0,8.0,12.0,8.0,6.0,7.0,2.0,2.0,15.0,2.0,13.0,29.0,,18.0,,3.0,5.0,2.0,1.0,2.0,1.0,64.0,259.0,6.0,0.5882352941176471,0.6060606060606061,0.8421052631578947,0.3877551020408163,0.3684210526315789,0.3958333333333333,0.3148148148148148,0.23076923076923078,0.3695652173913043,0.3980891719745223,0.2647058823529412,0.4230769230769231,0.41818181818181815,0.2647058823529412,0.45,0.31210191082802546,0.037037037037037035,0.05555555555555555,21.126760563380284,0.5333333333333333,,0.1,0.027586206896551724,0.16883116883116883,0.0273972602739726,0.1162079510703364,0.027548209366391185,0.030612244897959183,,0.04310344827586207,0.01639344262295082,0.08333333333333333,0.12048192771084337,0.07142857142857142,0.10309278350515463,0.14516129032258066,0.26666666666666666,0.041666666666666664,0.5,0.11464968152866242,0.2222222222222222,0.23529411764705882,0.5,0.08917197452229299,0.14285714285714285,0.15384615384615385,0.4840764331210191,0.3684210526315789,0.3783783783783784,0.6071428571428571,0.05732484076433121,0.25477707006369427,0.375,0.38461538461538464,0.8,0.23529411764705882,0.25,0.17647058823529413,0.13846153846153847,0.3333333333333333,0.24615384615384617,0.3125,0.4267515923566879,0.38461538461538464,0.4568148387096775,0.4612230769230769,0.44882578124999994,0.01875,0.02702702702702703,0.06428571428571428,0.45714285714285713,14.72222222222222,25.70612244897959,0.3647887323943662,1.0,25.0,,3.0,1.0,,6.0,1.0,,1.0,,,,,0.07142857142857142,0.02631578947368421,,0.5,4.0,,1.0,2.0,3.0,1.0,1.0,9.0,1.0,2.0,,0.25,0.02040816326530612,0.025,0.4444444444444444,0.4444444444444444,1.0,0.058823529411764705,,,0.3333333333333333,,0.046153846153846156,0.6666666666666666,,,1.0,,,,,True,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,25560.0,426,35,826,826,335.0,310,135.0,1652,21.0,38.0,9.0,17.0,12.0,19.0,6.0,20.0,22.0,51.0,2.0,,3.0,,,,49.0,109.0,1.0,5.0,47.0,148.0,819,13.0,23.0,,8.0,34.0,24.0,40.0,,,24.0,72.0,64.0,34.0,3.0,14.0,3.0,,10.0,22.0,9.0,31.0,9.0,3.0,4.0,71.0,7.0,23.0,14.0,23.0,3.0,40.0,32.0,72,1.0,16.0,8.0,8.0,10.0,4.0,12.0,,6.0,22.0,3.0,20.0,60.0,4.0,58.0,6.0,24.0,8.0,6.0,4.0,6.0,3.0,72.0,335.0,13.0,0.6530612244897959,0.7619047619047619,1.0,0.2,,0.2,0.44954128440366975,0.5652173913043478,0.6,0.44298245614035087,0.5652173913043478,0.6,0.5285714285714286,0.6296296296296297,0.6666666666666666,0.043859649122807015,0.09174311926605505,0.18421052631578946,16.463414634146343,0.45454545454545453,0.0967741935483871,0.08363636363636363,0.07120743034055728,0.14893617021276595,0.10144927536231885,0.1002710027100271,0.07653061224489796,0.06666666666666667,0.09375,0.05737704918032787,0.1,0.1111111111111111,0.10465116279069768,0.056179775280898875,0.09,0.15789473684210525,0.1111111111111111,0.018867924528301886,0.5,0.3333333333333333,0.5526315789473685,0.6774193548387096,0.42857142857142855,0.17543859649122806,0.3,0.3157894736842105,0.4473684210526316,0.43137254901960786,0.4489795918367347,0.8636363636363636,0.017543859649122806,0.02631578947368421,,,,0.7391304347826086,0.5294117647058824,,0.475,0.631578947368421,,,0.37719298245614036,,0.47915570175438615,0.5330411764705881,0.4991850000000001,0.18181818181818182,0.1889763779527559,0.22972972972972974,0.4864864864864865,9.880733944954127,24.8,0.40556900726392253,,15.0,2.0,1.0,,3.0,5.0,4.0,,2.0,,1.0,1.0,,0.05,0.0392156862745098,0.07142857142857142,0.6666666666666666,1.0,,,,,,,,1.0,,,,0.2,,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,True,,
77,1610612746,Doug Overton,Doug Overton,77,LAC,8301.0,138,-9,241,242,60.0,44,31.0,483,2.0,4.0,,,,2.0,,2.0,8.0,20.0,1.0,,2.0,,,,10.0,26.0,,3.0,4.0,24.0,248,,1.0,,,,1.0,6.0,,,3.0,5.0,10.0,10.0,,,2.0,,,10.0,2.0,12.0,2.0,3.0,3.0,26.0,1.0,2.0,,11.0,,11.0,3.0,14,1.0,2.0,2.0,,3.0,1.0,3.0,,2.0,6.0,1.0,5.0,9.0,,6.0,1.0,1.0,2.0,1.0,,1.0,,5.0,60.0,,0.5,0.5,,,,,0.38461538461538464,,0.16666666666666666,0.3448275862068966,,0.16666666666666666,0.3709677419354839,,0.3125,0.10344827586206896,,,13.261648745519713,0.5,,0.11,0.024390243902439025,,0.05263157894736842,0.09016393442622951,0.0297029702970297,,,0.05555555555555555,0.058823529411764705,,0.1,,0.19047619047619047,,,0.05555555555555555,,0.13793103448275862,0.5,0.5,,0.06896551724137931,,,0.6896551724137931,0.4,0.4,0.625,0.034482758620689655,0.06896551724137931,,,,,,,0.3333333333333333,,,,0.2413793103448276,,0.4379517241379311,0.4613,0.44463333333333327,0.034482758620689655,0.038461538461538464,,0.20833333333333334,14.588461538461537,25.03333333333333,0.24896265560165975,,4.0,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,
779,1610612746,Glen Rice,Glen Rice,779,LAC,3340.0,56,-4,106,100,62.0,42,20.0,206,1.0,2.0,,,,,2.0,5.0,3.0,5.0,,1.0,7.0,1.0,,2.0,6.0,12.0,1.0,7.0,4.0,19.0,102,1.0,1.0,1.0,,2.0,2.0,7.0,,2.0,4.0,8.0,2.0,10.0,3.0,2.0,7.0,1.0,1.0,4.0,,4.0,,,2.0,8.0,,2.0,1.0,5.0,1.0,7.0,2.0,9,,1.0,1.0,,3.0,1.0,2.0,,2.0,5.0,,2.0,3.0,,4.0,,1.0,1.0,,,,,8.0,62.0,,0.16666666666666666,0.2,1.0,0.14285714285714285,,0.14285714285714285,0.5,1.0,0.2857142857142857,0.39473684210526316,0.5,0.2222222222222222,0.4523809523809524,0.5,0.36363636363636365,0.3684210526315789,0.08333333333333333,,20.47244094488189,0.6,0.2,0.19230769230769232,0.05405405405405406,0.06666666666666667,,0.14634146341463414,0.038461538461538464,0.1,,0.07142857142857142,,,0.1111111111111111,0.25,0.2222222222222222,0.1111111111111111,,,,0.10526315789473684,0.5,0.5,1.0,0.2631578947368421,0.4,0.4,0.2631578947368421,0.6,0.75,,,0.3684210526315789,0.14285714285714285,0.14285714285714285,1.0,,,0.5,,,0.2222222222222222,,0.47368421052631576,0.14285714285714285,0.4518842105263157,0.30885,0.3993055555555556,0.05,0.07692307692307693,0.10526315789473684,0.42105263157894735,12.0,25.357142857142858,0.5849056603773585,,2.0,,,,,3.0,1.0,,,,,1.0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
