EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsPutbacks,HeaveAttempts,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,Clear Path Fouls,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Blocked3s,BlockedCorner3,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,3pt And 1 Free Throw Trips,HeaveMakes
1000,1610612752,Shandon Anderson,Shandon Anderson,1000,NYK,31923.0,532,-100.0,1034,1045,238.0,317,125,2079,29.0,49.0,3.0,8.0,5.0,10.0,15.0,36.0,14.0,27.0,4.0,18.0,1.0,5.0,3.0,12.0,1.0,4.0,2.0,58.0,112.0,7.0,30.0,49.0,186.0,1109,7.0,17.0,1.0,5.0,3.0,20.0,13.0,25.0,7.0,19.0,45.0,72.0,44.0,18.0,3.0,12.0,3.0,10.0,27.0,7.0,34.0,5.0,2.0,7.0,8.0,12.0,75.0,3.0,10.0,12.0,29.0,2.0,43.0,13.0,56.0,1.0,12.0,7.0,5.0,20.0,4.0,9.0,12.0,2.0,11.0,2.0,32.0,3.0,7.0,26.0,47.0,3.0,3.0,63.0,3.0,29.0,4.0,4.0,4.0,4.0,3.0,45.0,238.0,7.0,0.6206896551724138,0.6206896551724138,0.8571428571428571,0.2333333333333333,0.2,0.2333333333333333,0.5178571428571429,0.4117647058823529,0.52,0.4823943661971831,0.3863636363636363,0.40625,0.5406976744186046,0.4166666666666667,0.5232558139534884,0.2112676056338028,0.0892857142857142,0.1428571428571428,0.0833333333333333,17.12846347607053,0.625,0.0526315789473684,0.0741687979539642,0.0261780104712041,0.1,0.0263157894736842,0.0802348336594911,0.0262096774193548,0.045045045045045,0.0241935483870967,0.0136054421768707,0.0365853658536585,0.072,0.059322033898305,0.0878378378378378,0.0898876404494382,0.1290322580645161,0.0151515151515151,0.75,0.3450704225352112,0.5918367346938775,0.6904761904761905,0.7241379310344828,0.2535211267605634,0.4166666666666667,0.4545454545454545,0.4,0.1901408450704225,0.5185185185185185,0.5185185185185185,0.6428571428571429,0.1267605633802817,0.2222222222222222,0.2222222222222222,0.75,0.0845070422535211,0.25,0.25,1.0,0.3636363636363636,0.375,1.0,0.0454545454545454,0.1818181818181818,0.25,1.0,0.3125,0.5,0.15625,0.0625,0.5563380281690141,0.25,0.5044454225352113,0.4990333333333333,0.470228125,0.1726190476190476,0.2101449275362318,0.1075268817204301,0.2419354838709677,7.333928571428572,24.143333333333334,0.230174081237911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1496,1610612752,Keith Van Horn,Keith Van Horn,1496,NYK,94559.0,1576,-11.0,2978,2992,655.0,803,351,5970,108.0,191.0,26.0,51.0,18.0,34.0,62.0,146.0,43.0,115.0,25.0,62.0,8.0,15.0,35.0,99.0,2.0,3.0,26.0,213.0,452.0,60.0,161.0,163.0,769.0,3035,41.0,76.0,4.0,11.0,20.0,114.0,36.0,80.0,41.0,35.0,134.0,200.0,226.0,180.0,,98.0,35.0,44.0,63.0,20.0,83.0,14.0,6.0,21.0,21.0,21.0,186.0,15.0,80.0,52.0,173.0,20.0,245.0,98.0,343.0,17.0,52.0,32.0,20.0,58.0,9.0,23.0,61.0,3.0,35.0,12.0,119.0,8.0,25.0,62.0,151.0,8.0,21.0,199.0,11.0,92.0,10.0,18.0,10.0,18.0,11.0,134.0,655.0,22.0,0.4694835680751174,0.5376344086021505,1.0,0.3726708074534161,0.3636363636363636,0.375,0.4712389380530973,0.5394736842105263,0.45,0.4942903752039151,0.5402298850574713,0.4090909090909091,0.5433238636363636,0.5824742268041238,0.475177304964539,0.2626427406199021,0.0973451327433628,0.1465968586387434,0.0753424657534246,24.22012948793408,0.4873949579831932,0.2127659574468085,0.1463620981387479,0.0721370604147881,0.1590214067278287,0.0505050505050505,0.1491053677932405,0.0675675675675675,0.1164383561643835,0.0609418282548476,0.0526315789473684,0.0460829493087557,0.1117647058823529,0.1428571428571428,0.1736401673640167,0.1576763485477178,0.1627906976744186,0.0588235294117647,0.6111111111111112,0.3115823817292006,0.5654450261780105,0.6625766871165644,0.4907407407407407,0.2381729200652528,0.4246575342465753,0.4592592592592592,0.2741935483870967,0.1876019575856443,0.3739130434782609,0.3909090909090909,0.6976744186046512,0.1011419249592169,0.4032258064516129,0.4098360655737705,1.0,0.1615008156606851,0.3535353535353535,0.3684210526315789,1.0,0.5862068965517241,0.5098039215686274,0.1153846153846153,0.0919540229885057,0.0344827586206896,0.6666666666666666,1.0,0.2809917355371901,0.5294117647058824,0.1239669421487603,0.2148760330578512,0.5742251223491027,0.3571428571428571,0.5040661764705879,0.516711038961039,0.5073266666666665,0.132564841498559,0.1726078799249531,0.1482444733420026,0.1742522756827048,7.469469026548675,24.457763975155284,0.2199462726662189,2.0,4.0,5.0,9.0,54.0,1.0,5.0,3.0,6.0,1.0,6.0,2.0,6.0,1.0,1.0,2.0,1.0,0.2195121951219512,0.031055900621118,0.0434782608695652,0.0161290322580645,0.0404040404040404,0.0483870967741935,0.0625,0.25,1.0,0.2666666666666666,0.1923076923076923,,,,,,True,,
1720,1610612752,Michael Doleac,Michael Doleac,1720,NYK,14404.0,240,-21.0,453,461,138.0,172,60,914,10.0,18.0,4.0,7.0,1.0,2.0,6.0,12.0,12.0,44.0,,,,,,,,,,28.0,74.0,,,11.0,67.0,438,7.0,16.0,,,2.0,16.0,6.0,16.0,,4.0,16.0,46.0,10.0,,,,,4.0,7.0,2.0,9.0,2.0,,3.0,2.0,2.0,20.0,7.0,15.0,11.0,37.0,3.0,51.0,24.0,75.0,,3.0,2.0,1.0,12.0,1.0,8.0,5.0,,4.0,,17.0,5.0,4.0,10.0,22.0,1.0,4.0,12.0,,5.0,1.0,13.0,11.0,13.0,9.0,16.0,138.0,2.0,0.8214285714285714,1.0,,,,,0.3783783783783784,0.4375,0.375,0.3783783783783784,0.4375,0.375,0.41875,0.4705882352941176,0.4444444444444444,,0.054054054054054,0.1666666666666666,,18.618042226487525,0.7058823529411765,0.1875,0.2021857923497267,0.0806451612903225,0.2156862745098039,0.1555555555555555,0.2051282051282051,0.0952380952380952,0.1627906976744186,0.0535714285714285,0.057471264367816,0.1212121212121212,0.2295081967213114,0.2641509433962264,0.1304347826086956,0.2857142857142857,0.0625,,0.6923076923076923,0.2432432432432432,0.5555555555555556,0.6666666666666666,0.6,0.1621621621621621,0.5,0.5,0.8333333333333334,0.5945945945945946,0.2727272727272727,0.2790697674418604,1.0,,,,,,,,,0.4375,0.5714285714285714,,,,,,0.125,0.5,,,0.2432432432432432,,0.4262405405405404,0.4689333333333333,0.4063874999999999,0.0632911392405063,0.0632911392405063,0.2388059701492537,0.2388059701492537,12.086486486486487,,0.304635761589404,,,,,10.0,,,2.0,,,,1.0,1.0,,,,,,,0.0227272727272727,,,0.3333333333333333,0.25,,,,,,,,,,True,,
221,1610612752,Clar. Weatherspoon,Clar. Weatherspoon,221,NYK,3399.0,57,-39.0,108,106,23.0,49,16,214,2.0,5.0,2.0,2.0,,,,6.0,4.0,6.0,,,,,,,,,,6.0,17.0,,,2.0,14.0,130,2.0,3.0,,,2.0,6.0,1.0,3.0,,,2.0,8.0,4.0,,,,,3.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,5.0,,5.0,1.0,6.0,6.0,12.0,1.0,1.0,1.0,,3.0,,1.0,1.0,,2.0,1.0,4.0,,1.0,4.0,6.0,1.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,23.0,1.0,0.6666666666666666,1.0,,,,,0.3529411764705882,0.6666666666666666,0.3333333333333333,0.3529411764705882,0.6666666666666666,0.3333333333333333,0.3888888888888889,0.75,0.3333333333333333,,0.1764705882352941,0.4,0.1666666666666666,17.1875,0.75,0.5,0.1282051282051282,0.131578947368421,,0.0588235294117647,0.108695652173913,0.109090909090909,0.0909090909090909,0.1764705882352941,0.1,,,0.25,0.1666666666666666,,,0.125,1.0,0.2941176470588235,0.4,0.6666666666666666,,0.3529411764705882,,,,0.3529411764705882,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,0.2941176470588235,,0.442335294117647,0.4937333333333333,0.3500333333333333,0.0555555555555555,0.0555555555555555,0.4285714285714285,0.1428571428571428,8.64705882352941,,0.2129629629629629,,,,,4.0,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,True,,
369,1610612752,Charlie Ward,Charlie Ward,369,NYK,26354.0,439,-26.0,836,839,203.0,269,89,1675,18.0,37.0,1.0,2.0,6.0,14.0,6.0,16.0,8.0,20.0,6.0,9.0,1.0,3.0,22.0,52.0,,2.0,15.0,32.0,73.0,28.0,61.0,6.0,154.0,837,2.0,4.0,,3.0,,4.0,8.0,22.0,18.0,,43.0,18.0,46.0,60.0,24.0,50.0,22.0,2.0,84.0,21.0,105.0,15.0,6.0,30.0,23.0,31.0,231.0,1.0,4.0,9.0,37.0,2.0,48.0,6.0,54.0,2.0,26.0,8.0,18.0,20.0,7.0,18.0,16.0,3.0,2.0,2.0,36.0,1.0,10.0,20.0,41.0,2.0,4.0,6.0,1.0,3.0,,5.0,1.0,5.0,3.0,43.0,203.0,4.0,0.28125,0.2903225806451613,0.7142857142857143,0.4590163934426229,,0.4745762711864407,0.4383561643835616,0.5,0.3636363636363636,0.5522388059701493,0.2857142857142857,0.5375,0.5661764705882353,0.2857142857142857,0.5375,0.4552238805970149,0.0273972602739726,0.027027027027027,,18.124341412012644,0.5555555555555556,0.0666666666666666,0.1134969325153374,0.0125786163522012,0.1111111111111111,0.0114942528735632,0.113022113022113,0.0123456790123456,0.0375,0.0086206896551724,,0.0163934426229508,0.101010101010101,0.1237113402061855,0.1153846153846153,0.0952380952380952,0.1666666666666666,0.0294117647058823,0.6,0.2761194029850746,0.4864864864864865,0.5,0.4444444444444444,0.1194029850746268,0.375,0.375,0.1666666666666666,0.1492537313432835,0.4,0.4210526315789473,,0.0671641791044776,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.3880597014925373,0.4230769230769231,0.4230769230769231,0.6818181818181818,0.2857142857142857,0.5,,0.1428571428571428,0.2857142857142857,,,0.35,0.4285714285714285,0.075,0.375,0.7313432835820896,0.44,0.5202095419847329,0.5295799999999999,0.5155270270270269,0.0220588235294117,0.04,0.0259740259740259,0.2792207792207792,7.169863013698631,26.09508196721312,0.242822966507177,,3.0,6.0,9.0,2.0,2.0,,1.0,,,,2.0,2.0,,,,,0.5,,0.05,,,0.0555555555555555,,,,1.0,0.4,,,,,,True,,
458,1610612752,Howard Eisley,Howard Eisley,458,NYK,27257.0,454,-44.0,840,840,192.0,200,113,1680,14.0,28.0,,2.0,2.0,3.0,8.0,19.0,12.0,26.0,2.0,3.0,1.0,1.0,14.0,50.0,,5.0,17.0,34.0,73.0,16.0,53.0,16.0,132.0,861,3.0,6.0,1.0,6.0,,9.0,5.0,8.0,18.0,9.0,34.0,18.0,50.0,33.0,15.0,49.0,14.0,10.0,83.0,16.0,99.0,10.0,6.0,18.0,13.0,52.0,214.0,,4.0,8.0,27.0,,35.0,4.0,39.0,1.0,22.0,12.0,10.0,20.0,3.0,18.0,12.0,2.0,2.0,,32.0,,5.0,18.0,55.0,2.0,3.0,19.0,1.0,4.0,6.0,1.0,,2.0,2.0,34.0,192.0,13.0,0.2647058823529412,0.2727272727272727,0.6875,0.3018867924528302,0.1666666666666666,0.3076923076923077,0.4657534246575342,0.5,0.625,0.4603174603174603,0.375,0.4807692307692308,0.4888888888888889,0.375,0.53125,0.4206349206349206,0.136986301369863,0.1785714285714285,0.2631578947368421,17.163412127440903,0.625,,0.0791788856304985,0.0124610591900311,0.1,,0.0831353919239905,0.0096618357487922,0.0121951219512195,0.0206185567010309,0.0070422535211267,,0.1022727272727272,0.0408163265306122,0.0903225806451612,0.1034482758620689,0.0909090909090909,0.015625,1.0,0.2222222222222222,0.5,0.6086956521739131,0.1428571428571428,0.1507936507936507,0.4210526315789473,0.5714285714285714,0.125,0.2063492063492063,0.4615384615384615,0.4615384615384615,0.5,0.0238095238095238,0.6666666666666666,0.6666666666666666,1.0,0.3968253968253968,0.28,0.28,0.6428571428571429,0.1666666666666666,,,0.0833333333333333,0.4166666666666667,,,0.1153846153846153,0.6666666666666666,0.0384615384615384,0.6538461538461539,0.6428571428571429,0.2857142857142857,0.4984383064516129,0.5125055555555557,0.4899291666666667,0.0310077519379844,0.0526315789473684,0.0681818181818181,0.2575757575757575,9.146575342465754,25.786792452830184,0.2285714285714285,1.0,,5.0,5.0,2.0,1.0,,,,,,1.0,,,,,,0.2777777777777778,,,,,,,1.0,1.0,,0.2941176470588235,1.0,1.0,,,,True,,
2421,1610612752,Frank Williams,Frank Williams,2421,NYK,12665.0,211,79.0,391,396,68.0,112,38,787,19.0,30.0,1.0,1.0,4.0,6.0,2.0,8.0,3.0,12.0,,3.0,1.0,2.0,8.0,17.0,1.0,2.0,3.0,24.0,50.0,8.0,20.0,12.0,84.0,353,2.0,3.0,1.0,3.0,,7.0,5.0,10.0,5.0,6.0,19.0,6.0,42.0,21.0,3.0,17.0,8.0,3.0,26.0,12.0,38.0,8.0,4.0,10.0,5.0,11.0,88.0,1.0,1.0,3.0,10.0,,13.0,2.0,15.0,,10.0,3.0,7.0,10.0,,7.0,9.0,1.0,3.0,,19.0,,3.0,4.0,16.0,,6.0,14.0,,5.0,2.0,,,1.0,1.0,19.0,68.0,1.0,0.125,0.125,0.875,0.4,0.3333333333333333,0.4,0.48,0.6666666666666666,0.5,0.5142857142857142,0.5833333333333334,0.4333333333333333,0.5454545454545454,0.5833333333333334,0.5277777777777778,0.2857142857142857,0.06,0.0666666666666666,,22.32558139534884,0.5263157894736842,,0.0588235294117647,0.0089285714285714,0.0576923076923076,0.0222222222222222,0.0585585585585585,0.0127388535031847,,,0.0217391304347826,,0.108695652173913,0.0392156862745098,0.0410958904109589,0.0697674418604651,,,1.0,0.4285714285714285,0.6333333333333333,0.6785714285714286,0.1578947368421052,0.1142857142857142,0.25,0.25,,0.1714285714285714,0.25,0.2727272727272727,,0.0428571428571428,,,,0.2428571428571428,0.4705882352941176,0.4705882352941176,0.875,0.1666666666666666,1.0,,0.1666666666666666,0.3333333333333333,0.5,1.0,0.4,0.6666666666666666,0.1333333333333333,0.2,0.7142857142857143,0.4705882352941176,0.5198449999999999,0.6084,0.4848699999999999,0.0666666666666666,0.0909090909090909,0.0833333333333333,0.2261904761904762,5.747999999999999,24.945,0.1739130434782608,,,1.0,1.0,,,,,,,,,,,,,,0.2,,0.0833333333333333,,,,0.0666666666666666,,,,0.3333333333333333,1.0,,1.0,,,True,,
275,1610612752,Allan Houston,Allan Houston,275,NYK,58991.0,983,52.0,1846,1852,424.0,498,211,3698,5.0,19.0,,2.0,1.0,1.0,37.0,77.0,87.0,196.0,12.0,33.0,2.0,4.0,41.0,91.0,7.0,12.0,28.0,129.0,292.0,53.0,124.0,91.0,508.0,1874,8.0,19.0,8.0,14.0,1.0,41.0,27.0,65.0,32.0,30.0,126.0,122.0,136.0,150.0,9.0,90.0,41.0,12.0,42.0,15.0,57.0,12.0,3.0,12.0,15.0,15.0,129.0,1.0,10.0,9.0,42.0,2.0,53.0,11.0,64.0,4.0,21.0,9.0,12.0,33.0,11.0,24.0,27.0,4.0,9.0,5.0,60.0,5.0,16.0,20.0,60.0,8.0,5.0,102.0,4.0,35.0,9.0,1.0,1.0,2.0,2.0,126.0,424.0,12.0,0.4728682170542636,0.4765625,0.9433962264150944,0.4274193548387097,0.5714285714285714,0.4308943089430894,0.4417808219178082,0.4210526315789473,0.4153846153846154,0.5012019230769231,0.6060606060606061,0.4948453608247423,0.5414847161572053,0.6029411764705882,0.5540540540540541,0.2980769230769231,0.0410958904109589,0.2631578947368421,0.0909090909090909,24.74916387959866,0.55,0.032258064516129,0.0562248995983935,0.0148148148148148,0.0483870967741935,0.0053191489361702,0.0546623794212218,0.0127462340672074,0.0175438596491228,0.0232558139534883,0.0069204152249134,0.0071942446043165,0.0541871921182266,0.0572687224669603,0.056782334384858,0.0510948905109489,0.0408163265306122,0.018348623853211,1.0,0.0456730769230769,0.2631578947368421,0.3571428571428571,,0.1850961538461538,0.4805194805194805,0.5285714285714286,0.3513513513513513,0.4711538461538461,0.4438775510204081,0.4438775510204081,0.5517241379310345,0.079326923076923,0.3636363636363636,0.3636363636363636,1.0,0.21875,0.4505494505494505,0.4606741573033708,0.926829268292683,0.0606060606060606,,,0.0606060606060606,0.3636363636363636,0.5833333333333334,1.0,0.0103092783505154,1.0,0.0412371134020618,0.2886597938144329,0.34375,0.4555555555555555,0.4516008433734939,0.4826892857142857,0.4305687499999999,0.0824053452115812,0.1083591331269349,0.0807086614173228,0.2480314960629921,14.75205479452055,24.96290322580645,0.2296858071505959,1.0,1.0,13.0,14.0,2.0,1.0,2.0,,1.0,,12.0,,,,,,,0.4375,0.0161290322580645,,,0.0219780219780219,,,0.5,1.0,0.25,0.4642857142857143,1.0,,1.0,2.0,0.0158730158730158,True,,
358,1610612752,Anfernee Hardaway,Anfernee Hardaway,358,NYK,14477.0,241,16.0,460,470,126.0,162,53,930,8.0,17.0,1.0,4.0,2.0,5.0,12.0,29.0,9.0,26.0,,2.0,,1.0,2.0,4.0,,,2.0,29.0,72.0,2.0,6.0,7.0,71.0,467,3.0,8.0,,,,6.0,7.0,19.0,3.0,5.0,22.0,26.0,32.0,6.0,,4.0,2.0,4.0,10.0,4.0,14.0,3.0,1.0,5.0,2.0,3.0,32.0,,5.0,10.0,22.0,,32.0,5.0,37.0,2.0,9.0,6.0,3.0,6.0,3.0,4.0,3.0,,2.0,,9.0,,1.0,9.0,16.0,,,11.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,22.0,126.0,3.0,0.4482758620689655,0.4814814814814814,1.0,0.3333333333333333,,0.3333333333333333,0.4027777777777778,0.375,0.3684210526315789,0.4102564102564102,0.375,0.3863636363636363,0.4277108433734939,0.375,0.44,0.0769230769230769,0.0555555555555555,0.1764705882352941,0.0344827586206896,17.79497098646035,0.6666666666666666,,0.1301775147928994,0.0308641975308641,0.136986301369863,,0.1322314049586777,0.025,0.0217391304347826,0.0588235294117647,0.0153846153846153,,0.1206896551724138,0.0727272727272727,0.1964285714285714,0.1372549019607843,0.1363636363636363,0.0476190476190476,0.3333333333333333,0.2179487179487179,0.4705882352941176,0.5714285714285714,0.625,0.3717948717948718,0.4137931034482758,0.4285714285714285,0.25,0.3333333333333333,0.3461538461538461,0.3461538461538461,0.5555555555555556,0.0256410256410256,,,,0.0512820512820512,0.5,0.5,1.0,0.5,0.25,,,,,,0.2272727272727272,0.4,0.0454545454545454,0.0909090909090909,0.2948717948717949,0.5,0.4437249999999998,0.5308428571428572,0.4291295454545455,0.0375,0.0405405405405405,0.0845070422535211,0.3098591549295774,10.416666666666668,24.266666666666666,0.2739130434782608,,,1.0,1.0,4.0,,,,,,,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,,0.5,,,,,,True,,
970,1610612752,Othella Harrington,Othella Harrington,970,NYK,16137.0,269,-50.0,505,509,115.0,173,68,1014,20.0,30.0,5.0,8.0,4.0,7.0,13.0,26.0,2.0,9.0,,,,,,,,,,35.0,65.0,,,20.0,90.0,520,6.0,13.0,,,8.0,20.0,8.0,14.0,,9.0,25.0,46.0,24.0,,,,,5.0,7.0,2.0,9.0,,2.0,2.0,2.0,3.0,20.0,4.0,16.0,7.0,24.0,4.0,35.0,21.0,56.0,1.0,6.0,3.0,3.0,9.0,,5.0,14.0,1.0,4.0,4.0,23.0,4.0,6.0,14.0,43.0,5.0,9.0,32.0,2.0,14.0,3.0,4.0,4.0,4.0,4.0,25.0,115.0,9.0,0.6571428571428571,0.7419354838709677,,,,,0.5384615384615384,0.4615384615384615,0.5714285714285714,0.5384615384615384,0.4615384615384615,0.5714285714285714,0.5625,0.5555555555555556,0.5952380952380952,,0.0769230769230769,0.1333333333333333,0.0384615384615384,17.758620689655174,0.391304347826087,0.25,0.1297297297297297,0.0869565217391304,0.1228070175438596,0.0727272727272727,0.128099173553719,0.0836820083682008,0.0714285714285714,0.1538461538461538,0.0526315789473684,0.0975609756097561,0.1636363636363636,0.1166666666666666,0.1142857142857142,0.1052631578947368,0.1578947368421052,0.04,1.0,0.4615384615384615,0.6666666666666666,0.7692307692307693,0.6,0.4,0.5,0.52,0.7692307692307693,0.1384615384615384,0.2222222222222222,0.2222222222222222,0.5,,,,,,,,,0.6153846153846154,0.625,,,,,,0.5,0.5714285714285714,,,0.4615384615384615,,0.4652769230769231,0.4682333333333333,0.45605,0.1818181818181818,0.1818181818181818,0.2222222222222222,0.2777777777777778,6.044615384615384,,0.2277227722772277,,,,,8.0,,,1.0,,,,,,,,,2.0,,,,,,0.05,,,,,,,,,,,True,,
