EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimFGM,PenaltyAtRimFGM,Fg2aBlocked,Arc3Assists,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsPutbacks,Fg3aBlocked,OffThreePtRebounds,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedLongMidRange,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG3M,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,BlockedShortMidRange,SecondChanceFg3Pct,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,FTDefRebounds,Defensive 3 Seconds Violations,DefFTReboundPct,StepOutOfBoundsTurnovers,Travels,HeaveAttempts,3SecondViolations,HeaveMakes,on,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,Corner3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,1596.0,27,-22.0,52,50,34,37,4.0,102,1.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,3.0,1.0,5.0,3.0,7.0,11.0,72,1.0,3.0,3.0,2.0,6.0,3.0,7.0,3.0,4.0,1.0,5.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,3.0,1.0,34,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.2,0.4583333333333333,0.4583333333333333,0.5833333333333334,23.21428571428571,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,0.16666666666666666,0.5,0.6666666666666666,0.42857142857142855,0.5061708333333333,0.7083,0.5144666666666667,13.780000000000001,25.02857142857143,0.6538461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1719,1610612763,Bonzi Wells,Bonzi Wells,1719,MEM,1083.0,18,-7.0,36,35,22,24,6.0,71,1.0,,1.0,1.0,4.0,,,,,2.0,6.0,,,5.0,37,,5.0,,,,,,,,,,,,,,,,,1.0,1.0,,22,,,,,0.3333333333333333,0.3333333333333333,0.35714285714285715,,16.27906976744186,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.25,0.25,,,,,,,,0.16666666666666666,,0.40558333333333335,0.5673,0.37324,13.983333333333334,,0.6111111111111112,1.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,0.4,0.4,0.4166666666666667,0.13333333333333333,0.05263157894736842,0.2,0.15,0.05263157894736842,0.16666666666666666,0.2,0.125,0.25,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,1677.0,28,14.0,51,53,19,18,7.0,104,3.0,1.0,6.0,1.0,3.0,,,,,4.0,12.0,,,12.0,38,,3.0,,4.0,,,,,3.0,3.0,6.0,1.0,,1.0,15.0,,2.0,2.0,,2.0,,19,1.0,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,26.229508196721312,0.25,0.5,0.25,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,,0.25,,0.47680833333333333,0.3738,0.4839333333333333,8.125,,0.37254901960784315,,1.0,4.0,1.0,2.0,1.0,5.0,4.0,,2.0,3.0,5.0,,5.0,,,5.0,1.0,2.0,1.0,5.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.625,0.15,,0.2857142857142857,0.18518518518518517,,,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,0.15384615384615385,0.15384615384615385,0.4166666666666667,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,7732.0,129,5.0,241,246,121,108,38.0,487,8.0,5.0,5.0,11.0,20.0,1.0,3.0,,2.0,15.0,33.0,6.0,15.0,62.0,224,,19.0,8.0,8.0,18.0,,3.0,1.0,8.0,1.0,9.0,,3.0,3.0,19.0,3.0,6.0,3.0,5.0,10.0,2.0,121,1.0,1.0,0.4,0.4,0.45454545454545453,0.5,0.5545454545454546,0.3125,21.47887323943662,0.16666666666666666,0.10416666666666667,0.4166666666666667,0.55,0.5789473684210527,0.0625,0.3333333333333333,0.5,1.0,,0.18518518518518517,0.07407407407407407,0.4791666666666667,0.3333333333333333,0.457921875,0.4255444444444444,0.4447203703703704,11.700000000000001,24.1,0.5020746887966805,3.0,1.0,14.0,10.0,12.0,6.0,33.0,22.0,7.0,3.0,6.0,9.0,9.0,18.0,7.0,5.0,15.0,,5.0,2.0,33.0,0.7333333333333333,0.8461538461538461,0.631578947368421,0.5,0.55,0.05825242718446602,0.07291666666666667,0.13636363636363635,0.072,0.06956521739130435,0.1111111111111111,0.029411764705882353,0.05405405405405406,0.0625,0.2,0.3333333333333333,1.0,0.8181818181818182,0.3,0.09433962264150944,0.13157894736842105,0.532258064516129,3.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,0.12121212121212122,0.125,0.5,0.75,0.375,0.42857142857142855,0.3333333333333333,0.6,1.0,5.0,12.0,1.0,6.0,5.0,1.0,11.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.125,0.5,0.5,0.5,0.06666666666666667,0.4,0.05,0.3333333333333333,0.07142857142857142,0.05263157894736842,0.0967741935483871,0.125,0.09375,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,1.0,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.1774193548387097,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2604,1610612763,Theron Smith,Theron Smith,2604,MEM,10736.0,179,,336,340,158,153,51.0,676,17.0,5.0,3.0,1.0,11.0,3.0,5.0,,4.0,10.0,31.0,6.0,12.0,44.0,330,1.0,9.0,9.0,6.0,18.0,,5.0,3.0,5.0,2.0,7.0,,2.0,1.0,16.0,7.0,14.0,4.0,9.0,18.0,1.0,158,5.0,1.0,0.5,0.5,0.3225806451612903,0.4418604651162791,0.4782608695652174,0.27906976744186046,15.267175572519083,0.3953488372093023,0.06976744186046512,0.2558139534883721,0.09090909090909091,0.1,0.11627906976744186,0.6,0.6,1.0,,0.2777777777777778,0.2222222222222222,0.6744186046511628,0.6,0.5042174418604651,0.5206666666666666,0.5054361111111111,7.638709677419355,24.258333333333336,0.47023809523809523,5.0,1.0,6.0,8.0,2.0,2.0,18.0,14.0,10.0,3.0,25.0,28.0,13.0,41.0,5.0,3.0,8.0,2.0,5.0,,18.0,0.7,0.875,0.2222222222222222,0.4444444444444444,0.45,0.19230769230769232,0.07575757575757576,0.08571428571428572,0.1696969696969697,0.08333333333333333,0.043478260869565216,0.18181818181818182,0.2391304347826087,0.03571428571428571,0.3333333333333333,0.3333333333333333,,1.0,0.5555555555555556,0.10869565217391304,0.14705882352941177,0.4090909090909091,8.0,2.0,5.0,2.0,2.0,7.0,2.0,5.0,5.0,1.0,5.0,3.0,0.16129032258064516,0.23529411764705882,0.5,0.6,0.47058823529411764,0.6153846153846154,0.75,0.4,2.0,3.0,7.0,2.0,5.0,3.0,4.0,13.0,4.0,4.0,,3.0,,2.0,2.0,,1.0,0.4444444444444444,0.375,0.5,0.5909090909090909,,,0.09090909090909091,,,0.125,0.09523809523809523,0.08333333333333333,0.15,0.2857142857142857,0.16279069767441862,0.42857142857142855,0.42857142857142855,1.0,0.4,0.2777777777777778,0.4,0.29545454545454547,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,0.09090909090909091,0.16666666666666666,0.1,0.5,0.1111111111111111,1.0,1.0,0.5,,,,,,,,,True,,,,,,,,,,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,6437.0,107,1.0,204,206,90,81,32.0,410,12.0,3.0,21.0,10.0,18.0,,,,,26.0,51.0,,,71.0,192,,18.0,,10.0,,,,,3.0,1.0,4.0,,,,9.0,,8.0,2.0,6.0,9.0,,90,1.0,,,,0.5098039215686274,0.5098039215686274,0.5819672131147541,,28.75,0.23529411764705882,0.4117647058823529,0.35294117647058826,0.5555555555555556,0.5555555555555556,,,,,,0.16666666666666666,,0.23529411764705882,,0.4419901960784314,0.54328,0.42941666666666667,9.186274509803921,,0.4411764705882353,3.0,8.0,19.0,7.0,7.0,10.0,24.0,42.0,8.0,1.0,9.0,14.0,9.0,23.0,10.0,6.0,22.0,2.0,10.0,2.0,24.0,0.8076923076923077,0.9130434782608695,0.3888888888888889,0.3888888888888889,0.5217391304347826,0.11538461538461539,0.09195402298850575,0.05555555555555555,0.10416666666666667,0.09090909090909091,0.06666666666666667,0.16666666666666666,0.045454545454545456,,0.38095238095238093,0.4,0.625,1.0,0.42857142857142855,0.1694915254237288,0.1694915254237288,0.3380281690140845,8.0,2.0,1.0,1.0,3.0,8.0,4.0,4.0,12.0,8.0,12.0,7.0,0.0196078431372549,,1.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,2.0,,,,,6.0,2.0,14.0,,6.0,,1.0,,4.0,,,2.0,,0.8571428571428571,0.8571428571428571,0.875,,0.047619047619047616,,,,0.08333333333333333,0.10714285714285714,0.16666666666666666,0.11538461538461539,0.2,,,,,0.6666666666666666,,,0.19718309859154928,,,,,3.0,,1.0,2.0,2.0,,0.10344827586206896,,0.125,0.5,,,,,4.0,1.0,0.4,,,,,,True,,,,,,,,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,1997.0,33,3.0,61,61,20,21,10.0,122,4.0,1.0,1.0,1.0,2.0,2.0,3.0,,2.0,3.0,7.0,3.0,4.0,15.0,69,1.0,2.0,2.0,2.0,9.0,,3.0,2.0,5.0,,5.0,,,2.0,10.0,1.0,1.0,,2.0,3.0,,20,1.0,1.0,0.75,0.75,0.42857142857142855,0.6818181818181818,0.6818181818181818,0.36363636363636365,16.666666666666668,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.5,0.5,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,,0.25,0.5,0.7272727272727273,0.6666666666666666,0.5025954545454545,0.506175,0.5338499999999999,7.014285714285714,25.049999999999997,0.32786885245901637,1.0,,,1.0,1.0,,8.0,4.0,2.0,1.0,5.0,6.0,2.0,8.0,2.0,1.0,,,,,8.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.29411764705882354,0.09090909090909091,0.1111111111111111,0.23076923076923078,0.08333333333333333,,,0.6,0.1111111111111111,,,,1.0,0.5,,,0.5333333333333333,2.0,1.0,1.0,,3.0,,,,1.0,1.0,1.0,1.0,0.14285714285714285,0.25,,1.0,0.5,0.6666666666666666,0.5,1.0,,1.0,1.0,,,,,3.0,2.0,,,,,1.0,,,,1.0,,0.75,0.75,,,,,,,,,0.3333333333333333,,0.09090909090909091,1.0,1.0,1.0,,,,0.2,1.0,1.0,2.0,1.0,,,,,,1.0,0.18181818181818182,,,,0.5,1.0,1.0,1.0,,,,1.0,,,,,True,,,,,,,,,,,,
448,1610612763,Bo Outlaw,Bo Outlaw,448,MEM,9474.0,158,20.0,296,297,127,127,45.0,593,24.0,7.0,9.0,,2.0,,,,,18.0,35.0,,,42.0,282,,10.0,,8.0,,,,,9.0,1.0,10.0,1.0,3.0,3.0,21.0,3.0,7.0,3.0,8.0,14.0,,127,1.0,,,,0.5142857142857142,0.5142857142857142,0.4883720930232558,,14.534883720930234,0.6857142857142857,0.2571428571428571,0.05714285714285714,,,,,,,,0.7,,0.6857142857142857,,0.5161828571428572,0.5335166666666668,0.5034400000000001,3.137142857142857,,0.42905405405405406,5.0,4.0,6.0,6.0,7.0,3.0,17.0,28.0,9.0,3.0,14.0,23.0,10.0,33.0,8.0,4.0,16.0,1.0,6.0,3.0,17.0,0.7777777777777778,0.875,0.7,0.7,0.6071428571428571,0.11864406779661017,0.08035714285714286,0.08823529411764706,0.1118421052631579,0.07575757575757576,0.025,0.1282051282051282,0.09523809523809523,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.75,,0.8333333333333334,0.15,0.15,0.40476190476190477,14.0,6.0,3.0,,3.0,4.0,2.0,2.0,6.0,4.0,6.0,6.0,0.08571428571428572,0.125,0.5714285714285714,1.0,0.5833333333333334,0.6666666666666666,0.7857142857142857,0.8571428571428571,2.0,,,,,2.0,2.0,6.0,,4.0,,1.0,,4.0,,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,,,,,0.05,0.06060606060606061,0.1,0.13513513513513514,,,,,,0.4,,,0.14285714285714285,,,,,1.0,2.0,2.0,1.0,2.0,,0.15384615384615385,,0.07142857142857142,,,,,,6.0,1.0,0.6,,1.0,,,,True,,,,,,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,2479.0,41,-27.0,79,82,58,60,11.0,161,3.0,3.0,6.0,1.0,6.0,,2.0,,2.0,4.0,15.0,,2.0,16.0,100,,11.0,2.0,,,,1.0,,1.0,1.0,2.0,,,1.0,5.0,2.0,3.0,2.0,3.0,6.0,2.0,58,1.0,,,,0.26666666666666666,0.23529411764705882,0.38095238095238093,0.11764705882352941,26.373626373626372,0.17647058823529413,0.35294117647058826,0.35294117647058826,0.16666666666666666,0.16666666666666666,0.11764705882352941,,,,,0.23076923076923078,0.15384615384615385,0.29411764705882354,,0.4333875,0.388,0.44215000000000004,9.26,33.2,0.7341772151898734,1.0,2.0,8.0,2.0,3.0,7.0,13.0,8.0,2.0,,9.0,10.0,3.0,13.0,,,10.0,2.0,6.0,,13.0,1.0,1.0,0.2727272727272727,0.23076923076923078,0.40625,0.3333333333333333,0.07407407407407407,,0.2727272727272727,0.08571428571428572,0.1,0.6,0.3076923076923077,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.2857142857142857,0.3157894736842105,0.8125,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,,,,,,,3.0,3.0,,,,1.0,,,,,,,,,0.375,,,,,,0.125,,0.2,0.2222222222222222,,,,,,,,,0.1875,,,,,,,,,,,0.1111111111111111,,,,,,,,1.0,,0.5,,,1.0,,,True,,,,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,705.0,12,-8.0,20,20,7,6,4.0,40,2.0,,,,,,,,,,2.0,,,,25,,,,,,,,,,,,,,,,1.0,1.0,,,,,7,,,,,,,,,12.0,1.0,,,,,,,,,,,,1.0,,0.58445,0.6036,,,,0.35,1.0,,,1.0,,,,,1.0,,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,0.2222222222222222,0.1111111111111111,,0.2,0.09090909090909091,,0.5,0.2,,,,,,1.0,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,True,,,,,,,,,,,,
