EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,TwoPtAssists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,SelfOReb,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,3SecondViolations,SecondChanceTsPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APct,ShortMidRangePctBlocked,DefCorner3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,HeaveAttempts,ShortMidRangeAssists,LostBallTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,OffAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceArc3FGA,SecondChanceArc3Frequency,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,Defensive 3 Seconds Violations,FTOffRebounds,2pt And 1 Free Throw Trips,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,on,Travels,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,OffCorner3ReboundPct,BlockedCorner3,SecondChanceArc3FGM,HeaveMakes,Fg3aBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,Clear Path Fouls,Corner3PctBlocked
123,1610612751,Robert Pack,Robert Pack,123,NJN,2095.0,35,-33.0,69,70,24.0,29,7.0,139,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,10.0,12.0,78.0,1.0,1.0,1.0,2.0,2.0,10.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,24.0,0.16666666666666666,0.16666666666666666,0.6,1.0,0.6,1.0,0.6,1.0,0.2,0.2,0.25,16.455696202531644,0.6666666666666666,0.03125,0.027777777777777776,0.25,0.5,0.8,1.0,0.25,0.1,1.0,1.0,0.4,0.25,0.3333333333333333,1.0,1.0,1.0,0.5,0.48968,0.4918,0.7616,0.16666666666666666,7.339999999999999,0.34782608695652173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1425,1610612751,Aaron Williams,Aaron Williams,1425,NJN,4571.0,76,-1.0,140,143,58.0,34,27.0,283,5.0,7.0,2.0,1.0,1.0,1.0,7.0,1.0,6.0,7.0,20.0,25.0,150.0,4.0,1.0,5.0,6.0,14.0,,,2.0,7.0,,16.0,5.0,7.0,22.0,3.0,2.0,1.0,1.0,1.0,5.0,6.0,4.0,9.0,13.0,6.0,58.0,1.0,1.0,0.35,0.2,0.35,0.2,0.44642857142857145,0.375,,,,19.883040935672515,0.16666666666666666,0.08620689655172414,0.0945945945945946,0.07142857142857142,0.35,0.7142857142857143,0.7142857142857143,1.0,0.35,0.14285714285714285,0.14285714285714285,0.3,0.16666666666666666,0.16666666666666666,0.5,0.2,1.0,0.35,0.4618650000000001,0.47342500000000004,0.4332,0.24,7.510000000000001,0.4142857142857143,11.0,3.0,3.0,4.0,5.0,2.0,4.0,1.0,2.0,1.0,12.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,16.0,7.0,1.0,1.0,0.25,0.4,0.24489795918367346,0.1111111111111111,0.125,0.22413793103448276,0.14285714285714285,0.15384615384615385,0.1111111111111111,0.4,0.2,0.125,0.08333333333333333,1.0,1.0,0.25925925925925924,0.25925925925925924,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2030,1610612751,Kenyon Martin,Kenyon Martin,2030,NJN,881.0,15,-1.0,24,24,,3,2.0,48,3.0,4.0,1.0,,,,2.0,1.0,2.0,4.0,8.0,11.0,27.0,1.0,,,,4.0,4.0,1.0,,1.0,,2.0,2.0,2.0,4.0,,,,,,,,,,,,,0.5,0.6666666666666666,0.5,,0.6111111111111112,,0.6111111111111112,,0.125,,,34.61538461538461,,0.18181818181818182,0.16666666666666666,,0.4444444444444444,0.75,0.75,0.3333333333333333,0.2222222222222222,,,0.2222222222222222,0.5,0.5,1.0,,,0.5555555555555556,0.44741666666666663,0.5575,,,6.625,,,,2.0,,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,1.0,,0.14285714285714285,0.25,,0.18181818181818182,0.2857142857142857,,,,0.25,,,,1.0,,,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.5,0.5,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2447,1610612751,Tamar Slay,Tamar Slay,2447,NJN,9527.0,159,-52.0,298,304,125.0,106,45.0,602,9.0,16.0,5.0,5.0,7.0,1.0,10.0,7.0,22.0,17.0,48.0,53.0,335.0,6.0,5.0,16.0,19.0,22.0,12.0,5.0,2.0,14.0,1.0,30.0,9.0,10.0,25.0,7.0,4.0,6.0,2.0,5.0,5.0,11.0,4.0,12.0,20.0,19.0,125.0,0.6470588235294118,0.6875,0.3541666666666667,0.3125,0.38333333333333336,0.29545454545454547,0.39552238805970147,0.35185185185185186,0.10416666666666667,0.25,0.045454545454545456,22.285714285714285,0.5454545454545454,0.07758620689655173,0.06896551724137931,0.034482758620689655,0.26666666666666666,0.5625,0.75,0.4444444444444444,0.16666666666666666,0.1,0.1,0.36666666666666664,0.3181818181818182,0.3333333333333333,0.7142857142857143,0.3181818181818182,0.7142857142857143,0.4666666666666667,0.48387758620689647,0.5303571428571429,0.51637,0.3584905660377358,10.679166666666669,0.41946308724832215,7.0,2.0,11.0,6.0,12.0,1.0,2.0,7.0,1.0,1.0,12.0,2.0,15.0,,3.0,1.0,,2.0,14.0,4.0,3.0,,0.6875,0.2,0.12,0.037037037037037035,0.034482758620689655,0.10236220472440945,0.05454545454545454,0.045454545454545456,0.09523809523809523,0.1,0.14285714285714285,,,,1.0,0.0625,0.07692307692307693,0.20754716981132076,3.0,,5.0,4.0,12.0,3.0,9.0,2.0,3.0,,0.75,0.3333333333333333,0.4,0.5,0.6428571428571429,0.2,,0.125,0.08333333333333333,,,,0.6,,27.308333333333334,4.0,7.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.15625,0.11666666666666667,0.5714285714285714,0.5714285714285714,0.75,0.14285714285714285,1.0,0.09090909090909091,0.5,0.18181818181818182,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
446,1610612751,Lucious Harris,Lucious Harris,446,NJN,3214.0,54,-19.0,100,102,23.0,24,15.0,202,2.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,6.0,6.0,13.0,17.0,110.0,3.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,4.0,1.0,11.0,3.0,3.0,7.0,4.0,4.0,,,,1.0,1.0,,1.0,3.0,2.0,23.0,0.5,0.6,0.46153846153846156,0.5,0.4166666666666667,0.5,0.4473684210526316,0.5,0.07692307692307693,0.25,,17.094017094017094,,0.07894736842105263,0.061224489795918366,0.2,0.2222222222222222,0.5,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,1.0,0.5,0.48434999999999995,0.5264300000000001,0.49560000000000004,0.11764705882352941,11.076923076923077,0.23,2.0,,4.0,,1.0,2.0,,1.0,,1.0,3.0,,4.0,,,,,1.0,2.0,1.0,,,0.3333333333333333,,0.1,0.1111111111111111,,0.10256410256410256,,,,,0.1875,,,0.3333333333333333,1.0,0.05263157894736842,0.07142857142857142,0.23529411764705882,1.0,1.0,5.0,1.0,5.0,2.0,3.0,2.0,5.0,1.0,1.0,0.2,0.2,0.6666666666666666,0.3333333333333333,0.2777777777777778,,0.5,0.2777777777777778,0.2,0.2,1.0,0.5,0.2,24.419999999999998,,,,,,,,,3.0,,,,,,,1.0,,,,,,,0.08333333333333333,,,,,,,,,,3.0,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2243,1610612751,Brian Scalabrine,Brian Scalabrine,2243,NJN,4653.0,78,-42.0,145,147,73.0,67,21.0,292,1.0,5.0,1.0,1.0,4.0,1.0,2.0,4.0,10.0,6.0,17.0,20.0,171.0,2.0,3.0,9.0,9.0,10.0,2.0,1.0,1.0,9.0,1.0,19.0,4.0,5.0,18.0,3.0,,1.0,1.0,,3.0,4.0,2.0,4.0,10.0,9.0,73.0,0.8333333333333334,0.8333333333333334,0.35294117647058826,0.3333333333333333,0.35714285714285715,0.3,0.4166666666666667,0.375,0.058823529411764705,0.2,,16.47058823529412,0.25,0.06557377049180328,0.07042253521126761,0.07692307692307693,0.23809523809523808,0.2,0.25,1.0,0.09523809523809523,0.5,0.5,0.47619047619047616,0.4,0.4,0.5,0.4,0.25,0.42857142857142855,0.46170714285714287,0.45515,0.4726,0.45,12.029411764705882,0.503448275862069,5.0,2.0,2.0,3.0,8.0,,4.0,4.0,1.0,3.0,8.0,2.0,13.0,,3.0,,,1.0,6.0,3.0,,,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2,0.1,0.1746031746031746,0.11538461538461539,0.16666666666666666,0.14285714285714285,0.23076923076923078,0.14285714285714285,0.2222222222222222,,1.0,0.75,0.125,0.15,0.1,,1.0,3.0,1.0,4.0,,3.0,,3.0,1.0,1.0,0.25,0.25,,,0.19047619047619047,,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,25.175,,1.0,,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,0.047619047619047616,,,,,,,,0.1,,,1.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630,1610612751,Mikki Moore,Mikki Moore,1630,NJN,245.0,4,-2.0,12,11,9.0,11,1.0,23,,,,,,,,,1.0,,1.0,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,,,,,,,,,,7.692307692307692,,,,,,,,,,,,1.0,,,,,,,0.3909,,0.3909,,14.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2210,1610612751,Richard Jefferson,Richard Jefferson,2210,NJN,1274.0,21,-18.0,40,39,10.0,12,3.0,79,,,,,,,1.0,,1.0,,2.0,2.0,54.0,,,,,,,,,2.0,,4.0,,,3.0,,,1.0,,1.0,1.0,2.0,1.0,2.0,4.0,,10.0,,,,,,,0.3333333333333333,,,,,11.904761904761905,0.5,,,,,,,,0.5,,,0.5,,,,,,,0.38670000000000004,,,,11.3,0.25,2.0,,,,2.0,,1.0,1.0,,,3.0,,3.0,,,,,1.0,2.0,1.0,,,,,0.3,,,0.21428571428571427,,,1.0,0.4,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2215,1610612751,Jason Collins,Jason Collins,2215,NJN,2796.0,47,-1.0,91,89,55.0,38,16.0,180,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,3.0,4.0,15.0,84.0,3.0,3.0,4.0,15.0,,6.0,,1.0,3.0,1.0,7.0,3.0,5.0,11.0,,,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,15.0,55.0,,,0.75,0.75,0.75,0.75,0.9375,0.9375,,,,10.091743119266054,0.6666666666666666,0.08823529411764706,0.09090909090909091,0.07692307692307693,0.5,1.0,1.0,,0.25,,,0.25,1.0,1.0,0.6666666666666666,0.5,1.0,0.5,0.5117499999999999,0.5906,0.5117499999999999,1.0,9.425,0.6043956043956044,9.0,5.0,11.0,9.0,2.0,,1.0,1.0,1.0,2.0,3.0,1.0,6.0,,,,,,9.0,3.0,2.0,,1.1,0.3333333333333333,0.08571428571428572,0.2222222222222222,0.1,0.11363636363636363,0.11764705882352941,0.1,0.09090909090909091,,0.14285714285714285,0.2857142857142857,,,,0.5,0.5,0.7333333333333333,2.0,,,,,3.0,,4.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,0.5,,1.0,1.0,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,
915,1610612751,Rodney Rogers,Rodney Rogers,915,NJN,3939.0,66,-11.0,124,130,33.0,31,17.0,254,6.0,8.0,1.0,,1.0,1.0,1.0,2.0,5.0,9.0,14.0,25.0,142.0,1.0,1.0,2.0,6.0,10.0,8.0,,,7.0,,14.0,1.0,1.0,12.0,5.0,1.0,3.0,,2.0,3.0,6.0,2.0,4.0,10.0,6.0,33.0,0.5555555555555556,0.625,0.6428571428571429,0.5,0.525,0.2,0.5681818181818182,0.42857142857142855,,,,19.444444444444446,0.5,0.023255813953488372,0.017543859649122806,,0.4,0.75,0.75,0.5,0.05,1.0,1.0,0.25,0.4,0.4,1.0,0.2,,0.7,0.5091374999999999,0.546,0.48478000000000004,0.24,7.892857142857143,0.2661290322580645,4.0,,2.0,4.0,7.0,,6.0,,,1.0,9.0,1.0,11.0,1.0,4.0,1.0,,2.0,4.0,1.0,1.0,,1.0,0.3333333333333333,0.23076923076923078,0.08333333333333333,,0.19607843137254902,,,0.5714285714285714,0.08333333333333333,0.2,0.14285714285714285,0.1,1.0,0.5,0.047619047619047616,0.06666666666666667,0.08,1.0,1.0,5.0,1.0,6.0,1.0,3.0,2.0,5.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3,,,0.25,0.2,0.2,1.0,1.0,0.2,25.01666666666667,,1.0,,,,1.0,2.0,,,,3.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,0.06666666666666667,0.05,,,,,,0.2,,0.4,,,,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
