EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FTDefRebounds,LostBallSteals,SecondChanceTurnovers,PenaltyTurnovers,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,DefAtRimReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,ShortMidRangeAssists,LongMidRangeAssists,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg2aBlocked,LostBallTurnovers,Loose Ball Fouls,ThreePtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,SecondChanceAtRimFGM,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,on,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,HeaveMakes,HeaveAttempts,Fg3aBlocked,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,Travels,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,3SecondViolations,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,Corner3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips
1719,1610612763,Bonzi Wells,Bonzi Wells,1719,MEM,1348.0,22.0,5,54,48,37,34.0,9.0,102,4.0,5.0,1.0,3.0,3.0,1.0,3.0,5.0,8.0,10.0,43,1.0,4.0,6.0,8.0,4.0,6.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,8.0,37,1.0,0.4,0.4,0.625,0.6666666666666666,0.625,0.6666666666666666,0.625,0.6666666666666666,15.873015873015873,0.5,0.14285714285714285,0.047619047619047616,0.2,0.5,0.15789473684210525,0.08695652173913043,0.1111111111111111,0.5,0.5,0.25,0.3333333333333333,0.625,0.8,0.8,0.25,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,1.0,0.625,0.5231375,0.5673,0.4946833333333333,0.8,7.8125,0.6851851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1610612763,James Posey,James Posey,1899,MEM,824.0,14.0,3,30,28,28,28.0,5.0,58,1.0,1.0,,1.0,1.0,,,1.0,1.0,13.0,28,,1.0,1.0,13.0,,2.0,,,,,,,,1.0,1.0,3.0,5.0,1.0,6.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,13.0,28,1.0,,,1.0,1.0,0.625,0.625,0.8571428571428571,0.8571428571428571,25.714285714285715,0.5,0.23076923076923078,0.1,1.0,,0.2857142857142857,0.06666666666666667,0.2,,,0.25,1.0,0.25,1.0,1.0,,,,,,,0.25,1.0,1.0,0.6224624999999999,,0.6224624999999999,1.0,,0.9333333333333333,1.0,3.0,1.0,3.0,1.0,3.0,8.0,1.0,3.0,8.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,1.0,0.3333333333333333,0.75,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.3333333333333333,0.5,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,1604.0,27.0,13,58,54,31,27.0,8.0,112,2.0,3.0,,1.0,2.0,2.0,4.0,6.0,12.0,14.0,42,1.0,3.0,7.0,6.0,10.0,2.0,3.0,,3.0,,3.0,6.0,,2.0,1.0,3.0,7.0,2.0,9.0,,,,,2.0,2.0,,1.0,,6.0,31,1.0,0.8333333333333334,1.0,0.5,0.42857142857142855,0.5,0.42857142857142855,0.5,0.42857142857142855,23.52941176470588,,0.15789473684210525,0.09523809523809523,0.25,,0.17391304347826086,0.08695652173913043,0.1,,0.25,0.125,,0.25,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5,1.0,,0.2857142857142857,0.5,0.25,0.4519333333333333,0.4945,0.47567142857142863,0.42857142857142855,9.058333333333332,0.5344827586206896,,,,,,,2.0,,,,,,,3.0,,,,4.0,,,2.0,,,,,,,,1.0,0.14285714285714285,,,,,,,,0.14285714285714285,0.14285714285714285,,2.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,0.75,0.3333333333333333,0.5,0.16666666666666666,1.0,0.4166666666666667,0.4,0.4,0.5,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,1816.0,30.0,11,67,65,44,46.0,8.0,132,1.0,2.0,1.0,,1.0,,2.0,2.0,5.0,10.0,55,2.0,1.0,2.0,7.0,2.0,2.0,2.0,1.0,3.0,1.0,,7.0,,2.0,,3.0,3.0,2.0,5.0,2.0,,1.0,1.0,2.0,3.0,1.0,4.0,1.0,7.0,44,,0.5,0.5,0.4,0.5,0.5833333333333334,0.8333333333333334,0.7142857142857143,0.875,12.987012987012987,0.3333333333333333,0.12,0.09090909090909091,,,0.10714285714285714,0.07142857142857142,,,0.4,0.1,,0.3333333333333333,0.5,0.5,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,,0.5,0.5126499999999999,0.45265,0.5004333333333333,0.7,9.42,0.6567164179104478,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,2.0,1.0,2.0,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.16666666666666666,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,0.2,25.1,1.0,1.0,,,3.0,,,,,2.0,2.0,,2.0,2.0,,0.5,0.5,0.5,,,1.0,0.16666666666666666,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,1610612763,Troy Bell,Troy Bell,2559,MEM,2094.0,35.0,7,77,74,48,47.0,11.0,151,1.0,6.0,,,5.0,2.0,6.0,4.0,14.0,11.0,67,2.0,3.0,11.0,6.0,4.0,4.0,4.0,,4.0,,2.0,8.0,,3.0,1.0,,1.0,3.0,4.0,1.0,1.0,5.0,2.0,1.0,6.0,3.0,6.0,,6.0,48,3.0,0.5,0.6666666666666666,0.2857142857142857,0.2727272727272727,0.2222222222222222,0.23076923076923078,0.2894736842105263,0.23076923076923078,27.77777777777778,0.8333333333333334,,0.1111111111111111,0.2,,0.03225806451612903,0.09090909090909091,0.15384615384615385,,,,,0.3333333333333333,0.16666666666666666,0.2,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,,0.38461538461538464,,0.5555555555555556,0.4939333333333333,0.45185,0.4800038461538461,0.5454545454545454,9.62142857142857,0.6233766233766234,,4.0,,2.0,,4.0,3.0,,2.0,,,4.0,,,,1.0,1.0,3.0,,,,,,,,,,0.2222222222222222,,,0.2222222222222222,,,,0.15384615384615385,,,0.05263157894736842,,25.424999999999997,1.0,2.0,1.0,,2.0,2.0,1.0,,,,,,,,0.5,0.5,0.5,,0.5,0.1,,0.1111111111111111,0.5,1.0,,0.18181818181818182,,,,,1.0,1.0,,,,,4.0,3.0,1.0,1.0,0.2857142857142857,0.16666666666666666,0.5,0.3333333333333333,0.1111111111111111,0.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,334.0,6.0,-10,14,15,12,15.0,1.0,29,,,,,,,1.0,,1.0,2.0,21,,,1.0,2.0,,,,,,,,,,,,2.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,2.0,12,1.0,,,,,,,0.3333333333333333,0.3333333333333333,26.666666666666668,1.0,0.4,,,,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,0.3879,,0.3879,1.0,18.6,0.8571428571428571,,,,,,,2.0,,,2.0,,,,,,,1.0,4.0,,,1.0,1.0,,,,,,,,0.6666666666666666,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,464.0,8.0,1,14,15,12,15.0,2.0,29,1.0,1.0,,1.0,1.0,,,1.0,2.0,3.0,19,1.0,1.0,2.0,3.0,2.0,,1.0,,1.0,,,2.0,,,,2.0,2.0,,2.0,,,,,,,,,,3.0,12,,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.75,12.5,,0.25,,,,0.25,,,,,0.5,,0.5,1.0,1.0,1.0,,,,,,0.5,1.0,0.5,0.42145,0.2529,0.42145,1.0,2.9,0.8571428571428571,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,0.5,0.5,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,434.0,7.0,9,19,17,8,11.0,1.0,36,1.0,1.0,,1.0,1.0,,1.0,2.0,3.0,4.0,10,,1.0,2.0,2.0,4.0,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,2.0,8,,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,15.0,,0.6666666666666666,,,,0.4,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,0.5,1.0,0.3333333333333333,0.4018,,0.415,0.5,8.200000000000001,0.42105263157894735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,1610612763,Theron Smith,Theron Smith,2604,MEM,362.0,6.0,-3,14,12,9,4.0,4.0,26,,,,,,,,,,1.0,13,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,9,,,,,,,,0.5,0.5,5.555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6428571428571429,,,,,,,1.0,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,1610612763,Bo Outlaw,Bo Outlaw,448,MEM,774.0,13.0,-4,25,27,9,6.0,5.0,52,1.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,26,1.0,,1.0,,2.0,,1.0,,1.0,,,2.0,,,,2.0,2.0,,2.0,,,,,,,,1.0,,,9,1.0,1.0,1.0,0.5,,0.5,,0.5,,6.25,,0.2222222222222222,,,,0.18181818181818182,,,,,0.2,,0.5,1.0,1.0,1.0,0.5,,,,1.0,,,0.5,0.3943,0.5417,0.2469,,9.75,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,,2.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
