EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,PtsPutbacks,NonHeaveArc3FGM,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffArc3ReboundPct,Loose Ball Fouls,LongMidRangePctBlocked,SecondChanceArc3FGM,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PtsUnassisted3s,BlockedLongMidRange,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,Corner3PctBlocked,Clear Path Fouls
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,12053.0,201,-38.0,338,333,43.0,19.0,47.0,671,2.0,3.0,7.0,13.0,44.0,1.0,1.0,1.0,1.0,6.0,1.0,16.0,53.0,1.0,7.0,35.0,325.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,1.0,7.0,22.0,10.0,3.0,6.0,1.0,41.0,3.0,44.0,1.0,2.0,14.0,5.0,22.0,91.0,1.0,16.0,17.0,17.0,1.0,1.0,9.0,2.0,5.0,6.0,1.0,4.0,2.0,15.0,3.0,3.0,7.0,11.0,1.0,2.0,2.0,2.0,1.0,7.0,43.0,0.6875,0.6875,1.0,0.1428571428571428,1.0,0.1428571428571428,0.3018867924528302,0.6666666666666666,0.4,0.2916666666666667,0.5,0.5833333333333334,0.2916666666666667,0.5,0.5833333333333334,0.1166666666666666,0.0188679245283018,0.5,19.18158567774936,0.6,0.1134751773049645,0.0344827586206896,0.1,0.1379310344827586,0.1186440677966101,0.0943396226415094,0.0555555555555555,0.5,0.0333333333333333,0.1166666666666666,0.4285714285714285,0.4285714285714285,0.7333333333333333,0.2954545454545454,0.2954545454545454,0.8461538461538461,0.0166666666666666,1.0,1.0,1.0,0.1,0.25,0.1666666666666666,1.0,0.15,0.4161108333333333,0.453725,0.4133916666666666,0.1142857142857142,0.2,16.839622641509433,24.6,0.1272189349112426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1713,1610612761,Vince Carter,Vince Carter,1713,TOR,17932.0,299,-23.0,510,515,100.0,64.0,77.0,1025,26.0,14.0,42.0,30.0,74.0,5.0,6.0,,1.0,17.0,1.0,62.0,142.0,7.0,23.0,188.0,487.0,9.0,20.0,3.0,30.0,11.0,28.0,,6.0,38.0,60.0,64.0,21.0,17.0,3.0,26.0,6.0,32.0,2.0,4.0,7.0,,19.0,70.0,3.0,20.0,24.0,35.0,12.0,8.0,14.0,2.0,8.0,10.0,1.0,6.0,2.0,24.0,3.0,4.0,12.0,21.0,3.0,3.0,1.0,3.0,3.0,38.0,100.0,0.4838709677419355,0.5357142857142857,1.0,0.3043478260869565,,0.3043478260869565,0.4366197183098591,0.45,0.3928571428571428,0.4393939393939394,0.5217391304347826,0.3235294117647059,0.4946524064171123,0.5769230769230769,0.4404761904761904,0.1393939393939394,0.0211267605633802,0.0384615384615384,35.28428093645485,0.5833333333333334,0.0934579439252336,0.0967741935483871,0.0938775510204081,0.125,0.0352941176470588,0.1348314606741573,0.1,1.0,0.1575757575757575,0.2545454545454545,0.3333333333333333,0.35,0.4484848484848485,0.4054054054054054,0.4054054054054054,0.7333333333333333,0.0363636363636363,0.8333333333333334,0.8333333333333334,1.0,0.103030303030303,0.0434782608695652,0.0294117647058823,,0.296969696969697,0.451650606060606,0.4667977272727273,0.4339132352941175,0.1595744680851064,0.202127659574468,12.315492957746478,24.460869565217397,0.196078431372549,18.0,7.0,7.0,3.0,5.0,2.0,2.0,2.0,5.0,43.0,2.0,6.0,16.0,12.0,2.0,1.0,10.0,1.0,11.0,4.0,4.0,51.0,1.0,6.0,18.0,5.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.0476190476190476,0.0833333333333333,0.0421940928270042,0.0263157894736842,0.04,0.0408163265306122,0.09375,0.0161290322580645,0.0909090909090909,0.0909090909090909,0.043010752688172,0.6923076923076923,0.72,0.3333333333333333,0.1428571428571428,0.1176470588235294,0.1176470588235294,1.0,0.3043478260869565,1.0,0.1428571428571428,0.0869565217391304,1.0,1.0,0.1470588235294117,0.6,0.1470588235294117,0.1176470588235294,0.0989010989010989,0.1132075471698113,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,8676.0,145,-4.0,248,251,43.0,34.0,29.0,499,8.0,1.0,5.0,4.0,12.0,3.0,10.0,3.0,5.0,5.0,1.0,9.0,25.0,6.0,15.0,40.0,246.0,,,1.0,,2.0,4.0,3.0,6.0,13.0,10.0,8.0,18.0,5.0,2.0,9.0,2.0,11.0,,2.0,4.0,1.0,4.0,24.0,1.0,8.0,9.0,12.0,13.0,8.0,2.0,,2.0,3.0,,,2.0,5.0,,1.0,6.0,12.0,1.0,2.0,1.0,2.0,2.0,13.0,43.0,0.5555555555555556,0.5555555555555556,1.0,0.4,0.5,0.4,0.36,,0.5,0.45,,0.65,0.4761904761904761,,0.65,0.375,0.08,0.25,16.433566433566433,0.4,0.0701754385964912,0.0833333333333333,0.0714285714285714,0.0833333333333333,0.0392156862745098,0.1025641025641025,,1.0,0.2,0.125,0.2,0.2,0.3,0.3333333333333333,0.3333333333333333,0.5,0.25,0.3,0.3,1.0,0.125,1.0,0.5,0.6,0.575,0.49474,0.5823,0.522755,,0.325,10.58,24.3,0.1733870967741935,4.0,,,1.0,1.0,,,3.0,1.0,4.0,,,,,3.0,1.0,2.0,,3.0,1.0,5.0,5.0,1.0,,3.0,,1.0,,,2.0,,,,0.0229885057471264,0.0434782608695652,0.0272727272727272,0.0416666666666666,,0.0227272727272727,,0.2,0.0454545454545454,0.5,0.6666666666666666,0.75,,0.6,0.6,1.0,,,,,,,0.1,1.0,0.1,0.6,0.0714285714285714,0.1111111111111111,0.1,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
213,1610612761,Antonio Davis,Antonio Davis,213,TOR,15417.0,257,-61.0,437,445,69.0,36.0,60.0,882,26.0,7.0,19.0,8.0,22.0,,,,,,,25.0,67.0,,,67.0,443.0,3.0,9.0,,8.0,1.0,9.0,,,4.0,32.0,18.0,,,13.0,1.0,3.0,4.0,1.0,2.0,,1.0,,11.0,3.0,38.0,42.0,65.0,2.0,2.0,6.0,,2.0,3.0,,4.0,,9.0,,,9.0,16.0,2.0,2.0,1.0,2.0,,4.0,69.0,0.64,0.6956521739130435,,,,,0.373134328358209,0.3333333333333333,0.1111111111111111,0.373134328358209,0.3333333333333333,0.1111111111111111,0.435064935064935,0.4,0.2,,0.1940298507462686,0.3076923076923077,17.09741550695825,0.6666666666666666,0.201058201058201,0.0967741935483871,0.1863636363636363,0.1714285714285714,0.1794871794871795,0.2368421052631578,0.1578947368421052,,0.3880597014925373,0.2835820895522388,0.3684210526315789,0.4375,0.3283582089552239,0.3636363636363636,0.4,0.875,,,,,,,,,0.3880597014925373,0.4483223880597015,0.4879666666666666,0.4711333333333333,0.1194029850746268,0.0597014925373134,7.905970149253732,,0.1578947368421052,10.0,2.0,5.0,1.0,5.0,,,,,17.0,,2.0,2.0,4.0,,1.0,22.0,1.0,23.0,,,20.0,,,9.0,1.0,1.0,1.0,,,,0.1578947368421052,0.125,0.1057692307692307,0.037037037037037,0.0978723404255319,0.14,0.1509433962264151,0.0666666666666666,,,,0.3846153846153846,0.5555555555555556,0.6,0.4285714285714285,,,,0.5555555555555556,0.4,,,,,0.5555555555555556,0.2,,,0.1184210526315789,0.1184210526315789,0.0526315789473684,3.0,0.0909090909090909,,,,,,,,,,,,,True,,,,,,,,,,,,,
966,1610612761,Jerome Williams,Jerome Williams,966,TOR,24025.0,400,-40.0,687,689,116.0,78.0,96.0,1376,38.0,4.0,12.0,2.0,6.0,,1.0,,,,,28.0,56.0,,1.0,77.0,668.0,9.0,18.0,1.0,26.0,1.0,6.0,,,12.0,36.0,20.0,,,4.0,11.0,,11.0,,,4.0,4.0,3.0,22.0,12.0,73.0,93.0,128.0,19.0,11.0,12.0,2.0,7.0,11.0,,5.0,3.0,23.0,4.0,4.0,9.0,30.0,4.0,3.0,1.0,3.0,2.0,12.0,116.0,0.6428571428571429,0.782608695652174,,,,,0.5,0.5,0.1666666666666666,0.4912280701754385,0.4736842105263157,0.1666666666666666,0.5422535211267606,0.5652173913043478,0.5454545454545454,0.0175438596491228,0.0714285714285714,0.1052631578947368,11.735330836454432,0.5217391304347826,0.247457627118644,0.3157894736842105,0.2552552552552553,0.1694915254237288,0.2966101694915254,0.2372881355932203,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2105263157894736,0.3333333333333333,0.3333333333333333,0.1052631578947368,0.3333333333333333,0.3333333333333333,1.0,0.0175438596491228,,,,,,,,0.6842105263157895,0.530382456140351,0.5237421052631579,0.4458166666666667,0.3376623376623376,0.1558441558441558,3.491071428571428,22.7,0.1688500727802037,22.0,8.0,15.0,1.0,2.0,,1.0,,,21.0,,8.0,10.0,10.0,,1.0,34.0,8.0,35.0,3.0,8.0,29.0,1.0,,12.0,3.0,2.0,1.0,8.0,3.0,,,0.5333333333333333,0.1129568106312292,0.0185185185185185,0.0985915492957746,0.1527777777777778,0.0958904109589041,0.1025641025641025,,0.2857142857142857,0.12,0.5789473684210527,0.6470588235294118,0.5454545454545454,1.0,,,,0.7894736842105263,0.5333333333333333,0.25,0.0526315789473684,,,0.3333333333333333,0.5,,,0.1764705882352941,0.1791044776119403,0.03125,2.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2547,1610612761,Chris Bosh,Chris Bosh,2547,TOR,7806.0,130,18.0,231,224,40.0,31.0,29.0,455,11.0,6.0,10.0,5.0,8.0,,,,,1.0,1.0,19.0,29.0,1.0,1.0,55.0,204.0,3.0,3.0,1.0,12.0,7.0,8.0,,,19.0,26.0,12.0,3.0,1.0,3.0,1.0,,1.0,,,1.0,,,2.0,,9.0,10.0,25.0,4.0,1.0,1.0,,1.0,1.0,,,,2.0,,,4.0,8.0,1.0,6.0,2.0,6.0,3.0,19.0,40.0,0.6842105263157895,0.6842105263157895,1.0,1.0,,1.0,0.6551724137931034,1.0,0.875,0.6833333333333333,1.125,0.875,0.7236842105263158,1.2,0.8636363636363636,0.0333333333333333,0.1034482758620689,0.0909090909090909,14.760147601476016,0.5,0.0918367346938775,,0.087378640776699,0.0454545454545454,0.0833333333333333,0.125,,0.5,0.3666666666666666,0.3333333333333333,0.6,0.75,0.2666666666666666,0.625,0.625,0.8,,,,,0.0333333333333333,0.25,,,0.4,0.4633483333333333,0.5190125,0.4942,0.2181818181818181,0.3454545454545454,8.565517241379311,26.2,0.1731601731601731,8.0,2.0,2.0,4.0,4.0,,,1.0,,14.0,1.0,3.0,5.0,,1.0,5.0,9.0,1.0,15.0,,3.0,18.0,2.0,,8.0,2.0,4.0,,,1.0,1.0,0.2,0.1666666666666666,0.1046511627906976,0.217391304347826,0.128440366972477,0.1428571428571428,,0.1276595744680851,0.1666666666666666,,,0.7272727272727273,0.8,0.625,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.5,,,,0.5,1.0,,1.0,0.2222222222222222,0.2285714285714285,0.2727272727272727,1.0,,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,,True,,,,,,,,,,,,,
441,1610612761,Lamond Murray,Lamond Murray,441,TOR,9230.0,154,-21.0,269,265,54.0,37.0,43.0,534,15.0,3.0,6.0,12.0,42.0,3.0,12.0,,,10.0,1.0,22.0,63.0,7.0,22.0,69.0,270.0,2.0,5.0,2.0,4.0,4.0,9.0,1.0,2.0,11.0,22.0,22.0,18.0,10.0,3.0,7.0,1.0,8.0,1.0,,3.0,1.0,3.0,17.0,,16.0,19.0,23.0,2.0,1.0,5.0,,3.0,11.0,1.0,2.0,3.0,16.0,2.0,5.0,8.0,17.0,6.0,3.0,1.0,3.0,3.0,11.0,54.0,0.5,0.5238095238095238,0.8571428571428571,0.3181818181818182,0.5,0.3181818181818182,0.3492063492063492,0.4,0.4444444444444444,0.3823529411764705,0.2857142857142857,0.5,0.3876404494382022,0.2857142857142857,0.5,0.2588235294117647,0.0476190476190476,0.2,32.20858895705522,0.3125,0.1391304347826087,,0.1300813008130081,0.1379310344827586,0.0952380952380952,0.1818181818181818,,1.0,0.1764705882352941,0.0705882352941176,0.5,0.5,0.4941176470588235,0.2857142857142857,0.2857142857142857,0.5833333333333334,0.1411764705882353,0.25,0.25,1.0,0.1176470588235294,0.1428571428571428,,,0.4352941176470588,0.4626958823529412,0.46935,0.4499181818181819,0.0579710144927536,0.1594202898550724,13.701587301587304,23.786363636363635,0.2007434944237918,7.0,1.0,2.0,2.0,2.0,,1.0,4.0,2.0,4.0,,,,2.0,4.0,2.0,2.0,3.0,4.0,,1.0,9.0,1.0,,5.0,,,,,,,,0.3333333333333333,0.017094017094017,0.074074074074074,0.0277777777777777,0.054054054054054,,,,,,0.4666666666666667,0.5833333333333334,0.5714285714285714,,0.4,0.4,0.75,0.2857142857142857,0.5,,0.1428571428571428,,,0.1818181818181818,1.0,0.1818181818181818,0.4,0.0561797752808988,0.0746268656716417,0.1428571428571428,,,,,,,,,1.0,3.0,2.0,0.5,,,True,,,,,,,,,,,,,
688,1610612761,Michael Curry,Michael Curry,688,TOR,12135.0,202,-38.0,343,343,31.0,20.0,43.0,686,7.0,2.0,6.0,13.0,29.0,1.0,5.0,,,2.0,1.0,17.0,42.0,1.0,7.0,40.0,333.0,2.0,4.0,1.0,4.0,1.0,2.0,,1.0,2.0,28.0,6.0,3.0,2.0,4.0,11.0,1.0,12.0,,1.0,3.0,,8.0,25.0,,7.0,7.0,8.0,3.0,2.0,4.0,3.0,1.0,3.0,,3.0,,7.0,1.0,1.0,9.0,21.0,,,,,,2.0,31.0,0.8235294117647058,0.8235294117647058,1.0,0.1428571428571428,,0.1428571428571428,0.4047619047619047,0.5,0.5,0.3775510204081632,0.4,0.3333333333333333,0.392156862745098,0.4,0.3333333333333333,0.1428571428571428,0.0952380952380952,0.5714285714285714,14.948453608247425,0.5714285714285714,0.0482758620689655,,0.0411764705882352,,0.0701754385964912,0.0476190476190476,,,0.1428571428571428,0.1224489795918367,0.3333333333333333,0.3333333333333333,0.5918367346938775,0.4482758620689655,0.4482758620689655,1.0,0.1020408163265306,0.2,0.2,1.0,0.0408163265306122,0.2,,,0.2857142857142857,0.4467346938775509,0.46468,0.549,0.1,0.05,14.964285714285714,23.5,0.0903790087463556,2.0,1.0,2.0,,1.0,,,,1.0,3.0,,,,,,,1.0,,1.0,,1.0,5.0,,,1.0,,,,,,,,,0.0062111801242236,,0.005524861878453,0.0294117647058823,,,,,,0.2857142857142857,0.6666666666666666,0.5,,,,,0.4,0.5,1.0,,,,0.3333333333333333,,0.3333333333333333,,0.0392156862745098,0.0232558139534883,,,,,,,,,,,,,,1.0,0.125,True,,,,,,,,,,,,,
2370,1610612761,Mengke Bateer,Mengke Bateer,2370,TOR,488.0,8,4.0,13,15,7.0,12.0,5.0,28,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,3.0,,,4.0,15.0,,1.0,,,1.0,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,,2.0,7.0,0.5,0.5,,,,,0.6666666666666666,,0.5,0.6666666666666666,,0.5,0.6666666666666666,,0.5,,,,21.05263157894737,1.0,0.25,,0.2,0.5,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,0.4061,0.497,0.4345,,0.5,8.066666666666668,,0.5384615384615384,,,1.0,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,0.2,,0.1428571428571428,,,0.5,,,,,,,,,,,1.0,,,,,,0.5,,,,,,,,,,1.0,,1.0,,,,,,,,,True,,,,,,,,,,,,,
1960,1610612761,Milt Palacio,Milt Palacio,1960,TOR,11901.0,198,,348,354,74.0,59.0,49.0,702,22.0,2.0,8.0,6.0,14.0,1.0,1.0,1.0,1.0,3.0,1.0,20.0,44.0,1.0,4.0,51.0,339.0,2.0,8.0,1.0,4.0,2.0,6.0,1.0,3.0,7.0,22.0,18.0,3.0,3.0,7.0,23.0,7.0,30.0,4.0,3.0,8.0,2.0,13.0,67.0,,8.0,8.0,10.0,4.0,3.0,10.0,5.0,5.0,11.0,,5.0,2.0,21.0,2.0,5.0,5.0,13.0,3.0,1.0,1.0,1.0,,7.0,74.0,0.55,0.55,1.0,0.25,0.3333333333333333,0.25,0.4545454545454545,0.25,0.3333333333333333,0.4479166666666667,0.2222222222222222,0.3888888888888889,0.4811320754716981,0.2222222222222222,0.3888888888888889,0.0833333333333333,0.1590909090909091,0.2727272727272727,18.092909535452325,0.4761904761904761,0.0519480519480519,,0.0490797546012269,0.0333333333333333,0.0338983050847457,0.0769230769230769,,,0.4583333333333333,0.1666666666666666,0.25,0.2857142857142857,0.2916666666666667,0.4285714285714285,0.4285714285714285,0.5,0.0208333333333333,1.0,1.0,1.0,0.0625,0.1111111111111111,0.1111111111111111,1.0,0.5416666666666666,0.5034574468085107,0.4308937499999999,0.42768125,0.0784313725490196,0.1372549019607843,7.397727272727272,28.85,0.2126436781609195,12.0,1.0,1.0,1.0,3.0,,,,2.0,8.0,,,,,,1.0,1.0,,2.0,,1.0,11.0,1.0,,6.0,,,,,3.0,,0.125,,0.0070921985815602,0.0357142857142857,0.0118343195266272,,,0.0151515151515151,,,,0.5454545454545454,0.75,0.5833333333333334,0.5,,,,0.1111111111111111,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.2222222222222222,,0.1132075471698113,0.1224489795918367,0.0769230769230769,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
