EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PtsPutbacks,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,HeaveAttempts,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,BlockedCorner3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,Corner3PctBlocked
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,11143.0,186,-34,338,338,92,110,43,676,2.0,5.0,1.0,1.0,1.0,4.0,7.0,11.0,33,4.0,7.0,1.0,10.0,23.0,1.0,4.0,8.0,17.0,45,14.0,30.0,14.0,90,379,2.0,6.0,1.0,2.0,6.0,5.0,10.0,4.0,9.0,5.0,27,14.0,20.0,21.0,21.0,23.0,10.0,2.0,25.0,3.0,28.0,1.0,2.0,9.0,9.0,7.0,59.0,1.0,1.0,4.0,1.0,6.0,1.0,7,1.0,3.0,1.0,2.0,6.0,3.0,3.0,4.0,3.0,1.0,10.0,1.0,3.0,4,13,1.0,17.0,3.0,6.0,1.0,27,92,3.0,0.4117647058823529,0.4117647058823529,0.5,0.4666666666666667,0.4444444444444444,0.4666666666666667,0.37777777777777777,0.3333333333333333,0.5,0.5066666666666667,0.2857142857142857,0.5789473684210527,0.5304878048780488,0.2857142857142857,0.5681818181818182,0.4,0.044444444444444446,0.4,23.58974358974359,0.6,0.1,0.027972027972027972,0.007352941176470588,0.03125,0.02857142857142857,0.006097560975609756,0.013333333333333334,0.043478260869565216,0.03571428571428571,0.125,0.025,0.06666666666666667,0.4,0.6666666666666666,0.5,0.09333333333333334,0.5714285714285714,0.5714285714285714,0.25,0.44,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.09333333333333334,0.5714285714285714,0.5714285714285714,0.75,0.30666666666666664,0.43478260869565216,0.43478260869565216,0.4,0.14285714285714285,0.14285714285714285,0.05263157894736842,1.0,0.05263157894736842,0.42105263157894735,0.5,0.4666666666666667,0.43478260869565216,0.4597779999999999,0.4303785714285714,0.4348026315789474,0.07407407407407407,0.11764705882352941,0.06666666666666667,0.3,15.844444444444447,25.119999999999997,0.27218934911242604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1709,1610612750,Michael Olowokandi,Michael Olowokandi,1709,MIN,24881.0,415,53,763,756,114,112,75,1519,9.0,18.0,7.0,1.0,3.0,37.0,100.0,2.0,6,,,,,,,,,48.0,124,,,10.0,106,754,4.0,17.0,,,8.0,4.0,13.0,,,2.0,10,78.0,18.0,,,,,9.0,8.0,,8.0,,,,,8.0,16.0,21.0,11.0,62.0,4.0,77.0,25.0,102,1.0,4.0,3.0,1.0,11.0,,7.0,13.0,4.0,4.0,24.0,1.0,3.0,35,64,4.0,17.0,,7.0,2.0,10,114,6.0,0.8125,0.8666666666666667,,,,,0.3870967741935484,0.23529411764705882,0.3076923076923077,0.3870967741935484,0.23529411764705882,0.3076923076923077,0.4015151515151515,0.2222222222222222,0.35714285714285715,,0.07258064516129033,0.1111111111111111,18.22429906542056,0.4583333333333333,0.21052631578947367,0.16802168021680217,0.07094594594594594,0.14285714285714285,0.16367713004484305,0.0728862973760933,0.06722689075630252,0.1134020618556701,0.16091954022988506,,0.015151515151515152,0.14516129032258066,0.5,0.5625,0.6666666666666666,0.8064516129032258,0.37,0.39361702127659576,0.8378378378378378,0.04838709677419355,0.3333333333333333,0.4,1.0,,,,,,,,,0.4117647058823529,,0.23076923076923078,0.3333333333333333,,,,0.14516129032258066,,0.41121290322580645,0.46554375,0.43989999999999996,0.05384615384615385,0.05384615384615385,0.07547169811320754,0.09433962264150944,8.208870967741936,,0.14941022280471822,3.0,6.0,4.0,1.0,1.0,5.0,1.0,29.0,13.0,1.0,15.0,29.0,16.0,2.0,2.0,8.0,0.06,0.16666666666666666,0.0851063829787234,0.0851063829787234,0.06923076923076923,0.08823529411764706,0.07692307692307693,0.23469387755102042,0.1746031746031746,0.5517241379310345,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,7172.0,120,-42,225,231,94,81,32,456,3.0,5.0,1.0,1.0,2.0,5.0,15.0,8.0,22,1.0,2.0,1.0,1.0,4.0,,,3.0,16.0,42,2.0,6.0,19.0,57,255,3.0,4.0,,1.0,7.0,3.0,15.0,,4.0,9.0,15,22.0,10.0,6.0,,4.0,1.0,2.0,8.0,1.0,9.0,1.0,,3.0,3.0,2.0,19.0,6.0,2.0,6.0,,8.0,7.0,15,2.0,2.0,1.0,1.0,4.0,,2.0,1.0,2.0,1.0,5.0,1.0,3.0,4,8,,23.0,,9.0,3.0,15,94,,0.6875,0.6875,1.0,0.3333333333333333,,0.3333333333333333,0.38095238095238093,0.75,0.2,0.3958333333333333,0.75,0.15789473684210525,0.4830508474576271,0.7,0.3125,0.125,0.047619047619047616,,24.615384615384613,0.8,,0.06315789473684211,0.06521739130434782,0.08,0.06666666666666667,0.05714285714285714,0.058823529411764705,0.041666666666666664,0.11627906976744186,0.2,0.07692307692307693,0.10416666666666667,0.6,0.6,1.0,0.3125,0.3333333333333333,0.35714285714285715,0.4,0.4583333333333333,0.36363636363636365,0.38095238095238093,0.75,0.041666666666666664,0.5,0.5,1.0,0.08333333333333333,0.25,0.3333333333333333,1.0,0.25,,0.10526315789473684,0.5,0.05263157894736842,0.15789473684210525,,0.22916666666666666,0.25,0.4303270833333333,0.417675,0.43857894736842107,0.16071428571428573,0.18,0.12280701754385964,0.2631578947368421,13.116666666666669,24.433333333333334,0.4177777777777778,1.0,,,,,,1.0,,,,,,,,,,0.06666666666666667,0.045454545454545456,,0.16666666666666666,0.034482758620689655,,,,,,1.0,1.0,1.0,0.16666666666666666,0.25,0.125,1.0,,,,,,,,,,,,,,,,,,,,,True,
2239,1610612750,Trenton Hassell,Trenton Hassell,2239,MIN,135795.0,2263,287,4223,4224,952,941,491,8447,44.0,76.0,23.0,11.0,17.0,20.0,55.0,109.0,237,3.0,3.0,2.0,1.0,10.0,,1.0,5.0,173.0,368,4.0,13.0,48.0,406,4192,22.0,45.0,,3.0,47.0,32.0,68.0,3.0,7.0,18.0,91,276.0,70.0,12.0,,9.0,1.0,14.0,108.0,25.0,133.0,19.0,6.0,33.0,29.0,46.0,291.0,54.0,49.0,130.0,10.0,189.0,68.0,257,4.0,36.0,22.0,14.0,27.0,5.0,19.0,19.0,8.0,4.0,46.0,1.0,16.0,95,200,5.0,61.0,,26.0,7.0,91,952,22.0,0.7976878612716763,0.8518518518518519,1.0,0.3076923076923077,0.42857142857142855,0.3333333333333333,0.4701086956521739,0.4888888888888889,0.47058823529411764,0.46981627296587924,0.4888888888888889,0.4866666666666667,0.4963325183374083,0.5,0.5229885057471264,0.03412073490813648,0.03804347826086957,0.07894736842105263,9.477192251614248,0.5869565217391305,0.09090909090909091,0.07262569832402235,0.0314868804664723,0.11316397228637413,0.08052181736392262,0.0335195530726257,0.030235162374020158,0.07024793388429752,0.07086614173228346,0.1574074074074074,0.021621621621621623,0.1994750656167979,0.5789473684210527,0.6285714285714286,0.4772727272727273,0.14435695538057744,0.36363636363636365,0.38461538461538464,0.75,0.6220472440944882,0.459915611814346,0.4698275862068966,0.9357798165137615,0.007874015748031496,1.0,1.0,1.0,0.026246719160104987,0.1,0.1,1.0,0.5111111111111111,,0.22666666666666666,0.6470588235294118,0.02666666666666667,0.06666666666666667,0.2,0.2335958005249344,0.1111111111111111,0.43335289473684196,0.4758999999999999,0.4205613333333333,0.06467661691542288,0.06683804627249357,0.11576354679802955,0.22413793103448276,13.400000000000004,27.03076923076923,0.22543215723419371,12.0,22.0,12.0,2.0,,4.0,5.0,51.0,19.0,14.0,18.0,54.0,35.0,,1.0,,0.05454545454545454,0.02109704641350211,0.047244094488188976,0.04276315789473684,0.02702702702702703,0.06282722513089005,,0.07720588235294118,0.09846153846153846,0.6481481481481481,0.5217391304347826,,2.0,,,0.021052631578947368,0.16666666666666666,2.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,True,
697,1610612750,Fred Hoiberg,Fred Hoiberg,697,MIN,29568.0,493,41,922,921,305,303,108,1843,10.0,15.0,1.0,4.0,5.0,1.0,4.0,22.0,49,3.0,11.0,4.0,7.0,26.0,7.0,1.0,7.0,33.0,68,10.0,37.0,14.0,110,911,1.0,4.0,7.0,,8.0,10.0,17.0,2.0,11.0,9.0,35,66.0,,30.0,,26.0,7.0,3.0,32.0,3.0,35.0,2.0,1.0,8.0,9.0,15.0,73.0,2.0,19.0,43.0,9.0,71.0,6.0,77,1.0,23.0,15.0,8.0,13.0,3.0,7.0,5.0,6.0,,18.0,1.0,5.0,18,35,,21.0,,4.0,6.0,35,305,4.0,1.0,1.0,1.0,0.2702702702702703,0.18181818181818182,0.2702702702702703,0.4852941176470588,0.25,0.5882352941176471,0.45714285714285713,0.36363636363636365,0.4642857142857143,0.4782608695652174,0.36363636363636365,0.5147058823529411,0.3523809523809524,0.04411764705882353,0.13333333333333333,12.678741658722593,0.7222222222222222,0.3,0.12112676056338029,0.005797101449275362,0.18811881188118812,0.13596491228070176,0.009876543209876543,0.010869565217391304,0.09782608695652174,0.12258064516129032,0.18518518518518517,0.017241379310344827,0.14285714285714285,0.6666666666666666,0.7692307692307693,1.0,0.0380952380952381,0.25,0.3333333333333333,1.0,0.4666666666666667,0.4489795918367347,0.4489795918367347,1.0,0.10476190476190476,0.2727272727272727,0.2727272727272727,1.0,0.24761904761904763,0.2692307692307692,0.2692307692307692,1.0,0.09090909090909091,0.6363636363636364,0.17857142857142858,0.8,0.14285714285714285,0.25,0.14285714285714285,0.49523809523809526,0.2692307692307692,0.4822761904761905,0.52610625,0.4939928571428572,0.03669724770642202,0.05555555555555555,0.07272727272727272,0.3181818181818182,14.744117647058824,24.610810810810808,0.33080260303687636,,,2.0,1.0,,,,2.0,2.0,,,3.0,2.0,,,,0.25,,0.03333333333333333,,,0.0425531914893617,,0.1388888888888889,0.1891891891891892,0.6666666666666666,,,2.0,,,0.058823529411764705,,1.0,,,1.0,,0.25,2.0,2.0,1.0,0.2857142857142857,0.2857142857142857,1.0,,,,,,,,,True,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,121729.0,2029,361,3792,3788,835,819,438,7580,168.0,246.0,62.0,44.0,60.0,152.0,329.0,190.0,435,,,,4.0,21.0,2.0,2.0,11.0,510.0,1010,4.0,21.0,218.0,1250,3732,66.0,124.0,2.0,41.0,173.0,107.0,195.0,2.0,11.0,77.0,297,684.0,336.0,12.0,,20.0,4.0,27.0,222.0,44.0,266.0,28.0,16.0,75.0,44.0,103.0,576.0,136.0,97.0,430.0,45.0,572.0,157.0,729,34.0,80.0,57.0,23.0,73.0,14.0,41.0,71.0,32.0,18.0,144.0,8.0,33.0,50,110,8.0,274.0,,119.0,31.0,297,835,12.0,0.6705882352941176,0.7110187110187111,1.0,0.19047619047619047,0.18181818181818182,0.2,0.504950495049505,0.532258064516129,0.5487179487179488,0.5004849660523764,0.5238095238095238,0.5339805825242718,0.5406574394463668,0.5844594594594594,0.5892857142857143,0.020368574199806012,0.026732673267326732,0.06504065040650407,30.09259259259259,0.5069444444444444,0.47368421052631576,0.2652683528685996,0.08831168831168831,0.24871794871794872,0.26205867727498755,0.08437146092865232,0.08281053952321205,0.23542600896860988,0.27180232558139533,0.25,0.07024793388429752,0.23860329776915615,0.6829268292682927,0.7304347826086957,0.6428571428571429,0.31910766246362754,0.46200607902735563,0.47648902821316613,0.5789473684210527,0.4219204655674103,0.4367816091954023,0.4377880184331797,0.7684210526315789,,,,,0.020368574199806012,0.19047619047619047,0.19047619047619047,1.0,0.49206349206349204,0.015873015873015872,0.2912621359223301,0.7333333333333333,,0.05339805825242718,0.18181818181818182,0.25897187196896215,0.2,0.43422713592233003,0.4694665254237288,0.4314080487804878,0.10577777777777778,0.10778985507246377,0.1384,0.2376,10.815346534653463,26.728571428571428,0.22020042194092826,37.0,58.0,13.0,7.0,,22.0,25.0,111.0,62.0,3.0,46.0,112.0,79.0,12.0,5.0,7.0,0.030395136778115502,0.0022988505747126436,0.05752212389380531,0.14492753623188406,0.06423982869379015,0.05389221556886228,0.06779661016949153,0.28336755646817247,0.24829931972789115,0.7053571428571429,0.5967741935483871,,8.0,,,0.10526315789473684,0.10810810810810811,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,True,
718,1610612750,Gary Trent,Gary Trent,718,MIN,27218.0,454,-1,844,839,247,228,104,1683,45.0,67.0,17.0,12.0,17.0,24.0,47.0,13.0,35,,,,,,,,,82.0,149,,,32.0,196,864,15.0,23.0,,5.0,35.0,24.0,43.0,,,11.0,59,118.0,46.0,,,,,13.0,17.0,3.0,20.0,2.0,1.0,9.0,3.0,5.0,43.0,28.0,10.0,55.0,7.0,72.0,38.0,110,1.0,6.0,2.0,4.0,8.0,1.0,3.0,8.0,5.0,1.0,16.0,2.0,3.0,29,53,6.0,39.0,,19.0,3.0,59,247,4.0,0.7195121951219512,0.8194444444444444,,,,,0.5503355704697986,0.6521739130434783,0.5581395348837209,0.5503355704697986,0.6521739130434783,0.5581395348837209,0.5903614457831325,0.6730769230769231,0.6145833333333334,,0.087248322147651,0.13432835820895522,18.87966804979253,0.5,0.2916666666666667,0.1697530864197531,0.08069164265129683,0.0970873786407767,0.1522248243559719,0.09336609336609336,0.06914893617021277,0.23255813953488372,0.171875,0.1,0.018518518518518517,0.44966442953020136,0.6716417910447762,0.7758620689655172,0.7777777777777778,0.31543624161073824,0.5106382978723404,0.5454545454545454,0.5416666666666666,0.2348993288590604,0.37142857142857144,0.38235294117647056,0.8461538461538461,,,,,,,,,0.7391304347826086,,0.3953488372093023,0.7058823529411765,,,,0.44966442953020136,,0.4765375838926174,0.5228428571428572,0.46808139534883714,0.1165644171779141,0.1165644171779141,0.17857142857142858,0.3010204081632653,6.9174496644295305,,0.29265402843601895,12.0,20.0,10.0,,,3.0,5.0,6.0,2.0,,4.0,6.0,3.0,1.0,1.0,1.0,0.06382978723404255,0.02857142857142857,0.16666666666666666,0.13636363636363635,0.06451612903225806,0.1702127659574468,0.15384615384615385,0.11818181818181818,0.0958904109589041,0.5,0.7058823529411765,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,True,
208,1610612750,Sam Cassell,Sam Cassell,208,MIN,112802.0,1880,352,3515,3503,694,652,420,7018,53.0,89.0,6.0,10.0,14.0,107.0,191.0,215.0,462,7.0,21.0,5.0,43.0,99.0,10.0,14.0,27.0,375.0,742,50.0,120.0,190.0,1090,3453,34.0,82.0,17.0,8.0,100.0,58.0,119.0,16.0,32.0,98.0,262,198.0,552.0,126.0,24.0,97.0,43.0,23.0,358.0,28.0,386.0,17.0,11.0,106.0,79.0,173.0,800.0,25.0,29.0,115.0,,144.0,29.0,173,5.0,66.0,37.0,29.0,80.0,23.0,61.0,71.0,19.0,5.0,151.0,10.0,30.0,48,149,7.0,214.0,23.0,59.0,43.0,262,694,7.0,0.264,0.2668463611859838,0.84,0.4166666666666667,0.5,0.423728813559322,0.5053908355795148,0.4146341463414634,0.48739495798319327,0.5220417633410673,0.46464646464646464,0.543046357615894,0.5615141955835962,0.4854368932038835,0.6354679802955665,0.13921113689095127,0.03099730458221024,0.11235955056179775,27.515605493133585,0.5298013245033113,,0.07661558960692871,0.017277125086385625,0.08169014084507042,0.07758620689655173,0.017554479418886198,0.010652463382157125,0.04914004914004914,0.09576138147566719,0.06818181818181818,0.012165450121654502,0.10324825986078887,0.5955056179775281,0.6708860759493671,0.2830188679245283,0.22157772621809746,0.5602094240837696,0.5783783783783784,0.17757009345794392,0.5359628770301624,0.4653679653679654,0.4725274725274725,0.3023255813953488,0.024361948955916472,0.3333333333333333,0.3333333333333333,1.0,0.1148491879350348,0.43434343434343436,0.43434343434343436,0.813953488372093,0.06060606060606061,0.10101010101010101,0.09271523178807947,0.7142857142857143,0.033112582781456956,0.17880794701986755,0.5185185185185185,0.24245939675174014,0.44329896907216493,0.4480208720930232,0.44701761363636355,0.4443751677852349,0.06497797356828194,0.07487309644670051,0.09174311926605505,0.24036697247706423,13.589892183288411,25.257499999999997,0.19743954480796586,4.0,8.0,4.0,10.0,,21.0,13.0,10.0,2.0,2.0,6.0,11.0,7.0,,3.0,1.0,0.031413612565445025,0.015151515151515152,0.01951219512195122,0.027777777777777776,0.02252252252252252,0.020134228187919462,0.017857142857142856,0.07439824945295405,0.08614232209737828,0.6363636363636364,0.6666666666666666,,,,,,0.25,2.0,2.0,2.0,1.0,1.0,0.4,7.0,8.0,,0.47058823529411764,0.7,0.5714285714285714,1.0,7.0,0.0707070707070707,0.14285714285714285,1.0,,,,True,
84,1610612750,Latrell Sprewell,Latrell Sprewell,84,MIN,101603.0,1693,249,3194,3200,634,622,360,6394,65.0,122.0,13.0,9.0,18.0,70.0,161.0,116.0,282,28.0,64.0,13.0,37.0,116.0,17.0,8.0,23.0,251.0,565,65.0,180.0,118.0,815,3172,26.0,55.0,24.0,9.0,88.0,35.0,78.0,16.0,36.0,44.0,162,350.0,152.0,180.0,15.0,113.0,36.0,35.0,146.0,11.0,157.0,9.0,2.0,43.0,43.0,60.0,325.0,27.0,28.0,118.0,,146.0,32.0,178,14.0,44.0,31.0,13.0,58.0,7.0,42.0,23.0,16.0,3.0,81.0,7.0,9.0,25,51,,146.0,,60.0,19.0,162,634,4.0,0.6972111553784861,0.7028112449799196,0.9230769230769231,0.3611111111111111,0.4444444444444444,0.3595505617977528,0.44424778761061945,0.4727272727272727,0.44871794871794873,0.4677852348993289,0.5,0.5175438596491229,0.5030864197530864,0.5238095238095238,0.5664335664335665,0.24161073825503357,0.061946902654867256,0.12295081967213115,24.62006079027356,0.7160493827160493,,0.08613138686131387,0.020914020139426802,0.08888888888888889,0.08664688427299704,0.020847343644922665,0.016566265060240965,0.06860158311345646,0.10608695652173913,0.10526315789473684,0.03608247422680412,0.16375838926174496,0.5327868852459017,0.6074766355140186,0.6307692307692307,0.21610738255033557,0.43478260869565216,0.4794520547945205,0.6,0.3785234899328859,0.41134751773049644,0.4187725631768953,0.7931034482758621,0.08590604026845637,0.4375,0.4375,0.9285714285714286,0.15570469798657718,0.31896551724137934,0.3217391304347826,0.918918918918919,0.16455696202531644,0.21518987341772153,0.15789473684210525,0.5,0.11403508771929824,0.20175438596491227,0.34782608695652173,0.4053691275167785,0.3185840707964602,0.4823033647375506,0.47169469696969696,0.4803455357142857,0.07711757269279393,0.09836065573770492,0.10797546012269939,0.19877300613496932,11.598584070796464,24.71055555555556,0.19849718221665624,7.0,4.0,4.0,4.0,,5.0,15.0,11.0,2.0,3.0,6.0,11.0,6.0,,,,0.09316770186335403,0.01773049645390071,0.02040816326530612,0.03153153153153153,0.022222222222222223,0.027777777777777776,,0.07451923076923077,0.08368200836820083,0.5454545454545454,0.5384615384615384,1.0,1.0,0.005555555555555556,0.008620689655172414,0.014084507042253521,0.7142857142857143,8.0,2.0,1.0,,,0.6153846153846154,5.0,9.0,,0.375,0.29411764705882354,1.0,4.0,7.0,0.08860759493670886,0.5714285714285714,0.5,1.0,1.0,0.0055248618784530384,True,
2058,1610612750,Mark Madsen,Mark Madsen,2058,MIN,29343.0,489,30,901,900,278,285,143,1801,41.0,59.0,18.0,11.0,21.0,6.0,21.0,1.0,2,,,,,4.0,1.0,,3.0,48.0,82,,4.0,18.0,114,906,16.0,24.0,1.0,5.0,37.0,14.0,26.0,,3.0,9.0,37,70.0,26.0,,,2.0,,9.0,9.0,1.0,10.0,1.0,,3.0,,6.0,21.0,47.0,4.0,45.0,3.0,52.0,53.0,105,1.0,17.0,11.0,6.0,8.0,,5.0,7.0,3.0,2.0,15.0,1.0,3.0,32,60,8.0,47.0,,14.0,10.0,37,278,8.0,0.7291666666666666,0.9459459459459459,,,,,0.5853658536585366,0.6666666666666666,0.5384615384615384,0.5581395348837209,0.64,0.4827586206896552,0.5229357798165137,0.578125,0.4625,0.046511627906976744,0.10975609756097561,0.13559322033898305,11.665098777046095,0.5333333333333333,0.125,0.12569832402234637,0.11380145278450363,0.05128205128205128,0.11238532110091744,0.10559006211180125,0.1085972850678733,0.09900990099009901,0.1282051282051282,0.10526315789473684,0.037037037037037035,0.686046511627907,0.6949152542372882,0.803921568627451,0.7073170731707317,0.2441860465116279,0.2857142857142857,0.3,0.8333333333333334,0.023255813953488372,0.5,0.5,1.0,,,,,0.046511627906976744,,,,0.72,0.04,0.7241379310344828,0.5238095238095238,,0.10344827586206896,,0.7325581395348837,,0.5096886904761905,0.527004347826087,0.5240907407407408,0.1414141414141414,0.14736842105263157,0.32456140350877194,0.32456140350877194,2.4560975609756097,48.400000000000006,0.30854605993340734,13.0,22.0,4.0,1.0,,3.0,1.0,7.0,3.0,1.0,3.0,7.0,2.0,,1.0,1.0,0.047619047619047616,,0.05714285714285714,0.1267605633802817,0.11570247933884298,0.05263157894736842,0.07692307692307693,0.1485148514851485,0.03389830508474576,0.2857142857142857,0.7222222222222222,,2.0,,,0.06666666666666667,0.23076923076923078,,2.0,,,,,,,,,,,,,,,,,,,True,
