EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG3M,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,ShortMidRangeAssists,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,LongMidRangePctBlocked,DefLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyAtRimFGM,PenaltyFG2M,OffThreePtRebounds,SelfOReb,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,PenaltyAtRimAccuracy,BlockedShortMidRange,AtRimAssists,DefShortMidRangeReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,BadPassSteals,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Corner3Assists,on,PenaltyArc3FGM,PtsUnassisted3s,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,PenaltyArc3Accuracy,Clear Path Fouls,DefensiveGoaltends,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,FTOffRebounds,3SecondViolations,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveMakes,Fg3aBlocked,ThreePtShootingFoulsDrawn,BlockedArc3,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips
147,1610612741,Jalen Rose,Jalen Rose,147,CHI,549.0,9,-2.0,20,18,4.0,8.0,3.0,38,1.0,1.0,1.0,1.0,3.0,1.0,14,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,0.25,21.73913043478261,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5278875000000001,0.3938,10.133333333333333,24.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612741,Jamal Crawford,Jamal Crawford,2037,CHI,720.0,12,-3.0,21,22,,11.0,1.0,43,,2.0,3.0,,5.0,3.0,21,,,1.0,,3.0,,,,,,,,,,0.375,36.36363636363637,,,,0.25,0.375,,0.375,0.4248187499999999,,16.240000000000002,26.133333333333336,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,10.0,1.0,1.0,3.0,4.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.4,0.625,1.5,0.625,1.5,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.375,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.5637,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,1610612741,Tyson Chandler,Tyson Chandler,2199,CHI,862.0,14,-12.0,28,26,9.0,14.0,7.0,54,4.0,1.0,,,5.0,,30,1.0,,,,,1.0,4.0,8.0,,,1.0,1.0,2.0,9.0,,23.684210526315788,,1.0,0.8,0.2,,,0.8,0.50522,0.3722,0.92,,0.3214285714285714,,,,,,,1.0,,7.0,,,4.0,,,,,,,,,,,,,0.2,0.2,0.3333333333333333,0.4375,0.5,,,,,,,,,,,,,,,0.5275,0.5714285714285714,1.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.4,0.25,1.0,0.6666666666666666,0.2105263157894736,0.5,0.6,0.1666666666666666,0.2857142857142857,0.3333333333333333,0.1111111111111111,1.0,0.5,1.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.1428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,1610612741,Roger Mason Jr.,Roger Mason Jr.,2427,CHI,2624.0,44,-30.0,85,84,38.0,42.0,13.0,169,1.0,1.0,3.0,,5.0,6.0,92,4.0,2.0,3.0,1.0,7.0,,3.0,3.0,,,2.0,2.0,5.0,38.0,0.5454545454545454,12.745098039215684,,,0.0909090909090909,0.0909090909090909,0.2727272727272727,,0.6363636363636364,0.4869818181818182,0.4844714285714286,14.3,25.600000000000005,0.4470588235294118,,,1.0,6.0,,1.0,,1.0,3.0,,1.0,,,3.0,6.0,1.0,1.0,1.0,,,1.0,0.1666666666666666,,0.1666666666666666,,0.1363636363636363,,0.1363636363636363,,,,,,,,0.5454545454545454,0.1666666666666666,0.1666666666666666,1.0,1.0,,,0.1666666666666666,0.5268,,,,,,,,,,,,,1.0,,,3.0,,2.0,1.0,,,,,,,,,,,,0.2,,,0.1153846153846153,,,0.1,,,,,0.0714285714285714,,,,,,,,,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.4,0.1428571428571428,0.4285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,1610612741,Lonny Baxter,Lonny Baxter,2437,CHI,1418.0,24,-10.0,45,46,22.0,33.0,7.0,91,6.0,1.0,2.0,,9.0,,42,3.0,,,,,2.0,3.0,6.0,2.0,1.0,4.0,2.0,3.0,22.0,,27.27272727272727,0.5,0.2857142857142857,0.6666666666666666,0.1111111111111111,0.2222222222222222,,0.6666666666666666,0.5018999999999999,0.5738666666666666,4.955555555555556,,0.4888888888888889,1.0,,,,,,3.0,,8.0,,,,4.0,,,,,,0.6666666666666666,0.6666666666666666,,,,,0.3333333333333333,0.3333333333333333,,0.3636363636363636,,1.0,1.0,1.0,,,,,,,,,,,,0.5431,,2.0,,2.0,2.0,,2.0,,2.0,4.0,2.0,,1.0,2.0,1.0,,3.0,2.0,2.0,,4.0,2.0,,2.0,2.0,2.0,2.0,4.0,,0.4,0.1111111111111111,0.1666666666666666,,,0.0869565217391304,0.5,0.0666666666666666,0.1,0.1111111111111111,0.1666666666666666,,,,1.0,0.3333333333333333,0.4,1.0,,0.1818181818181818,0.1818181818181818,0.5,3.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.1428571428571428,0.1666666666666666,1.0,0.2,0.5,0.3333333333333333,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,1610612741,Eddy Curry,Eddy Curry,2201,CHI,771.0,13,-1.0,25,25,9.0,8.0,2.0,50,,1.0,,,1.0,,24,,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,,1.0,6.0,7.0,9.0,,7.4074074074074066,1.0,0.2,,1.0,,,,0.3815,,10.0,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,0.2,,,0.1666666666666666,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1610612741,Kendall Gill,Kendall Gill,383,CHI,1461.0,24,-20.0,48,48,31.0,31.0,7.0,96,3.0,2.0,5.0,,10.0,,56,9.0,1.0,1.0,,2.0,,2.0,3.0,3.0,,3.0,,,31.0,,30.35714285714285,1.0,,0.3,0.2,0.5,,0.3,0.4434999999999999,0.4161555555555555,11.080000000000002,,0.6458333333333334,1.0,2.0,,,,,4.0,,15.0,,,2.0,6.0,,,,,,0.75,0.75,,,,,0.4,0.4,,0.5357142857142857,0.25,0.5,0.5,1.0,0.4,0.5,0.5,,,,,,,,,0.5590666666666667,0.1333333333333333,1.0,,2.0,7.0,,3.0,2.0,6.0,12.0,2.0,,2.0,1.0,,2.0,1.0,,2.0,,8.0,2.0,2.0,,,,,12.0,,0.5,0.2,0.3333333333333333,,0.0952380952380952,0.0454545454545454,,0.0869565217391304,0.037037037037037,0.1428571428571428,,,,,,0.3333333333333333,0.5,0.6666666666666666,,0.1666666666666666,0.1666666666666666,0.8,2.0,,,,,,,,0.2,,0.2222222222222222,,,3.0,,1.0,3.0,,,,,0.3333333333333333,0.3333333333333333,,,,0.25,1.0,,,1.0,0.3333333333333333,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1610612741,Donyell Marshall,Donyell Marshall,923,CHI,1404.0,23,-27.0,45,45,21.0,16.0,6.0,90,1.0,,3.0,1.0,4.0,2.0,57,1.0,3.0,3.0,1.0,6.0,,3.0,3.0,,,,2.0,2.0,21.0,0.3333333333333333,11.76470588235294,,,0.1666666666666666,,0.5,0.1666666666666666,0.5,0.4562916666666666,0.4339,15.875,25.0,0.4666666666666667,,,,1.0,,,,1.0,3.0,,,,,3.0,1.0,,,,,,1.0,0.5,,0.5,,0.25,,0.25,,,,,,,,0.1666666666666666,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,3.0,3.0,3.0,2.0,3.0,,0.75,,,,0.1578947368421052,,,0.1428571428571428,,,,,0.2,,0.6666666666666666,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.75,,,,,,,,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,1610612741,Scottie Pippen,Scottie Pippen,937,CHI,227.0,4,-2.0,7,8,,,3.0,15,,1.0,,,1.0,2.0,6,,,,,,,,,,,,,,,0.6666666666666666,23.07692307692308,,,,0.3333333333333333,,,0.6666666666666666,0.4489166666666666,,4.4,25.7,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,1610612741,Eddie Robinson,Eddie Robinson,1944,CHI,1885.0,31,-27.0,60,60,34.0,34.0,10.0,120,2.0,2.0,5.0,,9.0,1.0,71,5.0,2.0,3.0,1.0,7.0,,2.0,4.0,2.0,,2.0,,,34.0,0.1,16.216216216216218,1.0,,0.2,0.2,0.5,,0.3,0.4333888888888889,0.43532,12.488888888888887,35.8,0.5666666666666667,,2.0,,1.0,,,3.0,,6.0,,,2.0,4.0,,1.0,,1.0,1.0,0.6666666666666666,1.0,,,,,0.3333333333333333,0.3,1.0,0.3,1.0,,,,0.4,0.4,1.0,0.1,,,,,,,,0.5711,0.3333333333333333,1.0,1.0,1.0,,1.0,1.0,,,6.0,2.0,2.0,,1.0,,2.0,2.0,,1.0,,,,,,,,,6.0,1.0,0.5,,,,0.1,0.032258064516129,,0.0869565217391304,0.05,,,0.0666666666666666,0.0833333333333333,,,0.5,0.5,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,0.5,0.1666666666666666,0.1666666666666666,1.0,3.0,1.0,,2.0,,,,,0.6,0.5,0.1111111111111111,0.1111111111111111,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
