EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockedAtRim,ShortMidRangePctBlocked,ShortMidRangeFGM,HeaveAttempts,ThreePtAssists,Arc3Assists,Corner3Assists,SecondChanceTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3FGA,LongMidRangePctBlocked,SecondChanceArc3Frequency,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked,HeaveMakes,Clear Path Fouls
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,6560.0,109,14,201,204,75,74,21.0,405,5.0,10.0,3.0,4.0,1.0,3.0,2.0,3.0,10.0,5.0,10.0,2.0,3.0,4.0,3.0,9.0,1.0,1.0,8.0,22.0,8.0,19.0,12.0,52.0,179,3.0,5.0,2.0,4.0,10.0,1.0,7.0,4.0,5.0,3.0,17.0,6.0,10.0,21.0,3.0,4.0,9.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,9.0,2.0,12.0,2.0,16.0,10.0,26.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,6.0,12.0,1.0,2.0,14.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,17.0,75,2.0,0.375,0.5,0.875,0.42105263157894735,0.8,0.42105263157894735,0.36363636363636365,0.6,0.14285714285714285,0.4878048780487805,0.42857142857142855,0.5833333333333334,0.5425531914893617,0.5555555555555556,0.6153846153846154,0.4634146341463415,0.09090909090909091,0.2,24.017467248908297,0.25,0.2,0.17142857142857143,0.1232876712328767,0.11764705882352941,0.043478260869565216,0.16091954022988506,0.10416666666666667,0.16666666666666666,0.2222222222222222,0.03225806451612903,0.07692307692307693,0.15789473684210525,0.05263157894736842,0.25,0.06666666666666667,0.5,0.08695652173913043,1.0,0.24390243902439024,0.5,0.625,0.4,0.04878048780487805,0.24390243902439024,0.3,0.3,0.3333333333333333,0.24390243902439024,0.5,0.5,0.8,0.21951219512195122,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.75,0.3333333333333333,0.2857142857142857,0.25,0.3333333333333333,0.3333333333333333,0.75,0.08333333333333333,1.0,0.7073170731707317,0.3333333333333333,0.5059841463414634,0.5408642857142857,0.5245083333333334,0.1276595744680851,0.21428571428571427,0.19230769230769232,0.3269230769230769,9.27727272727273,24.057894736842105,0.373134328358209,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,1994.0,33,7,63,61,18,18,10.0,124,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,,1.0,5.0,,,,2.0,45,1.0,2.0,,,2.0,1.0,4.0,,,,2.0,,2.0,,,2.0,,,2.0,,,,,,,,3.0,2.0,6.0,1.0,9.0,3.0,12.0,,1.0,1.0,,,,,,,,,,,2.0,6.0,,,,,,2.0,,2.0,2.0,,2.0,18,1.0,,,,,,,0.2,0.5,0.25,0.2,0.5,0.25,0.2,0.5,0.25,,0.4,0.5,6.578947368421052,,0.25,0.2608695652173913,0.1111111111111111,0.5,,0.2962962962962963,0.08823529411764706,0.18181818181818182,0.14285714285714285,,,0.4,0.3333333333333333,0.2,0.5,,,1.0,0.4,0.5,1.0,,0.4,0.2,,,,,,,,,,,,1.0,0.5,,,0.5,0.5,,,,,0.4,,0.47106000000000003,0.5885,0.49272499999999997,,,1.0,1.0,6.4799999999999995,,0.2857142857142857,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,7194.0,120,24,210,218,71,51,23.0,428,7.0,16.0,,2.0,4.0,9.0,15.0,8.0,13.0,1.0,3.0,,,,,1.0,,1.0,20.0,44.0,1.0,4.0,7.0,50.0,189,2.0,4.0,,,4.0,9.0,15.0,,1.0,1.0,19.0,22.0,18.0,3.0,,4.0,,,2.0,1.0,3.0,,,1.0,8.0,4.0,3.0,4.0,18.0,1.0,23.0,7.0,30.0,,2.0,2.0,,1.0,3.0,,6.0,1.0,,1.0,7.0,3.0,5.0,15.0,1.0,2.0,11.0,,5.0,1.0,,1.0,1.0,,19.0,71,1.0,0.55,0.6111111111111112,1.0,0.25,,0.3333333333333333,0.45454545454545453,0.5,0.6,0.4479166666666667,0.5,0.5625,0.4716981132075472,0.5,0.5588235294117647,0.08333333333333333,0.045454545454545456,0.125,25.0,0.14285714285714285,0.1,0.24324324324324326,0.04054054054054054,0.21052631578947367,0.17391304347826086,0.23655913978494625,0.07216494845360824,,0.08333333333333333,0.03225806451612903,0.2,0.3333333333333333,0.2,0.23076923076923078,0.23529411764705882,,,1.0,0.3333333333333333,0.4375,0.5,0.7142857142857143,0.3125,0.2708333333333333,0.6153846153846154,0.6153846153846154,0.625,0.0625,0.3333333333333333,0.3333333333333333,1.0,0.020833333333333332,,,,0.5,,,,0.5625,0.4444444444444444,,,0.0625,,0.4166666666666667,,0.4727287234042555,0.5408666666666666,0.50366,0.09615384615384616,0.10416666666666667,0.08,0.38,8.563636363636364,29.525,0.3380952380952381,1.0,,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.125,0.3333333333333333,0.3333333333333333,0.2,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,5165.0,86,19,149,155,40,37,17.0,304,8.0,11.0,1.0,3.0,2.0,2.0,2.0,3.0,7.0,1.0,3.0,,,,2.0,2.0,2.0,2.0,12.0,20.0,3.0,5.0,5.0,38.0,134,1.0,3.0,,,2.0,3.0,4.0,2.0,2.0,,12.0,8.0,16.0,3.0,6.0,,2.0,2.0,,9.0,14.0,7.0,1.0,1.0,33.0,,2.0,1.0,5.0,1.0,7.0,2.0,9.0,1.0,5.0,3.0,2.0,4.0,,2.0,3.0,2.0,,1.0,7.0,1.0,2.0,5.0,1.0,1.0,5.0,,3.0,1.0,,1.0,1.0,,12.0,40,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,1.0,0.6,0.6,0.3333333333333333,0.75,0.66,0.3333333333333333,1.0,0.7037037037037037,0.3333333333333333,1.0,0.2,,,20.118343195266274,0.5714285714285714,0.125,0.09090909090909091,0.04,0.07692307692307693,,0.08823529411764706,0.030303030303030304,0.058823529411764705,,0.05,,0.07142857142857142,0.13333333333333333,0.07692307692307693,0.09090909090909091,,0.1,1.0,0.44,0.7272727272727273,0.7272727272727273,0.375,0.08,0.28,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.12,0.3333333333333333,0.3333333333333333,,0.08,1.0,1.0,0.5,1.0,0.3333333333333333,,,0.3333333333333333,1.0,,,0.3333333333333333,1.0,0.64,1.0,0.47190200000000004,0.5026,0.4314833333333334,0.1111111111111111,0.13636363636363635,0.05263157894736842,0.3157894736842105,8.755,24.240000000000002,0.2684563758389262,1.0,,1.0,,5.0,4.0,1.0,1.0,1.0,,,0.5,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2249,1610612754,Jamison Brewer,Jamison Brewer,2249,IND,9736.0,162,21,289,299,95,87,35.0,588,6.0,10.0,2.0,2.0,2.0,3.0,3.0,2.0,8.0,,4.0,,,1.0,5.0,10.0,1.0,4.0,8.0,21.0,5.0,14.0,1.0,32.0,260,2.0,2.0,1.0,,4.0,3.0,6.0,1.0,5.0,1.0,10.0,6.0,10.0,9.0,6.0,4.0,9.0,5.0,5.0,12.0,17.0,6.0,2.0,4.0,39.0,1.0,1.0,4.0,5.0,,9.0,2.0,11.0,,7.0,3.0,4.0,5.0,2.0,4.0,5.0,1.0,1.0,,10.0,5.0,3.0,9.0,,1.0,6.0,,1.0,,,,,,10.0,95,,0.375,0.5,0.6,0.35714285714285715,0.2,0.38461538461538464,0.38095238095238093,1.0,0.5,0.44285714285714284,0.6666666666666666,0.4090909090909091,0.42105263157894735,0.6666666666666666,0.38461538461538464,0.4,0.23809523809523808,0.2,14.371257485029941,0.5,,0.04807692307692308,0.009615384615384616,0.14285714285714285,0.03225806451612903,0.06818181818181818,0.014814814814814815,,,0.024390243902439025,,,0.06896551724137931,0.0625,0.12,0.3333333333333333,,,0.2857142857142857,0.6,0.75,0.5,0.08571428571428572,0.22857142857142856,0.25,0.2857142857142857,,0.11428571428571428,,,,0.2857142857142857,0.5,0.5,0.6,0.6666666666666666,1.0,,,0.2727272727272727,0.6666666666666666,0.09090909090909091,,0.36363636363636365,0.25,0.6857142857142857,0.5555555555555556,0.5012,0.486225,0.43799090909090915,0.027777777777777776,0.045454545454545456,0.125,0.3125,8.371428571428572,27.885714285714293,0.328719723183391,,0.6666666666666666,,1.0,5.0,2.0,3.0,,,2.0,0.06666666666666667,,,,1.0,0.125,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,6644.0,111,8,199,206,60,58,24.0,405,3.0,7.0,,,1.0,1.0,3.0,2.0,12.0,,3.0,,,2.0,1.0,4.0,1.0,2.0,7.0,22.0,1.0,7.0,6.0,23.0,182,,1.0,1.0,,,3.0,8.0,1.0,4.0,4.0,13.0,10.0,4.0,3.0,,,4.0,1.0,2.0,9.0,13.0,3.0,3.0,3.0,30.0,,1.0,2.0,7.0,,9.0,1.0,10.0,1.0,6.0,6.0,,5.0,1.0,4.0,2.0,1.0,,,7.0,4.0,7.0,13.0,,1.0,8.0,,2.0,1.0,,1.0,1.0,,13.0,60,,0.7142857142857143,0.7142857142857143,1.0,0.14285714285714285,0.25,0.14285714285714285,0.3181818181818182,,0.375,0.29310344827586204,,0.375,0.3484848484848485,,0.4642857142857143,0.2413793103448276,0.09090909090909091,0.14285714285714285,17.24137931034483,0.7142857142857143,,0.09859154929577464,0.0136986301369863,0.11764705882352941,,0.10227272727272728,0.010638297872340425,,,0.03571428571428571,,0.06666666666666667,0.1111111111111111,0.10526315789473684,0.125,,0.05263157894736842,1.0,0.2413793103448276,0.42857142857142855,0.5,1.0,0.10344827586206896,0.41379310344827586,0.16666666666666666,0.16666666666666666,,0.10344827586206896,,,,0.13793103448275862,0.25,0.25,1.0,,,,,0.08333333333333333,1.0,0.16666666666666666,,0.16666666666666666,0.5,0.4827586206896552,0.25,0.49617241379310345,0.59865,0.44551250000000003,0.06451612903225806,0.08333333333333333,,0.5652173913043478,11.804545454545455,24.2,0.3015075376884422,1.0,0.3333333333333333,2.0,,4.0,3.0,1.0,1.0,,2.0,,0.6666666666666666,1.0,1.0,1.0,,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2056,1610612754,Primoz Brezec,Primoz Brezec,2056,IND,1104.0,18,-4,38,39,18,22,4.0,77,3.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,4.0,6.0,,,2.0,10.0,35,1.0,1.0,,,2.0,2.0,2.0,,,2.0,6.0,6.0,2.0,,,,,,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,2.0,3.0,2.0,5.0,,,,,2.0,,,,2.0,,,2.0,1.0,2.0,4.0,1.0,,3.0,,2.0,1.0,,1.0,1.0,,6.0,18,1.0,0.75,0.75,,,,,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.7142857142857143,1.0,1.0,,0.16666666666666666,0.2,20.454545454545453,1.0,0.6666666666666666,0.08333333333333333,0.07692307692307693,,0.2,0.06666666666666667,0.1111111111111111,,,0.2,0.5,0.2,,,,,,1.0,0.8333333333333334,0.6,0.75,0.6666666666666666,0.16666666666666666,,,,,,,,,,,,,1.0,1.0,1.0,,0.5,1.0,,,,,0.8333333333333334,,0.5400333333333333,,0.4966,0.2857142857142857,0.2857142857142857,0.2,0.6,1.5999999999999999,,0.47368421052631576,1.0,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,2133.0,36,-2,58,64,10,15,9.0,122,3.0,4.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,4.0,5.0,,,3.0,11.0,59,1.0,2.0,,3.0,5.0,,,,,2.0,2.0,6.0,2.0,,,2.0,,,,1.0,1.0,,1.0,,2.0,1.0,5.0,,5.0,,5.0,6.0,11.0,,2.0,,2.0,1.0,,1.0,1.0,,,,2.0,,1.0,2.0,,,5.0,,3.0,,,,,,2.0,10,1.0,0.75,1.0,,,,,0.8,0.5,,0.8,0.5,,0.7857142857142857,0.625,1.0,,,,13.043478260869566,0.5,,0.2631578947368421,0.23809523809523808,,0.25,0.18518518518518517,0.24,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.5,0.5,0.1111111111111111,0.25,,,,,0.8,0.75,0.75,0.6666666666666666,,0.2,1.0,1.0,1.0,,,,,,,,,1.0,0.5,,,,,,,,,0.8,,0.5244,0.5262,,0.42857142857142855,0.42857142857142855,0.45454545454545453,0.18181818181818182,3.7,,0.1724137931034483,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,3013.0,50,12,88,91,29,26,12.0,179,,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,3.0,6.0,,1.0,1.0,3.0,4.0,7.0,1.0,15.0,73,,,,,,,1.0,1.0,2.0,,3.0,,2.0,9.0,3.0,,6.0,3.0,,8.0,8.0,4.0,4.0,,16.0,,,3.0,2.0,1.0,6.0,,6.0,,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,3.0,,,2.0,1.0,,,,,,,3.0,29,1.0,,,0.75,0.5714285714285714,0.5,0.5714285714285714,0.3333333333333333,,,0.7,,0.5,0.7,,0.5,0.7,,,10.784313725490195,1.0,0.3333333333333333,0.05405405405405406,,0.25,,0.10204081632653061,,,,,,0.06666666666666667,0.08333333333333333,,0.2,0.5,,,,,,,0.1,0.2,0.5,0.5,,0.1,1.0,1.0,1.0,0.6,0.5,0.5,0.6666666666666666,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,0.7,0.5,0.47414000000000006,,0.44115,0.1,,,0.2,15.200000000000001,25.314285714285713,0.32954545454545453,,,,,,,,,,,,,,,,,,,1.0,1.0,0.14285714285714285,,,,True,,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,4853.0,81,11,139,146,48,35,20.0,285,5.0,10.0,1.0,4.0,3.0,3.0,21.0,2.0,10.0,,,,,,,,,,20.0,41.0,,,4.0,44.0,127,5.0,9.0,,,10.0,4.0,9.0,,,4.0,12.0,24.0,16.0,,,6.0,,,5.0,1.0,1.0,1.0,,,2.0,,5.0,4.0,12.0,4.0,20.0,7.0,27.0,,3.0,2.0,1.0,5.0,1.0,3.0,7.0,2.0,,1.0,12.0,3.0,3.0,10.0,1.0,4.0,7.0,,3.0,6.0,,6.0,5.0,,12.0,48,,0.6,0.7058823529411765,,,,,0.4878048780487805,0.5555555555555556,0.4444444444444444,0.4878048780487805,0.5555555555555556,0.4444444444444444,0.5,0.5555555555555556,0.5454545454545454,,0.12195121951219512,0.4,34.146341463414636,0.4166666666666667,0.6666666666666666,0.22641509433962265,0.1,0.2222222222222222,,0.22535211267605634,0.07575757575757576,0.21428571428571427,0.058823529411764705,0.05263157894736842,,0.23076923076923078,0.21052631578947367,0.23809523809523808,0.26666666666666666,,,0.8333333333333334,0.24390243902439024,0.5,0.8333333333333334,0.4,0.5121951219512195,0.24390243902439024,0.2,0.2,1.0,,,,,,,,,0.4444444444444444,0.25,,,0.3333333333333333,1.0,,,,,0.24390243902439024,,0.4242731707317073,0.4675625,0.4611444444444444,0.06976744186046512,0.06976744186046512,0.22727272727272727,0.2727272727272727,9.058536585365854,,0.34532374100719426,5.0,0.047619047619047616,13.0,,,,,3.0,1.0,1.0,,0.6190476190476191,0.65,0.6153846153846154,,,,1.0,,,,2.0,1.0,0.2,True,,,,,,,,,,,,,,,,,,,,
