EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeAssists,LiveBallTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,LiveBallTurnoverPct,DefArc3ReboundPct,AtRimPctAssisted,Offensive Fouls,ThreePtAssists,Arc3Assists,AtRimAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,BadPassTurnovers,SecondChanceTurnovers,ShootingFouls,NonShootingFoulsDrawn,ShortMidRangePctBlocked,PenaltyAtRimFGM,FTDefRebounds,DefFTReboundPct,PenaltyAtRimAccuracy,BadPassOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,on,Corner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,Fg3aBlocked,OffThreePtRebounds,Loose Ball Fouls,BlockedAtRim,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3Assists,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Clear Path Fouls,HeaveMakes,3pt And 1 Free Throw Trips
1542,1610612746,Predrag Drobnjak,Predrag Drobnjak,1542,LAC,2189.0,36,-18,69,69,18,24.0,11.0,138,1.0,4.0,1.0,3.0,2.0,2.0,4.0,3.0,7.0,1.0,1.0,6.0,15.0,1.0,1.0,3.0,18.0,76,1.0,3.0,3.0,5.0,4.0,8.0,1.0,9.0,8.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,7.0,8.0,5.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,9.0,18,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.46875,0.3333333333333333,0.5,0.5,0.5,0.5,0.0625,0.06666666666666667,0.25,23.170731707317074,0.21212121212121213,0.1388888888888889,0.25,0.21621621621621623,0.13157894736842105,0.23076923076923078,0.25,0.05263157894736842,0.42857142857142855,0.2,0.125,0.3333333333333333,0.125,0.25,0.25,0.3333333333333333,0.25,0.5,0.5,0.5,0.4375,0.42857142857142855,0.42857142857142855,1.0,0.0625,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.3125,1.0,0.4478375,0.5971,0.4534375,0.1111111111111111,0.11764705882352941,0.2777777777777778,0.5,10.993333333333334,25.5,0.2608695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,1970.0,33,-15,61,60,10,11.0,7.0,121,3.0,4.0,,1.0,,2.0,2.0,,7.0,,,5.0,13.0,,,5.0,15.0,63,,1.0,,,,1.0,,,6.0,4.0,,,,,,1.0,1.0,,2.0,1.0,2.0,4.0,6.0,1.0,7.0,,,,,,1.0,1.0,6.0,4.0,,10,,0.6,0.6,,,,0.38461538461538464,,,0.38461538461538464,,,0.5,,,,,,22.535211267605636,0.13333333333333333,0.029411764705882353,0.5,0.17647058823529413,0.02702702702702703,0.1,,,,0.125,0.1875,0.5,,0.3076923076923077,0.75,0.75,0.15384615384615385,1.0,1.0,0.5,0.5384615384615384,,,,,,,,1.0,,,0.3076923076923077,,0.4547769230769231,0.5463,0.3834,0.26666666666666666,0.26666666666666666,,,10.353846153846153,,0.16393442622950818,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,901.0,15,-1,29,27,14,13.0,7.0,56,,2.0,,,2.0,,,1.0,3.0,,,1.0,5.0,,,3.0,5.0,28,,,,,1.0,3.0,2.0,4.0,,2.0,,,,,1.0,,,,,,,2.0,2.0,,2.0,,,,1.0,,1.0,2.0,4.0,2.0,4.0,14,1.0,,,,,,0.2,,0.3333333333333333,0.2,,0.3333333333333333,0.35714285714285715,,0.5,,0.2,0.5,22.22222222222222,0.15384615384615385,,,0.13333333333333333,,,,,,,0.25,,,0.4,,,,,,,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,0.6666666666666666,0.4,,0.44311999999999996,,0.4841666666666667,0.2857142857142857,0.2857142857142857,,0.8,9.64,,0.4827586206896552,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,1404.0,23,-13,44,45,14,14.0,6.0,89,,3.0,,,,1.0,2.0,1.0,5.0,,,2.0,10.0,,,4.0,8.0,49,,1.0,,,,3.0,,,2.0,2.0,,,,,1.0,2.0,3.0,1.0,7.0,,,,,,,,1.0,,1.0,,1.0,2.0,4.0,2.0,,14,,0.5,0.5,,,,0.2,,,0.2,,,0.3333333333333333,,,,0.1,0.3333333333333333,25.0,,,,,,,,,,,,,,0.3,,,0.2,0.5,0.5,1.0,0.5,0.2,0.2,,,,,,,,,0.3,,0.42600000000000005,0.3375,0.3739333333333333,0.16666666666666666,0.16666666666666666,,,11.41,,0.3181818181818182,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,1610612746,Randy Livingston,Randy Livingston,988,LAC,2895.0,48,-26,91,90,25,25.0,14.0,181,,2.0,,,,1.0,2.0,1.0,3.0,,3.0,2.0,7.0,,3.0,4.0,8.0,99,,,,,,,2.0,2.0,2.0,2.0,,,3.0,,2.0,4.0,4.0,,8.0,2.0,,5.0,5.0,2.0,7.0,,2.0,2.0,1.0,,4.0,7.0,6.0,2.0,2.0,25,2.0,0.5,0.5,,,,0.2857142857142857,,,0.2,,,0.3076923076923077,,1.0,0.3,0.2857142857142857,0.5,15.74074074074074,0.10869565217391304,0.04081632653061224,,0.09433962264150944,0.038461538461538464,0.06666666666666667,0.1111111111111111,,,0.23076923076923078,0.08695652173913043,,,0.2,,,0.2,0.5,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,,0.3,,,,,,,0.5,,0.43671499999999996,,,0.16666666666666666,0.2222222222222222,,0.25,10.37142857142857,25.96666666666667,0.27472527472527475,3.0,3.0,2.0,,,,,0.75,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,1610612746,Eddie House,Eddie House,2067,LAC,1531.0,26,-15,46,46,10,11.0,8.0,92,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,4.0,,,2.0,7.0,,,,4.0,56,1.0,2.0,,2.0,2.0,2.0,,4.0,2.0,2.0,,,,,,4.0,4.0,2.0,8.0,,1.0,2.0,4.0,,4.0,,,,,,2.0,1.0,,,4.0,10,,0.5,0.5,,,,0.2857142857142857,0.5,1.0,0.2857142857142857,0.5,1.0,0.2857142857142857,0.5,1.0,,,,16.363636363636363,0.07692307692307693,,0.3333333333333333,0.10344827586206896,,,,,0.125,,0.09090909090909091,,,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,,,,,,,,0.5,1.0,0.5,0.2857142857142857,,0.4289714285714286,0.43655,0.43779999999999997,,,0.5,1.0,11.985714285714286,,0.21739130434782608,1.0,2.0,,,,,,1.0,0.5,,,,,1.0,,,1.0,2.0,,,,,1.0,1.0,0.5,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,1903.0,32,-21,62,61,11,12.0,7.0,123,,2.0,,,,,1.0,1.0,2.0,,,1.0,5.0,,,3.0,5.0,63,,1.0,,,,,,,2.0,,,,,,1.0,,,,,1.0,,4.0,5.0,1.0,6.0,,,,1.0,,2.0,2.0,4.0,2.0,,11,1.0,1.0,1.0,,,,0.2,,,0.2,,,0.35714285714285715,,,,0.2,0.5,12.5,0.12903225806451613,0.03125,,0.10810810810810811,0.02857142857142857,,,0.07692307692307693,,,0.26666666666666666,,,0.4,,,0.2,,,,0.4,0.5,0.5,1.0,,,,,,,,0.4,,0.42686,0.4414,,0.2857142857142857,0.2857142857142857,,,7.7,,0.1774193548387097,,1.0,,,,,,0.5,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,1610612746,Chris Wilcox,Chris Wilcox,2404,LAC,171.0,3,2,6,5,3,2.0,4.0,11,,,,,,,1.0,,,,,,1.0,,,,,3,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,3,,,,,,,,,,,,,,,,,,,22.22222222222222,,0.25,,,0.25,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.423,,,,,,,13.5,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,1610612746,Chris Kaman,Chris Kaman,2549,LAC,988.0,16,-14,29,30,13,12.0,4.0,59,3.0,4.0,1.0,2.0,3.0,,1.0,,,,,3.0,5.0,,,2.0,8.0,38,1.0,2.0,1.0,3.0,2.0,4.0,1.0,5.0,4.0,2.0,,2.0,,,,,,,,2.0,2.0,1.0,3.0,3.0,6.0,,,,,,,2.0,6.0,2.0,5.0,13,,0.6666666666666666,1.0,,,,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.375,0.4166666666666667,,,,23.52941176470588,0.05263157894736842,0.13333333333333333,0.5,0.13043478260869565,0.125,,0.25,0.125,,,0.1111111111111111,,,0.8,0.75,0.75,0.2,,,,,,,,,,,,1.0,0.5,0.75,0.8,,0.52412,0.5722,0.517125,0.2857142857142857,0.2857142857142857,0.375,0.625,1.34,,0.4482758620689655,,,,,,,,,0.5,0.6666666666666666,,,,,,,,,,2.0,1.0,,2.0,,,0.6666666666666666,,1.0,0.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,1610612746,Melvin Ely,Melvin Ely,2408,LAC,472.0,8,-7,17,16,6,1.0,2.0,33,1.0,1.0,,,,,3.0,,1.0,,,1.0,5.0,,,,2.0,18,,,,,,2.0,,,,2.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,2.0,,,,6,,,,,,,0.2,,,0.2,,,0.2,,,,,,25.0,,,,,,,,,,,,,,0.2,1.0,1.0,0.6,,,,0.2,,,,,,,,,,,0.2,,0.35868,,0.31645,,,,,7.62,,0.35294117647058826,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
