EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,ShortMidRangeAssists,StepOutOfBoundsTurnovers,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,OffensiveGoaltends,3SecondViolations,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Clear Path Fouls,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,Corner3PctBlocked,on,HeaveMakes
1542,1610612746,Predrag Drobnjak,Predrag Drobnjak,1542,LAC,17517.0,292,-70,569,563,241,193,104,1132,12.0,27.0,5.0,11.0,6.0,14.0,12.0,30.0,15.0,42.0,2.0,5.0,15.0,2.0,1.0,5.0,39.0,99.0,5.0,17.0,22.0,115.0,624,10.0,21.0,2.0,4.0,24.0,15.0,42.0,1.0,5.0,14.0,47.0,50.0,28.0,15.0,16.0,15.0,5.0,4.0,9.0,2.0,11.0,2.0,3.0,6.0,24.0,5.0,19.0,1.0,2.0,32.0,3.0,37,25.0,62,3.0,11.0,7.0,4.0,6.0,1.0,3.0,5.0,3.0,3.0,1.0,11.0,2.0,2.0,17.0,33.0,3.0,26.0,2.0,11.0,3.0,7.0,7.0,7.0,6.0,2.0,1.0,47.0,241,4.0,0.6410256410256411,0.8064516129032258,1.0,0.29411764705882354,0.2,0.29411764705882354,0.3939393939393939,0.47619047619047616,0.35714285714285715,0.40086206896551724,0.43478260869565216,0.35106382978723405,0.44921875,0.46153846153846156,0.42727272727272725,0.14655172413793102,0.04040404040404041,0.14814814814814814,20.232896652110625,0.5454545454545454,0.3,0.07142857142857142,0.16161616161616163,0.07818930041152264,0.031746031746031744,0.09615384615384616,0.13026819923371646,0.08135593220338982,0.10526315789473684,0.09375,0.04854368932038835,0.1,0.08333333333333333,0.1774193548387097,0.21818181818181817,0.1111111111111111,0.021739130434782608,0.058823529411764705,0.04411764705882353,0.8571428571428571,0.23275862068965517,0.4444444444444444,0.5217391304347826,0.4166666666666667,0.25862068965517243,0.4,0.4,0.5,0.3620689655172414,0.35714285714285715,0.35714285714285715,0.9333333333333333,0.017241379310344827,0.12931034482758622,0.3333333333333333,0.3333333333333333,1.0,0.4782608695652174,0.45454545454545453,0.2,0.08695652173913043,0.2978723404255319,0.42857142857142855,0.10638297872340426,0.2,0.3793103448275862,0.3333333333333333,0.46332327586206895,0.528125,0.467527659574468,0.088,0.10185185185185185,0.20869565217391303,0.40869565217391307,10.194949494949494,25.04705882352941,0.4235500878734622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,160523.0,2675,-223,5114,5110,1712,1404,790,10224,248.0,394.0,74.0,130.0,77.0,112.0,161.0,377.0,75.0,210.0,,,1.0,,,1.0,484.0,981.0,,1.0,411.0,1379.0,5574,98.0,179.0,,91.0,287.0,143.0,263.0,,1.0,178.0,464.0,558.0,410.0,,138.0,1.0,,62.0,177.0,50.0,227.0,44.0,82.0,76.0,504.0,29.0,239.0,1.0,74.0,324.0,47.0,445,269.0,714,36.0,64.0,41.0,23.0,106.0,12.0,44.0,87.0,6.0,62.0,12.0,193.0,16.0,60.0,120.0,229.0,17.0,532.0,55.0,245.0,50.0,154.0,98.0,154.0,93.0,1.0,9.0,464.0,1712,25.0,0.5764462809917356,0.672289156626506,,,,,0.49337410805300713,0.547486033519553,0.5437262357414449,0.49287169042769857,0.547486033519553,0.5416666666666666,0.5642389525368249,0.6185344827586207,0.6253369272237197,0.0010183299389002036,0.06320081549439348,0.1116751269035533,23.360317198083596,0.5492227979274611,0.27011494252873564,0.006134969325153374,0.17115689381933438,0.11944027986006997,0.14829659318637275,0.0651685393258427,0.16638795986622074,0.10956663941128372,0.16591928251121077,0.11917098445595854,0.07835325365205843,0.06596306068601583,0.06060606060606061,0.1595197255574614,0.20318021201413428,0.15591397849462366,0.12972972972972974,0.20155038759689922,0.08314087759815242,0.6038961038961039,0.40122199592668023,0.6294416243654822,0.7085714285714285,0.532258064516129,0.38391038696537677,0.4270557029177719,0.44722222222222224,0.5031055900621118,0.21384928716904278,0.35714285714285715,0.3588516746411483,0.88,,0.0010183299389002036,,,,0.7262569832402235,0.5692307692307692,0.04054054054054054,,0.42424242424242425,0.6875,0.003787878787878788,,0.40224032586558045,,0.46821125254582446,0.5219378698224851,0.46654526515151507,0.2090443686006826,0.20922288642186165,0.20812182741116753,0.3364757070340827,6.943934760448526,27.5,0.33476730543605787,6.0,19.0,2.0,33.0,11.0,45.0,1.0,14.0,0.04509283819628647,0.004761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,111598.0,1860,-115,3580,3564,1160,920,526,7144,167.0,260.0,24.0,35.0,52.0,81.0,23.0,74.0,72.0,215.0,15.0,56.0,153.0,23.0,18.0,52.0,262.0,549.0,61.0,168.0,359.0,1066.0,3904,33.0,64.0,29.0,25.0,109.0,82.0,166.0,20.0,59.0,151.0,375.0,306.0,218.0,171.0,38.0,153.0,56.0,65.0,138.0,21.0,159.0,15.0,62.0,38.0,339.0,13.0,53.0,1.0,50.0,176.0,19.0,245,67.0,312,12.0,47.0,35.0,12.0,81.0,27.0,42.0,82.0,12.0,39.0,4.0,163.0,10.0,55.0,51.0,152.0,4.0,423.0,33.0,174.0,40.0,11.0,6.0,11.0,7.0,,1.0,375.0,1160,25.0,0.583969465648855,0.6296296296296297,0.9344262295081968,0.3630952380952381,0.3389830508474576,0.3630952380952381,0.4772313296903461,0.515625,0.4939759036144578,0.4930264993026499,0.45161290322580644,0.49777777777777776,0.5811111111111111,0.5,0.6009771986970684,0.23430962343096234,0.11839708561020036,0.15384615384615385,25.225439012814427,0.49693251533742333,0.15833333333333333,0.008403361344537815,0.13183520599250936,0.03917220990391722,0.14792899408284024,0.040498442367601244,0.13508667065152422,0.03942652329749104,0.0425531914893617,0.06036745406824147,0.0199203187250996,0.03597122302158273,0.06976744186046512,0.08816705336426914,0.13043478260869565,0.1695906432748538,0.1553784860557769,0.12643678160919541,0.037037037037037035,0.6363636363636364,0.36262203626220363,0.6423076923076924,0.759090909090909,0.5449101796407185,0.10320781032078104,0.3108108108108108,0.38333333333333336,0.43478260869565216,0.299860529986053,0.33488372093023255,0.35294117647058826,0.7222222222222222,0.02092050209205021,0.21338912133891214,0.3660130718954248,0.3708609271523179,0.9285714285714286,0.3763440860215054,0.6857142857142857,0.125,0.24731182795698925,0.36,0.6419753086419753,0.2311111111111111,0.34615384615384615,0.596931659693166,0.3660130718954248,0.514486262203626,0.5057726744186047,0.5037833333333334,0.20465116279069767,0.25217391304347825,0.1022514071294559,0.3517823639774859,8.840619307832423,25.18690476190476,0.3240223463687151,6.0,38.0,4.0,26.0,3.0,2.0,,1.0,0.1891891891891892,0.05116279069767442,5.0,2.0,6.0,2.0,7.0,4.0,6.0,12.0,2.0,22.0,2.0,0.20689655172413793,0.011904761904761904,0.013071895424836602,0.3333333333333333,0.3333333333333333,1.0,0.06451612903225806,0.3333333333333333,1.0,0.17391304347826086,1.0,0.03111111111111111,0.2857142857142857,0.011764705882352941,,,,,,,True,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,39064.0,651,-97,1259,1255,453,394,169,2514,26.0,47.0,4.0,4.0,12.0,16.0,17.0,42.0,36.0,92.0,3.0,4.0,22.0,2.0,2.0,14.0,79.0,181.0,5.0,25.0,55.0,228.0,1368,7.0,20.0,2.0,7.0,21.0,30.0,60.0,2.0,15.0,25.0,91.0,60.0,98.0,15.0,4.0,21.0,4.0,11.0,55.0,14.0,69.0,13.0,32.0,18.0,152.0,2.0,7.0,,9.0,28.0,,37,9.0,46,2.0,22.0,14.0,8.0,25.0,5.0,13.0,14.0,3.0,12.0,2.0,39.0,2.0,14.0,14.0,60.0,3.0,64.0,5.0,28.0,6.0,3.0,2.0,3.0,2.0,,,91.0,453,18.0,0.379746835443038,0.38961038961038963,1.0,0.2,0.13333333333333333,0.20833333333333334,0.43646408839779005,0.35,0.5,0.4199029126213592,0.3181818181818182,0.44,0.4829787234042553,0.40384615384615385,0.5055555555555555,0.12135922330097088,0.06077348066298342,0.19148936170212766,18.715846994535518,0.6410256410256411,,,0.0603448275862069,0.014056224899598393,0.075,0.01904761904761905,0.06335616438356165,0.014925373134328358,0.013157894736842105,0.021897810218978103,0.009569377990430622,0.024390243902439025,,0.07352941176470588,0.03289473684210526,0.07386363636363637,0.06976744186046512,0.08823529411764706,0.0196078431372549,0.6666666666666666,0.22815533980582525,0.5531914893617021,0.6842105263157895,0.34615384615384615,0.20388349514563106,0.40476190476190477,0.425,0.17647058823529413,0.44660194174757284,0.391304347826087,0.391304347826087,0.5,0.014563106796116505,0.10679611650485436,0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,1.0,0.25,0.09090909090909091,0.21333333333333335,0.75,0.18666666666666668,0.14285714285714285,0.34951456310679613,0.19047619047619047,0.45052609756097567,0.422964705882353,0.42942770270270275,0.1222707423580786,0.13725490196078433,0.09210526315789473,0.3991228070175439,11.536464088397793,26.991999999999997,0.3598093725178713,1.0,5.0,,1.0,,1.0,,,0.047619047619047616,,1.0,,,,1.0,,,,,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.013333333333333334,,,1.0,,,,,,True,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,97982.0,1633,-83,3162,3166,1048,915,522,6328,135.0,256.0,44.0,78.0,49.0,90.0,30.0,88.0,38.0,132.0,34.0,74.0,209.0,14.0,16.0,65.0,203.0,476.0,86.0,243.0,100.0,764.0,3444,48.0,100.0,15.0,20.0,131.0,70.0,157.0,20.0,83.0,53.0,253.0,188.0,218.0,228.0,66.0,208.0,74.0,42.0,85.0,18.0,103.0,14.0,46.0,22.0,224.0,12.0,89.0,,42.0,127.0,2.0,171,101.0,272,25.0,44.0,29.0,15.0,47.0,13.0,33.0,49.0,6.0,14.0,8.0,96.0,11.0,29.0,42.0,93.0,3.0,139.0,13.0,53.0,18.0,11.0,6.0,13.0,9.0,,,253.0,1048,11.0,0.4630541871921182,0.5529411764705883,0.8837209302325582,0.35390946502057613,0.24096385542168675,0.35537190082644626,0.4264705882352941,0.48,0.445859872611465,0.4617524339360223,0.4826086956521739,0.4166666666666667,0.4891025641025641,0.515748031496063,0.4650735294117647,0.3379694019471488,0.08823529411764706,0.125,23.156225218080888,0.4895833333333333,0.019801980198019802,,0.1082693947144075,0.07241659886086249,0.14189189189189189,0.039603960396039604,0.11504424778761062,0.06592689295039164,0.09713024282560706,0.058333333333333334,0.057692307692307696,0.046153846153846156,,0.05121293800539083,0.1033434650455927,0.15644820295983086,0.12556053811659193,0.1917808219178082,0.0673854447439353,0.6923076923076923,0.3560500695410292,0.52734375,0.6026785714285714,0.5037037037037037,0.12239221140472879,0.3409090909090909,0.3614457831325301,0.3333333333333333,0.1835883171070932,0.2878787878787879,0.2992125984251969,0.42105263157894735,0.04728789986091794,0.2906815020862309,0.35406698564593303,0.357487922705314,0.8918918918918919,0.6782608695652174,0.5641025641025641,0.22727272727272727,0.12173913043478261,0.375,0.5444444444444444,0.2708333333333333,0.24615384615384617,0.694019471488178,0.3557692307692308,0.510878951048951,0.5307372549019608,0.5057939075630252,0.07349081364829396,0.10271317829457365,0.17146596858638743,0.331151832460733,6.688235294117648,25.540329218107,0.3314358001265022,4.0,17.0,2.0,12.0,1.0,4.0,1.0,2.0,0.056818181818181816,0.03787878787878788,12.0,1.0,1.0,4.0,18.0,4.0,5.0,30.0,2.0,1.0,3.0,0.3333333333333333,0.00823045267489712,0.009569377990430622,0.35294117647058826,0.35294117647058826,0.8333333333333334,0.008695652173913044,1.0,,0.2857142857142857,0.75,0.075,0.2222222222222222,0.012195121951219513,1.0,2.0,2.0,2.0,,,True,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,81551.0,1359,-22,2609,2589,875,663,406,5198,55.0,114.0,4.0,22.0,18.0,36.0,17.0,33.0,38.0,110.0,7.0,35.0,106.0,12.0,11.0,30.0,110.0,257.0,36.0,113.0,52.0,380.0,2805,8.0,35.0,13.0,3.0,37.0,41.0,92.0,11.0,31.0,27.0,142.0,86.0,134.0,93.0,6.0,103.0,35.0,13.0,171.0,43.0,214.0,37.0,78.0,59.0,471.0,8.0,28.0,,16.0,80.0,1.0,97,36.0,133,9.0,72.0,55.0,17.0,54.0,14.0,41.0,29.0,1.0,13.0,2.0,83.0,3.0,29.0,31.0,101.0,2.0,72.0,8.0,30.0,10.0,12.0,9.0,13.0,9.0,,1.0,142.0,875,17.0,0.39090909090909093,0.40186915887850466,0.8611111111111112,0.3185840707964602,0.3548387096774194,0.32727272727272727,0.4280155642023346,0.22857142857142856,0.44565217391304346,0.44324324324324327,0.3541666666666667,0.46747967479674796,0.472636815920398,0.37755102040816324,0.5071428571428571,0.3054054054054054,0.05058365758754864,0.08771929824561403,15.64516129032258,0.6506024096385542,0.014084507042253521,,0.0847457627118644,0.02857142857142857,0.06557377049180328,0.031007751937984496,0.08080808080808081,0.029079159935379646,0.042492917847025496,0.007220216606498195,0.03142857142857143,0.03587443946188341,,0.056291390728476824,0.08727272727272728,0.10626702997275204,0.06111111111111111,0.078125,0.04390243902439024,0.6923076923076923,0.3081081081081081,0.4824561403508772,0.5288461538461539,0.32727272727272727,0.0891891891891892,0.5151515151515151,0.5483870967741935,0.17647058823529413,0.2972972972972973,0.34545454545454546,0.3486238532110092,0.5789473684210527,0.01891891891891892,0.2864864864864865,0.330188679245283,0.33653846153846156,0.8571428571428571,0.4583333333333333,0.18181818181818182,0.25,0.25,0.2926829268292683,0.5,0.24390243902439024,0.36666666666666664,0.6135135135135135,0.33980582524271846,0.4997150273224043,0.5043435897435898,0.4720676470588234,0.07653061224489796,0.10752688172043011,0.09736842105263158,0.3736842105263158,9.486381322957198,26.322123893805312,0.3353775392870832,6.0,34.0,,5.0,,3.0,,2.0,0.06060606060606061,0.00909090909090909,1.0,,1.0,,1.0,6.0,6.0,15.0,2.0,,,0.46153846153846156,0.017699115044247787,0.018867924528301886,0.14285714285714285,0.14285714285714285,1.0,0.020833333333333332,,,0.5,0.8333333333333334,0.008130081300813009,,,3.0,,1.0,1.0,,,True,
2067,1610612746,Eddie House,Eddie House,2067,LAC,41668.0,694,-103,1303,1317,455,424,205,2620,11.0,34.0,1.0,7.0,8.0,17.0,9.0,31.0,42.0,117.0,23.0,23.0,65.0,8.0,9.0,28.0,62.0,182.0,33.0,88.0,19.0,242.0,1461,5.0,20.0,11.0,,19.0,30.0,71.0,12.0,37.0,11.0,107.0,76.0,48.0,78.0,2.0,62.0,23.0,9.0,70.0,10.0,80.0,8.0,33.0,15.0,170.0,2.0,16.0,,20.0,44.0,2.0,66,18.0,84,6.0,40.0,17.0,23.0,23.0,6.0,19.0,10.0,2.0,4.0,,33.0,1.0,11.0,28.0,56.0,,24.0,,4.0,7.0,3.0,2.0,3.0,2.0,,,107.0,455,11.0,0.6129032258064516,0.6229508196721312,0.7878787878787878,0.375,0.32432432432432434,0.38823529411764707,0.34065934065934067,0.25,0.4225352112676056,0.412962962962963,0.3064516129032258,0.4444444444444444,0.42704626334519574,0.3064516129032258,0.4608695652173913,0.32592592592592595,0.04945054945054945,0.14705882352941177,20.323624595469255,0.696969696969697,0.038461538461538464,,0.09544468546637744,0.03065134099616858,0.14492753623188406,0.017241379310344827,0.10684474123539232,0.02821316614420063,0.03614457831325301,0.026143790849673203,0.029556650246305417,0.010526315789473684,0.047619047619047616,0.0641025641025641,0.10135135135135136,0.12101910828025478,0.14285714285714285,0.15,0.03821656050955414,0.6666666666666666,0.1259259259259259,0.3235294117647059,0.3793103448275862,0.45454545454545453,0.11481481481481481,0.2903225806451613,0.3103448275862069,0.4444444444444444,0.43333333333333335,0.358974358974359,0.3652173913043478,0.6904761904761905,0.08518518518518518,0.24074074074074073,0.35384615384615387,0.36507936507936506,0.6956521739130435,0.22580645161290322,0.14285714285714285,,0.25806451612903225,0.1574074074074074,0.47058823529411764,0.25925925925925924,0.32142857142857145,0.45185185185185184,0.3709677419354839,0.46321146616541353,0.4689192307692308,0.4569187500000001,0.01824817518248175,0.021505376344086023,0.07851239669421488,0.44214876033057854,13.868131868131869,25.847727272727276,0.34919416730621644,2.0,22.0,,2.0,,1.0,,,0.06451612903225806,0.017094017094017096,10.0,,3.0,3.0,9.0,3.0,3.0,21.0,3.0,2.0,1.0,0.2727272727272727,0.03409090909090909,0.03076923076923077,0.43478260869565216,0.45454545454545453,1.0,0.0967741935483871,,,0.375,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.011363636363636364,3.0,,,,1.0,0.043478260869565216,True,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,49387.0,823,-48,1568,1576,609,495,266,3144,40.0,87.0,19.0,35.0,15.0,38.0,8.0,33.0,40.0,102.0,6.0,,3.0,1.0,,2.0,88.0,222.0,1.0,9.0,76.0,255.0,1697,25.0,50.0,2.0,12.0,62.0,31.0,72.0,,4.0,37.0,99.0,110.0,66.0,3.0,32.0,3.0,,26.0,58.0,13.0,71.0,12.0,38.0,12.0,155.0,10.0,52.0,3.0,19.0,51.0,8.0,78,65.0,143,7.0,31.0,12.0,19.0,21.0,2.0,13.0,17.0,1.0,8.0,3.0,38.0,3.0,15.0,39.0,97.0,8.0,93.0,8.0,40.0,10.0,9.0,5.0,9.0,5.0,,,99.0,609,17.0,0.625,0.7638888888888888,1.0,0.1111111111111111,,0.1111111111111111,0.3963963963963964,0.5,0.4305555555555556,0.3874458874458874,0.4807692307692308,0.40789473684210525,0.4633699633699634,0.5254237288135594,0.5051020408163265,0.03896103896103896,0.11711711711711711,0.19540229885057472,16.613076098606644,0.5526315789473685,0.13333333333333333,0.0625,0.09272727272727273,0.08201892744479496,0.11515151515151516,0.07751937984496124,0.0979020979020979,0.08125819134993446,0.07729468599033816,0.08743169398907104,0.08196721311475409,0.07207207207207207,0.1111111111111111,0.08108108108108109,0.07777777777777778,0.11261261261261261,0.11811023622047244,0.10526315789473684,0.06086956521739131,0.5555555555555556,0.37662337662337664,0.45977011494252873,0.5714285714285714,0.45,0.14285714285714285,0.24242424242424243,0.2962962962962963,0.625,0.44155844155844154,0.39215686274509803,0.40404040404040403,0.8,0.025974025974025976,0.012987012987012988,,,,0.6730769230769231,0.5428571428571428,0.05263157894736842,0.019230769230769232,0.5,0.39473684210526316,0.02631578947368421,,0.4155844155844156,,0.46675627705627726,0.51351,0.48463881578947365,0.1520912547528517,0.15748031496062992,0.24313725490196078,0.38823529411764707,9.597747747747746,24.055555555555557,0.38839285714285715,1.0,8.0,,7.0,1.0,3.0,,3.0,0.18181818181818182,0.029411764705882353,1.0,,1.0,,2.0,,,,1.0,2.0,,,0.1111111111111111,,0.16666666666666666,0.2,1.0,0.019230769230769232,,,,,0.02631578947368421,,,,,,,,0.16666666666666666,True,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,31737.0,529,-136,1001,1007,335,339,153,2008,32.0,59.0,15.0,22.0,12.0,17.0,11.0,28.0,6.0,8.0,6.0,,3.0,2.0,,,49.0,95.0,2.0,9.0,30.0,134.0,1148,19.0,27.0,4.0,7.0,45.0,19.0,28.0,,2.0,10.0,48.0,50.0,48.0,6.0,30.0,3.0,,8.0,30.0,4.0,34.0,3.0,16.0,11.0,72.0,9.0,31.0,,7.0,54.0,5.0,66,40.0,106,3.0,20.0,12.0,8.0,23.0,6.0,16.0,9.0,,7.0,,32.0,5.0,6.0,34.0,61.0,3.0,45.0,5.0,22.0,3.0,2.0,1.0,2.0,1.0,,1.0,48.0,335,11.0,0.5102040816326531,0.7352941176470589,1.0,0.2222222222222222,,0.2222222222222222,0.5157894736842106,0.7037037037037037,0.6785714285714286,0.5,0.6129032258064516,0.6333333333333333,0.5403225806451613,0.6428571428571429,0.6486486486486487,0.08653846153846154,0.08421052631578947,0.05084745762711865,13.186813186813186,0.71875,0.1388888888888889,,0.15168539325842698,0.07579462102689487,0.06542056074766354,0.13846153846153847,0.13174946004319654,0.08438818565400844,0.06766917293233082,0.024,0.12582781456953643,0.14285714285714285,0.1111111111111111,0.13793103448275862,0.09174311926605505,0.21374045801526717,0.039473684210526314,0.12903225806451613,0.06818181818181818,0.5,0.5673076923076923,0.5423728813559322,0.5714285714285714,0.40625,0.2692307692307692,0.39285714285714285,0.4782608695652174,0.5454545454545454,0.07692307692307693,0.75,0.75,1.0,0.057692307692307696,0.028846153846153848,,,,0.7096774193548387,0.6818181818181818,0.06666666666666667,0.06451612903225806,0.5666666666666667,0.7058823529411765,,,0.6538461538461539,,0.5069596153846153,0.5211035714285716,0.5074166666666666,0.18181818181818182,0.19642857142857142,0.3358208955223881,0.3582089552238806,3.9821052631578935,24.299999999999997,0.33466533466533466,1.0,3.0,,1.0,1.0,,,,0.17857142857142858,,2.0,,2.0,,2.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.06451612903225806,,,,,0.06666666666666667,,,,,,,,,True,
77,1610612746,Doug Overton,Doug Overton,77,LAC,38520.0,642,-50,1215,1219,427,305,190,2434,8.0,15.0,4.0,4.0,1.0,4.0,4.0,14.0,47.0,109.0,2.0,1.0,13.0,1.0,,6.0,59.0,138.0,1.0,15.0,13.0,134.0,1326,7.0,11.0,2.0,,14.0,20.0,44.0,,7.0,8.0,48.0,74.0,44.0,3.0,6.0,13.0,1.0,3.0,65.0,17.0,82.0,16.0,28.0,28.0,181.0,2.0,11.0,,8.0,33.0,2.0,43,13.0,56,1.0,18.0,13.0,5.0,23.0,12.0,19.0,18.0,1.0,4.0,1.0,41.0,1.0,14.0,20.0,51.0,,19.0,,3.0,4.0,2.0,1.0,2.0,1.0,,,48.0,427,14.0,0.6271186440677966,0.6607142857142857,1.0,0.06666666666666667,,0.06666666666666667,0.427536231884058,0.6363636363636364,0.45454545454545453,0.3954248366013072,0.5384615384615384,0.39215686274509803,0.409375,0.5384615384615384,0.41964285714285715,0.09803921568627451,0.021739130434782608,0.06666666666666667,14.026517794836009,0.5609756097560976,0.045454545454545456,,0.06889352818371608,0.022916666666666665,0.06299212598425197,0.024096385542168676,0.06765676567656766,0.023090586145648313,0.022727272727272728,0.014084507042253521,0.02912621359223301,0.02857142857142857,,0.06818181818181818,0.027972027972027972,0.09803921568627451,0.039603960396039604,0.15384615384615385,0.011764705882352941,0.5,0.09803921568627451,0.5333333333333333,0.5714285714285714,0.125,0.0915032679738562,0.2857142857142857,0.3076923076923077,0.75,0.7124183006535948,0.43119266055045874,0.4351851851851852,0.7021276595744681,0.013071895424836602,0.08496732026143791,0.07692307692307693,0.07692307692307693,1.0,0.3076923076923077,1.0,,0.07692307692307693,0.0784313725490196,0.25,0.11764705882352941,,0.19607843137254902,0.07692307692307693,0.42588453947368415,0.4578625,0.4122779999999999,0.019230769230769232,0.02127659574468085,0.1044776119402985,0.3582089552238806,15.772463768115944,25.886666666666667,0.351440329218107,1.0,9.0,,3.0,1.0,,,,0.07142857142857142,0.009174311926605505,,,1.0,,1.0,,,,,5.0,,,,,,,,0.07692307692307693,,,,,0.0196078431372549,,,,2.0,,,,,True,
