EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimPctAssisted,Corner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,PtsUnassisted3s,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,DefensiveGoaltends,on,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3
1043,1610612755,Amal McCaskill,Amal McCaskill,1043,PHI,38034.0,634,-59,1145,1163,341,366,144,2308,34.0,61.0,15.0,22.0,8.0,17.0,9.0,27,4.0,28,1.0,1.0,47,116,1.0,19,113,1183,17.0,28,8.0,42.0,10,29,1.0,10.0,30,54,40.0,30.0,1.0,12.0,13.0,7.0,20,4.0,3.0,7.0,3.0,3.0,47,10.0,36,2.0,18,55,12.0,85,48,133,5.0,12.0,9.0,3.0,11.0,3.0,7.0,14.0,1.0,4.0,1.0,3.0,25.0,6.0,5.0,50,89,6.0,1.0,27,3.0,13,2.0,20.0,9.0,3.0,8.0,20.0,11.0,2.0,2.0,30,341,13.0,0.574468085106383,0.84375,0.4051724137931034,0.6071428571428571,0.3448275862068966,0.4017094017094017,0.6071428571428571,0.3333333333333333,0.437984496124031,0.6363636363636364,0.40540540540540543,0.008547008547008548,0.10344827586206896,0.13114754098360656,0.1111111111111111,0.03571428571428571,11.737804878048781,0.44,0.21818181818181817,0.05128205128205128,0.13064133016627077,0.07982261640798226,0.12949640287769784,0.10869565217391304,0.13035714285714287,0.0847145488029466,0.09848484848484848,0.08661417322834646,0.0625,0.1111111111111111,0.10344827586206896,0.12264150943396226,0.109375,0.1497326203208556,0.12264150943396226,0.15151515151515152,0.08928571428571429,0.55,0.5213675213675214,0.5573770491803278,0.6415094339622641,0.5,0.23076923076923078,0.3333333333333333,0.375,0.6666666666666666,0.23931623931623933,0.14285714285714285,0.14814814814814814,1.0,0.008547008547008548,0.7857142857142857,0.6818181818181818,0.5666666666666667,0.47058823529411764,0.03333333333333333,0.5299145299145299,0.4652163793103449,0.5042869565217392,0.4648793103448276,0.10236220472440945,0.10317460317460317,0.37168141592920356,0.26548672566371684,6.4465517241379295,36.7,0.29781659388646287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1531,1610612755,Marc Jackson,Marc Jackson,1531,PHI,4587.0,76,5,137,138,39,21,18,275,9.0,11.0,3.0,3.0,4.0,5.0,,7,1.0,3,,,10,21,,10,30,144,4.0,5,5.0,13.0,4,6,,2.0,10,14,6.0,4.0,,1.0,1.0,3.0,4,1.0,2.0,1.0,,,11,,4,,1,5,1.0,7,4,11,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,,2,4,1.0,,12,2.0,7,,,,,,,,,1.0,10,39,,0.7,0.875,0.47619047619047616,0.8,0.6666666666666666,0.47619047619047616,0.8,0.6666666666666666,0.5769230769230769,0.8125,0.7142857142857143,,0.047619047619047616,0.09090909090909091,,,17.94871794871795,0.5,0.2,,0.10869565217391304,0.06557377049180328,0.1,,0.10714285714285714,0.0625,0.058823529411764705,0.08333333333333333,0.05,,,,0.1875,0.10526315789473684,0.125,,0.1,,0.5238095238095238,0.8181818181818182,0.9,0.6666666666666666,0.3333333333333333,,,,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,,0.6,1.0,0.8333333333333334,0.8,,0.5238095238095238,0.47912380952380956,0.50104,0.53035,0.2692307692307692,0.2692307692307692,0.43333333333333335,0.3333333333333333,6.014285714285714,,0.2846715328467153,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1761,1610612755,Greg Buckner,Greg Buckner,1761,PHI,8777.0,146,-35,271,280,83,83,30,551,6.0,10.0,1.0,2.0,1.0,3.0,3.0,9,5.0,10,2.0,,14,29,5.0,3,34,278,2.0,4,,4.0,4,11,,2.0,10,20,8.0,,2.0,1.0,5.0,5.0,10,3.0,2.0,5.0,,,25,1.0,5,,5,20,1.0,26,6,32,,5.0,2.0,3.0,5.0,1.0,5.0,3.0,1.0,,,,8.0,,4.0,10,14,,,6,,3,,2.0,2.0,,,2.0,1.0,,,10,83,,0.7142857142857143,0.7142857142857143,0.4827586206896552,0.5,0.36363636363636365,0.45588235294117646,0.5,0.36363636363636365,0.4594594594594595,0.5,0.4166666666666667,0.14705882352941177,0.034482758620689655,0.1,,,14.900662251655628,0.625,0.1111111111111111,,0.2,0.047619047619047616,0.11904761904761904,0.045454545454545456,0.176056338028169,0.047244094488188976,0.08,,0.05454545454545454,,0.2,0.14705882352941177,0.22727272727272727,0.22727272727272727,0.14705882352941177,,,0.5,0.29411764705882354,0.6,0.6666666666666666,1.0,0.2647058823529412,0.3333333333333333,0.3333333333333333,,0.29411764705882354,0.5,0.5,0.8,0.058823529411764705,0.5,0.5,0.2727272727272727,0.3333333333333333,,0.4411764705882353,0.4403955882352941,0.4583,0.4217181818181819,0.08108108108108109,0.09375,0.11764705882352941,0.29411764705882354,8.703448275862069,25.02,0.3062730627306273,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.2,0.2,0.08823529411764706,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,20253.0,338,15,600,606,167,182,69,1206,13.0,20.0,,,2.0,5.0,8.0,16,10.0,29,17.0,7.0,31,65,34.0,13,132,591,1.0,2,,11.0,6,13,10.0,3.0,30,30,32.0,,17.0,8.0,26.0,6.0,32,4.0,2.0,13.0,4.0,9.0,70,1.0,2,1.0,10,24,2.0,36,4,40,1.0,14.0,7.0,7.0,13.0,,12.0,3.0,,1.0,1.0,,16.0,1.0,2.0,6,21,1.0,1.0,18,2.0,8,2.0,6.0,4.0,,2.0,6.0,4.0,,,30,167,4.0,0.4838709677419355,0.4838709677419355,0.47692307692307695,0.5,0.46153846153846156,0.601010101010101,1.1,0.5869565217391305,0.616822429906542,1.1,0.6,0.3434343434343434,0.12307692307692308,0.2,0.0625,0.10344827586206896,18.00878477306003,0.8125,0.07407407407407407,0.05263157894736842,0.10212765957446808,0.008771929824561403,0.15151515151515152,0.017543859649122806,0.11295681063122924,0.010526315789473684,0.02564102564102564,,,0.027777777777777776,,0.1111111111111111,0.10810810810810811,0.09345794392523364,0.15384615384615385,0.14285714285714285,0.025,0.6666666666666666,0.20202020202020202,0.65,0.8125,0.46153846153846156,0.16161616161616163,0.5,0.5333333333333333,0.25,0.29292929292929293,0.3448275862068966,0.38461538461538464,0.7,0.1717171717171717,,,0.21739130434782608,0.4,0.30434782608695654,0.5454545454545454,0.49851414141414163,0.50093,0.4780695652173913,0.0761904761904762,0.11267605633802817,0.08333333333333333,0.22727272727272727,10.524615384615386,24.176470588235297,0.2783333333333333,,17.0,9.0,19.0,57.0,9.0,1.0,0.5588235294117647,0.5588235294117647,0.1717171717171717,0.5294117647058824,0.5294117647058824,1.0,0.5294117647058824,10.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,1.0,0.5,0.5882352941176471,0.5882352941176471,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.13043478260869565,0.3333333333333333,0.5714285714285714,,,,,,,,,,,,True,,,,
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,19829.0,330,-18,603,612,179,187,69,1215,27.0,51.0,,4.0,10.0,19.0,12.0,36,27.0,72,34.0,8.0,66,159,40.0,71,239,644,4.0,17,5.0,19.0,22,51,8.0,33.0,80,38,94.0,2.0,33.0,12.0,46.0,10.0,56,5.0,5.0,26.0,8.0,12.0,122,1.0,5,,7,20,1.0,28,6,34,1.0,12.0,8.0,4.0,19.0,7.0,13.0,13.0,1.0,6.0,,1.0,32.0,1.0,10.0,4,11,1.0,3.0,84,7.0,32,10.0,2.0,1.0,1.0,,2.0,1.0,,,80,179,,0.2878787878787879,0.2923076923076923,0.41509433962264153,0.23529411764705882,0.43137254901960786,0.4221105527638191,0.35,0.3983050847457627,0.502127659574468,0.4090909090909091,0.5337837837837838,0.20100502512562815,0.07547169811320754,0.1568627450980392,0.08333333333333333,0.013888888888888888,38.75181422351234,0.59375,0.03125,,0.0881057268722467,0.02262443438914027,0.0958904109589041,0.01818181818181818,0.09,0.021739130434782608,0.016129032258064516,0.014705882352941176,0.03296703296703297,0.02857142857142857,,0.017857142857142856,0.11267605633802817,0.11,0.07272727272727272,0.16666666666666666,0.009615384615384616,0.5,0.2562814070351759,0.5294117647058824,0.627906976744186,0.2962962962962963,0.18090452261306533,0.3333333333333333,0.36363636363636365,,0.36180904522613067,0.375,0.38028169014084506,0.4074074074074074,0.1708542713567839,0.2,,0.3220338983050847,0.5263157894736842,0.13559322033898305,0.457286432160804,0.4813416666666667,0.4660736842105262,0.48100847457627127,0.14666666666666667,0.17391304347826086,0.0794979079497908,0.33472803347280333,10.347798742138368,25.8125,0.296849087893864,,6.0,10.0,12.0,24.0,10.0,0.6666666666666666,0.3,0.3076923076923077,0.03015075376884422,0.29411764705882354,0.29411764705882354,0.6,0.30303030303030304,2.0,1.0,1.0,,,1.0,2.0,1.0,2.0,3.0,1.0,0.6666666666666666,0.125,0.3333333333333333,0.3333333333333333,1.0,0.05,1.0,1.0,0.1,0.5,1.0,,,0.125,12.0,1.0,3.0,1.0,0.024390243902439025,,,,,,,True,,,,
727,1610612755,Eric Snow,Eric Snow,727,PHI,21484.0,358,-24,635,638,145,175,83,1273,9.0,23.0,2.0,2.0,4.0,8.0,12.0,33,19.0,37,1.0,1.0,40,93,1.0,20,100,666,6.0,11,3.0,15.0,10,22,1.0,8.0,28,34,46.0,2.0,1.0,7.0,52.0,15.0,67,8.0,7.0,23.0,5.0,24.0,149,2.0,4,,7,17,,24,6,30,2.0,11.0,3.0,8.0,12.0,3.0,10.0,8.0,1.0,2.0,,,20.0,3.0,3.0,15,30,1.0,3.0,28,1.0,10,4.0,,,,,,,,,28,145,4.0,0.425,0.4358974358974359,0.43010752688172044,0.5454545454545454,0.45454545454545453,0.425531914893617,0.5454545454545454,0.43478260869565216,0.46261682242990654,0.5769230769230769,0.5,0.010638297872340425,0.07526881720430108,0.21739130434782608,0.06060606060606061,,17.302452316076295,0.6,,,0.07692307692307693,0.015037593984962405,0.1044776119402985,0.044444444444444446,0.08333333333333333,0.01929260450160772,0.012987012987012988,0.025974025974025976,0.008928571428571428,0.0625,,0.07692307692307693,0.09722222222222222,0.061855670103092786,0.12,0.058823529411764705,0.043478260869565216,,0.24468085106382978,0.391304347826087,0.5,0.3333333333333333,0.35106382978723405,0.36363636363636365,0.3870967741935484,0.25,0.39361702127659576,0.5135135135135135,0.5135135135135135,0.5789473684210527,0.010638297872340425,0.18181818181818182,1.0,0.34782608695652173,0.5,0.043478260869565216,0.2553191489361702,0.4265579787234042,0.40211111111111103,0.4437586956521739,0.0970873786407767,0.09803921568627451,0.15,0.28,10.59462365591398,24.6,0.2283464566929134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,,
1903,1610612755,Kenny Thomas,Kenny Thomas,1903,PHI,13465.0,224,-59,402,412,125,156,49,814,15.0,30.0,5.0,8.0,5.0,10.0,3.0,12,6.0,14,1.0,,24,56,1.0,31,79,434,6.0,11,9.0,21.0,7,22,,11.0,25,36,12.0,10.0,,3.0,3.0,2.0,5,1.0,1.0,1.0,1.0,1.0,12,1.0,21,,9,38,10.0,57,22,79,4.0,8.0,4.0,4.0,9.0,1.0,4.0,7.0,1.0,5.0,,1.0,16.0,1.0,3.0,5,14,3.0,2.0,41,1.0,17,4.0,2.0,2.0,,,2.0,1.0,,,25,125,,0.75,0.9473684210526315,0.42857142857142855,0.5454545454545454,0.3181818181818182,0.42105263157894735,0.5454545454545454,0.3181818181818182,0.512987012987013,0.6176470588235294,0.44642857142857145,0.017543859649122806,0.05357142857142857,0.03333333333333333,0.16666666666666666,,20.26143790849673,0.5625,0.38461538461538464,,0.2602739726027397,0.12727272727272726,0.225,0.041666666666666664,0.25268817204301075,0.1164021164021164,0.22916666666666666,0.06382978723404255,0.1,0.05555555555555555,,0.20588235294117646,0.22916666666666666,0.3125,0.16666666666666666,0.4,0.13793103448275862,0.5,0.5263157894736842,0.5,0.5172413793103449,0.6666666666666666,0.21052631578947367,0.25,0.3,0.6666666666666666,0.24561403508771928,0.42857142857142855,0.42857142857142855,1.0,0.017543859649122806,0.7272727272727273,0.625,0.45454545454545453,0.5,,0.543859649122807,0.47646249999999996,0.5211818181818182,0.4624863636363637,0.2328767123287671,0.2361111111111111,0.26582278481012656,0.31645569620253167,6.3875,49.7,0.31094527363184077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,True,,,,
2422,1610612755,John Salmons,John Salmons,2422,PHI,19900.0,332,-43,590,605,192,212,86,1195,15.0,21.0,1.0,1.0,4.0,4.0,3.0,10,5.0,31,11.0,3.0,23,62,21.0,15,91,605,2.0,2,2.0,12.0,7,17,8.0,5.0,31,24,22.0,,10.0,3.0,21.0,5.0,26,4.0,1.0,8.0,2.0,11.0,57,1.0,6,,4,24,3.0,31,7,38,,14.0,7.0,7.0,7.0,2.0,5.0,6.0,1.0,2.0,,1.0,13.0,2.0,3.0,11,27,2.0,1.0,17,1.0,6,2.0,2.0,,1.0,1.0,2.0,1.0,,,31,192,4.0,0.5217391304347826,0.5217391304347826,0.3709677419354839,1.0,0.4117647058823529,0.4578313253012048,1.25,0.52,0.5,1.2,0.5740740740740741,0.25301204819277107,0.04838709677419355,0.14285714285714285,,,15.036496350364965,0.5384615384615384,0.10714285714285714,,0.1095890410958904,0.024096385542168676,0.056338028169014086,0.023809523809523808,0.09655172413793103,0.024054982817869417,0.02564102564102564,0.016129032258064516,0.027522935779816515,0.038461538461538464,,0.1702127659574468,0.08955223880597014,0.09523809523809523,0.08163265306122448,,,0.5,0.25301204819277107,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.12048192771084337,0.3,0.3,0.3333333333333333,0.37349397590361444,0.16129032258064516,0.16129032258064516,0.2,0.13253012048192772,0.25,1.0,0.16,1.0,0.12,0.5060240963855421,0.48266036585365857,0.5279666666666666,0.44990625,0.06818181818181818,0.08955223880597014,0.13186813186813187,0.34065934065934067,10.588709677419354,25.485714285714284,0.3254237288135593,,10.0,5.0,10.0,27.0,5.0,0.9,0.47619047619047616,0.5,0.12048192771084337,0.45454545454545453,0.5,0.8,0.5,5.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,0.5,0.5,0.5,1.0,0.25,1.0,1.0,0.25,1.0,,0.2,0.4,0.6666666666666666,3.0,1.0,1.0,,,,1.0,0.047619047619047616,0.09090909090909091,,,True,,,,
2584,1610612755,Willie Green,Willie Green,2584,PHI,9929.0,165,-26,305,314,118,128,39,619,12.0,30.0,2.0,5.0,3.0,10.0,5.0,14,6.0,17,12.0,4.0,23,61,13.0,16,77,306,2.0,6,,7.0,7,23,4.0,6.0,23,22,24.0,2.0,10.0,4.0,5.0,1.0,6,1.0,,3.0,,2.0,13,,3,,8,5,,13,3,16,1.0,3.0,2.0,1.0,9.0,3.0,3.0,7.0,1.0,6.0,1.0,,16.0,2.0,5.0,5,11,,1.0,22,,10,1.0,,,,,,,,,23,118,1.0,0.4782608695652174,0.5,0.3770491803278688,0.3333333333333333,0.30434782608695654,0.41216216216216217,0.5,0.3148148148148148,0.45294117647058824,0.5,0.3709677419354839,0.17567567567567569,0.06557377049180328,0.1,0.07142857142857142,,28.774928774928778,0.5625,,,0.045454545454545456,0.024390243902439025,0.16666666666666666,,0.08227848101265822,0.02040816326530612,0.024390243902439025,0.03125,0.02,,,0.1,,0.0425531914893617,0.18421052631578946,0.1,0.024390243902439025,,0.40540540540540543,0.4,0.4444444444444444,0.6666666666666666,0.1891891891891892,0.35714285714285715,0.38461538461538464,,0.22972972972972974,0.35294117647058826,0.35294117647058826,0.5,0.16216216216216217,0.7142857142857143,0.4,0.37037037037037035,0.3,0.14814814814814814,0.581081081081081,0.4918034722222222,0.58178,0.478726,0.11904761904761904,0.14084507042253522,0.09090909090909091,0.2987012987012987,6.7081967213114755,28.661538461538463,0.38688524590163936,0.5,1.0,5.0,5.0,12.0,5.0,0.8,0.38461538461538464,0.45454545454545453,0.013513513513513514,0.4166666666666667,0.4166666666666667,0.8,0.5,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,0.14285714285714285,1.0,1.0,,,0.25,3.0,2.0,,,,,,,,,,True,,,,
2594,1610612755,Kyle Korver,Kyle Korver,2594,PHI,10331.0,172,9,333,327,128,130,41,660,2.0,3.0,,,1.0,1.0,1.0,3,6.0,25,24.0,10.0,9,31,41.0,3,60,290,2.0,5,,7.0,4,14,14.0,,20,18,,,23.0,1.0,3.0,1.0,4,1.0,,2.0,1.0,,9,3.0,2,1.0,2,13,1.0,16,6,22,2.0,2.0,1.0,1.0,7.0,1.0,7.0,3.0,1.0,,,,10.0,,4.0,6,15,,,4,,2,,1.0,,1.0,,1.0,,,,20,128,1.0,1.0,1.0,0.2903225806451613,0.4,0.2857142857142857,0.3958333333333333,0.5,0.35714285714285715,0.40540540540540543,0.5,0.35714285714285715,0.5694444444444444,0.03225806451612903,,,0.04,21.98952879581152,0.7,0.0625,0.06666666666666667,0.10655737704918032,0.016129032258064516,0.043478260869565216,0.07317073170731707,0.08928571428571429,0.030303030303030304,0.029411764705882353,,0.017543859649122806,0.06896551724137931,0.08333333333333333,0.05405405405405406,0.09090909090909091,0.15384615384615385,0.02631578947368421,0.125,0.0425531914893617,,0.041666666666666664,0.6666666666666666,0.6666666666666666,1.0,0.041666666666666664,0.3333333333333333,0.3333333333333333,1.0,0.3472222222222222,0.24,0.25,1.0,0.3333333333333333,,,0.03571428571428571,1.0,0.35714285714285715,0.6111111111111112,0.48091428571428574,0.47153,0.44550384615384614,0.02702702702702703,0.06060606060606061,0.11666666666666667,0.3333333333333333,15.538709677419357,25.980487804878045,0.3843843843843844,,17.0,6.0,13.0,39.0,6.0,1.0,0.3170731707317073,0.325,0.2361111111111111,0.25,0.25,1.0,0.2608695652173913,7.0,,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,0.5,0.2857142857142857,0.4117647058823529,0.4375,1.0,0.14285714285714285,,,0.14285714285714285,1.0,1.0,0.14285714285714285,0.25,0.3,,1.0,,,,,1.0,0.024390243902439025,,0.058823529411764705,,True,,,,
