EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,Usage,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,FtPoints,Points,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,HeaveAttempts,ShortMidRangeAssists,DefTwoPtRebounds,DefRebounds,Rebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,OffTwoPtRebounds,OffRebounds,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Offensive Fouls,DefShortMidRangeReboundPct,LongMidRangePctAssisted,Corner3FGA,NonHeaveArc3FGA,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,DefThreePtReboundPct,DefCorner3ReboundPct,Corner3Frequency,FTDefRebounds,DefFTReboundPct,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,Technical Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceArc3Frequency,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,PenaltyFG3M,Fg3aBlocked,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3FGM,BlockedCorner3,PenaltyArc3Accuracy,SecondChanceArc3FGM,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
1563,1610612739,Kevin Ollie,Kevin Ollie,1563,CLE,303.0,5,-2,10,11,1.0,21,1.0,1.0,6,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,16.666666666666668,1.0,0.3135,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,1610612739,Ricky Davis,Ricky Davis,1729,CLE,667.0,11,-11,23,25,2.0,48,4.0,6.0,24,2.0,2.0,1.0,,4.0,1.0,,,,2.0,38.46153846153846,0.5714285714285714,0.4673333333333334,12.416666666666666,15.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,3.0,5.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,15.0,0.6666666666666666,0.6666666666666666,0.5,0.6,0.42857142857142855,0.5,0.4375,0.5,0.14285714285714285,1.0,0.1111111111111111,0.1111111111111111,0.2,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.25,0.25,0.14285714285714285,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,0.429,0.49512,1.0,63.3,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,1610612739,Jelani McCoy,Jelani McCoy,1741,CLE,795.0,13,-9,28,30,2.0,58,,,26,,,,,,,,1.0,1.0,1.0,3.2258064516129035,,,,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,,,,,3.0,4.0,,,,15.0,,,,,,,,,,,0.3,0.2727272727272727,0.2,,,,,,,,,,,,,,,,,,,,0.5357142857142857,1.0,1.0,1.0,1.0,0.14285714285714285,0.09090909090909091,0.16666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,1610612739,Darius Miles,Darius Miles,2032,CLE,221.0,4,-3,8,9,,17,1.0,2.0,6,,,,,,,,,,,22.22222222222222,0.5,0.4406,8.4,7.0,7.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,,,0.5,,0.5414,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,1610612739,DeSagana Diop,DeSagana Diop,2205,CLE,347.0,6,-2,11,12,1.0,23,1.0,1.0,6,,,,,,1.0,1.0,1.0,,2.0,23.076923076923077,1.0,0.4391,17.0,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,,1.0,,,0.5,0.16666666666666666,0.14285714285714285,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,1610612739,J.R. Bremer,J.R. Bremer,2452,CLE,574.0,10,-6,20,21,2.0,41,,,20,,,,,,,,1.0,,1.0,18.181818181818183,,0.5377,,8.0,11.0,,,,,,,,2.0,1.0,,3.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,8.0,,,,,,,,,1.0,,,0.09090909090909091,,,,,,,,,,,,0.6666666666666666,,,1.0,1.0,,0.55605,,24.733333333333334,0.4,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,1610612739,Jason Kapono,Jason Kapono,2574,CLE,128.0,2,2,5,5,,10,,1.0,2,,,,,,,,,,,20.0,,0.6461,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,1610612739,Chris Mihm,Chris Mihm,2036,CLE,182.0,3,-3,7,7,,14,,,6,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,492.0,8,-7,18,19,1.0,37,2.0,4.0,20,2.0,2.0,1.0,,4.0,,,2.0,,2.0,36.8421052631579,0.4,0.44125,10.8,15.0,18.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,,4.0,,1.0,3.0,1.0,,2.0,4.0,,,1.0,2.0,2.0,2.0,,,,,,,1.0,,2.0,15.0,1.0,1.0,0.5,0.3333333333333333,0.4,0.25,0.4,0.25,0.2,,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,0.2,,,0.25,0.4,,0.4230625,0.5,25.2,0.8333333333333334,,,2.0,,,,,,,,,,1.0,,2.0,,,,,,1.0,1.0,0.2,0.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,266.0,4,-4,10,11,1.0,21,,1.0,14,1.0,1.0,1.0,,2.0,,,,,,9.090909090909092,,0.6168,,8.0,11.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,1.0,1.0,,,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,0.6168,1.0,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
