EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,Travels,SecondChanceTurnovers,NonShootingFoulsDrawn,3SecondViolations,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Corner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,BadPassOutOfBoundsTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffCorner3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Corner3Assists,BlockedLongMidRange,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG3M,PenaltyFg3Pct,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,Clear Path Fouls,PenaltyArc3FGM,LostBallOutOfBoundsTurnovers,PenaltyArc3Accuracy,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveMakes,HeaveAttempts,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,on,Defensive 3 Seconds Violations,OffensiveGoaltends,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
1542,1610612746,Predrag Drobnjak,Predrag Drobnjak,1542,LAC,3717.0,62,-9,117,117,41,25,13,234,2.0,4.0,1.0,2.0,1.0,4.0,5.0,9.0,1.0,8.0,17.0,1.0,4.0,20.0,127,1.0,2.0,2.0,1.0,3.0,1.0,3.0,14.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,12.0,2.0,3.0,9.0,12,2.0,14,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,41,0.875,0.875,0.47058823529411764,0.5,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,0.5,0.5,0.5,0.05555555555555555,0.058823529411764705,0.1111111111111111,16.417910447761194,0.5,0.1956521739130435,0.047619047619047616,0.23076923076923078,0.2033898305084746,0.037037037037037035,0.09523809523809523,0.0625,0.38461538461538464,0.17647058823529413,0.2,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.25,0.25,0.5,0.5555555555555556,0.625,1.0,0.05555555555555555,0.6666666666666666,0.5,0.2777777777777778,0.4371805555555556,0.40435,0.46280000000000004,0.15,0.15789473684210525,0.1,0.15,11.370588235294115,25.0,0.3504273504273504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,6129.0,102,1,196,190,100,61,36,386,15.0,20.0,9.0,11.0,4.0,9.0,2.0,6.0,,21.0,35.0,,16.0,58.0,191,8.0,11.0,20.0,14.0,18.0,10.0,38.0,20.0,22.0,,3.0,6.0,1.0,7.0,1.0,1.0,,5.0,15.0,16.0,4.0,18.0,28,18.0,46,4.0,7.0,4.0,11.0,4.0,5.0,10.0,3.0,20.0,3.0,8.0,3.0,3.0,,3.0,3.0,38.0,100,0.47619047619047616,0.7142857142857143,0.6,0.7272727272727273,0.7777777777777778,0.6,0.7272727272727273,0.7777777777777778,0.6590909090909091,0.7142857142857143,0.7916666666666666,,0.08571428571428572,,22.916666666666668,0.36363636363636365,0.2647058823529412,0.2077922077922078,0.18181818181818182,0.24444444444444444,0.17647058823529413,0.12903225806451613,0.25,0.2857142857142857,0.25925925925925924,0.125,0.3333333333333333,1.0,0.5714285714285714,0.75,0.8823529411764706,0.4,0.2571428571428571,0.4444444444444444,0.4444444444444444,0.17142857142857143,0.3333333333333333,0.3333333333333333,1.0,,0.6111111111111112,0.8181818181818182,0.5714285714285714,0.4854542857142857,0.5529090909090909,0.4938999999999999,0.2,0.2,0.3448275862068966,0.6551724137931034,4.6485714285714295,,0.5102040816326531,7.0,10.0,4.0,14.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,0.15,0.5454545454545454,0.08,0.35,0.19230769230769232,0.10526315789473684,0.18181818181818182,0.5,0.9090909090909091,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,5313.0,89,7,170,162,56,44,31,332,7.0,12.0,2.0,5.0,1.0,5.0,4.0,13.0,4.0,12.0,30.0,5.0,25.0,52.0,180,3.0,5.0,10.0,5.0,13.0,16.0,26.0,6.0,18.0,4.0,2.0,5.0,1.0,6.0,1.0,2.0,1.0,2.0,13.0,4.0,1.0,3.0,5,6.0,11,4.0,6.0,1.0,10.0,4.0,2.0,7.0,2.0,27.0,4.0,11.0,2.0,2.0,,2.0,1.0,26.0,56,0.25,0.3,0.4,0.6,0.38461538461538464,0.38571428571428573,0.6,0.35714285714285715,0.5543478260869565,0.7142857142857143,0.5681818181818182,0.14285714285714285,0.06666666666666667,,26.540284360189574,0.4,0.05263157894736842,0.058823529411764705,0.0625,0.0547945205479452,0.06896551724137931,,0.045454545454545456,0.0625,0.05263157894736842,,0.25,0.5,0.34285714285714286,0.5833333333333334,0.7,0.42857142857142855,0.14285714285714285,0.2,0.2,0.37142857142857144,0.3076923076923077,0.3076923076923077,,0.11428571428571428,0.35714285714285715,0.4,0.4857142857142857,0.4732185714285715,0.46315999999999996,0.4389607142857143,0.2619047619047619,0.2972972972972973,0.19230769230769232,0.5,9.916666666666666,24.84,0.32941176470588235,2.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,,1.0,2.0,4.0,,0.16666666666666666,0.1,0.10526315789473684,0.058823529411764705,0.15789473684210525,0.06666666666666667,0.1,,0.6,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.2,0.2,0.25,0.02857142857142857,0.25,0.25,1.0,0.07142857142857142,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,4588.0,76,10,136,142,64,51,13,278,4.0,7.0,4.0,5.0,2.0,4.0,2.0,10.0,5.0,8.0,21.0,5.0,5.0,24.0,133,,1.0,,7.0,12.0,5.0,19.0,4.0,12.0,5.0,1.0,5.0,3.0,8.0,2.0,3.0,,2.0,19.0,,,5.0,5,,5,6.0,3.0,4.0,9.0,5.0,1.0,6.0,,6.0,,2.0,1.0,,,1.0,1.0,19.0,64,0.25,0.25,0.38095238095238093,,0.5833333333333334,0.36538461538461536,,0.5,0.41379310344827586,,0.5588235294117647,0.19230769230769232,0.047619047619047616,,24.358974358974358,0.6666666666666666,0.07575757575757576,,,0.06172839506172839,,,,0.13043478260869565,0.07692307692307693,,,1.0,0.2692307692307692,0.5714285714285714,0.6666666666666666,0.5,0.15384615384615385,0.5,0.5,0.38461538461538464,0.2,0.2,,0.19230769230769232,0.35714285714285715,0.8,0.46153846153846156,0.4584096153846154,0.55,0.47221428571428575,0.07142857142857142,0.08695652173913043,,0.7916666666666666,11.485714285714286,26.740000000000002,0.47058823529411764,,1.0,,,,,,3.0,1.0,2.0,,,1.0,,0.14285714285714285,,,,,,,,1.0,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,,,,1.0,1.0,0.2,0.2,,,0.2,0.2,1.0,0.14285714285714285,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
779,1610612746,Glen Rice,Glen Rice,779,LAC,15626.0,260,25,487,481,194,118,75,968,4.0,6.0,1.0,1.0,5.0,17.0,8.0,25.0,23.0,17.0,48.0,28.0,17.0,66.0,476,3.0,7.0,8.0,6.0,17.0,6.0,21.0,18.0,16.0,23.0,2.0,19.0,5.0,24.0,5.0,12.0,4.0,3.0,53.0,9.0,9.0,21.0,32,9.0,41,9.0,4.0,3.0,13.0,4.0,13.0,22.0,1.0,17.0,,6.0,,,,,,21.0,194,0.5294117647058824,0.6,0.3541666666666667,0.42857142857142855,0.35294117647058826,0.3223684210526316,0.3,0.2777777777777778,0.3869047619047619,0.36363636363636365,0.35,0.3684210526315789,0.041666666666666664,0.04,16.724137931034484,0.6923076923076923,0.11602209944751381,0.04891304347826087,0.15789473684210525,0.12605042016806722,0.037815126050420166,0.03571428571428571,0.15384615384615385,0.05555555555555555,0.13333333333333333,0.19047619047619047,0.06666666666666667,,0.07894736842105263,0.6666666666666666,0.6666666666666666,0.5,0.2236842105263158,0.29411764705882354,0.3125,0.32894736842105265,0.32,0.3333333333333333,0.5,0.3026315789473684,0.037037037037037035,1.0,0.4473684210526316,0.460095394736842,0.4408950000000001,0.4398185185185185,0.07317073170731707,0.1111111111111111,0.12121212121212122,0.3181818181818182,13.120833333333337,24.857142857142854,0.39835728952772076,1.0,1.0,2.0,4.0,,2.0,1.0,6.0,5.0,1.0,,,2.0,1.0,,0.08,,0.10204081632653061,0.0196078431372549,,0.019230769230769232,0.6,0.1,1.0,5.0,4.0,9.0,5.0,10.0,15.0,4.0,1.0,6.0,,,1.0,4.0,1.0,0.17857142857142858,0.17857142857142858,,0.06578947368421052,0.17391304347826086,0.17391304347826086,1.0,0.3333333333333333,0.17391304347826086,,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.1,0.058823529411764705,0.2,0.2,1.0,0.2,0.1,0.037037037037037035,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,3340.0,56,-4,106,100,62,42,20,206,2.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,5.0,10.0,1.0,12.0,22.0,102,1.0,2.0,7.0,4.0,8.0,10.0,18.0,8.0,2.0,1.0,,8.0,,8.0,,4.0,,4.0,16.0,1.0,1.0,2.0,3,1.0,4,3.0,2.0,2.0,5.0,3.0,1.0,7.0,1.0,14.0,,4.0,,,,,,18.0,62,0.8,0.8,0.5,0.5,0.5,0.45454545454545453,0.5,0.5,0.6111111111111112,0.7,0.6428571428571429,0.09090909090909091,,,18.11023622047244,0.6,0.07692307692307693,0.02702702702702703,0.06666666666666667,0.07317073170731707,0.019230769230769232,0.07142857142857142,,0.125,0.1111111111111111,,0.16666666666666666,,0.18181818181818182,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.4,0.4,1.0,0.09090909090909091,0.25,1.0,0.2727272727272727,0.4159227272727273,0.42195000000000005,0.401725,0.26666666666666666,0.2857142857142857,0.3181818181818182,0.8181818181818182,13.39,24.9,0.5849056603773585,1.0,1.0,5.0,,,,,5.0,3.0,2.0,,,3.0,,,,,,,,,,0.5,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
77,1610612746,Doug Overton,Doug Overton,77,LAC,7346.0,122,24,229,222,99,33,38,451,1.0,5.0,,3.0,2.0,3.0,11.0,19.0,4.0,14.0,27.0,4.0,2.0,33.0,222,1.0,1.0,2.0,5.0,11.0,,10.0,10.0,18.0,4.0,2.0,11.0,2.0,13.0,2.0,5.0,3.0,3.0,28.0,,2.0,5.0,7,,7,5.0,2.0,,7.0,4.0,4.0,14.0,1.0,2.0,,1.0,2.0,1.0,,2.0,1.0,10.0,99,0.35714285714285715,0.35714285714285715,0.5185185185185185,1.0,0.45454545454545453,0.5,0.5,0.4166666666666667,0.515625,0.5,0.4166666666666667,0.12903225806451613,0.07407407407407407,0.05263157894736842,14.338235294117647,0.7142857142857143,0.05813953488372093,,0.07142857142857142,0.06140350877192982,,,,,0.14705882352941177,0.05263157894736842,0.1111111111111111,0.5,0.16129032258064516,0.2,0.25,,0.0967741935483871,0.6666666666666666,0.6666666666666666,0.6129032258064516,0.5789473684210527,0.6111111111111112,0.36363636363636365,0.12903225806451613,0.25,,0.2903225806451613,0.43991129032258064,0.48955,0.4123875000000001,0.03125,0.03571428571428571,0.06060606060606061,0.30303030303030304,14.118518518518519,25.175,0.43231441048034935,,,,,,,,4.0,2.0,2.0,,,,,0.2,,,,,,,0.5,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,,1.0,,2.0,1.0,0.25,0.25,,,0.25,0.25,1.0,0.08333333333333333,0.25,,1.0,,,,,1.0,1.0,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,5668.0,94,24,178,178,87,54,31,356,6.0,15.0,2.0,7.0,1.0,3.0,2.0,10.0,12.0,9.0,28.0,17.0,7.0,43.0,178,2.0,7.0,4.0,3.0,11.0,3.0,15.0,10.0,8.0,12.0,2.0,4.0,2.0,6.0,2.0,3.0,1.0,,14.0,5.0,1.0,7.0,8,7.0,15,2.0,5.0,,7.0,4.0,2.0,6.0,2.0,9.0,1.0,4.0,1.0,,1.0,1.0,1.0,15.0,87,0.5555555555555556,0.7142857142857143,0.32142857142857145,0.2857142857142857,0.2727272727272727,0.4,0.2857142857142857,0.3,0.4387755102040816,0.2857142857142857,0.3409090909090909,0.37777777777777777,0.07142857142857142,,25.454545454545453,0.2857142857142857,0.09333333333333334,0.06944444444444445,0.058823529411764705,0.08695652173913043,0.06862745098039216,0.06896551724137931,0.16666666666666666,0.07142857142857142,0.06896551724137931,0.058823529411764705,,1.0,0.3333333333333333,0.4,0.46153846153846156,0.6666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2,0.2,0.5,0.26666666666666666,0.35,0.2857142857142857,0.7111111111111111,0.5021215909090909,0.5275000000000001,0.5396157894736843,0.08333333333333333,0.12903225806451613,0.09302325581395349,0.3488372093023256,7.746428571428571,26.06470588235294,0.4887640449438202,2.0,5.0,,4.0,2.0,,2.0,1.0,,1.0,,1.0,1.0,,0.13333333333333333,,0.06666666666666667,0.08,0.05555555555555555,0.08,0.07692307692307693,,0.7142857142857143,0.4,5.0,5.0,6.0,6.0,9.0,18.0,5.0,,2.0,,,,,1.0,0.35294117647058826,0.35294117647058826,,0.1111111111111111,0.4166666666666667,0.4166666666666667,1.0,0.3,0.4166666666666667,,,1.0,,,3.0,,,2.0,0.2222222222222222,,0.2,0.2,1.0,,,0.15,,,,2.0,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,True,,,,,,,,,
2404,1610612746,Chris Wilcox,Chris Wilcox,2404,LAC,7118.0,119,4,219,222,91,53,30,441,12.0,23.0,5.0,9.0,7.0,15.0,,,,19.0,38.0,,11.0,49.0,224,5.0,12.0,12.0,7.0,14.0,6.0,20.0,22.0,16.0,,4.0,7.0,,7.0,,6.0,,1.0,14.0,11.0,3.0,8.0,13,14.0,27,2.0,5.0,1.0,7.0,3.0,9.0,19.0,5.0,15.0,1.0,6.0,,,,1.0,1.0,20.0,91,0.5789473684210527,0.7857142857142857,0.5,0.4166666666666667,0.5,0.5,0.4166666666666667,0.5,0.5444444444444444,0.46153846153846156,0.5555555555555556,,0.10526315789473684,,20.3921568627451,0.2857142857142857,0.09411764705882353,0.13924050632911392,0.14285714285714285,0.10377358490566038,0.13,0.12121212121212122,0.1,0.09090909090909091,0.09302325581395349,0.13333333333333333,0.16666666666666666,1.0,0.6052631578947368,0.5217391304347826,0.5454545454545454,0.5833333333333334,0.39473684210526316,0.4666666666666667,0.5833333333333334,,,,,,0.6428571428571429,0.5555555555555556,0.6052631578947368,0.48437368421052635,0.53811,0.5156928571428571,0.13953488372093023,0.13953488372093023,0.24489795918367346,0.40816326530612246,3.113157894736842,,0.4155251141552511,5.0,11.0,2.0,10.0,2.0,2.0,3.0,2.0,1.0,1.0,,,2.0,,0.043478260869565216,0.16666666666666666,0.09523809523809523,0.17391304347826086,0.13043478260869565,0.1111111111111111,0.2,0.5714285714285714,0.9166666666666666,0.45454545454545453,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,1.0,1.0,1.0,0.2,,,,,,,,,,,,,True,,,,,,,,,
2067,1610612746,Eddie House,Eddie House,2067,LAC,4681.0,78,-1,149,149,35,28,19,298,3.0,5.0,1.0,2.0,,3.0,6.0,15.0,13.0,9.0,23.0,15.0,5.0,38.0,137,1.0,5.0,5.0,2.0,4.0,3.0,13.0,10.0,8.0,10.0,,9.0,,9.0,,4.0,2.0,3.0,18.0,1.0,5.0,5.0,10,1.0,11,2.0,2.0,1.0,4.0,,4.0,8.0,,6.0,,1.0,,,,,,13.0,35,0.5555555555555556,0.5555555555555556,0.391304347826087,0.2,0.5,0.4342105263157895,0.3125,0.7142857142857143,0.4634146341463415,0.3125,0.7222222222222222,0.39473684210526316,,,25.862068965517242,0.5,0.10204081632653061,0.017543859649122806,0.20833333333333334,0.136986301369863,0.01282051282051282,0.030303030303030304,,0.08333333333333333,0.16,0.2,0.2222222222222222,,0.13157894736842105,0.6,0.6,0.6666666666666666,0.07894736842105263,,,0.39473684210526316,0.4,0.4,0.5,0.34210526315789475,0.2857142857142857,0.5,0.5263157894736842,0.4872375,0.4982666666666667,0.4988000000000001,0.02564102564102564,0.041666666666666664,0.13157894736842105,0.34210526315789475,13.482608695652173,28.066666666666666,0.2348993288590604,,,,,,,,3.0,1.0,2.0,,,2.0,,,,,,,,,,,,2.0,5.0,3.0,5.0,3.0,12.0,4.0,2.0,1.0,,,,2.0,0.8,0.3333333333333333,0.3076923076923077,,0.05263157894736842,0.38461538461538464,0.38461538461538464,0.8,0.42857142857142855,0.4,,,,1.0,,,2.0,3.0,2.0,0.6666666666666666,,,,,0.125,0.25,,,,,2.0,,0.6666666666666666,,,,,1.0,1.0,3.0,1.0,2.0,0.3333333333333333,0.5,1.0,,,,,True,,,,,,,,,
