EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,BadPassTurnovers,FTA,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,PtsPutbacks,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SecondChanceFg2Pct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceFtPoints,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,DeadBallTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,Technical Free Throw Trips,PenaltyCorner3FGA,FTOffRebounds,BlockedAtRim,OffFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,LostBallOutOfBoundsTurnovers,Arc3PctAssisted,Arc3Assists,LostBallSteals,BadPassOutOfBoundsTurnovers,on,SelfOReb,Travels,SecondChanceTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,LongMidRangePctBlocked,SelfORebPct,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,Fg3aBlocked,ThreePtShootingFoulsDrawn,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,OffensiveGoaltends
1508,1610612745,Maurice Taylor,Maurice Taylor,1508,HOU,691.0,12,-7,20,21,6.0,10,3.0,41,1.0,1.0,1.0,3.0,2.0,4,4.0,23,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,20.833333333333336,1.0,0.25,1.0,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.25,0.362825,0.3253,0.5,4.35,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,1610612745,Cuttino Mobley,Cuttino Mobley,1749,HOU,903.0,15,-1,30,29,8.0,19,5.0,59,,1.0,,2.0,1.0,5,10.0,29,1.0,2.0,7.0,,2.0,,,,,3.0,1.0,3.0,,7.0,8.0,,,0.2,0.5,0.5714285714285714,0.8333333333333334,0.625,0.875,29.72972972972973,1.0,0.14285714285714285,,,,0.2857142857142857,,,0.42857142857142855,0.4928857142857143,0.4658333333333333,0.7,10.879999999999999,0.26666666666666666,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.75,0.2857142857142857,0.4,1.0,0.5,0.1111111111111111,0.1111111111111111,0.25,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.45685,0.3,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,1610612745,Steve Francis,Steve Francis,1883,HOU,708.0,12,1,24,23,8.0,19,4.0,47,1.0,3.0,,1.0,1.0,7,2.0,24,1.0,1.0,2.0,,2.0,,2.0,,4.0,,,,,2.0,8.0,,,0.14285714285714285,1.0,0.125,0.5,0.125,0.5,26.666666666666668,,0.375,0.3333333333333333,1.0,,0.125,,,0.5,0.42386874999999996,0.356825,1.0,8.157142857142857,0.3333333333333333,,3.0,,,,,,1.0,,1.0,,1.0,,2.0,,,2.0,,1.0,,,,1.0,,3.0,,,3.0,,,,,,,,,,,0.5,0.5,0.125,0.42857142857142855,0.6666666666666666,1.0,,,,0.375,,,,,,,0.125,,,,,,0.5,,,0.4242,1.0,25.7,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,0.5,0.2,0.1875,0.3333333333333333,0.25,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,1610612745,Alton Ford,Alton Ford,2228,HOU,2424.0,40,1,74,74,34.0,44,11.0,148,3.0,4.0,1.0,3.0,6.0,11,15.0,70,4.0,6.0,10.0,10.0,2.0,,3.0,,6.0,2.0,2.0,3.0,1.0,10.0,34.0,0.8333333333333334,1.0,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.5769230769230769,0.7142857142857143,18.181818181818183,0.6666666666666666,0.36363636363636365,0.75,1.0,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.38265454545454547,0.3915833333333334,0.6666666666666666,8.827272727272726,0.4594594594594595,2.0,4.0,,,,,,,,,,,3.0,4.0,,,3.0,,,2.0,,,,,1.0,6.0,8.0,11.0,,,,6.0,1.0,,,,,,0.25,0.375,,0.09090909090909091,0.25,,0.21428571428571427,0.2,0.125,0.36363636363636365,0.5,0.5,,,,,,,,,,,,,,0.3693,0.2,,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,,2.0,3.0,0.25,0.05714285714285714,0.075,,0.07692307692307693,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.2,0.08333333333333333,0.5,0.2,0.26666666666666666,0.16666666666666666,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,1610612745,Jim Jackson,Jim Jackson,754,HOU,679.0,11,4,23,22,5.0,15,4.0,45,,2.0,,1.0,,4,2.0,22,,,,,,,1.0,,2.0,,,,,,5.0,,,,,,,,,13.793103448275863,,0.5,,,,0.25,,,0.5,0.49825,,,6.95,0.21739130434782608,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,1610612745,Scott Padgett,Scott Padgett,1909,HOU,1251.0,21,9,38,38,23.0,23,7.0,76,4.0,6.0,,,4.0,6,11.0,33,3.0,4.0,9.0,6.0,2.0,,1.0,,2.0,,,,,9.0,23.0,0.75,1.0,0.6666666666666666,0.75,0.5714285714285714,0.6,0.6875,0.75,17.02127659574468,,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.75,,,,1.0,0.5935642857142858,0.58689,0.8181818181818182,0.3833333333333333,0.6052631578947368,,,,1.0,,,,,,,,1.0,3.0,4.0,,,7.0,,1.0,3.0,,,,,,,1.0,5.0,2.0,2.0,,4.0,,,,,,,0.75,0.875,0.14285714285714285,,,,,0.047619047619047616,,,,,0.14285714285714285,,,,,,,,,,,,,0.49150000000000005,0.6363636363636364,23.3,3.0,4.0,3.0,4.0,3.0,2.0,1.0,,1.0,2.0,4.0,0.75,0.13333333333333333,0.15789473684210525,0.16666666666666666,,1.0,0.75,0.8,0.75,1.0,1.0,1.0,,,2.0,2.0,,2.0,3.0,1.0,,1.0,1.0,,,,,0.2,0.25,0.2,,,,,1.0,,,0.375,0.42857142857142855,,,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.2,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,1610612745,Bostjan Nachbar,Bostjan Nachbar,2411,HOU,1745.0,29,-3,51,52,29.0,29,7.0,103,1.0,2.0,,,1.0,3,11.0,48,,1.0,7.0,2.0,,,2.0,,4.0,1.0,,2.0,,7.0,29.0,1.0,1.0,0.3333333333333333,,0.5,0.5,0.6875,0.7,16.949152542372882,0.5,0.4,0.5,0.5,1.0,,,,0.8,0.46875,0.4578166666666667,0.6363636363636364,6.833333333333333,0.5686274509803921,,1.0,,,,,1.0,2.0,1.0,2.0,1.0,2.0,6.0,,,,,1.0,2.0,4.0,3.0,,2.0,1.0,,3.0,4.0,4.0,,,1.0,6.0,1.0,1.0,0.5,,0.5,0.5,,,0.4,,,,0.13043478260869565,0.13333333333333333,0.16666666666666666,0.2,,,,,,,0.4,0.5,0.5,,,,0.6666666666666666,0.5,0.5,,,26.450000000000003,,,,1.0,,,2.0,,1.0,,,,,,,,,,0.3333333333333333,,,,1.0,,1.0,,3.0,,,2.0,,,,,,,2.0,,0.14285714285714285,,,,,0.16666666666666666,0.16666666666666666,,,,0.2857142857142857,0.4,1.0,,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,1610612745,Moochie Norris,Moochie Norris,983,HOU,1457.0,24,-7,43,44,22.0,18,5.0,87,1.0,2.0,,1.0,1.0,6,2.0,44,,4.0,,,2.0,1.0,4.0,,9.0,1.0,,1.0,,,22.0,,,0.16666666666666666,,0.14285714285714285,,0.14285714285714285,,16.3265306122449,1.0,0.2857142857142857,0.5,0.5,,0.14285714285714285,,,0.42857142857142855,0.48660714285714285,0.44343000000000005,,10.65,0.5116279069767442,,3.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,0.14285714285714285,,,,0.10526315789473684,0.08333333333333333,0.5,0.42857142857142855,,,,,,,0.14285714285714285,,,,,,0.2,,,0.2805,,24.5,,,,1.0,,,3.0,3.0,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,1610612745,Kelvin Cato,Kelvin Cato,1509,HOU,244.0,4,-5,8,8,3.0,4,,16,,,,1.0,,1,,10,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,12.5,,,,,,1.0,,,,0.3849,0.3849,,13.7,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1610612745,Eric Piatkowski,Eric Piatkowski,15,HOU,1181.0,20,-2,33,35,18.0,15,6.0,68,,,,2.0,,2,2.0,36,,1.0,2.0,,,,1.0,,2.0,1.0,,1.0,,2.0,18.0,,,,,,,0.25,0.5,12.5,1.0,,,,,0.6666666666666666,,,0.3333333333333333,0.4437166666666667,0.3822,1.0,11.399999999999999,0.5454545454545454,,,,1.0,,,,,,,,1.0,2.0,,,,,,,2.0,,,,,,2.0,2.0,2.0,,,1.0,2.0,,,,,,,,,0.3333333333333333,,,,0.14285714285714285,0.1111111111111111,,,,,0.3333333333333333,,,,,,,,,,,,,,,23.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.25,,,,,0.25,0.3333333333333333,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
