EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,ShortMidRangePctBlocked,DefCorner3ReboundPct,Corner3FGA,Corner3Frequency,SecondChanceAtRimPctAssisted,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,StepOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedCorner3,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedArc3,on,SecondChanceCorner3FGM,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1499,1610612739,Tony Battie,Tony Battie,1499,CLE,17043.0,284,-32,519,514,125,130,89,1033,18.0,25.0,9.0,14.0,3.0,3.0,9.0,26.0,12.0,24.0,1.0,5.0,4.0,39.0,75.0,1.0,5.0,11.0,92.0,531,11.0,19.0,4.0,26.0,3.0,9.0,4.0,9.0,15.0,48.0,30.0,3.0,16.0,2.0,3.0,1.0,1.0,9.0,3.0,12.0,3.0,4.0,4.0,1.0,27.0,6.0,18.0,1.0,8.0,40.0,5.0,53.0,25.0,78.0,1.0,4.0,3.0,1.0,9.0,1.0,6.0,6.0,3.0,1.0,15,1.0,2.0,23.0,37.0,3.0,3.0,15.0,1.0,4.0,4.0,18.0,11.0,7.0,18.0,7.0,1.0,1.0,15.0,125,5.0,0.6153846153846154,0.7741935483870968,1.0,0.2,0.3333333333333333,0.52,0.5789473684210527,0.3333333333333333,0.50625,0.5789473684210527,0.23076923076923078,0.5287356321839081,0.6190476190476191,0.39473684210526316,0.0625,0.013333333333333334,0.04,16.346153846153847,0.6,0.21739130434782608,0.07142857142857142,0.18433179723502305,0.07627118644067797,0.16,0.1276595744680851,0.1797752808988764,0.08480565371024736,0.13114754098360656,0.06521739130434782,0.04819277108433735,0.09375,0.2,0.15517241379310345,0.21951219512195122,0.16883116883116883,0.2,0.02702702702702703,0.3888888888888889,0.3125,0.72,0.75,0.3333333333333333,0.325,0.34615384615384615,0.34615384615384615,0.7777777777777778,0.3,0.5,0.5,0.9166666666666666,0.0625,0.2,0.2,1.0,0.7368421052631579,0.6428571428571429,0.23076923076923078,1.0,0.3076923076923077,0.375,0.3333333333333333,0.46480897435897434,0.5493058823529413,0.4939772727272727,0.04819277108433735,0.05128205128205128,0.2826086956521739,0.16304347826086957,9.306666666666667,38.7,0.24084778420038536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1563,1610612739,Kevin Ollie,Kevin Ollie,1563,CLE,19750.0,329,34,605,600,147,178,93,1205,7.0,16.0,,,1.0,3.0,4.0,19.0,8.0,24.0,1.0,1.0,,19.0,59.0,1.0,1.0,24.0,65.0,563,1.0,4.0,4.0,6.0,1.0,9.0,,8.0,10.0,18.0,20.0,3.0,,,1.0,1.0,4.0,46.0,17.0,63.0,15.0,16.0,8.0,22.0,143.0,1.0,5.0,,8.0,36.0,,44.0,6.0,50.0,1.0,16.0,7.0,9.0,5.0,1.0,5.0,7.0,,,12,,3.0,12.0,32.0,,3.0,29.0,2.0,9.0,4.0,2.0,,2.0,2.0,2.0,,,10.0,147,2.0,0.47368421052631576,0.47368421052631576,1.0,1.0,1.0,0.3220338983050847,0.25,0.1111111111111111,0.3416666666666667,0.25,0.1111111111111111,0.4295774647887324,0.5,0.38461538461538464,0.016666666666666666,0.06779661016949153,0.125,11.576011157601116,0.4166666666666667,,,0.138996138996139,0.017793594306049824,0.1509433962264151,0.022727272727272728,0.14102564102564102,0.018461538461538463,,0.030303030303030304,0.019230769230769232,0.02702702702702703,,0.0945945945945946,0.16470588235294117,0.15,0.1282051282051282,0.027777777777777776,1.0,0.26666666666666666,0.4375,0.5,0.5714285714285714,0.31666666666666665,0.21052631578947367,0.23529411764705882,,0.4,0.3333333333333333,0.3333333333333333,0.625,0.016666666666666666,1.0,1.0,1.0,,,0.3333333333333333,0.3333333333333333,,0.2833333333333333,1.0,0.46355499999999983,0.4265,0.4933777777777778,0.13432835820895522,0.13636363636363635,0.09230769230769231,0.15384615384615385,10.701694915254237,25.1,0.24297520661157024,2.0,2.0,5.0,0.10526315789473684,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1924,1610612739,Lee Nailon,Lee Nailon,1924,CLE,9173.0,153,-22,279,279,62,106,39,558,6.0,12.0,3.0,6.0,1.0,2.0,13.0,26.0,12.0,28.0,,,,31.0,66.0,,1.0,13.0,75.0,292,7.0,14.0,,14.0,6.0,14.0,,1.0,13.0,40.0,22.0,,8.0,,,,2.0,7.0,,7.0,,4.0,2.0,1.0,14.0,2.0,13.0,,1.0,12.0,5.0,18.0,15.0,33.0,3.0,2.0,1.0,1.0,3.0,,1.0,4.0,2.0,1.0,7,1.0,1.0,9.0,15.0,,2.0,16.0,2.0,8.0,1.0,1.0,1.0,,1.0,,,,13.0,62,,0.6451612903225806,0.7407407407407407,,,,0.4696969696969697,0.5,0.42857142857142855,0.4626865671641791,0.5,0.42857142857142855,0.5067567567567568,0.5,0.43333333333333335,0.014925373134328358,0.030303030303030304,0.16666666666666666,24.770642201834864,0.42857142857142855,0.29411764705882354,,0.10810810810810811,0.10743801652892562,0.043478260869565216,0.09523809523809523,0.09701492537313433,0.1056338028169014,0.16666666666666666,0.1276595744680851,0.045454545454545456,0.125,,0.16279069767441862,0.06666666666666667,0.07894736842105263,,0.09375,,0.1791044776119403,0.5,0.6,0.5,0.3880597014925373,0.5,0.5,0.46153846153846156,0.417910447761194,0.42857142857142855,0.42857142857142855,0.9166666666666666,,,,,0.42857142857142855,0.5,0.14285714285714285,0.5,,0.19402985074626866,,0.4163104477611941,0.47618571428571427,0.3924071428571429,0.1095890410958904,0.1111111111111111,0.18666666666666668,0.17333333333333334,10.637878787878785,22.9,0.2222222222222222,,1.0,,,0.16666666666666666,1.0,0.014925373134328358,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2205,1610612739,DeSagana Diop,DeSagana Diop,2205,CLE,15836.0,264,12,481,485,85,156,74,966,7.0,12.0,4.0,9.0,,2.0,4.0,17.0,11.0,29.0,,,,22.0,58.0,,,4.0,48.0,451,5.0,17.0,,10.0,4.0,13.0,,1.0,9.0,30.0,14.0,,8.0,,,,2.0,13.0,,13.0,,4.0,6.0,3.0,26.0,2.0,23.0,,6.0,39.0,2.0,47.0,25.0,72.0,1.0,7.0,5.0,2.0,9.0,3.0,5.0,6.0,4.0,,15,3.0,4.0,23.0,32.0,1.0,1.0,6.0,2.0,4.0,,19.0,10.0,8.0,19.0,13.0,1.0,,9.0,85,2.0,0.6818181818181818,0.8333333333333334,,,,0.3793103448275862,0.29411764705882354,0.3076923076923077,0.3793103448275862,0.29411764705882354,0.3076923076923077,0.4,0.29411764705882354,0.34615384615384615,,0.034482758620689655,,13.204225352112676,0.6,0.125,,0.1822429906542056,0.1031390134529148,0.13333333333333333,0.05263157894736842,0.17374517374517376,0.09578544061302682,0.140625,0.08433734939759036,0.09210526315789473,,0.2,0.23529411764705882,0.17567567567567569,0.1388888888888889,0.1724137931034483,0.029411764705882353,0.6842105263157895,0.20689655172413793,0.5833333333333334,0.5833333333333334,0.2857142857142857,0.29310344827586204,0.23529411764705882,0.26666666666666666,1.0,0.5,0.3793103448275862,0.3793103448275862,0.8181818181818182,,,,,0.5294117647058824,0.4444444444444444,0.15384615384615385,,,0.20689655172413793,,0.4291258620689656,0.48362142857142854,0.3931384615384615,0.06666666666666667,0.06666666666666667,0.20833333333333334,0.1875,11.220689655172412,,0.17671517671517672,,,,0.11764705882352941,0.0625,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2402,1610612739,Dajuan Wagner,Dajuan Wagner,2402,CLE,42590.0,710,-92,1333,1323,345,420,208,2656,34.0,89.0,4.0,8.0,6.0,20.0,37.0,97.0,10.0,34.0,29.0,74.0,24.0,81.0,220.0,31.0,86.0,32.0,287.0,1407,10.0,21.0,3.0,41.0,15.0,49.0,28.0,16.0,70.0,62.0,100.0,87.0,4.0,,74.0,29.0,24.0,46.0,5.0,51.0,4.0,14.0,10.0,22.0,107.0,1.0,8.0,,16.0,31.0,2.0,49.0,9.0,58.0,4.0,26.0,12.0,14.0,26.0,3.0,16.0,15.0,10.0,3.0,41,2.0,6.0,43.0,89.0,1.0,5.0,47.0,3.0,22.0,3.0,6.0,1.0,5.0,7.0,3.0,,,70.0,345,11.0,0.38271604938271603,0.3924050632911392,0.9354838709677419,0.36046511627906974,0.36046511627906974,0.36818181818181817,0.47619047619047616,0.30612244897959184,0.4166666666666667,0.59375,0.35064935064935066,0.4375,0.6029411764705882,0.3977272727272727,0.28104575163398693,0.10909090909090909,0.1797752808988764,23.33965844402277,0.6341463414634146,0.03773584905660377,,0.05961538461538462,0.013445378151260505,0.12598425196850394,0.008849557522123894,0.07264296754250386,0.012711864406779662,0.011428571428571429,0.01834862385321101,0.009900990099009901,0.011764705882352941,,0.03821656050955414,0.055248618784530384,0.08241758241758242,0.09302325581395349,0.023668639053254437,0.42857142857142855,0.2908496732026144,0.38202247191011235,0.4657534246575342,0.38235294117647056,0.31699346405228757,0.38144329896907214,0.4111111111111111,0.2972972972972973,0.1111111111111111,0.29411764705882354,0.30303030303030304,0.7,0.24183006535947713,0.3918918918918919,0.3918918918918919,0.9310344827586207,0.25,0.5,0.2597402597402597,0.3,0.3116883116883117,0.5718954248366013,0.3918918918918919,0.48149721311475413,0.48136428571428574,0.4751756578947368,0.06769230769230769,0.09205020920502092,0.14285714285714285,0.24390243902439024,7.1427272727272735,24.979069767441857,0.25881470367591897,1.0,2.0,,0.07216494845360824,0.1951219512195122,12.0,0.0392156862745098,0.25,,,2.0,1.0,4.0,6.0,10.0,8.0,6.0,11.0,8.0,6.0,2.0,1.0,1.0,1.0,0.5454545454545454,0.2857142857142857,0.029411764705882353,0.16666666666666666,0.16666666666666666,1.0,0.03125,0.3125,0.6,0.8333333333333334,0.05194805194805195,0.3333333333333333,,,,,,,,,,True,,,,
2430,1610612739,Carlos Boozer,Carlos Boozer,2430,CLE,20840.0,347,-12,657,649,207,202,103,1306,40.0,54.0,14.0,20.0,8.0,12.0,10.0,23.0,13.0,30.0,,2.0,1.0,63.0,107.0,,2.0,47.0,173.0,705,16.0,25.0,8.0,40.0,14.0,26.0,1.0,20.0,48.0,78.0,48.0,,24.0,,2.0,,4.0,15.0,9.0,24.0,7.0,4.0,5.0,6.0,57.0,2.0,31.0,1.0,12.0,46.0,10.0,68.0,34.0,102.0,1.0,12.0,8.0,4.0,6.0,,4.0,8.0,2.0,2.0,14,1.0,3.0,11.0,29.0,5.0,3.0,63.0,9.0,30.0,5.0,6.0,5.0,1.0,6.0,2.0,,,48.0,207,5.0,0.6190476190476191,0.7647058823529411,,,,0.5887850467289719,0.64,0.5384615384615384,0.5779816513761468,0.64,0.5185185185185185,0.6370370370370371,0.6666666666666666,0.6153846153846154,0.01834862385321101,0.037383177570093455,0.05555555555555555,19.005102040816325,0.42857142857142855,0.37037037037037035,0.047619047619047616,0.2,0.10163934426229508,0.19047619047619047,0.041666666666666664,0.19795221843003413,0.09348441926345609,0.1,0.10084033613445378,0.10465116279069768,0.05,,0.15384615384615385,0.23684210526315788,0.20224719101123595,0.15789473684210525,0.024390243902439025,0.3333333333333333,0.4954128440366973,0.7407407407407407,0.7843137254901961,0.575,0.21100917431192662,0.43478260869565216,0.45454545454545453,0.8,0.27522935779816515,0.43333333333333335,0.43333333333333335,0.6153846153846154,0.01834862385321101,,,,0.8,0.7,0.4444444444444444,0.6666666666666666,0.037037037037037035,0.5137614678899083,,0.5052545871559634,0.5628920000000001,0.5059296296296296,0.23076923076923078,0.234375,0.23121387283236994,0.2774566473988439,7.198130841121495,25.5,0.3150684931506849,2.0,1.0,1.0,0.043478260869565216,0.24,,,0.14285714285714285,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,,
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,18923.0,315,-82,598,589,169,174,91,1187,32.0,59.0,16.0,31.0,5.0,14.0,12.0,36.0,16.0,41.0,1.0,2.0,2.0,60.0,136.0,1.0,2.0,22.0,145.0,677,21.0,43.0,7.0,49.0,12.0,33.0,2.0,4.0,31.0,76.0,44.0,3.0,28.0,,2.0,1.0,12.0,3.0,3.0,6.0,3.0,,,3.0,15.0,3.0,44.0,,7.0,37.0,4.0,48.0,47.0,95.0,7.0,6.0,3.0,3.0,8.0,2.0,4.0,9.0,4.0,4.0,17,,3.0,18.0,32.0,5.0,1.0,26.0,4.0,15.0,,30.0,18.0,11.0,30.0,17.0,,,31.0,169,5.0,0.6333333333333333,0.8260869565217391,1.0,0.5,0.5,0.4411764705882353,0.4883720930232558,0.36363636363636365,0.44565217391304346,0.4883720930232558,0.38571428571428573,0.4865771812080537,0.532608695652174,0.4189189189189189,0.014492753623188406,0.08823529411764706,0.15254237288135594,23.380281690140848,0.47058823529411764,0.18181818181818182,,0.16666666666666666,0.1647940074906367,0.1346153846153846,0.057692307692307696,0.16058394160583941,0.14733542319749215,0.275,0.1368421052631579,0.09782608695652174,0.05,0.08333333333333333,0.15384615384615385,0.17721518987341772,0.16666666666666666,0.15625,0.1076923076923077,0.5666666666666667,0.427536231884058,0.5423728813559322,0.64,0.4375,0.2608695652173913,0.3333333333333333,0.35294117647058826,0.6666666666666666,0.2971014492753623,0.3902439024390244,0.4,1.0,0.014492753623188406,0.5,0.5,1.0,0.7209302325581395,0.5161290322580645,0.4,0.35714285714285715,0.05714285714285714,0.4420289855072464,0.5,0.47270905797101453,0.5306883720930233,0.46082999999999996,0.10067114093959731,0.10204081632653061,0.33793103448275863,0.21379310344827587,7.498529411764705,24.5,0.2826086956521739,,1.0,,0.05555555555555555,0.1,,,0.125,1.0,2.0,,,,,,1.0,,,1.0,,,,,,,0.5,0.024390243902439025,,,,,,,,,0.5,,,,,,,,,,True,,,,
1956,1610612739,Ira Newble,Ira Newble,1956,CLE,11404.0,190,-25,347,350,62,100,61,697,5.0,13.0,,6.0,1.0,2.0,,5.0,8.0,25.0,,2.0,,13.0,43.0,,2.0,3.0,29.0,393,,10.0,,,1.0,4.0,,,2.0,20.0,6.0,,,,2.0,,3.0,9.0,1.0,10.0,1.0,5.0,1.0,3.0,21.0,4.0,9.0,,3.0,12.0,1.0,16.0,13.0,29.0,1.0,7.0,5.0,2.0,10.0,1.0,7.0,4.0,3.0,2.0,14,4.0,3.0,11.0,21.0,2.0,1.0,3.0,1.0,2.0,,3.0,2.0,1.0,3.0,1.0,,,2.0,62,1.0,0.7692307692307693,0.7692307692307693,,,,0.3023255813953488,,0.25,0.28888888888888886,,0.25,0.31521739130434784,,0.25,0.044444444444444446,0.06976744186046512,0.15384615384615385,14.285714285714285,0.7142857142857143,0.08333333333333333,,0.08695652173913043,0.05625,0.10714285714285714,0.19047619047619047,0.09036144578313253,0.0718232044198895,0.09090909090909091,0.08,0.015151515151515152,0.2,0.16666666666666666,0.08888888888888889,0.061224489795918366,0.11363636363636363,0.15,0.037037037037037035,0.3333333333333333,0.28888888888888886,0.38461538461538464,0.45454545454545453,0.4,0.1111111111111111,,,,0.5555555555555556,0.32,0.32,1.0,0.044444444444444446,,,,0.6,,0.5,0.5,,0.3333333333333333,,0.4734761363636364,0.6303333333333334,0.5381,0.043478260869565216,0.045454545454545456,,0.06896551724137931,11.572093023255814,33.15,0.1786743515850144,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2032,1610612739,Darius Miles,Darius Miles,2032,CLE,3990.0,66,-29,134,138,47,57,20,272,6.0,13.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,,9.0,19.0,1.0,3.0,2.0,23.0,138,2.0,4.0,1.0,5.0,2.0,3.0,1.0,1.0,5.0,6.0,12.0,3.0,4.0,,2.0,1.0,3.0,4.0,,4.0,,1.0,1.0,2.0,8.0,2.0,4.0,,4.0,6.0,,10.0,6.0,16.0,1.0,,,,5.0,,4.0,,1.0,,5,2.0,1.0,,2.0,,,7.0,1.0,3.0,1.0,3.0,3.0,,3.0,1.0,1.0,,5.0,47,1.0,0.3333333333333333,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,0.47368421052631576,0.5,0.6666666666666666,0.4772727272727273,0.5,0.5,0.46,0.4166666666666667,0.5,0.13636363636363635,0.15789473684210525,0.23076923076923078,19.108280254777068,1.0,,,0.125,0.07692307692307693,0.14285714285714285,0.1111111111111111,0.13157894736842105,0.08571428571428572,0.05263157894736842,0.1111111111111111,0.06666666666666667,0.09090909090909091,0.14285714285714285,,0.21428571428571427,0.16666666666666666,0.21052631578947367,0.1111111111111111,0.3333333333333333,0.5909090909090909,0.46153846153846156,0.6,0.5,0.22727272727272727,0.4,0.4,,0.045454545454545456,1.0,1.0,,0.09090909090909091,0.5,0.5,1.0,0.75,0.6666666666666666,0.75,0.6666666666666666,,0.7272727272727273,0.5,0.5309477272727273,0.55895,0.6324625,0.125,0.14285714285714285,0.21739130434782608,0.21739130434782608,4.257894736842105,25.066666666666666,0.35074626865671643,,,,,,1.0,0.045454545454545456,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,True,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,18464.0,308,-93,590,585,164,179,90,1175,30.0,55.0,8.0,12.0,10.0,15.0,12.0,35.0,9.0,44.0,7.0,18.0,9.0,51.0,134.0,8.0,23.0,50.0,176.0,691,10.0,19.0,5.0,31.0,14.0,33.0,11.0,19.0,53.0,36.0,66.0,15.0,12.0,1.0,17.0,7.0,14.0,38.0,4.0,42.0,4.0,18.0,6.0,14.0,88.0,1.0,9.0,1.0,11.0,28.0,3.0,42.0,11.0,53.0,3.0,10.0,6.0,4.0,20.0,5.0,13.0,19.0,7.0,1.0,39,2.0,9.0,6.0,21.0,,9.0,67.0,6.0,25.0,9.0,1.0,,,1.0,1.0,,,53.0,164,2.0,0.35294117647058826,0.4,0.625,0.34782608695652173,0.36363636363636365,0.3805970149253731,0.5263157894736842,0.42424242424242425,0.4012738853503185,0.5909090909090909,0.38636363636363635,0.46774193548387094,0.6458333333333334,0.4732142857142857,0.1464968152866242,0.1044776119402985,0.14545454545454545,32.2349570200573,0.5128205128205128,0.13043478260869565,0.047619047619047616,0.13526570048309178,0.03529411764705882,0.1746031746031746,0.02127659574468085,0.14444444444444443,0.033112582781456956,0.0875,0.020202020202020204,,,0.07692307692307693,0.08450704225352113,0.14492753623188406,0.1791044776119403,0.2,0.036585365853658534,1.0,0.3503184713375796,0.5454545454545454,0.6382978723404256,0.4,0.2229299363057325,0.34285714285714286,0.41379310344827586,0.3333333333333333,0.2802547770700637,0.20454545454545456,0.20454545454545456,0.2222222222222222,0.11464968152866242,0.3888888888888889,0.3888888888888889,0.7142857142857143,0.5454545454545454,0.6666666666666666,0.3409090909090909,0.6666666666666666,0.20454545454545456,0.4968152866242038,0.4117647058823529,0.4813698717948718,0.53478,0.49427093023255814,0.14689265536723164,0.16339869281045752,0.17613636363636365,0.30113636363636365,9.020149253731343,25.895652173913046,0.27796610169491526,,3.0,2.0,0.17142857142857143,0.13043478260869565,5.0,0.03184713375796178,0.125,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,,,,,0.6666666666666666,0.18181818181818182,,0.2,0.2,,0.045454545454545456,0.09090909090909091,1.0,0.5,0.045454545454545456,0.2222222222222222,,1.0,0.041666666666666664,,,,,,,True,,,,
