EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,FTDefRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,FG2A,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGA,DefThreePtRebounds,Blocked2s,BlockedShortMidRange,Blocks,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,NonShootingFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,PtsAssisted2s,ThreePtAssists,Arc3Assists,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,Corner3FGA,Corner3Frequency,LongMidRangeFGA,LongMidRangeFrequency,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsPutbacks,Fg3aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,DefTwoPtRebounds,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,Corner3Assists,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Clear Path Fouls,HeaveMakes,3pt And 1 Free Throw Trips,BlockedCorner3
1542,1610612746,Predrag Drobnjak,Predrag Drobnjak,1542,LAC,103.0,2,5,4,4,2.0,4.0,8,1,1.0,1.0,1.0,2.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,234.0,4,-1,8,8,2.0,6.0,16,7,,,,2.0,,0.25,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,1.0,22.22222222222222,1.0,1.0,0.5524,0.5,0.5,1.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1610612746,Wang Zhi-zhi,Wang Zhi-zhi,1917,LAC,544.0,9,2,20,19,4.0,17.0,39,21,3.0,4.0,4.0,4.0,0.75,0.2,1.0,,1.0,4.0,4.0,,,,,4.0,2.0,,,0.6666666666666666,,14.285714285714286,,,0.3498,0.6666666666666666,0.6666666666666666,,10.1,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,445.0,7,8,17,15,4.0,15.0,32,15,,,,4.0,,0.2352941176470588,1.0,2.0,2.0,1.0,5.0,1.0,3.0,,1.0,2.0,,3.0,1.0,0.8333333333333334,0.75,22.22222222222222,1.0,1.0,0.6721,,,0.6,0.65,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,544.0,9,2,20,19,4.0,17.0,39,21,,1.0,2.0,4.0,,0.2,1.0,1.0,2.0,,6.0,,,,2.0,,,,2.0,0.75,,23.80952380952381,0.25,0.75,0.448825,,,,2.85,1.0,1.0,,,,0.5,0.2,0.5,0.25,,,,,,,,,,,,,,1.0,,,,0.75,,,,,,,2.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.2,0.1428571428571428,0.5,0.5,1.0,1.0,1.0,1.0,0.3139,27.25,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,1610612746,Chris Wilcox,Chris Wilcox,2404,LAC,265.0,4,-3,9,7,,7.0,16,13,,,,,,,1.0,1.0,1.0,2.0,4.0,,,1.0,2.0,2.0,1.0,,1.0,1.0,,20.0,1.0,1.0,0.5762,0.5,0.5,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,6.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,99.0,2,-6,3,4,,2.0,7,6,,,,,,,,,,,,,,,,,,,,,,66.66666666666667,,1.0,0.4455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,25.85,,,,,,,1.0,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,384.0,6,-1,14,14,2.0,12.0,28,18,,,,2.0,,0.1428571428571428,,,1.0,,,,,,,,,,,,,14.285714285714285,,,0.3872,,,,16.3,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,1610612746,Melvin Ely,Melvin Ely,2408,LAC,102.0,2,4,5,5,2.0,5.0,10,3,,,,2.0,,0.4,,1.0,1.0,,2.0,,2.0,,1.0,,,2.0,1.0,1.0,1.0,20.0,1.0,1.0,0.6194,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,1610612746,Predrag Drobnjak,Predrag Drobnjak,1542,LAC,57033.0,951,-234,1803,1805,545.0,500.0,3608,1993,12.0,141.0,195.0,545.0,0.2608695652173913,0.3022739877981142,278.0,79.0,343.0,73.0,382.0,34.0,120.0,41.0,85.0,86.0,35.0,120.0,10.0,0.4547619047619047,0.5084745762711864,21.99248120300752,0.20844327176781,0.3034300791556728,0.4463160949868074,0.0853658536585365,0.0935828877005347,0.3141361256544502,11.093294460641404,97.0,23.0,24.0,2.0,24.0,0.1216931216931216,0.1548619447779111,0.1240875912408759,0.2559366754617414,41.0,13.0,26.0,138.0,37.0,90.0,92.0,29.0,39.0,14.0,88.0,3.0,18.0,48.0,10.0,0.4023323615160349,0.4111111111111111,0.4076517150395778,0.4387755102040816,0.5189873417721519,0.5774647887323944,0.2653061224489796,0.5,0.4500602040816325,11.0,33.0,11.0,36.0,52.0,33.0,33.0,11.0,15.0,46.0,54.0,22.0,16.0,30.0,14.0,1.0,0.3055555555555556,0.3055555555555556,0.0949868073878627,0.0437317784256559,0.0412371134020618,0.625,0.0591259640102827,0.0564430244941427,0.0826086956521739,0.0870712401055409,0.3333333333333333,0.3548387096774194,1.0,0.3333333333333333,0.4850839999999999,25.29722222222222,184.0,10.0,10.0,0.6666666666666666,0.7540983606557377,0.4634146341463415,3.0,0.0079155672823219,167.0,0.4406332453825857,False,15.0,25.0,37.0,60.0,4.0,4.0,8.0,23.0,4.0,15.0,61.0,4.0,8.0,32.0,2.0,2.0,13.0,7.0,1.0,106.0,9.0,6.0,4.0,16.0,5.0,5.0,12.0,10.0,3.0,4.0,22.0,18.0,2.0,3.0,0.5,0.4423076923076923,0.4107142857142857,0.4692307692307692,0.0555555555555555,0.1012658227848101,0.0179640718562874,0.0606060606060606,0.0227272727272727,0.1645962732919254,0.0434782608695652,0.0673076923076923,0.038235294117647,0.0378787878787878,0.0689655172413793,0.1887755102040816,0.2335329341317365,0.1067615658362989,0.1153846153846153,0.0422535211267605,0.75,0.3814432989690721,0.3978494623655914,0.5405405405405406,0.3592814371257485,0.3658536585365853,0.8833333333333333,0.4464285714285714,0.6,0.2,0.0714285714285714,0.0816326530612244,0.5,0.1596858638743455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
