EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,FtPoints,PenaltyFtPoints,AtRimAssists,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,LiveBallTurnoverPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2A,Steals,LostBallSteals,Travels,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,ShootingFouls,Loose Ball Fouls,Blocked3s,BlockedArc3,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,FTDefRebounds,DefFTReboundPct,OffShortMidRangeReboundPct,SecondChanceFG2M,SecondChancePoints,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctAssisted,SecondChancePointsPct,on,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,FTOffRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefensiveGoaltends,3SecondViolations,OffensiveGoaltends,HeaveMakes,Clear Path Fouls
120,1610612740,Steven Smith,Steven Smith,120,NOH,839.0,14,-15.0,23,24,5,7,2,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,28,1.0,1.0,2.0,2.0,2.0,2.0,5,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,11.538461538461538,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.4137,0.4591,0.5,8.366666666666667,0.21739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,292.0,5,,8,8,2,1,1,16,,,,,,1.0,1.0,,2.0,,6,,,,,,,2,,,,,,,,,22.22222222222222,,,,0.5,,,,0.5,,,,0.4129,,,14.05,0.25,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,334.0,6,-3.0,11,9,3,2,1,20,,,,,,,,,,,11,,,,,,,3,,,,,,,,,8.333333333333334,,,,,,,,,,,,,,,,0.2727272727272727,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.2,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,1610612740,Tierre Brown,Tierre Brown,2357,NOH,1096.0,18,-20.0,31,32,13,14,3,63,2.0,2.0,,,,,2.0,2.0,4.0,6.0,36,,1.0,2.0,,4.0,2.0,13,,,0.5,,0.5,,0.5,0.3333333333333333,37.142857142857146,0.5,1.0,1.0,,,,,0.5,,,0.5,0.42505,0.3975,0.3333333333333333,8.925,0.41935483870967744,1.0,1.0,1.0,,,,,0.07142857142857142,0.0625,,0.16666666666666666,,2.0,2.0,,4.0,,,3.0,7.0,3.0,1.0,1.0,,,,2.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,0.5714285714285714,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,725.0,12,-8.0,20,20,5,7,2,40,1.0,2.0,,,,1.0,1.0,2.0,4.0,4.0,21,,,,2.0,2.0,,5,0.5,0.5,0.5,,0.5,,0.5,,21.73913043478261,0.5,0.5,0.5,0.25,,,,0.25,,,0.5,0.47,,,5.375,0.25,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5747,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,492.0,8,-16.0,13,14,1,3,1,27,,,,,,1.0,,,1.0,,20,,,,,,,1,,,,,,,,,6.666666666666667,,,,1.0,,,,,,,,0.4407,,,9.2,0.07692307692307693,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,0.2,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.4407,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,520.0,9,-13.0,15,17,12,12,1,32,,,,,,1.0,,,1.0,,19,,1.0,,,,,12,,,,,,,,,31.25,,,,0.3333333333333333,,,,,,,0.6666666666666666,0.45363333333333333,0.417875,,12.4,0.8,,1.0,1.0,,,1.0,,,0.16666666666666666,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,2.0,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,24.6,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,371.0,6,-12.0,11,12,8,7,1,23,,,,,,,,,,,15,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,1610612740,David West,David West,2561,NOH,612.0,10,-10.0,17,18,10,11,2,35,,1.0,,,,,,,1.0,,18,,,,,,,10,,,,,,,,,10.0,1.0,,,,,,,,,,1.0,0.5456,,,,0.5882352941176471,1.0,2.0,3.0,,,,,0.14285714285714285,0.1111111111111111,0.5,,,,,,,1.0,1.0,1.0,1.0,,1.0,,0.125,0.1111111111111111,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,0.5456,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1610612740,Sean Rooks,Sean Rooks,399,NOH,199.0,3,-3.0,6,6,6,6,1,12,,,,,,,2.0,1.0,2.0,2.0,6,1.0,2.0,2.0,2.0,,2.0,6,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,28.57142857142857,,,,,,,,1.0,,,,0.36065,0.36065,1.0,20.1,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.5,0.5,,0.3639,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
