EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFtPoints,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,Loose Ball Fouls,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,Corner3Assists,AtRimAssists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Clear Path Fouls,Corner3FGM,ThreePtShootingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,2pt And 1 Free Throw Trips,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PtsUnassisted3s,HeaveMakes,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,OffensiveGoaltends,BlockedArc3,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked
1904,1610612747,Devean George,Devean George,1904,LAL,4254.0,71,-26.0,133,138,37.0,53.0,25.0,271,1.0,3.0,2.0,4.0,9.0,4.0,1.0,5.0,14.0,4.0,4.0,14.0,133,1.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,10.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,5.0,7.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,37.0,1.0,1.0,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.25,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.07142857142857142,0.3333333333333333,16.564417177914113,0.6,0.08333333333333333,0.014925373134328358,0.06060606060606061,0.011904761904761904,0.03333333333333333,0.05263157894736842,0.2,0.05263157894736842,0.5,0.16666666666666666,0.3333333333333333,0.5,1.0,0.1111111111111111,0.5,0.4444444444444444,0.4444444444444444,1.0,0.2222222222222222,0.25,0.3888888888888889,0.4581388888888889,0.39815,0.4184875,0.14285714285714285,0.17647058823529413,0.14285714285714285,0.2857142857142857,13.335714285714287,25.275000000000002,0.2781954887218045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,4472.0,75,-8.0,140,141,45.0,52.0,24.0,281,3.0,10.0,3.0,4.0,17.0,1.0,1.0,8.0,30.0,1.0,1.0,17.0,128,3.0,7.0,7.0,2.0,8.0,1.0,,4.0,6.0,1.0,2.0,4.0,,4.0,,4.0,8.0,6.0,7.0,9.0,10.0,19.0,3.0,2.0,4.0,4.0,,,,4.0,1.0,1.0,6.0,2.0,1.0,,1.0,,1.0,1.0,1.0,4.0,45.0,0.375,0.6,0.26666666666666666,0.42857142857142855,0.25,0.25806451612903225,0.42857142857142855,0.2222222222222222,0.265625,0.4375,0.2222222222222222,0.03225806451612903,0.06666666666666667,0.2,21.301775147928996,1.0,0.1346153846153846,0.08955223880597014,0.11764705882352941,0.10588235294117647,0.12903225806451613,0.16666666666666666,0.15384615384615385,0.09523809523809523,1.0,0.3225806451612903,0.3,0.375,,0.0967741935483871,0.5483870967741935,0.23529411764705882,0.23529411764705882,0.75,0.03225806451612903,0.1111111111111111,0.3548387096774194,0.4629258064516129,0.56975,0.5035222222222222,0.03125,0.03225806451612903,0.4117647058823529,0.23529411764705882,11.163333333333334,24.3,0.32142857142857145,3.0,6.0,1.0,5.0,1.0,1.0,10.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.25,0.0625,0.16666666666666666,0.045454545454545456,0.07142857142857142,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.09523809523809523,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.5,0.5555555555555556,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2416,1610612747,Kareem Rush,Kareem Rush,2416,LAL,6003.0,100,-38.0,187,190,62.0,52.0,34.0,377,4.0,8.0,8.0,4.0,15.0,15.0,7.0,12.0,31.0,16.0,3.0,48.0,198,2.0,5.0,10.0,3.0,7.0,8.0,1.0,16.0,14.0,14.0,3.0,3.0,1.0,4.0,,1.0,9.0,1.0,5.0,10.0,2.0,12.0,5.0,2.0,3.0,1.0,2.0,2.0,,5.0,3.0,5.0,8.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,16.0,62.0,0.5833333333333334,0.7,0.3870967741935484,0.4,0.42857142857142855,0.4787234042553192,0.625,0.5,0.4897959183673469,0.625,0.5,0.3404255319148936,0.0967741935483871,0.25,23.68421052631579,0.6,0.07352941176470588,0.01098901098901099,0.10465116279069768,0.017391304347826087,0.02,,0.1111111111111111,0.1111111111111111,1.0,0.1702127659574468,0.5,0.6666666666666666,0.5,0.1702127659574468,0.3191489361702128,0.26666666666666666,0.26666666666666666,1.0,0.3191489361702128,0.4666666666666667,0.5106382978723404,0.4660358695652174,0.46115833333333334,0.5116821428571429,0.020833333333333332,0.03125,0.20833333333333334,0.3333333333333333,11.087096774193549,26.875,0.3315508021390374,1.0,1.0,3.0,4.0,4.0,,10.0,4.0,1.0,,4.0,1.0,,3.0,1.0,0.125,,0.2222222222222222,0.041666666666666664,,,0.047619047619047616,,0.1875,,0.5,0.5714285714285714,0.125,1.0,0.26666666666666666,0.75,1.0,1.0,7.0,2.0,3.0,3.0,7.0,2.0,3.0,3.0,21.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,0.6666666666666666,0.375,0.4666666666666667,0.125,0.5,0.25,0.02127659574468085,0.4666666666666667,0.4666666666666667,1.0,0.375,0.6666666666666666,1.0,0.06666666666666667,0.42857142857142855,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2441,1610612747,Jamal Sampson,Jamal Sampson,2441,LAL,7840.0,131,-24.0,245,248,74.0,74.0,43.0,493,5.0,12.0,7.0,1.0,4.0,,,11.0,23.0,,7.0,29.0,243,5.0,12.0,14.0,3.0,6.0,,4.0,10.0,12.0,,1.0,6.0,1.0,7.0,1.0,5.0,15.0,17.0,21.0,29.0,23.0,52.0,2.0,1.0,4.0,3.0,2.0,1.0,,6.0,,8.0,16.0,12.0,4.0,2.0,4.0,3.0,1.0,4.0,1.0,10.0,74.0,0.5454545454545454,0.75,0.4782608695652174,0.4166666666666667,0.5,0.4782608695652174,0.4166666666666667,0.5,0.5,0.4375,0.5,,0.043478260869565216,,11.784511784511784,0.6666666666666666,0.2413793103448276,0.14285714285714285,0.23275862068965517,0.1476510067114094,0.11290322580645161,0.2,0.22727272727272727,0.2857142857142857,0.25,0.5217391304347826,0.4166666666666667,0.4166666666666667,0.4,0.30434782608695654,0.17391304347826086,0.25,0.25,1.0,,,0.5217391304347826,0.4771521739130435,0.49483636363636363,0.5052,0.14814814814814814,0.14814814814814814,0.4827586206896552,0.3448275862068966,6.139130434782608,,0.3020408163265306,3.0,7.0,2.0,5.0,5.0,4.0,10.0,6.0,5.0,1.0,6.0,2.0,2.0,1.0,2.0,0.2,0.125,0.20689655172413793,0.16666666666666666,0.20588235294117646,0.13043478260869565,0.125,0.3333333333333333,0.19230769230769232,0.18181818181818182,0.7142857142857143,0.8333333333333334,0.5833333333333334,0.42857142857142855,0.8333333333333334,0.4,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,,,,,,0.14285714285714285,0.3333333333333333,0.6,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
56,1610612747,Gary Payton,Gary Payton,56,LAL,5153.0,86,-18.0,163,164,44.0,52.0,30.0,327,5.0,10.0,11.0,3.0,8.0,6.0,1.0,10.0,29.0,7.0,3.0,32.0,161,2.0,5.0,4.0,2.0,8.0,1.0,2.0,6.0,6.0,6.0,2.0,11.0,5.0,16.0,3.0,5.0,37.0,3.0,5.0,10.0,4.0,14.0,1.0,1.0,4.0,1.0,2.0,3.0,,6.0,2.0,4.0,6.0,8.0,2.0,2.0,1.0,1.0,,1.0,,6.0,44.0,0.3,0.3,0.3448275862068966,0.4,0.25,0.4027777777777778,0.4,0.2222222222222222,0.4,0.4,0.2727272727272727,0.19444444444444445,0.06896551724137931,0.2,22.885572139303484,0.6666666666666666,0.08333333333333333,0.03409090909090909,0.10714285714285714,0.03,0.023809523809523808,,0.13333333333333333,0.12,,0.2777777777777778,0.5,0.625,,0.3055555555555556,0.2222222222222222,0.375,0.375,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.4722222222222222,0.49016527777777774,0.42516,0.5337611111111111,0.05263157894736842,0.06451612903225806,0.125,0.1875,8.465517241379311,24.61428571428571,0.26993865030674846,,1.0,2.0,6.0,2.0,,14.0,,,1.0,4.0,1.0,,,,0.16666666666666666,0.125,0.16666666666666666,,0.08,,,,0.19047619047619047,,0.18181818181818182,0.18181818181818182,0.2,,0.6666666666666666,0.3333333333333333,1.0,,3.0,,,,3.0,,,,9.0,,3.0,2.0,2.0,4.0,1.0,,1.0,1.0,0.42857142857142855,,,0.42857142857142855,,,0.5,0.027777777777777776,0.5,0.5,1.0,,,,,,0.5,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,3674.0,61,12.0,111,109,39.0,21.0,17.0,220,1.0,2.0,2.0,8.0,14.0,4.0,1.0,9.0,18.0,7.0,6.0,33.0,94,,,4.0,5.0,8.0,1.0,6.0,16.0,12.0,4.0,,6.0,3.0,9.0,3.0,4.0,21.0,1.0,2.0,7.0,3.0,10.0,2.0,1.0,2.0,1.0,,1.0,,2.0,,,4.0,7.0,1.0,1.0,,,,,,16.0,39.0,0.6666666666666666,0.6666666666666666,0.5,,0.625,0.54,,0.5555555555555556,0.5892857142857143,1.0,0.6666666666666666,0.28,,,22.900763358778626,1.0,0.05555555555555555,0.021739130434782608,0.14,0.046875,0.04,0.1111111111111111,,0.05555555555555555,,0.08,0.5,0.5,,0.08,0.56,0.5714285714285714,0.5714285714285714,0.75,0.16,0.1111111111111111,0.36,0.45308600000000004,,0.47142777777777783,0.07407407407407407,0.05263157894736842,0.12121212121212122,0.48484848484848486,15.055555555555555,25.35714285714286,0.35135135135135137,,,1.0,2.0,,4.0,6.0,,2.0,,5.0,,2.0,1.0,,,,0.35714285714285715,0.1111111111111111,,,0.07142857142857142,0.25,0.3333333333333333,0.15384615384615385,,,,,0.2222222222222222,0.5,3.0,,2.0,,,,3.0,,,,9.0,,2.0,,1.0,1.0,,1.0,,1.0,0.42857142857142855,,,0.42857142857142855,,0.5,,0.12,0.5,0.5,1.0,,,,,,0.5,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.125,,,,,True,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,2022.0,34,-28.0,66,69,20.0,30.0,12.0,135,1.0,7.0,5.0,2.0,10.0,2.0,1.0,6.0,22.0,2.0,2.0,14.0,78,2.0,2.0,4.0,,1.0,1.0,2.0,2.0,8.0,2.0,5.0,2.0,1.0,3.0,1.0,,7.0,,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,3.0,4.0,2.0,1.0,,,,,,,2.0,20.0,0.6666666666666666,0.6666666666666666,0.2727272727272727,1.0,,0.25,1.0,,0.28,1.0,0.3333333333333333,0.08333333333333333,0.22727272727272727,0.42857142857142855,33.33333333333333,0.5,0.13333333333333333,,0.09523809523809523,,,,,0.4,,0.2916666666666667,0.14285714285714285,0.25,1.0,0.20833333333333334,0.4166666666666667,0.2,0.2222222222222222,0.5,0.08333333333333333,0.5,0.375,0.4662041666666666,0.5763,0.55725,0.04,0.043478260869565216,0.2857142857142857,0.14285714285714285,10.250000000000002,25.65,0.30303030303030304,1.0,1.0,,1.0,3.0,,4.0,,,,,,,1.0,,,,,,,,,,,,0.6,0.75,0.5,1.0,0.5,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,0.2,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,0.1,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,1314.0,22,-7.0,39,39,15.0,6.0,11.0,78,2.0,2.0,1.0,2.0,5.0,1.0,1.0,5.0,8.0,2.0,1.0,11.0,48,1.0,1.0,3.0,2.0,4.0,1.0,1.0,5.0,8.0,1.0,,1.0,,1.0,,,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,3.0,3.0,2.0,,1.0,2.0,,2.0,2.0,2.0,5.0,15.0,0.8,1.0,0.625,1.0,0.5,0.5,1.0,0.4,0.5,0.75,0.4166666666666667,0.2,,,21.56862745098039,,0.15384615384615385,0.05263157894736842,0.125,0.04,0.1,0.2,,0.25,1.0,0.2,1.0,1.0,0.5,0.1,0.5,0.4,0.4,1.0,0.1,0.2,0.4,0.46819500000000003,0.5672,0.44960999999999995,,,0.2727272727272727,0.45454545454545453,12.462499999999999,24.0,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
270,1610612747,Horace Grant,Horace Grant,270,LAL,425.0,7,-8.0,12,14,3.0,5.0,4.0,26,,,,,,,,,,,,,21,,,,,,,,,,,,2.0,,2.0,,2.0,4.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,0.16666666666666666,0.2,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
252,1610612747,Karl Malone,Karl Malone,252,LAL,79.0,1,,3,4,1.0,4.0,,7,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
