EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg2aBlocked,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,TwoPtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,Corner3Assists,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,SelfOReb,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,ShortMidRangePctBlocked,Corner3PctBlocked,PenaltyCorner3Accuracy,OffensiveGoaltends,Clear Path Fouls,Blocked3s,BlockedCorner3,BlockedArc3,on,3pt And 1 Free Throw Trips,HeaveMakes
120,1610612740,Steven Smith,Steven Smith,120,NOH,5052.0,84.0,16.0,159.0,149.0,57.0,61.0,27.0,308.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,7.0,6.0,10.0,5.0,31.0,160.0,1.0,1.0,2.0,3.0,8.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0,18.0,2.0,3.0,2.0,5.0,5.0,3.0,1.0,1.0,10.0,2.0,2.0,3.0,1.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,9.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,6.0,57.0,4.0,0.25,0.3333333333333333,1.0,0.6,0.6666666666666666,0.6,0.5714285714285714,1.0,0.6666666666666666,0.7647058823529411,1.0,0.5,0.7777777777777778,1.0,0.6,0.5882352941176471,10.526315789473685,0.5,0.1111111111111111,0.04918032786885246,0.03773584905660377,0.06896551724137931,0.04054054054054054,0.04878048780487805,0.058823529411764705,0.05555555555555555,0.09523809523809523,0.05555555555555555,0.08,0.5,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.058823529411764705,1.0,1.0,1.0,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.4117647058823529,0.5714285714285714,0.5714285714285714,1.0,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,0.25,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.25,0.7647058823529411,0.6666666666666666,0.5317999999999999,0.55125,0.5112375,0.25806451612903225,0.1935483870967742,9.157142857142858,23.94,0.3584905660377358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
133,1610612740,David Wesley,David Wesley,133,NOH,6642.0,111.0,-11.0,206.0,201.0,45.0,38.0,30.0,407.0,2.0,4.0,1.0,1.0,,,,,6.0,15.0,2.0,6.0,,,,2.0,4.0,1.0,2.0,8.0,19.0,4.0,10.0,7.0,35.0,211.0,2.0,2.0,1.0,2.0,7.0,2.0,2.0,,3.0,7.0,12.0,4.0,12.0,,4.0,2.0,8.0,10.0,3.0,1.0,4.0,22.0,,2.0,5.0,,6.0,2.0,8.0,4.0,2.0,,,4.0,,7.0,9.0,8.0,,2.0,2.0,,2.0,2.0,7.0,45.0,1.0,0.75,0.75,1.0,0.4,0.5,0.4,0.42105263157894735,1.0,1.0,0.4827586206896552,0.875,1.0,0.5303030303030303,0.875,0.875,0.3448275862068966,15.416666666666668,1.0,,0.05434782608695652,0.023809523809523808,,0.05309734513274336,0.01834862385321101,0.045454545454545456,0.027777777777777776,,0.034482758620689655,0.08823529411764706,1.0,0.13793103448275862,0.5,1.0,,,,,0.5172413793103449,0.4,0.4,0.20689655172413793,0.3333333333333333,0.3333333333333333,1.0,0.13793103448275862,0.5,0.5,1.0,0.25,1.0,,,,0.5,0.5,1.0,,,,0.4827586206896552,0.5,0.48479482758620696,0.5087333333333334,0.3817,0.2,0.2,14.668421052631578,23.89,0.21844660194174756,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.10526315789473684,0.5,0.047619047619047616,0.034482758620689655,0.16666666666666666,1.0,0.6666666666666666,1.0,0.06451612903225806,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,34220.0,570.0,53.0,1082.0,1077.0,207.0,203.0,150.0,2159.0,34.0,51.0,12.0,20.0,8.0,10.0,15.0,29.0,19.0,43.0,,,,,,,,,,68.0,123.0,,,32.0,168.0,1100.0,16.0,28.0,,,45.0,13.0,20.0,,9.0,35.0,104.0,32.0,,22.0,,,20.0,28.0,11.0,1.0,8.0,64.0,16.0,36.0,74.0,10.0,99.0,53.0,152.0,9.0,8.0,8.0,,17.0,4.0,22.0,46.0,33.0,,2.0,20.0,15.0,20.0,13.0,35.0,207.0,7.0,0.7647058823529411,0.9122807017543859,,,,,0.5528455284552846,0.5714285714285714,0.65,0.5528455284552846,0.5714285714285714,0.65,0.6086956521739131,0.6617647058823529,0.7291666666666666,,12.360446570972888,0.5294117647058824,0.2857142857142857,0.16818181818181818,0.08780487804878048,0.13008130081300814,0.1648148148148148,0.0975609756097561,0.072,0.06622516556291391,0.11578947368421053,0.1917808219178082,0.16447368421052633,0.65,0.4146341463414634,0.6666666666666666,0.7391304347826086,0.23577235772357724,0.5172413793103449,0.5172413793103449,0.9333333333333333,0.34959349593495936,0.4418604651162791,0.4634146341463415,,,,,,,,,0.7142857142857143,0.6,,,,,,,0.5,0.8,,0.4146341463414634,,0.48072520325203255,0.5183954545454545,0.5028250000000001,0.26785714285714285,0.20833333333333334,8.308130081300813,,0.1913123844731978,7.0,8.0,6.0,15.0,14.0,6.0,8.0,1.0,16.0,,5.0,0.056910569105691054,0.09803921568627451,0.15,0.14788732394366197,0.08,0.6176470588235294,0.8947368421052632,0.08333333333333333,0.11764705882352941,0.11764705882352941,13.0,2.0,1.0,2.0,2.0,3.0,12.0,1.0,3.0,1.0,2.0,1.0,0.046511627906976744,0.05,0.12686567164179105,0.17857142857142858,0.17333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,30927.0,515.0,55.0,975.0,976.0,204.0,229.0,149.0,1951.0,31.0,66.0,2.0,4.0,3.0,13.0,9.0,25.0,19.0,43.0,4.0,13.0,1.0,5.0,4.0,33.0,87.0,4.0,5.0,59.0,134.0,37.0,100.0,46.0,275.0,1010.0,5.0,9.0,5.0,10.0,33.0,8.0,22.0,22.0,11.0,48.0,30.0,88.0,63.0,2.0,85.0,33.0,76.0,88.0,41.0,15.0,20.0,188.0,2.0,7.0,29.0,,37.0,9.0,46.0,20.0,15.0,16.0,2.0,36.0,6.0,10.0,39.0,63.0,,4.0,5.0,2.0,5.0,4.0,48.0,204.0,7.0,0.2542372881355932,0.25862068965517243,0.5675675675675675,0.37,0.5,0.37755102040816324,0.44029850746268656,0.5555555555555556,0.36363636363636365,0.4893162393162393,0.6578947368421053,0.42045454545454547,0.5248091603053435,0.717391304347826,0.46153846153846156,0.42735042735042733,26.00349040139616,0.5555555555555556,,0.0728643216080402,0.01876675603217158,0.01639344262295082,0.07489878542510121,0.01818181818181818,0.017241379310344827,0.03076923076923077,0.010869565217391304,0.058823529411764705,0.09420289855072464,0.8,0.28205128205128205,0.4696969696969697,0.5344827586206896,0.10683760683760683,0.36,0.36,0.1111111111111111,0.18376068376068377,0.4418604651162791,0.4634146341463415,0.05555555555555555,0.3076923076923077,0.3076923076923077,1.0,0.3717948717948718,0.3793103448275862,0.38372093023255816,0.5151515151515151,0.21052631578947367,0.5,0.2631578947368421,0.2,1.0,0.2631578947368421,0.8,1.0,0.29545454545454547,0.23076923076923078,0.09090909090909091,0.7094017094017094,0.38823529411764707,0.5275935344827587,0.5389666666666667,0.5244142857142857,0.12,0.17454545454545456,7.722388059701494,25.392,0.20923076923076922,10.0,12.0,6.0,8.0,30.0,12.0,18.0,5.0,29.0,1.0,2.0,0.07462686567164178,0.12121212121212122,0.08333333333333333,0.06451612903225806,0.06896551724137931,0.2903225806451613,0.2631578947368421,0.5,0.11627906976744186,0.18471337579617833,8.0,6.0,,1.0,2.0,10.0,2.0,6.0,6.0,,,1.0,0.046511627906976744,,0.007874015748031496,0.03333333333333333,0.08955223880597014,7.0,18.0,7.0,48.0,2.0,1.0,2.0,3.0,1.0,0.3181818181818182,0.01,0.011494252873563218,0.016260162601626018,0.4090909090909091,0.3888888888888889,0.009900990099009901,,,,,,,,,,True,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,43784.0,730.0,28.0,1370.0,1366.0,315.0,316.0,195.0,2736.0,21.0,55.0,2.0,7.0,4.0,12.0,44.0,109.0,72.0,167.0,2.0,9.0,,2.0,3.0,17.0,58.0,2.0,4.0,137.0,331.0,19.0,67.0,65.0,396.0,1413.0,9.0,25.0,2.0,6.0,31.0,29.0,81.0,19.0,25.0,98.0,98.0,176.0,45.0,8.0,58.0,17.0,27.0,47.0,11.0,7.0,9.0,114.0,4.0,15.0,71.0,8.0,98.0,19.0,117.0,20.0,14.0,17.0,,37.0,2.0,27.0,42.0,80.0,9.0,11.0,5.0,4.0,5.0,4.0,98.0,315.0,4.0,0.35766423357664234,0.3684210526315789,0.7894736842105263,0.2835820895522388,0.3333333333333333,0.2835820895522388,0.41389728096676737,0.36,0.35802469135802467,0.4158291457286432,0.3870967741935484,0.365,0.45243619489559167,0.44285714285714284,0.4224137931034483,0.16834170854271358,29.341692789968654,0.5405405405405406,0.17391304347826086,0.12588652482269502,0.028517110266159697,0.024242424242424242,0.13024602026049203,0.027496382054992764,0.018518518518518517,0.015789473684210527,0.023809523809523808,0.0967741935483871,0.13658536585365855,0.8,0.13819095477386933,0.38181818181818183,0.5121951219512195,0.27386934673366836,0.4036697247706422,0.4444444444444444,0.29545454545454547,0.41959798994974873,0.4311377245508982,0.43636363636363634,0.022613065326633167,0.2222222222222222,0.2857142857142857,1.0,0.1457286432160804,0.29310344827586204,0.3090909090909091,0.7647058823529411,0.22580645161290322,0.2857142857142857,0.06451612903225806,,,0.12903225806451613,0.5,0.5,0.12,0.3333333333333333,0.03,0.3065326633165829,0.29310344827586204,0.4399673366834171,0.44722083333333323,0.4149169999999999,0.07828282828282829,0.2474747474747475,12.16253776435045,24.82686567164179,0.22992700729927007,26.0,20.0,12.0,19.0,14.0,12.0,2.0,6.0,27.0,,1.0,0.07854984894259819,0.2545454545454545,0.14960629921259844,0.14450867052023122,0.18181818181818182,0.5238095238095238,0.3472222222222222,,0.06428571428571428,0.0764872521246459,7.0,8.0,,3.0,3.0,6.0,1.0,4.0,5.0,,,1.0,0.011976047904191617,,0.05172413793103448,0.02564102564102564,0.13829787234042554,4.0,16.0,5.0,12.0,,5.0,4.0,6.0,,0.2631578947368421,0.07462686567164178,0.05172413793103448,0.019138755980861243,0.16,0.25,,1.0,0.09174311926605505,0.2222222222222222,0.3333333333333333,,,,,,True,,
353,1610612740,Darrell Armstrong,Darrell Armstrong,353,NOH,26854.0,448.0,23.0,855.0,845.0,223.0,204.0,120.0,1700.0,10.0,23.0,,,2.0,6.0,1.0,9.0,7.0,17.0,7.0,19.0,,,4.0,22.0,54.0,3.0,5.0,18.0,49.0,29.0,73.0,12.0,135.0,865.0,,1.0,3.0,5.0,9.0,4.0,14.0,18.0,10.0,33.0,12.0,24.0,75.0,,54.0,22.0,54.0,70.0,22.0,9.0,23.0,156.0,3.0,5.0,27.0,,31.0,8.0,39.0,21.0,17.0,7.0,,28.0,3.0,10.0,26.0,13.0,1.0,4.0,1.0,,1.0,,33.0,223.0,1.0,0.3333333333333333,0.3333333333333333,0.8620689655172413,0.3972602739726027,0.6,0.3972602739726027,0.3673469387755102,,0.2857142857142857,0.5040983606557377,0.75,0.359375,0.5275590551181102,0.75,0.44594594594594594,0.5983606557377049,15.577889447236181,0.75,,0.07964601769911504,0.015432098765432098,0.02608695652173913,0.07398568019093078,0.018223234624145785,0.031578947368421054,0.008264462809917356,0.03296703296703297,0.04040404040404041,0.09523809523809523,,0.1885245901639344,0.43478260869565216,0.625,0.07377049180327869,0.1111111111111111,0.1111111111111111,,0.13934426229508196,0.4117647058823529,0.4375,0.1557377049180328,0.3684210526315789,0.3888888888888889,1.0,0.4426229508196721,0.4074074074074074,0.4074074074074074,0.8181818181818182,,,,,,0.8333333333333334,0.6,1.0,0.1875,0.3333333333333333,0.125,0.7868852459016393,0.4074074074074074,0.539744262295082,0.49195,0.49176406250000004,0.06666666666666667,0.24444444444444444,8.197959183673468,24.56986301369863,0.2608187134502924,8.0,16.0,14.0,4.0,18.0,10.0,8.0,4.0,2.0,,1.0,0.16326530612244897,0.30434782608695654,0.05,0.09649122807017543,0.09523809523809523,0.3,0.42857142857142855,,0.016260162601626018,0.04,,2.0,,1.0,2.0,5.0,,1.0,1.0,1.0,,,0.058823529411764705,,0.009259259259259259,,0.03389830508474576,4.0,14.0,5.0,12.0,,1.0,2.0,3.0,,0.2777777777777778,0.0136986301369863,,0.03125,0.4375,0.2857142857142857,,1.0,,0.05263157894736842,0.25,,,,,,True,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,5873.0,98.0,-26.0,181.0,185.0,54.0,60.0,28.0,366.0,5.0,13.0,3.0,7.0,1.0,4.0,4.0,13.0,,2.0,,,,,,,1.0,,,9.0,28.0,,1.0,7.0,25.0,187.0,4.0,10.0,,,13.0,1.0,9.0,,6.0,8.0,10.0,8.0,,4.0,1.0,,,,,,,,3.0,8.0,9.0,3.0,15.0,11.0,26.0,6.0,3.0,3.0,,9.0,,10.0,19.0,11.0,,3.0,5.0,5.0,5.0,3.0,8.0,54.0,2.0,0.5555555555555556,0.7142857142857143,,,,,0.32142857142857145,0.4,0.1111111111111111,0.3103448275862069,0.4,0.1111111111111111,0.36764705882352944,0.4642857142857143,0.3076923076923077,0.034482758620689655,20.37914691943128,0.6666666666666666,0.21428571428571427,0.12162162162162163,0.11267605633802817,0.11538461538461539,0.1276595744680851,0.1134020618556701,0.13636363636363635,0.13793103448275862,0.10526315789473684,0.12121212121212122,0.13333333333333333,0.6,0.4482758620689655,0.38461538461538464,0.5555555555555556,0.4482758620689655,0.3076923076923077,0.3333333333333333,0.5,0.06896551724137931,,,,,,,0.034482758620689655,,,,0.7,0.42857142857142855,,,,,,,0.4444444444444444,0.25,,0.4827586206896552,,0.4741655172413793,0.5167555555555556,0.49374444444444443,0.52,0.32,5.917857142857142,25.2,0.2983425414364641,5.0,,,3.0,2.0,1.0,1.0,3.0,3.0,,,0.17857142857142858,0.3076923076923077,0.15,0.09090909090909091,,0.6,,0.3333333333333333,0.0967741935483871,0.1,5.0,,,,,3.0,1.0,2.0,1.0,,,,,,0.05,0.14285714285714285,0.2,,,,,,,,,,,,,,,,,,0.07692307692307693,,,1.0,,,,,True,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,35147.0,586.0,38.0,1100.0,1088.0,218.0,211.0,150.0,2188.0,55.0,90.0,19.0,28.0,12.0,17.0,23.0,66.0,9.0,16.0,,,,,,,,,,87.0,172.0,,,68.0,242.0,1151.0,23.0,38.0,,,62.0,17.0,26.0,,22.0,56.0,100.0,74.0,,30.0,,,11.0,17.0,7.0,2.0,2.0,40.0,8.0,42.0,97.0,11.0,131.0,51.0,182.0,17.0,7.0,22.0,1.0,39.0,6.0,22.0,60.0,94.0,,9.0,24.0,18.0,25.0,15.0,56.0,218.0,6.0,0.5747126436781609,0.6944444444444444,,,,,0.5058139534883721,0.6052631578947368,0.6538461538461539,0.5058139534883721,0.6052631578947368,0.6538461538461539,0.5627906976744186,0.6458333333333334,0.6829268292682927,,19.905956112852664,0.4358974358974359,0.4782608695652174,0.2141280353200883,0.09859154929577464,0.06451612903225806,0.2185792349726776,0.09090909090909091,0.06201550387596899,0.12418300653594772,0.030927835051546393,0.19444444444444445,0.23170731707317074,0.6,0.5232558139534884,0.6111111111111112,0.7432432432432432,0.38372093023255816,0.3484848484848485,0.3770491803278688,0.34782608695652173,0.09302325581395349,0.5625,0.5625,,,,,,,,,0.7368421052631579,0.6785714285714286,,,,,,,0.6538461538461539,0.7058823529411765,,0.5232558139534884,,0.48422674418604644,0.518509375,0.5156076923076922,0.256198347107438,0.23140495867768596,4.491279069767441,,0.19818181818181818,21.0,6.0,6.0,23.0,8.0,6.0,2.0,10.0,42.0,1.0,5.0,0.12209302325581395,0.17777777777777778,0.23958333333333334,0.21379310344827587,0.12,0.6,1.0,0.21052631578947367,0.20388349514563106,0.20388349514563106,16.0,,1.0,4.0,2.0,7.0,8.0,10.0,8.0,,1.0,5.0,,0.043478260869565216,0.10416666666666667,0.18518518518518517,0.28169014084507044,,,,,,,1.0,2.0,,,,,0.015625,,,,,0.07575757575757576,,,,1.0,1.0,1.0,,True,,
399,1610612740,Sean Rooks,Sean Rooks,399,NOH,250.0,4.0,,7.0,6.0,,,1.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,3.0,11.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.5,,,,12.5,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5476,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2357,1610612740,Tierre Brown,Tierre Brown,2357,NOH,725.0,12.0,-8.0,20.0,20.0,5.0,7.0,2.0,40.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,2.0,3.0,,,1.0,5.0,21.0,,,,,,,,,1.0,1.0,,4.0,,,,,1.0,1.0,1.0,,,2.0,,,1.0,,1.0,,1.0,2.0,,3.0,,5.0,,,1.0,2.0,,1.0,,,,,1.0,5.0,,,,,,,,0.6666666666666666,,,0.6666666666666666,,,0.625,,0.5,,39.130434782608695,0.4,,0.07692307692307693,,,0.07142857142857142,,,,,,0.2,,0.6666666666666666,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,0.4342333333333333,,,,0.2,4.8,,0.25,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
