EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,LongMidRangeFGA,FtPoints,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FTA,Technical Free Throw Trips,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,ShootingFouls,Fouls,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ThreePtAssists,Arc3Assists,LongMidRangeFGM,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGM,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGM,AtRimAssists,BadPassSteals,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceCorner3FGA,SecondChanceFG3A,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Corner3Assists,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,OffCorner3ReboundPct,PenaltyTurnovers,OffLongMidRangeReboundPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,on,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,BlockedAtRim,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,HeaveMakes,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,3SecondViolations,Corner3PctBlocked,Clear Path Fouls
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,243.0,4,-5.0,8,7,15,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,50.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4236833333333333,4.15,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,1010.0,17,8.0,30,28,58,,,,1.0,,1.0,1.0,1.0,23.0,,1.0,,,,,,,,,,0.5,,,6.25,,,,,,0.5,0.5,0.41395,18.5,24.5,4.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0714285714285714,1.0,0.1333333333333333,0.1666666666666666,1.0,1.0,0.5,0.1333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,1610612761,Michael Bradley,Michael Bradley,2214,TOR,2246.0,37,1.0,62,65,127,1.0,,,,1.0,3.0,,3.0,54.0,,,,,,3.0,,,0.3333333333333333,0.3333333333333333,0.375,,,,10.294117647058822,0.3333333333333333,,,,,,0.3333333333333333,0.4496333333333333,12.066666666666668,,5.0,12.0,6.0,2.0,1.0,1.0,1.0,,2.0,1.0,8.0,10.0,11.0,2.0,,,,,,5.0,0.2666666666666666,0.1666666666666666,0.25,0.2857142857142857,0.1666666666666666,,0.6666666666666666,0.0806451612903225,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0454545454545454,0.032258064516129,0.1428571428571428,0.4,1.0,1.0,1.0,1.0,0.5686,0.25,0.25,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,1610612761,Chris Bosh,Chris Bosh,2547,TOR,812.0,14,1.0,23,22,45,3.0,,,,3.0,7.0,,10.0,22.0,,,,,,,,,0.4285714285714285,0.4285714285714285,0.5555555555555556,,,,39.130434782608695,0.4285714285714285,,,,,,0.4285714285714285,0.4218571428571429,9.385714285714284,,,4.0,,4.0,4.0,,1.0,,3.0,,1.0,1.0,1.0,4.0,,,,,,,0.1,,0.0909090909090909,0.25,,,0.5714285714285714,,3.0,,,,,,6.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,,,,0.2222222222222222,0.2222222222222222,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,1610612761,Michael Curry,Michael Curry,688,TOR,1690.0,28,-3.0,47,49,96,1.0,1.0,2.0,,5.0,8.0,2.0,15.0,42.0,6.0,,,,,,0.6,0.6,0.625,0.65,0.7,0.2,,,19.23076923076923,0.1,0.2,0.5,0.5,,,0.3,0.4438750000000001,14.075,22.65,,2.0,5.0,5.0,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,0.0476190476190476,,0.0384615384615384,,,,0.5,,1.0,,,,,,4.0,,,,,,,,,,,3.0,3.0,1.0,,,,,,,,,0.1111111111111111,1.0,1.0,,,,0.1,0.125,,,,3.0,1.0,2.0,1.0,3.0,1.0,1.0,0.5,0.5,1.0,0.6,0.6,0.6666666666666666,0.2,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,1610612761,Roger Mason Jr.,Roger Mason Jr.,2427,TOR,1384.0,23,2.0,38,41,79,2.0,,,3.0,2.0,4.0,5.0,11.0,35.0,4.0,3.0,,,,1.0,1.0,1.0,0.5,0.3888888888888889,0.5,0.5555555555555556,,,27.906976744186046,0.2222222222222222,,,,,0.3333333333333333,0.7777777777777778,0.52315,9.0,24.36,5.0,9.0,4.0,2.0,4.0,1.0,1.0,,2.0,1.0,3.0,4.0,4.0,4.0,,2.0,1.0,2.0,2.0,5.0,0.15,0.25,0.1666666666666666,0.125,0.25,1.0,0.2222222222222222,0.131578947368421,1.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,0.5,0.5,,,,0.1,0.2,,,,1.0,,2.0,1.0,3.0,,1.0,0.2,0.2,1.0,0.5,0.5,1.0,0.2222222222222222,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3653,0.1818181818181818,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1610612761,Donyell Marshall,Donyell Marshall,923,TOR,499.0,8,-1.0,14,15,29,3.0,,,,1.0,3.0,1.0,2.0,15.0,2.0,,1.0,,,1.0,1.0,1.0,0.3333333333333333,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,29.41176470588235,0.75,,,,,,1.0,0.5073624999999999,1.3333333333333333,23.3,,6.0,4.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,0.5,0.5,1.0,1.0,,0.125,,,0.3333333333333333,0.5,0.5,1.0,0.5808,,,1.0,,,,,1.0,,,,,,,1.0,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,1610612761,Milt Palacio,Milt Palacio,1960,TOR,1098.0,18,3.0,29,32,61,3.0,,,,1.0,5.0,,3.0,28.0,,,,1.0,,1.0,,,0.2,0.2,0.25,,,,21.875,0.6,,,,,,0.6,0.4772,9.14,,1.0,12.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,,1.0,1.0,2.0,2.0,,,,,,1.0,0.0909090909090909,,0.0714285714285714,0.2,,,0.4,0.0344827586206896,1.0,,,,,,2.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,0.0625,,,0.3333333333333333,0.3333333333333333,,,,0.1666666666666666,0.1666666666666666,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.2,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,1610612761,Jerome Moiso,Jerome Moiso,2040,TOR,886.0,15,1.0,24,27,51,1.0,,1.0,,1.0,2.0,,4.0,17.0,2.0,,,,,2.0,1.0,1.0,0.5,0.5,0.6666666666666666,,,,18.51851851851852,0.5,0.5,,,,,0.5,0.4429999999999999,4.05,,4.0,1.0,2.0,,2.0,,,,,,3.0,3.0,4.0,2.0,,,,,,4.0,0.2307692307692307,,0.1875,0.2857142857142857,,,,0.1666666666666666,1.0,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,0.125,0.0833333333333333,,0.5,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.3333333333333333,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,1610612761,Jannero Pargo,Jannero Pargo,2457,TOR,1036.0,17,1.0,28,29,57,1.0,,1.0,1.0,2.0,4.0,1.0,4.0,19.0,,1.0,1.0,,,,,,0.5,0.4,0.4,0.2,0.25,1.0,16.129032258064516,0.2,0.2,,,,0.2,0.4,0.42134,11.75,24.5,4.0,1.0,3.0,2.0,,3.0,3.0,,6.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,4.0,0.0714285714285714,0.25,0.1111111111111111,,0.25,1.0,0.4,0.1428571428571428,,,,1.0,1.0,2.0,4.0,,,,,,2.0,1.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,0.3564,,,0.5,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,1.0,,1.0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
