EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,Travels,BlockedLongMidRange,3SecondViolations,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,StepOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PtsUnassisted3s,HeaveMakes,3pt And 1 Free Throw Trips,Corner3PctBlocked,PenaltyCorner3Accuracy,Clear Path Fouls,DefensiveGoaltends,OffensiveGoaltends,on,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1542,1610612746,Predrag Drobnjak,Predrag Drobnjak,1542,LAC,19605.0,327,-114,608,610,168.0,181.0,90.0,1218,18.0,34.0,8.0,11.0,4.0,9.0,11.0,38.0,20.0,46.0,1.0,5.0,12.0,1.0,2.0,49.0,118.0,5.0,13.0,22.0,135.0,723,11.0,21.0,6.0,28.0,11.0,27.0,1.0,2.0,9.0,34.0,66.0,32.0,15.0,12.0,12.0,5.0,6.0,1.0,15.0,1.0,16.0,1.0,6.0,1.0,8.0,33.0,5.0,13.0,1.0,8.0,32.0,2.0,42.0,19.0,61.0,3.0,6.0,3.0,3.0,13.0,1.0,6.0,7.0,2.0,7.0,20.0,2.0,6.0,16.0,35.0,4.0,3.0,26.0,2.0,11.0,3.0,6.0,5.0,1.0,6.0,5.0,1.0,34.0,168.0,6.0,0.673469387755102,0.7674418604651163,1.0,0.38461538461538464,0.5,0.38461538461538464,0.4152542372881356,0.5238095238095238,0.4074074074074074,0.4312977099236641,0.5238095238095238,0.43103448275862066,0.47202797202797203,0.5833333333333334,0.5,0.09923664122137404,0.07692307692307693,0.05084745762711865,0.08823529411764706,0.05263157894736842,0.021739130434782608,0.08333333333333333,22.797202797202797,0.65,0.18181818181818182,0.05555555555555555,0.16243654822335024,0.04924242424242424,0.11594202898550725,0.09803921568627451,0.15037593984962405,0.05714285714285714,0.06493506493506493,0.07246376811594203,0.025423728813559324,0.08108108108108109,0.14285714285714285,0.10909090909090909,0.27586206896551724,0.11904761904761904,0.12244897959183673,0.1,0.04285714285714286,0.8333333333333334,0.2595419847328244,0.5294117647058824,0.5806451612903226,0.6111111111111112,0.2900763358778626,0.2894736842105263,0.3055555555555556,0.5454545454545454,0.3511450381679389,0.43478260869565216,0.4444444444444444,0.8,0.007633587786259542,0.0916030534351145,0.4166666666666667,0.45454545454545453,1.0,0.5238095238095238,0.7272727272727273,0.375,0.3103448275862069,0.4444444444444444,0.06896551724137931,0.5,0.35877862595419846,0.4166666666666667,0.4501164122137405,0.47177777777777774,0.4453965517241379,0.07857142857142857,0.08661417322834646,0.2074074074074074,0.2518518518518518,9.846610169491527,25.192307692307693,0.27631578947368424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,41668.0,694,-103,1303,1317,455.0,424.0,205.0,2620,62.0,96.0,14.0,24.0,24.0,30.0,42.0,96.0,15.0,54.0,,,,,,119.0,246.0,,,127.0,365.0,1461,19.0,31.0,30.0,68.0,43.0,67.0,,,50.0,136.0,148.0,90.0,,24.0,,,16.0,,43.0,11.0,54.0,9.0,21.0,7.0,15.0,119.0,10.0,54.0,,26.0,82.0,13.0,121.0,64.0,185.0,8.0,18.0,10.0,8.0,27.0,3.0,9.0,26.0,1.0,18.0,53.0,3.0,19.0,39.0,71.0,4.0,12.0,167.0,11.0,74.0,15.0,35.0,24.0,10.0,35.0,19.0,3.0,136.0,455.0,7.0,0.6218487394957983,0.6915887850467289,,,,,0.483739837398374,0.6129032258064516,0.6417910447761194,0.483739837398374,0.6129032258064516,0.6417910447761194,0.5632716049382716,0.6938775510204082,0.6868686868686869,,,0.06504065040650407,0.13541666666666666,0.03125,,,24.40129449838188,0.5094339622641509,0.25,,0.17787418655097614,0.10344827586206896,0.18840579710144928,0.08620689655172414,0.18030050083472454,0.10031347962382445,0.12048192771084337,0.10457516339869281,0.08866995073891626,0.08421052631578947,0.09523809523809523,0.17307692307692307,0.19594594594594594,0.16560509554140126,0.17346938775510204,0.225,0.07207207207207207,0.5428571428571428,0.3902439024390244,0.6458333333333334,0.7469879518072289,0.6290322580645161,0.3902439024390244,0.4375,0.45161290322580644,0.5476190476190477,0.21951219512195122,0.2777777777777778,0.2777777777777778,0.8,,,,,,0.7741935483870968,0.5833333333333334,0.07142857142857142,0.44776119402985076,0.8,,,0.3902439024390244,,0.4584617886178862,0.5211,0.47799701492537316,0.23948220064724918,0.23948220064724918,0.1863013698630137,0.3726027397260274,6.964227642276421,,0.34919416730621644,2.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,36363.0,606,-94,1151,1145,381.0,408.0,164.0,2296,51.0,78.0,9.0,12.0,18.0,32.0,10.0,28.0,20.0,70.0,5.0,13.0,50.0,3.0,23.0,81.0,176.0,14.0,55.0,126.0,330.0,1264,11.0,19.0,14.0,42.0,23.0,57.0,3.0,24.0,49.0,104.0,104.0,58.0,42.0,10.0,48.0,13.0,18.0,1.0,40.0,9.0,49.0,6.0,15.0,12.0,13.0,107.0,7.0,18.0,,12.0,49.0,8.0,69.0,25.0,94.0,4.0,11.0,8.0,3.0,18.0,6.0,11.0,21.0,1.0,7.0,39.0,6.0,16.0,14.0,48.0,1.0,7.0,154.0,8.0,63.0,13.0,5.0,4.0,,5.0,5.0,1.0,104.0,381.0,12.0,0.6419753086419753,0.6842105263157895,1.0,0.2545454545454545,0.125,0.2641509433962264,0.4602272727272727,0.5789473684210527,0.40350877192982454,0.44155844155844154,0.4666666666666667,0.3395061728395062,0.5383333333333333,0.5384615384615384,0.463302752293578,0.23809523809523808,0.01818181818181818,0.10227272727272728,0.1282051282051282,0.21428571428571427,0.02857142857142857,0.02,25.055596738324684,0.46153846153846156,0.17777777777777778,,0.12373737373737374,0.039735099337748346,0.10344827586206896,0.06796116504854369,0.119140625,0.044964028776978415,0.03676470588235294,0.0684931506849315,0.017543859649122806,0.046511627906976744,0.17647058823529413,0.07575757575757576,0.15748031496062992,0.1386861313868613,0.0898876404494382,0.14814814814814814,0.035398230088495575,1.0,0.33766233766233766,0.6538461538461539,0.75,0.6078431372549019,0.12121212121212122,0.35714285714285715,0.45454545454545453,0.6,0.30303030303030304,0.2857142857142857,0.29411764705882354,0.75,0.021645021645021644,0.21645021645021645,0.26,0.2653061224489796,1.0,0.4,0.75,0.1111111111111111,0.3950617283950617,0.5625,0.2839506172839506,0.13043478260869565,0.5757575757575758,0.2708333333333333,0.4966388157894737,0.50280625,0.5020019230769229,0.2229965156794425,0.2727272727272727,0.12727272727272726,0.3151515151515151,9.074431818181818,26.710909090909094,0.3310165073848827,3.0,3.0,1.0,,1.0,2.0,1.0,2.0,9.0,2.0,11.0,2.0,2.0,8.0,1.0,0.18181818181818182,0.2,0.2,1.0,0.06666666666666667,0.3,0.2222222222222222,1.0,0.012345679012345678,0.017857142857142856,,,,,,,,,,,,True,,,
2039,1610612746,Keyon Dooling,Keyon Dooling,2039,LAC,16878.0,281,-43,550,554,203.0,198.0,51.0,1104,19.0,27.0,3.0,3.0,8.0,10.0,7.0,13.0,12.0,36.0,3.0,2.0,11.0,2.0,8.0,38.0,76.0,2.0,14.0,21.0,103.0,591,4.0,5.0,2.0,10.0,14.0,24.0,2.0,11.0,10.0,44.0,30.0,46.0,6.0,2.0,11.0,2.0,,,27.0,7.0,34.0,6.0,12.0,5.0,10.0,75.0,2.0,2.0,,9.0,8.0,,17.0,4.0,21.0,,12.0,7.0,5.0,5.0,3.0,3.0,5.0,1.0,2.0,10.0,,2.0,6.0,25.0,1.0,1.0,26.0,2.0,10.0,4.0,1.0,,,2.0,2.0,,44.0,203.0,9.0,0.39473684210526316,0.40540540540540543,1.0,0.14285714285714285,0.18181818181818182,0.14285714285714285,0.5,0.8,0.5833333333333334,0.45555555555555555,0.8,0.4857142857142857,0.5049019607843137,0.8333333333333334,0.5365853658536586,0.15555555555555556,,,,,,,18.241042345276874,0.5,,,0.046511627906976744,0.010416666666666666,0.140625,0.041666666666666664,0.07203389830508475,0.016666666666666666,0.03508771929824561,,,0.05714285714285714,,,0.038461538461538464,0.0821917808219178,0.08888888888888889,0.2631578947368421,,1.0,0.3,0.7037037037037037,0.7037037037037037,0.47368421052631576,0.14444444444444443,0.5384615384615384,0.5384615384615384,,0.4,0.3333333333333333,0.3333333333333333,0.5,0.03333333333333333,0.12222222222222222,0.18181818181818182,0.18181818181818182,1.0,0.6,1.0,0.3333333333333333,0.2857142857142857,0.8,0.22857142857142856,0.25,0.45555555555555555,0.18181818181818182,0.45275222222222217,0.5452,0.4445771428571428,0.10204081632653061,0.11904761904761904,0.0970873786407767,0.42718446601941745,10.58157894736842,26.321428571428577,0.3690909090909091,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,0.08571428571428572,,1.0,1.0,,,,,,,,,,True,,,
2067,1610612746,Eddie House,Eddie House,2067,LAC,70867.0,1181,-200,2226,2238,673.0,670.0,342.0,4464,24.0,65.0,2.0,9.0,9.0,27.0,15.0,53.0,71.0,195.0,28.0,40.0,108.0,13.0,40.0,110.0,313.0,51.0,136.0,36.0,409.0,2440,10.0,33.0,1.0,36.0,44.0,109.0,17.0,51.0,24.0,163.0,130.0,90.0,117.0,2.0,102.0,39.0,12.0,3.0,133.0,15.0,148.0,11.0,68.0,28.0,37.0,311.0,5.0,22.0,1.0,30.0,76.0,4.0,110.0,28.0,138.0,8.0,65.0,36.0,29.0,40.0,14.0,30.0,23.0,4.0,10.0,63.0,3.0,21.0,45.0,92.0,1.0,4.0,45.0,2.0,11.0,10.0,4.0,2.0,2.0,4.0,2.0,,163.0,673.0,15.0,0.5909090909090909,0.5963302752293578,0.7647058823529411,0.375,0.3333333333333333,0.3816793893129771,0.3514376996805112,0.30303030303030304,0.4036697247706422,0.4153674832962138,0.3645833333333333,0.434375,0.4337606837606838,0.375,0.4680232558139535,0.3028953229398664,0.022058823529411766,0.038338658146964855,0.1076923076923077,0.03773584905660377,0.015384615384615385,0.018518518518518517,20.205479452054792,0.6349206349206349,0.0547945205479452,0.011904761904761904,0.0987012987012987,0.023991275899672846,0.11857707509881422,0.02577319587628866,0.10361681329423265,0.024302430243024302,0.02768166089965398,0.01486988847583643,0.027855153203342618,0.012658227848101266,0.08333333333333333,0.07203389830508475,0.09956709956709957,0.1188118811881188,0.11891891891891893,0.11764705882352941,0.030418250950570342,0.5,0.1447661469933185,0.36923076923076925,0.41379310344827586,0.5,0.11804008908685969,0.2830188679245283,0.29411764705882354,0.3333333333333333,0.43429844097995546,0.3641025641025641,0.3697916666666667,0.676056338028169,0.062360801781737196,0.24053452115812918,0.37037037037037035,0.37735849056603776,0.7,0.1875,0.2222222222222222,,0.16875,0.3333333333333333,0.25,0.325,0.44766146993318484,0.38235294117647056,0.4634518099547513,0.4665051282051282,0.4514370967741936,0.026200873362445413,0.034161490683229816,0.08801955990220049,0.39853300733496333,13.474760383386586,26.21985294117647,0.3023360287511231,4.0,,,,11.0,3.0,11.0,5.0,12.0,5.0,15.0,5.0,1.0,4.0,1.0,0.3333333333333333,0.39285714285714285,0.4074074074074074,1.0,0.0625,0.25,0.4166666666666667,0.6,0.06875,0.007352941176470588,,,4.0,36.0,1.0,1.0,0.03571428571428571,0.36363636363636365,,,,True,,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,21520.0,359,-44,688,682,185.0,254.0,131.0,1370,32.0,60.0,10.0,19.0,10.0,16.0,4.0,21.0,7.0,31.0,8.0,10.0,35.0,1.0,10.0,43.0,112.0,15.0,43.0,31.0,162.0,755,12.0,28.0,5.0,35.0,13.0,29.0,1.0,12.0,7.0,36.0,36.0,50.0,39.0,18.0,34.0,10.0,11.0,,11.0,8.0,19.0,5.0,4.0,5.0,2.0,46.0,1.0,29.0,,6.0,27.0,,33.0,30.0,63.0,8.0,6.0,4.0,2.0,7.0,1.0,4.0,7.0,,3.0,14.0,2.0,2.0,11.0,24.0,,2.0,38.0,3.0,19.0,1.0,3.0,2.0,1.0,3.0,3.0,,36.0,185.0,4.0,0.4186046511627907,0.5294117647058824,0.8666666666666667,0.3488372093023256,0.08333333333333333,0.35714285714285715,0.38392857142857145,0.42857142857142855,0.4482758620689655,0.42258064516129035,0.45454545454545453,0.35365853658536583,0.4680232558139535,0.5,0.4,0.27741935483870966,,0.09821428571428571,0.11666666666666667,0.047619047619047616,0.0967741935483871,,22.169249106078663,0.5,,,0.11790393013100436,0.10069444444444445,0.07894736842105263,0.014084507042253521,0.10819672131147541,0.08356545961002786,0.12631578947368421,0.08421052631578947,0.09183673469387756,0.016666666666666666,,0.0641025641025641,0.09836065573770492,0.17777777777777778,0.06779661016949153,0.11764705882352941,0.1,1.0,0.3870967741935484,0.5333333333333333,0.6037735849056604,0.46875,0.13548387096774195,0.19047619047619047,0.2,0.25,0.2,0.22580645161290322,0.25,0.2857142857142857,0.05161290322580645,0.22580645161290322,0.2857142857142857,0.2857142857142857,0.9,0.5757575757575758,0.5263157894736842,0.1,0.3902439024390244,0.625,0.24390243902439024,0.1,0.6645161290322581,0.29411764705882354,0.49216136363636365,0.5118838709677419,0.47826097560975606,0.1111111111111111,0.1484375,0.21604938271604937,0.2222222222222222,6.800000000000002,26.258139534883718,0.2688953488372093,3.0,3.0,,,5.0,,2.0,2.0,5.0,2.0,5.0,1.0,,1.0,,0.4,0.625,0.625,0.8,,0.15151515151515152,0.4,1.0,0.04878048780487805,,,,,6.0,,,,,2.0,,,True,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,22189.0,370,3,710,706,259.0,194.0,121.0,1416,14.0,32.0,1.0,7.0,8.0,13.0,3.0,5.0,7.0,28.0,3.0,13.0,27.0,2.0,6.0,24.0,65.0,14.0,30.0,14.0,104.0,742,2.0,15.0,,13.0,13.0,24.0,3.0,7.0,13.0,48.0,16.0,32.0,30.0,,27.0,13.0,2.0,,45.0,15.0,60.0,13.0,21.0,7.0,17.0,135.0,2.0,5.0,,8.0,28.0,1.0,37.0,7.0,44.0,2.0,17.0,14.0,3.0,20.0,2.0,15.0,4.0,1.0,5.0,24.0,1.0,8.0,7.0,24.0,1.0,,27.0,3.0,9.0,6.0,3.0,1.0,1.0,3.0,2.0,,48.0,259.0,5.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.4666666666666667,0.42857142857142855,0.4666666666666667,0.36923076923076925,0.13333333333333333,0.5416666666666666,0.47368421052631576,0.3611111111111111,0.5645161290322581,0.48598130841121495,0.3611111111111111,0.6,0.3157894736842105,,0.03076923076923077,0.0625,,,,15.375586854460094,0.8333333333333334,0.05,,0.112,0.017241379310344827,0.1038961038961039,0.0273972602739726,0.11009174311926606,0.01928374655647383,0.030612244897959183,,0.017241379310344827,0.03278688524590164,,0.04819277108433735,0.15714285714285714,0.13402061855670103,0.06451612903225806,0.26666666666666666,0.03636363636363636,0.6666666666666666,0.3368421052631579,0.4375,0.4666666666666667,0.35714285714285715,0.05263157894736842,0.6,0.6,0.3333333333333333,0.29473684210526313,0.25,0.25,0.2857142857142857,0.031578947368421054,0.28421052631578947,0.48148148148148145,0.48148148148148145,0.6923076923076923,0.3888888888888889,0.14285714285714285,1.0,0.41935483870967744,0.6153846153846154,0.1935483870967742,0.3333333333333333,0.6526315789473685,0.48148148148148145,0.5051710526315788,0.4852249999999999,0.49743870967741927,0.0891089108910891,0.1267605633802817,0.125,0.46153846153846156,9.036923076923078,25.556666666666665,0.3647887323943662,2.0,1.0,1.0,,1.0,,1.0,3.0,3.0,3.0,3.0,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.16666666666666666,1.0,0.6666666666666666,0.03225806451612903,,,,1.0,12.0,,,,1.0,,,,True,,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,24751.0,413,-58,768,783,237.0,223.0,125.0,1551,20.0,46.0,5.0,14.0,5.0,15.0,9.0,25.0,18.0,36.0,3.0,,4.0,,1.0,47.0,107.0,1.0,7.0,55.0,152.0,835,6.0,20.0,15.0,27.0,11.0,29.0,,2.0,21.0,43.0,70.0,24.0,3.0,10.0,4.0,,11.0,,12.0,7.0,19.0,6.0,8.0,2.0,2.0,45.0,5.0,29.0,1.0,14.0,24.0,3.0,41.0,35.0,76.0,6.0,17.0,10.0,7.0,13.0,2.0,11.0,8.0,,2.0,21.0,2.0,6.0,15.0,39.0,4.0,2.0,67.0,5.0,29.0,7.0,5.0,4.0,,5.0,3.0,,43.0,237.0,5.0,0.7446808510638298,0.8333333333333334,1.0,0.14285714285714285,,0.14285714285714285,0.4392523364485981,0.3,0.3793103448275862,0.42543859649122806,0.3,0.3548387096774194,0.5241379310344828,0.46551724137931033,0.48863636363636365,0.06140350877192982,,0.102803738317757,0.1956521739130435,0.08,,,18.201754385964914,0.6190476190476191,0.13043478260869565,0.04,0.0933852140077821,0.08708708708708708,0.13861386138613863,0.07575757575757576,0.10614525139664804,0.08521303258145363,0.1016949152542373,0.0625,0.09243697478991597,0.09259259259259259,,0.09210526315789473,0.0684931506849315,0.1111111111111111,0.17105263157894737,0.04,0.10909090909090909,0.6,0.40350877192982454,0.43478260869565216,0.5405405405405406,0.6,0.21929824561403508,0.36,0.391304347826087,0.7777777777777778,0.3157894736842105,0.5,0.5,0.8888888888888888,0.02631578947368421,0.03508771929824561,,,,0.7,0.35714285714285715,,0.4838709677419355,0.3333333333333333,0.03225806451612903,,0.4649122807017544,,0.47064780701754383,0.5098947368421054,0.47732258064516137,0.21014492753623187,0.22137404580152673,0.17763157894736842,0.28289473684210525,8.128971962616824,24.614285714285717,0.30859375,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,0.03225806451612903,,,,,,,,,,,,,True,,,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,20651.0,344,-66,648,658,172.0,174.0,101.0,1306,19.0,41.0,10.0,15.0,5.0,8.0,7.0,17.0,3.0,7.0,4.0,,2.0,,,29.0,65.0,1.0,6.0,24.0,85.0,713,11.0,18.0,6.0,28.0,8.0,12.0,,2.0,8.0,24.0,30.0,28.0,3.0,20.0,2.0,,4.0,,24.0,1.0,25.0,,12.0,2.0,10.0,51.0,4.0,22.0,1.0,11.0,33.0,2.0,46.0,27.0,73.0,2.0,16.0,10.0,6.0,11.0,5.0,9.0,8.0,1.0,2.0,19.0,1.0,1.0,22.0,33.0,2.0,1.0,37.0,5.0,19.0,2.0,2.0,1.0,,2.0,1.0,,24.0,172.0,4.0,0.5172413793103449,0.7894736842105263,1.0,0.16666666666666666,,0.16666666666666666,0.4461538461538462,0.6111111111111112,0.6666666666666666,0.4295774647887324,0.5789473684210527,0.5714285714285714,0.4885057471264368,0.6666666666666666,0.6666666666666666,0.08450704225352113,,0.06153846153846154,0.04878048780487805,0.11764705882352941,,,13.838120104438643,0.5789473684210527,0.09523809523809523,0.029411764705882353,0.15348837209302327,0.08208955223880597,0.14666666666666667,0.09523809523809523,0.15172413793103448,0.08387096774193549,0.07446808510638298,0.04,0.12121212121212122,0.058823529411764705,0.25,0.07692307692307693,0.1232876712328767,0.24675324675324675,0.15384615384615385,0.13043478260869565,0.05555555555555555,0.5,0.5774647887323944,0.4634146341463415,0.48717948717948717,0.3684210526315789,0.23943661971830985,0.4117647058823529,0.4666666666666667,0.7142857142857143,0.09859154929577464,0.42857142857142855,0.42857142857142855,1.0,0.056338028169014086,0.028169014084507043,,,,0.7894736842105263,0.6666666666666666,0.1,0.5714285714285714,0.625,,,0.6619718309859155,,0.48957676056338034,0.5204694444444444,0.5075857142857143,0.2235294117647059,0.24050632911392406,0.32941176470588235,0.2823529411764706,4.404615384615384,23.549999999999997,0.2654320987654321,1.0,,1.0,,1.0,,2.0,,1.0,,1.0,,,,,,0.25,0.25,1.0,,0.05263157894736842,,,0.14285714285714285,,,,,,,,,,,,,True,,,
77,1610612746,Doug Overton,Doug Overton,77,LAC,6849.0,114,-66,209,219,68.0,67.0,33.0,428,,1.0,,,,,,3.0,6.0,16.0,,,2.0,,,6.0,20.0,,2.0,,12.0,259,1.0,1.0,,2.0,,6.0,,,,,12.0,,,,2.0,,,,13.0,1.0,14.0,1.0,1.0,3.0,9.0,29.0,,,,3.0,5.0,,8.0,,8.0,,2.0,1.0,1.0,6.0,1.0,3.0,1.0,,3.0,7.0,,1.0,2.0,8.0,1.0,,,,,,,,,,,,,68.0,3.0,1.0,1.0,,,,,0.3,1.0,,0.2727272727272727,0.5,,0.2727272727272727,0.5,,0.09090909090909091,,,,,,,11.693548387096774,0.8571428571428571,,,0.06944444444444445,,0.12,,0.08247422680412371,,,,,,,0.09523809523809523,,0.10344827586206896,0.06666666666666667,0.2,,,0.045454545454545456,,,,0.13636363636363635,,,,0.7272727272727273,0.375,0.375,1.0,,0.09090909090909091,,,,,,,,,,,0.13636363636363635,,0.41305,0.4859,0.40605,,,0.16666666666666666,,16.12,25.549999999999997,0.3253588516746411,,,,,,,,,1.0,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,True,,,
