EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffensiveGoaltends,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedArc3,on,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked
1904,1610612747,Devean George,Devean George,1904,LAL,117164.0,1953,167,3774,3767,1258,1051,486.0,7541,76.0,119.0,25.0,49.0,18.0,36.0,18.0,69.0,74.0,197.0,16.0,48.0,2.0,3.0,5.0,15.0,49.0,138.0,5.0,10.0,17.0,49.0,168.0,385,65.0,186.0,73.0,604,3766,33.0,75.0,7.0,13.0,9.0,96.0,45.0,108,22.0,64.0,38.0,194,220.0,116.0,183.0,12.0,42.0,1.0,3.0,134.0,48.0,20.0,93.0,19.0,112.0,12.0,7.0,38.0,21.0,34.0,243.0,10.0,69.0,8.0,42.0,175.0,28.0,245.0,87.0,332,7.0,81.0,40.0,41.0,51.0,8.0,33.0,37.0,9.0,18.0,1.0,5.0,88.0,5.0,30.0,82.0,189,11.0,8.0,96.0,6.0,3.0,33.0,17.0,37.0,1.0,12.0,1.0,11.0,14.0,38.0,25.0,2.0,1.0,1.0,194,1258,29.0,0.6547619047619048,0.7482993197278912,0.9384615384615385,0.34946236559139787,0.5384615384615384,0.34375,0.34972677595628415,0.43636363636363634,0.44,0.4166666666666667,0.4649737302977233,0.4943181818181818,0.45348837209302323,0.4894308943089431,0.5217391304347826,0.4923469387755102,0.3257443082311734,0.05194805194805195,0.07563025210084033,0.15942028985507245,16.134222017926913,0.5795454545454546,0.23529411764705882,0.047058823529411764,0.12263489838822705,0.048970901348474094,0.109375,0.029585798816568046,0.11982330204307012,0.045220377790498,0.04728132387706856,0.04207920792079208,0.054982817869415807,0.02880658436213992,0.031578947368421054,0.1043956043956044,0.1163895486935867,0.13707165109034267,0.11186440677966102,0.10112359550561797,0.022727272727272728,0.6578947368421053,0.2084063047285464,0.6386554621848739,0.6909090909090909,0.5921052631578947,0.12084063047285463,0.2608695652173913,0.3103448275862069,0.6666666666666666,0.3450087565674256,0.3756345177664975,0.3756345177664975,0.7162162162162162,0.0840630472854641,0.3333333333333333,0.3333333333333333,0.9375,0.24168126094570927,0.35507246376811596,0.35507246376811596,0.9387755102040817,0.5568181818181818,0.5102040816326531,0.08,0.03409090909090909,0.6666666666666666,1.0,0.11363636363636363,0.5,0.8,0.20930232558139536,0.5,0.0872093023255814,0.3333333333333333,0.28488372093023256,0.3469387755102041,0.5341506129597198,0.3582089552238806,0.4873663427561838,0.5052301282051282,0.4778721556886226,0.05518394648829431,0.08009708737864078,0.15894039735099338,0.3211920529801324,10.968051948051947,25.438172043010752,0.3333333333333333,,,,,,,,True,,,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,39621.0,660,-32,1235,1227,310,326,176.0,2462,49.0,76.0,22.0,34.0,9.0,14.0,16.0,49.0,41.0,110.0,,1.0,,,,1.0,,1.0,,,,1.0,106.0,235,,2.0,30.0,242,1262,32.0,51.0,,,5.0,69.0,13.0,38,,2.0,4.0,30,132.0,80.0,,,46.0,,,1.0,,12.0,24.0,6.0,30.0,5.0,1.0,6.0,1.0,17.0,66.0,9.0,54.0,3.0,10.0,72.0,7.0,89.0,66.0,155,7.0,17.0,13.0,4.0,10.0,1.0,7.0,19.0,,3.0,1.0,1.0,29.0,2.0,7.0,35.0,79,6.0,5.0,42.0,5.0,,22.0,1.0,9.0,,4.0,,,5.0,9.0,6.0,,2.0,,30,310,7.0,0.6226415094339622,0.7951807228915663,,,,,,0.451063829787234,0.6274509803921569,0.34210526315789475,0.4472573839662447,0.6274509803921569,0.325,0.4745098039215686,0.6509433962264151,0.3409090909090909,0.008438818565400843,0.05106382978723404,0.07894736842105263,0.10204081632653061,19.62681409813407,0.3448275862068966,0.21875,0.08571428571428572,0.1518987341772152,0.10505836575875487,0.08620689655172414,0.08333333333333333,0.13898305084745763,0.10128617363344052,0.184,0.09090909090909091,0.07234042553191489,0.07142857142857142,0.125,0.12903225806451613,0.15436241610738255,0.16417910447761194,0.0851063829787234,0.09090909090909091,0.058823529411764705,0.6666666666666666,0.3206751054852321,0.6447368421052632,0.7,0.42857142857142855,0.20675105485232068,0.32653061224489793,0.36363636363636365,0.5,0.4641350210970464,0.37272727272727274,0.3761467889908257,0.9024390243902439,0.004219409282700422,,,,0.004219409282700422,,,,0.6666666666666666,0.6470588235294118,0.09090909090909091,,,,,,,0.35,0.6428571428571429,0.025,,0.025,,0.3291139240506329,,0.4646308016877636,0.5219869565217392,0.4671175000000001,0.08661417322834646,0.0873015873015873,0.28512396694214875,0.12396694214876033,10.40468085106383,24.35,0.25101214574898784,2.0,0.00909090909090909,,,,,,True,,,
2137,1610612747,Ime Udoka,Ime Udoka,2137,LAL,779.0,13,-6,23,21,17,3,3.0,44,,,,,,,,1.0,,3.0,,,,,,,,1.0,,,,1.0,,4,,1.0,2.0,2,25,,1.0,,,,,,1,,1.0,2.0,2,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1,,2.0,2.0,,,,,,,,,,,,,1.0,2,1.0,,4.0,,,1.0,1.0,,,,,,,,,,,,2,17,1.0,,,,,,,,,,,,,,0.14285714285714285,,0.25,0.2,,,,26.923076923076923,,,,,0.1111111111111111,,,,0.08333333333333333,,0.25,,,,,,,,,,,,,,,0.2,,,,0.6,,,,,,,,0.2,,,,,,,,,,,,,,,,,0.5,,0.2,,0.40108,,0.4626,0.16666666666666666,0.2,,1.0,14.450000000000001,25.7,0.7391304347826086,,,,,,,,True,,,
2416,1610612747,Kareem Rush,Kareem Rush,2416,LAL,31690.0,528,-62,1000,1005,254,239,124.0,2005,18.0,26.0,2.0,4.0,2.0,4.0,13.0,24.0,26.0,65.0,3.0,7.0,,,1.0,3.0,15.0,44.0,1.0,4.0,4.0,12.0,57.0,115,18.0,51.0,14.0,182,1032,6.0,12.0,1.0,4.0,,15.0,12.0,22,5.0,15.0,5.0,44,74.0,40.0,48.0,6.0,4.0,,1.0,43.0,15.0,4.0,22.0,5.0,27.0,3.0,2.0,3.0,5.0,14.0,59.0,2.0,6.0,,14.0,27.0,1.0,42.0,8.0,50,,16.0,9.0,7.0,12.0,4.0,9.0,9.0,,3.0,,,21.0,,4.0,26.0,51,1.0,4.0,26.0,2.0,2.0,9.0,4.0,6.0,,3.0,,1.0,2.0,6.0,4.0,,,,44,254,1.0,0.6491228070175439,0.6727272727272727,0.8888888888888888,0.35294117647058826,0.25,0.3333333333333333,0.36,0.4956521739130435,0.5,0.5454545454545454,0.5060240963855421,0.46875,0.527027027027027,0.5084745762711864,0.4411764705882353,0.5119047619047619,0.3072289156626506,0.034782608695652174,0.11538461538461539,,17.322834645669293,0.5714285714285714,0.029411764705882353,,0.07336956521739131,0.016,0.14583333333333334,0.01904761904761905,0.08836206896551724,0.016666666666666666,0.03125,0.00909090909090909,0.011834319526627219,0.025,,0.07954545454545454,0.03773584905660377,0.09195402298850575,0.13414634146341464,0.21428571428571427,,0.6666666666666666,0.1566265060240964,0.6923076923076923,0.782608695652174,0.6666666666666666,0.14457831325301204,0.5416666666666666,0.5416666666666666,0.5384615384615384,0.39156626506024095,0.4,0.40625,0.6923076923076923,0.04216867469879518,0.42857142857142855,0.42857142857142855,1.0,0.26506024096385544,0.3409090909090909,0.3409090909090909,0.8666666666666667,0.25,0.5,0.5,,,,0.25,0.25,1.0,0.10810810810810811,0.5,0.08108108108108109,0.3333333333333333,0.32432432432432434,0.3333333333333333,0.463855421686747,0.3488372093023256,0.47613090909090927,0.46720000000000006,0.4649402777777778,0.05202312138728324,0.07377049180327869,0.08241758241758242,0.24175824175824176,12.375652173913045,25.48235294117647,0.254,,0.015384615384615385,,,,,,True,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,44122.0,735,27,1404,1391,495,398,178.0,2795,21.0,39.0,4.0,7.0,7.0,15.0,3.0,22.0,39.0,98.0,7.0,29.0,,2.0,3.0,12.0,14.0,42.0,3.0,6.0,3.0,14.0,63.0,159,21.0,71.0,48.0,237,1383,6.0,15.0,3.0,8.0,6.0,27.0,16.0,53,6.0,26.0,25.0,75,72.0,54.0,54.0,9.0,2.0,,1.0,41.0,14.0,8.0,77.0,14.0,91.0,13.0,1.0,43.0,8.0,26.0,196.0,3.0,8.0,,8.0,38.0,1.0,47.0,11.0,58,3.0,46.0,30.0,16.0,24.0,9.0,16.0,19.0,3.0,8.0,,,43.0,2.0,17.0,11.0,48,4.0,4.0,58.0,3.0,5.0,16.0,11.0,3.0,,,,2.0,1.0,3.0,1.0,,,1.0,75,495,7.0,0.5714285714285714,0.5806451612903226,0.8571428571428571,0.29577464788732394,0.375,0.23076923076923078,0.3,0.39622641509433965,0.4,0.3018867924528302,0.4108695652173913,0.45652173913043476,0.31645569620253167,0.45866141732283466,0.5,0.3978494623655914,0.30869565217391304,0.050314465408805034,0.1794871794871795,,18.36734693877551,0.5581395348837209,0.021739130434782608,,0.07392996108949416,0.015625,0.05755395683453238,0.01948051948051948,0.07044410413476264,0.016516516516516516,0.02158273381294964,0.013422818791946308,0.013392857142857142,0.01818181818181818,0.022727272727272728,0.07462686567164178,0.08391608391608392,0.06751054852320675,0.05825242718446602,0.05555555555555555,0.022222222222222223,0.3333333333333333,0.16956521739130434,0.5384615384615384,0.65625,0.2857142857142857,0.09565217391304348,0.13636363636363635,0.13636363636363635,1.0,0.4260869565217391,0.3979591836734694,0.4020618556701031,0.6923076923076923,0.12608695652173912,0.2413793103448276,0.2413793103448276,0.8571428571428571,0.1826086956521739,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.30434782608695654,0.5714285714285714,0.25,0.08695652173913043,,,0.2608695652173913,0.5,0.6666666666666666,0.189873417721519,0.4666666666666667,0.1518987341772152,0.25,0.17721518987341772,0.21428571428571427,0.4782608695652174,0.34146341463414637,0.4724569868995633,0.46907999999999994,0.47041346153846153,0.06995884773662552,0.09302325581395349,0.11392405063291139,0.31645569620253167,13.142767295597483,24.967605633802815,0.3525641025641026,,0.01020408163265306,1.0,1.0,0.014084507042253521,,,True,,,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,11155.0,186,9,367,364,142,100,48.0,731,9.0,16.0,3.0,6.0,3.0,8.0,5.0,11.0,16.0,30.0,,,,,,,,1.0,,,,,30.0,57,,1.0,14.0,74,361,4.0,12.0,,,5.0,13.0,13.0,26,,,7.0,33,48.0,12.0,,,6.0,,,1.0,,4.0,6.0,,6.0,,,2.0,2.0,2.0,12.0,4.0,9.0,1.0,9.0,22.0,3.0,34.0,14.0,48,,6.0,3.0,3.0,5.0,,2.0,2.0,,3.0,,2.0,7.0,1.0,2.0,15.0,29,4.0,,19.0,1.0,,6.0,4.0,8.0,,5.0,,1.0,2.0,8.0,5.0,,,,33,142,3.0,0.8,0.8888888888888888,,,,,,0.5263157894736842,0.3333333333333333,0.5,0.5172413793103449,0.3333333333333333,0.5,0.5522388059701493,0.43333333333333335,0.532258064516129,0.017241379310344827,0.07017543859649122,0.125,0.18181818181818182,17.330210772833727,0.7142857142857143,0.3333333333333333,0.1111111111111111,0.176,0.06293706293706294,0.225,0.09090909090909091,0.18787878787878787,0.06951871657754011,0.047619047619047616,0.04878048780487805,0.08333333333333333,0.05714285714285714,0.2222222222222222,0.1875,0.1891891891891892,0.16071428571428573,0.27586206896551724,0.09090909090909091,,0.625,0.27586206896551724,0.5625,0.6428571428571429,0.6666666666666666,0.1896551724137931,0.45454545454545453,0.5555555555555556,0.8,0.5172413793103449,0.5333333333333333,0.5333333333333333,0.875,,,,,0.017241379310344827,,,,0.5,0.5,,,,,,,,0.3076923076923077,0.375,,,,,0.29310344827586204,,0.4624353448275863,0.480790909090909,0.47503461538461533,0.09523809523809523,0.0967741935483871,0.17567567567567569,0.44594594594594594,11.0,25.0,0.3869209809264305,,,,,,,,True,,,
56,1610612747,Gary Payton,Gary Payton,56,LAL,87843.0,1464,207,2856,2843,1029,823,370.0,5699,137.0,239.0,12.0,20.0,39.0,77.0,43.0,108.0,36.0,101.0,3.0,17.0,,,,2.0,23.0,60.0,1.0,8.0,4.0,17.0,216.0,448,26.0,77.0,97.0,607,2828,17.0,35.0,1.0,8.0,5.0,42.0,61.0,133,4.0,19.0,69.0,203,210.0,222.0,75.0,3.0,6.0,,1.0,59.0,23.0,37.0,209.0,43.0,252.0,33.0,10.0,103.0,32.0,74.0,547.0,5.0,32.0,1.0,40.0,88.0,3.0,131.0,38.0,169,7.0,53.0,32.0,21.0,58.0,9.0,32.0,29.0,2.0,26.0,2.0,3.0,87.0,6.0,33.0,34.0,93,3.0,10.0,131.0,6.0,1.0,38.0,30.0,10.0,1.0,3.0,,4.0,3.0,11.0,8.0,,,,203,1029,5.0,0.4861111111111111,0.49295774647887325,0.9615384615384616,0.33766233766233766,0.125,0.21052631578947367,0.34210526315789475,0.48214285714285715,0.4857142857142857,0.45864661654135336,0.4857142857142857,0.43023255813953487,0.4407894736842105,0.5161839863713799,0.45555555555555555,0.517948717948718,0.14666666666666667,0.08258928571428571,0.12552301255230125,0.05555555555555555,20.449029126213592,0.6666666666666666,0.03488372093023256,0.0072992700729927005,0.08029197080291971,0.029684601113172542,0.13029315960912052,0.02145922746781116,0.09123307198859587,0.02822273073989321,0.03235294117647059,0.025974025974025976,0.030232558139534883,0.01818181818181818,0.029411764705882353,0.046762589928057555,0.07598784194528875,0.10224948875255624,0.1308016877637131,0.12857142857142856,0.029661016949152543,0.7272727272727273,0.4552380952380952,0.5732217573221757,0.6555023923444976,0.5328467153284672,0.2057142857142857,0.39814814814814814,0.4215686274509804,0.27906976744186046,0.19238095238095237,0.3564356435643564,0.36,0.5555555555555556,0.03238095238095238,0.17647058823529413,0.17647058823529413,1.0,0.11428571428571428,0.38333333333333336,0.38333333333333336,0.9565217391304348,0.46511627906976744,0.6,0.5,,,,0.18604651162790697,0.125,1.0,0.506578947368421,0.5064935064935064,0.013157894736842105,,0.1118421052631579,0.23529411764705882,0.6019047619047619,0.3898305084745763,0.5167016252390058,0.5162710526315788,0.5117016556291393,0.06822262118491922,0.07916666666666666,0.06919275123558484,0.3344316309719934,6.204687499999999,25.331168831168824,0.3602941176470588,,0.009900990099009901,,,,1.0,1.0,True,,,
935,1610612747,Bryon Russell,Bryon Russell,935,LAL,11251.0,188,4,369,363,142,130,39.0,732,3.0,7.0,,1.0,1.0,1.0,3.0,9.0,7.0,15.0,4.0,11.0,,,3.0,5.0,5.0,14.0,1.0,1.0,3.0,6.0,13.0,31,9.0,25.0,11.0,64,386,,1.0,1.0,1.0,1.0,4.0,4.0,7,6.0,11.0,5.0,31,16.0,10.0,27.0,,,,1.0,13.0,5.0,3.0,8.0,3.0,11.0,2.0,1.0,3.0,1.0,4.0,25.0,1.0,2.0,3.0,7.0,18.0,2.0,27.0,6.0,33,,5.0,2.0,3.0,7.0,1.0,6.0,1.0,,1.0,,,8.0,,2.0,9.0,17,1.0,,16.0,,,4.0,4.0,2.0,,2.0,,,,2.0,2.0,,,,31,142,4.0,0.6153846153846154,0.6153846153846154,1.0,0.36,1.0,0.5454545454545454,0.375,0.41935483870967744,,0.5714285714285714,0.4732142857142857,0.75,0.7222222222222222,0.5,0.6666666666666666,0.7045454545454546,0.44642857142857145,0.0967741935483871,0.14285714285714285,0.2222222222222222,17.39130434782609,0.875,0.11764705882352941,0.13043478260869565,0.13740458015267176,0.015873015873015872,0.175,0.024390243902439025,0.14619883040935672,0.017964071856287425,,0.029411764705882353,0.02,0.03225806451612903,,0.045454545454545456,0.14285714285714285,0.2033898305084746,0.13793103448275862,0.2727272727272727,,1.0,0.125,0.42857142857142855,0.5,0.3333333333333333,0.16071428571428573,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.26785714285714285,0.4666666666666667,0.4666666666666667,0.8571428571428571,0.19642857142857142,0.36363636363636365,0.36363636363636365,1.0,0.25,0.35714285714285715,0.35714285714285715,1.0,0.5,,,,,,0.5,1.0,1.0,0.05555555555555555,1.0,0.2777777777777778,0.6,0.3333333333333333,0.5,0.5714285714285714,0.38461538461538464,0.48493818181818193,0.5673,0.48968529411764705,0.06666666666666667,0.11428571428571428,0.0625,0.484375,11.758064516129032,26.131999999999998,0.38482384823848237,,,,,,,,True,,,
2441,1610612747,Jamal Sampson,Jamal Sampson,2441,LAL,4254.0,71,-26,133,138,37,53,25.0,271,2.0,8.0,2.0,5.0,1.0,3.0,3.0,5.0,,3.0,,,,,,,,,,,,,5.0,16,,,4.0,14,133,3.0,9.0,,,1.0,7.0,1.0,3,,,3.0,5,4.0,6.0,,,2.0,,,,,1.0,4.0,1.0,5.0,1.0,,,,4.0,11.0,2.0,8.0,1.0,5.0,10.0,1.0,16.0,11.0,27,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,1.0,,3.0,8,1.0,1.0,6.0,,,2.0,1.0,3.0,,3.0,,,,3.0,1.0,,,,5,37,1.0,0.4,0.5,,,,,,0.3125,0.3333333333333333,0.3333333333333333,0.3125,0.3333333333333333,0.3333333333333333,0.3684210526315789,0.35,0.5,,0.0625,,0.2,14.110429447852761,0.5,0.25,0.16666666666666666,0.20833333333333334,0.11940298507462686,0.2777777777777778,0.11764705882352941,0.22727272727272727,0.11904761904761904,0.17391304347826086,0.14285714285714285,0.06666666666666667,0.14285714285714285,,0.10526315789473684,0.1,0.3684210526315789,0.25,0.5,0.1,0.3333333333333333,0.5,0.25,0.25,,0.3125,0.6,0.75,0.6666666666666666,0.1875,,,,,,,,,,,,0.5555555555555556,0.4,,,,,,,,1.0,0.3333333333333333,,,,,0.5,,0.47619375,0.499875,0.5527000000000001,0.1111111111111111,0.1111111111111111,0.5,0.35714285714285715,6.33125,,0.2781954887218045,,,,,,,,True,,,
2457,1610612747,Jannero Pargo,Jannero Pargo,2457,LAL,1505.0,25,-19,53,56,17,29,3.0,109,,3.0,,,,1.0,,,4.0,5.0,,,,,,,1.0,2.0,,,,,4.0,8,1.0,2.0,,11,70,,,,,,,2.0,4,,,,4,2.0,6.0,3.0,,,,,2.0,1.0,,3.0,1.0,4.0,1.0,,1.0,1.0,1.0,9.0,,,,,2.0,,2.0,,2,,,,,2.0,2.0,1.0,4.0,2.0,1.0,,,6.0,1.0,3.0,,3,,,,,,,,,,,,,,,,,,,4,17,2.0,0.25,0.25,1.0,0.5,,,0.5,0.5,,0.5,0.55,,0.5,0.55,,0.5,0.2,,,,28.57142857142857,0.3333333333333333,,,0.16666666666666666,,,,0.13333333333333333,,,,,,,0.4,,,,,,,0.3,,,,,,,,0.5,0.8,0.8,0.25,,,,,0.2,0.5,0.5,1.0,,,,,,,,,,0.25,,,,,,0.5,0.5,0.48862500000000003,,0.46987500000000004,,,,0.36363636363636365,11.8875,25.0,0.32075471698113206,,,,,,,,True,,,
