EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FTDefRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefFTReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,FTOffRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,LongMidRangeFGA,ShootingFouls,Fouls,LongMidRangeFrequency,on,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,Technical Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,LongMidRangeFGM,Corner3FGM,HeaveAttempts,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,Corner3Assists,Loose Ball Fouls,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,DefensiveGoaltends,PenaltyCorner3FGM,PtsUnassisted3s,PenaltyCorner3Accuracy,BlockedCorner3
1735,1610612757,Vladimir Stepania,Vladimir Stepania,1735,POR,165.0,3,1,4,4,4,3,2,8,1.0,1.0,1.0,1.0,2.0,4,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4,1.0,1.0,1.0,1.0,1.0,1.0,14.285714285714285,1.0,1.0,1.0,1.0,0.449,0.449,1.0,4.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,1610612757,Qyntel Woods,Qyntel Woods,2417,POR,165.0,3,1,4,4,4,3,2,8,,,1.0,2.0,3.0,4,1.0,2.0,3.0,2.0,,,3.0,3.0,4,0.5,0.5,0.3333333333333333,0.3333333333333333,0.375,0.375,71.42857142857142,,,,,0.5066499999999999,0.5066499999999999,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.75,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,0.5054,0.25,0.3333333333333333,1.0,24.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,1610612757,Slavko Vranes,Slavko Vranes,2582,POR,165.0,3,1,4,4,4,3,2,8,,,,1.0,,4,,1.0,,,,,,,4,,,,,,,14.285714285714285,,,,,0.3425,0.3425,,15.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1610612757,Wesley Person,Wesley Person,445,POR,165.0,3,1,4,4,4,3,2,8,,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,1610612757,Jeff McInnis,Jeff McInnis,976,POR,165.0,3,1,4,4,4,3,2,8,,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1610612757,Tracy Murray,Tracy Murray,145,POR,2100.0,35,-5,65,62,21,20,9,127,,3.0,1.0,7.0,8.0,70,,2.0,,,,2.0,5.0,,21,0.14285714285714285,,0.3333333333333333,,0.3333333333333333,,18.91891891891892,,0.25,,,0.4720416666666667,0.423,,10.242857142857144,0.3230769230769231,1.0,2.0,,,,,4.0,1.0,5.0,,,2.0,,,2.0,,,4.0,1.0,2.0,,3.0,2.0,2.0,2.0,,1.0,1.0,,,,,0.4166666666666667,0.14285714285714285,0.5,1.0,,0.07407407407407407,0.09090909090909091,0.125,,0.16666666666666666,0.5,1.0,0.3333333333333333,,,,,0.25,0.5833333333333334,0.4086,,,,25.04,2.0,1.0,3.0,0.16666666666666666,False,1.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.08,0.16666666666666666,0.05555555555555555,0.07692307692307693,1.0,0.14285714285714285,0.09090909090909091,0.125,1.0,0.08333333333333333,0.5,0.5,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,1610612757,Bonzi Wells,Bonzi Wells,1719,POR,24205.0,403,-41,739,737,163,171,121,1476,4.0,21.0,67.0,167.0,158.0,787,20.0,34.0,50.0,46.0,2.0,40.0,61.0,50.0,163,0.40119760479041916,0.5882352941176471,0.3914285714285714,0.5263157894736842,0.42473118279569894,0.5952380952380952,24.52193475815523,0.10526315789473684,0.12,0.19047619047619047,0.21052631578947367,0.471377456647399,0.5114694444444444,0.31645569620253167,9.646706586826346,0.22056833558863329,40.0,70.0,8.0,17.0,13.0,19.0,5.0,3.0,8.0,21.0,10.0,25.0,4.0,24.0,4.0,10.0,10.0,3.0,10.0,16.0,,21.0,20.0,12.0,32.0,2.0,8.0,27.0,13.0,0.4,0.4,0.4444444444444444,0.045714285714285714,0.059880239520958084,0.1,0.625,,0.04923076923076923,0.05511811023622047,0.0673076923076923,0.046511627906976744,0.4,0.5714285714285714,0.6349206349206349,0.02857142857142857,0.68,0.47058823529411764,0.5,0.6842105263157895,0.07894736842105263,0.44571428571428573,0.49839047619047616,0.07103825136612021,0.07428571428571429,0.1518987341772152,32.3625,76.0,7.0,38.0,0.4342857142857143,False,3.0,1.0,,1.0,88.0,3.0,,29.0,35.0,9.0,76.0,5.0,31.0,4.0,20.0,15.0,,0.6567164179104478,0.7096774193548387,1.0,0.125,0.16666666666666666,0.11742424242424243,0.08928571428571429,0.11275964391691394,0.03260869565217391,0.23076923076923078,0.0963855421686747,0.15126050420168066,0.0425531914893617,0.7,0.017142857142857144,,,,0.02631578947368421,,23.0,1.0,2.0,6.0,6.0,7.0,13.0,7.0,5.0,5.0,12.0,8.0,1.0,6.0,5.0,3.0,3.0,3.0,3.0,1.0,7.0,0.09523809523809523,0.013157894736842105,0.0958904109589041,0.046511627906976744,0.08064516129032258,0.10416666666666667,0.08,0.3333333333333333,0.5,0.3026315789473684,0.30666666666666664,0.6086956521739131,0.3333333333333333,0.3333333333333333,1.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,1610612757,Vladimir Stepania,Vladimir Stepania,1735,POR,27046.0,451,39,803,810,154,209,122,1613,2.0,19.0,42.0,102.0,106.0,786,8.0,18.0,21.0,24.0,7.0,74.0,124.0,21.0,154,0.4117647058823529,0.4444444444444444,0.4117647058823529,0.4444444444444444,0.44537815126050423,0.4375,14.375,0.3684210526315789,0.18627450980392157,0.10526315789473684,0.125,0.4890921568627451,0.4688944444444444,0.19811320754716982,6.113725490196077,0.1917808219178082,32.0,57.0,12.0,26.0,6.0,9.0,,,,22.0,12.0,32.0,12.0,36.0,,5.0,18.0,,11.0,43.0,2.0,50.0,8.0,6.0,19.0,2.0,4.0,36.0,17.0,0.375,0.375,0.42857142857142855,,0.10784313725490197,0.12280701754385964,0.42105263157894735,0.05714285714285714,0.1225071225071225,0.11851851851851852,0.1346153846153846,0.11278195488721804,0.5588235294117647,0.5614035087719298,0.64,,0.8125,0.46153846153846156,0.5,0.6666666666666666,,0.5588235294117647,0.5330310344827587,0.1452991452991453,0.1452991452991453,0.33962264150943394,,26.0,24.0,61.0,0.2549019607843137,False,,,,,60.0,,,20.0,23.0,7.0,49.0,5.0,58.0,11.0,11.0,10.0,,0.7142857142857143,0.9090909090909091,,,,0.18181818181818182,0.09259259259259259,0.17048346055979643,0.12280701754385964,,0.18095238095238095,0.16901408450704225,0.22916666666666666,0.625,,,,,,,8.0,,,3.0,2.0,3.0,10.0,9.0,1.0,1.0,11.0,2.0,2.0,6.0,2.0,2.0,15.0,12.0,15.0,10.0,5.0,0.15789473684210525,0.038461538461538464,0.12162162162162163,0.11627906976744186,0.20833333333333334,0.12727272727272726,0.10526315789473684,0.6666666666666666,1.0,0.3076923076923077,0.32,1.0,,,,0.16666666666666666,1.0,7.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,1610612757,Zach Randolph,Zach Randolph,2216,POR,184342.0,3072,-59,5576,5553,1282,1230,765,11129,217.0,484.0,662.0,1363.0,1626.0,5848,152.0,280.0,407.0,534.0,54.0,609.0,851.0,407.0,1282,0.4856933235509905,0.5428571428571428,0.48501461988304095,0.5371024734982333,0.527579493835172,0.5950292397660819,27.67373471598824,0.3724137931034483,0.3538011695906433,0.44834710743801653,0.49318181818181817,0.44998507681053407,0.45594823321554767,0.25030750307503075,7.541819515774023,0.2299139167862267,308.0,527.0,97.0,163.0,86.0,123.0,4.0,2.0,5.0,299.0,128.0,230.0,50.0,306.0,3.0,103.0,184.0,3.0,121.0,211.0,6.0,242.0,122.0,53.0,247.0,26.0,46.0,393.0,188.0,0.5565217391304348,0.5565217391304348,0.5862068965517241,0.003654970760233918,0.08877476155539252,0.14231499051233396,0.4939271255060729,0.037267080745341616,0.09966934341048654,0.09049079754601227,0.14353312302839116,0.07279236276849642,0.385233918128655,0.5844402277039848,0.6814159292035398,0.0029239766081871343,0.7086956521739131,0.5950920245398773,0.43462897526501765,0.6991869918699187,0.007067137809187279,0.3888888888888889,0.5096971291866029,0.12450331125827814,0.12491694352159469,0.1881918819188192,36.66,352.0,77.0,227.0,0.2573099415204678,False,1.0,1.0,1.0,1.0,790.0,3.0,1.0,129.0,163.0,66.0,360.0,25.0,452.0,44.0,68.0,43.0,1.0,0.5966767371601208,0.6929824561403509,1.0,0.2,0.25,0.21330816422840962,0.05091649694501019,0.20616641901931648,0.09147286821705426,0.031914893617021274,0.20646067415730338,0.21138211382113822,0.07665505226480836,0.5616883116883117,0.0007309941520467836,0.25,0.25,1.0,0.0035335689045936395,0.3333333333333333,137.0,,1.0,34.0,30.0,25.0,38.0,103.0,25.0,15.0,125.0,69.0,21.0,46.0,46.0,31.0,39.0,30.0,41.0,24.0,26.0,0.09090909090909091,0.005681818181818182,0.17975567190226877,0.055415617128463476,0.22527472527472528,0.17936117936117937,0.18072289156626506,0.5853658536585366,0.5714285714285714,0.38920454545454547,0.3914285714285714,0.7153284671532847,,,,0.14432989690721648,4.0,37.0,9.0,11.0,5.0,17.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,1610612757,Jeff McInnis,Jeff McInnis,976,POR,76309.0,1272,-43,2304,2284,477,529,332,4588,61.0,129.0,181.0,369.0,465.0,2461,42.0,84.0,121.0,178.0,5.0,78.0,94.0,121.0,477,0.4905149051490515,0.5,0.4891826923076923,0.4639175257731959,0.5144766146993318,0.5307017543859649,18.9873417721519,0.07692307692307693,0.31009615384615385,0.4728682170542636,0.488,0.4349542270531401,0.40132968750000003,0.26021505376344084,11.246341463414636,0.20703125,45.0,75.0,6.0,8.0,9.0,15.0,39.0,11.0,47.0,58.0,21.0,39.0,2.0,53.0,13.0,31.0,12.0,37.0,18.0,14.0,,16.0,39.0,27.0,61.0,2.0,13.0,76.0,26.0,0.5384615384615384,0.5666666666666667,0.5777777777777777,0.11298076923076923,0.04878048780487805,0.14666666666666667,0.639344262295082,,0.015217391304347827,0.014585232452142206,0.021645021645021644,0.00819672131147541,0.18028846153846154,0.6,0.703125,0.09375,0.17777777777777778,0.75,0.15463917525773196,0.6,0.1134020618556701,0.2932692307692308,0.4503166666666667,0.06178489702517163,0.06683804627249357,0.11397849462365592,26.5,165.0,25.0,94.0,0.39663461538461536,False,8.0,2.0,12.0,15.0,184.0,45.0,12.0,157.0,196.0,61.0,431.0,2.0,53.0,2.0,36.0,14.0,3.0,0.5082872928176796,0.5257142857142857,1.0,0.3191489361702128,0.3333333333333333,0.060849598163030996,0.011299435028248588,0.06594399277326106,0.018575851393188854,0.02702702702702703,0.045454545454545456,0.06285714285714286,0.010526315789473684,0.35555555555555557,0.019230769230769232,0.3076923076923077,0.3157894736842105,1.0,0.020618556701030927,0.32432432432432434,75.0,3.0,2.0,39.0,31.0,50.0,46.0,20.0,22.0,10.0,22.0,12.0,2.0,3.0,6.0,12.0,2.0,2.0,2.0,2.0,16.0,0.031007751937984496,0.01818181818181818,0.0847457627118644,0.007142857142857143,0.07659574468085106,0.09876543209876543,0.05405405405405406,1.0,0.3770491803278688,0.45454545454545453,0.46296296296296297,0.7066666666666667,0.375,0.42857142857142855,1.0,0.3333333333333333,8.0,3.0,,,,5.0,,,,,2.0,3.0,1.0,3.0,2.0,3.0,6.0,2.0,2.0,1.0,1.0,0.5,0.15384615384615385,0.0425531914893617,0.125,0.02564102564102564,0.06666666666666667,0.6666666666666666,1.0,0.06666666666666667,0.3333333333333333,1.0,0.18181818181818182,0.020833333333333332,,,,,,
