EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceCorner3FGA,Loose Ball Fouls,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,3SecondViolations,OffFTReboundPct,OffCorner3ReboundPct,Blocked3s,BlockedArc3,on,DefensiveGoaltends,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1521,1610612737,Jacque Vaughn,Jacque Vaughn,1521,ATL,3289.0,55,17.0,104,103,20,22,14,207,1.0,1.0,3.0,7.0,3.0,9.0,6.0,88,1.0,2.0,2.0,4.0,2.0,1.0,11.0,11.0,4.0,1.0,6.0,22.0,6.0,6.0,6,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,20,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.1111111111111111,1.0,10.084033613445378,1.0,0.13043478260869565,0.11538461538461539,0.125,0.21428571428571427,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.1111111111111111,0.40397777777777777,0.25345,0.3333333333333333,13.133333333333333,0.19230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1536,1610612737,Stephen Jackson,Stephen Jackson,1536,ATL,27196.0,453,22.0,871,869,218,246,116,1740,59.0,30.0,21.0,48.0,66.0,137.0,259.0,951,18.0,36.0,62.0,54.0,78.0,6.0,29.0,36.0,21.0,2.0,6.0,79.0,32.0,45.0,66,29.0,23.0,6.0,24.0,17.0,34.0,4.0,6.0,13.0,27.0,62.0,1.0,62.0,218,0.4090909090909091,0.43548387096774194,0.48175182481751827,0.5,0.4975609756097561,0.4017857142857143,0.5512820512820513,0.47692307692307695,0.043795620437956206,0.03333333333333333,26.560951437066404,0.7058823529411765,0.10256410256410256,0.10757946210268948,0.07777777777777778,0.0970873786407767,0.12605042016806722,0.28780487804878047,0.14634146341463414,0.23414634146341465,0.4375,0.4375,0.42857142857142855,0.6195121951219512,0.5132985365853658,0.5196151785714287,0.23938223938223938,8.485401459854016,0.2502870264064294,36.0,4.0,10.0,16.0,20.0,9.0,7.0,16.0,1.0,3.0,17.0,52.0,2.0,8.0,2.0,17.0,24.0,68.0,55.0,5.0,19.0,2.0,8.0,4.0,20.0,3.0,20.0,17.0,66.0,6.0,8.0,52.0,17.0,7.0,5.0,2.0,5.0,16.0,12.0,1.0,21.0,7.0,3.0,10.0,1.0,7.0,1.0,2.0,1.0,3.0,28.0,4.0,5.0,2.0,1.0,2.0,5.0,2.0,5.0,0.9166666666666666,0.35294117647058826,0.25,0.15,0.35294117647058826,0.2631578947368421,0.2962962962962963,0.3333333333333333,0.33170731707317075,0.0847457627118644,0.03571428571428571,0.05405405405405406,0.12371134020618557,0.04672897196261682,0.052109181141439205,0.09433962264150944,0.03614457831325301,0.028037383177570093,0.0625,0.07462686567164178,0.23333333333333334,0.0660377358490566,0.4,0.6101694915254238,0.6666666666666666,0.4722222222222222,0.3,0.3103448275862069,0.1111111111111111,0.07804878048780488,0.4375,0.4375,1.0,0.25365853658536586,0.3269230769230769,0.3269230769230769,0.8823529411764706,0.37037037037037035,0.4,0.2962962962962963,0.25,1.0,0.35714285714285715,0.8,0.05357142857142857,0.3333333333333333,0.30357142857142855,0.11764705882352941,0.3269230769230769,0.5091295454545455,0.12173913043478261,0.1728395061728395,0.07722007722007722,24.87941176470589,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1544,1610612737,Chris Crawford,Chris Crawford,1544,ATL,21535.0,359,11.0,685,681,145,172,79,1366,38.0,22.0,17.0,36.0,49.0,96.0,207.0,755,11.0,18.0,34.0,60.0,38.0,9.0,10.0,13.0,5.0,1.0,4.0,29.0,25.0,36.0,45,5.0,3.0,2.0,8.0,5.0,18.0,2.0,5.0,12.0,29.0,43.0,1.0,34.0,145,0.6122448979591837,0.6382978723404256,0.5104166666666666,0.6111111111111112,0.5798611111111112,0.5681818181818182,0.6319018404907976,0.6538461538461539,0.09375,0.18181818181818182,23.26478149100257,0.4444444444444444,0.10040160642570281,0.10365853658536585,0.14705882352941177,0.06896551724137931,0.09574468085106383,0.2638888888888889,0.1527777777777778,0.25,0.4722222222222222,0.4722222222222222,0.8235294117647058,0.5972222222222222,0.5067034722222222,0.48803409090909095,0.1642512077294686,8.198958333333335,0.2116788321167883,25.0,3.0,6.0,8.0,8.0,7.0,3.0,8.0,,1.0,20.0,40.0,3.0,9.0,1.0,3.0,23.0,48.0,40.0,4.0,10.0,3.0,10.0,5.0,22.0,1.0,4.0,9.0,69.0,,4.0,40.0,20.0,3.0,3.0,,3.0,6.0,9.0,2.0,9.0,3.0,2.0,10.0,1.0,3.0,,1.0,4.0,4.0,18.0,5.0,3.0,2.0,,1.0,3.0,3.0,3.0,1.0,0.4791666666666667,0.3,0.25,0.4791666666666667,0.4,0.425,0.4782608695652174,0.3333333333333333,0.13157894736842105,0.09523809523809523,0.0273972602739726,0.11392405063291139,0.033707865168539325,0.02922077922077922,0.0125,0.057692307692307696,0.022988505747126436,0.046153846153846156,0.09615384615384616,0.14814814814814814,0.047619047619047616,1.0,0.6578947368421053,0.7575757575757576,0.64,0.3181818181818182,0.3888888888888889,,0.05555555555555555,0.375,0.375,1.0,0.2777777777777778,0.5,0.5,1.0,0.3,0.5,0.45,0.3333333333333333,1.0,0.36363636363636365,1.0,0.045454545454545456,,0.13636363636363635,0.3333333333333333,0.5,0.5273583333333334,0.11392405063291139,0.16363636363636364,0.10628019323671498,24.95,1.0,3.0,1.0,0.3333333333333333,0.05,,,,,,,,,,,True,,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,27349.0,456,-6.0,883,874,210,240,114,1757,28.0,26.0,21.0,41.0,51.0,95.0,194.0,981,8.0,17.0,48.0,24.0,78.0,5.0,39.0,64.0,23.0,2.0,14.0,153.0,33.0,45.0,53,20.0,15.0,5.0,18.0,13.0,28.0,2.0,6.0,9.0,27.0,38.0,4.0,48.0,210,0.23529411764705882,0.2553191489361702,0.5368421052631579,0.47058823529411764,0.5159235668789809,0.484375,0.5491329479768786,0.5348837209302325,0.05263157894736842,0.038461538461538464,19.783464566929133,0.6428571428571429,0.10610932475884244,0.10602409638554217,0.10309278350515463,0.13725490196078433,0.08035714285714286,0.17834394904458598,0.16560509554140126,0.2611464968152866,0.5121951219512195,0.525,0.47619047619047616,0.5732484076433121,0.4983141025641024,0.4796935483870968,0.24742268041237114,9.950526315789473,0.23782559456398641,17.0,,,3.0,5.0,13.0,5.0,16.0,1.0,2.0,15.0,46.0,,1.0,4.0,13.0,20.0,62.0,32.0,8.0,12.0,2.0,4.0,1.0,23.0,5.0,15.0,17.0,45.0,15.0,8.0,46.0,15.0,25.0,18.0,7.0,2.0,6.0,11.0,1.0,8.0,3.0,4.0,10.0,2.0,5.0,1.0,,1.0,3.0,12.0,7.0,1.0,1.0,,,1.0,1.0,11.0,0.75,0.3225806451612903,0.5,0.3333333333333333,0.3225806451612903,0.6666666666666666,0.6875,0.6388888888888888,0.39490445859872614,0.10714285714285714,0.04,0.02040816326530612,0.10576923076923077,0.01680672268907563,0.01937046004842615,0.009615384615384616,0.024390243902439025,0.027777777777777776,0.022727272727272728,0.0958904109589041,0.12903225806451613,0.038461538461538464,1.0,0.6071428571428571,0.68,0.11764705882352941,0.5,0.52,,0.10191082802547771,0.3125,0.3125,1.0,0.2929936305732484,0.32608695652173914,0.32608695652173914,0.6666666666666666,,,0.0625,,,0.15625,0.6,0.0625,0.5,0.40625,0.3076923076923077,0.32608695652173914,0.45987,0.07228915662650602,0.11538461538461539,0.11855670103092783,25.04677419354838,3.0,1.0,,,0.1875,2.0,0.024390243902439025,0.6666666666666666,1.0,,,,,,,True,,,,,,,,,,,
2044,1610612737,Jason Collier,Jason Collier,2044,ATL,32789.0,546,26.0,1054,1050,260,303,138,2104,63.0,41.0,28.0,57.0,78.0,161.0,226.0,1128,11.0,30.0,45.0,116.0,40.0,11.0,12.0,17.0,7.0,,5.0,39.0,51.0,75.0,111,11.0,9.0,2.0,11.0,2.0,31.0,3.0,11.0,38.0,71.0,85.0,,45.0,260,0.7435897435897436,0.7945205479452054,0.484472049689441,0.36666666666666664,0.4818181818181818,0.3548387096774194,0.553921568627451,0.5,0.06832298136645963,0.0975609756097561,19.34156378600823,0.3548387096774194,0.13212435233160622,0.12326043737574553,0.13157894736842105,0.16129032258064516,0.10810810810810811,0.38181818181818183,0.24848484848484848,0.34545454545454546,0.49122807017543857,0.49122807017543857,0.8571428571428571,0.40606060606060607,0.4660796969696969,0.46261129032258075,0.19911504424778761,8.49192546583851,0.24667931688804554,38.0,11.0,21.0,6.0,10.0,12.0,,1.0,,,1.0,3.0,,,,1.0,1.0,4.0,67.0,13.0,25.0,,,18.0,44.0,,1.0,23.0,3.0,,10.0,3.0,1.0,5.0,4.0,1.0,7.0,27.0,11.0,13.0,36.0,5.0,2.0,20.0,1.0,9.0,,1.0,10.0,7.0,39.0,7.0,11.0,6.0,1.0,4.0,11.0,7.0,3.0,1.0,0.25,,,0.25,0.52,0.52,0.6285714285714286,0.024242424242424242,0.1111111111111111,0.3939393939393939,0.07458563535911603,0.09401709401709402,0.05343511450381679,0.06896551724137931,0.12698412698412698,0.0707070707070707,0.029197080291970802,0.05154639175257732,0.10714285714285714,0.06060606060606061,0.06666666666666667,0.6363636363636364,0.6031746031746031,0.6785714285714286,0.7105263157894737,0.2926829268292683,0.32432432432432434,0.5833333333333334,0.006060606060606061,,,,0.01818181818181818,0.3333333333333333,0.3333333333333333,1.0,0.84,0.5238095238095238,,,,0.3225806451612903,0.6,,,0.03225806451612903,,0.3333333333333333,0.5429120000000001,0.19796954314720813,0.20207253886010362,0.19469026548672566,24.75,,9.0,,0.45454545454545453,,,,,,2.0,2.0,0.07692307692307693,0.058823529411764705,,,True,,,,,,,,,,,
2564,1610612737,Boris Diaw,Boris Diaw,2564,ATL,13898.0,232,-18.0,453,458,140,165,63,911,22.0,10.0,4.0,12.0,23.0,44.0,52.0,485,6.0,12.0,12.0,30.0,16.0,2.0,15.0,21.0,10.0,1.0,4.0,48.0,22.0,30.0,45,10.0,9.0,1.0,7.0,7.0,13.0,2.0,3.0,14.0,25.0,7.0,,12.0,140,0.6521739130434783,0.7142857142857143,0.5227272727272727,0.5,0.5104166666666666,0.46153846153846156,0.5098039215686274,0.42857142857142855,0.045454545454545456,0.1,12.115384615384615,0.5384615384615384,0.1301775147928994,0.12558139534883722,0.15384615384615385,0.08,0.14925373134328357,0.4583333333333333,0.20833333333333334,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5416666666666666,0.48976458333333334,0.5108730769230769,0.23076923076923078,7.627272727272728,0.3090507726269316,15.0,3.0,7.0,6.0,7.0,4.0,1.0,3.0,,,,1.0,,,,1.0,1.0,4.0,3.0,3.0,7.0,,,,6.0,,1.0,,3.0,,4.0,1.0,,6.0,5.0,1.0,4.0,11.0,5.0,3.0,15.0,1.0,3.0,6.0,,,,2.0,1.0,2.0,3.0,2.0,5.0,4.0,,1.0,5.0,4.0,2.0,1.0,0.25,,,0.25,0.42857142857142855,0.42857142857142855,0.375,0.08333333333333333,0.045454545454545456,0.2,0.07006369426751592,0.10869565217391304,0.07142857142857142,0.07042253521126761,0.08,0.0851063829787234,0.05,0.045454545454545456,0.10256410256410256,0.14285714285714285,0.045454545454545456,0.8,0.6818181818181818,0.7142857142857143,0.7333333333333333,0.4,0.4444444444444444,,0.0625,0.3333333333333333,0.3333333333333333,1.0,0.020833333333333332,,,,1.0,0.42857142857142855,,,,0.5384615384615384,0.8571428571428571,,,0.07692307692307693,,,0.5675399999999999,0.061224489795918366,0.06666666666666667,0.11538461538461539,23.925,,3.0,,0.3333333333333333,,,,,,,,,0.16666666666666666,,,True,,,,,,,,,,,
682,1610612737,Bob Sura,Bob Sura,682,ATL,25951.0,433,44.0,832,828,213,236,110,1660,77.0,12.0,13.0,33.0,53.0,122.0,172.0,871,9.0,29.0,39.0,38.0,68.0,6.0,50.0,74.0,20.0,2.0,28.0,172.0,60.0,79.0,116,13.0,7.0,6.0,15.0,10.0,30.0,4.0,11.0,6.0,29.0,59.0,,39.0,213,0.3584905660377358,0.40425531914893614,0.4344262295081967,0.3103448275862069,0.4601449275362319,0.3181818181818182,0.524390243902439,0.43333333333333335,0.04918032786885246,0.08333333333333333,20.10362694300518,0.5,0.19801980198019803,0.18204488778054864,0.13186813186813187,0.1875,0.25862068965517243,0.5579710144927537,0.08695652173913043,0.2391304347826087,0.3939393939393939,0.3939393939393939,0.3076923076923077,0.6739130434782609,0.5345601449275361,0.5124030303030304,0.22674418604651161,5.818852459016395,0.25600961538461536,38.0,7.0,12.0,6.0,16.0,2.0,4.0,7.0,1.0,2.0,3.0,9.0,,2.0,,2.0,7.0,16.0,45.0,8.0,15.0,1.0,4.0,3.0,22.0,1.0,4.0,18.0,18.0,3.0,12.0,9.0,3.0,24.0,18.0,6.0,8.0,29.0,13.0,6.0,37.0,3.0,3.0,15.0,1.0,5.0,3.0,,5.0,6.0,25.0,7.0,,,,,1.0,1.0,3.0,0.8571428571428571,0.4375,0.25,0.25,0.4375,0.5333333333333333,0.5,0.5238095238095238,0.11594202898550725,0.06493506493506493,0.24,0.09897610921501707,0.1326530612244898,0.08080808080808081,0.09438775510204081,0.046296296296296294,0.13924050632911392,0.12264150943396226,0.08333333333333333,0.14084507042253522,0.1111111111111111,0.04285714285714286,1.0,0.4935064935064935,0.5277777777777778,0.39473684210526316,0.16666666666666666,0.18181818181818182,,0.050724637681159424,0.5714285714285714,0.5714285714285714,0.75,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.631578947368421,0.5833333333333334,0.10526315789473684,,,0.48484848484848486,0.375,0.06060606060606061,0.5,0.06060606060606061,,0.3333333333333333,0.5531633333333335,0.1592356687898089,0.1773049645390071,0.12790697674418605,24.324999999999996,2.0,,,0.14285714285714285,0.10526315789473684,1.0,,0.5,,,,,0.07407407407407407,1.0,1.0,True,,,,,,,,,,,
445,1610612737,Wesley Person,Wesley Person,445,ATL,1655.0,28,7.0,57,56,11,9,5,113,,1.0,1.0,5.0,1.0,6.0,14.0,49,,1.0,3.0,2.0,,,,1.0,,,,3.0,4.0,5.0,5,,,,,,,,,,,,,3.0,11,1.0,1.0,0.16666666666666666,,0.5384615384615384,0.75,0.5384615384615384,0.75,,,20.967741935483872,,0.14285714285714285,0.16129032258064516,0.1,0.375,,,0.07692307692307693,0.38461538461538464,0.2,0.2,1.0,0.5384615384615384,0.4832384615384615,0.44305,0.21428571428571427,16.333333333333332,0.19298245614035087,,,,,,,,,,,4.0,7.0,,1.0,1.0,1.0,4.0,7.0,,,,,1.0,,,1.0,1.0,,12.0,,,7.0,4.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.5714285714285714,,1.0,0.5714285714285714,,,,0.5384615384615384,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,,,,,,,,,,0.5384615384615384,0.5714285714285714,0.5714285714285714,1.0,,,1.0,,,,,,,0.5,1.0,0.5714285714285714,,,,,25.52857142857143,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2055,1610612737,Mamadou N'diaye,Mamadou N'diaye,2055,ATL,1891.0,32,,58,59,13,26,11,117,5.0,2.0,,,1.0,7.0,4.0,57,1.0,3.0,2.0,2.0,,2.0,,,,,,,6.0,9.0,13,1.0,1.0,,1.0,,1.0,,,3.0,8.0,2.0,,2.0,13,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,0.2857142857142857,,12.0,1.0,0.25,0.25,0.25,,0.4444444444444444,0.7142857142857143,0.2857142857142857,,,,,0.7142857142857143,0.5479,0.5182666666666667,0.5,2.0285714285714285,0.22413793103448276,,,3.0,,2.0,1.0,,,,,,,,,,,,,2.0,,3.0,,,2.0,2.0,,,,,,,,,,,,,4.0,2.0,1.0,4.0,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,2.0,,,,,,,,0.25,,0.4,0.5,0.13793103448275862,0.25,,0.10810810810810811,0.1,0.3,,,0.3333333333333333,,,,,,,0.5,0.5,1.0,,,,,,,,,1.0,,,,,0.6666666666666666,,,,,,,0.5880666666666666,0.125,0.125,0.5,,,2.0,,,,,,,,,,,,,,True,,,,,,,,,,,
2214,1610612737,Michael Bradley,Michael Bradley,2214,ATL,352.0,6,1.0,10,11,5,3,1,21,,,,,,,,10,,,,,,,,,,,,,1.0,1.0,1,,,,1.0,1.0,1.0,,,,1.0,,,,5,,,,,,,,,,,9.090909090909092,1.0,0.25,0.2,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
