EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,LostBallSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,HeaveMakes,ThreePtAssists,Arc3Assists,Corner3Assists,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,FTOffRebounds,BlockedCorner3,OffFTReboundPct,on,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Clear Path Fouls
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,14570.0,243.0,-24.0,435.0,439.0,68.0,65.0,51.0,874.0,29.0,43.0,10.0,15.0,6.0,6.0,9.0,26.0,1.0,2.0,39.0,71.0,15.0,93.0,476.0,11.0,21.0,2.0,24.0,6.0,6.0,4.0,16.0,46.0,32.0,16.0,3.0,4.0,4.0,1.0,1.0,2.0,8.0,1.0,22.0,16.0,27.0,6.0,49.0,23.0,72.0,4.0,5.0,5.0,3.0,2.0,12.0,1.0,5.0,15.0,3.0,4.0,12.0,1.0,24.0,5.0,22.0,1.0,19.0,1.0,10.0,12.0,7.0,1.0,4.0,12.0,7.0,1.0,1.0,16.0,68.0,1.0,0.5897435897435898,0.7419354838709677,0.5492957746478874,0.5238095238095238,1.0,0.5492957746478874,0.5238095238095238,1.0,0.58125,0.5454545454545454,1.0,0.04225352112676056,0.023255813953488372,0.07692307692307693,19.153225806451612,0.2,0.6,0.1888111888111888,0.13496932515337423,0.2711864406779661,0.02127659574468085,0.21287128712871287,0.10952380952380952,0.23404255319148937,0.13559322033898305,0.05263157894736842,0.0625,0.17777777777777778,0.23255813953488372,0.16363636363636364,0.2727272727272727,0.26666666666666666,0.13793103448275862,0.5833333333333334,0.6056338028169014,0.6744186046511628,0.6904761904761905,0.5172413793103449,0.36619718309859156,0.34615384615384615,0.375,0.7777777777777778,0.028169014084507043,0.5,0.5,1.0,0.7142857142857143,0.6666666666666666,0.2,1.0,1.0,0.6056338028169014,0.490338028169014,0.5270952380952381,0.5049333333333333,0.125,0.125,0.25806451612903225,0.17204301075268819,4.3647887323943655,0.15632183908045977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,10252.0,171.0,10.0,316.0,312.0,115.0,133.0,39.0,628.0,15.0,22.0,,2.0,3.0,4.0,9.0,13.0,,3.0,24.0,38.0,17.0,71.0,342.0,1.0,3.0,,2.0,7.0,9.0,9.0,29.0,26.0,22.0,,1.0,11.0,11.0,3.0,6.0,2.0,22.0,3.0,2.0,6.0,25.0,2.0,33.0,5.0,38.0,2.0,1.0,,4.0,3.0,3.0,1.0,1.0,7.0,2.0,4.0,8.0,,16.0,,17.0,,25.0,2.0,11.0,3.0,3.0,,,3.0,2.0,,,29.0,115.0,3.0,0.5416666666666666,0.5416666666666666,0.631578947368421,0.3333333333333333,0.7777777777777778,0.5510204081632653,0.25,0.5882352941176471,0.5916666666666667,0.25,0.6304347826086957,0.02631578947368421,0.045454545454545456,,18.457300275482094,0.5714285714285714,0.16666666666666666,0.25773195876288657,0.018867924528301886,0.18181818181818182,0.08108108108108109,0.23846153846153847,0.03496503496503497,0.06060606060606061,,,,0.3333333333333333,0.12903225806451613,0.3055555555555556,0.17391304347826086,0.2,0.1,0.6666666666666666,0.4489795918367347,0.6818181818181818,0.7142857142857143,0.6666666666666666,0.2653061224489796,0.6923076923076923,0.6923076923076923,0.3333333333333333,0.061224489795918366,,,,0.5,,,0.23529411764705882,0.75,0.673469387755102,0.4529916666666667,0.49885,0.453928125,0.2033898305084746,0.23404255319148937,0.028169014084507043,0.4084507042253521,4.881578947368422,0.3639240506329114,2.0,11.0,1.0,2.0,8.0,2.0,11.0,1.0,2.0,8.0,3.0,3.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.18181818181818182,0.25,0.2,0.22448979591836735,0.1,0.22448979591836735,0.18181818181818182,0.18181818181818182,0.5,0.25,0.47058823529411764,0.25,0.2,0.08333333333333333,29.10909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1897,1610612747,Metta World Peace,Metta World Peace,1897,LAL,16313.0,272.0,26.0,495.0,490.0,125.0,112.0,64.0,985.0,17.0,24.0,4.0,8.0,5.0,6.0,5.0,9.0,4.0,14.0,26.0,47.0,16.0,92.0,527.0,4.0,10.0,5.0,16.0,6.0,9.0,5.0,26.0,24.0,28.0,8.0,2.0,15.0,19.0,8.0,3.0,4.0,42.0,3.0,14.0,4.0,16.0,2.0,22.0,17.0,39.0,3.0,10.0,4.0,5.0,3.0,4.0,2.0,,9.0,1.0,4.0,2.0,,19.0,2.0,20.0,2.0,21.0,3.0,10.0,4.0,1.0,1.0,2.0,7.0,4.0,,2.0,26.0,125.0,5.0,0.46153846153846156,0.5454545454545454,0.5531914893617021,0.4,0.6666666666666666,0.5277777777777778,0.5,0.6176470588235294,0.5679012345679012,0.6153846153846154,0.6842105263157895,0.0425531914893617,,0.1111111111111111,15.789473684210526,0.5555555555555556,0.2222222222222222,0.0963855421686747,0.07777777777777778,0.07017543859649122,0.05357142857142857,0.08968609865470852,0.07203389830508475,0.07142857142857142,0.034482758620689655,0.12121212121212122,,0.08,0.09615384615384616,0.109375,0.09302325581395349,,0.08333333333333333,0.5714285714285714,0.3333333333333333,0.7083333333333334,0.7083333333333334,0.47058823529411764,0.125,0.5555555555555556,0.625,0.6,0.19444444444444445,0.2857142857142857,0.3076923076923077,0.25,0.7272727272727273,0.5,,0.35294117647058826,0.8333333333333334,0.6805555555555556,0.5050485915492957,0.48475,0.561040625,0.12658227848101267,0.18518518518518517,0.17391304347826086,0.2826086956521739,8.3,0.25252525252525254,7.0,18.0,1.0,3.0,7.0,8.0,25.0,1.0,3.0,8.0,21.0,3.0,1.0,16.0,6.0,6.0,,3.0,1.0,1.0,,2.0,,2.0,0.875,0.32,0.375,0.2916666666666667,0.3472222222222222,0.06666666666666667,0.25,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.09090909090909091,0.4117647058823529,0.42857142857142855,0.375,,25.804000000000002,1.0,7.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,0.07142857142857142,0.09722222222222222,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.058823529411764705,,,,,,,,,,,,,,True,,,,
2581,1610612747,Steve Blake,Steve Blake,2581,LAL,3085.0,51.0,-11.0,90.0,90.0,24.0,29.0,10.0,180.0,,,,,,,,,1.0,1.0,1.0,1.0,,11.0,112.0,,,,,,,,,,2.0,,,5.0,6.0,1.0,3.0,1.0,13.0,,,2.0,2.0,,4.0,,4.0,,2.0,1.0,2.0,2.0,,,,2.0,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,24.0,,,,1.0,,,0.7857142857142857,,,0.7857142857142857,,,,,,8.823529411764707,1.0,,0.08695652173913043,,0.15384615384615385,,0.1111111111111111,,,,,,0.1,0.25,,,0.4,,,,,,,,,,,0.14285714285714285,1.0,1.0,,,,,,,0.8571428571428571,0.5386285714285715,,,,,,,20.1,0.26666666666666666,2.0,3.0,,,,3.0,6.0,1.0,,,9.0,,,3.0,2.0,1.0,,,,2.0,,,,,1.0,0.5,,0.5,0.8571428571428571,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,,0.6666666666666666,,23.616666666666664,1.0,3.0,,,,,1.0,,1.0,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,1.0,,,,,,,,,,,,True,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,21263.0,354.0,4.0,644.0,640.0,161.0,163.0,79.0,1284.0,16.0,31.0,1.0,4.0,2.0,5.0,29.0,54.0,26.0,60.0,71.0,145.0,50.0,228.0,703.0,4.0,9.0,10.0,21.0,8.0,29.0,24.0,46.0,52.0,90.0,,8.0,25.0,33.0,12.0,7.0,6.0,74.0,1.0,7.0,7.0,19.0,,26.0,8.0,34.0,2.0,15.0,11.0,20.0,13.0,11.0,7.0,2.0,31.0,3.0,8.0,12.0,2.0,23.0,,49.0,1.0,61.0,5.0,24.0,3.0,1.0,,2.0,3.0,2.0,,,46.0,161.0,4.0,0.36619718309859156,0.36619718309859156,0.4896551724137931,0.4444444444444444,0.27586206896551724,0.478494623655914,0.4230769230769231,0.275,0.5330188679245284,0.5526315789473685,0.42452830188679247,0.05517241379310345,0.0967741935483871,0.09259259259259259,32.926829268292686,0.6451612903225806,,0.09405940594059406,0.030837004405286344,0.09210526315789473,0.0136986301369863,0.09352517985611511,0.02666666666666667,0.043478260869565216,0.013157894736842105,0.036585365853658534,,0.06557377049180328,0.09523809523809523,0.11538461538461539,0.09259259259259259,0.09090909090909091,0.02197802197802198,0.6666666666666666,0.16666666666666666,0.5161290322580645,0.5714285714285714,0.3125,0.2903225806451613,0.5370370370370371,0.5918367346938775,0.27586206896551724,0.3225806451612903,0.43333333333333335,0.43333333333333335,0.5,0.3076923076923077,0.25,1.0,0.125,0.4,0.3870967741935484,0.43389059139784936,0.4689045454545454,0.39539625,0.11707317073170732,0.14634146341463414,0.09210526315789473,0.20175438596491227,11.408965517241377,0.25,12.0,38.0,3.0,2.0,11.0,12.0,41.0,4.0,2.0,11.0,21.0,15.0,,38.0,12.0,4.0,2.0,1.0,,1.0,,7.0,,6.0,0.5833333333333334,0.2926829268292683,0.18181818181818182,0.2926829268292683,0.22043010752688172,0.01818181818181818,0.20430107526881722,0.3157894736842105,0.32432432432432434,0.5833333333333334,0.23076923076923078,0.275,0.18181818181818182,0.3157894736842105,,25.700000000000003,,3.0,,1.0,1.0,,8.0,6.0,2.0,,,,0.25,,0.016129032258064516,,,,0.3333333333333333,,,1.0,0.07692307692307693,2.0,5.0,1.0,3.0,4.0,0.04878048780487805,0.3333333333333333,0.02631578947368421,,,,True,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,18144.0,302.0,15.0,553.0,547.0,130.0,135.0,71.0,1100.0,12.0,20.0,,1.0,3.0,3.0,1.0,4.0,8.0,23.0,21.0,47.0,16.0,79.0,585.0,,2.0,,,5.0,8.0,10.0,20.0,24.0,18.0,,2.0,28.0,33.0,18.0,4.0,6.0,71.0,,1.0,4.0,21.0,,25.0,1.0,26.0,,13.0,12.0,4.0,2.0,2.0,2.0,1.0,6.0,,3.0,10.0,,25.0,,16.0,1.0,19.0,1.0,5.0,2.0,1.0,1.0,,2.0,2.0,,,20.0,130.0,5.0,0.5714285714285714,0.5714285714285714,0.44680851063829785,,0.625,0.4921875,,0.5,0.541095890410959,,0.625,0.0425531914893617,0.05,0.25,12.401883830455258,0.6666666666666666,,0.11666666666666667,0.004975124378109453,0.06153846153846154,,0.10204081632653061,0.003861003861003861,0.015625,,,,0.07692307692307693,0.11666666666666667,0.14705882352941177,0.041666666666666664,0.11764705882352941,,1.0,0.3125,0.6,0.631578947368421,0.3333333333333333,0.0625,0.25,0.3333333333333333,1.0,0.359375,0.34782608695652173,0.34782608695652173,0.875,0.3333333333333333,,,0.3,1.0,0.578125,0.4749398437499999,0.47409999999999997,0.39270499999999997,0.07352941176470588,0.09803921568627451,,0.25316455696202533,11.36808510638298,0.23508137432188064,5.0,14.0,,,2.0,7.0,17.0,1.0,,2.0,18.0,3.0,,14.0,5.0,1.0,,,,3.0,,5.0,,4.0,0.8571428571428571,0.4117647058823529,,0.4117647058823529,0.265625,,0.21875,0.35714285714285715,0.35714285714285715,0.8,,0.2,,0.35714285714285715,,25.517647058823528,2.0,3.0,,,,,5.0,5.0,,,,,,,0.046875,0.6666666666666666,0.6666666666666666,1.0,,,,1.0,0.3333333333333333,,1.0,,1.0,,,,,,,,True,,,,
200769,1610612747,Shannon Brown,Shannon Brown,200769,LAL,2417.0,40.0,-15.0,74.0,69.0,24.0,17.0,9.0,143.0,5.0,6.0,1.0,1.0,4.0,4.0,,1.0,1.0,1.0,6.0,8.0,2.0,26.0,102.0,1.0,1.0,,2.0,5.0,5.0,,13.0,6.0,6.0,2.0,,1.0,2.0,,1.0,,5.0,1.0,1.0,2.0,1.0,,3.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,3.0,1.0,,2.0,,4.0,,2.0,,4.0,,2.0,,,,,,,,,13.0,24.0,1.0,0.5,0.6,0.75,1.0,1.0,0.6,1.0,0.7222222222222222,0.5909090909090909,1.0,0.7222222222222222,,,,29.761904761904763,0.6666666666666666,,0.08333333333333333,0.05555555555555555,0.25,0.09090909090909091,0.15,0.06896551724137931,,,0.2,,,,0.2,0.25,0.25,0.1111111111111111,,0.3,0.8333333333333334,0.8333333333333334,0.6,0.05,,,,0.05,1.0,1.0,,1.0,1.0,,0.4444444444444444,1.0,0.9,0.5584105263157895,0.4805,0.5438062499999999,0.09090909090909091,0.2,0.07692307692307693,0.5,3.6875,0.32432432432432434,2.0,7.0,,1.0,3.0,4.0,12.0,,1.0,4.0,12.0,,,7.0,2.0,1.0,,,,,,,,,1.0,0.3333333333333333,0.25,0.3333333333333333,0.6,0.125,0.35,0.2857142857142857,0.2857142857142857,1.0,,0.3333333333333333,0.3333333333333333,0.2857142857142857,,25.066666666666663,2.0,5.0,1.0,,,,1.0,1.0,,,,,,,0.25,0.4,0.4,1.0,,,0.1111111111111111,,,,,1.0,,,,,,,,,True,,,,
201234,1610612747,Trey Johnson,Trey Johnson,201234,LAL,154.0,3.0,1.0,4.0,5.0,,,1.0,9.0,,,,,,,,,1.0,2.0,1.0,2.0,,2.0,4.0,1.0,1.0,,2.0,,,,,2.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,,0.5,1.0,,0.5,1.0,,,,,40.0,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,0.4143,,,,,1.0,,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2200,1610612747,Pau Gasol,Pau Gasol,2200,LAL,18494.0,308.0,18.0,558.0,555.0,133.0,134.0,67.0,1113.0,16.0,31.0,6.0,14.0,7.0,13.0,15.0,36.0,7.0,25.0,38.0,92.0,29.0,105.0,602.0,7.0,17.0,2.0,16.0,11.0,22.0,10.0,32.0,46.0,30.0,10.0,7.0,24.0,32.0,13.0,2.0,9.0,72.0,5.0,17.0,11.0,26.0,4.0,41.0,24.0,65.0,3.0,3.0,,8.0,1.0,3.0,7.0,1.0,11.0,1.0,1.0,11.0,,28.0,1.0,31.0,2.0,37.0,1.0,14.0,16.0,10.0,,6.0,17.0,13.0,,,32.0,133.0,5.0,0.6052631578947368,0.696969696969697,0.41304347826086957,0.4117647058823529,0.5,0.40860215053763443,0.4117647058823529,0.5,0.47297297297297297,0.42105263157894735,0.5714285714285714,0.07608695652173914,0.0967741935483871,0.1111111111111111,19.0625,0.7272727272727273,0.3076923076923077,0.15294117647058825,0.08629441624365482,0.16923076923076924,0.08064516129032258,0.1574468085106383,0.08494208494208494,0.09836065573770492,0.08823529411764706,0.07352941176470588,0.07692307692307693,0.14583333333333334,0.14285714285714285,0.16666666666666666,0.23255813953488372,0.045454545454545456,0.0625,0.7647058823529411,0.3333333333333333,0.5161290322580645,0.5714285714285714,0.6875,0.3870967741935484,0.4166666666666667,0.46875,0.3333333333333333,0.26881720430107525,0.28,0.28,1.0,0.8235294117647058,0.42857142857142855,0.3333333333333333,0.5909090909090909,0.5384615384615384,0.34408602150537637,0.4369591397849462,0.5279,0.4521045454545454,0.1320754716981132,0.13333333333333333,0.1523809523809524,0.3047619047619048,8.394565217391305,0.23835125448028674,,,,,,,1.0,,,,,,,,,3.0,,7.0,3.0,3.0,,5.0,,4.0,,,,,0.010752688172043012,0.08163265306122448,,,,,,,,,,23.2,,1.0,,,,,8.0,7.0,1.0,1.0,,1.0,,,0.010752688172043012,,,,,,,,,,1.0,,1.0,,,,,2.0,1.0,0.13333333333333333,True,,,,
2440,1610612747,Matt Barnes,Matt Barnes,2440,LAL,1310.0,22.0,-4.0,43.0,44.0,21.0,23.0,4.0,87.0,,2.0,,,,1.0,,1.0,,,,3.0,,,46.0,,,,,,2.0,,,,,,,,1.0,,,,3.0,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,10.638297872340425,,,,,,,,,,,,,,,,,,,,0.4,,,,0.2,,,,,,,,,,,0.3333333333333333,,0.8,0.52249,,0.5493,,,,,2.566666666666667,0.4883720930232558,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,23.1,,2.0,1.0,,,,1.0,,1.0,,,,,,0.4,,,,,,0.3333333333333333,,,,,,,,,,,,,,True,,,,
