EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,FTDefRebounds,DefRebounds,Rebounds,Fouls,NonShootingPenaltyNonTakeFouls,FG3APct,DefFTReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,Loose Ball Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,on,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,LostBallSteals,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveMakes,Clear Path Fouls,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,BlockedCorner3
200769,1610612747,Shannon Brown,Shannon Brown,200769,LAL,259.0,4,-2,10,9,10,9,3.0,19,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,10,0.5,0.5,0.5,0.5,0.5,0.5,15.384615384615383,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.4866,0.4866,0.5,0.5,1.0,9.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201234,1610612747,Trey Johnson,Trey Johnson,201234,LAL,259.0,4,-2,10,9,10,9,3.0,19,,,,,2.0,,2.0,,8,,2.0,,,,,,,,,,,,10,,,,,,,23.076923076923077,,,,0.6666666666666666,,,0.3333333333333333,0.41713333333333336,0.41713333333333336,,,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1610612747,Matt Barnes,Matt Barnes,2440,LAL,259.0,4,-2,10,9,10,9,3.0,19,2.0,2.0,2.0,2.0,,2.0,2.0,4.0,8,2.0,2.0,4.0,2.0,,,,,,,,,4.0,10,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,23.076923076923077,0.6666666666666666,1.0,1.0,,0.6666666666666666,1.0,1.0,0.6341333333333333,0.6341333333333333,,,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,24.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.2857142857142857,0.6666666666666666,1.0,0.5,1.0,1.0,0.7072,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,259.0,4,-2,10,9,10,9,3.0,19,,,,,,,,,8,,,,,,,,,,,,,,10,,,,,,,30.769230769230766,,,,,,,1.0,0.6474,0.6474,,,,,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,,0.5,0.5,23.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.7467,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612747,Joe Smith,Joe Smith,693,LAL,259.0,4,-2,10,9,10,9,3.0,19,,,,,1.0,,1.0,,8,,1.0,,,,,,,,,,,,10,,,,,,,7.692307692307692,,,,1.0,,,,0.2829,0.2829,,,,16.3,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,1.0,0.25,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,19184.0,320,-30,565,569,82,73,78.0,1134,35.0,54.0,6.0,6.0,8.0,57.0,105.0,144.0,620,8.0,9.0,22.0,48.0,6.0,8.0,2.0,18.0,36.0,36.0,4.0,19.0,22.0,82,0.5428571428571428,0.8888888888888888,0.5428571428571428,0.8888888888888888,0.5950413223140496,0.9166666666666666,21.396054628224583,0.5142857142857142,0.6481481481481481,0.6730769230769231,0.0761904761904762,0.6666666666666666,1.0,0.5142857142857142,0.47257333333333323,0.45665555555555554,0.15833333333333333,0.15833333333333333,0.1527777777777778,5.116190476190478,0.14513274336283186,,,,,,7.0,60.0,96.0,33.0,1.0,,0.5384615384615384,,,,15.0,22.0,19.0,32.0,45.0,66.0,24.0,29.0,17.0,36.0,5.0,5.0,,0.5789473684210527,0.7333333333333333,0.59375,0.59375,0.6428571428571429,0.13488372093023257,0.2236842105263158,0.20384615384615384,0.12323943661971831,0.06493506493506493,0.23636363636363636,0.4857142857142857,0.6875,0.6818181818181818,0.5191448275862068,0.3125,,,,,36.0,3.0,2.0,20.0,6.0,0.15,0.1956521739130435,0.17105263157894737,,,,6.0,0.08695652173913043,0.0625,False,18.0,43.0,4.0,30.0,7.0,6.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,17.0,1.0,6.0,4.0,16.0,1.0,1.0,7.0,1.0,1.0,14.0,7.0,1.0,6.0,14.0,9.0,1.0,1.0,1.0,0.05714285714285714,0.037037037037037035,0.09302325581395349,0.06666666666666667,0.25806451612903225,0.10526315789473684,0.14285714285714285,0.16981132075471697,0.2545454545454545,0.19047619047619047,0.11904761904761904,0.6428571428571429,0.4095238095238095,0.4186046511627907,0.46153846153846156,0.7222222222222222,0.5,0.5,0.75,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,17153.0,286,-3,517,518,174,184,75.0,1035,26.0,42.0,6.0,7.0,11.0,41.0,78.0,121.0,562,12.0,18.0,43.0,38.0,20.0,21.0,9.0,43.0,30.0,38.0,5.0,19.0,43.0,174,0.5256410256410257,0.6666666666666666,0.47959183673469385,0.5892857142857143,0.5307017543859649,0.6323529411764706,21.217105263157894,0.42857142857142855,0.6190476190476191,0.65,0.11224489795918367,0.25,0.8571428571428571,0.6326530612244898,0.4558546391752578,0.44954444444444447,0.17699115044247787,0.20652173913043478,0.35537190082644626,6.165384615384617,0.3365570599613153,19.0,9.0,20.0,10.0,18.0,3.0,52.0,65.0,25.0,4.0,0.20408163265306123,0.15789473684210525,0.19387755102040816,0.32142857142857145,27.5,1.0,6.0,3.0,12.0,9.0,44.0,2.0,8.0,11.0,13.0,2.0,,2.0,0.5365853658536586,0.55,0.25,0.32142857142857145,0.32142857142857145,0.04371584699453552,0.1746031746031746,0.2237442922374429,0.051181102362204724,0.0273972602739726,0.18181818181818182,0.6538461538461539,0.42857142857142855,0.16666666666666666,0.505225,0.0743801652892562,1.0,,1.0,2.0,38.0,9.0,8.0,15.0,6.0,0.6,0.24358974358974358,0.27692307692307694,0.01020408163265306,,0.03571428571428571,5.0,0.07042253521126761,0.08771929824561403,False,13.0,25.0,2.0,27.0,,10.0,3.0,1.0,1.0,,9.0,2.0,,3.0,,6.0,1.0,1.0,3.0,10.0,,,2.0,,1.0,4.0,4.0,,,4.0,3.0,,1.0,1.0,0.038461538461538464,0.047619047619047616,0.04,,0.05357142857142857,0.05555555555555555,,0.32558139534883723,0.125,0.15789473684210525,0.06382978723404255,0.75,0.25510204081632654,0.52,0.5416666666666666,0.3076923076923077,0.18181818181818182,0.18181818181818182,0.5,,1.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,9.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0.75,0.2,0.5,0.3,0.21052631578947367,1.0,1.0,1.0,0.15789473684210525,0.15789473684210525,0.6666666666666666,0.14285714285714285,0.5,1.0,1.0,0.2222222222222222,0.16666666666666666,0.047619047619047616,,,,,,,,,,,,,,
1897,1610612747,Metta World Peace,Metta World Peace,1897,LAL,17203.0,287,7,522,522,144,135,66.0,1044,17.0,24.0,5.0,6.0,16.0,26.0,51.0,95.0,567,6.0,12.0,29.0,28.0,16.0,20.0,8.0,44.0,20.0,21.0,3.0,10.0,29.0,144,0.5098039215686274,0.5,0.5,0.5217391304347826,0.5397727272727273,0.58,16.19365609348915,0.3037974683544304,0.7083333333333334,0.7083333333333334,0.20253164556962025,0.2608695652173913,0.8333333333333334,0.6582278481012658,0.4972660256410256,0.5234659090909092,0.11627906976744186,0.1724137931034483,0.30526315789473685,8.796078431372548,0.27586206896551724,21.0,10.0,28.0,11.0,19.0,4.0,24.0,41.0,23.0,5.0,0.35443037974683544,0.3333333333333333,0.26582278481012656,0.43478260869565216,26.014285714285716,4.0,8.0,4.0,10.0,16.0,24.0,8.0,14.0,4.0,17.0,10.0,4.0,3.0,0.46153846153846156,0.5454545454545454,0.4,0.5,0.6153846153846154,0.07253886010362694,0.06451612903225806,0.08695652173913043,0.06772908366533864,0.11594202898550725,0.08695652173913043,0.47058823529411764,0.7272727272727273,0.5,0.48475,0.16842105263157894,7.0,,1.0,1.0,16.0,5.0,3.0,9.0,4.0,0.5555555555555556,0.09523809523809523,0.109375,0.08860759493670886,,0.043478260869565216,3.0,0.05172413793103448,0.06382978723404255,False,5.0,11.0,4.0,16.0,5.0,5.0,3.0,4.0,3.0,1.0,3.0,5.0,,3.0,,4.0,2.0,,1.0,4.0,,,2.0,2.0,2.0,4.0,1.0,1.0,2.0,7.0,4.0,,2.0,2.0,0.058823529411764705,,0.18181818181818182,,0.06896551724137931,0.030303030303030304,,0.0784313725490196,0.09433962264150944,,0.07317073170731707,0.5714285714285714,0.13924050632911392,0.45454545454545453,0.5555555555555556,0.6,0.25,0.26666666666666666,0.25,,1.0,,8.0,1.0,1.0,4.0,9.0,1.0,4.0,21.0,6.0,1.0,7.0,6.0,,1.0,1.0,,,0.7777777777777778,0.32142857142857145,1.0,0.36363636363636365,0.2962962962962963,0.14285714285714285,0.14285714285714285,1.0,0.38095238095238093,0.38095238095238093,0.75,0.09090909090909091,1.0,1.0,,0.4,0.3684210526315789,,1.0,1.0,3.0,3.0,1.0,0.0625,,,,,,,,
200769,1610612747,Shannon Brown,Shannon Brown,200769,LAL,9695.0,162,-30,287,287,86,74,48.0,574,13.0,15.0,5.0,5.0,15.0,20.0,34.0,70.0,336,8.0,10.0,23.0,20.0,5.0,6.0,3.0,13.0,10.0,13.0,1.0,6.0,23.0,86,0.5882352941176471,0.8,0.5169491525423728,0.59375,0.5384615384615384,0.6388888888888888,21.574344023323615,0.2542372881355932,0.8666666666666667,0.9285714285714286,0.2542372881355932,0.3125,1.0,0.6779661016949152,0.49713620689655175,0.49016333333333334,0.09375,0.15384615384615385,0.32857142857142857,9.452941176470588,0.29965156794425085,17.0,5.0,25.0,6.0,17.0,,14.0,19.0,10.0,1.0,0.423728813559322,,0.288135593220339,0.3125,25.116,2.0,2.0,2.0,4.0,9.0,20.0,4.0,3.0,7.0,5.0,6.0,5.0,,0.5,0.5555555555555556,0.5,0.7,0.75,0.030303030303030304,0.1794871794871795,0.125,0.027586206896551724,0.08571428571428572,0.2,0.46153846153846156,0.4,1.0,0.47117499999999995,0.12857142857142856,8.0,,1.0,1.0,7.0,6.0,4.0,9.0,,0.6666666666666666,0.0958904109589041,0.17142857142857143,0.13559322033898305,,0.0625,1.0,0.021739130434782608,0.027777777777777776,False,2.0,4.0,5.0,9.0,2.0,4.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,3.0,2.0,,1.0,4.0,1.0,,1.0,,1.0,2.0,2.0,,,2.0,1.0,,,1.0,0.058823529411764705,0.06666666666666667,,0.07692307692307693,,,,0.05555555555555555,,0.14285714285714285,0.034482758620689655,0.5,0.06779661016949153,0.5,0.5,,0.3333333333333333,0.35714285714285715,0.8,,2.0,,5.0,1.0,1.0,1.0,7.0,1.0,1.0,21.0,,,5.0,1.0,,,,,,1.0,0.28,1.0,0.16666666666666666,0.28,0.25,0.25,1.0,0.29411764705882354,0.29411764705882354,1.0,0.2,1.0,1.0,,0.2,0.29411764705882354,,,,,,,0.06666666666666667,1.0,1.0,,,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,19532.0,326,-1,599,592,157,161,78.0,1191,12.0,20.0,3.0,3.0,26.0,22.0,50.0,82.0,646,6.0,10.0,23.0,18.0,31.0,36.0,19.0,77.0,19.0,21.0,1.0,5.0,23.0,157,0.44,0.6,0.48507462686567165,0.5,0.5324675324675324,0.6052631578947368,12.318840579710145,0.29850746268656714,0.6,0.631578947368421,0.3880597014925373,0.25,1.0,0.5522388059701493,0.4708425373134328,0.39179583333333334,0.07042253521126761,0.09259259259259259,0.2804878048780488,11.816,0.2621035058430718,14.0,2.0,17.0,2.0,14.0,,26.0,27.0,25.0,5.0,0.2537313432835821,,0.208955223880597,0.16666666666666666,25.517647058823528,,1.0,,2.0,,26.0,,1.0,5.0,1.0,14.0,12.0,,0.5909090909090909,0.5909090909090909,,,,0.0045662100456621,0.07246376811594203,0.10276679841897234,0.0035842293906810036,,0.0392156862745098,0.3333333333333333,0.3333333333333333,,0.47409999999999997,,3.0,1.0,,1.0,21.0,6.0,4.0,8.0,4.0,0.75,0.11413043478260869,0.14492753623188406,0.04477611940298507,0.3333333333333333,,,,,False,1.0,4.0,9.0,17.0,,11.0,2.0,5.0,5.0,,5.0,7.0,,,1.0,2.0,2.0,1.0,1.0,10.0,,,,1.0,6.0,2.0,1.0,1.0,,2.0,2.0,,,5.0,0.04,0.05,0.25,,0.015151515151515152,,,0.07547169811320754,0.11290322580645161,0.16666666666666666,,1.0,0.05970149253731343,0.25,0.3333333333333333,1.0,0.34615384615384615,0.34615384615384615,0.8888888888888888,,2.0,,5.0,,,,7.0,,,18.0,3.0,,5.0,2.0,,,4.0,,,0.8571428571428571,0.4117647058823529,,,0.4117647058823529,0.6666666666666666,0.6666666666666666,1.0,0.35714285714285715,0.35714285714285715,0.8,,,,,,0.35714285714285715,,,,,,,,,1.0,,,,,,
