EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChancePointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyPoints,Fg2aBlocked,OffThreePtRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyPointsPct,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,PenaltyTurnovers,Loose Ball Fouls,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffCorner3ReboundPct,SecondChanceAtRimFGM,PenaltyFtPoints,PtsPutbacks,BadPassOutOfBoundsTurnovers,Offensive Fouls,SecondChanceAtRimAccuracy,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,PtsUnassisted3s,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,1752.0,29,-24,61,56,19.0,13.0,12.0,117,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,8.0,3.0,4.0,6.0,67,1.0,1.0,2.0,2.0,4.0,2.0,6.0,2.0,1.0,2.0,1.0,14.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,5.0,7.0,2.0,1.0,19.0,0.125,0.09090909090909091,0.21428571428571427,0.2727272727272727,18.666666666666668,0.5,0.1111111111111111,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.18181818181818182,0.5,0.5,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.5,0.45454545454545453,0.43994090909090916,0.4102,0.21428571428571427,0.2,0.25,11.6125,25.366666666666664,0.3114754098360656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1499,1610612755,Tony Battie,Tony Battie,1499,PHI,1064.0,18,-17,33,34,7.0,4.0,3.0,67,,,1.0,2.0,,,,1.0,3.0,,1.0,3.0,38,,,,,,,,,,,,,2.0,,5.0,6.0,,,3.0,3.0,2.0,2.0,1.0,,7.0,0.3333333333333333,0.3333333333333333,0.375,,11.428571428571429,,0.14285714285714285,0.22727272727272727,0.2,0.25,,,,0.3333333333333333,0.6666666666666666,,,,,0.38916666666666666,,0.25,0.25,,15.366666666666667,,0.21212121212121213,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.06666666666666667,0.375,0.05263157894736842,0.16666666666666666,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
201152,1610612755,Thaddeus Young,Thaddeus Young,201152,PHI,2663.0,44,-27,90,84,17.0,22.0,13.0,174,5.0,11.0,3.0,1.0,,,,6.0,15.0,,3.0,15.0,86,2.0,,2.0,,1.0,,1.0,,1.0,,,2.0,3.0,1.0,5.0,11.0,1.0,,4.0,5.0,5.0,5.0,3.0,,17.0,0.4,0.4,0.4411764705882353,,20.0,0.5,0.1,0.08695652173913043,0.2222222222222222,,0.7333333333333333,0.45454545454545453,0.5,0.2,0.06666666666666667,,,,0.7333333333333333,0.46101333333333344,0.6508,0.17647058823529413,0.17647058823529413,,4.680000000000001,,0.18888888888888888,1.0,,2.0,10.0,4.0,1.0,6.0,,,,,,,0.8333333333333334,0.8333333333333334,0.25,0.1,0.0625,0.11320754716981132,0.11764705882352941,0.07142857142857142,,0.3333333333333333,0.5,1.0,0.13333333333333333,2.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.13333333333333333,0.09090909090909091,0.3333333333333333,0.75,0.15384615384615385,0.08333333333333333,0.09090909090909091,0.2857142857142857,0.125,0.14285714285714285,0.8,0.6666666666666666,1.0,1.0,0.3952,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
201975,1610612755,Jodie Meeks,Jodie Meeks,201975,PHI,7480.0,125,-14,233,227,32.0,32.0,32.0,460,2.0,4.0,1.0,8.0,4.0,1.0,14.0,5.0,13.0,18.0,5.0,39.0,240,1.0,3.0,4.0,14.0,1.0,3.0,4.0,2.0,,1.0,,11.0,3.0,,8.0,10.0,3.0,2.0,4.0,6.0,3.0,6.0,2.0,,32.0,0.38461538461538464,0.5483870967741935,0.5606060606060606,0.5806451612903226,13.011152416356877,,0.036585365853658534,0.06896551724137931,0.07692307692307693,0.034482758620689655,0.12903225806451613,0.5,0.5,0.03225806451612903,0.25806451612903225,0.12903225806451613,0.45161290322580644,0.25,0.7096774193548387,0.494408064516129,0.527125,0.06060606060606061,0.13333333333333333,,12.153846153846153,24.738888888888887,0.13733905579399142,,,,6.0,2.0,5.0,2.0,,,,,,,0.6,0.6,,0.020202020202020204,0.14705882352941177,0.016129032258064516,0.022727272727272728,0.125,,,,,,,,1.0,,,,3.0,,,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,3.0,2.0,,,,0.375,0.375,,,,0.5,,0.04,,,,,,,0.25,,0.5838,0.07692307692307693,3.0,2.0,1.0,6.0,1.0,1.0,2.0,8.0,2.0,1.0,24.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.14285714285714285,0.2,0.375,0.375,1.0,0.5,0.5,1.0,0.42857142857142855,0.5,1.0,0.5,0.5,0.5,0.5,0.42857142857142855,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
202323,1610612755,Evan Turner,Evan Turner,202323,PHI,1330.0,22,-19,44,41,21.0,13.0,6.0,85,,1.0,2.0,6.0,,,1.0,3.0,9.0,1.0,,9.0,49,6.0,1.0,4.0,1.0,,,,,,,,,4.0,,6.0,8.0,1.0,1.0,1.0,1.0,,,,,21.0,0.3333333333333333,0.45,0.45,0.1,20.0,,0.4,0.3,0.6,,0.1,,,0.2,0.6,,0.1,,0.2,0.4153300000000001,0.43822857142857147,,,,13.544444444444444,25.3,0.4772727272727273,1.0,,2.0,2.0,,2.0,2.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,0.2,0.08333333333333333,,0.125,,0.5,1.0,,0.2222222222222222,,,1.0,1.0,1.0,2.0,7.0,2.0,2.0,,,,,,,,,,,,7.0,,1.0,0.3333333333333333,1.0,0.5,0.5,0.2222222222222222,1.0,0.5,,0.4,,,0.3333333333333333,0.3333333333333333,,,,0.14285714285714285,,0.4261,0.7777777777777778,2.0,,,1.0,,1.0,1.0,1.0,,1.0,3.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,0.5,0.3333333333333333,0.3333333333333333,0.5,,,,1.0,1.0,1.0,,,0.14285714285714285,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,5968.0,99,7,186,181,13.0,15.0,26.0,367,9.0,11.0,1.0,13.0,3.0,,6.0,13.0,25.0,9.0,7.0,39.0,185,4.0,1.0,14.0,6.0,21.0,4.0,25.0,2.0,9.0,6.0,6.0,54.0,6.0,1.0,12.0,18.0,3.0,2.0,5.0,11.0,8.0,10.0,5.0,,13.0,0.52,0.47058823529411764,0.5,0.2647058823529412,21.75925925925926,0.16666666666666666,0.08695652173913043,0.11956521739130435,,0.037037037037037035,0.3235294117647059,0.8181818181818182,0.8181818181818182,0.029411764705882353,0.38235294117647056,0.08823529411764706,0.17647058823529413,,0.5882352941176471,0.5027617647058824,0.37678,0.1282051282051282,0.16666666666666666,,10.668,24.288888888888888,0.06989247311827956,,1.0,7.0,12.0,6.0,5.0,6.0,,2.0,1.0,1.0,2.0,,0.46153846153846156,0.6,0.5833333333333334,0.07792207792207792,0.21739130434782608,0.0625,0.06060606060606061,0.13333333333333333,,,,,0.1794871794871795,4.0,,,3.0,4.0,2.0,5.0,1.0,,,1.0,4.0,3.0,4.0,1.0,,8.0,2.0,1.0,,5.0,,0.75,0.5,0.6,0.4,0.4166666666666667,0.04,,1.0,0.5,,0.047619047619047616,0.13043478260869565,,0.22727272727272727,,0.5555555555555556,0.8,,,0.52965,0.1282051282051282,4.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,6.0,1.0,,2.0,,1.0,,1.0,0.2222222222222222,,0.2222222222222222,,,0.375,0.3076923076923077,0.3076923076923077,0.25,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,1.0,,0.2,0.2,,0.16666666666666666,,3.0,1.0,6.0,2.0,2.0,0.75,,,,,,,,,,,,,True,,,,,,,,,
1882,1610612755,Elton Brand,Elton Brand,1882,PHI,6105.0,102,7,186,182,17.0,24.0,26.0,368,5.0,10.0,23.0,12.0,,,,23.0,45.0,,7.0,53.0,191,4.0,,18.0,,,1.0,1.0,1.0,,,,3.0,14.0,2.0,21.0,30.0,2.0,2.0,5.0,9.0,6.0,9.0,4.0,,17.0,0.5111111111111111,0.5111111111111111,0.5408163265306123,,23.394495412844034,0.2857142857142857,0.21212121212121213,0.21348314606741572,0.15,0.2727272727272727,0.2222222222222222,0.5,0.625,0.5111111111111111,0.26666666666666666,,,,0.2222222222222222,0.44630222222222216,0.47414999999999996,0.08333333333333333,0.08333333333333333,,10.071111111111112,,0.0913978494623656,14.0,3.0,9.0,28.0,8.0,5.0,9.0,1.0,2.0,2.0,,2.0,1.0,0.6086956521739131,0.6666666666666666,0.75,0.1,0.21739130434782608,0.09278350515463918,0.10526315789473684,0.26666666666666666,0.5,0.6086956521739131,0.6086956521739131,0.5,0.16981132075471697,1.0,,,3.0,4.0,2.0,6.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,,1.0,6.0,2.0,0.75,0.5,0.75,0.5,0.6,0.044444444444444446,0.2,,0.5,0.058823529411764705,0.05263157894736842,0.13043478260869565,0.07692307692307693,0.20833333333333334,0.05263157894736842,0.6,0.25,,,0.551275,0.11320754716981132,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,0.125,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,1.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,
201150,1610612755,Spencer Hawes,Spencer Hawes,201150,PHI,3934.0,66,20,111,114,3.0,4.0,15.0,225,6.0,8.0,8.0,7.0,,,1.0,10.0,23.0,1.0,2.0,22.0,120,,,4.0,1.0,5.0,2.0,7.0,2.0,4.0,,1.0,16.0,7.0,1.0,9.0,11.0,,,5.0,7.0,3.0,4.0,2.0,,3.0,0.43478260869565216,0.4166666666666667,0.4230769230769231,0.041666666666666664,21.09375,0.25,0.15555555555555556,0.12903225806451613,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.75,1.0,0.3333333333333333,0.2916666666666667,,0.041666666666666664,,0.375,0.45830208333333333,,0.07692307692307693,0.08,,8.195652173913043,26.9,0.02702702702702703,2.0,2.0,6.0,16.0,2.0,1.0,2.0,,2.0,2.0,,2.0,2.0,0.8,1.0,0.6,0.045454545454545456,0.058823529411764705,0.037037037037037035,,,1.0,0.25,0.25,1.0,0.2727272727272727,2.0,,,2.0,4.0,,,3.0,,,,1.0,,,1.0,,1.0,,,,,,0.5,,0.5,,,0.13043478260869565,0.25,,1.0,,0.2222222222222222,,,0.2,,0.6666666666666666,0.5,,,0.47425,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.2857142857142857,0.3333333333333333,1.0,,,,,,,,,,,,,2.0,,4.0,,,1.0,,2.0,,0.14285714285714285,,,,,,,,,True,,,,,,,,,
201950,1610612755,Jrue Holiday,Jrue Holiday,201950,PHI,6048.0,101,3,187,182,22.0,29.0,24.0,369,5.0,7.0,8.0,6.0,3.0,1.0,10.0,9.0,21.0,13.0,6.0,36.0,191,1.0,2.0,10.0,10.0,11.0,3.0,14.0,3.0,5.0,2.0,4.0,31.0,9.0,1.0,11.0,12.0,7.0,6.0,,2.0,7.0,8.0,4.0,,22.0,0.42857142857142855,0.4411764705882353,0.47368421052631576,0.38235294117647056,21.69811320754717,0.14285714285714285,0.13636363636363635,0.1111111111111111,0.05,0.18181818181818182,0.20588235294117646,0.7142857142857143,0.8333333333333334,0.23529411764705882,0.17647058823529413,0.08823529411764706,0.29411764705882354,0.3333333333333333,0.5882352941176471,0.4955264705882353,0.47156666666666663,0.10526315789473684,0.16,,9.485714285714286,24.9,0.11764705882352941,2.0,,3.0,8.0,1.0,1.0,1.0,,1.0,1.0,,2.0,2.0,0.4444444444444444,0.4444444444444444,1.5,0.013513513513513514,0.041666666666666664,0.010526315789473684,,0.06666666666666667,1.0,0.25,0.3333333333333333,,0.08333333333333333,,,,,,1.0,2.0,3.0,,,1.0,7.0,6.0,1.0,1.0,,8.0,2.0,,,2.0,,,1.0,1.5,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.25,0.875,,,0.045454545454545456,,0.16666666666666666,,0.8,,,,0.57705,0.05555555555555555,2.0,,,4.0,1.0,,1.0,4.0,1.0,,12.0,4.0,,,,,,1.0,0.3076923076923077,,0.3076923076923077,,,,0.3333333333333333,0.3333333333333333,,,,,0.4,0.4,1.0,,1.0,0.3333333333333333,,0.4,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,
201578,1610612755,Marreese Speights,Marreese Speights,201578,PHI,896.0,15,-3,30,30,9.0,,3.0,60,1.0,5.0,1.0,5.0,,,,2.0,11.0,,,4.0,27,3.0,,,,1.0,,1.0,,1.0,,,2.0,4.0,1.0,5.0,6.0,,,2.0,2.0,,,,,9.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,,33.33333333333333,1.0,0.5,0.3333333333333333,,0.5,0.45454545454545453,0.2,0.25,0.09090909090909091,0.45454545454545453,,,,0.45454545454545453,0.4768545454545455,0.4313,,,,9.327272727272726,,0.3,,,,4.0,1.0,,1.0,,,,,,,1.0,1.0,,0.06666666666666667,,0.058823529411764705,0.14285714285714285,,,,,,,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,2.0,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.2,,,,,,,1.0,,1.0,1.0,0.6666666666666666,0.5,0.6061,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
