EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,ShortMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGA,PenaltyFG3A,PtsUnassisted3s,Corner3Assists,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,Fg3aBlocked,SecondChanceTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,Blocked3s,BlockedCorner3,DefensiveGoaltends,Defensive 3 Seconds Violations,OffCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyCorner3FGA,Corner3PctBlocked,PenaltyCorner3Frequency,HeaveMakes,StepOutOfBoundsTurnovers,Charge Fouls Drawn,3SecondViolations,on,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3PctAssisted
200758,1610612741,Ronnie Brewer,Ronnie Brewer,200758,CHI,10489.0,175,-16.0,296,321,69.0,97,38.0,617,8.0,10.0,1.0,1.0,1.0,1.0,2.0,5.0,14.0,1.0,1.0,1.0,3.0,1.0,1.0,13.0,26.0,2.0,4.0,10.0,42.0,313,1.0,3.0,1.0,1.0,5.0,4.0,9.0,5.0,13.0,22.0,4.0,6.0,2.0,3.0,1.0,1.0,10.0,2.0,12.0,2.0,1.0,3.0,6.0,26.0,3.0,8.0,14.0,22.0,3.0,25.0,9.0,4.0,5.0,2.0,1.0,2.0,1.0,3.0,5.0,9.0,8.0,1.0,1.0,12.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,9.0,66.0,2.0,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.4444444444444444,0.5333333333333333,0.625,0.4444444444444444,0.5833333333333334,0.625,0.5416666666666666,0.13333333333333333,0.038461538461538464,0.1,11.046511627906977,0.6666666666666666,0.11965811965811966,0.02857142857142857,0.2222222222222222,0.1437908496732026,0.022388059701492536,0.07142857142857142,0.018518518518518517,0.12121212121212122,0.05405405405405406,0.1702127659574468,0.25,0.5,0.3333333333333333,0.8,0.8888888888888888,0.75,0.06666666666666667,0.4666666666666667,0.35714285714285715,0.35714285714285715,1.0,0.03333333333333333,1.0,1.0,1.0,0.1,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,0.1111111111111111,1.0,0.4666666666666667,0.3333333333333333,0.4864033333333333,0.4555875,0.40665555555555555,0.0625,0.07142857142857142,0.11904761904761904,0.30952380952380953,11.61923076923077,24.7,0.23310810810810811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,5580.0,93,16.0,160,175,41.0,58,20.0,335,4.0,13.0,2.0,7.0,,,2.0,,1.0,,,,,,,4.0,16.0,,,11.0,19.0,162,2.0,8.0,,,9.0,,1.0,5.0,5.0,6.0,2.0,,2.0,,,2.0,1.0,1.0,2.0,1.0,1.0,,,5.0,10.0,6.0,15.0,23.0,11.0,34.0,3.0,,3.0,1.0,,,2.0,3.0,4.0,12.0,10.0,1.0,1.0,14.0,5.0,2.0,9.0,7.0,,2.0,9.0,2.0,5.0,38.0,2.0,1.0,0.75,1.0,,,,,0.25,0.25,,0.25,0.25,,0.41304347826086957,0.4090909090909091,0.625,,0.125,0.07692307692307693,13.612565445026178,0.3333333333333333,0.2112676056338028,0.16393442622950818,0.375,0.2413793103448276,0.13095238095238096,0.15789473684210525,0.15384615384615385,0.09090909090909091,0.15,0.3448275862068966,0.38461538461538464,0.2222222222222222,0.8125,0.3076923076923077,0.3333333333333333,0.75,0.125,0.0625,,,,,,,,,,,,0.875,0.2857142857142857,,,,,,0.8125,,0.54235625,0.5484125,0.3642,0.23809523809523808,0.23809523809523808,0.47368421052631576,0.2631578947368421,3.0875,,0.25625,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,0.5,0.043478260869565216,0.1875,0.047619047619047616,0.3333333333333333,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201228,1610612741,C.J. Watson,C.J. Watson,201228,CHI,6672.0,111,-26.0,193,201,17.0,23,23.0,394,6.0,9.0,,,,,4.0,7.0,24.0,1.0,2.0,2.0,10.0,,1.0,14.0,37.0,3.0,12.0,8.0,45.0,208,,1.0,1.0,3.0,3.0,,,4.0,4.0,2.0,26.0,3.0,,10.0,2.0,3.0,20.0,6.0,26.0,3.0,8.0,1.0,11.0,58.0,2.0,3.0,8.0,11.0,2.0,13.0,6.0,3.0,3.0,10.0,1.0,6.0,6.0,16.0,4.0,12.0,12.0,1.0,,9.0,4.0,1.0,,,,,,,4.0,17.0,,1.0,0.07142857142857142,0.07142857142857142,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3783783783783784,,,0.37755102040816324,0.375,,0.42452830188679247,0.375,0.5,0.24489795918367346,0.08108108108108109,0.2222222222222222,30.803571428571427,0.625,0.11267605633802817,0.030303030303030304,0.13636363636363635,0.11827956989247312,0.02247191011235955,0.07142857142857142,0.025,,0.13636363636363635,0.16666666666666666,0.16666666666666666,,0.1836734693877551,0.6666666666666666,0.8571428571428571,,0.08163265306122448,0.4897959183673469,0.2916666666666667,0.2916666666666667,0.14285714285714285,0.04081632653061224,0.5,0.5,,0.20408163265306123,0.2,0.2,0.5,,,0.25,,,,,0.42857142857142855,0.2,0.46246122448979604,0.642075,0.40312499999999996,0.07692307692307693,0.1,0.06666666666666667,0.08888888888888889,13.927027027027027,25.0,0.08808290155440414,,,,1.0,1.0,4.0,,2.0,1.0,,0.25,,,,,,0.038461538461538464,,1.0,1.0,2.0,2.0,2.0,6.0,3.0,3.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201565,1610612741,Derrick Rose,Derrick Rose,201565,CHI,11085.0,185,36.0,325,333,120.0,131,51.0,658,18.0,35.0,,2.0,4.0,13.0,20.0,10.0,26.0,,,10.0,38.0,1.0,3.0,34.0,81.0,10.0,38.0,34.0,132.0,302,2.0,8.0,1.0,3.0,9.0,10.0,27.0,14.0,40.0,8.0,60.0,15.0,,33.0,10.0,10.0,29.0,7.0,36.0,5.0,14.0,,15.0,79.0,1.0,3.0,10.0,13.0,5.0,18.0,8.0,4.0,4.0,9.0,2.0,7.0,9.0,18.0,8.0,15.0,24.0,,,44.0,15.0,5.0,4.0,1.0,1.0,2.0,4.0,2.0,38.0,117.0,,3.0,0.11764705882352941,0.11764705882352941,0.5,0.2631578947368421,0.3333333333333333,0.30303030303030304,0.41975308641975306,0.25,0.37037037037037035,0.4117647058823529,0.3181818181818182,0.28888888888888886,0.4712230215827338,0.375,0.37735849056603776,0.31932773109243695,0.12345679012345678,0.22857142857142856,40.310077519379846,0.5,0.07352941176470588,0.008264462809917356,0.09090909090909091,0.07692307692307693,0.030120481927710843,0.024390243902439025,,0.05263157894736842,0.023255813953488372,0.12727272727272726,0.1111111111111111,0.5,0.29411764705882354,0.5142857142857142,0.6666666666666666,0.2222222222222222,0.16806722689075632,0.2184873949579832,0.38461538461538464,0.4,,,,,,0.31932773109243695,0.2631578947368421,0.2702702702702703,0.5,0.18181818181818182,,0.2727272727272727,0.3333333333333333,1.0,0.28888888888888886,0.3076923076923077,0.6134453781512605,0.30303030303030304,0.46770575221238936,0.4522375,0.4546269230769231,0.11940298507462686,0.15789473684210525,0.06818181818181818,0.30303030303030304,9.354320987654322,30.63684210526316,0.36923076923076925,2.0,4.0,,1.0,1.0,2.0,,3.0,,,0.05,,0.08888888888888889,,0.10810810810810811,,0.018867924528301886,,6.0,,,18.0,18.0,15.0,2.0,5.0,1.0,1.0,0.3,0.3157894736842105,,,0.4,2.0,2.0,5.0,1.0,2.0,2.0,1.0,0.1111111111111111,0.02631578947368421,0.038461538461538464,0.02631578947368421,0.1111111111111111,0.02564102564102564,,,,,,,,,,,,,,,True,,,,,
201959,1610612741,Taj Gibson,Taj Gibson,201959,CHI,17015.0,284,23.0,496,513,137.0,154,69.0,1009,26.0,32.0,9.0,12.0,8.0,9.0,13.0,14.0,30.0,,,,1.0,,,43.0,75.0,,1.0,9.0,95.0,486,12.0,17.0,,,25.0,12.0,21.0,3.0,27.0,62.0,24.0,,16.0,,,2.0,7.0,2.0,9.0,2.0,6.0,,1.0,20.0,19.0,5.0,24.0,40.0,26.0,66.0,5.0,3.0,2.0,6.0,1.0,5.0,8.0,14.0,22.0,32.0,15.0,,,15.0,8.0,1.0,21.0,18.0,,3.0,22.0,14.0,27.0,134.0,,1.0,0.7209302325581395,0.8857142857142857,,,,,0.5733333333333334,0.7058823529411765,0.5714285714285714,0.5657894736842105,0.7058823529411765,0.5454545454545454,0.5792682926829268,0.6944444444444444,0.5625,0.013157894736842105,0.02666666666666667,,16.46655231560892,0.42857142857142855,0.12060301507537688,0.10857142857142857,0.09615384615384616,0.11553784860557768,0.1087866108786611,0.17307692307692307,0.07228915662650602,0.08928571428571429,0.16666666666666666,0.10843373493975904,0.06976744186046512,0.6363636363636364,0.42105263157894735,0.8125,0.8125,0.5384615384615384,0.17105263157894737,0.39473684210526316,0.4666666666666667,0.4827586206896552,1.0,,,,,0.013157894736842105,,,,0.7058823529411765,0.75,,,,0.4090909090909091,0.8888888888888888,0.4342105263157895,,0.471632,0.5171866666666668,0.44944285714285714,0.09876543209876543,0.1,0.2631578947368421,0.28421052631578947,9.317333333333334,59.5,0.2762096774193548,1.0,7.0,11.0,,1.0,1.0,,,2.0,2.0,0.07692307692307693,0.6111111111111112,0.109375,0.1,0.07692307692307693,0.2222222222222222,,,3.0,,,1.0,1.0,,,2.0,3.0,3.0,0.23076923076923078,0.25,,,0.045454545454545456,,,1.0,,3.0,,,,,0.03333333333333333,,,,2.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,True,,,,,
2594,1610612741,Kyle Korver,Kyle Korver,2594,CHI,7376.0,123,16.0,227,222,62.0,67,27.0,449,2.0,4.0,,,1.0,3.0,1.0,6.0,18.0,1.0,4.0,7.0,21.0,3.0,5.0,8.0,23.0,8.0,25.0,2.0,42.0,210,,2.0,3.0,5.0,9.0,1.0,4.0,,8.0,14.0,2.0,24.0,,21.0,7.0,,6.0,2.0,8.0,1.0,5.0,,1.0,18.0,,,7.0,7.0,,7.0,6.0,4.0,2.0,3.0,1.0,1.0,5.0,8.0,5.0,14.0,5.0,1.0,,2.0,,,,,,,,,8.0,62.0,1.0,,0.875,0.875,1.0,0.32,0.6,0.32,0.34782608695652173,,0.25,0.4166666666666667,0.6428571428571429,0.4,0.4166666666666667,0.6428571428571429,0.4,0.5208333333333334,,,21.455938697318008,0.375,0.08235294117647059,,,0.06796116504854369,,,,0.1,,0.12195121951219512,,,0.08333333333333333,0.5,0.5,0.5,0.020833333333333332,0.375,0.3333333333333333,0.3333333333333333,1.0,0.08333333333333333,0.25,0.3333333333333333,1.0,0.4375,0.3333333333333333,0.3333333333333333,1.0,,,0.7142857142857143,0.6,1.0,0.3,0.3333333333333333,0.6041666666666666,0.3333333333333333,0.4827083333333333,0.47489,0.505775,,,0.21428571428571427,0.19047619047619047,15.195652173913047,25.28,0.27312775330396477,,,,,1.0,2.0,,,,,,,,,,,,,,,,5.0,6.0,,1.0,2.0,1.0,,,,,,0.5,2.0,2.0,,1.0,1.0,2.0,,0.3333333333333333,0.04,,,0.4,,2.0,,,,,,,1.0,0.25,0.1,,,,,True,,,,,
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,13486.0,225,50.0,389,401,117.0,128,60.0,790,12.0,17.0,3.0,3.0,1.0,1.0,7.0,8.0,18.0,4.0,11.0,7.0,18.0,1.0,3.0,21.0,42.0,11.0,29.0,20.0,95.0,370,3.0,3.0,1.0,4.0,14.0,4.0,8.0,10.0,21.0,32.0,10.0,30.0,2.0,16.0,6.0,3.0,11.0,7.0,18.0,7.0,7.0,,4.0,43.0,6.0,6.0,20.0,28.0,6.0,34.0,8.0,6.0,2.0,6.0,1.0,3.0,4.0,10.0,2.0,12.0,26.0,4.0,,27.0,12.0,3.0,2.0,,1.0,1.0,2.0,1.0,21.0,114.0,3.0,3.0,0.7619047619047619,0.8,0.9090909090909091,0.3793103448275862,0.25,0.35714285714285715,0.5,1.0,0.5,0.528169014084507,0.6428571428571429,0.2894736842105263,0.572289156626506,0.7,0.42,0.4084507042253521,0.07142857142857142,0.11764705882352941,20.12987012987013,0.6,0.12195121951219512,0.04316546762589928,0.14634146341463414,0.12682926829268293,0.031413612565445025,0.020833333333333332,0.05084745762711865,0.10204081632653061,0.1836734693877551,0.09090909090909091,0.125,0.5,0.23943661971830985,0.7058823529411765,0.8,0.6666666666666666,0.09859154929577464,0.2535211267605634,0.4444444444444444,0.4444444444444444,1.0,0.15492957746478872,0.36363636363636365,0.36363636363636365,1.0,0.2535211267605634,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.42857142857142855,1.0,0.42857142857142855,0.3333333333333333,1.0,0.05263157894736842,1.0,0.647887323943662,0.375,0.4807007142857142,0.5582083333333333,0.4304138888888889,0.15,0.23529411764705882,0.14736842105263157,0.22105263157894736,10.06666666666667,25.627586206896552,0.30077120822622105,5.0,,2.0,2.0,,3.0,,1.0,1.0,,0.14285714285714285,0.14285714285714285,,0.0625,,0.2222222222222222,0.058823529411764705,0.6666666666666666,1.0,,1.0,8.0,11.0,3.0,,4.0,1.0,3.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,,0.42105263157894735,1.0,1.0,1.0,,,,,0.09090909090909091,,,,0.125,,,,,,,,,3.0,,0.15789473684210525,1.0,1.0,1.0,,True,,,,,
2586,1610612741,Keith Bogans,Keith Bogans,2586,CHI,1751.0,29,9.0,51,55,19.0,11,8.0,106,,1.0,,1.0,,1.0,,,,,1.0,2.0,4.0,1.0,1.0,,1.0,2.0,5.0,,6.0,51,,1.0,1.0,1.0,3.0,,1.0,,6.0,,,6.0,,4.0,2.0,1.0,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,6.0,19.0,,,,,1.0,0.4,1.0,0.4,,,,0.5,0.75,0.75,0.5,0.75,0.75,0.8333333333333334,1.0,1.0,10.9375,,0.043478260869565216,,,0.034482758620689655,0.03571428571428571,,,,0.2,,,,0.16666666666666666,,,,,,,,,0.16666666666666666,,,,0.6666666666666666,0.5,0.5,1.0,0.5,,0.5,1.0,1.0,0.25,,1.0,0.5,0.577175,0.5319,0.5668875,,,0.5,1.0,0.9,24.82,0.37254901960784315,,1.0,,,1.0,,,,,,,,0.1111111111111111,,0.125,,,,,,,2.0,3.0,,,,,,,,,,0.5,2.0,2.0,,,,,,0.6666666666666666,,,,1.0,,,,,,,,,1.0,,0.25,,,,,True,,,,,
703,1610612741,Kurt Thomas,Kurt Thomas,703,CHI,2258.0,38,1.0,71,70,20.0,26,10.0,141,,,,,,,2.0,3.0,6.0,,,,1.0,,,4.0,8.0,,1.0,,8.0,70,1.0,2.0,,,2.0,,,,,8.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,3.0,3.0,1.0,6.0,7.0,4.0,11.0,,,,1.0,,1.0,,1.0,4.0,7.0,,,,,,,3.0,1.0,,2.0,3.0,2.0,,20.0,1.0,,1.0,1.0,,,,,0.5,0.5,,0.4444444444444444,0.5,,0.4444444444444444,0.5,,0.1111111111111111,0.125,,12.82051282051282,1.0,0.24,0.16666666666666666,0.14285714285714285,0.21875,0.14285714285714285,0.25,0.1,0.5,0.18181818181818182,0.2,0.16666666666666666,0.6666666666666666,,,,,0.2222222222222222,0.6666666666666666,0.5,0.5,1.0,,,,,0.1111111111111111,,,,,,,,,,,0.1111111111111111,,0.3664388888888889,0.3823,,,,0.25,,15.85,26.9,0.28169014084507044,,1.0,,,,,1.0,,1.0,,0.5,,0.1,0.25,,,,,1.0,,,,,,,,,,0.5,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,0.5,1.0,,,,,,,,True,,,,,
201600,1610612741,Omer Asik,Omer Asik,201600,CHI,7038.0,117,-12.0,199,207,62.0,52,27.0,406,4.0,10.0,1.0,4.0,,2.0,,,,,,,,,,4.0,10.0,,,2.0,10.0,199,1.0,4.0,,,4.0,,2.0,,,8.0,,,,,,2.0,1.0,,1.0,,1.0,,,2.0,7.0,5.0,14.0,19.0,9.0,28.0,1.0,1.0,,4.0,,2.0,3.0,7.0,12.0,19.0,12.0,,,7.0,3.0,2.0,5.0,1.0,,4.0,5.0,1.0,,62.0,1.0,2.0,1.0,1.0,,,,,0.4,0.25,,0.4,0.25,,0.38461538461538464,0.3333333333333333,,,0.2,0.2,8.119658119658121,0.5714285714285714,0.1728395061728395,0.0945945945945946,0.25,0.18811881188118812,0.09375,0.13043478260869565,0.1,0.21739130434782608,0.15384615384615385,0.15625,0.23529411764705882,0.2,1.0,0.4,0.5,1.0,,,,,,,,,,,,,,1.0,0.25,,,,1.0,,1.0,,0.53465,0.56655,0.45525000000000004,0.2727272727272727,0.2727272727272727,0.4,,1.94,,0.31155778894472363,2.0,2.0,,1.0,1.0,2.0,,,,7.0,,,0.09090909090909091,,0.1111111111111111,0.3333333333333333,0.25,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,
