EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls,Offensive Fouls Drawn,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PtsPutbacks,HeaveAttempts,BlockedAtRim,BlockedShortMidRange,Defensive 3 Seconds Violations,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,SecondChanceFtPoints,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg3aBlocked,Loose Ball Fouls Drawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,on,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
101144,1610612738,Von Wafer,Von Wafer,101144,BOS,308.0,5,-3,10,10,1.0,8.0,1.0,20,1.0,1.0,1.0,1.0,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,18.181818181818183,0.3333333333333333,0.2,0.3333333333333333,0.5,0.5,1.0,0.463825,2.6,25.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,4738.0,79,-29,159,154,79.0,74.0,14.0,313,8.0,8.0,29.0,8.0,171,8.0,3.0,2.0,9.0,11.0,6.0,79.0,0.21621621621621623,0.10344827586206896,,28.32369942196532,0.08695652173913043,0.11267605633802817,0.13333333333333333,0.21621621621621623,0.21621621621621623,0.43243243243243246,0.4366391891891892,10.265517241379309,25.7,0.4968553459119497,7.0,5.0,5.0,3.0,10.0,4.0,11.0,2.0,1.0,6.0,14.0,2.0,7.0,41.0,1.0,2.0,2.0,10.0,17.0,1.0,6.0,4.0,27.0,14.0,14.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,13.0,1.0,1.0,6.0,1.0,2.0,1.0,4.0,2.0,2.0,5.0,1.0,3.0,4.0,2.0,1.0,9.0,1.0,5.0,4.0,9.0,2.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,27.0,2.0,1.0,0.5,0.5,0.5,0.25,0.16666666666666666,0.25,0.4827586206896552,0.5,0.5882352941176471,0.4594594594594595,0.5,0.5,0.5125,0.5,0.54,0.1,0.18181818181818182,0.5555555555555556,0.25,0.125,0.020833333333333332,0.0625,0.03125,0.07142857142857142,0.1,0.05,0.25,0.125,0.0625,1.0,0.875,0.875,0.42857142857142855,0.2702702702702703,0.3,0.3333333333333333,0.6666666666666666,0.2972972972972973,0.36363636363636365,0.4444444444444444,0.5,0.25,0.25,0.5,0.21739130434782608,1.0,0.2608695652173913,0.16666666666666666,0.25,0.39095,0.44237173913043476,0.07692307692307693,0.0967741935483871,0.04878048780487805,0.6585365853658537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,6257.0,104,1,200,198,75.0,83.0,21.0,398,17.0,1.0,28.0,2.0,201,1.0,2.0,6.0,15.0,17.0,12.0,75.0,0.06666666666666667,0.07142857142857142,0.11764705882352941,21.71945701357466,0.1875,0.125,0.21052631578947367,0.5666666666666667,0.03333333333333333,0.6333333333333333,0.47471166666666664,6.896428571428572,23.9,0.375,9.0,4.0,6.0,3.0,4.0,3.0,7.0,,,1.0,15.0,,10.0,40.0,,,,8.0,11.0,,2.0,8.0,24.0,6.0,24.0,,,,17.0,11.0,28.0,3.0,8.0,67.0,,2.0,7.0,2.0,2.0,,3.0,2.0,1.0,6.0,4.0,4.0,6.0,2.0,,12.0,1.0,6.0,1.0,9.0,,2.0,1.0,14.0,2.0,6.0,2.0,,,,,,,24.0,1.0,2.0,0.2,0.2,,,,,0.5357142857142857,,0.7272727272727273,0.5,,0.6153846153846154,0.5555555555555556,,0.6666666666666666,,,0.5,0.2222222222222222,0.09722222222222222,0.03225806451612903,,0.02666666666666667,,,0.030303030303030304,0.15,0.15789473684210525,,,0.5294117647058824,0.6,0.1111111111111111,0.13333333333333333,0.75,0.75,,0.23333333333333334,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,,0.46153846153846156,0.6666666666666666,0.07692307692307693,,,0.4449,0.4430884615384615,0.17647058823529413,0.1875,,0.6,1.0,1.0,1.0,1.0,8.0,3.0,6.0,1.0,1.0,1.0,2.0,0.08695652173913043,0.15384615384615385,0.03333333333333333,1.0,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
201145,1610612738,Jeff Green,Jeff Green,201145,BOS,10352.0,173,-26,323,318,109.0,126.0,34.0,641,18.0,5.0,37.0,16.0,339,2.0,5.0,6.0,18.0,24.0,15.0,109.0,0.3018867924528302,0.13513513513513514,0.1111111111111111,20.27777777777778,0.11764705882352941,0.08441558441558442,0.15151515151515152,0.33962264150943394,0.09433962264150944,0.6415094339622641,0.49026900000000007,7.200000000000001,27.3625,0.33746130030959753,10.0,3.0,5.0,3.0,10.0,3.0,9.0,1.0,,3.0,16.0,7.0,13.0,66.0,1.0,3.0,2.0,4.0,7.0,1.0,6.0,8.0,19.0,22.0,10.0,21.0,,1.0,2.0,,2.0,,,4.0,,6.0,7.0,5.0,6.0,1.0,5.0,4.0,1.0,7.0,,2.0,5.0,5.0,,12.0,,1.0,8.0,20.0,,,,18.0,2.0,9.0,1.0,4.0,,,,4.0,4.0,19.0,4.0,1.0,0.6875,0.7333333333333333,1.0,0.4375,0.16666666666666666,0.5384615384615384,0.43243243243243246,0.3333333333333333,0.5714285714285714,0.5,0.2,0.4230769230769231,0.5409836065573771,0.2,0.5588235294117647,0.3,,0.5833333333333334,0.4166666666666667,0.06796116504854369,0.057692307692307696,,0.044444444444444446,0.08823529411764706,,0.04878048780487805,0.038461538461538464,0.1111111111111111,0.045454545454545456,1.0,0.5555555555555556,0.625,0.8,0.18867924528301888,0.3,0.42857142857142855,,0.16981132075471697,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,1.0,0.38461538461538464,0.6,0.23076923076923078,,0.5,0.5815,0.49002999999999997,0.15,0.20454545454545456,0.030303030303030304,0.2878787878787879,11.0,2.0,3.0,2.0,,,2.0,4.0,2.0,1.0,,0.058823529411764705,0.05555555555555555,0.20754716981132076,0.4,0.23076923076923078,1.0,2.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,0.027777777777777776,0.5454545454545454,0.5454545454545454,1.0,0.4,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,,
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,4114.0,69,11,133,130,46.0,53.0,16.0,263,11.0,,27.0,,130,,2.0,5.0,19.0,23.0,5.0,46.0,,0.07407407407407407,0.09090909090909091,24.832214765100673,0.38461538461538464,0.3157894736842105,0.3333333333333333,0.4074074074074074,,0.4074074074074074,0.4458,7.914814814814815,,0.3458646616541353,6.0,5.0,5.0,2.0,9.0,3.0,7.0,,,,11.0,,7.0,29.0,,5.0,1.0,6.0,10.0,,,2.0,14.0,14.0,8.0,,,,3.0,1.0,4.0,1.0,2.0,9.0,1.0,3.0,13.0,1.0,4.0,,2.0,2.0,,1.0,2.0,1.0,4.0,,1.0,5.0,,2.0,4.0,7.0,,,,10.0,,4.0,1.0,4.0,,,,4.0,2.0,14.0,,1.0,0.6363636363636364,0.6363636363636364,,,,,0.4074074074074074,,0.6,0.4074074074074074,,0.6,0.453125,0.08333333333333333,0.6363636363636364,0.1111111111111111,,0.2,0.16666666666666666,0.29545454545454547,0.08108108108108109,0.058823529411764705,0.07407407407407407,0.07142857142857142,0.07692307692307693,0.1875,0.26666666666666666,0.46153846153846156,,0.5,0.5454545454545454,0.6,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.25,0.5,0.25925925925925924,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,,0.5,1.0,,,,0.47572000000000003,0.4546899999999999,0.12903225806451613,0.12903225806451613,0.034482758620689655,0.4827586206896552,,,,,,,1.0,,,1.0,,,0.42857142857142855,,,,,3.0,,,,,2.0,2.0,,0.13333333333333333,,,,0.6,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,
201175,1610612738,Glen Davis,Glen Davis,201175,BOS,7600.0,127,-39,225,225,63.0,77.0,29.0,450,6.0,1.0,29.0,1.0,252,,3.0,4.0,15.0,19.0,7.0,63.0,0.03333333333333333,0.10344827586206896,0.16666666666666666,15.175097276264593,0.1111111111111111,0.13513513513513514,0.07407407407407407,0.2,0.03333333333333333,0.23333333333333334,0.4082103448275862,11.186206896551726,40.8,0.28,1.0,,,5.0,10.0,6.0,13.0,,,1.0,12.0,,4.0,28.0,3.0,3.0,6.0,3.0,6.0,,1.0,,6.0,12.0,12.0,,,,5.0,3.0,8.0,2.0,3.0,19.0,2.0,1.0,11.0,,4.0,,2.0,2.0,,2.0,,1.0,4.0,1.0,2.0,6.0,,2.0,10.0,12.0,,,,7.0,1.0,4.0,,,,,,,,6.0,1.0,,0.5,0.5,,,,,0.41379310344827586,1.0,0.5,0.4,1.0,0.42857142857142855,0.42424242424242425,1.0,0.42857142857142855,0.2,,0.3333333333333333,,0.14666666666666667,0.012048192771084338,0.1111111111111111,0.0297029702970297,,0.09090909090909091,0.13793103448275862,0.058823529411764705,0.20689655172413793,,,0.16666666666666666,0.2,,0.3333333333333333,0.5,0.625,0.2,0.43333333333333335,0.46153846153846156,0.46153846153846156,0.8333333333333334,,,,,,0.14285714285714285,,,0.38849999999999996,0.3878333333333333,0.12121212121212122,0.125,0.21428571428571427,0.21428571428571427,,,,,1.0,,2.0,,,1.0,2.0,0.03333333333333333,0.2222222222222222,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,True,,,
2211,1610612738,Troy Murphy,Troy Murphy,2211,BOS,183.0,3,-4,7,6,,6.0,1.0,13,,,,,8,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,True,,,
2753,1610612738,Delonte West,Delonte West,2753,BOS,7005.0,117,-34,215,206,67.0,74.0,22.0,421,7.0,11.0,21.0,16.0,223,11.0,3.0,5.0,12.0,13.0,8.0,67.0,0.43243243243243246,0.14285714285714285,0.2857142857142857,20.833333333333336,0.14285714285714285,0.11224489795918367,0.16,0.1891891891891892,0.2972972972972973,0.6216216216216216,0.4583662162162163,11.01904761904762,24.262500000000003,0.3116279069767442,1.0,,1.0,2.0,4.0,7.0,10.0,4.0,,3.0,10.0,6.0,6.0,44.0,,,6.0,2.0,3.0,,4.0,3.0,7.0,4.0,16.0,18.0,,4.0,8.0,,8.0,,2.0,16.0,,1.0,6.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,5.0,2.0,,9.0,2.0,3.0,5.0,12.0,,2.0,,8.0,,3.0,1.0,,,,,,,7.0,3.0,1.0,0.2,0.2,1.0,0.375,,0.375,0.47619047619047616,,0.6666666666666666,0.5135135135135135,0.75,0.2857142857142857,0.5365853658536586,0.75,0.3888888888888889,,0.1,0.4444444444444444,0.16666666666666666,0.09523809523809523,0.013333333333333334,,0.01020408163265306,,,0.125,0.14285714285714285,0.04,0.0625,,0.14285714285714285,0.2,,0.10810810810810811,0.5,0.5,,0.2702702702702703,0.7,0.7777777777777778,0.2857142857142857,0.36363636363636365,0.4,1.0,0.14285714285714285,,0.42857142857142855,,0.36363636363636365,0.519225,0.4256214285714286,0.075,0.125,0.13636363636363635,0.1590909090909091,5.0,,1.0,4.0,,1.0,5.0,1.0,,1.0,,,0.1,0.13513513513513514,,0.14285714285714285,,,2.0,,,,,,,0.038461538461538464,0.4,0.4,1.0,,,,,,,,,2.0,4.0,2.0,1.0,1.0,0.5,0.0625,0.09090909090909091,1.0,0.5,1.0,,,,,,,True,,,
2420,1610612738,Nenad Krstic,Nenad Krstic,2420,BOS,2905.0,48,-12,86,90,25.0,37.0,8.0,176,3.0,,7.0,,99,,,3.0,7.0,12.0,4.0,25.0,,,,11.34020618556701,0.17647058823529413,0.13953488372093023,0.18181818181818182,0.42857142857142855,,0.42857142857142855,0.4842142857142857,10.099999999999998,,0.29069767441860467,3.0,1.0,1.0,,1.0,1.0,3.0,,,,4.0,,2.0,10.0,1.0,1.0,2.0,1.0,2.0,,,2.0,4.0,6.0,2.0,,,,2.0,,2.0,,,4.0,1.0,4.0,3.0,1.0,5.0,,,,,2.0,,,1.0,2.0,,3.0,1.0,1.0,4.0,6.0,,,,3.0,1.0,2.0,,4.0,,,,4.0,2.0,4.0,,,0.75,1.0,,,,,0.5714285714285714,1.0,0.5,0.5714285714285714,1.0,0.5,0.625,1.0,0.6666666666666666,,,0.6666666666666666,0.25,0.11538461538461539,0.125,0.2,0.13513513513513514,0.2857142857142857,0.25,0.3,,,,0.5,1.0,1.0,0.6666666666666666,0.14285714285714285,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,0.5,1.0,,,,,0.515,0.25,0.25,0.2,0.4,,,,,,,2.0,,,1.0,1.0,0.07692307692307693,0.16666666666666666,,,,1.0,1.0,,,2.0,,2.0,2.0,,0.08333333333333333,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,
951,1610612738,Ray Allen,Ray Allen,951,BOS,6699.0,112,4,213,205,69.0,81.0,20.0,418,4.0,14.0,15.0,19.0,212,14.0,1.0,3.0,8.0,11.0,5.0,69.0,0.5588235294117647,0.06666666666666667,,17.372881355932204,0.08571428571428572,0.07920792079207921,,0.11764705882352941,0.4117647058823529,0.6764705882352942,0.5228058823529411,10.546666666666665,24.58947368421052,0.323943661971831,2.0,,,2.0,5.0,3.0,6.0,7.0,1.0,1.0,7.0,10.0,7.0,51.0,3.0,3.0,13.0,,1.0,1.0,3.0,2.0,5.0,8.0,6.0,18.0,12.0,7.0,4.0,2.0,6.0,,2.0,14.0,1.0,2.0,5.0,,3.0,,1.0,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,4.0,9.0,,,,8.0,1.0,3.0,,,,,,,,5.0,1.0,,0.5714285714285714,0.5714285714285714,0.6,0.5263157894736842,0.3333333333333333,0.5263157894736842,0.4666666666666667,1.0,,0.6470588235294118,1.0,0.375,0.6805555555555556,1.0833333333333333,0.5,,0.16666666666666666,0.4,,0.07575757575757576,0.03225806451612903,0.043478260869565216,0.03529411764705882,0.043478260869565216,0.058823529411764705,0.07407407407407407,0.125,0.043478260869565216,,,0.5,0.5,0.5,0.14705882352941177,0.4,0.4,,0.17647058823529413,0.5,0.6,1.0,0.5,0.5384615384615384,0.42857142857142855,,,0.25,1.0,0.5,0.47174166666666667,0.528825,0.08333333333333333,0.17647058823529413,0.2549019607843137,0.09803921568627451,5.0,2.0,2.0,3.0,2.0,,2.0,,,,1.0,0.05555555555555555,0.21428571428571427,0.14705882352941177,0.3333333333333333,0.5,,,3.0,,,,,,,,0.6,0.6,1.0,,,,1.0,,,,,1.0,1.0,2.0,1.0,,0.6666666666666666,0.05263157894736842,0.07142857142857142,0.16666666666666666,1.0,,1.0,1.0,3.0,0.5,1.0,,True,,,
