EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,Usage,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,PenaltyFG2A,Steals,LostBallSteals,ShortMidRangePctBlocked,ShortMidRangeFrequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,NonShootingPenaltyNonTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,TwoPtAssists,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,LiveBallTurnoverPct,Arc3Assists,LongMidRangeFGM,FG2M,PtsUnassisted2s,DefThreePtRebounds,TwoPtShootingFoulsDrawn,Fg2Pct,DefThreePtReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,OffThreePtRebounds,OffRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,on,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyFG2M,OffTwoPtRebounds,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,BlockingFouls,Loose Ball Fouls,BlockedAtRim,DefensiveGoaltends,PenaltyFg2Pct,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,Fg3aBlocked,FTOffRebounds,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,3SecondViolations
101126,1610612760,Nate Robinson,Nate Robinson,101126,OKC,708.0,12,-4.0,25,25,14.0,14.0,1.0,50,1.0,1.0,2.0,5.0,2.0,4.0,1.0,2.0,6.0,2.0,8.0,35,2.0,4.0,2.0,8.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,8.0,14.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.42857142857142855,0.75,0.5,0.8,0.8571428571428571,1.0,1.0,30.769230769230766,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.4,0.4,0.5,1.0,0.5,0.8571428571428571,0.4,0.5084,0.544275,1.0,15.0,24.433333333333334,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612760,Nazr Mohammed,Nazr Mohammed,1737,OKC,367.0,6,-4.0,14,14,14.0,14.0,,28,,,,,,,1.0,,,,,21,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,,,,,,,,1.0,,7.142857142857142,,,,,,,,,,,0.3987,0.3987,,4.8,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612760,Daequan Cook,Daequan Cook,201161,OKC,494.0,8,-7.0,17,18,14.0,14.0,,35,,2.0,,1.0,,1.0,,1.0,3.0,,3.0,28,1.0,3.0,,3.0,3.0,,1.0,,,,,,,,2.0,,,,3.0,14.0,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,,,17.64705882352941,,0.6666666666666666,0.3333333333333333,,,,0.3333333333333333,,1.0,,0.5485,0.5485,1.0,,23.233333333333334,0.8235294117647058,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.125,0.1111111111111111,0.14285714285714285,0.5,0.5,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201953,1610612760,Eric Maynor,Eric Maynor,201953,OKC,494.0,8,-7.0,17,18,14.0,14.0,,35,,,,,,,,,,,,28,,,,,,,,,,2.0,3.0,2.0,8.0,1.0,2.0,,,,,14.0,,,,,,,,,,,,,11.76470588235294,,,,,,,,,,,,,,,,0.8235294117647058,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,1610612760,Royal Ivey,Royal Ivey,2767,OKC,367.0,6,-4.0,14,14,14.0,14.0,,28,,2.0,,,,,,2.0,2.0,,6.0,21,2.0,2.0,,6.0,6.0,,,,,1.0,1.0,,3.0,,,,,,6.0,14.0,,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,,,14.285714285714285,,1.0,,,,,,,1.0,,0.615,0.615,1.0,,22.6,1.0,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201142,1610612760,Kevin Durant,Kevin Durant,201142,OKC,214.0,4,3.0,8,7,,,1.0,15,1.0,,,1.0,,,1.0,,1.0,4.0,6.0,7,,,,,,,1.0,,,,1.0,,2.0,,,2.0,4.0,,,,,,,,,0.5,,0.75,,0.5,,,44.44444444444444,0.5,,0.5,,,,,,0.5,,0.496375,,,18.9,24.9,,,,,,,,,,,1.0,2.0,2.0,,1.0,0.6666666666666666,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201566,1610612760,Russell Westbrook,Russell Westbrook,201566,OKC,214.0,4,3.0,8,7,,,1.0,15,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201586,1610612760,Serge Ibaka,Serge Ibaka,201586,OKC,341.0,6,,11,11,,,1.0,22,,,,,,,4.0,,,,8.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,33.333333333333336,,,,,,,,,1.0,,0.74135,,,0.55,,,,,,,,,,,,,1.0,2.0,,,0.16666666666666666,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,,1.0,0.3333333333333333,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.25,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201935,1610612760,James Harden,James Harden,201935,OKC,341.0,6,,11,11,,,1.0,22,,,,,,,,,,,,14,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,0.3333333333333333,0.16666666666666666,0.5,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612760,Nazr Mohammed,Nazr Mohammed,1737,OKC,8508.0,142,30.0,268,272,74.0,101.0,26.0,540,8.0,,,,,,33.0,,,4.0,32.0,258,,,,2.0,,,,,5.0,,,,,15.0,27.0,10.0,10.0,1.0,2.0,74.0,1.0,,,,,0.42424242424242425,0.14285714285714285,0.42105263157894735,0.125,,0.15151515151515152,,14.71571906354515,0.24242424242424243,,,,,,,,0.5757575757575758,,0.46223939393939395,0.4287,0.0625,7.118181818181818,,0.27611940298507465,6.0,7.0,3.0,2.0,0.16666666666666666,0.18181818181818182,,,,13.0,23.0,32.0,4.0,0.1111111111111111,0.13138686131386862,0.175,,,,,,,,2.0,1.0,4.0,6.0,3.0,,0.3333333333333333,,2.0,14.0,6.0,5.0,4.0,0.42424242424242425,0.25,0.2,0.25,0.25,0.10810810810810811,0.10810810810810811,8.0,19.0,2.0,7.0,2.0,7.0,4.0,22.0,4.0,2.0,9.0,0.7857142857142857,0.9166666666666666,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.075,0.08333333333333333,0.3,0.5757575757575758,0.42105263157894735,0.5333333333333333,0.75,1.0,0.2857142857142857,0.125,,6.0,1.0,6.0,4.0,0.6666666666666666,False,4.0,4.0,1.0,7.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,0.14285714285714285,0.21052631578947367,0.38461538461538464,0.08974358974358974,0.06060606060606061,0.2631578947368421,0.03333333333333333,0.07142857142857142,0.08571428571428572,0.6666666666666666,0.8,0.75,1.0,0.5714285714285714,0.5158400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
