EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,Fg2aBlocked,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,TsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Fouls,Loose Ball Fouls,Offensive Fouls Drawn,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,FG2M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,OffThreePtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,OffTwoPtRebounds,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,ShortMidRangeFGM,LongMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,DefCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,SecondChanceCorner3Frequency,on,SecondChanceFtPoints,PenaltyFtPoints,Arc3Assists,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,LostBallSteals,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveMakes,Clear Path Fouls,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,BlockedCorner3
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,348.0,6.0,-5,9.0,10,1.0,19,1.0,1.0,2.0,1.0,1.0,11,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.5,1.0,30.0,0.5,0.25,0.5,0.5,0.5,0.5,0.41475,0.3333333333333333,0.3333333333333333,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,348.0,6.0,-5,9.0,10,1.0,19,,,,,,11,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200769,1610612747,Shannon Brown,Shannon Brown,200769,LAL,693.0,12.0,-8,21.0,22,4.0,43,1.0,,2.0,,2.0,23,,,,,1.0,1.0,1.0,0.3333333333333333,,,12.0,,,,0.3333333333333333,,0.6666666666666666,0.5127,0.3333333333333333,0.5,9.25,,,,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,12.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.4866,1.0,23.4,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201234,1610612747,Trey Johnson,Trey Johnson,201234,LAL,693.0,12.0,-8,21.0,22,4.0,43,,,4.0,1.0,3.0,23,,1.0,3.0,4.0,1.0,2.0,1.0,0.25,,,24.0,0.25,0.14285714285714285,0.3333333333333333,,,0.2,0.41600000000000004,0.16666666666666666,0.2,19.025,2.0,,,12.0,12.0,,,,4.0,,1.0,1.0,,2.0,,,,1.0,,,3.0,,,12.0,0.25,,0.2,,,0.2,,,0.8,,,,0.41713333333333336,,25.5,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.07692307692307693,0.25,0.25,0.25,1.0,0.2,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1610612747,Matt Barnes,Matt Barnes,2440,LAL,539.0,9.0,-9,17.0,17,3.0,34,2.0,,3.0,,7.0,19,,1.0,2.0,4.0,,,,0.7,,,25.0,0.3333333333333333,0.2,0.5,0.4,,0.8,0.5786800000000001,,,7.866666666666666,1.0,1.0,,12.0,12.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,,,,,,,7.0,12.0,0.6666666666666666,1.0,0.7,0.875,0.875,0.4,1.0,1.0,0.2,0.2,0.5,1.0,0.622525,1.0,23.95,0.7058823529411765,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,2.0,,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,,0.18181818181818182,,,,,0.2,0.25,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.7072,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,154.0,3.0,1,4.0,5,1.0,9,,1.0,1.0,,2.0,4,,,,,,,,0.5,,,40.0,,,,,0.5,0.5,0.4752,,,4.3,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,2.0,,,,1.0,,0.5,,,0.5,,,,,,,,,26.1,,,1.0,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,1610612747,Metta World Peace,Metta World Peace,1897,LAL,26.0,,-2,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612747,Joe Smith,Joe Smith,693,LAL,345.0,6.0,-3,12.0,12,3.0,24,,,1.0,,,12,,,,1.0,,,,,,,6.666666666666667,,,,,,,0.2829,,,16.3,,,,12.0,12.0,,,,1.0,,,,,1.0,,,,,,,,,,12.0,,,,,,,,,1.0,,,,0.2829,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,0.25,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1610612747,Pau Gasol,Pau Gasol,2200,LAL,60.0,1.0,1,2.0,2,,4,,,,,,2,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,259.0,4.0,-2,10.0,9,3.0,19,,,,,,8,,,1.0,1.0,,,,,,,30.769230769230766,,0.5,,,,1.0,0.6474,,,,,,,10.0,9.0,,,,,1.0,,2.0,,,,,,,,,,,,10.0,,,,,,1.0,,,,0.5,,,0.6474,,23.5,1.0,,1.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,0.7467,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
