EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,FtPoints,SecondChanceFG2A,PenaltyFtPoints,Fg2aBlocked,FTDefRebounds,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,FG3M,SecondChanceFG2M,SecondChancePoints,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceAtRimFGM,PenaltyArc3FGM,SecondChanceFtPoints,PtsUnassisted3s,Fg3aBlocked,Corner3Assists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,Charge Fouls Drawn,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,BlockingFouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGA,HeaveMakes,SecondChanceCorner3Frequency,on,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Clear Path Fouls,OffensiveGoaltends
1710,1610612748,Mike Bibby,Mike Bibby,1710,MIA,2280.0,38,-8,68,73,45.0,38,7.0,141,2.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,5.0,4.0,81,1.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,45.0,1.0,0.6666666666666666,0.6666666666666666,0.25,0.3333333333333333,0.25,0.3333333333333333,0.625,11.538461538461538,1.0,0.12,0.047619047619047616,0.1111111111111111,0.11764705882352941,0.03125,0.1111111111111111,0.18181818181818182,0.2,0.14285714285714285,0.375,0.6666666666666666,0.6666666666666666,0.125,0.5,1.0,0.16666666666666666,0.3333333333333333,0.625,0.4799062500000001,0.5532,0.45525,1.0,18.933333333333334,25.360000000000003,0.6617647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,2347.0,39,-18,72,71,48.0,43,8.0,143,,,,,,,,,1.0,,3.0,89,,,,,3.0,,,,,,,,,1.0,1.0,3.0,,3.0,,,,,,,3.0,6.0,1.0,2.0,3.0,48.0,,,,,,0.5,0.75,,3.6144578313253013,,0.04,,0.1111111111111111,0.058823529411764705,,,,,,,,,,,,,,,0.4084,,,1.0,7.0,,0.6666666666666666,1.0,3.0,1.0,3.0,1.0,1.0,4.0,2.0,7.0,4.0,3.0,7.0,4.0,1.0,1.0,0.2,0.1111111111111111,0.5,0.5714285714285714,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2034,1610612748,Mike Miller,Mike Miller,2034,MIA,9115.0,152,29,274,273,110.0,113,24.0,547,2.0,4.0,8.0,2.0,15.0,1.0,4.0,5.0,10.0,23.0,31.0,263,1.0,3.0,4.0,6.0,9.0,6.0,14.0,4.0,6.0,3.0,,14.0,6.0,10.0,15.0,28.0,7.0,35.0,7.0,5.0,1.0,1.0,4.0,,7.0,20.0,5.0,1.0,9.0,109.0,1.0,0.5,0.75,0.4696969696969697,0.45,0.4696969696969697,0.45,0.696969696969697,12.251655629139073,0.25,0.18072289156626506,0.08,0.23255813953488372,0.1984126984126984,0.0660377358490566,0.09523809523809523,0.10344827586206896,0.25,0.22580645161290322,0.12121212121212122,0.5,0.5,0.24242424242424243,0.45454545454545453,0.3333333333333333,0.2,0.4,0.8181818181818182,0.5179062499999999,0.54225,0.47301111111111116,0.2903225806451613,10.75,25.960869565217394,0.40145985401459855,2.0,,2.0,,,3.0,,,1.0,,1.0,1.0,,,,0.23076923076923078,0.18181818181818182,0.25,,0.06060606060606061,,,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,7.0,1.0,2.0,1.0,4.0,21.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.4,0.5,1.0,0.30434782608695654,0.16666666666666666,0.3181818181818182,0.5,0.3333333333333333,0.3333333333333333,0.03225806451612903,0.10810810810810811,0.043478260869565216,0.05,0.12121212121212122,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.375,1.0,0.26666666666666666,0.26666666666666666,1.0,0.3333333333333333,0.1,1.0,0.5,0.2857142857142857,0.06451612903225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2544,1610612748,LeBron James,LeBron James,2544,MIA,15252.0,254,-9,454,463,203.0,177,40.0,917,12.0,32.0,2.0,1.0,27.0,3.0,14.0,38.0,74.0,29.0,138.0,500,3.0,22.0,42.0,15.0,79.0,58.0,27.0,23.0,35.0,14.0,7.0,82.0,5.0,6.0,19.0,30.0,6.0,36.0,12.0,10.0,10.0,7.0,24.0,12.0,7.0,19.0,2.0,38.0,79.0,202.0,1.0,0.5135135135135135,0.5238095238095238,0.5145631067961165,0.5175438596491229,0.5708333333333333,0.5735294117647058,0.2815533980582524,28.6,0.4166666666666667,0.13380281690140844,0.04065040650406504,0.09230769230769231,0.12077294685990338,0.03333333333333333,0.13793103448275862,0.10638297872340426,0.16279069767441862,0.07142857142857142,0.3106796116504854,0.375,0.3870967741935484,0.019417475728155338,0.2621359223300971,0.25,0.017543859649122806,0.24561403508771928,0.6019417475728155,0.4510000000000001,0.464895,0.4464807017543859,0.572463768115942,9.856756756756756,25.193103448275863,0.44713656387665196,9.0,32.0,9.0,20.0,5.0,5.0,39.0,14.0,4.0,3.0,,6.0,3.0,0.06756756756756757,0.2222222222222222,0.23809523809523808,0.1346153846153846,0.13043478260869565,0.5,0.08737864077669903,0.125,0.1686746987951807,25.0,33.0,8.0,13.0,17.0,1.0,,,10.0,10.0,5.0,15.0,5.0,18.0,9.0,6.0,,10.0,12.0,10.0,2.0,1.0,2.0,2.0,14.0,,4.0,0.23684210526315788,0.2571428571428571,0.3,0.3448275862068966,0.3333333333333333,0.3448275862068966,0.5555555555555556,0.4166666666666667,0.5,0.017543859649122806,0.016666666666666666,0.023255813953488372,0.043478260869565216,0.32038834951456313,0.7575757575757576,0.8064516129032258,0.32,0.1111111111111111,0.14285714285714285,0.08333333333333333,,,,0.37037037037037035,0.38461538461538464,0.3,0.6666666666666666,0.2982456140350877,0.7647058823529411,,0.37037037037037035,0.10869565217391304,5.0,5.0,5.0,21.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,8.0,2.0,2.0,1.0,6.0,0.034482758620689655,0.06060606060606061,0.03125,0.037037037037037035,0.625,0.2,0.35714285714285715,,,,,,,,,,,,,,,True,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,17401.0,290,12,523,529,219.0,189,45.0,1052,10.0,37.0,,,,,,27.0,68.0,,63.0,546,,9.0,31.0,,23.0,4.0,,5.0,9.0,3.0,2.0,22.0,10.0,5.0,26.0,41.0,13.0,54.0,6.0,3.0,7.0,2.0,11.0,5.0,16.0,31.0,5.0,17.0,23.0,218.0,4.0,0.39705882352941174,0.2903225806451613,0.39705882352941174,0.2903225806451613,0.4375,0.3484848484848485,,14.409722222222223,0.6363636363636364,0.15568862275449102,0.07092198581560284,0.0625,0.12550607287449392,0.06310679611650485,0.1111111111111111,0.18181818181818182,0.15384615384615385,0.07272727272727272,0.5441176470588235,0.2702702702702703,0.2702702702702703,,,,,,0.35294117647058826,0.447414705882353,0.4700625,0.4464677419354839,0.36507936507936506,10.361764705882354,,0.4187380497131931,7.0,9.0,9.0,5.0,6.0,10.0,10.0,6.0,4.0,3.0,1.0,4.0,3.0,0.08823529411764706,0.2857142857142857,0.45454545454545453,0.13333333333333333,0.04,0.75,0.10294117647058823,0.08333333333333333,0.08333333333333333,15.0,24.0,6.0,5.0,11.0,2.0,,,,,2.0,9.0,,50.0,,2.0,,,4.0,1.0,,3.0,,3.0,4.0,1.0,1.0,0.9259259259259259,0.9615384615384616,,,,,0.2222222222222222,0.2222222222222222,0.4090909090909091,0.046153846153846156,0.043478260869565216,0.061224489795918366,,0.35294117647058826,0.625,0.75,0.8666666666666667,0.2857142857142857,0.4,1.0,,,,,,,0.6666666666666666,0.3548387096774194,0.45454545454545453,,,0.14285714285714285,2.0,,5.0,,,3.0,,5.0,,1.0,,2.0,1.0,6.0,,2.0,,,,,,,,0.16666666666666666,,,0.3333333333333333,0.5,,1.0,0.08333333333333333,1.0,,,,,,,,,,,,True,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,11954.0,199,10,364,368,161.0,120,31.0,732,6.0,12.0,1.0,,17.0,,11.0,41.0,69.0,18.0,139.0,370,,14.0,26.0,11.0,51.0,56.0,15.0,18.0,23.0,12.0,5.0,51.0,5.0,9.0,17.0,26.0,7.0,33.0,10.0,7.0,10.0,4.0,17.0,5.0,6.0,13.0,1.0,32.0,51.0,160.0,3.0,0.5942028985507246,0.5384615384615384,0.5747126436781609,0.5,0.6205357142857143,0.5666666666666667,0.20689655172413793,32.08955223880597,0.5882352941176471,0.13821138211382114,0.04854368932038835,0.16363636363636364,0.14606741573033707,0.0472972972972973,0.06896551724137931,0.1,0.1388888888888889,0.15384615384615385,0.13793103448275862,0.5,0.5,0.011494252873563218,0.19540229885057472,,,0.2972972972972973,0.5747126436781609,0.4904317647058823,0.51298,0.4806142857142857,0.3669064748201439,7.098550724637681,28.650000000000002,0.4423076923076923,25.0,39.0,6.0,14.0,4.0,,53.0,24.0,11.0,4.0,4.0,12.0,8.0,0.057971014492753624,0.04,,0.1702127659574468,0.1875,0.6666666666666666,0.28735632183908044,0.22935779816513763,0.26373626373626374,25.0,32.0,3.0,10.0,12.0,10.0,1.0,,5.0,6.0,2.0,8.0,3.0,26.0,6.0,4.0,2.0,5.0,5.0,3.0,1.0,2.0,1.0,3.0,7.0,3.0,1.0,0.3170731707317073,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.375,0.3333333333333333,0.3333333333333333,0.5,0.044444444444444446,0.02040816326530612,0.029411764705882353,0.03125,0.367816091954023,0.78125,0.8620689655172413,0.48,0.4,0.4166666666666667,,1.0,1.0,1.0,0.29411764705882354,0.29411764705882354,0.2,0.5,0.32432432432432434,0.8333333333333334,,0.3333333333333333,0.05755395683453238,1.0,3.0,4.0,12.0,,2.0,1.0,6.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,3.0,1.0,1.0,3.0,3.0,,0.09375,,,0.3333333333333333,,0.2727272727272727,,0.08,0.1,1.0,1.0,1.0,0.09090909090909091,0.05555555555555555,,,,,,,True,,,,,,,,,,,
2048,1610612748,Jamaal Magloire,Jamaal Magloire,2048,MIA,152.0,3,-5,4,3,4.0,2,1.0,7,,,,,,,,,1.0,,,7,,,1.0,,,,,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,,1.0,,,,4.0,1.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,1.0,0.3355,,0.3355,,2.6,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2547,1610612748,Chris Bosh,Chris Bosh,2547,MIA,12653.0,211,41,379,382,126.0,102,30.0,761,9.0,23.0,,,1.0,,,28.0,52.0,1.0,90.0,367,,6.0,13.0,,27.0,20.0,1.0,5.0,5.0,2.0,3.0,10.0,3.0,9.0,16.0,27.0,5.0,32.0,,,11.0,5.0,15.0,2.0,7.0,10.0,1.0,27.0,25.0,125.0,2.0,0.5384615384615384,0.46153846153846156,0.5283018867924528,0.46153846153846156,0.625,0.6428571428571429,0.018867924528301886,21.06537530266344,0.7333333333333333,0.12903225806451613,0.030927835051546393,0.15,0.1358695652173913,0.035211267605633804,0.037037037037037035,0.075,0.14634146341463414,0.12195121951219512,0.4339622641509434,0.391304347826087,0.4090909090909091,,0.018867924528301886,,,,0.41509433962264153,0.43914716981132074,0.531,0.4128615384615385,0.3,10.101923076923075,25.2,0.3324538258575198,8.0,34.0,5.0,15.0,4.0,2.0,41.0,19.0,5.0,4.0,1.0,5.0,,0.07692307692307693,0.125,0.15384615384615385,0.16279069767441862,0.21052631578947367,,0.1509433962264151,0.2753623188405797,0.27941176470588236,14.0,21.0,4.0,2.0,3.0,5.0,,,,,5.0,11.0,,36.0,,6.0,,,,,,2.0,,,4.0,2.0,1.0,0.6428571428571429,0.72,,,,,1.0,1.0,0.9166666666666666,0.044444444444444446,0.02,0.030303030303030304,,0.39622641509433965,0.6666666666666666,0.7368421052631579,0.6428571428571429,0.625,0.7142857142857143,0.6666666666666666,,,,,,,0.8,0.23076923076923078,0.6666666666666666,,,0.12222222222222222,4.0,,1.0,,,,1.0,6.0,,1.0,,,3.0,,,3.0,,3.0,,,,1.0,,0.09523809523809523,0.043478260869565216,,1.0,0.25,,,0.05,0.6,,,,0.08333333333333333,,2.0,,,,,,True,,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,252.0,4,-8,8,7,3.0,2,,15,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
436,1610612748,Juwan Howard,Juwan Howard,436,MIA,1971.0,33,3,58,62,32.0,39,6.0,120,2.0,2.0,,,,,,3.0,6.0,,9.0,64,,2.0,5.0,,7.0,,,,1.0,,,3.0,2.0,2.0,1.0,3.0,3.0,6.0,,,,,1.0,,2.0,5.0,2.0,3.0,7.0,32.0,2.0,0.5,0.4,0.5,0.4,0.5,0.4375,,15.384615384615383,,0.07142857142857142,0.13333333333333333,0.18181818181818182,0.12,0.1,,0.25,,0.14285714285714285,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,0.4888333333333334,0.6272,0.46062000000000003,0.7777777777777778,7.583333333333333,,0.5517241379310345,2.0,3.0,1.0,3.0,2.0,,6.0,1.0,,,,,,0.3333333333333333,0.5,,,0.25,,0.3333333333333333,0.14285714285714285,0.14285714285714285,1.0,2.0,,,1.0,,,,,,,2.0,,6.0,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,0.5,,,,,0.3333333333333333,0.5,1.0,1.0,,,1.0,,,,,,,,0.2,,,,0.2222222222222222,,,2.0,,,,,,,,,,,,,,,2.0,,,,2.0,,0.5,,,,,,,0.4,,1.0,,,,,,1.0,0.3333333333333333,,,,True,,,,,,,,,,,
