EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGA,Fg2aBlocked,Fouls,Blocked2s,BlockedAtRim,Blocks,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,RecoveredBlocks,FG3APct,BlocksRecoveredPct,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,LongMidRangeFGM,FtPoints,PenaltyFtPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,on,PenaltyDefPoss,ShortMidRangeFGM,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveMakes,HeaveAttempts,NonHeaveArc3FGM,ShortMidRangeAssists,BlockingFouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,StepOutOfBoundsTurnovers,Travels,SecondChanceArc3Frequency,Clear Path Fouls,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn
200779,1610612759,Steve Novak,Steve Novak,200779,SAS,343.0,6,2,12,11,12,3.0,23,10,1.0,1.0,1.0,12,0.16666666666666666,0.16666666666666666,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,343.0,6,2,12,11,12,3.0,23,10,2.0,2.0,4.0,12,0.3333333333333333,0.3333333333333333,0.25,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,20.0,0.3333333333333333,0.25,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,0.6925333333333333,0.70265,0.6925333333333333,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201971,1610612759,DeJuan Blair,DeJuan Blair,201971,SAS,343.0,6,2,12,11,12,3.0,23,10,,,1.0,12,,,,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,4.0,2.0,,1.0,,1.0,4.0,2.0,2.0,,,1.0,1.0,2.0,1.0,1.0,0.25,,0.25,0.25,,0.25,0.25,,0.25,26.666666666666668,0.16666666666666666,0.125,,,0.5,0.5,1.0,1.0,1.0,,0.5,0.5,0.5,0.481525,0.5559,0.481525,,1.0,6.275,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,343.0,6,2,12,11,12,3.0,23,10,1.0,1.0,1.0,12,0.16666666666666666,0.16666666666666666,0.25,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,,,,,2.0,1.0,1.0,0.5,,0.5,0.25,,0.25,0.25,,0.25,33.333333333333336,,,,,0.25,1.0,1.0,1.0,,,0.25,1.0,0.75,0.5106125,,0.5106125,,1.0,10.2,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.25,0.25,0.25,0.25,24.15,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202390,1610612759,Gary Neal,Gary Neal,202390,SAS,343.0,6,2,12,11,12,3.0,23,10,1.0,1.0,1.0,12,0.16666666666666666,0.16666666666666666,0.25,1.0,,,,,,,1.0,2.0,4.0,,,,1.0,2.0,4.0,,2.0,,,,4.0,,,0.5,,0.5,0.5,,0.5,0.6666666666666666,,0.6666666666666666,20.0,,,,,,,,,,,,,,0.4149,,0.4149,,1.0,20.95,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,12719.0,212,-18,399,395,157,43.0,794,424,34.0,47.0,63.0,155,0.22972972972972974,0.23837209302325582,0.1956521739130435,0.39348370927318294,22.0,33.0,5.0,8.0,6.0,10.0,33.0,69.0,76.0,6.0,12.0,12.0,10.0,21.0,22.0,38.0,28.0,8.0,13.0,16.0,22.0,0.5757575757575758,0.6551724137931034,0.4782608695652174,0.5,0.47619047619047616,0.4782608695652174,0.5,0.47619047619047616,0.4935064935064935,0.5,0.5,21.205357142857142,0.10743801652892562,0.09411764705882353,0.1590909090909091,0.22727272727272727,0.4782608695652174,0.6666666666666666,0.6875,0.6363636363636364,0.6666666666666666,0.625,0.47619047619047616,0.6,0.4782608695652174,0.4950884057971014,0.5750222222222222,0.48947619047619045,0.15789473684210525,0.2894736842105263,6.156521739130436,25.0,3.0,17.0,15.0,10.0,15.0,0.043478260869565216,0.030303030303030304,0.06818181818181818,0.36231884057971014,11.0,,,,,,,,11.0,16.0,9.0,37.0,3.0,,10.0,,18.0,9.0,9.0,,0.6,0.15942028985507245,,,,,,3.0,10.0,2.0,15.0,16.0,8.0,0.2727272727272727,0.2727272727272727,0.1038961038961039,0.1038961038961039,False,121.0,8.0,5.0,3.0,2.0,2.0,3.0,7.0,6.0,3.0,3.0,8.0,3.0,5.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0,0.08,0.4444444444444444,0.2857142857142857,0.2916666666666667,0.061224489795918366,0.09090909090909091,0.0967741935483871,0.25862068965517243,0.35714285714285715,0.2,0.09090909090909091,0.32,0.34782608695652173,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,10460.0,174,19,330,328,102,38.0,658,331,10.0,18.0,20.0,99,0.07751937984496124,0.09615384615384616,0.1282051282051282,0.3090909090909091,13.0,17.0,,,4.0,5.0,22.0,42.0,103.0,1.0,2.0,6.0,7.0,15.0,36.0,18.0,26.0,,,2.0,34.0,0.4090909090909091,0.4090909090909091,0.5238095238095238,0.5,0.4666666666666667,0.5071428571428571,0.2,0.47619047619047616,0.5795454545454546,0.42857142857142855,0.5806451612903226,28.378378378378375,,0.0136986301369863,,0.05128205128205128,0.24285714285714285,0.7647058823529411,0.8125,0.46153846153846156,,,0.23809523809523808,0.8,0.6428571428571429,0.5110448529411764,0.54497,0.46728,0.05825242718446602,0.34951456310679613,8.495238095238095,13.0,1.0,13.0,3.0,2.0,3.0,0.023809523809523808,0.058823529411764705,,0.18571428571428572,12.0,9.0,3.0,19.0,3.0,28.0,6.0,16.0,18.0,21.0,10.0,45.0,13.0,7.0,3.0,1.0,17.0,6.0,1.0,0.4,0.3333333333333333,0.17142857142857143,0.12857142857142856,0.2714285714285714,0.14285714285714285,0.14285714285714285,26.28928571428571,6.0,32.0,16.0,30.0,41.0,13.0,0.5,0.5,0.1625,0.25,False,88.0,3.0,3.0,2.0,1.0,4.0,2.0,5.0,3.0,,6.0,14.0,,10.0,4.0,,7.0,,,2.0,1.0,1.0,1.0,1.0,,,0.8235294117647058,0.21428571428571427,0.18518518518518517,0.045454545454545456,,0.038461538461538464,0.058823529411764705,0.2857142857142857,0.07692307692307693,,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.16666666666666666,2.0,3.0,1.0,7.0,1.0,9.0,3.0,4.0,2.0,21.0,6.0,1.0,2.0,6.0,4.0,2.0,3.0,2.0,8.0,7.0,0.7777777777777778,0.32142857142857145,0.3333333333333333,0.3076923076923077,0.05555555555555555,0.2222222222222222,0.2222222222222222,1.0,0.3684210526315789,0.3684210526315789,0.7142857142857143,0.6,0.3333333333333333,0.3333333333333333,0.375,,,,,,,,,,,,,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,2663.0,44,-11,80,82,18,11.0,162,94,3.0,5.0,10.0,18,0.12,0.1,0.2857142857142857,0.225,7.0,10.0,4.0,5.0,2.0,3.0,8.0,13.0,16.0,4.0,5.0,8.0,2.0,4.0,4.0,10.0,6.0,6.0,5.0,5.0,4.0,0.625,1.0,0.6153846153846154,0.8,0.5,0.6153846153846154,0.8,0.5,0.5714285714285714,0.8,0.5,16.483516483516482,0.17857142857142858,0.11904761904761904,0.1111111111111111,,0.7692307692307693,0.7,0.7,0.5714285714285714,1.0,0.8,0.75,0.6666666666666666,0.7692307692307693,0.4856615384615384,0.5587799999999999,0.4275,0.5,0.25,2.853846153846154,3.0,1.0,4.0,1.0,1.0,1.0,0.07692307692307693,,,0.23076923076923078,,,,,,,,,1.0,1.0,,2.0,3.0,,1.0,1.0,2.0,,,,,,,,,,,,,,9.0,3.0,2.0,,,0.15384615384615385,0.15384615384615385,False,14.0,1.0,,,,1.0,,,2.0,2.0,3.0,1.0,,1.0,,,3.0,,1.0,,2.0,,,,,0.3333333333333333,0.5,0.6666666666666666,,,0.4,,0.1,,,0.5,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
201588,1610612759,George Hill,George Hill,201588,SAS,11355.0,189,-24,352,354,134,47.0,706,395,19.0,25.0,30.0,131,0.16666666666666666,0.16083916083916083,0.1891891891891892,0.3806818181818182,8.0,19.0,1.0,4.0,3.0,7.0,16.0,35.0,70.0,1.0,6.0,2.0,7.0,14.0,33.0,12.0,20.0,2.0,3.0,5.0,29.0,0.375,0.4,0.45714285714285713,0.16666666666666666,0.5,0.44,0.14285714285714285,0.40476190476190477,0.5390625,0.14285714285714285,0.5333333333333333,17.866004962779154,0.024793388429752067,0.029585798816568046,0.022727272727272728,0.18181818181818182,0.38,0.42105263157894735,0.5,0.375,0.5714285714285714,0.25,0.3333333333333333,0.42857142857142855,0.68,0.5227897959183673,0.5051166666666667,0.50492,0.02857142857142857,0.4714285714285714,7.391428571428572,6.0,3.0,15.0,2.0,1.0,2.0,0.08571428571428572,0.15789473684210525,,0.12,10.0,7.0,2.0,8.0,5.0,15.0,7.0,7.0,10.0,14.0,6.0,32.0,9.0,7.0,3.0,,8.0,3.0,,0.3,,0.2,0.14,0.16,0.09523809523809523,0.23809523809523808,27.146666666666665,5.0,26.0,16.0,26.0,30.0,7.0,0.5,0.5,0.125,0.17073170731707318,False,104.0,3.0,4.0,4.0,,3.0,2.0,4.0,2.0,1.0,2.0,5.0,,4.0,1.0,,7.0,,,,1.0,1.0,1.0,1.0,3.0,,0.625,0.1,0.13793103448275862,0.041666666666666664,0.05128205128205128,0.06666666666666667,0.13636363636363635,0.11764705882352941,0.16666666666666666,0.04,0.5,0.5,,0.6,3.0,,1.0,1.0,,4.0,1.0,,1.0,9.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,8.0,6.0,0.75,0.26666666666666666,0.14285714285714285,0.2857142857142857,,0.42857142857142855,0.42857142857142855,1.0,0.125,0.125,,,0.5,,0.14285714285714285,,1.0,1.0,2.0,0.14285714285714285,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,13268.0,221,-19,415,413,144,44.0,828,435,11.0,15.0,16.0,142,0.0718954248366013,0.07650273224043716,0.08695652173913043,0.3469879518072289,24.0,38.0,2.0,2.0,9.0,13.0,42.0,85.0,118.0,5.0,6.0,12.0,11.0,24.0,41.0,20.0,64.0,,1.0,1.0,41.0,0.23809523809523808,0.23809523809523808,0.49411764705882355,0.8333333333333334,0.4583333333333333,0.46774193548387094,0.8333333333333334,0.46296296296296297,0.5221238938053098,0.75,0.5540540540540541,28.78787878787879,0.007874015748031496,0.005555555555555556,0.022727272727272728,0.0425531914893617,0.40860215053763443,0.631578947368421,0.8275862068965517,0.2916666666666667,0.3333333333333333,1.0,0.48148148148148145,0.6923076923076923,0.4946236559139785,0.4778172043010754,0.35769999999999996,0.496475925925926,0.1016949152542373,0.3474576271186441,7.816470588235294,27.0,11.0,10.0,2.0,,2.0,0.12941176470588237,0.23684210526315788,,0.2903225806451613,20.0,4.0,1.0,4.0,2.0,8.0,3.0,4.0,21.0,31.0,11.0,72.0,8.0,5.0,10.0,3.0,20.0,6.0,,0.08602150537634409,,0.21505376344086022,0.043010752688172046,0.043010752688172046,0.037037037037037035,0.07407407407407407,24.2625,6.0,31.0,16.0,29.0,41.0,14.0,0.3,0.3,0.1320754716981132,0.14285714285714285,False,127.0,12.0,10.0,4.0,6.0,6.0,,3.0,1.0,,3.0,10.0,4.0,7.0,3.0,1.0,6.0,,1.0,1.0,,3.0,,2.0,1.0,0.07407407407407407,0.5,0.05,0.1,,,,0.08333333333333333,,0.25,,0.4444444444444444,0.48,0.16666666666666666,0.16666666666666666,,,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,1.0,4.0,,1.0,,7.0,6.0,1.0,0.125,0.3333333333333333,0.125,,,,,0.25,0.25,1.0,,,0.5,0.25,0.5,,1.0,1.0,,1.0,,,,,,,,,,,,
