EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,AtRimAssists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Corner3Assists,LostBallSteals,BlockingFouls,Offensive Fouls Drawn,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PtsUnassisted3s,ShortMidRangeAssists,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,LostBallOutOfBoundsTurnovers,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Technical Free Throw Trips,DefAtRimReboundPct,Charge Fouls Drawn,2pt And 1 Free Throw Trips,AtRimPctAssisted,BlockingFoulsDrawn,on,SecondChanceFtPoints,LostBallTurnovers,Travels,Charge Fouls,Loose Ball Fouls,ThreePtShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,BlockedCorner3,StepOutOfBoundsTurnovers,Corner3PctBlocked,3SecondViolations,DefensiveGoaltends,OffensiveGoaltends
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,643.0,11.0,3.0,22,22,13,18.0,1.0,44,1.0,1.0,1.0,1.0,2.0,4.0,21.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,13,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,13.043478260869565,0.5,0.3333333333333333,0.2,0.1,0.2,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3009,0.3009,0.3009,0.5,1.0,15.7,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,1589.0,26.0,15.0,47,47,9,22.0,6.0,94,,,4.0,13.0,2.0,10.0,48.0,1.0,2.0,2.0,,3.0,,,4.0,2.0,3.0,,5.0,3.0,8.0,,2.0,3.0,1.0,2.0,,,9,,,0.5,0.6666666666666666,0.3076923076923077,0.5,,0.3076923076923077,0.5,,0.35714285714285715,0.5,,32.075471698113205,,0.2,0.5,0.3125,0.2,0.3333333333333333,0.5,,,,,0.43916153846153844,0.63515,0.3471666666666667,0.2,,6.43076923076923,0.19148936170212766,1.0,4.0,1.0,2.0,3.0,9.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.07692307692307693,0.25,0.6666666666666666,0.2,0.2,0.3333333333333333,0.2,0.25,0.5,0.25,0.3076923076923077,0.25,0.3333333333333333,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,0.3076923076923077,0.07142857142857142,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,1687.0,28.0,-1.0,52,55,13,30.0,6.0,107,6.0,6.0,9.0,9.0,2.0,26.0,64.0,,,,1.0,1.0,,2.0,10.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,2.0,,2.0,13,1.0,,0.5555555555555556,0.5555555555555556,1.0,,1.0,0.75,,0.5,0.7647058823529411,,0.5,32.758620689655174,,0.1,,0.06666666666666667,0.0625,,,0.375,1.0,1.0,0.6666666666666666,0.5026433333333333,,0.5310250000000001,,0.07692307692307693,13.31111111111111,0.25,1.0,1.0,,,2.0,2.0,8.0,,,3.0,,3.0,,1.0,6.0,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,,,1.0,,,0.5,0.1111111111111111,,,,0.3333333333333333,,,0.0625,1.0,1.0,0.125,1.0,1.0,0.5,,,0.5,0.058823529411764705,0.1,2.0,2.0,5.0,1.0,2.0,7.0,1.0,6.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.3333333333333333,0.4375,0.14285714285714285,0.2,1.0,0.125,0.3125,0.4,0.5,1.0,0.5,0.5,26.471428571428568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2073,1610612742,Brian Cardinal,Brian Cardinal,2073,DAL,2214.0,37.0,7.0,70,72,27,44.0,7.0,142,,,,,1.0,10.0,74.0,,,3.0,,,1.0,4.0,,,1.0,2.0,3.0,,3.0,5.0,8.0,2.0,,2.0,1.0,4.0,27,1.0,1.0,,,,,,1.125,1.5,1.5,1.0,1.5,1.0,10.526315789473685,0.4,,0.09090909090909091,0.04,,,,,,,,0.5907,0.58605,0.5838,0.3,0.4,,0.38571428571428573,,,,,,,,,,,2.0,2.0,1.0,,6.0,,,,1.0,,1.0,1.0,2.0,3.0,,1.0,,,,0.3333333333333333,,,,,,0.25,,,,,,,,,,,1.0,,,2.0,1.0,2.0,,3.0,4.0,1.0,9.0,,2.0,1.0,,,1.0,1.0,1.0,0.75,0.75,1.0,,,,0.5,0.5,0.5,0.5,1.0,,0.5,23.8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,1862.0,31.0,6.0,57,58,14,31.0,6.0,115,,,,,,9.0,65.0,,,3.0,,,,3.0,,,1.0,1.0,5.0,,5.0,2.0,4.0,,,,,3.0,14,,,,,,,,1.125,1.5,0.75,1.125,1.5,0.75,11.11111111111111,0.25,,0.16666666666666666,0.25,,,0.25,,,,,0.52545,0.48105,0.52365,0.3333333333333333,0.3333333333333333,,0.24561403508771928,,,,,,,,,,6.0,3.0,9.0,2.0,3.0,21.0,,3.0,,,,3.0,3.0,,3.0,2.0,,,,,1.0,0.3,,,0.2,0.5,,,,,,,,,,,,1.0,,,1.0,3.0,3.0,1.0,3.0,4.0,2.0,6.0,,3.0,3.0,,1.0,,,0.6666666666666666,0.75,0.75,1.0,,,,0.25,0.75,1.0,1.0,0.6666666666666666,0.5,1.0,24.35,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.5,,,,,,,0.5,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,502.0,8.0,5.0,17,17,13,14.0,1.0,34,,,,,,3.0,13.0,,,,,,,3.0,,,,,2.0,,2.0,1.0,1.0,1.0,,,,3.0,13,,,,,,,,0.75,,0.75,0.75,,0.75,17.64705882352941,,,,0.2,,,,,,,,0.52485,,0.52485,,1.0,,0.7647058823529411,,,,,,,,,,,2.0,2.0,1.0,,6.0,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,0.4,,,0.5,0.3333333333333333,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,,,,,,1.0,0.5,0.5,1.0,,,,0.5,0.5,,,,0.5,,23.85,1.0,,,1.0,1.0,,,1.0,1.0,,,,,0.5,1.0,1.0,1.0,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612742,DeShawn Stevenson,DeShawn Stevenson,2052,DAL,658.0,11.0,-8.0,24,27,19,24.0,1.0,51,,,,,,3.0,26.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,19,,,,,,,,1.5,,,1.5,,,4.166666666666667,,,0.2,0.1,,,,,,,,0.69675,,,,,,0.7916666666666666,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,23.5,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201147,1610612742,Corey Brewer,Corey Brewer,201147,DAL,331.0,6.0,4.0,12,11,12,11.0,,23,,1.0,1.0,2.0,,2.0,6.0,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,2.0,12,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,25.0,,,,,,,,0.5,,,,0.54105,,0.54105,,1.0,10.1,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,376.0,6.0,6.0,11,12,1,7.0,2.0,23,,1.0,,1.0,2.0,5.0,10.0,,,,,,,,,,,,2.0,,2.0,,,1.0,,3.0,,,1,,,,,,,,0.5,,,0.5,,,30.769230769230766,,,,0.3333333333333333,,,,0.3333333333333333,,,,0.5098666666666666,,,,,15.6,0.09090909090909091,,,,,,,,,,1.0,,1.0,,,2.0,,2.0,,,,,,,,,,1.0,,,,0.4,,,0.3333333333333333,,,,,,,,,,,,,0.6666666666666666,0.25,0.5,,1.0,2.0,,1.0,2.0,,3.0,,2.0,1.0,,,,,1.0,0.5,0.5,0.6666666666666666,,,,,0.6666666666666666,0.5,0.5,1.0,,0.5,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2199,1610612742,Tyson Chandler,Tyson Chandler,2199,DAL,1109.0,18.0,-2.0,34,34,10,16.0,3.0,68,,,3.0,3.0,3.0,9.0,43.0,,,,1.0,1.0,2.0,4.0,6.0,,1.0,,1.0,,1.0,1.0,2.0,4.0,,5.0,1.0,4.0,10,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,0.9,,1.0,16.216216216216218,,,0.25,0.16666666666666666,,,0.3333333333333333,,,,,0.581,,0.6192,,0.4444444444444444,0.9666666666666668,0.29411764705882354,3.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,
