EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Fg2aBlocked,SelfOReb,LostBallTurnovers,Travels,Charge Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyAtRimFGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,FTOffRebounds,StepOutOfBoundsTurnovers,Charge Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceFtPoints,DefensiveGoaltends,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveMakes,HeaveAttempts,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips
1710,1610612748,Mike Bibby,Mike Bibby,1710,MIA,24888.0,415,-40.0,740,736,145.0,110,94.0,1476,2.0,4.0,1.0,2.0,3.0,6.0,23.0,5.0,21.0,3.0,12.0,45.0,4.0,3.0,10.0,10.0,30.0,17.0,66.0,2.0,73.0,786,3.0,4.0,2.0,4.0,3.0,13.0,2.0,15.0,4.0,16.0,51.0,45.0,12.0,19.0,4.0,23.0,3.0,1.0,8.0,2.0,9.0,50.0,1.0,4.0,5.0,25.0,1.0,31.0,5.0,36.0,11.0,8.0,3.0,11.0,2.0,11.0,6.0,2.0,17.0,1.0,2.0,13.0,1.0,30.0,1.0,1.0,12.0,1.0,2.0,4.0,2.0,6.0,2.0,4.0,6.0,4.0,15.0,145.0,1.0,2.0,0.2,0.2,1.0,0.25757575757575757,0.23076923076923078,0.25757575757575757,0.3333333333333333,0.5,0.3697916666666667,0.38235294117647056,0.37244897959183676,0.39473684210526316,0.6875,13.57733175914994,0.6470588235294118,0.047619047619047616,0.08090614886731391,0.014545454545454545,0.06493506493506493,0.012048192771084338,0.07772020725388601,0.013966480446927373,0.03488372093023256,0.008771929824561403,0.015384615384615385,0.09174311926605505,0.042105263157894736,0.10476190476190476,0.08333333333333333,0.6666666666666666,0.041666666666666664,0.5,0.5,0.03125,0.6666666666666666,0.6666666666666666,0.23958333333333334,0.2608695652173913,0.2608695652173913,0.3333333333333333,0.21875,0.23809523809523808,0.23809523809523808,1.0,0.46875,0.26666666666666666,0.26666666666666666,1.0,0.14285714285714285,0.5714285714285714,0.17647058823529413,0.5882352941176471,0.3,0.7291666666666666,0.26666666666666666,0.5170104166666666,0.5189285714285715,0.4723882352941176,0.2054794520547945,15.256666666666666,24.696969696969695,0.19594594594594594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,16463.0,274,7.0,479,475,89.0,63,58.0,954,6.0,16.0,8.0,1.0,7.0,,,,,,,,,,,7.0,23.0,,,13.0,27.0,474,8.0,,,2.0,,,5.0,5.0,10.0,4.0,,,,6.0,2.0,8.0,2.0,,2.0,2.0,2.0,18.0,1.0,13.0,8.0,18.0,1.0,27.0,14.0,41.0,7.0,5.0,2.0,3.0,,1.0,3.0,,6.0,1.0,2.0,13.0,,27.0,4.0,2.0,15.0,3.0,,17.0,1.0,23.0,18.0,5.0,23.0,14.0,5.0,89.0,,1.0,0.7142857142857143,1.0,,,,,0.30434782608695654,,0.30434782608695654,,0.43548387096774194,0.5,,6.764168190127971,0.5,0.07692307692307693,0.08333333333333333,0.07142857142857142,0.13559322033898305,0.02,0.09454545454545454,0.0603448275862069,0.05084745762711865,0.0958904109589041,0.024390243902439025,0.0641025641025641,0.1044776119402985,0.08450704225352113,0.1590909090909091,0.6086956521739131,0.6956521739130435,0.375,0.46153846153846156,0.30434782608695654,0.14285714285714285,0.2,,,,,,,,,,,,,1.0,,,,,0.6956521739130435,,0.4889130434782609,0.5619875,0.4904,0.18518518518518517,3.2478260869565214,,0.18580375782881003,2.0,2.0,2.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,8.0,0.25,0.25,0.25,0.21739130434782608,0.1875,0.2857142857142857,0.06,0.06666666666666667,0.2727272727272727,0.6666666666666666,1.0,0.25,1.0,0.26666666666666666,0.26666666666666666,0.14814814814814814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,268.0,4,-4.0,9,8,3.0,4,,17,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2544,1610612748,LeBron James,LeBron James,2544,MIA,24735.0,412,-40.0,735,731,141.0,109,94.0,1466,31.0,52.0,8.0,13.0,27.0,18.0,47.0,1.0,1.0,,8.0,26.0,5.0,1.0,8.0,62.0,126.0,9.0,27.0,44.0,195.0,780,17.0,5.0,11.0,29.0,1.0,8.0,16.0,41.0,38.0,86.0,21.0,26.0,8.0,36.0,13.0,49.0,10.0,3.0,20.0,2.0,14.0,111.0,7.0,8.0,6.0,54.0,5.0,65.0,16.0,81.0,20.0,16.0,4.0,20.0,5.0,15.0,11.0,1.0,31.0,1.0,7.0,14.0,,25.0,,,47.0,3.0,1.0,64.0,3.0,13.0,11.0,1.0,13.0,9.0,41.0,141.0,2.0,3.0,0.3064516129032258,0.3220338983050847,0.7777777777777778,0.3333333333333333,0.125,0.3333333333333333,0.49206349206349204,0.3793103448275862,0.4934640522875817,0.33783783783783783,0.5391061452513967,0.44565217391304346,0.17647058823529413,24.94061757719715,0.6451612903225806,0.23809523809523808,0.1758957654723127,0.02909090909090909,0.07792207792207792,0.08433734939759036,0.15625,0.04189944134078212,0.05813953488372093,,0.09230769230769231,0.12037037037037036,0.23404255319148937,0.18095238095238095,0.05,0.6923076923076923,0.33986928104575165,0.5961538461538461,0.6739130434782609,0.17647058823529413,0.48148148148148145,0.5,0.30718954248366015,0.3829787234042553,0.3829787234042553,0.1111111111111111,0.006535947712418301,1.0,1.0,1.0,0.16993464052287582,0.3076923076923077,0.3076923076923077,0.75,0.36363636363636365,0.22727272727272727,,0.21621621621621623,0.125,0.5163398692810458,0.3076923076923077,0.4767228758169935,0.48427647058823536,0.4693972972972973,0.21025641025641026,9.65,25.255555555555556,0.19183673469387755,4.0,13.0,7.0,17.0,6.0,7.0,5.0,5.0,3.0,,8.0,30.0,0.4117647058823529,0.38636363636363635,0.3695652173913043,0.05555555555555555,0.11538461538461539,0.037037037037037035,0.04,0.17647058823529413,0.07042253521126761,0.45161290322580644,0.23076923076923078,0.5,0.35135135135135137,0.17613636363636365,0.20270270270270271,0.08717948717948718,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2,0.037037037037037035,0.05555555555555555,0.25,0.2,1.0,0.46153846153846156,0.03571428571428571,,,,,,,,,,,,True,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,3063.0,51,29.0,96,93,47.0,37,8.0,189,,,,,,1.0,4.0,3.0,4.0,3.0,3.0,7.0,,1.0,2.0,1.0,4.0,6.0,11.0,2.0,22.0,92,,,,1.0,3.0,5.0,,9.0,2.0,,18.0,7.0,3.0,,,,,,,,,,,,1.0,3.0,,4.0,,4.0,1.0,1.0,,,,,2.0,1.0,2.0,,1.0,1.0,,4.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,2.0,1.0,9.0,47.0,1.0,,1.0,1.0,1.0,0.5454545454545454,0.6,0.5454545454545454,0.25,,0.6666666666666666,0.75,0.6875,0.75,0.7333333333333333,17.307692307692307,,,0.06521739130434782,,0.08333333333333333,,0.06896551724137931,,,,,0.13333333333333333,0.1111111111111111,,0.09090909090909091,0.5,,,,,,,0.26666666666666666,0.25,0.25,1.0,0.26666666666666666,0.75,0.75,1.0,0.4666666666666667,0.42857142857142855,0.42857142857142855,1.0,,,0.5,0.3333333333333333,0.5,0.7333333333333333,0.42857142857142855,0.5115000000000001,,0.5187666666666667,0.4090909090909091,19.7,24.61818181818182,0.4895833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,0.6666666666666666,,,,,,,,,,True,,,,,,,,,,
2034,1610612748,Mike Miller,Mike Miller,2034,MIA,1738.0,29,-14.0,51,49,27.0,24,6.0,100,,,,,1.0,,1.0,1.0,2.0,1.0,2.0,3.0,,,,,2.0,3.0,5.0,,9.0,65,1.0,,,,1.0,1.0,,3.0,,,9.0,3.0,2.0,,1.0,1.0,1.0,,,,,3.0,,,3.0,3.0,1.0,7.0,,7.0,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,3.0,27.0,,,,,1.0,0.6,1.0,0.6,,,0.6428571428571429,1.5,0.6428571428571429,1.5,0.7142857142857143,15.789473684210527,0.5,0.5,0.13043478260869565,,0.6,,0.21428571428571427,,,,,0.375,,,0.6,,,,,0.14285714285714285,,,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,1.0,,,0.7142857142857143,0.6666666666666666,0.5416642857142857,,0.6264,0.3333333333333333,13.15,23.78,0.5294117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,True,,,,,,,,,,
2547,1610612748,Chris Bosh,Chris Bosh,2547,MIA,21107.0,352,-45.0,628,627,93.0,61,85.0,1255,28.0,47.0,12.0,9.0,35.0,23.0,57.0,,,,,1.0,,,,60.0,139.0,,1.0,32.0,152.0,673,18.0,,6.0,10.0,,,3.0,15.0,68.0,52.0,,1.0,,8.0,3.0,11.0,3.0,,5.0,1.0,2.0,25.0,7.0,13.0,12.0,45.0,6.0,63.0,20.0,83.0,9.0,8.0,1.0,7.0,2.0,2.0,6.0,1.0,13.0,1.0,3.0,14.0,1.0,23.0,1.0,1.0,28.0,,1.0,38.0,,7.0,5.0,2.0,7.0,3.0,15.0,93.0,1.0,,0.5666666666666667,0.6296296296296297,,,,,0.4316546762589928,0.6,0.42857142857142855,0.6,0.4840764331210191,0.625,0.007142857142857143,23.513139695712308,0.5384615384615384,0.46153846153846156,0.17647058823529413,0.05394190871369295,0.19672131147540983,0.1076923076923077,0.18037974683544303,0.06535947712418301,0.02702702702702703,0.05,0.10204081632653061,0.20454545454545456,0.1728395061728395,0.1511627906976744,0.1956521739130435,0.42857142857142855,0.3357142857142857,0.5957446808510638,0.6666666666666666,0.25,0.2571428571428571,0.3,0.40714285714285714,0.40350877192982454,0.40350877192982454,0.7391304347826086,,,,,0.007142857142857143,,,,0.6666666666666666,,,,,0.34285714285714286,,0.4374282142857143,0.5494,0.46852,0.09868421052631579,10.176978417266186,25.3,0.1480891719745223,8.0,5.0,11.0,25.0,12.0,10.0,2.0,5.0,,,4.0,21.0,0.6111111111111112,0.6111111111111112,0.625,0.07194244604316546,0.10638297872340426,0.14285714285714285,0.08955223880597014,0.2,0.02857142857142857,0.4642857142857143,0.4444444444444444,0.6666666666666666,0.5,0.1337579617834395,0.1346153846153846,0.16447368421052633,4.0,,,,,,1.0,,,,,,,0.125,0.25,,,0.8,,,,3.0,2.0,1.0,,,,,,,True,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,22946.0,382,-19.0,684,680,116.0,78,87.0,1364,42.0,66.0,12.0,16.0,38.0,21.0,48.0,,,,2.0,11.0,1.0,1.0,2.0,79.0,152.0,2.0,11.0,55.0,219.0,714,16.0,1.0,18.0,33.0,1.0,2.0,21.0,60.0,50.0,108.0,3.0,11.0,2.0,25.0,11.0,36.0,5.0,6.0,14.0,5.0,6.0,83.0,1.0,15.0,11.0,37.0,,48.0,17.0,65.0,10.0,6.0,4.0,15.0,1.0,11.0,10.0,4.0,25.0,5.0,2.0,11.0,,23.0,4.0,3.0,46.0,1.0,,74.0,4.0,9.0,3.0,3.0,10.0,6.0,60.0,116.0,1.0,4.0,0.31645569620253167,0.3333333333333333,0.5,0.18181818181818182,0.5,0.18181818181818182,0.5197368421052632,0.5454545454545454,0.5030674846625767,0.5571428571428572,0.5558375634517766,0.6521739130434783,0.06748466257668712,28.35249042145594,0.6,,0.13120567375886524,0.05859375,0.15492957746478872,0.014084507042253521,0.1359773371104816,0.04892966360856269,0.0875,0.019417475728155338,,0.12121212121212122,0.12359550561797752,0.14893617021276595,0.2037037037037037,0.6,0.4049079754601227,0.6363636363636364,0.75,0.2331288343558282,0.42105263157894735,0.48484848484848486,0.294478527607362,0.4375,0.4375,0.23809523809523808,,,,,0.06748466257668712,0.18181818181818182,0.18181818181818182,0.5,0.7058823529411765,0.058823529411764705,,0.05714285714285714,0.5,0.4723926380368098,0.18181818181818182,0.48390092024539877,0.5253642857142857,0.47617857142857145,0.273972602739726,8.44736842105263,24.981818181818184,0.1695906432748538,7.0,14.0,9.0,31.0,8.0,15.0,5.0,4.0,,,6.0,36.0,0.5625,0.5294117647058824,0.62,0.09868421052631579,0.15151515151515152,0.13157894736842105,0.0821917808219178,,0.07575757575757576,0.40476190476190477,0.1875,0.5833333333333334,0.4,0.18652849740932642,0.1978021978021978,0.1415525114155251,10.0,,,3.0,1.0,1.0,,1.0,,,3.0,,0.038461538461538464,0.0625,0.2857142857142857,,,0.7142857142857143,,,,13.0,,,1.0,1.0,,,,,True,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,2280.0,38,-8.0,68,73,45.0,38,7.0,141,2.0,5.0,2.0,,1.0,4.0,5.0,,,,,,,,,6.0,11.0,,,3.0,15.0,81,2.0,,3.0,7.0,,,1.0,7.0,12.0,,,,,2.0,,2.0,,,2.0,,,4.0,,4.0,,4.0,3.0,7.0,4.0,11.0,,,,,,,1.0,,1.0,,,2.0,,3.0,,1.0,4.0,,2.0,3.0,,1.0,,1.0,1.0,1.0,7.0,45.0,,,1.0,1.0,,,,,0.5454545454545454,0.42857142857142855,0.5454545454545454,0.42857142857142855,0.625,0.5,,16.666666666666668,,0.6,0.16,0.19047619047619047,,,0.11764705882352941,0.125,0.1111111111111111,0.2222222222222222,,0.09090909090909091,0.1111111111111111,0.4,,1.0,0.45454545454545453,0.4,0.5,0.09090909090909091,,,0.45454545454545453,0.8,0.8,1.0,,,,,,,,,1.0,,,,,0.45454545454545453,,0.47129090909090904,0.43220000000000003,0.5016714285714284,0.4666666666666667,9.20909090909091,,0.6617647058823529,,4.0,,,,2.0,,,,,1.0,2.0,,,,0.18181818181818182,0.2,1.0,0.3333333333333333,,,1.0,,,0.5714285714285714,0.16666666666666666,0.16666666666666666,,2.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,True,,,,,,,,,,
2067,1610612748,Eddie House,Eddie House,2067,MIA,163.0,3,,4,5,4.0,5,,9,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,2,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,0.324,,0.324,,,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,
