EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,PtsAssisted2s,OffTwoPtRebounds,OffRebounds,LostBallTurnovers,SecondChanceTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2A,Fg2aBlocked,FTDefRebounds,BlockedShortMidRange,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,Steals,BadPassSteals,LostBallSteals,TwoPtShootingFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeAssists,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShortMidRangePctBlocked,DefThreePtReboundPct,DefCorner3ReboundPct,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtAssists,Arc3Assists,Travels,Corner3FGA,Offensive Fouls,Corner3Frequency,on,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFtPoints,Corner3Assists,ShortMidRangeAssists,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PtsPutbacks,DefArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,OffThreePtRebounds,SelfOReb,Charge Fouls,Loose Ball Fouls,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,PenaltyCorner3Accuracy,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,466.0,8,6.0,15,17,11.0,1.0,32,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,11,1.0,1.0,1.0,2.0,2.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,11.0,1.0,0.5,0.5,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.875,0.875,0.6666666666666666,33.333333333333336,1.0,0.4,0.4,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.49028333333333335,0.49028333333333335,1.0,9.0,25.05,0.7333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1610612755,Elton Brand,Elton Brand,1882,PHI,880.0,15,-6.0,30,28,9.0,,58,,,,,,,1.0,3.0,,,,2.0,26,1.0,1.0,,,,2.0,,,,,,,,,2.0,2.0,4.0,1.0,,1.0,,,,,,,2.0,9.0,,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,,12.121212121212121,1.0,0.2857142857142857,0.18181818181818182,0.3333333333333333,,,,,,,,,,,,0.39996666666666664,0.398,1.0,16.400000000000002,,0.3,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.10526315789473684,0.5,0.125,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201578,1610612755,Marreese Speights,Marreese Speights,201578,PHI,1246.0,21,,41,42,16.0,1.0,83,,1.0,,,,,2.0,12.0,,,,4.0,35,1.0,4.0,,,,2.0,,,,,1.0,1.0,1.0,2.0,4.0,5.0,6.0,,,,,4.0,4.0,,,,2.0,16.0,,,,,0.16666666666666666,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25,,27.272727272727273,,0.36363636363636365,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.08333333333333333,,,,,,,,0.4166666666666667,,0.466875,0.41275,0.5,9.775,,0.3902439024390244,3.0,1.0,6.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,0.058823529411764705,0.047619047619047616,,0.125,,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.2,0.5,0.4166666666666667,0.2,0.25,1.0,1.0,0.5,0.5,0.6061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201950,1610612755,Jrue Holiday,Jrue Holiday,201950,PHI,986.0,16,-3.0,33,32,12.0,1.0,65,,,1.0,2.0,,,1.0,3.0,1.0,2.0,4.0,9.0,30,,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,,,,,1.0,2.0,4.0,1.0,2.0,12.0,1.0,0.5,,0.5,0.3333333333333333,,0.5,,0.6428571428571429,1.0,0.4,19.444444444444446,,,,,,,,,0.4,0.5,0.5,,,0.8,0.5,0.48227000000000003,,0.2222222222222222,7.7,25.5,0.36363636363636365,3.0,,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,0.2,,,,1.0,2.0,,,,,,,,,,,0.4,0.5,0.5,1.0,,,,0.57705,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.3333333333333333,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,907.0,15,-6.0,31,29,10.0,,60,,1.0,,1.0,,,1.0,2.0,,1.0,,2.0,28,,1.0,,,,,2.0,,1.0,,5.0,5.0,2.0,10.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,10.0,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,11.76470588235294,,,0.09090909090909091,,,0.3333333333333333,,,0.3333333333333333,,,,,0.3333333333333333,,0.4566333333333333,0.3782,,15.2,24.4,0.3225806451612903,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,0.25,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201152,1610612755,Thaddeus Young,Thaddeus Young,201152,PHI,366.0,6,6.0,11,14,7.0,1.0,25,1.0,1.0,,,,,3.0,4.0,,,,6.0,9,2.0,2.0,,,,4.0,2.0,,,,,,,,1.0,2.0,2.0,,,,,,,1.0,,,4.0,7.0,,,,,0.75,1.0,0.75,1.0,0.75,1.0,,36.36363636363637,,0.25,0.25,0.3333333333333333,,0.25,1.0,1.0,,,,,,0.75,,0.5189250000000001,0.6508,0.6666666666666666,3.0250000000000004,,0.6363636363636364,,,,4.0,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,2.0,3.0,,2.0,2.0,,,1.0,,,,1.0,0.75,0.6666666666666666,0.6666666666666666,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202323,1610612755,Evan Turner,Evan Turner,202323,PHI,339.0,6,6.0,10,13,6.0,1.0,23,1.0,1.0,,,,,1.0,1.0,,,,2.0,7,1.0,1.0,,,,2.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,2.0,6.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,10.0,,0.25,0.25,,,1.0,1.0,1.0,,,,,,,,0.4613,0.4613,1.0,5.0,,0.6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201975,1610612755,Jodie Meeks,Jodie Meeks,201975,PHI,896.0,15,-3.0,30,30,9.0,,60,,,,,,,1.0,2.0,,,1.0,3.0,27,,,,,,,,,,,,1.0,,3.0,,1.0,1.0,,,1.0,1.0,,,1.0,2.0,,,9.0,,,,,0.5,,0.5,,0.5,,,12.121212121212121,,,0.08333333333333333,,,,,,,,,,,0.5,,0.47135,,,11.15,,0.3,3.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,0.5,1.0,1.0,1.0,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,,1.0,,0.25,0.5,,,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,1610612755,Andres Nocioni,Andres Nocioni,2804,PHI,144.0,2,,4,5,,,9,,,,,,,,,,1.0,,,2,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,50.0,,,,,,,,,,,,,,1.0,,0.50055,,,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,7313.0,122,-48.0,215,215,49.0,77.0,430,2.0,8.0,4.0,15.0,1.0,3.0,10.0,31.0,5.0,18.0,12.0,47.0,255,1.0,6.0,1.0,4.0,,5.0,12.0,6.0,15.0,4.0,8.0,14.0,2.0,34.0,4.0,6.0,6.0,1.0,,3.0,,5.0,5.0,14.0,17.0,,5.0,49.0,,0.2777777777777778,0.25,0.2777777777777778,0.3225806451612903,0.16666666666666666,0.35714285714285715,0.25,0.41964285714285715,0.25,0.3673469387755102,22.868217054263564,0.3333333333333333,0.0547945205479452,0.046296296296296294,0.10526315789473684,0.03571428571428571,0.16326530612244897,0.25,0.25,0.30612244897959184,0.26666666666666666,0.26666666666666666,0.3,0.3333333333333333,0.6122448979591837,0.26666666666666666,0.45538541666666665,0.3994,0.10638297872340426,9.72258064516129,25.899999999999995,0.22790697674418606,38.0,1.0,11.0,8.0,,,1.0,,,,,,0.4,0.4,,,,,0.038461538461538464,,0.22448979591836735,0.09090909090909091,0.09090909090909091,1.0,7.0,12.0,,,2.0,2.0,2.0,1.0,,0.06451612903225806,0.16666666666666666,0.125,0.24489795918367346,0.5833333333333334,0.7,0.42857142857142855,,0.2,,0.512525,,,,1.0,4.0,9.0,5.0,3.0,2.0,8.0,0.6,,0.3333333333333333,0.5,0.5,,,,0.16071428571428573,0.21621621621621623,0.0851063829787234,3.0,1.0,1.0,2.0,,0.02857142857142857,0.125,,,6.0,5.0,1.0,3.0,,0.061224489795918366,False,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.1,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
