EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsAssisted2s,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,Steals,BadPassSteals,ShootingFouls,Fouls,SecondChanceArc3Frequency,Fg2aBlocked,FTOffRebounds,FTDefRebounds,Loose Ball Fouls Drawn,FG2APctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFG2A,SelfOReb,LostBallSteals,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,BlockingFouls,BlockedAtRim,PenaltyAtRimFGM,SecondChanceFtPoints,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyAtRimAccuracy,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,SecondChanceFG2M,Offensive Fouls,SecondChanceFg2Pct,HeaveAttempts,on,SecondChanceAtRimFGM,SecondChanceArc3FGM,Arc3Assists,Travels,Technical Free Throw Trips,ShortMidRangePctBlocked,OffArc3ReboundPct,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,Fg3aBlocked,Loose Ball Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,PtsPutbacks,Charge Fouls,SecondChanceAtRimPctAssisted,DefensiveGoaltends,Blocked3s,BlockedArc3,OffensiveGoaltends
101108,1610612740,Chris Paul,Chris Paul,101108,NOH,2359.0,39,-3.0,75,72,33,46,7.0,147,1.0,1.0,5.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0,11.0,2.0,5.0,5.0,27.0,90,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,15.0,16.0,3.0,3.0,3.0,1.0,13.0,1.0,14.0,1.0,5.0,3.0,5.0,29.0,2.0,5.0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,8.0,1.0,3.0,12.0,31,1.0,0.5,0.4,1.0,0.6666666666666666,0.4,0.7272727272727273,0.75,0.6875,1.5,0.8571428571428571,0.675,1.5,0.75,0.3125,27.710843373493976,0.6666666666666666,0.2777777777777778,0.2,0.25,0.2857142857142857,0.4,0.16666666666666666,0.25,0.0625,1.0,1.0,0.375,0.8333333333333334,0.8333333333333334,0.25,0.5,0.5,0.125,0.5,0.5,1.0,0.1875,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.14285714285714285,1.0,0.2857142857142857,0.5,0.375,0.3333333333333333,0.444046875,0.62535,0.4149785714285715,0.058823529411764705,0.08333333333333333,0.1111111111111111,0.5555555555555556,10.781818181818181,24.6,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
101127,1610612740,Jarrett Jack,Jarrett Jack,101127,NOH,2102.0,35,-6.0,66,63,20,16,4.0,129,,1.0,5.0,6.0,3.0,6.0,,,,,,,,,,,8.0,13.0,,,6.0,22.0,69,,,,1.0,3.0,,,1.0,3.0,14.0,,,,,6.0,,6.0,,,2.0,4.0,12.0,2.0,2.0,4.0,5.0,4.0,,3.0,,1.0,4.0,,5.0,9.0,3.0,,3.0,18,,,,,,,0.6153846153846154,0.3333333333333333,0.6153846153846154,,0.3333333333333333,0.6470588235294118,,0.375,,29.577464788732396,1.0,0.09090909090909091,0.2,0.125,,0.16666666666666666,0.1,0.25,0.07692307692307693,,,0.46153846153846156,0.8333333333333334,0.8333333333333334,0.46153846153846156,0.5,0.5,,,,,,,,,,,,,,,0.07692307692307693,,0.40873846153846155,,0.37306666666666666,0.23529411764705882,0.1875,,0.13636363636363635,12.400000000000002,,0.30303030303030304,2.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.05555555555555555,0.045454545454545456,0.1,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201158,1610612740,Marco Belinelli,Marco Belinelli,201158,NOH,1480.0,25,-10.0,47,46,10,20,3.0,93,1.0,2.0,,,,,1.0,1.0,,,,,,2.0,,,1.0,2.0,1.0,3.0,,5.0,53,,1.0,,,,,,,,2.0,3.0,,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,10,,1.0,0.3333333333333333,,,0.3333333333333333,0.5,,0.5,,,0.5,,,0.6,9.803921568627452,,,0.2,0.045454545454545456,,,,0.25,0.4,0.5,0.5,,,,,,,0.2,1.0,1.0,1.0,0.4,,,,,,,,,,1.0,,0.53842,0.5451,,,,,,2.1,25.3,0.2127659574468085,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201160,1610612740,Jason Smith,Jason Smith,201160,NOH,3453.0,58,-9.0,109,104,39,53,9.0,213,,,,1.0,7.0,14.0,,,,,,,,,,,7.0,15.0,,,,14.0,128,,,,3.0,5.0,,,,6.0,,,,,,1.0,,1.0,,,1.0,,2.0,2.0,3.0,6.0,7.0,,,,,,,,2.0,,,,6.0,37,,,,,,,0.4666666666666667,0.6,0.4666666666666667,,0.6,0.4666666666666667,,0.6,,12.5,,0.0967741935483871,0.13333333333333333,0.10869565217391304,,0.14285714285714285,0.15384615384615385,0.08333333333333333,,,,0.06666666666666667,,,0.9333333333333333,0.5,0.5384615384615384,,,,,,,,,,,,,,,,,0.40593999999999997,,0.39796,,,,0.42857142857142855,16.773333333333333,,0.3577981651376147,14.0,,1.0,,,,1.0,1.0,,,,,,,2.0,2.0,7.0,11.0,,1.0,1.0,1.0,2.0,0.06666666666666667,0.07142857142857142,0.3333333333333333,0.14285714285714285,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201189,1610612740,Aaron Gray,Aaron Gray,201189,NOH,1703.0,28,-8.0,55,54,20,31,5.0,109,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,4.0,7.0,,,2.0,10.0,66,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,2.0,,2.0,2.0,4.0,,,,1.0,,1.0,,3.0,5.0,2.0,1.0,,20,1.0,,,,,,0.5714285714285714,,0.5714285714285714,,,0.5555555555555556,,,,16.39344262295082,,0.15384615384615385,,0.11764705882352941,,0.4,,,0.5714285714285714,0.5,0.5,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,,,,,,,,,,,,,,,0.5714285714285714,,0.48632857142857144,0.538,0.3964,0.25,0.25,,,4.985714285714287,,0.36363636363636365,8.0,2.0,2.0,,,,1.0,1.0,0.14285714285714285,0.10526315789473684,,1.0,,,2.0,1.0,3.0,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2731,1610612740,Emeka Okafor,Emeka Okafor,2731,NOH,977.0,16,2.0,29,27,10,8,1.0,56,,,2.0,2.0,,,,,,,,,,,,,2.0,2.0,,,,4.0,28,,,,2.0,2.0,,,,4.0,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,3.0,,4.0,2.0,,,,,4.0,10,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,20.0,0.25,0.08333333333333333,,0.05555555555555555,,,0.2,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.34045000000000003,,0.34045000000000003,,,,1.0,10.2,,0.3448275862068966,4.0,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,,1.0,,,,0.5,,,,,,,,,,2.0,,2.0,1.0,2.0,,,,0.5,,,,1.0,2.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201171,1610612740,Carl Landry,Carl Landry,201171,NOH,82.0,1,-3.0,6,4,6,4,,10,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2772,1610612740,Trevor Ariza,Trevor Ariza,2772,NOH,2041.0,34,5.0,64,60,27,42,6.0,124,3.0,7.0,,1.0,1.0,1.0,,1.0,,,,1.0,,2.0,,1.0,4.0,9.0,,3.0,2.0,10.0,76,,,2.0,1.0,3.0,,2.0,2.0,4.0,2.0,,,2.0,,1.0,1.0,2.0,1.0,,,1.0,5.0,1.0,2.0,3.0,5.0,,,,,,,,1.0,2.0,1.0,,4.0,25,,,,,,,0.4444444444444444,0.3333333333333333,0.3333333333333333,,0.2,0.38461538461538464,1.0,0.3333333333333333,0.25,18.055555555555557,,0.11764705882352941,0.1111111111111111,0.11538461538461539,,,0.2222222222222222,,0.5833333333333334,0.42857142857142855,0.5,0.08333333333333333,,,0.08333333333333333,1.0,1.0,0.08333333333333333,,,,0.16666666666666666,,,,,,0.2,,0.2,,0.8333333333333334,,0.42764166666666664,,0.35857,0.07692307692307693,0.1,0.2,0.4,4.655555555555555,25.0,0.421875,6.0,1.0,2.0,,,,0.75,0.75,0.0625,0.09090909090909091,,,,,1.0,1.0,1.0,3.0,,1.0,,,,0.1111111111111111,,,,0.5,1.0,,3.0,,,,,,,,,,0.2,,,,0.6666666666666666,,0.6,1.0,,1.0,2.0,1.0,2.0,0.14285714285714285,0.16666666666666666,0.5,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2584,1610612740,Willie Green,Willie Green,2584,NOH,2127.0,35,-11.0,67,63,19,27,7.0,130,1.0,1.0,5.0,6.0,1.0,3.0,1.0,2.0,,1.0,,1.0,,3.0,,2.0,7.0,10.0,1.0,5.0,3.0,20.0,84,,3.0,,1.0,1.0,,3.0,,2.0,6.0,3.0,,3.0,,,1.0,1.0,1.0,,,,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,2.0,6.0,5.0,3.0,,2.0,19,,1.0,0.2,,,0.2,0.7,1.0,0.5666666666666667,,0.25,0.5882352941176471,,0.25,0.3333333333333333,25.333333333333332,0.5,,0.1111111111111111,0.03571428571428571,,,,0.14285714285714285,0.06666666666666667,1.0,1.0,0.4,0.8333333333333334,0.8333333333333334,0.2,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.5,0.5,1.0,0.2,,,0.3333333333333333,,,0.25,,0.5,,0.4,,0.47454666666666667,0.53725,0.4660375,0.17647058823529413,0.25,,0.1,11.190000000000001,24.479999999999997,0.2835820895522388,8.0,,,,,,0.5714285714285714,0.5714285714285714,,,,0.4,,2.0,2.0,2.0,2.0,3.0,0.6666666666666666,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2788,1610612740,DJ Mbenga,DJ Mbenga,2788,NOH,691.0,12,,19,19,3,10,3.0,38,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,2.0,26,,,2.0,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,3.0,,1.0,1.0,3.0,,,,1.0,,1.0,,,,,,,3,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,8.695652173913043,,0.16666666666666666,,0.1,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3938,0.3938,,,,1.0,,10.9,,0.15789473684210525,,2.0,2.0,,,,,,0.4,0.25,,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,1.0,,,,2.0,,2.0,2.0,,1.0,0.5,,1.0,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,
