EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,NonHeaveArc3FGA,Fg3aBlocked,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Steals,BadPassSteals,LostBallSteals,FoulsDrawn,Charge Fouls Drawn,PenaltyOffPossExcludingTakeFouls,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Corner3Assists,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,BlockingFoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2A,TwoPtAssists,AtRimAssists,OffThreePtRebounds,SelfOReb,BadPassTurnovers,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,DeadBallTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,PenaltyCorner3FGM,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,SecondChanceTurnovers,Offensive Fouls Drawn,ShortMidRangePctBlocked,BlockingFouls,BlockedShortMidRange,OffLongMidRangeReboundPct,on,3SecondViolations,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,FTOffRebounds,Technical Free Throw Trips,Blocked3s,BlockedArc3,OffFTReboundPct,SecondChanceAtRimPctAssisted,Travels,Charge Fouls,DefensiveGoaltends,Defensive 3 Seconds Violations
101142,1610612752,Ronny Turiaf,Ronny Turiaf,101142,NYK,176.0,3,2,5,5,1,10,1.0,1.0,1.0,1.0,2.0,8,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,16.666666666666668,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.6369,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
201611,1610612752,Henry Walker,Henry Walker,201611,NYK,1385.0,23,6,43,43,10,86,,,,,,48,,,,,,,,5,,,,,,7.547169811320754,,,,,,,,1.0,0.529725,,29.0,17.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,29.0,1.0,0.25,0.25,1.0,0.2,0.16666666666666666,0.25,0.3333333333333333,1.0,1.0,0.529725,38.45,0.6744186046511628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
201962,1610612752,Toney Douglas,Toney Douglas,201962,NYK,1080.0,18,10,33,34,7,67,,1.0,1.0,4.0,10.0,33,,1.0,1.0,,3.0,,,4,,,0.25,0.4444444444444444,0.5,26.82926829268293,,,,0.1111111111111111,,,,0.6666666666666666,0.4963333333333334,11.850000000000001,22.0,10.0,4.0,3.0,5.0,4.0,,4.0,,2.0,,4.0,,,,2.0,,22.0,0.5555555555555556,,,,0.13333333333333333,0.2,,0.14285714285714285,0.4444444444444444,0.5,0.4810833333333333,24.619999999999997,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,7.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,0.5,0.4,1.0,0.25,0.4,0.5,1.5,0.4166666666666667,1.5,0.5,1.0,0.4,0.2,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.5,0.5,0.1111111111111111,0.5,0.5,0.5,1.0,1.0,0.5,0.16666666666666666,0.3333333333333333,0.5,0.519375,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2427,1610612752,Roger Mason Jr.,Roger Mason Jr.,2427,NYK,3326.0,55,10,107,107,17,214,,1.0,2.0,5.0,19.0,110,2.0,2.0,3.0,2.0,8.0,1.0,3.0,4,0.5,0.5,0.4,0.5277777777777778,0.5277777777777778,15.447154471544716,0.03333333333333333,0.06,,0.05555555555555555,,,,0.7777777777777778,0.5221583333333333,14.379999999999999,56.0,34.0,7.0,5.0,13.0,7.0,,7.0,,1.0,,1.0,1.0,1.0,,,,56.0,0.7222222222222222,,,,0.027777777777777776,0.021739130434782608,0.08333333333333333,,0.3888888888888889,0.4166666666666667,0.4988249999999999,24.300000000000004,0.5233644859813084,1.0,1.0,3.0,6.0,2.0,3.0,,,3.0,5.0,,1.0,1.0,3.0,2.0,5.0,3.0,,13.0,2.0,9.0,6.0,3.0,,,1.0,,1.0,,2.0,6.0,,,,13.0,,0.6,0.38461538461538464,1.0,0.42857142857142855,0.38461538461538464,0.4,0.75,0.5416666666666666,0.75,0.5416666666666666,1.0,,,,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.3333333333333333,,,,0.16666666666666666,0.6,0.42857142857142855,0.4668,0.15789473684210525,0.6842105263157895,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.1,0.058823529411764705,0.25,0.09090909090909091,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2546,1610612752,Carmelo Anthony,Carmelo Anthony,2546,NYK,3043.0,51,3,96,96,14,192,5.0,11.0,9.0,19.0,42.0,102,4.0,1.0,8.0,,17.0,4.0,4.0,11,0.2222222222222222,0.25,0.47368421052631576,0.54,0.6363636363636364,33.027522935779814,0.14814814814814814,0.09302325581395349,,0.44,0.45454545454545453,0.5,0.4,0.68,0.530066,6.805263157894737,45.0,31.0,6.0,3.0,6.0,3.0,,6.0,,6.0,,7.0,1.0,1.0,,12.0,,45.0,0.24,,,,0.17142857142857143,0.16666666666666666,0.08333333333333333,0.21428571428571427,0.24,0.375,0.53015,25.016666666666666,0.46875,3.0,3.0,5.0,,,3.0,,1.0,1.0,3.0,15.0,,1.0,9.0,4.0,5.0,1.0,8.0,19.0,14.0,6.0,3.0,3.0,1.0,1.0,2.0,,3.0,1.0,2.0,5.0,1.0,17.0,3.0,19.0,3.0,0.6666666666666666,0.5,,0.3333333333333333,0.5,0.8,0.4,0.6875,0.6428571428571429,0.7916666666666666,0.6666666666666666,0.14285714285714285,0.2222222222222222,,0.12,0.2,0.6,0.6,,0.5,0.5,0.6666666666666666,0.2,,,,0.3333333333333333,0.5,0.5513666666666667,0.21428571428571427,0.4523809523809524,3.0,2.0,1.0,,,,4.0,7.0,4.0,,2.0,2.0,,,0.26666666666666666,,0.16666666666666666,0.3333333333333333,0.3333333333333333,,,,,0.6,,,,0.25,1.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,0.5,0.05263157894736842,0.09090909090909091,0.5,0.3333333333333333,1.0,0.2,0.25,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1853,1610612752,Anthony Carter,Anthony Carter,1853,NYK,1057.0,18,6,33,33,2,66,,,3.0,4.0,9.0,27,2.0,1.0,4.0,1.0,9.0,,,3,0.3333333333333333,0.3333333333333333,0.75,0.9,0.9,20.0,,,,,,,,0.2,0.42594000000000004,15.2,12.0,14.0,1.0,,1.0,,,1.0,,3.0,,3.0,1.0,,1.0,1.0,,12.0,0.2,,,,0.23076923076923078,0.2,0.4,0.2,0.2,,0.4131,24.4,0.36363636363636365,1.0,3.0,3.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,2.0,4.0,3.0,,1.0,,,1.0,,2.0,1.0,,1.0,,,,2.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,0.5,,,,0.2,0.6,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,0.2222222222222222,,,,,,,,3.0,3.0,,,1.0,1.0,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
200761,1610612752,Shawne Williams,Shawne Williams,200761,NYK,2579.0,43,3,87,87,12,174,1.0,3.0,2.0,4.0,12.0,88,2.0,1.0,2.0,1.0,5.0,,1.0,4,0.5,0.5,0.5,0.4375,0.5454545454545454,14.285714285714286,,0.025,,0.375,0.3333333333333333,0.3333333333333333,,0.875,0.5886,4.65,48.0,30.0,,,4.0,2.0,,,,3.0,,3.0,2.0,1.0,1.0,3.0,,48.0,0.5,,,,0.125,0.09375,0.2222222222222222,0.1111111111111111,,,0.61134,23.35,0.5517241379310345,1.0,,,4.0,2.0,,,,,1.0,5.0,,1.0,,1.0,3.0,1.0,5.0,10.0,2.0,3.0,,,,,2.0,,3.0,1.0,,1.0,,6.0,2.0,10.0,2.0,1.0,0.25,,0.5,0.25,0.3333333333333333,,0.5,,0.625,0.6666666666666666,,,,0.125,,,,0.5,,,,,,,0.4,,,0.58095,,0.8333333333333334,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,0.058823529411764705,,,,1.0,1.0,,0.25,0.25,1.0,0.5,0.5,,,0.6,,1.0,,,,,,,1.0,,,,1.0,,,,,,0.3333333333333333,0.1111111111111111,0.2,,1.0,1.0,2.0,2.0,2.0,1.0,0.1,0.5,1.0,0.5,,,,,,,True,,,,,,,,,,,,,
2405,1610612752,Amar'e Stoudemire,Amar'e Stoudemire,2405,NYK,1816.0,30,2,61,60,8,121,4.0,7.0,4.0,11.0,14.0,59,4.0,,,,,,1.0,8,0.5,0.6666666666666666,0.36363636363636365,0.36363636363636365,0.5,26.470588235294116,,0.034482758620689655,,0.6363636363636364,0.5714285714285714,0.5714285714285714,0.5,0.6363636363636364,0.4581818181818182,4.772727272727273,24.0,20.0,,,,,,,,3.0,,7.0,,,,5.0,,24.0,,,,,0.15,0.2916666666666667,0.25,,,,0.46008333333333334,,0.39344262295081966,3.0,,1.0,,,,,,,,6.0,,,3.0,2.0,6.0,,3.0,7.0,4.0,,,,,4.0,2.0,1.0,4.0,,1.0,5.0,,7.0,1.0,7.0,1.0,,,,,,0.3333333333333333,1.0,0.3333333333333333,1.5,0.5,0.5,1.0,0.25,1.0,0.2727272727272727,0.09090909090909091,,,,,,,,,,,,,,0.21428571428571427,0.5,1.0,4.0,,,,,1.0,,,1.0,,1.0,1.0,0.09090909090909091,,0.16666666666666666,,,,,,,,1.0,,,,0.6666666666666666,1.0,2.0,1.0,1.0,2.0,1.0,,,2.0,,,1.0,3.0,1.0,0.09090909090909091,,1.0,1.0,0.5,0.23076923076923078,0.23076923076923078,,,2.0,,,,,,,,,1.0,1.0,0.3333333333333333,,,,True,,,,,,,,,,,,,
2407,1610612752,Jared Jeffries,Jared Jeffries,2407,NYK,1850.0,31,5,59,59,10,118,6.0,10.0,6.0,10.0,12.0,65,8.0,,,,,3.0,5.0,7,0.6666666666666666,0.8,0.6,0.6,0.6,17.64705882352941,0.21428571428571427,0.2,,1.0,0.6,0.6,0.6666666666666666,1.0,0.5700700000000001,1.39,38.0,14.0,,,,,,,,1.0,,2.0,1.0,,1.0,1.0,,38.0,,,,,0.05,0.07407407407407407,,,,,0.5791857142857142,,0.6440677966101694,,,,,,,,,,,,,,4.0,4.0,7.0,,,8.0,4.0,,,,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,8.0,,,,,,,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,0.5494,0.3333333333333333,0.6666666666666666,2.0,7.0,,,,,2.0,,,2.0,2.0,1.0,,0.18181818181818182,0.2222222222222222,0.25,0.5,,,,,,,1.0,,,,1.0,2.0,4.0,2.0,,2.0,,,,,,,,,1.0,,,0.25,1.0,0.5714285714285714,,,,,,1.0,,1.0,,0.14285714285714285,,,,1.0,,,1.0,1.0,0.25,True,,,,,,,,,,,,,
202361,1610612752,Landry Fields,Landry Fields,202361,NYK,318.0,5,3,11,11,4,22,,,,,,10,,1.0,1.0,,3.0,,,1,,,,,,14.285714285714285,,,,,,,,1.0,0.535425,,6.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,,6.0,1.0,,,,1.0,0.2,,,0.5,1.0,0.4902,24.6,0.5454545454545454,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
