EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3Assists,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceCorner3FGA,BlockedLongMidRange,SecondChanceCorner3Frequency,Fg3aBlocked,BlockingFouls,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Clear Path Fouls,BlockedArc3,LongMidRangePctBlocked,on,Charge Fouls,HeaveMakes
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,12274.0,205,-8,364,369,46,41,43.0,733,24.0,36.0,9.0,12.0,2.0,2.0,7.0,24.0,1.0,3.0,32.0,63.0,14.0,78.0,395,10.0,16.0,4.0,24.0,3.0,4.0,4.0,10.0,36.0,28.0,14.0,2.0,3.0,3.0,1.0,1.0,1.0,6.0,17.0,15.0,26.0,4.0,45.0,17.0,62.0,3.0,5.0,5.0,3.0,2.0,11.0,1.0,4.0,14.0,3.0,3.0,12.0,20.0,5.0,20.0,1.0,15.0,1.0,7.0,1.0,10.0,6.0,4.0,10.0,6.0,1.0,1.0,10.0,46,1.0,0.5625,0.72,0.5079365079365079,0.625,0.75,0.5079365079365079,0.625,0.75,0.5571428571428572,0.6666666666666666,0.8333333333333334,0.031746031746031744,0.027777777777777776,0.041666666666666664,20.19230769230769,0.21428571428571427,0.6666666666666666,0.22807017543859648,0.1223021582733813,0.3125,0.25308641975308643,0.09659090909090909,0.2564102564102564,0.09090909090909091,0.044444444444444446,0.21212121212121213,0.2777777777777778,0.2,0.3333333333333333,0.26666666666666666,0.10344827586206896,0.6,0.5714285714285714,0.6666666666666666,0.6857142857142857,0.5,0.38095238095238093,0.2916666666666667,0.30434782608695654,0.7142857142857143,0.047619047619047616,0.3333333333333333,0.3333333333333333,1.0,0.75,0.75,0.2222222222222222,0.5,1.0,0.5714285714285714,0.480652380952381,0.5182375,0.4334,0.10144927536231885,0.10144927536231885,0.3076923076923077,0.1282051282051282,4.488888888888888,0.12637362637362637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,10222.0,170,13,313,316,135,148,40.0,629,20.0,26.0,1.0,2.0,6.0,7.0,9.0,16.0,1.0,5.0,30.0,47.0,18.0,87.0,342,2.0,5.0,,4.0,11.0,17.0,10.0,41.0,32.0,28.0,2.0,1.0,8.0,9.0,4.0,3.0,1.0,19.0,3.0,7.0,20.0,2.0,29.0,7.0,36.0,1.0,1.0,,5.0,4.0,3.0,1.0,1.0,8.0,2.0,4.0,6.0,13.0,,19.0,,27.0,4.0,13.0,1.0,3.0,3.0,,3.0,3.0,,,41.0,135,1.0,0.5333333333333333,0.5517241379310345,0.6382978723404256,0.4,0.6470588235294118,0.6052631578947368,0.3333333333333333,0.6458333333333334,0.6397058823529411,0.3333333333333333,0.6833333333333333,0.02127659574468085,,0.0625,20.994475138121548,0.625,0.16666666666666666,0.23529411764705882,0.02857142857142857,0.20588235294117646,0.226890756302521,0.04827586206896552,0.06060606060606061,,0.02564102564102564,0.34782608695652173,0.06896551724137931,0.30303030303030304,0.22727272727272727,0.16666666666666666,0.047619047619047616,1.0,0.45614035087719296,0.7692307692307693,0.7692307692307693,0.7,0.2807017543859649,0.5625,0.6,0.1111111111111111,0.08771929824561403,0.2,0.2,1.0,0.3333333333333333,0.5,,0.2916666666666667,0.8571428571428571,0.631578947368421,0.4544133928571429,0.5408125,0.45501304347826094,0.208955223880597,0.23214285714285715,0.04597701149425287,0.47126436781609193,5.4914893617021265,0.43130990415335463,1.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,6.0,3.0,10.0,1.0,3.0,7.0,6.0,3.0,1.0,8.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.3,0.42857142857142855,0.3333333333333333,0.17543859649122806,0.1,0.1111111111111111,0.017543859649122806,1.0,1.0,1.0,0.15789473684210525,0.2222222222222222,0.2222222222222222,0.5,0.16666666666666666,0.041666666666666664,1.0,0.25,0.3333333333333333,0.25,0.09090909090909091,28.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
200769,1610612747,Shannon Brown,Shannon Brown,200769,LAL,4982.0,83,-7,155,153,70,61,24.0,308,6.0,7.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,8.0,10.0,17.0,6.0,44.0,184,1.0,2.0,,5.0,7.0,9.0,4.0,21.0,12.0,8.0,2.0,,,1.0,,,,3.0,1.0,5.0,4.0,,9.0,3.0,12.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,,4.0,1.0,,3.0,5.0,,3.0,,6.0,,2.0,1.0,1.0,1.0,,1.0,,,,21.0,70,1.0,0.6,0.6666666666666666,0.5882352941176471,0.5,0.7777777777777778,0.6129032258064516,0.8333333333333334,0.7083333333333334,0.6470588235294118,0.8333333333333334,0.75,,,,21.11111111111111,0.75,,0.12903225806451613,0.020833333333333332,0.25,0.17647058823529413,0.028985507246376812,,,0.07692307692307693,0.1,,0.23076923076923078,0.3076923076923077,0.14285714285714285,0.06666666666666667,,0.22580645161290322,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.06451612903225806,0.5,0.5,,0.25806451612903225,0.375,0.375,0.6666666666666666,0.3333333333333333,1.0,,0.3333333333333333,1.0,0.6774193548387096,0.5147338709677419,0.51805,0.48861249999999995,0.06060606060606061,0.10526315789473684,0.11363636363636363,0.4772727272727273,9.188235294117648,0.45161290322580644,2.0,4.0,,,4.0,10.0,1.0,1.0,3.0,6.0,14.0,1.0,1.0,3.0,18.0,,,10.0,4.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.45161290322580644,0.047619047619047616,0.05555555555555555,0.12903225806451613,0.5,0.5,1.0,0.3225806451612903,0.4,0.4,1.0,0.3333333333333333,,,0.25,0.3333333333333333,0.4,,24.357142857142858,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,
2200,1610612747,Pau Gasol,Pau Gasol,2200,LAL,21476.0,358,14,650,651,182,181,83.0,1301,20.0,37.0,7.0,16.0,9.0,16.0,18.0,47.0,8.0,26.0,46.0,110.0,36.0,131.0,703,9.0,21.0,6.0,24.0,15.0,32.0,13.0,43.0,52.0,40.0,12.0,9.0,28.0,38.0,15.0,2.0,11.0,86.0,22.0,15.0,27.0,4.0,46.0,32.0,78.0,4.0,4.0,1.0,12.0,3.0,5.0,9.0,2.0,17.0,1.0,6.0,14.0,33.0,2.0,38.0,2.0,45.0,3.0,19.0,5.0,16.0,10.0,6.0,17.0,13.0,,,43.0,182,4.0,0.5652173913043478,0.65,0.41818181818181815,0.42857142857142855,0.46875,0.42410714285714285,0.42857142857142855,0.46875,0.4924812030075188,0.48,0.5512820512820513,0.08181818181818182,0.08108108108108109,0.1276595744680851,20.053475935828875,0.7058823529411765,0.23529411764705882,0.14136125654450263,0.09565217391304348,0.19230769230769232,0.15613382899628253,0.0915032679738562,0.11594202898550725,0.0963855421686747,0.07692307692307693,0.12727272727272726,0.13114754098360656,0.16,0.22641509433962265,0.12,0.07142857142857142,0.7647058823529411,0.33035714285714285,0.5405405405405406,0.5882352941176471,0.65,0.41964285714285715,0.3829787234042553,0.43902439024390244,0.3333333333333333,0.23214285714285715,0.3076923076923077,0.3076923076923077,0.875,0.7619047619047619,0.4375,0.2857142857142857,0.5,0.5625,0.3482142857142857,0.4382625,0.5195473684210526,0.44718125000000003,0.1484375,0.15079365079365079,0.183206106870229,0.3282442748091603,8.053636363636363,0.28,1.0,2.0,,,,,,,,1.0,2.0,,,,3.0,,,,,10.0,9.0,6.0,3.0,,7.0,3.0,3.0,,,5.0,1.0,0.5,,0.5,0.017857142857142856,0.07894736842105263,0.08196721311475409,0.017857142857142856,0.5,0.5,1.0,,,,,,,,,,,,22.75,,,4.0,,,0.2222222222222222,,,1.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,,,,,,,,,,,,,True,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,17158.0,286,16,521,517,132,131,67.0,1038,9.0,17.0,,1.0,2.0,2.0,1.0,4.0,8.0,21.0,18.0,42.0,12.0,69.0,548,,2.0,,,5.0,8.0,6.0,16.0,22.0,14.0,,2.0,27.0,31.0,17.0,4.0,6.0,66.0,1.0,5.0,20.0,,25.0,1.0,26.0,,14.0,12.0,4.0,3.0,2.0,1.0,1.0,6.0,1.0,4.0,9.0,22.0,,16.0,1.0,15.0,1.0,4.0,4.0,1.0,,,1.0,1.0,,,16.0,132,3.0,0.6111111111111112,0.6111111111111112,0.42857142857142855,,0.625,0.49137931034482757,,0.5,0.5307692307692308,,0.5714285714285714,0.047619047619047616,0.058823529411764705,0.25,11.813643926788686,0.6666666666666666,,0.125,0.005263157894736842,0.08064516129032258,0.11261261261261261,0.004098360655737705,0.016666666666666666,,,0.06818181818181818,0.12962962962962962,0.16129032258064516,0.045454545454545456,0.16666666666666666,,1.0,0.29310344827586204,0.5294117647058824,0.5625,0.3333333333333333,0.06896551724137931,0.25,0.3333333333333333,1.0,0.3620689655172414,0.38095238095238093,0.38095238095238093,0.875,0.3333333333333333,,,0.2,1.0,0.5689655172413793,0.4717241379310344,0.47409999999999997,0.388415,0.06557377049180328,0.08888888888888889,,0.2318840579710145,11.469047619047618,0.2533589251439539,2.0,3.0,,,5.0,13.0,,,2.0,7.0,16.0,1.0,,2.0,18.0,3.0,,13.0,5.0,4.0,4.0,,2.0,,,,4.0,,,4.0,0.8571428571428571,0.4375,,0.4375,0.27586206896551724,,,0.05172413793103448,0.6666666666666666,0.6666666666666666,1.0,0.22413793103448276,0.38461538461538464,0.38461538461538464,0.8,,,,0.2,,0.38461538461538464,,25.562499999999996,,,,,,,,,,1.0,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,True,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,18494.0,308,18,558,555,133,134,67.0,1113,15.0,29.0,1.0,4.0,2.0,5.0,23.0,44.0,23.0,49.0,61.0,122.0,46.0,201.0,602,4.0,7.0,10.0,21.0,7.0,23.0,21.0,41.0,44.0,78.0,,6.0,22.0,30.0,11.0,6.0,5.0,68.0,7.0,4.0,15.0,,19.0,8.0,27.0,2.0,13.0,9.0,20.0,13.0,8.0,7.0,2.0,28.0,3.0,8.0,12.0,21.0,,46.0,1.0,55.0,5.0,23.0,5.0,3.0,1.0,2.0,3.0,2.0,,,41.0,133,4.0,0.36065573770491804,0.36065573770491804,0.5,0.5714285714285714,0.30434782608695654,0.49050632911392406,0.55,0.3125,0.5497237569060773,0.65625,0.46511627906976744,0.04918032786885246,0.06896551724137931,0.09090909090909091,32.65625,0.7142857142857143,,0.08823529411764706,0.03553299492385787,0.06153846153846154,0.08085106382978724,0.03088803088803089,0.04918032786885246,0.014705882352941176,0.04411764705882353,0.041666666666666664,0.10714285714285714,0.10606060606060606,0.046511627906976744,0.09090909090909091,0.02631578947368421,0.6666666666666666,0.18354430379746836,0.5172413793103449,0.5555555555555556,0.3333333333333333,0.27848101265822783,0.5227272727272727,0.575,0.21739130434782608,0.310126582278481,0.46938775510204084,0.46938775510204084,0.5217391304347826,0.4,0.25,1.0,0.15625,0.4,0.41139240506329117,0.4368167721518988,0.46798124999999996,0.3916453125,0.13068181818181818,0.16428571428571428,0.1044776119402985,0.20398009950248755,11.126229508196719,0.23835125448028674,,2.0,,,11.0,34.0,3.0,2.0,9.0,11.0,36.0,3.0,2.0,9.0,21.0,12.0,,34.0,11.0,8.0,6.0,1.0,4.0,1.0,,,1.0,,,4.0,0.6363636363636364,0.3055555555555556,0.2222222222222222,0.3055555555555556,0.22784810126582278,0.016129032258064516,0.02040816326530612,0.012658227848101266,,,,0.21518987341772153,0.3235294117647059,0.3333333333333333,0.6363636363636364,0.3,,,0.28125,0.2222222222222222,0.3235294117647059,,25.730555555555554,1.0,1.0,,1.0,0.3333333333333333,,0.3333333333333333,,2.0,4.0,3.0,,,,,,,,2.0,1.0,4.0,0.05555555555555555,0.5,0.029411764705882353,,,,True,,
1897,1610612747,Metta World Peace,Metta World Peace,1897,LAL,15160.0,253,21,455,457,120,108,57.0,912,15.0,21.0,2.0,6.0,3.0,4.0,4.0,9.0,4.0,14.0,23.0,44.0,15.0,82.0,485,2.0,8.0,4.0,11.0,3.0,8.0,4.0,19.0,22.0,24.0,4.0,2.0,16.0,20.0,8.0,3.0,5.0,44.0,12.0,4.0,14.0,4.0,22.0,14.0,36.0,3.0,10.0,4.0,5.0,3.0,3.0,2.0,,8.0,1.0,4.0,3.0,18.0,2.0,19.0,2.0,20.0,2.0,9.0,2.0,4.0,1.0,2.0,6.0,4.0,,1.0,19.0,120,2.0,0.4782608695652174,0.5238095238095238,0.5227272727272727,0.25,0.375,0.4785714285714286,0.3888888888888889,0.4166666666666667,0.5189873417721519,0.5,0.475,0.045454545454545456,,0.1111111111111111,16.603053435114504,0.625,0.36363636363636365,0.0979020979020979,0.07100591715976332,0.07407407407407407,0.09137055837563451,0.06334841628959276,0.07407407407407407,0.03508771929824561,0.10344827586206896,0.07142857142857142,0.0851063829787234,0.12962962962962962,0.10256410256410256,,0.07894736842105263,0.6666666666666666,0.3,0.7142857142857143,0.7142857142857143,0.5333333333333333,0.12857142857142856,0.4444444444444444,0.5,0.5,0.2,0.2857142857142857,0.3076923076923077,0.25,0.6666666666666666,0.3333333333333333,,0.2222222222222222,0.75,0.6714285714285714,0.5005057142857143,0.47077142857142856,0.5271250000000001,0.11688311688311688,0.17647058823529413,0.13414634146341464,0.23170731707317074,8.852272727272727,0.26373626373626374,1.0,7.0,,1.0,6.0,19.0,1.0,3.0,9.0,7.0,26.0,1.0,3.0,10.0,18.0,3.0,,19.0,6.0,4.0,3.0,2.0,6.0,,3.0,1.0,1.0,,,4.0,0.8571428571428571,0.2692307692307692,0.3,0.2692307692307692,0.37142857142857144,0.038461538461538464,0.046511627906976744,0.1,0.14285714285714285,0.14285714285714285,1.0,0.2714285714285714,0.3157894736842105,0.3157894736842105,0.8333333333333334,0.1111111111111111,0.05555555555555555,,0.5,0.3333333333333333,0.3157894736842105,,25.28461538461539,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,,,,1.0,2.0,0.07142857142857142,True,,
2581,1610612747,Steve Blake,Steve Blake,2581,LAL,4158.0,69,2,125,127,42,47,18.0,252,,,,,,,,,1.0,1.0,1.0,1.0,,11.0,143,,,,,,,,,,2.0,,,7.0,11.0,4.0,1.0,2.0,26.0,,2.0,4.0,,6.0,,6.0,,3.0,2.0,1.0,1.0,,,,1.0,,,,4.0,,2.0,,,,,,,,,,,,,,42,,,,1.0,,,0.55,,,0.55,,,,,,7.638888888888889,1.0,,0.12903225806451613,,0.125,0.1276595744680851,,,,,0.09090909090909091,0.2857142857142857,0.07692307692307693,,0.3333333333333333,,,,,,,,,,,0.1,1.0,1.0,,,,,,,0.9,0.439545,0.36,0.3609,,,,,20.1,0.336,,1.0,,,3.0,8.0,1.0,,4.0,3.0,9.0,1.0,,4.0,9.0,,,8.0,3.0,4.0,1.0,,1.0,,,,2.0,,,,1.0,0.3333333333333333,,0.3333333333333333,0.9,,,0.1,,,,0.8,0.375,0.375,1.0,1.0,,,1.0,,0.375,,25.12222222222222,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,True,,
2440,1610612747,Matt Barnes,Matt Barnes,2440,LAL,3137.0,52,2,101,101,46,50,16.0,202,4.0,9.0,2.0,2.0,1.0,4.0,,1.0,,,4.0,10.0,,14.0,100,2.0,2.0,,4.0,1.0,5.0,,8.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,,,2.0,3.0,,3.0,1.0,4.0,3.0,7.0,1.0,4.0,4.0,1.0,1.0,,,,1.0,,,5.0,7.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,8.0,46,,0.5,1.0,0.4,1.0,0.2,0.4117647058823529,1.0,0.4444444444444444,0.4117647058823529,1.0,0.4444444444444444,0.1,0.1111111111111111,,15.384615384615385,1.0,1.0,0.10344827586206896,0.09375,,0.07692307692307693,0.06382978723404255,0.25,,0.09090909090909091,0.1111111111111111,,0.15384615384615385,,,0.1,1.0,0.5294117647058824,0.4444444444444444,0.5,0.5,0.058823529411764705,,,,,,,,1.0,1.0,,0.4444444444444444,0.25,0.9411764705882353,0.5199823529411765,0.6517,0.49286666666666673,,,0.2857142857142857,0.5714285714285714,2.19,0.45544554455445546,1.0,3.0,1.0,2.0,1.0,4.0,,1.0,2.0,2.0,7.0,,2.0,4.0,6.0,,,4.0,1.0,,,,,,,,1.0,,,,1.0,0.2857142857142857,0.5,0.2857142857142857,0.4117647058823529,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.23529411764705882,0.25,0.25,1.0,,0.2222222222222222,0.5,0.2222222222222222,0.5,0.25,,24.671428571428574,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
201234,1610612747,Trey Johnson,Trey Johnson,201234,LAL,60.0,1,1,2,2,2,2,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,
